* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 31, 24 12:55:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony LB Fit Relaxed L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 25.069 -101.7026
0.368865 25.103 -101.7908
0.371538 25.154 -101.9203
0.374230 25.217 -102.0785
0.376942 25.287 -102.2545
0.379673 25.363 -102.4404
0.382424 25.441 -102.6312
0.385196 25.522 -102.8237
0.387987 25.604 -103.0161
0.390798 25.687 -103.2076
0.393630 25.770 -103.3976
0.396483 25.855 -103.5860
0.399356 25.940 -103.7725
0.402250 26.025 -103.9572
0.405165 26.112 -104.1402
0.408101 26.199 -104.3214
0.411058 26.286 -104.5010
0.414037 26.374 -104.6789
0.417037 26.463 -104.8553
0.420059 26.553 -105.0302
0.423103 26.643 -105.2037
0.426169 26.734 -105.3759
0.429257 26.825 -105.5468
0.432368 26.917 -105.7166
0.435501 27.010 -105.8853
0.438656 27.103 -106.0530
0.441835 27.197 -106.2197
0.445037 27.292 -106.3857
0.448262 27.388 -106.5509
0.451510 27.484 -106.7154
0.454782 27.581 -106.8794
0.458077 27.678 -107.0430
0.461397 27.777 -107.2062
0.464740 27.876 -107.3691
0.468108 27.975 -107.5319
0.471500 28.076 -107.6946
0.474917 28.177 -107.8574
0.478358 28.279 -108.0202
0.481825 28.382 -108.1834
0.485316 28.485 -108.3468
0.488833 28.589 -108.5107
0.492375 28.694 -108.6752
0.495943 28.800 -108.8402
0.499537 28.906 -109.0061
0.503157 29.013 -109.1728
0.506803 29.121 -109.3405
0.510475 29.230 -109.5092
0.514175 29.340 -109.6791
0.517900 29.450 -109.8503
0.521653 29.561 -110.0228
0.525434 29.673 -110.1968
0.529241 29.786 -110.3724
0.533076 29.899 -110.5497
0.536939 30.014 -110.7288
0.540830 30.129 -110.9097
0.544749 30.245 -111.0927
0.548696 30.362 -111.2777
0.552673 30.480 -111.4650
0.556677 30.598 -111.6545
0.560711 30.718 -111.8463
0.564774 30.838 -112.0407
0.568867 30.959 -112.2376
0.572989 31.082 -112.4372
0.577141 31.205 -112.6396
0.581324 31.328 -112.8448
0.585536 31.453 -113.0529
0.589779 31.579 -113.2641
0.594053 31.705 -113.4783
0.598358 31.833 -113.6958
0.602694 31.961 -113.9166
0.607061 32.091 -114.1407
0.611460 32.221 -114.3682
0.615891 32.352 -114.5993
0.620354 32.485 -114.8340
0.624849 32.618 -115.0723
0.629377 32.752 -115.3144
0.633938 32.887 -115.5604
0.638532 33.023 -115.8102
0.643159 33.160 -116.0639
0.647819 33.298 -116.3217
0.652514 33.437 -116.5835
0.657242 33.578 -116.8495
0.662005 33.719 -117.1197
0.666802 33.861 -117.3941
0.671634 34.004 -117.6729
0.676501 34.148 -117.9560
0.681403 34.293 -118.2434
0.686341 34.440 -118.5353
0.691314 34.587 -118.8317
0.696324 34.735 -119.1324
0.701370 34.884 -119.4376
0.706452 35.034 -119.7469
0.711571 35.183 -120.0603
0.716728 35.333 -120.3773
0.721921 35.482 -120.6971
0.727153 35.630 -121.0188
0.732422 35.775 -121.3409
0.737729 35.918 -121.6619
0.743075 36.059 -121.9802
0.748460 36.198 -122.2946
0.753883 36.336 -122.6043
0.759346 36.473 -122.9089
0.764849 36.610 -123.2083
0.770391 36.747 -123.5026
0.775974 36.884 -123.7918
0.781597 37.021 -124.0764
0.787261 37.158 -124.3564
0.792966 37.295 -124.6323
0.798712 37.433 -124.9044
0.804500 37.570 -125.1729
0.810329 37.708 -125.4381
0.816201 37.846 -125.7005
0.822116 37.984 -125.9602
0.828073 38.123 -126.2176
0.834074 38.261 -126.4729
0.840118 38.400 -126.7266
0.846206 38.539 -126.9788
0.852338 38.678 -127.2300
0.858514 38.817 -127.4803
0.864735 38.956 -127.7300
0.871001 39.096 -127.9795
0.877313 39.236 -128.2290
0.883670 39.376 -128.4787
0.890074 39.516 -128.7290
0.896524 39.656 -128.9802
0.903020 39.797 -129.2324
0.909564 39.938 -129.4860
0.916155 40.079 -129.7411
0.922794 40.220 -129.9981
0.929481 40.362 -130.2572
0.936216 40.503 -130.5186
0.943000 40.645 -130.7826
0.949834 40.788 -131.0494
0.956717 40.930 -131.3192
0.963649 41.073 -131.5922
0.970632 41.216 -131.8688
0.977666 41.359 -132.1490
0.984750 41.503 -132.4332
0.991886 41.647 -132.7215
0.999074 41.792 -133.0141
1.006314 41.936 -133.3113
1.013606 42.081 -133.6132
1.020951 42.227 -133.9200
1.028349 42.373 -134.2319
1.035801 42.519 -134.5491
1.043307 42.666 -134.8718
1.050867 42.813 -135.2000
1.058482 42.961 -135.5338
1.066152 43.109 -135.8732
1.073878 43.257 -136.2179
1.081660 43.406 -136.5675
1.089498 43.555 -136.9214
1.097393 43.705 -137.2784
1.105345 43.854 -137.6373
1.113355 44.004 -137.9969
1.121423 44.154 -138.3559
1.129549 44.304 -138.7136
1.137734 44.454 -139.0697
1.145979 44.604 -139.4238
1.154283 44.753 -139.7760
1.162647 44.903 -140.1263
1.171072 45.052 -140.4748
1.179558 45.202 -140.8218
1.188106 45.351 -141.1674
1.196715 45.500 -141.5118
1.205387 45.649 -141.8552
1.214122 45.798 -142.1979
1.222920 45.947 -142.5401
1.231782 46.096 -142.8819
1.240708 46.245 -143.2236
1.249699 46.394 -143.5655
1.258754 46.542 -143.9077
1.267876 46.691 -144.2505
1.277063 46.840 -144.5941
1.286318 46.989 -144.9387
1.295639 47.137 -145.2847
1.305027 47.286 -145.6321
1.314484 47.435 -145.9812
1.324009 47.584 -146.3324
1.333604 47.733 -146.6857
1.343268 47.882 -147.0414
1.353002 48.031 -147.3998
1.362806 48.180 -147.7611
1.372681 48.330 -148.1255
1.382628 48.479 -148.4933
1.392647 48.629 -148.8645
1.402739 48.779 -149.2395
1.412904 48.930 -149.6183
1.423142 49.080 -150.0009
1.433455 49.231 -150.3874
1.443843 49.382 -150.7773
1.454305 49.533 -151.1702
1.464844 49.684 -151.5653
1.475459 49.835 -151.9616
1.486150 49.986 -152.3582
1.496920 50.137 -152.7543
1.507767 50.287 -153.1495
1.518693 50.438 -153.5435
1.529698 50.588 -153.9365
1.540783 50.737 -154.3285
1.551948 50.886 -154.7197
1.563194 51.035 -155.1104
1.574521 51.184 -155.5010
1.585931 51.332 -155.8916
1.597423 51.481 -156.2827
1.608999 51.628 -156.6745
1.620658 51.776 -157.0674
1.632402 51.923 -157.4618
1.644232 52.070 -157.8579
1.656146 52.217 -158.2561
1.668147 52.364 -158.6568
1.680235 52.511 -159.0602
1.692411 52.657 -159.4667
1.704675 52.804 -159.8767
1.717028 52.950 -160.2905
1.729470 53.096 -160.7084
1.742003 53.242 -161.1307
1.754626 53.388 -161.5578
1.767341 53.534 -161.9900
1.780147 53.681 -162.4273
1.793047 53.827 -162.8700
1.806040 53.973 -163.3180
1.819128 54.119 -163.7711
1.832310 54.265 -164.2289
1.845587 54.410 -164.6907
1.858961 54.556 -165.1558
1.872432 54.700 -165.6237
1.886001 54.845 -166.0939
1.899667 54.989 -166.5659
1.913433 55.132 -167.0396
1.927299 55.275 -167.5146
1.941265 55.418 -167.9910
1.955332 55.559 -168.4685
1.969501 55.701 -168.9473
1.983773 55.842 -169.4272
1.998148 55.983 -169.9083
2.012627 56.123 -170.3906
2.027212 56.263 -170.8742
2.041902 56.402 -171.3591
2.056698 56.542 -171.8455
2.071602 56.680 -172.3335
2.086614 56.819 -172.8233
2.101734 56.957 -173.3149
2.116964 57.096 -173.8086
2.132304 57.234 -174.3046
2.147756 57.371 -174.8030
2.163320 57.509 -175.3041
2.178996 57.646 -175.8080
2.194786 57.783 -176.3149
2.210690 57.920 -176.8247
2.226710 58.056 -177.3374
2.242845 58.191 -177.8528
2.259098 58.326 -178.3707
2.275468 58.461 -178.8909
2.291957 58.594 -179.4130
2.308566 58.727 -179.9368
2.325295 58.860 179.5380
2.342145 58.991 179.0115
2.359117 59.123 178.4840
2.376212 59.253 177.9556
2.393431 59.383 177.4265
2.410775 59.513 176.8968
2.428244 59.642 176.3666
2.445840 59.771 175.8359
2.463564 59.899 175.3048
2.481416 60.027 174.7731
2.499397 60.155 174.2409
2.517509 60.282 173.7079
2.535752 60.409 173.1738
2.554127 60.536 172.6385
2.572635 60.662 172.1014
2.591277 60.787 171.5623
2.610055 60.912 171.0211
2.628968 61.036 170.4776
2.648019 61.159 169.9321
2.667208 61.282 169.3848
2.686535 61.404 168.8360
2.706003 61.525 168.2861
2.725612 61.646 167.7354
2.745363 61.766 167.1842
2.765257 61.885 166.6329
2.785295 62.004 166.0818
2.805478 62.122 165.5311
2.825808 62.240 164.9811
2.846285 62.357 164.4318
2.866910 62.474 163.8832
2.887685 62.591 163.3354
2.908611 62.707 162.7881
2.929688 62.823 162.2408
2.950917 62.938 161.6931
2.972301 63.053 161.1446
2.993839 63.167 160.5951
3.015534 63.280 160.0445
3.037386 63.392 159.4929
3.059396 63.504 158.9407
3.081565 63.615 158.3881
3.103896 63.725 157.8356
3.126388 63.835 157.2833
3.149043 63.944 156.7319
3.171862 64.053 156.1815
3.194847 64.162 155.6324
3.217998 64.270 155.0849
3.241317 64.377 154.5391
3.264805 64.485 153.9948
3.288463 64.592 153.4520
3.312293 64.698 152.9102
3.336295 64.804 152.3690
3.360471 64.910 151.8282
3.384822 65.015 151.2877
3.409350 65.119 150.7472
3.434056 65.223 150.2070
3.458940 65.326 149.6672
3.484005 65.429 149.1281
3.509252 65.531 148.5897
3.534681 65.633 148.0524
3.560295 65.735 147.5163
3.586094 65.836 146.9816
3.612081 65.937 146.4484
3.638255 66.038 145.9165
3.664620 66.139 145.3860
3.691175 66.240 144.8565
3.717923 66.340 144.3279
3.744864 66.439 143.7999
3.772001 66.539 143.2725
3.799335 66.637 142.7455
3.826866 66.736 142.2189
3.854597 66.834 141.6927
3.882529 66.932 141.1670
3.910664 67.030 140.6417
3.939002 67.128 140.1168
3.967546 67.225 139.5923
3.996296 67.322 139.0682
4.025255 67.419 138.5445
4.054423 67.516 138.0210
4.083804 67.613 137.4976
4.113396 67.709 136.9742
4.143204 67.806 136.4507
4.173227 67.901 135.9270
4.203468 67.997 135.4029
4.233928 68.093 134.8783
4.264609 68.188 134.3531
4.295512 68.283 133.8271
4.326639 68.378 133.3003
4.357992 68.472 132.7724
4.389572 68.566 132.2433
4.421380 68.660 131.7130
4.453419 68.754 131.1812
4.485691 68.848 130.6480
4.518196 68.941 130.1135
4.550936 69.034 129.5775
4.583914 69.126 129.0402
4.617131 69.218 128.5015
4.650589 69.310 127.9614
4.684289 69.401 127.4198
4.718233 69.492 126.8765
4.752424 69.582 126.3313
4.786862 69.672 125.7841
4.821549 69.761 125.2346
4.856488 69.850 124.6830
4.891680 69.938 124.1294
4.927127 70.026 123.5740
4.962831 70.113 123.0172
4.998794 70.199 122.4592
5.035017 70.285 121.9002
5.071503 70.370 121.3403
5.108253 70.454 120.7794
5.145270 70.537 120.2173
5.182555 70.620 119.6537
5.220110 70.701 119.0887
5.257937 70.782 118.5224
5.296038 70.862 117.9554
5.334415 70.942 117.3882
5.373071 71.020 116.8214
5.412006 71.097 116.2554
5.451224 71.174 115.6906
5.490725 71.249 115.1268
5.530514 71.324 114.5641
5.570590 71.398 114.0022
5.610957 71.471 113.4413
5.651616 71.543 112.8816
5.692570 71.613 112.3237
5.733821 71.684 111.7683
5.775370 71.753 111.2159
5.817221 71.822 110.6671
5.859375 71.889 110.1219
5.901834 71.956 109.5804
5.944602 72.023 109.0424
5.987679 72.088 108.5079
6.031068 72.153 107.9770
6.074771 72.217 107.4500
6.118792 72.281 106.9273
6.163131 72.345 106.4091
6.207792 72.408 105.8958
6.252776 72.471 105.3872
6.298086 72.533 104.8835
6.343725 72.596 104.3843
6.389694 72.658 103.8893
6.435996 72.720 103.3983
6.482634 72.782 102.9109
