* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 07 7, 25 1:20:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony Linkbuds Fit EQ L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.245 -39.3469
0.368865 39.247 -39.4108
0.371538 39.249 -39.5062
0.374230 39.251 -39.6255
0.376942 39.254 -39.7622
0.379673 39.257 -39.9113
0.382424 39.261 -40.0698
0.385196 39.264 -40.2357
0.387987 39.267 -40.4079
0.390798 39.271 -40.5857
0.393630 39.274 -40.7690
0.396483 39.278 -40.9576
0.399356 39.281 -41.1514
0.402250 39.285 -41.3504
0.405165 39.288 -41.5547
0.408101 39.292 -41.7644
0.411058 39.296 -41.9795
0.414037 39.299 -42.2001
0.417037 39.303 -42.4262
0.420059 39.307 -42.6578
0.423103 39.310 -42.8952
0.426169 39.314 -43.1382
0.429257 39.318 -43.3870
0.432368 39.322 -43.6416
0.435501 39.326 -43.9020
0.438656 39.329 -44.1685
0.441835 39.333 -44.4409
0.445037 39.337 -44.7193
0.448262 39.341 -45.0039
0.451510 39.345 -45.2947
0.454782 39.349 -45.5916
0.458077 39.353 -45.8948
0.461397 39.357 -46.2043
0.464740 39.361 -46.5202
0.468108 39.366 -46.8425
0.471500 39.370 -47.1712
0.474917 39.374 -47.5065
0.478358 39.378 -47.8483
0.481825 39.382 -48.1966
0.485316 39.387 -48.5515
0.488833 39.391 -48.9131
0.492375 39.395 -49.2814
0.495943 39.400 -49.6563
0.499537 39.404 -50.0380
0.503157 39.408 -50.4265
0.506803 39.413 -50.8217
0.510475 39.417 -51.2237
0.514175 39.422 -51.6325
0.517900 39.426 -52.0482
0.521653 39.431 -52.4707
0.525434 39.436 -52.9000
0.529241 39.440 -53.3361
0.533076 39.445 -53.7791
0.536939 39.450 -54.2289
0.540830 39.455 -54.6855
0.544749 39.459 -55.1489
0.548696 39.464 -55.6191
0.552673 39.469 -56.0961
0.556677 39.474 -56.5798
0.560711 39.479 -57.0703
0.564774 39.484 -57.5674
0.568867 39.489 -58.0712
0.572989 39.494 -58.5815
0.577141 39.499 -59.0985
0.581324 39.504 -59.6219
0.585536 39.509 -60.1518
0.589779 39.515 -60.6881
0.594053 39.520 -61.2307
0.598358 39.525 -61.7796
0.602694 39.530 -62.3347
0.607061 39.536 -62.8960
0.611460 39.541 -63.4633
0.615891 39.546 -64.0366
0.620354 39.552 -64.6158
0.624849 39.557 -65.2008
0.629377 39.563 -65.7915
0.633938 39.569 -66.3879
0.638532 39.574 -66.9898
0.643159 39.580 -67.5971
0.647819 39.586 -68.2098
0.652514 39.591 -68.8278
0.657242 39.597 -69.4509
0.662005 39.603 -70.0791
0.666802 39.609 -70.7122
0.671634 39.615 -71.3502
0.676501 39.621 -71.9929
0.681403 39.627 -72.6403
0.686341 39.633 -73.2923
0.691314 39.639 -73.9487
0.696324 39.645 -74.6096
0.701370 39.652 -75.2748
0.706452 39.659 -75.9443
0.711571 39.667 -76.6182
0.716728 39.676 -77.2965
0.721921 39.687 -77.9794
0.727153 39.700 -78.6672
0.732422 39.717 -79.3604
0.737729 39.738 -80.0595
0.743075 39.762 -80.7649
0.748460 39.790 -81.4770
0.753883 39.820 -82.1959
0.759346 39.853 -82.9216
0.764849 39.887 -83.6540
0.770391 39.923 -84.3930
0.775974 39.961 -85.1381
0.781597 39.999 -85.8892
0.787261 40.039 -86.6460
0.792966 40.081 -87.4080
0.798712 40.123 -88.1751
0.804500 40.167 -88.9467
0.810329 40.213 -89.7227
0.816201 40.259 -90.5025
0.822116 40.307 -91.2859
0.828073 40.356 -92.0725
0.834074 40.406 -92.8619
0.840118 40.458 -93.6537
0.846206 40.511 -94.4477
0.852338 40.565 -95.2433
0.858514 40.620 -96.0403
0.864735 40.677 -96.8383
0.871001 40.735 -97.6370
0.877313 40.794 -98.4359
0.883670 40.854 -99.2348
0.890074 40.916 -100.0333
0.896524 40.978 -100.8311
0.903020 41.042 -101.6279
0.909564 41.107 -102.4234
0.916155 41.173 -103.2173
0.922794 41.240 -104.0093
0.929481 41.308 -104.7991
0.936216 41.378 -105.5866
0.943000 41.448 -106.3714
0.949834 41.520 -107.1533
0.956717 41.592 -107.9322
0.963649 41.665 -108.7077
0.970632 41.740 -109.4799
0.977666 41.815 -110.2484
0.984750 41.891 -111.0131
0.991886 41.968 -111.7739
0.999074 42.046 -112.5308
1.006314 42.124 -113.2835
1.013606 42.203 -114.0320
1.020951 42.283 -114.7762
1.028349 42.364 -115.5161
1.035801 42.445 -116.2517
1.043307 42.527 -116.9829
1.050867 42.609 -117.7096
1.058482 42.692 -118.4321
1.066152 42.775 -119.1501
1.073878 42.859 -119.8639
1.081660 42.943 -120.5734
1.089498 43.028 -121.2788
1.097393 43.114 -121.9802
1.105345 43.200 -122.6776
1.113355 43.288 -123.3711
1.121423 43.377 -124.0609
1.129549 43.468 -124.7470
1.137734 43.560 -125.4293
1.145979 43.653 -126.1079
1.154283 43.748 -126.7827
1.162647 43.845 -127.4538
1.171072 43.943 -128.1212
1.179558 44.043 -128.7847
1.188106 44.144 -129.4444
1.196715 44.246 -130.1003
1.205387 44.350 -130.7522
1.214122 44.455 -131.4003
1.222920 44.562 -132.0444
1.231782 44.670 -132.6845
1.240708 44.779 -133.3206
1.249699 44.890 -133.9526
1.258754 45.001 -134.5805
1.267876 45.114 -135.2043
1.277063 45.227 -135.8238
1.286318 45.342 -136.4392
1.295639 45.458 -137.0502
1.305027 45.574 -137.6569
1.314484 45.691 -138.2593
1.324009 45.810 -138.8571
1.333604 45.928 -139.4506
1.343268 46.048 -140.0394
1.353002 46.167 -140.6237
1.362806 46.288 -141.2034
1.372681 46.408 -141.7783
1.382628 46.529 -142.3485
1.392647 46.650 -142.9138
1.402739 46.772 -143.4743
1.412904 46.893 -144.0298
1.423142 47.014 -144.5802
1.433455 47.135 -145.1253
1.443843 47.256 -145.6650
1.454305 47.377 -146.1990
1.464844 47.498 -146.7271
1.475459 47.619 -147.2488
1.486150 47.741 -147.7641
1.496920 47.863 -148.2727
1.507767 47.985 -148.7748
1.518693 48.107 -149.2706
1.529698 48.230 -149.7602
1.540783 48.354 -150.2441
1.551948 48.478 -150.7226
1.563194 48.603 -151.1960
1.574521 48.728 -151.6648
1.585931 48.853 -152.1292
1.597423 48.980 -152.5897
1.608999 49.106 -153.0467
1.620658 49.233 -153.5005
1.632402 49.361 -153.9514
1.644232 49.489 -154.3999
1.656146 49.617 -154.8463
1.668147 49.746 -155.2908
1.680235 49.875 -155.7339
1.692411 50.004 -156.1759
1.704675 50.134 -156.6171
1.717028 50.264 -157.0578
1.729470 50.395 -157.4983
1.742003 50.526 -157.9389
1.754626 50.657 -158.3798
1.767341 50.788 -158.8212
1.780147 50.920 -159.2631
1.793047 51.052 -159.7057
1.806040 51.184 -160.1488
1.819128 51.316 -160.5919
1.832310 51.449 -161.0345
1.845587 51.581 -161.4759
1.858961 51.714 -161.9154
1.872432 51.847 -162.3526
1.886001 51.981 -162.7871
1.899667 52.114 -163.2190
1.913433 52.248 -163.6483
1.927299 52.382 -164.0752
1.941265 52.516 -164.5001
1.955332 52.650 -164.9231
1.969501 52.785 -165.3446
1.983773 52.919 -165.7649
1.998148 53.054 -166.1843
2.012627 53.189 -166.6032
2.027212 53.324 -167.0220
2.041902 53.460 -167.4408
2.056698 53.596 -167.8602
2.071602 53.731 -168.2803
2.086614 53.868 -168.7014
2.101734 54.004 -169.1240
2.116964 54.140 -169.5482
2.132304 54.277 -169.9742
2.147756 54.414 -170.4021
2.163320 54.551 -170.8319
2.178996 54.688 -171.2633
2.194786 54.826 -171.6959
2.210690 54.963 -172.1290
2.226710 55.101 -172.5621
2.242845 55.239 -172.9946
2.259098 55.377 -173.4264
2.275468 55.515 -173.8573
2.291957 55.653 -174.2875
2.308566 55.791 -174.7172
2.325295 55.929 -175.1466
2.342145 56.067 -175.5760
2.359117 56.205 -176.0060
2.376212 56.343 -176.4367
2.393431 56.481 -176.8686
2.410775 56.619 -177.3021
2.428244 56.757 -177.7376
2.445840 56.895 -178.1754
2.463564 57.033 -178.6160
2.481416 57.171 -179.0596
2.499397 57.310 -179.5065
2.517509 57.448 -179.9570
2.535752 57.586 179.5892
2.554127 57.723 179.1320
2.572635 57.861 178.6719
2.591277 57.999 178.2094
2.610055 58.136 177.7449
2.628968 58.274 177.2787
2.648019 58.411 176.8112
2.667208 58.548 176.3422
2.686535 58.685 175.8719
2.706003 58.821 175.4001
2.725612 58.958 174.9266
2.745363 59.094 174.4513
2.765257 59.229 173.9739
2.785295 59.365 173.4942
2.805478 59.500 173.0118
2.825808 59.635 172.5266
2.846285 59.770 172.0383
2.866910 59.904 171.5464
2.887685 60.038 171.0510
2.908611 60.172 170.5516
2.929688 60.305 170.0484
2.950917 60.438 169.5413
2.972301 60.570 169.0305
2.993839 60.702 168.5164
3.015534 60.833 167.9990
3.037386 60.964 167.4789
3.059396 61.095 166.9562
3.081565 61.224 166.4312
3.103896 61.354 165.9042
3.126388 61.482 165.3752
3.149043 61.610 164.8445
3.171862 61.738 164.3120
3.194847 61.865 163.7778
3.217998 61.991 163.2418
3.241317 62.117 162.7039
3.264805 62.242 162.1638
3.288463 62.367 161.6212
3.312293 62.490 161.0757
3.336295 62.613 160.5272
3.360471 62.736 159.9756
3.384822 62.857 159.4210
3.409350 62.978 158.8637
3.434056 63.097 158.3042
3.458940 63.216 157.7430
3.484005 63.334 157.1805
3.509252 63.452 156.6172
3.534681 63.568 156.0536
3.560295 63.684 155.4898
3.586094 63.799 154.9260
3.612081 63.913 154.3622
3.638255 64.026 153.7981
3.664620 64.139 153.2333
3.691175 64.251 152.6672
3.717923 64.361 152.0995
3.744864 64.471 151.5299
3.772001 64.579 150.9589
3.799335 64.687 150.3867
3.826866 64.794 149.8140
3.854597 64.899 149.2415
3.882529 65.004 148.6700
3.910664 65.108 148.1000
3.939002 65.211 147.5321
3.967546 65.313 146.9666
3.996296 65.415 146.4035
4.025255 65.515 145.8425
4.054423 65.615 145.2831
4.083804 65.714 144.7249
4.113396 65.812 144.1675
4.143204 65.908 143.6109
4.173227 66.004 143.0555
4.203468 66.099 142.5018
4.233928 66.193 141.9503
4.264609 66.286 141.4018
4.295512 66.379 140.8568
4.326639 66.471 140.3157
4.357992 66.562 139.7787
4.389572 66.652 139.2458
4.421380 66.742 138.7167
4.453419 66.831 138.1910
4.485691 66.920 137.6685
4.518196 67.007 137.1489
4.550936 67.094 136.6325
4.583914 67.181 136.1194
4.617131 67.266 135.6100
4.650589 67.352 135.1048
4.684289 67.437 134.6039
4.718233 67.522 134.1076
4.752424 67.606 133.6160
4.786862 67.690 133.1291
4.821549 67.774 132.6465
4.856488 67.857 132.1681
4.891680 67.940 131.6936
4.927127 68.023 131.2228
4.962831 68.106 130.7556
4.998794 68.188 130.2917
5.035017 68.270 129.8314
5.071503 68.353 129.3743
5.108253 68.435 128.9207
5.145270 68.518 128.4705
5.182555 68.600 128.0235
5.220110 68.683 127.5796
5.257937 68.765 127.1385
5.296038 68.848 126.6999
5.334415 68.930 126.2633
5.373071 69.013 125.8283
5.412006 69.096 125.3945
5.451224 69.179 124.9617
5.490725 69.262 124.5298
5.530514 69.345 124.0985
5.570590 69.429 123.6680
5.610957 69.512 123.2380
5.651616 69.596 122.8082
5.692570 69.680 122.3784
5.733821 69.763 121.9480
5.775370 69.847 121.5168
5.817221 69.931 121.0844
5.859375 70.014 120.6506
5.901834 70.098 120.2152
5.944602 70.182 119.7783
5.987679 70.265 119.3399
6.031068 70.348 118.8998
6.074771 70.431 118.4582
6.118792 70.514 118.0148
6.163131 70.596 117.5695
6.207792 70.678 117.1223
6.252776 70.760 116.6730
6.298086 70.841 116.2216
6.343725 70.922 115.7682
6.389694 71.002 115.3131
6.435996 71.082 114.8566
