* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (5- CX31993 HIFI AUDIO), no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2026 6:59:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony Linkbuds Fit EQ R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.149 -48.9524
0.368865 37.176 -49.1305
0.371538 37.215 -49.3945
0.374230 37.264 -49.7208
0.376942 37.318 -50.0895
0.379673 37.377 -50.4858
0.382424 37.438 -50.8999
0.385196 37.500 -51.3256
0.387987 37.564 -51.7596
0.390798 37.628 -52.1996
0.393630 37.693 -52.6446
0.396483 37.759 -53.0938
0.399356 37.825 -53.5468
0.402250 37.891 -54.0034
0.405165 37.958 -54.4633
0.408101 38.026 -54.9264
0.411058 38.094 -55.3926
0.414037 38.162 -55.8616
0.417037 38.231 -56.3335
0.420059 38.301 -56.8079
0.423103 38.371 -57.2848
0.426169 38.442 -57.7641
0.429257 38.513 -58.2457
0.432368 38.584 -58.7294
0.435501 38.656 -59.2151
0.438656 38.729 -59.7027
0.441835 38.802 -60.1921
0.445037 38.875 -60.6833
0.448262 38.950 -61.1760
0.451510 39.024 -61.6703
0.454782 39.100 -62.1661
0.458077 39.175 -62.6632
0.461397 39.252 -63.1616
0.464740 39.329 -63.6613
0.468108 39.406 -64.1622
0.471500 39.484 -64.6642
0.474917 39.563 -65.1673
0.478358 39.642 -65.6715
0.481825 39.722 -66.1767
0.485316 39.802 -66.6830
0.488833 39.883 -67.1902
0.492375 39.964 -67.6985
0.495943 40.046 -68.2078
0.499537 40.129 -68.7181
0.503157 40.212 -69.2295
0.506803 40.296 -69.7419
0.510475 40.381 -70.2555
0.514175 40.466 -70.7701
0.517900 40.551 -71.2860
0.521653 40.638 -71.8032
0.525434 40.725 -72.3216
0.529241 40.812 -72.8414
0.533076 40.901 -73.3627
0.536939 40.989 -73.8855
0.540830 41.079 -74.4100
0.544749 41.169 -74.9361
0.548696 41.260 -75.4641
0.552673 41.351 -75.9940
0.556677 41.444 -76.5260
0.560711 41.536 -77.0601
0.564774 41.630 -77.5965
0.568867 41.724 -78.1352
0.572989 41.819 -78.6766
0.577141 41.914 -79.2206
0.581324 42.011 -79.7674
0.585536 42.107 -80.3172
0.589779 42.205 -80.8701
0.594053 42.303 -81.4263
0.598358 42.402 -81.9859
0.602694 42.502 -82.5490
0.607061 42.603 -83.1160
0.611460 42.704 -83.6868
0.615891 42.806 -84.2617
0.620354 42.909 -84.8409
0.624849 43.012 -85.4244
0.629377 43.116 -86.0126
0.633938 43.221 -86.6055
0.638532 43.327 -87.2034
0.643159 43.433 -87.8064
0.647819 43.541 -88.4147
0.652514 43.649 -89.0284
0.657242 43.757 -89.6478
0.662005 43.867 -90.2729
0.666802 43.977 -90.9041
0.671634 44.089 -91.5414
0.676501 44.201 -92.1850
0.681403 44.313 -92.8351
0.686341 44.427 -93.4918
0.691314 44.542 -94.1552
0.696324 44.657 -94.8255
0.701370 44.773 -95.5026
0.706452 44.890 -96.1866
0.711571 45.008 -96.8772
0.716728 45.127 -97.5739
0.721921 45.246 -98.2760
0.727153 45.367 -98.9821
0.732422 45.489 -99.6904
0.737729 45.612 -100.3988
0.743075 45.736 -101.1049
0.748460 45.861 -101.8070
0.753883 45.987 -102.5034
0.759346 46.115 -103.1931
0.764849 46.244 -103.8755
0.770391 46.375 -104.5502
0.775974 46.506 -105.2169
0.781597 46.639 -105.8755
0.787261 46.773 -106.5261
0.792966 46.909 -107.1685
0.798712 47.046 -107.8030
0.804500 47.184 -108.4296
0.810329 47.323 -109.0485
0.816201 47.464 -109.6600
0.822116 47.605 -110.2642
0.828073 47.748 -110.8614
0.834074 47.892 -111.4518
0.840118 48.037 -112.0358
0.846206 48.184 -112.6138
0.852338 48.331 -113.1859
0.858514 48.479 -113.7525
0.864735 48.629 -114.3141
0.871001 48.779 -114.8710
0.877313 48.931 -115.4235
0.883670 49.083 -115.9721
0.890074 49.237 -116.5171
0.896524 49.391 -117.0589
0.903020 49.546 -117.5980
0.909564 49.702 -118.1347
0.916155 49.858 -118.6695
0.922794 50.015 -119.2028
0.929481 50.173 -119.7350
0.936216 50.332 -120.2666
0.943000 50.491 -120.7979
0.949834 50.651 -121.3294
0.956717 50.811 -121.8616
0.963649 50.972 -122.3948
0.970632 51.133 -122.9294
0.977666 51.294 -123.4660
0.984750 51.456 -124.0049
0.991886 51.618 -124.5466
0.999074 51.779 -125.0915
1.006314 51.941 -125.6401
1.013606 52.103 -126.1927
1.020951 52.265 -126.7499
1.028349 52.427 -127.3119
1.035801 52.588 -127.8793
1.043307 52.750 -128.4525
1.050867 52.910 -129.0318
1.058482 53.071 -129.6175
1.066152 53.230 -130.2099
1.073878 53.390 -130.8090
1.081660 53.548 -131.4148
1.089498 53.706 -132.0267
1.097393 53.863 -132.6440
1.105345 54.020 -133.2655
1.113355 54.176 -133.8899
1.121423 54.332 -134.5158
1.129549 54.488 -135.1423
1.137734 54.643 -135.7684
1.145979 54.798 -136.3936
1.154283 54.953 -137.0173
1.162647 55.108 -137.6391
1.171072 55.262 -138.2588
1.179558 55.416 -138.8761
1.188106 55.570 -139.4909
1.196715 55.723 -140.1031
1.205387 55.876 -140.7124
1.214122 56.029 -141.3190
1.222920 56.182 -141.9228
1.231782 56.334 -142.5238
1.240708 56.486 -143.1221
1.249699 56.638 -143.7178
1.258754 56.790 -144.3109
1.267876 56.942 -144.9016
1.277063 57.093 -145.4901
1.286318 57.244 -146.0765
1.295639 57.394 -146.6610
1.305027 57.545 -147.2440
1.314484 57.695 -147.8255
1.324009 57.846 -148.4060
1.333604 57.995 -148.9857
1.343268 58.145 -149.5648
1.353002 58.295 -150.1438
1.362806 58.444 -150.7229
1.372681 58.594 -151.3026
1.382628 58.743 -151.8832
1.392647 58.892 -152.4650
1.402739 59.041 -153.0485
1.412904 59.190 -153.6340
1.423142 59.339 -154.2221
1.433455 59.487 -154.8129
1.443843 59.636 -155.4069
1.454305 59.784 -156.0041
1.464844 59.932 -156.6047
1.475459 60.080 -157.2084
1.486150 60.227 -157.8151
1.496920 60.373 -158.4243
1.507767 60.519 -159.0356
1.518693 60.664 -159.6485
1.529698 60.808 -160.2628
1.540783 60.951 -160.8780
1.551948 61.094 -161.4938
1.563194 61.236 -162.1100
1.574521 61.377 -162.7263
1.585931 61.517 -163.3426
1.597423 61.657 -163.9587
1.608999 61.796 -164.5745
1.620658 61.934 -165.1900
1.632402 62.072 -165.8051
1.644232 62.209 -166.4199
1.656146 62.345 -167.0343
1.668147 62.480 -167.6484
1.680235 62.616 -168.2623
1.692411 62.750 -168.8762
1.704675 62.884 -169.4902
1.717028 63.017 -170.1045
1.729470 63.150 -170.7193
1.742003 63.283 -171.3350
1.754626 63.415 -171.9518
1.767341 63.546 -172.5702
1.780147 63.678 -173.1906
1.793047 63.808 -173.8137
1.806040 63.939 -174.4400
1.819128 64.069 -175.0706
1.832310 64.198 -175.7062
1.845587 64.326 -176.3477
1.858961 64.454 -176.9957
1.872432 64.580 -177.6503
1.886001 64.706 -178.3113
1.899667 64.830 -178.9780
1.913433 64.954 -179.6497
1.927299 65.076 179.6744
1.941265 65.197 178.9951
1.955332 65.317 178.3135
1.969501 65.437 177.6304
1.983773 65.555 176.9465
1.998148 65.672 176.2628
2.012627 65.788 175.5798
2.027212 65.903 174.8983
2.041902 66.017 174.2190
2.056698 66.130 173.5424
2.071602 66.243 172.8690
2.086614 66.354 172.1993
2.101734 66.465 171.5335
2.116964 66.575 170.8719
2.132304 66.684 170.2146
2.147756 66.793 169.5611
2.163320 66.900 168.9110
2.178996 67.007 168.2631
2.194786 67.113 167.6160
2.210690 67.218 166.9677
2.226710 67.321 166.3167
2.242845 67.423 165.6618
2.259098 67.524 165.0025
2.275468 67.624 164.3390
2.291957 67.722 163.6718
2.308566 67.818 163.0016
2.325295 67.914 162.3298
2.342145 68.008 161.6572
2.359117 68.101 160.9851
2.376212 68.192 160.3147
2.393431 68.282 159.6473
2.410775 68.372 158.9839
2.428244 68.460 158.3257
2.445840 68.547 157.6738
2.463564 68.633 157.0292
2.481416 68.718 156.3926
2.499397 68.802 155.7646
2.517509 68.885 155.1454
2.535752 68.967 154.5346
2.554127 69.048 153.9310
2.572635 69.128 153.3329
2.591277 69.207 152.7386
2.610055 69.284 152.1463
2.628968 69.360 151.5550
2.648019 69.434 150.9644
2.667208 69.506 150.3747
2.686535 69.577 149.7865
2.706003 69.647 149.2007
2.725612 69.715 148.6186
2.745363 69.782 148.0412
2.765257 69.848 147.4700
2.785295 69.913 146.9063
2.805478 69.978 146.3515
2.825808 70.041 145.8070
2.846285 70.104 145.2740
2.866910 70.167 144.7535
2.887685 70.229 144.2463
2.908611 70.290 143.7523
2.929688 70.351 143.2712
2.950917 70.410 142.8021
2.972301 70.469 142.3437
2.993839 70.527 141.8950
3.015534 70.583 141.4552
3.037386 70.639 141.0241
3.059396 70.693 140.6016
3.081565 70.747 140.1878
3.103896 70.800 139.7832
3.126388 70.853 139.3882
3.149043 70.906 139.0036
3.171862 70.959 138.6300
3.194847 71.012 138.2681
3.217998 71.066 137.9188
3.241317 71.120 137.5828
3.264805 71.176 137.2609
3.288463 71.232 136.9537
3.312293 71.289 136.6616
3.336295 71.346 136.3846
3.360471 71.404 136.1225
3.384822 71.462 135.8744
3.409350 71.520 135.6395
3.434056 71.579 135.4167
3.458940 71.639 135.2048
3.484005 71.700 135.0026
3.509252 71.762 134.8088
3.534681 71.826 134.6224
3.560295 71.891 134.4424
3.586094 71.958 134.2683
3.612081 72.026 134.0996
3.638255 72.097 133.9366
3.664620 72.170 133.7800
3.691175 72.246 133.6306
3.717923 72.323 133.4890
3.744864 72.403 133.3550
3.772001 72.485 133.2278
3.799335 72.569 133.1058
3.826866 72.655 132.9872
3.854597 72.742 132.8695
3.882529 72.832 132.7507
3.910664 72.923 132.6283
3.939002 73.015 132.5006
3.967546 73.110 132.3660
3.996296 73.206 132.2239
4.025255 73.304 132.0741
4.054423 73.404 131.9173
4.083804 73.507 131.7543
4.113396 73.610 131.5857
4.143204 73.716 131.4113
4.173227 73.824 131.2306
4.203468 73.933 131.0425
4.233928 74.042 130.8460
4.264609 74.153 130.6396
4.295512 74.264 130.4221
4.326639 74.376 130.1923
4.357992 74.487 129.9494
4.389572 74.599 129.6931
4.421380 74.711 129.4236
4.453419 74.823 129.1412
4.485691 74.935 128.8468
4.518196 75.047 128.5413
4.550936 75.159 128.2255
4.583914 75.270 127.9003
4.617131 75.382 127.5661
4.650589 75.492 127.2234
4.684289 75.601 126.8726
4.718233 75.710 126.5135
4.752424 75.817 126.1460
4.786862 75.922 125.7699
4.821549 76.027 125.3852
4.856488 76.130 124.9923
4.891680 76.231 124.5923
4.927127 76.332 124.1867
4.962831 76.431 123.7770
4.998794 76.528 123.3651
5.035017 76.625 122.9521
5.071503 76.719 122.5393
5.108253 76.813 122.1270
5.145270 76.905 121.7155
5.182555 76.995 121.3043
5.220110 77.084 120.8934
5.257937 77.171 120.4833
5.296038 77.257 120.0749
5.334415 77.341 119.6693
5.373071 77.425 119.2678
5.412006 77.508 118.8717
5.451224 77.590 118.4821
5.490725 77.672 118.0994
5.530514 77.753 117.7238
5.570590 77.833 117.3550
5.610957 77.913 116.9926
5.651616 77.992 116.6363
5.692570 78.071 116.2858
5.733821 78.151 115.9409
5.775370 78.230 115.6017
5.817221 78.310 115.2684
5.859375 78.391 114.9409
5.901834 78.472 114.6192
5.944602 78.554 114.3030
5.987679 78.636 113.9914
6.031068 78.720 113.6831
6.074771 78.804 113.3766
6.118792 78.889 113.0705
6.163131 78.975 112.7636
6.207792 79.062 112.4551
6.252776 79.151 112.1444
6.298086 79.241 111.8314
6.343725 79.331 111.5153
6.389694 79.423 111.1951
6.435996 79.515 110.8695
6.482634 79.608 110.5370
6.529610 79.702 110.1964
6.576926 79.796 109.8465
