* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2024 4:36:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tang Zu Xuan Nv 00 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.557 -173.9829
20.507813 93.478 -173.1862
20.874023 93.312 -171.0358
21.240234 93.283 -169.0961
21.606445 93.396 -168.3943
21.972656 93.537 -169.4514
22.338867 93.610 -172.0429
22.705078 93.577 -175.3462
23.071289 93.463 -178.4077
23.437500 93.338 179.4250
23.803711 93.274 178.2845
24.169922 93.304 177.8495
24.536133 93.403 177.6406
24.902344 93.513 177.3218
25.268555 93.590 176.7996
25.634766 93.617 176.1301
26.000977 93.604 175.3897
26.367188 93.565 174.6269
26.733399 93.511 173.8902
27.099610 93.449 173.2548
27.465821 93.385 172.7950
27.832032 93.329 172.5225
28.198243 93.291 172.3553
28.564454 93.269 172.1600
28.930665 93.252 171.8358
29.296876 93.229 171.3720
29.663087 93.195 170.8353
30.029298 93.158 170.3062
30.395509 93.129 169.8232
30.761720 93.115 169.3755
31.127931 93.111 168.9356
31.494142 93.112 168.4927
31.860353 93.108 168.0571
32.226563 93.099 167.6389
32.592774 93.083 167.2315
32.958985 93.062 166.8173
33.325196 93.035 166.3868
33.691407 93.003 165.9486
34.057618 92.968 165.5166
34.423829 92.937 165.0900
34.790040 92.913 164.6499
35.156251 92.895 164.1815
35.522462 92.880 163.7035
35.888673 92.865 163.2731
36.254884 92.851 162.9554
36.621095 92.846 162.7736
36.987306 92.854 162.6802
37.353517 92.874 162.5749
37.719728 92.891 162.3589
38.085939 92.891 161.9892
38.452150 92.860 161.4953
38.818361 92.801 160.9518
39.184572 92.724 160.4302
39.550783 92.648 159.9628
39.916994 92.586 159.5405
40.283205 92.546 159.1371
40.649416 92.522 158.7381
41.015627 92.506 158.3526
41.381838 92.490 158.0039
41.748049 92.469 157.7105
42.114260 92.442 157.4732
42.480471 92.411 157.2736
42.846682 92.380 157.0813
43.212893 92.352 156.8637
43.579103 92.330 156.5940
43.945314 92.313 156.2592
44.311525 92.299 155.8656
44.677736 92.283 155.4396
45.043947 92.263 155.0179
45.410158 92.239 154.6309
45.776369 92.214 154.2888
46.142580 92.189 153.9792
46.508791 92.166 153.6794
46.875002 92.143 153.3740
47.241213 92.117 153.0656
47.607424 92.088 152.7705
47.973635 92.058 152.5046
48.339846 92.028 152.2710
48.706057 92.000 152.0578
49.072268 91.975 151.8461
49.438479 91.950 151.6205
49.804690 91.925 151.3735
50.170901 91.900 151.1044
50.537112 91.874 150.8167
50.903323 91.847 150.5176
51.269534 91.819 150.2208
51.635745 91.789 149.9443
52.001956 91.757 149.7030
52.368167 91.726 149.4982
52.734378 91.697 149.3134
53.100589 91.669 149.1213
53.466800 91.641 148.8987
53.833011 91.611 148.6400
54.199222 91.577 148.3585
54.565432 91.541 148.0768
54.931643 91.507 147.8121
55.297854 91.476 147.5679
55.664065 91.449 147.3379
56.030276 91.424 147.1150
56.396487 91.397 146.8992
56.762698 91.367 146.6959
57.128909 91.335 146.5074
57.495120 91.303 146.3260
57.861331 91.274 146.1354
58.227542 91.249 145.9197
58.593753 91.228 145.6735
58.959964 91.208 145.4059
59.326175 91.189 145.1353
59.692386 91.168 144.8790
60.058597 91.143 144.6446
60.424808 91.115 144.4292
60.791019 91.081 144.2237
61.157230 91.041 144.0197
61.523441 90.996 143.8130
61.889652 90.949 143.6026
62.255863 90.904 143.3882
62.622074 90.864 143.1696
62.988285 90.830 142.9476
63.354496 90.802 142.7266
63.720707 90.778 142.5150
64.086918 90.755 142.3221
64.453129 90.731 142.1529
64.819340 90.706 142.0037
65.185551 90.681 141.8621
65.551762 90.655 141.7121
65.917972 90.629 141.5417
66.284183 90.603 141.3488
66.650394 90.575 141.1418
67.016605 90.547 140.9351
67.382816 90.517 140.7412
67.749027 90.486 140.5658
68.115238 90.454 140.4060
68.481449 90.421 140.2535
68.847660 90.386 140.0983
69.213871 90.350 139.9327
69.580082 90.315 139.7525
69.946293 90.283 139.5574
70.312504 90.255 139.3511
70.678715 90.231 139.1420
71.044926 90.210 138.9428
71.411137 90.189 138.7683
71.777348 90.169 138.6320
72.143559 90.147 138.5407
72.509770 90.124 138.4918
72.875981 90.101 138.4717
73.242192 90.079 138.4599
73.608403 90.058 138.4344
73.974614 90.038 138.3783
74.340825 90.018 138.2845
74.707036 89.995 138.1558
75.073247 89.969 138.0002
75.439458 89.940 137.8258
75.805669 89.909 137.6350
76.171880 89.876 137.4246
76.538091 89.843 137.1886
76.904301 89.808 136.9233
77.270512 89.772 136.6325
77.636723 89.733 136.3301
78.002934 89.690 136.0405
78.369145 89.643 135.7935
78.735356 89.595 135.6149
79.101567 89.547 135.5134
79.467778 89.505 135.4678
79.833989 89.470 135.4243
80.200200 89.441 135.3087
80.566411 89.410 135.0536
80.932622 89.370 134.6298
81.298833 89.312 134.0683
81.665044 89.236 133.4608
82.031255 89.149 132.9356
82.397466 89.066 132.6215
82.763677 89.004 132.6127
83.129888 88.975 132.9522
83.496099 88.978 133.6358
83.862310 88.998 134.6297
84.228521 89.014 135.8857
84.594732 89.003 137.3407
84.960943 88.951 138.8998
85.327154 88.860 140.4162
85.693365 88.741 141.6907
86.059576 88.617 142.5072
86.425787 88.519 142.6995
86.791998 88.478 142.2223
87.158209 88.523 141.1868
87.524420 88.675 139.8351
87.890631 88.936 138.4585
88.256841 89.287 137.2959
88.623052 89.685 136.4645
88.989263 90.077 135.9523
89.355474 90.408 135.6688
89.721685 90.637 135.5177
90.087896 90.739 135.4478
90.454107 90.707 135.4586
90.820318 90.555 135.5679
91.186529 90.311 135.7712
91.552740 90.015 136.0208
91.918951 89.712 136.2391
92.285162 89.441 136.3534
92.651373 89.224 136.3303
93.017584 89.069 136.1870
93.383795 88.968 135.9749
93.750006 88.908 135.7502
94.116217 88.876 135.5479
94.482428 88.860 135.3712
94.848639 88.853 135.1998
95.214850 88.850 135.0048
95.581061 88.847 134.7647
95.947272 88.843 134.4731
96.313483 88.837 134.1395
96.679694 88.829 133.7851
97.045905 88.817 133.4348
97.412116 88.802 133.1091
97.778327 88.781 132.8177
98.144538 88.755 132.5557
98.510749 88.722 132.3064
98.876960 88.683 132.0491
99.243170 88.638 131.7688
99.609381 88.592 131.4649
99.975592 88.548 131.1555
100.341803 88.511 130.8744
100.708014 88.488 130.6645
101.074225 88.478 130.5669
101.440436 88.481 130.6120
101.806647 88.486 130.8126
102.172858 88.482 131.1626
102.539069 88.457 131.6381
102.905280 88.400 132.2017
103.271491 88.310 132.8050
103.637702 88.195 133.3893
104.003913 88.075 133.8855
104.370124 87.979 134.2166
104.736335 87.935 134.3085
105.102546 87.960 134.1087
105.468757 88.056 133.6086
105.834968 88.201 132.8583
106.201179 88.363 131.9648
106.567390 88.512 131.0682
106.933601 88.621 130.3034
107.299812 88.679 129.7617
107.666023 88.683 129.4656
108.032234 88.641 129.3691
108.398445 88.563 129.3810
108.764656 88.466 129.4011
109.130867 88.361 129.3556
109.497078 88.262 129.2160
109.863289 88.176 128.9989
110.229500 88.109 128.7491
110.595710 88.064 128.5177
110.961921 88.037 128.3422
111.328132 88.025 128.2379
111.694343 88.022 128.1991
112.060554 88.022 128.2056
112.426765 88.021 128.2328
112.792976 88.016 128.2582
113.159187 88.007 128.2666
113.525398 87.993 128.2503
113.891609 87.976 128.2090
114.257820 87.955 128.1475
114.624031 87.931 128.0727
114.990242 87.905 127.9917
115.356453 87.875 127.9100
115.722664 87.844 127.8308
116.088875 87.812 127.7556
116.455086 87.779 127.6847
116.821297 87.747 127.6177
117.187508 87.715 127.5536
117.553719 87.683 127.4898
117.919930 87.652 127.4219
118.286141 87.621 127.3439
118.652352 87.591 127.2502
119.018563 87.561 127.1377
119.384774 87.531 127.0074
119.750985 87.502 126.8649
120.117196 87.474 126.7189
120.483407 87.449 126.5783
120.849618 87.426 126.4496
121.215829 87.406 126.3354
121.582040 87.389 126.2347
121.948250 87.375 126.1454
122.314461 87.363 126.0655
122.680672 87.354 125.9948
123.046883 87.348 125.9343
123.413094 87.346 125.8853
123.779305 87.347 125.8474
124.145516 87.351 125.8182
124.511727 87.356 125.7938
124.877938 87.360 125.7704
125.244149 87.358 125.7459
125.610360 87.350 125.7208
125.976571 87.332 125.6981
126.342782 87.305 125.6824
126.708993 87.270 125.6780
127.075204 87.230 125.6876
127.441415 87.188 125.7115
127.807626 87.147 125.7474
128.173837 87.110 125.7913
128.540048 87.076 125.8378
128.906259 87.047 125.8814
129.272470 87.020 125.9166
129.638681 86.993 125.9386
130.004892 86.966 125.9433
130.371103 86.936 125.9282
130.737314 86.904 125.8931
131.103525 86.870 125.8400
131.469736 86.836 125.7741
131.835947 86.804 125.7025
132.202158 86.777 125.6336
132.568369 86.757 125.5759
132.934579 86.745 125.5365
133.300790 86.742 125.5201
133.667001 86.747 125.5285
134.033212 86.756 125.5612
134.399423 86.768 125.6146
134.765634 86.780 125.6837
135.131845 86.787 125.7620
135.498056 86.789 125.8424
135.864267 86.784 125.9176
136.230478 86.772 125.9810
136.596689 86.753 126.0266
136.962900 86.729 126.0500
137.329111 86.700 126.0482
137.695322 86.670 126.0199
138.061533 86.638 125.9657
138.427744 86.606 125.8876
138.793955 86.574 125.7891
139.160166 86.544 125.6740
139.526377 86.516 125.5466
139.892588 86.489 125.4110
140.258799 86.465 125.2713
140.625010 86.443 125.1310
140.991221 86.423 124.9936
141.357432 86.406 124.8619
141.723643 86.392 124.7385
142.089854 86.381 124.6254
142.456065 86.372 124.5239
142.822276 86.365 124.4349
143.188487 86.358 124.3591
143.554698 86.351 124.2966
143.920909 86.342 124.2474
144.287119 86.331 124.2113
144.653330 86.317 124.1875
145.019541 86.300 124.1749
145.385752 86.280 124.1717
145.751963 86.258 124.1759
146.118174 86.235 124.1851
146.484385 86.213 124.1966
146.850596 86.191 124.2081
147.216807 86.170 124.2175
147.583018 86.152 124.2233
147.949229 86.136 124.2246
148.315440 86.122 124.2211
148.681651 86.109 124.2132
149.047862 86.098 124.2015
149.414073 86.088 124.1872
149.780284 86.077 124.1715
150.146495 86.067 124.1556
150.512706 86.054 124.1407
150.878917 86.040 124.1276
151.245128 86.023 124.1169
151.611339 86.003 124.1090
151.977550 85.979 124.1036
152.343761 85.951 124.1004
152.709972 85.920 124.0986
153.076183 85.885 124.0973
153.442394 85.849 124.0951
153.808605 85.812 124.0905
154.174816 85.777 124.0818
154.541027 85.745 124.0671
154.907238 85.717 124.0444
155.273448 85.695 124.0121
155.639659 85.680 123.9695
156.005870 85.670 123.9166
156.372081 85.665 123.8546
156.738292 85.664 123.7861
157.104503 85.665 123.7139
157.470714 85.667 123.6412
157.836925 85.669 123.5710
158.203136 85.670 123.5055
158.569347 85.669 123.4461
158.935558 85.666 123.3936
159.301769 85.660 123.3483
159.667980 85.653 123.3102
160.034191 85.643 123.2792
160.400402 85.632 123.2549
160.766613 85.619 123.2370
161.132824 85.605 123.2246
161.499035 85.589 123.2166
161.865246 85.573 123.2118
162.231457 85.556 123.2085
162.597668 85.539 123.2054
162.963879 85.522 123.2013
163.330090 85.506 123.1953
163.696301 85.490 123.1870
164.062512 85.476 123.1768
164.428723 85.462 123.1653
164.794934 85.450 123.1533
165.161145 85.438 123.1417
165.527356 85.427 123.1313
165.893567 85.416 123.1226
166.259778 85.406 123.1157
166.625988 85.396 123.1103
166.992199 85.386 123.1062
167.358410 85.375 123.1027
167.724621 85.364 123.0994
168.090832 85.353 123.0958
168.457043 85.341 123.0916
168.823254 85.329 123.0865
169.189465 85.316 123.0805
169.555676 85.303 123.0736
169.921887 85.289 123.0659
170.288098 85.276 123.0575
170.654309 85.262 123.0483
171.020520 85.248 123.0385
171.386731 85.234 123.0279
171.752942 85.221 123.0164
172.119153 85.207 123.0040
