* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2024 4:17:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tang Zu Xuan Nv R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 97.347 147.7602
20.507813 97.332 147.2779
20.874023 97.290 146.0129
21.240234 97.242 144.7751
21.606445 97.194 143.6679
21.972656 97.150 142.6389
22.338867 97.113 141.6886
22.705078 97.085 140.7884
23.071289 97.060 139.8914
23.437500 97.032 138.9731
23.803711 96.996 138.0357
24.169922 96.951 137.0986
24.536133 96.902 136.1801
24.902344 96.853 135.2831
25.268555 96.808 134.3976
25.634766 96.768 133.5117
26.000977 96.729 132.6236
26.367188 96.691 131.7418
26.733399 96.652 130.8759
27.099610 96.614 130.0272
27.465821 96.578 129.1874
27.832032 96.543 128.3456
28.198243 96.511 127.4977
28.564454 96.478 126.6502
28.930665 96.445 125.8157
29.296876 96.412 125.0047
29.663087 96.379 124.2203
30.029298 96.346 123.4584
30.395509 96.311 122.7121
30.761720 96.275 121.9756
31.127931 96.238 121.2448
31.494142 96.199 120.5161
31.860353 96.161 119.7864
32.226563 96.123 119.0546
32.592774 96.086 118.3235
32.958985 96.050 117.5989
33.325196 96.015 116.8867
33.691407 95.982 116.1886
34.057618 95.949 115.5013
34.423829 95.917 114.8188
34.790040 95.885 114.1367
35.156251 95.851 113.4551
35.522462 95.817 112.7777
35.888673 95.781 112.1088
36.254884 95.746 111.4505
36.621095 95.712 110.8028
36.987306 95.678 110.1647
37.353517 95.646 109.5358
37.719728 95.614 108.9153
38.085939 95.584 108.3012
38.452150 95.554 107.6897
38.818361 95.524 107.0772
39.184572 95.493 106.4635
39.550783 95.463 105.8521
39.916994 95.431 105.2487
40.283205 95.400 104.6568
40.649416 95.371 104.0753
41.015627 95.342 103.4994
41.381838 95.314 102.9252
41.748049 95.285 102.3530
42.114260 95.253 101.7880
42.480471 95.220 101.2361
42.846682 95.187 100.6978
43.212893 95.155 100.1662
43.579103 95.124 99.6297
43.945314 95.094 99.0795
44.311525 95.065 98.5149
44.677736 95.035 97.9441
45.043947 95.003 97.3787
45.410158 94.973 96.8262
45.776369 94.944 96.2858
46.142580 94.917 95.7500
46.508791 94.892 95.2113
46.875002 94.866 94.6689
47.241213 94.838 94.1300
47.607424 94.809 93.6058
47.973635 94.778 93.1045
48.339846 94.749 92.6262
48.706057 94.722 92.1629
49.072268 94.697 91.7037
49.438479 94.674 91.2392
49.804690 94.651 90.7658
50.170901 94.628 90.2849
50.537112 94.604 89.8006
50.903323 94.579 89.3176
51.269534 94.552 88.8404
51.635745 94.524 88.3728
52.001956 94.495 87.9167
52.368167 94.466 87.4704
52.734378 94.438 87.0279
53.100589 94.412 86.5810
53.466800 94.386 86.1232
53.833011 94.361 85.6550
54.199222 94.335 85.1846
54.565432 94.308 84.7252
54.931643 94.281 84.2884
55.297854 94.256 83.8780
55.664065 94.232 83.4884
56.030276 94.211 83.1075
56.396487 94.189 82.7236
56.762698 94.167 82.3301
57.128909 94.143 81.9277
57.495120 94.117 81.5214
57.861331 94.091 81.1162
58.227542 94.065 80.7140
58.593753 94.041 80.3124
58.959964 94.020 79.9076
59.326175 93.999 79.4963
59.692386 93.979 79.0787
60.058597 93.957 78.6586
60.424808 93.934 78.2418
60.791019 93.910 77.8343
61.157230 93.886 77.4395
61.523441 93.864 77.0575
61.889652 93.843 76.6846
62.255863 93.823 76.3150
62.622074 93.804 75.9442
62.988285 93.782 75.5718
63.354496 93.756 75.2034
63.720707 93.725 74.8482
64.086918 93.693 74.5135
64.453129 93.661 74.1980
64.819340 93.634 73.8882
65.185551 93.614 73.5619
65.551762 93.601 73.1967
65.917972 93.591 72.7831
66.284183 93.579 72.3316
66.650394 93.561 71.8718
67.016605 93.536 71.4406
67.382816 93.506 71.0660
67.749027 93.475 70.7541
68.115238 93.447 70.4865
68.481449 93.424 70.2292
68.847660 93.407 69.9486
69.213871 93.393 69.6245
69.580082 93.379 69.2552
69.946293 93.365 68.8533
70.312504 93.349 68.4363
70.678715 93.332 68.0197
71.044926 93.313 67.6150
71.411137 93.292 67.2318
71.777348 93.268 66.8802
72.143559 93.242 66.5695
72.509770 93.213 66.3035
72.875981 93.184 66.0755
73.242192 93.157 65.8685
73.608403 93.132 65.6603
73.974614 93.109 65.4318
74.340825 93.088 65.1742
74.707036 93.067 64.8897
75.073247 93.047 64.5888
75.439458 93.029 64.2837
75.805669 93.014 63.9836
76.171880 93.002 63.6928
76.538091 92.992 63.4118
76.904301 92.985 63.1384
77.270512 92.977 62.8694
77.636723 92.968 62.6012
78.002934 92.957 62.3303
78.369145 92.943 62.0549
78.735356 92.926 61.7754
79.101567 92.907 61.4941
79.467778 92.887 61.2141
79.833989 92.867 60.9377
80.200200 92.847 60.6659
80.566411 92.826 60.3987
80.932622 92.805 60.1357
81.298833 92.782 59.8755
81.665044 92.758 59.6150
82.031255 92.735 59.3486
82.397466 92.712 59.0699
82.763677 92.692 58.7744
83.129888 92.674 58.4632
83.496099 92.659 58.1436
83.862310 92.645 57.8271
84.228521 92.633 57.5239
84.594732 92.622 57.2392
84.960943 92.613 56.9713
85.327154 92.603 56.7145
85.693365 92.591 56.4633
86.059576 92.577 56.2169
86.425787 92.561 55.9790
86.791998 92.543 55.7570
87.158209 92.524 55.5585
87.524420 92.506 55.3890
87.890631 92.488 55.2507
88.256841 92.471 55.1410
88.623052 92.453 55.0519
88.989263 92.436 54.9688
89.355474 92.418 54.8719
89.721685 92.400 54.7394
90.087896 92.381 54.5535
90.454107 92.362 54.3059
90.820318 92.343 54.0007
91.186529 92.323 53.6531
91.552740 92.304 53.2851
91.918951 92.286 52.9186
92.285162 92.269 52.5714
92.651373 92.253 52.2537
93.017584 92.238 51.9687
93.383795 92.223 51.7133
93.750006 92.207 51.4806
94.116217 92.192 51.2617
94.482428 92.176 51.0476
94.848639 92.161 50.8315
95.214850 92.146 50.6097
95.581061 92.131 50.3822
95.947272 92.116 50.1518
96.313483 92.101 49.9224
96.679694 92.086 49.6973
97.045905 92.071 49.4783
97.412116 92.056 49.2654
97.778327 92.042 49.0577
98.144538 92.029 48.8539
98.510749 92.015 48.6532
98.876960 92.001 48.4551
99.243170 91.987 48.2593
99.609381 91.971 48.0653
99.975592 91.954 47.8722
100.341803 91.937 47.6803
100.708014 91.918 47.4906
101.074225 91.900 47.3062
101.440436 91.882 47.1320
101.806647 91.866 46.9741
102.172858 91.851 46.8380
102.539069 91.838 46.7278
102.905280 91.824 46.6433
103.271491 91.811 46.5797
103.637702 91.797 46.5259
104.003913 91.783 46.4656
104.370124 91.770 46.3792
104.736335 91.758 46.2477
105.102546 91.748 46.0574
105.468757 91.739 45.8045
105.834968 91.732 45.4972
106.201179 91.724 45.1551
106.567390 91.715 44.8046
106.933601 91.704 44.4722
107.299812 91.692 44.1783
107.666023 91.678 43.9329
108.032234 91.663 43.7346
108.398445 91.647 43.5735
108.764656 91.630 43.4357
109.130867 91.613 43.3075
109.497078 91.595 43.1790
109.863289 91.578 43.0444
110.229500 91.561 42.9019
110.595710 91.545 42.7523
110.961921 91.530 42.5975
111.328132 91.515 42.4398
111.694343 91.501 42.2810
112.060554 91.487 42.1228
112.426765 91.473 41.9660
112.792976 91.459 41.8108
113.159187 91.446 41.6567
113.525398 91.433 41.5034
113.891609 91.421 41.3504
114.257820 91.411 41.1979
114.624031 91.401 41.0461
114.990242 91.392 40.8956
115.356453 91.383 40.7466
115.722664 91.374 40.5990
116.088875 91.363 40.4527
116.455086 91.351 40.3071
116.821297 91.338 40.1622
117.187508 91.322 40.0182
117.553719 91.305 39.8755
117.919930 91.286 39.7347
118.286141 91.266 39.5962
118.652352 91.246 39.4600
119.018563 91.226 39.3255
119.384774 91.207 39.1918
119.750985 91.189 39.0572
120.117196 91.173 38.9202
120.483407 91.158 38.7797
120.849618 91.143 38.6353
121.215829 91.130 38.4877
121.582040 91.117 38.3390
121.948250 91.104 38.1920
122.314461 91.091 38.0500
122.680672 91.078 37.9156
123.046883 91.065 37.7905
123.413094 91.052 37.6747
123.779305 91.041 37.5670
124.145516 91.029 37.4650
124.511727 91.019 37.3661
124.877938 91.008 37.2682
125.244149 90.997 37.1698
125.610360 90.986 37.0703
125.976571 90.973 36.9697
126.342782 90.959 36.8677
126.708993 90.945 36.7641
127.075204 90.931 36.6580
127.441415 90.916 36.5484
127.807626 90.902 36.4347
128.173837 90.889 36.3169
128.540048 90.877 36.1961
128.906259 90.865 36.0743
129.272470 90.855 35.9542
129.638681 90.846 35.8382
130.004892 90.837 35.7281
130.371103 90.828 35.6242
130.737314 90.819 35.5251
131.103525 90.809 35.4282
131.469736 90.798 35.3301
131.835947 90.786 35.2280
132.202158 90.773 35.1201
132.568369 90.759 35.0064
132.934579 90.745 34.8885
133.300790 90.730 34.7694
133.667001 90.716 34.6524
134.033212 90.702 34.5406
134.399423 90.689 34.4363
134.765634 90.677 34.3404
135.131845 90.666 34.2532
135.498056 90.654 34.1735
135.864267 90.643 34.0999
136.230478 90.632 34.0305
136.596689 90.620 33.9635
136.962900 90.608 33.8971
137.329111 90.596 33.8300
137.695322 90.584 33.7611
138.061533 90.572 33.6900
138.427744 90.562 33.6164
138.793955 90.552 33.5406
139.160166 90.544 33.4627
139.526377 90.537 33.3835
139.892588 90.532 33.3034
140.258799 90.528 33.2234
140.625010 90.525 33.1441
140.991221 90.524 33.0662
141.357432 90.523 32.9899
141.723643 90.524 32.9152
142.089854 90.524 32.8420
142.456065 90.524 32.7697
142.822276 90.524 32.6977
143.188487 90.524 32.6252
143.554698 90.523 32.5518
143.920909 90.522 32.4766
144.287119 90.521 32.3989
144.653330 90.519 32.3178
145.019541 90.517 32.2325
145.385752 90.516 32.1418
145.751963 90.515 32.0452
146.118174 90.514 31.9421
146.484385 90.512 31.8327
146.850596 90.510 31.7175
147.216807 90.507 31.5973
147.583018 90.503 31.4734
147.949229 90.498 31.3469
148.315440 90.492 31.2191
148.681651 90.485 31.0911
149.047862 90.478 30.9639
149.414073 90.470 30.8381
149.780284 90.463 30.7139
150.146495 90.456 30.5913
150.512706 90.450 30.4695
150.878917 90.445 30.3477
151.245128 90.442 30.2248
151.611339 90.442 30.0998
151.977550 90.443 29.9721
152.343761 90.447 29.8415
152.709972 90.453 29.7087
153.076183 90.461 29.5746
153.442394 90.470 29.4409
153.808605 90.479 29.3096
154.174816 90.486 29.1829
154.541027 90.490 29.0632
154.907238 90.490 28.9525
155.273448 90.485 28.8523
155.639659 90.476 28.7633
156.005870 90.461 28.6851
156.372081 90.443 28.6166
156.738292 90.422 28.5561
157.104503 90.399 28.5016
157.470714 90.374 28.4510
157.836925 90.350 28.4026
158.203136 90.326 28.3552
158.569347 90.303 28.3077
158.935558 90.282 28.2593
159.301769 90.261 28.2093
159.667980 90.242 28.1571
160.034191 90.224 28.1017
160.400402 90.208 28.0428
160.766613 90.192 27.9797
161.132824 90.178 27.9124
161.499035 90.164 27.8412
161.865246 90.152 27.7666
162.231457 90.140 27.6896
162.597668 90.130 27.6114
162.963879 90.121 27.5330
163.330090 90.112 27.4554
163.696301 90.105 27.3794
164.062512 90.098 27.3053
164.428723 90.092 27.2332
164.794934 90.086 27.1631
165.161145 90.081 27.0946
165.527356 90.076 27.0274
165.893567 90.071 26.9610
166.259778 90.066 26.8953
166.625988 90.061 26.8298
166.992199 90.056 26.7645
167.358410 90.051 26.6991
167.724621 90.045 26.6335
168.090832 90.039 26.5676
168.457043 90.033 26.5015
168.823254 90.027 26.4355
169.189465 90.020 26.3698
169.555676 90.013 26.3049
169.921887 90.006 26.2416
170.288098 89.999 26.1802
170.654309 89.991 26.1212
171.020520 89.984 26.0649
171.386731 89.976 26.0114
171.752942 89.969 25.9606
172.119153 89.961 25.9121
172.485364 89.954 25.8655
