* Measurement data measured by REW V5.31.3
* Source: Headset (3- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 04 11, 25 4:04:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Wan'er 2 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.505 7.7522
0.368865 41.526 7.8267
0.371538 41.556 7.9373
0.374230 41.594 8.0745
0.376942 41.636 8.2301
0.379673 41.681 8.3981
0.382424 41.728 8.5747
0.385196 41.777 8.7574
0.387987 41.826 8.9448
0.390798 41.875 9.1363
0.393630 41.925 9.3313
0.396483 41.976 9.5298
0.399356 42.027 9.7315
0.402250 42.078 9.9365
0.405165 42.130 10.1447
0.408101 42.182 10.3562
0.411058 42.235 10.5708
0.414037 42.288 10.7887
0.417037 42.341 11.0098
0.420059 42.395 11.2342
0.423103 42.449 11.4617
0.426169 42.503 11.6924
0.429257 42.558 11.9263
0.432368 42.613 12.1634
0.435501 42.669 12.4036
0.438656 42.725 12.6469
0.441835 42.781 12.8933
0.445037 42.838 13.1428
0.448262 42.896 13.3953
0.451510 42.953 13.6508
0.454782 43.011 13.9092
0.458077 43.070 14.1705
0.461397 43.129 14.4346
0.464740 43.188 14.7015
0.468108 43.248 14.9711
0.471500 43.308 15.2433
0.474917 43.369 15.5181
0.478358 43.430 15.7953
0.481825 43.492 16.0749
0.485316 43.554 16.3568
0.488833 43.616 16.6408
0.492375 43.679 16.9270
0.495943 43.742 17.2150
0.499537 43.806 17.5050
0.503157 43.871 17.7966
0.506803 43.935 18.0898
0.510475 44.001 18.3845
0.514175 44.066 18.6805
0.517900 44.132 18.9776
0.521653 44.199 19.2757
0.525434 44.266 19.5747
0.529241 44.334 19.8743
0.533076 44.402 20.1744
0.536939 44.471 20.4748
0.540830 44.540 20.7754
0.544749 44.609 21.0759
0.548696 44.680 21.3761
0.552673 44.750 21.6759
0.556677 44.821 21.9750
0.560711 44.893 22.2733
0.564774 44.965 22.5705
0.568867 45.038 22.8663
0.572989 45.111 23.1607
0.577141 45.185 23.4534
0.581324 45.259 23.7441
0.585536 45.334 24.0326
0.589779 45.409 24.3188
0.594053 45.485 24.6023
0.598358 45.562 24.8830
0.602694 45.639 25.1605
0.607061 45.716 25.4348
0.611460 45.795 25.7056
0.615891 45.873 25.9725
0.620354 45.953 26.2356
0.624849 46.032 26.4944
0.629377 46.113 26.7488
0.633938 46.194 26.9986
0.638532 46.275 27.2435
0.643159 46.358 27.4834
0.647819 46.441 27.7181
0.652514 46.524 27.9474
0.657242 46.608 28.1710
0.662005 46.693 28.3888
0.666802 46.778 28.6007
0.671634 46.864 28.8064
0.676501 46.950 29.0058
0.681403 47.037 29.1988
0.686341 47.125 29.3851
0.691314 47.214 29.5648
0.696324 47.303 29.7377
0.701370 47.393 29.9038
0.706452 47.484 30.0631
0.711571 47.576 30.2158
0.716728 47.669 30.3623
0.721921 47.765 30.5030
0.727153 47.863 30.6391
0.732422 47.964 30.7717
0.737729 48.068 30.9022
0.743075 48.176 31.0322
0.748460 48.287 31.1626
0.753883 48.400 31.2940
0.759346 48.516 31.4266
0.764849 48.634 31.5606
0.770391 48.755 31.6955
0.775974 48.877 31.8312
0.781597 49.001 31.9673
0.787261 49.127 32.1033
0.792966 49.255 32.2388
0.798712 49.385 32.3735
0.804500 49.516 32.5069
0.810329 49.649 32.6387
0.816201 49.785 32.7684
0.822116 49.922 32.8957
0.828073 50.060 33.0201
0.834074 50.201 33.1414
0.840118 50.343 33.2592
0.846206 50.487 33.3731
0.852338 50.632 33.4828
0.858514 50.779 33.5879
0.864735 50.927 33.6883
0.871001 51.077 33.7834
0.877313 51.229 33.8732
0.883670 51.382 33.9572
0.890074 51.536 34.0353
0.896524 51.692 34.1070
0.903020 51.848 34.1723
0.909564 52.006 34.2308
0.916155 52.166 34.2822
0.922794 52.326 34.3265
0.929481 52.488 34.3632
0.936216 52.650 34.3923
0.943000 52.813 34.4135
0.949834 52.977 34.4267
0.956717 53.142 34.4315
0.963649 53.308 34.4280
0.970632 53.474 34.4158
0.977666 53.641 34.3948
0.984750 53.808 34.3649
0.991886 53.975 34.3259
0.999074 54.143 34.2776
1.006314 54.311 34.2200
1.013606 54.479 34.1529
1.020951 54.647 34.0762
1.028349 54.815 33.9898
1.035801 54.982 33.8936
1.043307 55.149 33.7875
1.050867 55.315 33.6717
1.058482 55.481 33.5460
1.066152 55.646 33.4108
1.073878 55.811 33.2665
1.081660 55.974 33.1136
1.089498 56.137 32.9534
1.097393 56.299 32.7872
1.105345 56.461 32.6168
1.113355 56.622 32.4439
1.121423 56.783 32.2698
1.129549 56.944 32.0954
1.137734 57.105 31.9213
1.145979 57.266 31.7476
1.154283 57.427 31.5742
1.162647 57.588 31.4010
1.171072 57.749 31.2277
1.179558 57.910 31.0540
1.188106 58.072 30.8797
1.196715 58.233 30.7043
1.205387 58.394 30.5276
1.214122 58.556 30.3494
1.222920 58.717 30.1692
1.231782 58.879 29.9867
1.240708 59.040 29.8018
1.249699 59.202 29.6141
1.258754 59.364 29.4232
1.267876 59.525 29.2290
1.277063 59.687 29.0311
1.286318 59.849 28.8294
1.295639 60.011 28.6234
1.305027 60.173 28.4130
1.314484 60.335 28.1979
1.324009 60.497 27.9779
1.333604 60.659 27.7526
1.343268 60.821 27.5219
1.353002 60.983 27.2855
1.362806 61.145 27.0432
1.372681 61.308 26.7947
1.382628 61.470 26.5399
1.392647 61.632 26.2784
1.402739 61.795 26.0103
1.412904 61.958 25.7354
1.423142 62.120 25.4536
1.433455 62.283 25.1653
1.443843 62.445 24.8708
1.454305 62.608 24.5708
1.464844 62.770 24.2665
1.475459 62.933 23.9592
1.486150 63.094 23.6500
1.496920 63.256 23.3399
1.507767 63.417 23.0295
1.518693 63.578 22.7191
1.529698 63.738 22.4087
1.540783 63.897 22.0982
1.551948 64.057 21.7872
1.563194 64.215 21.4756
1.574521 64.374 21.1629
1.585931 64.531 20.8488
1.597423 64.689 20.5330
1.608999 64.846 20.2151
1.620658 65.003 19.8947
1.632402 65.159 19.5715
1.644232 65.315 19.2451
1.656146 65.471 18.9152
1.668147 65.626 18.5813
1.680235 65.781 18.2433
1.692411 65.936 17.9007
1.704675 66.091 17.5531
1.717028 66.246 17.2003
1.729470 66.400 16.8419
1.742003 66.555 16.4776
1.754626 66.709 16.1070
1.767341 66.863 15.7300
1.780147 67.017 15.3464
1.793047 67.172 14.9562
1.806040 67.326 14.5593
1.819128 67.480 14.1563
1.832310 67.633 13.7477
1.845587 67.787 13.3342
1.858961 67.940 12.9168
1.872432 68.092 12.4961
1.886001 68.244 12.0728
1.899667 68.395 11.6471
1.913433 68.546 11.2194
1.927299 68.696 10.7897
1.941265 68.845 10.3583
1.955332 68.994 9.9250
1.969501 69.142 9.4900
1.983773 69.290 9.0531
1.998148 69.437 8.6143
2.012627 69.584 8.1735
2.027212 69.730 7.7306
2.041902 69.875 7.2854
2.056698 70.021 6.8379
2.071602 70.166 6.3878
2.086614 70.310 5.9350
2.101734 70.454 5.4792
2.116964 70.598 5.0203
2.132304 70.742 4.5581
2.147756 70.886 4.0924
2.163320 71.029 3.6229
2.178996 71.172 3.1497
2.194786 71.315 2.6726
2.210690 71.457 2.1919
2.226710 71.599 1.7076
2.242845 71.740 1.2201
2.259098 71.880 0.7296
2.275468 72.019 0.2365
2.291957 72.158 -0.2591
2.308566 72.296 -0.7567
2.325295 72.433 -1.2563
2.342145 72.570 -1.7576
2.359117 72.706 -2.2605
2.376212 72.841 -2.7647
2.393431 72.976 -3.2704
2.410775 73.110 -3.7772
2.428244 73.244 -4.2853
2.445840 73.377 -4.7946
2.463564 73.510 -5.3051
2.481416 73.642 -5.8169
2.499397 73.774 -6.3301
2.517509 73.906 -6.8450
2.535752 74.037 -7.3617
2.554127 74.168 -7.8805
2.572635 74.298 -8.4017
2.591277 74.427 -8.9257
2.610055 74.556 -9.4524
2.628968 74.684 -9.9818
2.648019 74.811 -10.5139
2.667208 74.937 -11.0481
2.686535 75.063 -11.5844
2.706003 75.188 -12.1223
2.725612 75.312 -12.6614
2.745363 75.435 -13.2015
2.765257 75.558 -13.7422
2.785295 75.680 -14.2833
2.805478 75.801 -14.8246
2.825808 75.922 -15.3658
2.846285 76.043 -15.9069
2.866910 76.163 -16.4479
2.887685 76.282 -16.9889
2.908611 76.402 -17.5301
2.929688 76.520 -18.0720
2.950917 76.638 -18.6150
2.972301 76.755 -19.1595
2.993839 76.871 -19.7057
3.015534 76.987 -20.2536
3.037386 77.102 -20.8030
3.059396 77.216 -21.3536
3.081565 77.329 -21.9052
3.103896 77.441 -22.4572
3.126388 77.553 -23.0093
3.149043 77.664 -23.5611
3.171862 77.775 -24.1123
3.194847 77.885 -24.6626
3.217998 77.995 -25.2119
3.241317 78.104 -25.7599
3.264805 78.213 -26.3070
3.288463 78.321 -26.8533
3.312293 78.428 -27.3992
3.336295 78.535 -27.9452
3.360471 78.641 -28.4917
3.384822 78.747 -29.0387
3.409350 78.852 -29.5861
3.434056 78.956 -30.1339
3.458940 79.059 -30.6816
3.484005 79.162 -31.2291
3.509252 79.264 -31.7759
3.534681 79.366 -32.3218
3.560295 79.467 -32.8665
3.586094 79.568 -33.4097
3.612081 79.669 -33.9514
3.638255 79.769 -34.4917
3.664620 79.868 -35.0309
3.691175 79.967 -35.5691
3.717923 80.066 -36.1068
3.744864 80.164 -36.6442
3.772001 80.261 -37.1814
3.799335 80.358 -37.7182
3.826866 80.455 -38.2546
3.854597 80.550 -38.7905
3.882529 80.646 -39.3254
3.910664 80.741 -39.8594
3.939002 80.835 -40.3922
3.967546 80.929 -40.9237
3.996296 81.023 -41.4540
4.025255 81.117 -41.9831
4.054423 81.210 -42.5113
4.083804 81.303 -43.0388
4.113396 81.395 -43.5658
4.143204 81.487 -44.0923
4.173227 81.579 -44.6184
4.203468 81.670 -45.1441
4.233928 81.760 -45.6692
4.264609 81.851 -46.1938
4.295512 81.941 -46.7177
4.326639 82.030 -47.2409
4.357992 82.120 -47.7635
4.389572 82.209 -48.2856
4.421380 82.298 -48.8073
4.453419 82.386 -49.3287
4.485691 82.474 -49.8501
4.518196 82.562 -50.3714
4.550936 82.649 -50.8926
4.583914 82.736 -51.4137
4.617131 82.822 -51.9347
4.650589 82.909 -52.4556
4.684289 82.995 -52.9763
4.718233 83.080 -53.4968
4.752424 83.165 -54.0174
4.786862 83.250 -54.5381
4.821549 83.335 -55.0590
4.856488 83.419 -55.5803
4.891680 83.502 -56.1019
4.927127 83.586 -56.6238
4.962831 83.668 -57.1459
4.998794 83.751 -57.6681
5.035017 83.833 -58.1903
5.071503 83.915 -58.7125
5.108253 83.996 -59.2349
5.145270 84.076 -59.7575
5.182555 84.157 -60.2804
5.220110 84.237 -60.8037
5.257937 84.316 -61.3275
5.296038 84.395 -61.8515
5.334415 84.473 -62.3757
5.373071 84.551 -62.8998
5.412006 84.629 -63.4237
5.451224 84.706 -63.9474
5.490725 84.782 -64.4709
5.530514 84.858 -64.9943
5.570590 84.934 -65.5177
5.610957 85.008 -66.0411
5.651616 85.083 -66.5645
5.692570 85.157 -67.0877
5.733821 85.230 -67.6104
5.775370 85.303 -68.1325
5.817221 85.375 -68.6538
5.859375 85.447 -69.1745
5.901834 85.519 -69.6945
5.944602 85.590 -70.2139
5.987679 85.660 -70.7328
6.031068 85.730 -71.2511
6.074771 85.799 -71.7686
6.118792 85.868 -72.2852
6.163131 85.936 -72.8008
6.207792 86.004 -73.3152
6.252776 86.072 -73.8287
6.298086 86.139 -74.3411
6.343725 86.206 -74.8526
6.389694 86.272 -75.3632
6.435996 86.338 -75.8728
6.482634 86.403 -76.3814
6.529610 86.468 -76.8890
6.576926 86.533 -77.3955
6.624585 86.597 -77.9009
6.672590 86.661 -78.4053
6.720942 86.725 -78.9089
6.769645 86.788 -79.4116
6.818700 86.851 -79.9135
6.868111 86.913 -80.4146
