* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 9:57:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi C2 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.821 -152.9472
20.507813 90.844 -153.0889
20.874023 90.892 -153.5555
21.240234 90.910 -154.2435
21.606445 90.896 -155.0216
21.972656 90.872 -155.7274
22.338867 90.867 -156.2794
22.705078 90.895 -156.6999
23.071289 90.953 -157.0618
23.437500 91.024 -157.4165
23.803711 91.083 -157.7554
24.169922 91.117 -158.0309
24.536133 91.126 -158.2112
24.902344 91.116 -158.3152
25.268555 91.100 -158.4065
25.634766 91.083 -158.5538
26.000977 91.068 -158.7914
26.367188 91.054 -159.1025
26.733399 91.039 -159.4322
27.099610 91.026 -159.7220
27.465821 91.017 -159.9389
27.832032 91.014 -160.0862
28.198243 91.015 -160.1966
28.564454 91.017 -160.3107
28.930665 91.015 -160.4516
29.296876 91.006 -160.6132
29.663087 90.992 -160.7670
30.029298 90.978 -160.8859
30.395509 90.969 -160.9656
30.761720 90.968 -161.0286
31.127931 90.971 -161.1065
31.494142 90.971 -161.2125
31.860353 90.961 -161.3261
32.226563 90.939 -161.4059
32.592774 90.912 -161.4216
32.958985 90.890 -161.3814
33.325196 90.881 -161.3317
33.691407 90.883 -161.3297
34.057618 90.891 -161.4063
34.423829 90.895 -161.5474
34.790040 90.890 -161.7062
35.156251 90.879 -161.8367
35.522462 90.866 -161.9234
35.888673 90.859 -161.9861
36.254884 90.858 -162.0598
36.621095 90.862 -162.1672
36.987306 90.867 -162.3039
37.353517 90.870 -162.4463
37.719728 90.870 -162.5707
38.085939 90.865 -162.6697
38.452150 90.856 -162.7528
38.818361 90.842 -162.8344
39.184572 90.822 -162.9202
39.550783 90.797 -163.0041
39.916994 90.771 -163.0755
40.283205 90.751 -163.1307
40.649416 90.739 -163.1779
41.015627 90.738 -163.2331
41.381838 90.742 -163.3095
41.748049 90.747 -163.4089
42.114260 90.748 -163.5203
42.480471 90.740 -163.6267
42.846682 90.725 -163.7159
43.212893 90.706 -163.7874
43.579103 90.686 -163.8527
43.945314 90.669 -163.9272
44.311525 90.655 -164.0191
44.677736 90.642 -164.1222
45.043947 90.630 -164.2169
45.410158 90.618 -164.2805
45.776369 90.606 -164.3000
46.142580 90.597 -164.2806
46.508791 90.590 -164.2451
46.875002 90.585 -164.2221
47.241213 90.580 -164.2312
47.607424 90.573 -164.2734
47.973635 90.562 -164.3319
48.339846 90.549 -164.3825
48.706057 90.535 -164.4068
49.072268 90.522 -164.3999
49.438479 90.512 -164.3710
49.804690 90.503 -164.3362
50.170901 90.492 -164.3122
50.537112 90.480 -164.3116
50.903323 90.464 -164.3418
51.269534 90.445 -164.4052
51.635745 90.425 -164.4986
52.001956 90.404 -164.6112
52.368167 90.384 -164.7247
52.734378 90.365 -164.8165
53.100589 90.347 -164.8658
53.466800 90.331 -164.8622
53.833011 90.318 -164.8099
54.199222 90.307 -164.7265
54.565432 90.297 -164.6361
54.931643 90.285 -164.5589
55.297854 90.272 -164.5052
55.664065 90.257 -164.4737
56.030276 90.242 -164.4560
56.396487 90.229 -164.4434
56.762698 90.219 -164.4316
57.128909 90.212 -164.4205
57.495120 90.207 -164.4120
57.861331 90.200 -164.4058
58.227542 90.189 -164.3980
58.593753 90.172 -164.3829
58.959964 90.149 -164.3560
59.326175 90.123 -164.3169
59.692386 90.095 -164.2699
60.058597 90.069 -164.2216
60.424808 90.047 -164.1778
60.791019 90.029 -164.1410
61.157230 90.014 -164.1096
61.523441 90.002 -164.0797
61.889652 89.990 -164.0467
62.255863 89.978 -164.0085
62.622074 89.964 -163.9657
62.988285 89.950 -163.9227
63.354496 89.936 -163.8859
63.720707 89.921 -163.8615
64.086918 89.907 -163.8529
64.453129 89.892 -163.8586
64.819340 89.876 -163.8714
65.185551 89.859 -163.8808
65.551762 89.840 -163.8757
65.917972 89.820 -163.8491
66.284183 89.798 -163.7993
66.650394 89.775 -163.7304
67.016605 89.753 -163.6497
67.382816 89.731 -163.5647
67.749027 89.710 -163.4810
68.115238 89.691 -163.4011
68.481449 89.673 -163.3264
68.847660 89.656 -163.2582
69.213871 89.641 -163.1988
69.580082 89.627 -163.1508
69.946293 89.614 -163.1151
70.312504 89.601 -163.0895
70.678715 89.588 -163.0674
71.044926 89.574 -163.0400
71.411137 89.559 -162.9987
71.777348 89.543 -162.9379
72.143559 89.528 -162.8568
72.509770 89.511 -162.7589
72.875981 89.495 -162.6511
73.242192 89.478 -162.5425
73.608403 89.461 -162.4434
73.974614 89.444 -162.3639
74.340825 89.429 -162.3120
74.707036 89.414 -162.2893
75.073247 89.398 -162.2891
75.439458 89.381 -162.2966
75.805669 89.360 -162.2943
76.171880 89.337 -162.2690
76.538091 89.312 -162.2180
76.904301 89.286 -162.1487
77.270512 89.261 -162.0731
77.636723 89.238 -162.0002
78.002934 89.219 -161.9320
78.369145 89.206 -161.8647
78.735356 89.203 -161.7953
79.101567 89.209 -161.7260
79.467778 89.224 -161.6635
79.833989 89.242 -161.6128
80.200200 89.256 -161.5705
80.566411 89.257 -161.5229
80.932622 89.244 -161.4516
81.298833 89.215 -161.3434
81.665044 89.174 -161.1983
82.031255 89.126 -161.0304
82.397466 89.078 -160.8607
82.763677 89.032 -160.7081
83.129888 88.991 -160.5820
83.496099 88.957 -160.4812
83.862310 88.928 -160.3979
84.228521 88.903 -160.3223
84.594732 88.880 -160.2457
84.960943 88.858 -160.1610
85.327154 88.834 -160.0621
85.693365 88.811 -159.9444
86.059576 88.788 -159.8059
86.425787 88.768 -159.6490
86.791998 88.752 -159.4798
87.158209 88.741 -159.3051
87.524420 88.733 -159.1308
87.890631 88.727 -158.9602
88.256841 88.721 -158.7960
88.623052 88.712 -158.6436
88.989263 88.700 -158.5126
89.355474 88.685 -158.4144
89.721685 88.668 -158.3568
90.087896 88.648 -158.3383
90.454107 88.625 -158.3453
90.820318 88.600 -158.3540
91.186529 88.575 -158.3384
91.552740 88.550 -158.2780
91.918951 88.526 -158.1640
92.285162 88.506 -158.0006
92.651373 88.487 -157.8017
93.017584 88.469 -157.5851
93.383795 88.453 -157.3678
93.750006 88.437 -157.1621
94.116217 88.422 -156.9741
94.482428 88.410 -156.8045
94.848639 88.399 -156.6489
95.214850 88.390 -156.5006
95.581061 88.381 -156.3520
95.947272 88.372 -156.1978
96.313483 88.360 -156.0367
96.679694 88.345 -155.8717
97.045905 88.327 -155.7097
97.412116 88.306 -155.5585
97.778327 88.284 -155.4247
98.144538 88.261 -155.3118
98.510749 88.239 -155.2177
98.876960 88.217 -155.1345
99.243170 88.195 -155.0491
99.609381 88.174 -154.9456
99.975592 88.152 -154.8102
100.341803 88.132 -154.6359
100.708014 88.113 -154.4261
101.074225 88.098 -154.1941
101.440436 88.087 -153.9597
101.806647 88.081 -153.7428
102.172858 88.077 -153.5564
102.539069 88.076 -153.4038
102.905280 88.075 -153.2787
103.271491 88.072 -153.1688
103.637702 88.068 -153.0605
104.003913 88.062 -152.9431
104.370124 88.054 -152.8111
104.736335 88.045 -152.6648
105.102546 88.035 -152.5089
105.468757 88.025 -152.3509
105.834968 88.015 -152.1988
106.201179 88.006 -152.0589
106.567390 87.996 -151.9342
106.933601 87.987 -151.8240
107.299812 87.978 -151.7246
107.666023 87.968 -151.6311
108.032234 87.958 -151.5397
108.398445 87.948 -151.4490
108.764656 87.938 -151.3604
109.130867 87.928 -151.2770
109.497078 87.919 -151.2019
109.863289 87.910 -151.1363
110.229500 87.901 -151.0787
110.595710 87.891 -151.0249
110.961921 87.879 -150.9688
111.328132 87.866 -150.9036
111.694343 87.851 -150.8239
112.060554 87.835 -150.7262
112.426765 87.819 -150.6100
112.792976 87.803 -150.4782
113.159187 87.788 -150.3360
113.525398 87.774 -150.1901
113.891609 87.762 -150.0476
114.257820 87.751 -149.9137
114.624031 87.740 -149.7914
114.990242 87.729 -149.6808
115.356453 87.719 -149.5799
115.722664 87.707 -149.4861
116.088875 87.696 -149.3975
116.455086 87.684 -149.3136
116.821297 87.672 -149.2350
117.187508 87.661 -149.1620
117.553719 87.650 -149.0936
117.919930 87.639 -149.0263
118.286141 87.628 -148.9545
118.652352 87.619 -148.8717
119.018563 87.611 -148.7726
119.384774 87.606 -148.6546
119.750985 87.604 -148.5189
120.117196 87.607 -148.3699
120.483407 87.613 -148.2138
120.849618 87.623 -148.0565
121.215829 87.634 -147.9016
121.582040 87.646 -147.7500
121.948250 87.656 -147.5997
122.314461 87.662 -147.4470
122.680672 87.665 -147.2877
123.046883 87.662 -147.1186
123.413094 87.653 -146.9379
123.779305 87.638 -146.7456
124.145516 87.619 -146.5430
124.511727 87.595 -146.3323
124.877938 87.568 -146.1159
125.244149 87.539 -145.8964
125.610360 87.511 -145.6766
125.976571 87.484 -145.4595
126.342782 87.459 -145.2485
126.708993 87.439 -145.0472
127.075204 87.422 -144.8590
127.441415 87.408 -144.6864
127.807626 87.398 -144.5311
128.173837 87.389 -144.3933
128.540048 87.382 -144.2721
128.906259 87.376 -144.1659
129.272470 87.370 -144.0727
129.638681 87.363 -143.9906
130.004892 87.355 -143.9175
130.371103 87.345 -143.8515
130.737314 87.334 -143.7901
131.103525 87.322 -143.7307
131.469736 87.308 -143.6705
131.835947 87.293 -143.6068
132.202158 87.276 -143.5370
132.568369 87.260 -143.4586
132.934579 87.243 -143.3695
133.300790 87.227 -143.2672
133.667001 87.211 -143.1495
134.033212 87.196 -143.0147
134.399423 87.183 -142.8620
134.765634 87.171 -142.6917
135.131845 87.162 -142.5057
135.498056 87.154 -142.3076
135.864267 87.147 -142.1017
136.230478 87.142 -141.8933
136.596689 87.138 -141.6875
136.962900 87.134 -141.4891
137.329111 87.130 -141.3019
137.695322 87.126 -141.1286
138.061533 87.121 -140.9705
138.427744 87.116 -140.8276
138.793955 87.111 -140.6980
139.160166 87.105 -140.5788
139.526377 87.099 -140.4662
139.892588 87.091 -140.3564
140.258799 87.083 -140.2466
140.625010 87.074 -140.1351
140.991221 87.064 -140.0223
141.357432 87.052 -139.9095
141.723643 87.038 -139.7993
142.089854 87.023 -139.6943
142.456065 87.006 -139.5965
142.822276 86.987 -139.5068
143.188487 86.968 -139.4247
143.554698 86.950 -139.3481
143.920909 86.932 -139.2741
144.287119 86.917 -139.1989
144.653330 86.904 -139.1189
145.019541 86.894 -139.0312
145.385752 86.888 -138.9345
145.751963 86.883 -138.8286
146.118174 86.880 -138.7151
146.484385 86.879 -138.5969
146.850596 86.877 -138.4771
147.216807 86.875 -138.3586
147.583018 86.872 -138.2439
147.949229 86.867 -138.1338
148.315440 86.860 -138.0277
148.681651 86.852 -137.9239
149.047862 86.842 -137.8193
149.414073 86.831 -137.7107
149.780284 86.819 -137.5950
150.146495 86.807 -137.4698
150.512706 86.795 -137.3343
150.878917 86.783 -137.1888
151.245128 86.771 -137.0349
151.611339 86.759 -136.8752
151.977550 86.747 -136.7124
152.343761 86.736 -136.5492
152.709972 86.725 -136.3878
153.076183 86.715 -136.2295
153.442394 86.705 -136.0750
153.808605 86.696 -135.9241
154.174816 86.688 -135.7766
154.541027 86.681 -135.6319
154.907238 86.674 -135.4894
155.273448 86.668 -135.3485
155.639659 86.662 -135.2089
156.005870 86.657 -135.0705
156.372081 86.652 -134.9331
156.738292 86.648 -134.7972
157.104503 86.642 -134.6629
157.470714 86.636 -134.5310
157.836925 86.630 -134.4018
158.203136 86.622 -134.2757
158.569347 86.613 -134.1530
158.935558 86.604 -134.0335
159.301769 86.593 -133.9170
159.667980 86.581 -133.8027
160.034191 86.569 -133.6898
160.400402 86.557 -133.5773
160.766613 86.545 -133.4643
161.132824 86.532 -133.3500
161.499035 86.521 -133.2339
161.865246 86.510 -133.1156
162.231457 86.499 -132.9953
162.597668 86.490 -132.8731
