* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 18, 2023 9:58:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi C2 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.645 -164.2837
20.507813 90.655 -164.4346
20.874023 90.677 -164.8445
21.240234 90.686 -165.3074
21.606445 90.678 -165.8428
21.972656 90.659 -166.4799
22.338867 90.639 -167.1822
22.705078 90.625 -167.9015
23.071289 90.625 -168.6030
23.437500 90.643 -169.2633
23.803711 90.672 -169.8630
24.169922 90.707 -170.3830
24.536133 90.740 -170.8127
24.902344 90.766 -171.1603
25.268555 90.785 -171.4544
25.634766 90.796 -171.7349
26.000977 90.800 -172.0397
26.367188 90.800 -172.3892
26.733399 90.797 -172.7813
27.099610 90.794 -173.1976
27.465821 90.793 -173.6149
27.832032 90.796 -174.0146
28.198243 90.802 -174.3909
28.564454 90.810 -174.7497
28.930665 90.816 -175.1003
29.296876 90.817 -175.4469
29.663087 90.812 -175.7852
30.029298 90.804 -176.1070
30.395509 90.795 -176.4086
30.761720 90.789 -176.6966
31.127931 90.789 -176.9865
31.494142 90.792 -177.2927
31.860353 90.795 -177.6183
32.226563 90.795 -177.9519
32.592774 90.790 -178.2755
32.958985 90.780 -178.5762
33.325196 90.770 -178.8536
33.691407 90.759 -179.1183
34.057618 90.750 -179.3852
34.423829 90.741 -179.6636
34.790040 90.732 -179.9538
35.156251 90.721 179.7492
35.522462 90.710 179.4500
35.888673 90.699 179.1496
36.254884 90.688 178.8484
36.621095 90.677 178.5490
36.987306 90.666 178.2579
37.353517 90.656 177.9809
37.719728 90.647 177.7188
38.085939 90.638 177.4645
38.452150 90.628 177.2065
38.818361 90.616 176.9362
39.184572 90.601 176.6531
39.550783 90.582 176.3641
39.916994 90.560 176.0796
40.283205 90.539 175.8071
40.649416 90.519 175.5489
41.015627 90.504 175.3022
41.381838 90.491 175.0621
41.748049 90.480 174.8236
42.114260 90.468 174.5829
42.480471 90.456 174.3374
42.846682 90.441 174.0859
43.212893 90.423 173.8302
43.579103 90.402 173.5754
43.945314 90.378 173.3293
44.311525 90.354 173.0984
44.677736 90.331 172.8839
45.043947 90.308 172.6806
45.410158 90.287 172.4805
45.776369 90.264 172.2787
46.142580 90.240 172.0768
46.508791 90.215 171.8805
46.875002 90.191 171.6937
47.241213 90.171 171.5128
47.607424 90.155 171.3265
47.973635 90.142 171.1228
48.339846 90.129 170.8972
48.706057 90.113 170.6550
49.072268 90.091 170.4061
49.438479 90.064 170.1553
49.804690 90.033 169.8967
50.170901 89.999 169.6173
50.537112 89.963 169.3098
50.903323 89.923 168.9850
51.269534 89.880 168.6739
51.635745 89.835 168.4153
52.001956 89.793 168.2365
52.368167 89.757 168.1382
52.734378 89.730 168.0949
53.100589 89.709 168.0688
53.466800 89.689 168.0290
53.833011 89.667 167.9628
54.199222 89.639 167.8730
54.565432 89.607 167.7675
54.931643 89.574 167.6500
55.297854 89.541 167.5200
55.664065 89.510 167.3803
56.030276 89.479 167.2430
56.396487 89.447 167.1280
56.762698 89.414 167.0530
57.128909 89.379 167.0228
57.495120 89.343 167.0260
57.861331 89.304 167.0421
58.227542 89.262 167.0522
58.593753 89.215 167.0471
58.959964 89.165 167.0269
59.326175 89.114 166.9963
59.692386 89.065 166.9617
60.058597 89.019 166.9323
60.424808 88.974 166.9227
60.791019 88.930 166.9515
61.157230 88.885 167.0331
61.523441 88.839 167.1680
61.889652 88.794 167.3396
62.255863 88.750 167.5205
62.622074 88.711 167.6847
62.988285 88.679 167.8173
63.354496 88.656 167.9192
63.720707 88.644 168.0084
64.086918 88.640 168.1223
64.453129 88.639 168.3193
64.819340 88.634 168.6711
65.185551 88.623 169.2372
65.551762 88.610 170.0288
65.917972 88.600 170.9786
66.284183 88.600 171.9440
66.650394 88.609 172.7490
67.016605 88.621 173.2485
67.382816 88.627 173.3808
67.749027 88.623 173.1811
68.115238 88.611 172.7509
68.481449 88.600 172.2087
68.847660 88.596 171.6505
69.213871 88.599 171.1392
69.580082 88.604 170.7177
69.946293 88.601 170.4254
70.312504 88.581 170.2995
70.678715 88.546 170.3601
71.044926 88.504 170.5906
71.411137 88.466 170.9333
71.777348 88.443 171.3067
72.143559 88.439 171.6381
72.509770 88.452 171.8920
72.875981 88.477 172.0814
73.242192 88.508 172.2541
73.608403 88.542 172.4659
73.974614 88.580 172.7522
74.340825 88.623 173.1113
74.707036 88.672 173.5052
75.073247 88.726 173.8758
75.439458 88.782 174.1669
75.805669 88.834 174.3452
76.171880 88.877 174.4084
76.538091 88.909 174.3802
76.904301 88.930 174.2935
77.270512 88.946 174.1721
77.636723 88.961 174.0196
78.002934 88.981 173.8214
78.369145 89.008 173.5569
78.735356 89.043 173.2157
79.101567 89.083 172.8080
79.467778 89.129 172.3655
79.833989 89.179 171.9311
80.200200 89.234 171.5449
80.566411 89.292 171.2335
80.932622 89.350 171.0049
81.298833 89.403 170.8516
81.665044 89.447 170.7567
82.031255 89.477 170.7003
82.397466 89.490 170.6623
82.763677 89.485 170.6227
83.129888 89.467 170.5608
83.496099 89.438 170.4562
83.862310 89.404 170.2918
84.228521 89.371 170.0579
84.594732 89.341 169.7563
84.960943 89.317 169.4012
85.327154 89.300 169.0174
85.693365 89.291 168.6351
86.059576 89.289 168.2844
86.425787 89.292 167.9893
86.791998 89.297 167.7641
87.158209 89.301 167.6109
87.524420 89.302 167.5209
87.890631 89.295 167.4766
88.256841 89.279 167.4558
88.623052 89.254 167.4361
88.989263 89.222 167.3976
89.355474 89.186 167.3252
89.721685 89.150 167.2096
90.087896 89.119 167.0485
90.454107 89.095 166.8479
90.820318 89.080 166.6219
91.186529 89.072 166.3916
91.552740 89.070 166.1806
91.918951 89.070 166.0083
92.285162 89.070 165.8842
92.651373 89.067 165.8045
93.017584 89.061 165.7535
93.383795 89.051 165.7095
93.750006 89.037 165.6522
94.116217 89.017 165.5686
94.482428 88.994 165.4563
94.848639 88.968 165.3217
95.214850 88.941 165.1760
95.581061 88.914 165.0307
95.947272 88.888 164.8943
96.313483 88.864 164.7706
96.679694 88.842 164.6590
97.045905 88.821 164.5566
97.412116 88.802 164.4596
97.778327 88.783 164.3648
98.144538 88.766 164.2711
98.510749 88.750 164.1794
98.876960 88.735 164.0928
99.243170 88.721 164.0147
99.609381 88.707 163.9479
99.975592 88.693 163.8934
100.341803 88.679 163.8494
100.708014 88.665 163.8121
101.074225 88.648 163.7762
101.440436 88.631 163.7372
101.806647 88.612 163.6920
102.172858 88.593 163.6401
102.539069 88.573 163.5838
102.905280 88.553 163.5266
103.271491 88.533 163.4727
103.637702 88.514 163.4250
104.003913 88.496 163.3848
104.370124 88.477 163.3513
104.736335 88.459 163.3222
105.102546 88.441 163.2945
105.468757 88.423 163.2653
105.834968 88.404 163.2327
106.201179 88.386 163.1962
106.567390 88.368 163.1562
106.933601 88.351 163.1144
107.299812 88.335 163.0730
107.666023 88.320 163.0339
108.032234 88.305 162.9991
108.398445 88.290 162.9694
108.764656 88.276 162.9451
109.130867 88.260 162.9257
109.497078 88.244 162.9099
109.863289 88.227 162.8964
110.229500 88.208 162.8837
110.595710 88.190 162.8701
110.961921 88.171 162.8543
111.328132 88.153 162.8353
111.694343 88.135 162.8125
112.060554 88.119 162.7859
112.426765 88.104 162.7562
112.792976 88.090 162.7246
113.159187 88.077 162.6929
113.525398 88.065 162.6628
113.891609 88.052 162.6358
114.257820 88.040 162.6128
114.624031 88.028 162.5943
114.990242 88.017 162.5800
115.356453 88.005 162.5690
115.722664 87.994 162.5605
116.088875 87.984 162.5529
116.455086 87.973 162.5448
116.821297 87.962 162.5344
117.187508 87.950 162.5200
117.553719 87.937 162.4998
117.919930 87.923 162.4724
118.286141 87.908 162.4368
118.652352 87.892 162.3925
119.018563 87.876 162.3397
119.384774 87.859 162.2792
119.750985 87.842 162.2128
120.117196 87.826 162.1426
120.483407 87.810 162.0716
120.849618 87.794 162.0032
121.215829 87.779 161.9412
121.582040 87.763 161.8889
121.948250 87.747 161.8491
122.314461 87.730 161.8237
122.680672 87.713 161.8128
123.046883 87.696 161.8153
123.413094 87.680 161.8287
123.779305 87.664 161.8497
124.145516 87.648 161.8744
124.511727 87.634 161.8993
124.877938 87.620 161.9212
125.244149 87.607 161.9376
125.610360 87.594 161.9469
125.976571 87.580 161.9483
126.342782 87.566 161.9422
126.708993 87.551 161.9298
127.075204 87.536 161.9133
127.441415 87.520 161.8954
127.807626 87.503 161.8785
128.173837 87.486 161.8646
128.540048 87.470 161.8543
128.906259 87.454 161.8477
129.272470 87.438 161.8435
129.638681 87.422 161.8405
130.004892 87.406 161.8375
130.371103 87.390 161.8336
130.737314 87.373 161.8288
131.103525 87.355 161.8236
131.469736 87.336 161.8188
131.835947 87.317 161.8153
132.202158 87.297 161.8139
132.568369 87.276 161.8154
132.934579 87.256 161.8201
133.300790 87.235 161.8286
133.667001 87.215 161.8411
134.033212 87.195 161.8581
134.399423 87.176 161.8798
134.765634 87.157 161.9062
135.131845 87.138 161.9373
135.498056 87.121 161.9729
135.864267 87.103 162.0129
136.230478 87.085 162.0573
136.596689 87.067 162.1061
136.962900 87.049 162.1593
137.329111 87.031 162.2170
137.695322 87.012 162.2788
138.061533 86.992 162.3443
138.427744 86.972 162.4128
138.793955 86.952 162.4836
139.160166 86.932 162.5555
139.526377 86.911 162.6280
139.892588 86.891 162.7003
140.258799 86.870 162.7720
140.625010 86.849 162.8430
140.991221 86.828 162.9131
141.357432 86.807 162.9826
141.723643 86.786 163.0518
142.089854 86.765 163.1210
142.456065 86.744 163.1909
142.822276 86.724 163.2621
143.188487 86.705 163.3354
143.554698 86.687 163.4121
143.920909 86.670 163.4930
144.287119 86.654 163.5793
144.653330 86.639 163.6717
145.019541 86.625 163.7707
145.385752 86.612 163.8764
145.751963 86.600 163.9883
146.118174 86.589 164.1054
146.484385 86.579 164.2264
146.850596 86.569 164.3495
147.216807 86.560 164.4728
147.583018 86.552 164.5947
147.949229 86.546 164.7134
148.315440 86.541 164.8282
148.681651 86.537 164.9386
149.047862 86.534 165.0447
149.414073 86.533 165.1474
149.780284 86.534 165.2479
150.146495 86.535 165.3477
150.512706 86.538 165.4486
150.878917 86.541 165.5521
151.245128 86.546 165.6594
151.611339 86.550 165.7712
151.977550 86.555 165.8873
152.343761 86.559 166.0067
152.709972 86.564 166.1275
153.076183 86.568 166.2471
153.442394 86.572 166.3626
153.808605 86.576 166.4713
154.174816 86.580 166.5710
154.541027 86.584 166.6600
154.907238 86.589 166.7375
155.273448 86.594 166.8033
155.639659 86.601 166.8578
156.005870 86.609 166.9015
156.372081 86.618 166.9348
156.738292 86.628 166.9583
157.104503 86.640 166.9723
157.470714 86.652 166.9771
157.836925 86.665 166.9734
158.203136 86.677 166.9618
158.569347 86.688 166.9432
158.935558 86.699 166.9189
159.301769 86.709 166.8897
159.667980 86.718 166.8566
160.034191 86.726 166.8200
160.400402 86.732 166.7798
160.766613 86.738 166.7355
161.132824 86.743 166.6860
161.499035 86.746 166.6299
161.865246 86.749 166.5663
162.231457 86.750 166.4946
162.597668 86.749 166.4151
162.963879 86.747 166.3292
163.330090 86.744 166.2393
163.696301 86.739 166.1488
164.062512 86.734 166.0612
164.428723 86.727 165.9797
164.794934 86.720 165.9072
165.161145 86.712 165.8452
165.527356 86.704 165.7940
165.893567 86.696 165.7532
166.259778 86.688 165.7210
166.625988 86.680 165.6956
166.992199 86.671 165.6747
167.358410 86.663 165.6564
167.724621 86.655 165.6391
168.090832 86.646 165.6216
168.457043 86.638 165.6033
168.823254 86.630 165.5839
169.189465 86.622 165.5632
169.555676 86.613 165.5416
169.921887 86.605 165.5193
170.288098 86.596 165.4966
170.654309 86.588 165.4737
171.020520 86.579 165.4511
171.386731 86.570 165.4291
171.752942 86.561 165.4080
