* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:33:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tinhifi P1 Max R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.526 -156.5107
20.507813 89.552 -156.6582
20.874023 89.616 -157.0128
21.240234 89.669 -157.2776
21.606445 89.704 -157.4417
21.972656 89.728 -157.5684
22.338867 89.744 -157.6873
22.705078 89.756 -157.8224
23.071289 89.766 -157.9935
23.437500 89.777 -158.2043
23.803711 89.787 -158.4408
24.169922 89.796 -158.6785
24.536133 89.804 -158.8982
24.902344 89.810 -159.0991
25.268555 89.816 -159.2976
25.634766 89.821 -159.5177
26.000977 89.825 -159.7766
26.367188 89.826 -160.0730
26.733399 89.826 -160.3868
27.099610 89.825 -160.6910
27.465821 89.828 -160.9655
27.832032 89.834 -161.2033
28.198243 89.842 -161.4105
28.564454 89.849 -161.5994
28.930665 89.852 -161.7791
29.296876 89.849 -161.9523
29.663087 89.842 -162.1190
30.029298 89.834 -162.2823
30.395509 89.830 -162.4495
30.761720 89.830 -162.6272
31.127931 89.836 -162.8157
31.494142 89.845 -163.0060
31.860353 89.855 -163.1837
32.226563 89.864 -163.3367
32.592774 89.871 -163.4632
32.958985 89.876 -163.5701
33.325196 89.877 -163.6675
33.691407 89.874 -163.7620
34.057618 89.869 -163.8564
34.423829 89.863 -163.9523
34.790040 89.858 -164.0534
35.156251 89.855 -164.1660
35.522462 89.854 -164.2946
35.888673 89.854 -164.4367
36.254884 89.853 -164.5810
36.621095 89.850 -164.7124
36.987306 89.846 -164.8202
37.353517 89.842 -164.9045
37.719728 89.838 -164.9757
38.085939 89.835 -165.0476
38.452150 89.831 -165.1294
38.818361 89.825 -165.2206
39.184572 89.817 -165.3135
39.550783 89.807 -165.3984
39.916994 89.796 -165.4704
40.283205 89.786 -165.5308
40.649416 89.777 -165.5854
41.015627 89.769 -165.6415
41.381838 89.761 -165.7047
41.748049 89.754 -165.7770
42.114260 89.748 -165.8550
42.480471 89.743 -165.9310
42.846682 89.739 -165.9960
43.212893 89.737 -166.0444
43.579103 89.736 -166.0775
43.945314 89.735 -166.1030
44.311525 89.731 -166.1300
44.677736 89.724 -166.1648
45.043947 89.712 -166.2098
45.410158 89.699 -166.2660
45.776369 89.688 -166.3356
46.142580 89.680 -166.4205
46.508791 89.675 -166.5158
46.875002 89.672 -166.6057
47.241213 89.669 -166.6677
47.607424 89.663 -166.6858
47.973635 89.655 -166.6635
48.339846 89.646 -166.6254
48.706057 89.633 -166.6037
49.072268 89.617 -166.6169
49.438479 89.599 -166.6590
49.804690 89.588 -166.7087
50.170901 89.591 -166.7522
50.537112 89.615 -166.8008
50.903323 89.658 -166.8857
51.269534 89.708 -167.0298
51.635745 89.747 -167.2194
52.001956 89.760 -167.3970
52.368167 89.742 -167.4866
52.734378 89.698 -167.4366
53.100589 89.641 -167.2528
53.466800 89.585 -166.9985
53.833011 89.541 -166.7622
54.199222 89.509 -166.6123
54.565432 89.487 -166.5679
54.931643 89.471 -166.6003
55.297854 89.457 -166.6588
55.664065 89.445 -166.7013
56.030276 89.437 -166.7109
56.396487 89.430 -166.6929
56.762698 89.423 -166.6620
57.128909 89.414 -166.6297
57.495120 89.403 -166.6001
57.861331 89.390 -166.5732
58.227542 89.376 -166.5481
58.593753 89.365 -166.5248
58.959964 89.355 -166.5026
59.326175 89.346 -166.4788
59.692386 89.338 -166.4500
60.058597 89.328 -166.4144
60.424808 89.318 -166.3736
60.791019 89.307 -166.3323
61.157230 89.295 -166.2956
61.523441 89.283 -166.2659
61.889652 89.270 -166.2413
62.255863 89.257 -166.2165
62.622074 89.245 -166.1847
62.988285 89.233 -166.1415
63.354496 89.222 -166.0865
63.720707 89.212 -166.0235
64.086918 89.203 -165.9585
64.453129 89.194 -165.8959
64.819340 89.184 -165.8370
65.185551 89.172 -165.7796
65.551762 89.161 -165.7207
65.917972 89.149 -165.6592
66.284183 89.138 -165.5978
66.650394 89.128 -165.5418
67.016605 89.118 -165.4961
67.382816 89.108 -165.4623
67.749027 89.098 -165.4377
68.115238 89.086 -165.4159
68.481449 89.073 -165.3903
68.847660 89.059 -165.3562
69.213871 89.046 -165.3119
69.580082 89.034 -165.2586
69.946293 89.021 -165.1989
70.312504 89.009 -165.1360
70.678715 88.997 -165.0727
71.044926 88.984 -165.0116
71.411137 88.970 -164.9546
71.777348 88.956 -164.9021
72.143559 88.942 -164.8528
72.509770 88.928 -164.8035
72.875981 88.915 -164.7507
73.242192 88.901 -164.6913
73.608403 88.888 -164.6246
73.974614 88.875 -164.5518
74.340825 88.862 -164.4758
74.707036 88.847 -164.3990
75.073247 88.831 -164.3228
75.439458 88.813 -164.2468
75.805669 88.794 -164.1706
76.171880 88.775 -164.0942
76.538091 88.757 -164.0197
76.904301 88.742 -163.9498
77.270512 88.730 -163.8871
77.636723 88.720 -163.8317
78.002934 88.711 -163.7808
78.369145 88.703 -163.7293
78.735356 88.695 -163.6720
79.101567 88.686 -163.6061
79.467778 88.677 -163.5323
79.833989 88.667 -163.4540
80.200200 88.656 -163.3753
80.566411 88.642 -163.2987
80.932622 88.627 -163.2240
81.298833 88.610 -163.1488
81.665044 88.592 -163.0699
82.031255 88.573 -162.9855
82.397466 88.555 -162.8960
82.763677 88.538 -162.8038
83.129888 88.523 -162.7120
83.496099 88.509 -162.6232
83.862310 88.496 -162.5388
84.228521 88.485 -162.4583
84.594732 88.473 -162.3799
84.960943 88.461 -162.3006
85.327154 88.449 -162.2166
85.693365 88.436 -162.1246
86.059576 88.423 -162.0220
86.425787 88.409 -161.9064
86.791998 88.394 -161.7746
87.158209 88.379 -161.6225
87.524420 88.364 -161.4446
87.890631 88.350 -161.2377
88.256841 88.338 -161.0043
88.623052 88.331 -160.7563
88.989263 88.329 -160.5142
89.355474 88.330 -160.3032
89.721685 88.333 -160.1448
90.087896 88.332 -160.0499
90.454107 88.326 -160.0153
90.820318 88.311 -160.0257
91.186529 88.289 -160.0602
91.552740 88.261 -160.0994
91.918951 88.230 -160.1303
92.285162 88.200 -160.1474
92.651373 88.170 -160.1503
93.017584 88.143 -160.1402
93.383795 88.117 -160.1178
93.750006 88.093 -160.0821
94.116217 88.069 -160.0316
94.482428 88.046 -159.9655
94.848639 88.022 -159.8848
95.214850 88.000 -159.7919
95.581061 87.978 -159.6902
95.947272 87.957 -159.5833
96.313483 87.936 -159.4740
96.679694 87.917 -159.3640
97.045905 87.897 -159.2532
97.412116 87.877 -159.1411
97.778327 87.856 -159.0269
98.144538 87.833 -158.9105
98.510749 87.810 -158.7924
98.876960 87.785 -158.6734
99.243170 87.760 -158.5536
99.609381 87.734 -158.4312
99.975592 87.708 -158.3024
100.341803 87.682 -158.1623
100.708014 87.655 -158.0060
101.074225 87.628 -157.8303
101.440436 87.602 -157.6350
101.806647 87.576 -157.4232
102.172858 87.551 -157.2002
102.539069 87.526 -156.9724
102.905280 87.501 -156.7456
103.271491 87.477 -156.5232
103.637702 87.454 -156.3059
104.003913 87.431 -156.0914
104.370124 87.409 -155.8755
104.736335 87.389 -155.6530
105.102546 87.369 -155.4193
105.468757 87.351 -155.1712
105.834968 87.335 -154.9074
106.201179 87.321 -154.6282
106.567390 87.309 -154.3355
106.933601 87.299 -154.0316
107.299812 87.291 -153.7197
107.666023 87.285 -153.4028
108.032234 87.283 -153.0833
108.398445 87.283 -152.7636
108.764656 87.285 -152.4454
109.130867 87.290 -152.1302
109.497078 87.297 -151.8202
109.863289 87.305 -151.5184
110.229500 87.316 -151.2288
110.595710 87.327 -150.9557
110.961921 87.338 -150.7031
111.328132 87.350 -150.4738
111.694343 87.360 -150.2693
112.060554 87.370 -150.0899
112.426765 87.379 -149.9354
112.792976 87.387 -149.8055
113.159187 87.394 -149.7000
113.525398 87.402 -149.6188
113.891609 87.410 -149.5611
114.257820 87.417 -149.5252
114.624031 87.425 -149.5079
114.990242 87.432 -149.5044
115.356453 87.439 -149.5085
115.722664 87.444 -149.5129
116.088875 87.447 -149.5107
116.455086 87.449 -149.4964
116.821297 87.449 -149.4675
117.187508 87.448 -149.4244
117.553719 87.447 -149.3711
117.919930 87.445 -149.3127
118.286141 87.444 -149.2547
118.652352 87.443 -149.2008
119.018563 87.441 -149.1523
119.384774 87.440 -149.1077
119.750985 87.438 -149.0643
120.117196 87.437 -149.0187
120.483407 87.435 -148.9690
120.849618 87.432 -148.9151
121.215829 87.429 -148.8596
121.582040 87.426 -148.8062
121.948250 87.422 -148.7590
122.314461 87.417 -148.7206
122.680672 87.410 -148.6912
123.046883 87.402 -148.6682
123.413094 87.391 -148.6468
123.779305 87.378 -148.6213
124.145516 87.364 -148.5867
124.511727 87.348 -148.5392
124.877938 87.332 -148.4776
125.244149 87.315 -148.4025
125.610360 87.298 -148.3164
125.976571 87.282 -148.2229
126.342782 87.266 -148.1257
126.708993 87.250 -148.0284
127.075204 87.236 -147.9335
127.441415 87.223 -147.8423
127.807626 87.211 -147.7551
128.173837 87.200 -147.6708
128.540048 87.190 -147.5881
128.906259 87.180 -147.5056
129.272470 87.171 -147.4223
129.638681 87.162 -147.3379
130.004892 87.153 -147.2527
130.371103 87.143 -147.1673
130.737314 87.133 -147.0824
131.103525 87.123 -146.9987
131.469736 87.113 -146.9163
131.835947 87.102 -146.8348
132.202158 87.091 -146.7534
132.568369 87.080 -146.6712
132.934579 87.068 -146.5876
133.300790 87.055 -146.5020
133.667001 87.042 -146.4144
134.033212 87.029 -146.3250
134.399423 87.015 -146.2342
134.765634 87.001 -146.1425
135.131845 86.987 -146.0499
135.498056 86.973 -145.9563
135.864267 86.959 -145.8613
136.230478 86.946 -145.7641
136.596689 86.934 -145.6643
136.962900 86.922 -145.5612
137.329111 86.912 -145.4543
137.695322 86.903 -145.3431
138.061533 86.895 -145.2271
138.427744 86.888 -145.1059
138.793955 86.880 -144.9794
139.160166 86.873 -144.8477
139.526377 86.867 -144.7115
139.892588 86.860 -144.5720
140.258799 86.854 -144.4305
140.625010 86.848 -144.2889
140.991221 86.842 -144.1488
141.357432 86.837 -144.0119
141.723643 86.831 -143.8799
142.089854 86.826 -143.7540
142.456065 86.820 -143.6352
142.822276 86.814 -143.5244
143.188487 86.807 -143.4220
143.554698 86.799 -143.3280
143.920909 86.789 -143.2419
144.287119 86.779 -143.1626
144.653330 86.767 -143.0884
145.019541 86.754 -143.0171
145.385752 86.741 -142.9459
145.751963 86.726 -142.8716
146.118174 86.712 -142.7910
146.484385 86.698 -142.7012
146.850596 86.683 -142.5998
147.216807 86.670 -142.4848
147.583018 86.657 -142.3555
147.949229 86.644 -142.2116
148.315440 86.633 -142.0541
148.681651 86.622 -141.8850
149.047862 86.613 -141.7071
149.414073 86.604 -141.5243
149.780284 86.596 -141.3414
150.146495 86.589 -141.1636
150.512706 86.583 -140.9966
150.878917 86.577 -140.8457
151.245128 86.572 -140.7155
151.611339 86.566 -140.6091
151.977550 86.561 -140.5278
152.343761 86.555 -140.4709
152.709972 86.549 -140.4357
153.076183 86.543 -140.4178
153.442394 86.536 -140.4114
153.808605 86.529 -140.4100
154.174816 86.522 -140.4070
154.541027 86.515 -140.3956
154.907238 86.507 -140.3700
155.273448 86.499 -140.3257
155.639659 86.490 -140.2597
156.005870 86.482 -140.1709
156.372081 86.475 -140.0604
156.738292 86.468 -139.9311
157.104503 86.463 -139.7870
157.470714 86.459 -139.6330
157.836925 86.457 -139.4738
158.203136 86.456 -139.3137
158.569347 86.457 -139.1562
158.935558 86.458 -139.0038
159.301769 86.460 -138.8582
159.667980 86.462 -138.7202
160.034191 86.462 -138.5903
160.400402 86.460 -138.4684
160.766613 86.456 -138.3542
161.132824 86.448 -138.2470
161.499035 86.437 -138.1457
161.865246 86.422 -138.0491
162.231457 86.403 -137.9561
162.597668 86.382 -137.8653
