* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 5, 2023 3:04:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tripowin Olina SE R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 86.736 -160.2342
20.507813 86.728 -160.5967
20.874023 86.701 -161.6729
21.240234 86.656 -163.0650
21.606445 86.577 -164.6010
21.972656 86.464 -165.9691
22.338867 86.348 -166.7739
22.705078 86.285 -166.8147
23.071289 86.323 -166.2393
23.437500 86.468 -165.4622
23.803711 86.671 -164.9052
24.169922 86.859 -164.7590
24.536133 86.978 -164.9418
24.902344 87.016 -165.2357
25.268555 86.996 -165.4644
25.634766 86.957 -165.5923
26.000977 86.934 -165.7030
26.367188 86.935 -165.8963
26.733399 86.954 -166.1963
27.099610 86.977 -166.5408
27.465821 86.995 -166.8378
27.832032 87.008 -167.0347
28.198243 87.015 -167.1441
28.564454 87.016 -167.2186
28.930665 87.009 -167.3056
29.296876 86.994 -167.4223
29.663087 86.976 -167.5642
30.029298 86.962 -167.7276
30.395509 86.956 -167.9188
30.761720 86.959 -168.1446
31.127931 86.965 -168.3984
31.494142 86.970 -168.6570
31.860353 86.972 -168.8929
32.226563 86.970 -169.0915
32.592774 86.968 -169.2577
32.958985 86.964 -169.4071
33.325196 86.960 -169.5523
33.691407 86.954 -169.6975
34.057618 86.947 -169.8443
34.423829 86.940 -169.9991
34.790040 86.934 -170.1733
35.156251 86.929 -170.3736
35.522462 86.923 -170.5927
35.888673 86.917 -170.8091
36.254884 86.912 -170.9986
36.621095 86.910 -171.1501
36.987306 86.913 -171.2730
37.353517 86.917 -171.3893
37.719728 86.916 -171.5159
38.085939 86.906 -171.6530
38.452150 86.885 -171.7869
38.818361 86.860 -171.9059
39.184572 86.840 -172.0169
39.550783 86.833 -172.1484
39.916994 86.840 -172.3334
40.283205 86.856 -172.5832
40.649416 86.872 -172.8719
41.015627 86.878 -173.1423
41.381838 86.871 -173.3343
41.748049 86.852 -173.4166
42.114260 86.828 -173.4053
42.480471 86.804 -173.3559
42.846682 86.785 -173.3356
43.212893 86.770 -173.3899
43.579103 86.755 -173.5227
43.945314 86.741 -173.7002
44.311525 86.726 -173.8735
44.677736 86.715 -174.0069
45.043947 86.707 -174.0953
45.410158 86.702 -174.1607
45.776369 86.697 -174.2337
46.142580 86.686 -174.3323
46.508791 86.668 -174.4526
46.875002 86.644 -174.5758
47.241213 86.621 -174.6842
47.607424 86.603 -174.7724
47.973635 86.593 -174.8452
48.339846 86.587 -174.9072
48.706057 86.581 -174.9553
49.072268 86.570 -174.9865
49.438479 86.556 -175.0144
49.804690 86.539 -175.0808
50.170901 86.522 -175.2438
50.537112 86.502 -175.5446
50.903323 86.475 -175.9700
51.269534 86.437 -176.4404
51.635745 86.392 -176.8369
52.001956 86.350 -177.0549
52.368167 86.323 -177.0547
52.734378 86.320 -176.8775
53.100589 86.338 -176.6183
53.466800 86.367 -176.3750
53.833011 86.393 -176.2077
54.199222 86.404 -176.1271
54.565432 86.399 -176.1120
54.931643 86.382 -176.1366
55.297854 86.360 -176.1864
55.664065 86.340 -176.2574
56.030276 86.324 -176.3455
56.396487 86.311 -176.4391
56.762698 86.300 -176.5211
57.128909 86.288 -176.5784
57.495120 86.276 -176.6084
57.861331 86.263 -176.6202
58.227542 86.250 -176.6271
58.593753 86.237 -176.6398
58.959964 86.225 -176.6628
59.326175 86.215 -176.6955
59.692386 86.206 -176.7354
60.058597 86.197 -176.7804
60.424808 86.186 -176.8283
60.791019 86.171 -176.8760
61.157230 86.152 -176.9189
61.523441 86.131 -176.9536
61.889652 86.111 -176.9796
62.255863 86.094 -177.0005
62.622074 86.083 -177.0228
62.988285 86.079 -177.0528
63.354496 86.078 -177.0932
63.720707 86.075 -177.1414
64.086918 86.066 -177.1908
64.453129 86.048 -177.2340
64.819340 86.021 -177.2686
65.185551 85.990 -177.3024
65.551762 85.960 -177.3542
65.917972 85.939 -177.4497
66.284183 85.930 -177.6098
66.650394 85.931 -177.8381
67.016605 85.939 -178.1113
67.382816 85.945 -178.3809
67.749027 85.946 -178.5866
68.115238 85.937 -178.6780
68.481449 85.920 -178.6345
68.847660 85.897 -178.4750
69.213871 85.873 -178.2500
69.580082 85.850 -178.0224
69.946293 85.829 -177.8441
70.312504 85.809 -177.7396
70.678715 85.790 -177.7036
71.044926 85.774 -177.7105
71.411137 85.759 -177.7301
71.777348 85.749 -177.7402
72.143559 85.741 -177.7333
72.509770 85.735 -177.7145
72.875981 85.729 -177.6953
73.242192 85.720 -177.6864
73.608403 85.707 -177.6932
73.974614 85.691 -177.7141
74.340825 85.672 -177.7426
74.707036 85.652 -177.7706
75.073247 85.631 -177.7912
75.439458 85.610 -177.7999
75.805669 85.587 -177.7942
76.171880 85.561 -177.7725
76.538091 85.531 -177.7337
76.904301 85.500 -177.6795
77.270512 85.469 -177.6165
77.636723 85.442 -177.5570
78.002934 85.423 -177.5164
78.369145 85.412 -177.5076
78.735356 85.409 -177.5355
79.101567 85.409 -177.5938
79.467778 85.412 -177.6679
79.833989 85.412 -177.7405
80.200200 85.410 -177.7981
80.566411 85.403 -177.8358
80.932622 85.393 -177.8565
81.298833 85.380 -177.8683
81.665044 85.365 -177.8796
82.031255 85.349 -177.8959
82.397466 85.333 -177.9182
82.763677 85.317 -177.9428
83.129888 85.301 -177.9636
83.496099 85.284 -177.9748
83.862310 85.268 -177.9724
84.228521 85.251 -177.9565
84.594732 85.233 -177.9303
84.960943 85.215 -177.8988
85.327154 85.197 -177.8667
85.693365 85.179 -177.8355
86.059576 85.161 -177.8040
86.425787 85.145 -177.7684
86.791998 85.129 -177.7245
87.158209 85.113 -177.6700
87.524420 85.097 -177.6053
87.890631 85.079 -177.5348
88.256841 85.060 -177.4663
88.623052 85.039 -177.4104
88.989263 85.019 -177.3792
89.355474 85.001 -177.3839
89.721685 84.989 -177.4323
90.087896 84.984 -177.5251
90.454107 84.985 -177.6535
90.820318 84.990 -177.7988
91.186529 84.996 -177.9345
91.552740 84.999 -178.0321
91.918951 84.995 -178.0685
92.285162 84.984 -178.0325
92.651373 84.964 -177.9285
93.017584 84.936 -177.7745
93.383795 84.904 -177.5964
93.750006 84.869 -177.4192
94.116217 84.835 -177.2604
94.482428 84.805 -177.1268
94.848639 84.783 -177.0157
95.214850 84.768 -176.9196
95.581061 84.763 -176.8308
95.947272 84.765 -176.7441
96.313483 84.771 -176.6577
96.679694 84.779 -176.5727
97.045905 84.785 -176.4922
97.412116 84.787 -176.4206
97.778327 84.785 -176.3633
98.144538 84.780 -176.3250
98.510749 84.772 -176.3089
98.876960 84.763 -176.3154
99.243170 84.753 -176.3414
99.609381 84.743 -176.3811
99.975592 84.733 -176.4280
100.341803 84.721 -176.4757
100.708014 84.708 -176.5195
101.074225 84.690 -176.5563
101.440436 84.669 -176.5835
101.806647 84.643 -176.5993
102.172858 84.614 -176.6027
102.539069 84.583 -176.5930
102.905280 84.552 -176.5713
103.271491 84.523 -176.5396
103.637702 84.496 -176.5011
104.003913 84.475 -176.4590
104.370124 84.458 -176.4162
104.736335 84.445 -176.3743
105.102546 84.436 -176.3342
105.468757 84.429 -176.2953
105.834968 84.423 -176.2569
106.201179 84.418 -176.2176
106.567390 84.412 -176.1768
106.933601 84.405 -176.1343
107.299812 84.396 -176.0908
107.666023 84.386 -176.0479
108.032234 84.375 -176.0080
108.398445 84.362 -175.9741
108.764656 84.349 -175.9492
109.130867 84.335 -175.9362
109.497078 84.320 -175.9371
109.863289 84.306 -175.9528
110.229500 84.292 -175.9826
110.595710 84.279 -176.0242
110.961921 84.266 -176.0731
111.328132 84.254 -176.1228
111.694343 84.241 -176.1653
112.060554 84.228 -176.1915
112.426765 84.214 -176.1932
112.792976 84.199 -176.1644
113.159187 84.183 -176.1023
113.525398 84.165 -176.0084
113.891609 84.147 -175.8875
114.257820 84.129 -175.7468
114.624031 84.110 -175.5935
114.990242 84.092 -175.4339
115.356453 84.075 -175.2721
115.722664 84.058 -175.1103
116.088875 84.041 -174.9496
116.455086 84.024 -174.7902
116.821297 84.008 -174.6326
117.187508 83.992 -174.4774
117.553719 83.974 -174.3252
117.919930 83.957 -174.1764
118.286141 83.938 -174.0312
118.652352 83.920 -173.8892
119.018563 83.902 -173.7498
119.384774 83.886 -173.6127
119.750985 83.871 -173.4772
120.117196 83.859 -173.3430
120.483407 83.850 -173.2099
120.849618 83.843 -173.0777
121.215829 83.840 -172.9464
121.582040 83.840 -172.8164
121.948250 83.842 -172.6889
122.314461 83.848 -172.5662
122.680672 83.856 -172.4517
123.046883 83.867 -172.3497
123.413094 83.879 -172.2644
123.779305 83.892 -172.1987
124.145516 83.904 -172.1530
124.511727 83.914 -172.1249
124.877938 83.922 -172.1095
125.244149 83.927 -172.1004
125.610360 83.928 -172.0911
125.976571 83.927 -172.0766
126.342782 83.923 -172.0540
126.708993 83.917 -172.0229
127.075204 83.909 -171.9850
127.441415 83.901 -171.9433
127.807626 83.893 -171.9008
128.173837 83.885 -171.8603
128.540048 83.877 -171.8237
128.906259 83.870 -171.7915
129.272470 83.863 -171.7634
129.638681 83.857 -171.7385
130.004892 83.851 -171.7159
130.371103 83.846 -171.6951
130.737314 83.842 -171.6759
131.103525 83.837 -171.6590
131.469736 83.831 -171.6451
131.835947 83.825 -171.6351
132.202158 83.818 -171.6297
132.568369 83.809 -171.6289
132.934579 83.800 -171.6322
133.300790 83.789 -171.6384
133.667001 83.778 -171.6460
134.033212 83.767 -171.6529
134.399423 83.756 -171.6571
134.765634 83.744 -171.6566
135.131845 83.733 -171.6499
135.498056 83.722 -171.6358
135.864267 83.711 -171.6141
136.230478 83.700 -171.5850
136.596689 83.689 -171.5495
136.962900 83.678 -171.5088
137.329111 83.667 -171.4646
137.695322 83.657 -171.4183
138.061533 83.647 -171.3712
138.427744 83.637 -171.3241
138.793955 83.627 -171.2775
139.160166 83.617 -171.2316
139.526377 83.607 -171.1863
139.892588 83.597 -171.1413
140.258799 83.586 -171.0966
140.625010 83.575 -171.0518
140.991221 83.563 -171.0067
141.357432 83.551 -170.9614
141.723643 83.538 -170.9159
142.089854 83.524 -170.8703
142.456065 83.511 -170.8250
142.822276 83.496 -170.7802
143.188487 83.482 -170.7361
143.554698 83.469 -170.6929
143.920909 83.455 -170.6508
144.287119 83.442 -170.6095
144.653330 83.430 -170.5689
145.019541 83.418 -170.5289
145.385752 83.406 -170.4889
145.751963 83.395 -170.4486
146.118174 83.385 -170.4073
146.484385 83.374 -170.3647
146.850596 83.364 -170.3200
147.216807 83.354 -170.2730
147.583018 83.344 -170.2233
147.949229 83.334 -170.1709
148.315440 83.323 -170.1160
148.681651 83.313 -170.0588
149.047862 83.303 -169.9997
149.414073 83.293 -169.9391
149.780284 83.282 -169.8772
150.146495 83.272 -169.8143
150.512706 83.261 -169.7504
150.878917 83.251 -169.6857
151.245128 83.240 -169.6200
151.611339 83.230 -169.5534
151.977550 83.219 -169.4858
152.343761 83.209 -169.4171
152.709972 83.198 -169.3475
153.076183 83.188 -169.2772
153.442394 83.177 -169.2063
153.808605 83.166 -169.1355
154.174816 83.154 -169.0652
154.541027 83.142 -168.9962
154.907238 83.130 -168.9294
155.273448 83.118 -168.8652
155.639659 83.105 -168.8041
156.005870 83.092 -168.7462
156.372081 83.079 -168.6911
156.738292 83.065 -168.6382
157.104503 83.052 -168.5865
157.470714 83.038 -168.5348
157.836925 83.025 -168.4821
158.203136 83.011 -168.4274
158.569347 82.998 -168.3701
158.935558 82.985 -168.3099
159.301769 82.971 -168.2471
159.667980 82.959 -168.1819
160.034191 82.946 -168.1148
160.400402 82.934 -168.0464
160.766613 82.921 -167.9772
161.132824 82.910 -167.9076
161.499035 82.898 -167.8380
161.865246 82.887 -167.7684
162.231457 82.877 -167.6989
162.597668 82.867 -167.6293
