* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 07 7, 25 10:21:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear PURE R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.148 -10.3839
0.368865 46.142 -10.4058
0.371538 46.134 -10.4387
0.374230 46.124 -10.4800
0.376942 46.112 -10.5275
0.379673 46.099 -10.5796
0.382424 46.086 -10.6353
0.385196 46.072 -10.6939
0.387987 46.058 -10.7551
0.390798 46.044 -10.8187
0.393630 46.030 -10.8844
0.396483 46.016 -10.9525
0.399356 46.002 -11.0227
0.402250 45.987 -11.0951
0.405165 45.972 -11.1698
0.408101 45.958 -11.2467
0.411058 45.943 -11.3258
0.414037 45.928 -11.4073
0.417037 45.913 -11.4910
0.420059 45.898 -11.5770
0.423103 45.883 -11.6653
0.426169 45.867 -11.7560
0.429257 45.852 -11.8491
0.432368 45.836 -11.9445
0.435501 45.820 -12.0423
0.438656 45.805 -12.1425
0.441835 45.789 -12.2451
0.445037 45.773 -12.3502
0.448262 45.756 -12.4578
0.451510 45.740 -12.5678
0.454782 45.724 -12.6803
0.458077 45.707 -12.7953
0.461397 45.691 -12.9128
0.464740 45.674 -13.0328
0.468108 45.657 -13.1554
0.471500 45.640 -13.2805
0.474917 45.623 -13.4082
0.478358 45.606 -13.5385
0.481825 45.588 -13.6713
0.485316 45.571 -13.8068
0.488833 45.553 -13.9449
0.492375 45.535 -14.0856
0.495943 45.518 -14.2289
0.499537 45.500 -14.3749
0.503157 45.481 -14.5236
0.506803 45.463 -14.6749
0.510475 45.445 -14.8289
0.514175 45.426 -14.9856
0.517900 45.408 -15.1449
0.521653 45.389 -15.3070
0.525434 45.370 -15.4719
0.529241 45.351 -15.6394
0.533076 45.332 -15.8097
0.536939 45.312 -15.9828
0.540830 45.293 -16.1586
0.544749 45.273 -16.3371
0.548696 45.253 -16.5185
0.552673 45.233 -16.7026
0.556677 45.213 -16.8896
0.560711 45.193 -17.0794
0.564774 45.173 -17.2720
0.568867 45.152 -17.4674
0.572989 45.132 -17.6657
0.577141 45.111 -17.8669
0.581324 45.090 -18.0710
0.585536 45.069 -18.2779
0.589779 45.047 -18.4878
0.594053 45.026 -18.7006
0.598358 45.005 -18.9164
0.602694 44.983 -19.1351
0.607061 44.961 -19.3569
0.611460 44.939 -19.5817
0.615891 44.917 -19.8095
0.620354 44.894 -20.0404
0.624849 44.872 -20.2745
0.629377 44.849 -20.5117
0.633938 44.826 -20.7520
0.638532 44.803 -20.9957
0.643159 44.780 -21.2425
0.647819 44.757 -21.4927
0.652514 44.733 -21.7463
0.657242 44.710 -22.0033
0.662005 44.686 -22.2638
0.666802 44.662 -22.5279
0.671634 44.637 -22.7956
0.676501 44.613 -23.0670
0.681403 44.588 -23.3422
0.686341 44.564 -23.6214
0.691314 44.538 -23.9046
0.696324 44.513 -24.1920
0.701370 44.487 -24.4837
0.706452 44.460 -24.7802
0.711571 44.432 -25.0816
0.716728 44.402 -25.3887
0.721921 44.368 -25.7021
0.727153 44.330 -26.0230
0.732422 44.285 -26.3530
0.737729 44.232 -26.6936
0.743075 44.171 -27.0468
0.748460 44.103 -27.4140
0.753883 44.027 -27.7965
0.759346 43.945 -28.1953
0.764849 43.856 -28.6111
0.770391 43.762 -29.0445
0.775974 43.662 -29.4960
0.781597 43.557 -29.9661
0.787261 43.447 -30.4552
0.792966 43.332 -30.9638
0.798712 43.213 -31.4924
0.804500 43.089 -32.0414
0.810329 42.961 -32.6114
0.816201 42.828 -33.2029
0.822116 42.692 -33.8164
0.828073 42.552 -34.4527
0.834074 42.408 -35.1122
0.840118 42.261 -35.7958
0.846206 42.112 -36.5042
0.852338 41.959 -37.2381
0.858514 41.804 -37.9983
0.864735 41.646 -38.7859
0.871001 41.487 -39.6018
0.877313 41.325 -40.4470
0.883670 41.163 -41.3228
0.890074 40.999 -42.2304
0.896524 40.835 -43.1711
0.903020 40.671 -44.1464
0.909564 40.506 -45.1581
0.916155 40.343 -46.2078
0.922794 40.180 -47.2976
0.929481 40.018 -48.4296
0.936216 39.858 -49.6062
0.943000 39.701 -50.8299
0.949834 39.546 -52.1038
0.956717 39.395 -53.4309
0.963649 39.248 -54.8147
0.970632 39.105 -56.2592
0.977666 38.966 -57.7686
0.984750 38.834 -59.3475
0.991886 38.708 -61.0013
0.999074 38.589 -62.7357
1.006314 38.477 -64.5568
1.013606 38.374 -66.4717
1.020951 38.281 -68.4878
1.028349 38.197 -70.6133
1.035801 38.123 -72.8570
1.043307 38.062 -75.2284
1.050867 38.013 -77.7374
1.058482 37.977 -80.3944
1.066152 37.956 -83.2096
1.073878 37.949 -86.1932
1.081660 37.959 -89.3540
1.089498 37.986 -92.6980
1.097393 38.029 -96.2271
1.105345 38.091 -99.9362
1.113355 38.170 -103.8111
1.121423 38.267 -107.8279
1.129549 38.381 -111.9533
1.137734 38.513 -116.1471
1.145979 38.661 -120.3647
1.154283 38.827 -124.5607
1.162647 39.008 -128.6919
1.171072 39.206 -132.7198
1.179558 39.419 -136.6131
1.188106 39.646 -140.3477
1.196715 39.888 -143.9079
1.205387 40.143 -147.2847
1.214122 40.412 -150.4756
1.222920 40.693 -153.4829
1.231782 40.986 -156.3129
1.240708 41.290 -158.9742
1.249699 41.605 -161.4772
1.258754 41.929 -163.8332
1.267876 42.262 -166.0537
1.277063 42.603 -168.1503
1.286318 42.951 -170.1340
1.295639 43.306 -172.0154
1.305027 43.665 -173.8045
1.314484 44.029 -175.5104
1.324009 44.396 -177.1416
1.333604 44.766 -178.7059
1.343268 45.136 179.7896
1.353002 45.507 178.3386
1.362806 45.876 176.9351
1.372681 46.242 175.5739
1.382628 46.606 174.2504
1.392647 46.964 172.9602
1.402739 47.316 171.7000
1.412904 47.662 170.4668
1.423142 47.999 169.2586
1.433455 48.329 168.0744
1.443843 48.649 166.9146
1.454305 48.962 165.7811
1.464844 49.269 164.6772
1.475459 49.570 163.6070
1.486150 49.868 162.5739
1.496920 50.163 161.5799
1.507767 50.458 160.6250
1.518693 50.752 159.7076
1.529698 51.046 158.8250
1.540783 51.340 157.9741
1.551948 51.633 157.1513
1.563194 51.927 156.3533
1.574521 52.220 155.5766
1.585931 52.514 154.8179
1.597423 52.807 154.0742
1.608999 53.100 153.3425
1.620658 53.393 152.6203
1.632402 53.685 151.9049
1.644232 53.976 151.1940
1.656146 54.267 150.4855
1.668147 54.557 149.7774
1.680235 54.846 149.0677
1.692411 55.135 148.3547
1.704675 55.422 147.6368
1.717028 55.708 146.9125
1.729470 55.993 146.1805
1.742003 56.276 145.4398
1.754626 56.558 144.6892
1.767341 56.839 143.9284
1.780147 57.117 143.1571
1.793047 57.393 142.3760
1.806040 57.668 141.5865
1.819128 57.939 140.7911
1.832310 58.209 139.9936
1.845587 58.475 139.1981
1.858961 58.739 138.4084
1.872432 59.000 137.6276
1.886001 59.257 136.8570
1.899667 59.512 136.0970
1.913433 59.764 135.3471
1.927299 60.014 134.6065
1.941265 60.261 133.8738
1.955332 60.505 133.1476
1.969501 60.747 132.4264
1.983773 60.987 131.7086
1.998148 61.226 130.9927
2.012627 61.462 130.2771
2.027212 61.697 129.5605
2.041902 61.931 128.8412
2.056698 62.163 128.1182
2.071602 62.395 127.3898
2.086614 62.626 126.6549
2.101734 62.857 125.9124
2.116964 63.087 125.1613
2.132304 63.317 124.4010
2.147756 63.548 123.6313
2.163320 63.778 122.8524
2.178996 64.009 122.0655
2.194786 64.240 121.2726
2.210690 64.469 120.4764
2.226710 64.699 119.6798
2.242845 64.926 118.8849
2.259098 65.153 118.0932
2.275468 65.378 117.3054
2.291957 65.602 116.5214
2.308566 65.825 115.7408
2.325295 66.046 114.9628
2.342145 66.266 114.1865
2.359117 66.485 113.4109
2.376212 66.703 112.6347
2.393431 66.919 111.8570
2.410775 67.135 111.0764
2.428244 67.350 110.2919
2.445840 67.565 109.5022
2.463564 67.779 108.7063
2.481416 67.992 107.9032
2.499397 68.205 107.0922
2.517509 68.418 106.2730
2.535752 68.631 105.4457
2.554127 68.843 104.6110
2.572635 69.054 103.7705
2.591277 69.265 102.9258
2.610055 69.474 102.0788
2.628968 69.683 101.2308
2.648019 69.890 100.3826
2.667208 70.097 99.5347
2.686535 70.302 98.6870
2.706003 70.506 97.8394
2.725612 70.710 96.9915
2.745363 70.912 96.1425
2.765257 71.114 95.2918
2.785295 71.314 94.4387
2.805478 71.514 93.5822
2.825808 71.714 92.7215
2.846285 71.912 91.8558
2.866910 72.110 90.9845
2.887685 72.308 90.1069
2.908611 72.505 89.2229
2.929688 72.701 88.3329
2.950917 72.896 87.4374
2.972301 73.091 86.5375
2.993839 73.284 85.6342
3.015534 73.476 84.7285
3.037386 73.668 83.8209
3.059396 73.858 82.9120
3.081565 74.047 82.0019
3.103896 74.235 81.0908
3.126388 74.422 80.1785
3.149043 74.609 79.2648
3.171862 74.794 78.3492
3.194847 74.979 77.4312
3.217998 75.163 76.5103
3.241317 75.346 75.5857
3.264805 75.528 74.6570
3.288463 75.709 73.7238
3.312293 75.890 72.7858
3.336295 76.069 71.8432
3.360471 76.248 70.8965
3.384822 76.425 69.9464
3.409350 76.601 68.9935
3.434056 76.776 68.0387
3.458940 76.950 67.0825
3.484005 77.122 66.1253
3.509252 77.294 65.1675
3.534681 77.465 64.2093
3.560295 77.635 63.2505
3.586094 77.803 62.2907
3.612081 77.971 61.3297
3.638255 78.138 60.3666
3.664620 78.304 59.4008
3.691175 78.469 58.4317
3.717923 78.632 57.4592
3.744864 78.795 56.4834
3.772001 78.956 55.5048
3.799335 79.116 54.5244
3.826866 79.275 53.5428
3.854597 79.432 52.5609
3.882529 79.589 51.5794
3.910664 79.744 50.5988
3.939002 79.899 49.6193
3.967546 80.052 48.6407
3.996296 80.204 47.6626
4.025255 80.355 46.6842
4.054423 80.506 45.7048
4.083804 80.654 44.7237
4.113396 80.802 43.7408
4.143204 80.948 42.7563
4.173227 81.093 41.7710
4.203468 81.237 40.7858
4.233928 81.380 39.8016
4.264609 81.522 38.8192
4.295512 81.662 37.8392
4.326639 81.802 36.8618
4.357992 81.940 35.8870
4.389572 82.078 34.9141
4.421380 82.214 33.9423
4.453419 82.349 32.9709
4.485691 82.483 31.9997
4.518196 82.616 31.0287
4.550936 82.748 30.0586
4.583914 82.878 29.0901
4.617131 83.008 28.1240
4.650589 83.136 27.1611
4.684289 83.264 26.2020
4.718233 83.391 25.2467
4.752424 83.516 24.2949
4.786862 83.641 23.3461
4.821549 83.765 22.3995
4.856488 83.888 21.4548
4.891680 84.009 20.5121
4.927127 84.130 19.5717
4.962831 84.250 18.6339
4.998794 84.369 17.6996
5.035017 84.488 16.7693
5.071503 84.605 15.8431
5.108253 84.722 14.9212
5.145270 84.838 14.0031
5.182555 84.954 13.0884
5.220110 85.068 12.1766
5.257937 85.182 11.2676
5.296038 85.295 10.3615
5.334415 85.408 9.4585
5.373071 85.520 8.5588
5.412006 85.631 7.6630
5.451224 85.742 6.7708
5.490725 85.853 5.8822
5.530514 85.962 4.9970
5.570590 86.072 4.1148
5.610957 86.181 3.2354
5.651616 86.289 2.3585
5.692570 86.397 1.4841
5.733821 86.504 0.6125
5.775370 86.611 -0.2565
5.817221 86.718 -1.1229
5.859375 86.824 -1.9868
5.901834 86.930 -2.8486
5.944602 87.035 -3.7084
5.987679 87.140 -4.5665
6.031068 87.244 -5.4229
6.074771 87.349 -6.2777
6.118792 87.452 -7.1310
6.163131 87.556 -7.9829
6.207792 87.659 -8.8335
6.252776 87.761 -9.6830
6.298086 87.863 -10.5317
6.343725 87.965 -11.3798
6.389694 88.066 -12.2272
6.435996 88.166 -13.0739
6.482634 88.266 -13.9198
6.529610 88.366 -14.7651
6.576926 88.465 -15.6099
6.624585 88.563 -16.4542
6.672590 88.661 -17.2985
6.720942 88.758 -18.1425
