* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 05 20, 25 10:44:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Twistura Sigma R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.655 7.1236
0.368865 59.680 7.0639
0.371538 59.716 6.9756
0.374230 59.760 6.8669
0.376942 59.810 6.7446
0.379673 59.864 6.6138
0.382424 59.920 6.4777
0.385196 59.977 6.3384
0.387987 60.035 6.1971
0.390798 60.094 6.0544
0.393630 60.154 5.9107
0.396483 60.214 5.7661
0.399356 60.274 5.6209
0.402250 60.335 5.4750
0.405165 60.396 5.3284
0.408101 60.458 5.1812
0.411058 60.520 5.0334
0.414037 60.583 4.8850
0.417037 60.646 4.7359
0.420059 60.710 4.5863
0.423103 60.774 4.4360
0.426169 60.839 4.2852
0.429257 60.904 4.1337
0.432368 60.969 3.9816
0.435501 61.035 3.8289
0.438656 61.102 3.6756
0.441835 61.169 3.5216
0.445037 61.236 3.3670
0.448262 61.304 3.2117
0.451510 61.372 3.0558
0.454782 61.441 2.8993
0.458077 61.511 2.7420
0.461397 61.581 2.5841
0.464740 61.651 2.4254
0.468108 61.722 2.2661
0.471500 61.793 2.1059
0.474917 61.865 1.9451
0.478358 61.938 1.7834
0.481825 62.011 1.6210
0.485316 62.084 1.4577
0.488833 62.158 1.2936
0.492375 62.233 1.1286
0.495943 62.308 0.9627
0.499537 62.384 0.7959
0.503157 62.460 0.6281
0.506803 62.537 0.4593
0.510475 62.614 0.2895
0.514175 62.692 0.1187
0.517900 62.771 -0.0532
0.521653 62.850 -0.2263
0.525434 62.929 -0.4005
0.529241 63.009 -0.5759
0.533076 63.090 -0.7526
0.536939 63.172 -0.9305
0.540830 63.254 -1.1098
0.544749 63.336 -1.2905
0.548696 63.419 -1.4726
0.552673 63.503 -1.6562
0.556677 63.587 -1.8413
0.560711 63.672 -2.0280
0.564774 63.758 -2.2163
0.568867 63.844 -2.4063
0.572989 63.931 -2.5981
0.577141 64.019 -2.7916
0.581324 64.107 -2.9871
0.585536 64.195 -3.1844
0.589779 64.285 -3.3838
0.594053 64.375 -3.5852
0.598358 64.465 -3.7888
0.602694 64.557 -3.9945
0.607061 64.649 -4.2025
0.611460 64.742 -4.4129
0.615891 64.835 -4.6257
0.620354 64.929 -4.8410
0.624849 65.024 -5.0588
0.629377 65.119 -5.2794
0.633938 65.215 -5.5026
0.638532 65.312 -5.7287
0.643159 65.409 -5.9577
0.647819 65.508 -6.1898
0.652514 65.606 -6.4249
0.657242 65.706 -6.6632
0.662005 65.806 -6.9048
0.666802 65.908 -7.1498
0.671634 66.009 -7.3983
0.676501 66.112 -7.6504
0.681403 66.215 -7.9062
0.686341 66.319 -8.1658
0.691314 66.424 -8.4293
0.696324 66.529 -8.6968
0.701370 66.635 -8.9685
0.706452 66.741 -9.2442
0.711571 66.848 -9.5242
0.716728 66.954 -9.8083
0.721921 67.060 -10.0965
0.727153 67.165 -10.3883
0.732422 67.268 -10.6834
0.737729 67.368 -10.9813
0.743075 67.467 -11.2813
0.748460 67.564 -11.5829
0.753883 67.661 -11.8857
0.759346 67.757 -12.1894
0.764849 67.852 -12.4939
0.770391 67.947 -12.7989
0.775974 68.042 -13.1044
0.781597 68.138 -13.4102
0.787261 68.233 -13.7163
0.792966 68.328 -14.0227
0.798712 68.423 -14.3294
0.804500 68.518 -14.6362
0.810329 68.614 -14.9432
0.816201 68.709 -15.2503
0.822116 68.805 -15.5576
0.828073 68.900 -15.8650
0.834074 68.995 -16.1726
0.840118 69.091 -16.4803
0.846206 69.186 -16.7881
0.852338 69.282 -17.0961
0.858514 69.378 -17.4043
0.864735 69.473 -17.7127
0.871001 69.569 -18.0214
0.877313 69.665 -18.3304
0.883670 69.760 -18.6397
0.890074 69.856 -18.9494
0.896524 69.952 -19.2596
0.903020 70.048 -19.5702
0.909564 70.144 -19.8815
0.916155 70.240 -20.1934
0.922794 70.336 -20.5060
0.929481 70.433 -20.8195
0.936216 70.529 -21.1339
0.943000 70.625 -21.4492
0.949834 70.722 -21.7657
0.956717 70.818 -22.0834
0.963649 70.915 -22.4024
0.970632 71.012 -22.7228
0.977666 71.109 -23.0448
0.984750 71.206 -23.3685
0.991886 71.303 -23.6940
0.999074 71.400 -24.0215
1.006314 71.498 -24.3511
1.013606 71.595 -24.6829
1.020951 71.693 -25.0172
1.028349 71.791 -25.3540
1.035801 71.889 -25.6936
1.043307 71.988 -26.0361
1.050867 72.086 -26.3818
1.058482 72.185 -26.7307
1.066152 72.284 -27.0831
1.073878 72.383 -27.4392
1.081660 72.483 -27.7990
1.089498 72.582 -28.1629
1.097393 72.682 -28.5307
1.105345 72.782 -28.9025
1.113355 72.882 -29.2783
1.121423 72.981 -29.6580
1.129549 73.080 -30.0412
1.137734 73.180 -30.4280
1.145979 73.279 -30.8180
1.154283 73.377 -31.2110
1.162647 73.476 -31.6070
1.171072 73.574 -32.0055
1.179558 73.672 -32.4065
1.188106 73.770 -32.8097
1.196715 73.868 -33.2151
1.205387 73.965 -33.6223
1.214122 74.062 -34.0312
1.222920 74.159 -34.4417
1.231782 74.256 -34.8536
1.240708 74.353 -35.2667
1.249699 74.449 -35.6809
1.258754 74.545 -36.0960
1.267876 74.641 -36.5120
1.277063 74.737 -36.9287
1.286318 74.833 -37.3459
1.295639 74.928 -37.7636
1.305027 75.024 -38.1817
1.314484 75.119 -38.6000
1.324009 75.215 -39.0185
1.333604 75.310 -39.4371
1.343268 75.405 -39.8557
1.353002 75.500 -40.2742
1.362806 75.595 -40.6927
1.372681 75.690 -41.1110
1.382628 75.785 -41.5291
1.392647 75.880 -41.9470
1.402739 75.975 -42.3647
1.412904 76.071 -42.7822
1.423142 76.166 -43.1995
1.433455 76.261 -43.6168
1.443843 76.356 -44.0342
1.454305 76.452 -44.4519
1.464844 76.547 -44.8704
1.475459 76.642 -45.2899
1.486150 76.737 -45.7107
1.496920 76.831 -46.1332
1.507767 76.925 -46.5574
1.518693 77.019 -46.9834
1.529698 77.112 -47.4112
1.540783 77.205 -47.8407
1.551948 77.298 -48.2718
1.563194 77.390 -48.7044
1.574521 77.482 -49.1386
1.585931 77.573 -49.5740
1.597423 77.664 -50.0108
1.608999 77.755 -50.4488
1.620658 77.845 -50.8879
1.632402 77.935 -51.3280
1.644232 78.024 -51.7691
1.656146 78.114 -52.2113
1.668147 78.203 -52.6543
1.680235 78.291 -53.0981
1.692411 78.380 -53.5428
1.704675 78.468 -53.9883
1.717028 78.556 -54.4346
1.729470 78.644 -54.8817
1.742003 78.732 -55.3296
1.754626 78.819 -55.7784
1.767341 78.907 -56.2281
1.780147 78.994 -56.6788
1.793047 79.081 -57.1308
1.806040 79.168 -57.5843
1.819128 79.255 -58.0397
1.832310 79.341 -58.4975
1.845587 79.428 -58.9581
1.858961 79.513 -59.4221
1.872432 79.599 -59.8897
1.886001 79.684 -60.3609
1.899667 79.768 -60.8356
1.913433 79.852 -61.3136
1.927299 79.935 -61.7947
1.941265 80.018 -62.2785
1.955332 80.100 -62.7646
1.969501 80.182 -63.2528
1.983773 80.263 -63.7426
1.998148 80.343 -64.2337
2.012627 80.424 -64.7257
2.027212 80.504 -65.2183
2.041902 80.583 -65.7112
2.056698 80.662 -66.2040
2.071602 80.741 -66.6964
2.086614 80.819 -67.1882
2.101734 80.898 -67.6790
2.116964 80.975 -68.1686
2.132304 81.053 -68.6570
2.147756 81.131 -69.1439
2.163320 81.208 -69.6297
2.178996 81.285 -70.1145
2.194786 81.361 -70.5990
2.210690 81.437 -71.0839
2.226710 81.513 -71.5698
2.242845 81.588 -72.0574
2.259098 81.662 -72.5469
2.275468 81.736 -73.0383
2.291957 81.810 -73.5317
2.308566 81.882 -74.0268
2.325295 81.954 -74.5232
2.342145 82.026 -75.0208
2.359117 82.097 -75.5190
2.376212 82.168 -76.0175
2.393431 82.238 -76.5159
2.410775 82.307 -77.0139
2.428244 82.377 -77.5110
2.445840 82.446 -78.0069
2.463564 82.514 -78.5012
2.481416 82.582 -78.9937
2.499397 82.651 -79.4841
2.517509 82.718 -79.9723
2.535752 82.786 -80.4584
2.554127 82.853 -80.9427
2.572635 82.920 -81.4257
2.591277 82.986 -81.9080
2.610055 83.052 -82.3901
2.628968 83.117 -82.8724
2.648019 83.182 -83.3551
2.667208 83.246 -83.8383
2.686535 83.310 -84.3217
2.706003 83.373 -84.8053
2.725612 83.436 -85.2889
2.745363 83.498 -85.7721
2.765257 83.560 -86.2547
2.785295 83.621 -86.7363
2.805478 83.683 -87.2168
2.825808 83.744 -87.6959
2.846285 83.804 -88.1732
2.866910 83.865 -88.6486
2.887685 83.925 -89.1220
2.908611 83.985 -89.5935
2.929688 84.045 -90.0633
2.950917 84.105 -90.5317
2.972301 84.164 -90.9990
2.993839 84.223 -91.4656
3.015534 84.282 -91.9316
3.037386 84.340 -92.3972
3.059396 84.398 -92.8624
3.081565 84.455 -93.3271
3.103896 84.512 -93.7913
3.126388 84.569 -94.2548
3.149043 84.625 -94.7175
3.171862 84.682 -95.1792
3.194847 84.738 -95.6398
3.217998 84.794 -96.0992
3.241317 84.850 -96.5573
3.264805 84.906 -97.0140
3.288463 84.962 -97.4693
3.312293 85.018 -97.9234
3.336295 85.073 -98.3765
3.360471 85.129 -98.8286
3.384822 85.184 -99.2800
3.409350 85.239 -99.7309
3.434056 85.293 -100.1813
3.458940 85.348 -100.6314
3.484005 85.402 -101.0814
3.509252 85.456 -101.5314
3.534681 85.510 -101.9814
3.560295 85.564 -102.4317
3.586094 85.618 -102.8822
3.612081 85.672 -103.3331
3.638255 85.725 -103.7846
3.664620 85.778 -104.2366
3.691175 85.832 -104.6893
3.717923 85.885 -105.1428
3.744864 85.938 -105.5971
3.772001 85.991 -106.0523
3.799335 86.043 -106.5083
3.826866 86.095 -106.9652
3.854597 86.148 -107.4231
3.882529 86.199 -107.8820
3.910664 86.251 -108.3419
3.939002 86.302 -108.8030
3.967546 86.353 -109.2655
3.996296 86.403 -109.7294
4.025255 86.454 -110.1949
4.054423 86.503 -110.6624
4.083804 86.553 -111.1318
4.113396 86.602 -111.6033
4.143204 86.651 -112.0768
4.173227 86.699 -112.5522
4.203468 86.747 -113.0292
4.233928 86.794 -113.5077
4.264609 86.840 -113.9874
4.295512 86.886 -114.4684
4.326639 86.932 -114.9505
4.357992 86.976 -115.4338
4.389572 87.020 -115.9187
4.421380 87.063 -116.4055
4.453419 87.106 -116.8943
4.485691 87.147 -117.3853
4.518196 87.188 -117.8781
4.550936 87.228 -118.3725
4.583914 87.267 -118.8678
4.617131 87.305 -119.3634
4.650589 87.343 -119.8588
4.684289 87.379 -120.3536
4.718233 87.414 -120.8475
4.752424 87.448 -121.3406
4.786862 87.481 -121.8332
4.821549 87.514 -122.3255
4.856488 87.544 -122.8177
4.891680 87.574 -123.3093
4.927127 87.603 -123.8000
4.962831 87.631 -124.2890
4.998794 87.657 -124.7754
5.035017 87.683 -125.2584
5.071503 87.707 -125.7375
5.108253 87.730 -126.2122
5.145270 87.753 -126.6826
5.182555 87.774 -127.1488
5.220110 87.794 -127.6109
5.257937 87.813 -128.0688
5.296038 87.830 -128.5221
5.334415 87.847 -128.9703
5.373071 87.863 -129.4125
5.412006 87.879 -129.8481
5.451224 87.893 -130.2765
5.490725 87.907 -130.6973
5.530514 87.920 -131.1104
5.570590 87.933 -131.5156
5.610957 87.945 -131.9132
5.651616 87.956 -132.3033
5.692570 87.967 -132.6858
5.733821 87.978 -133.0606
5.775370 87.989 -133.4277
5.817221 87.999 -133.7867
5.859375 88.010 -134.1374
5.901834 88.021 -134.4796
5.944602 88.032 -134.8136
5.987679 88.043 -135.1396
6.031068 88.055 -135.4582
6.074771 88.067 -135.7703
6.118792 88.080 -136.0766
6.163131 88.093 -136.3778
6.207792 88.108 -136.6742
