* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 06 25, 25 11:59:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Xiaomi Buds 6 Play bass R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 21.371 -48.4946
0.368865 21.404 -48.1606
0.371538 21.452 -47.6621
0.374230 21.512 -47.0401
0.376942 21.580 -46.3304
0.379673 21.652 -45.5590
0.382424 21.727 -44.7430
0.385196 21.804 -43.8924
0.387987 21.882 -43.0125
0.390798 21.961 -42.1056
0.393630 22.041 -41.1718
0.396483 22.122 -40.2105
0.399356 22.203 -39.2200
0.402250 22.285 -38.1986
0.405165 22.367 -37.1440
0.408101 22.451 -36.0537
0.411058 22.534 -34.9253
0.414037 22.619 -33.7560
0.417037 22.703 -32.5429
0.420059 22.789 -31.2831
0.423103 22.875 -29.9735
0.426169 22.962 -28.6110
0.429257 23.049 -27.1924
0.432368 23.137 -25.7146
0.435501 23.226 -24.1744
0.438656 23.315 -22.5688
0.441835 23.405 -20.8951
0.445037 23.496 -19.1505
0.448262 23.587 -17.3331
0.451510 23.679 -15.4410
0.454782 23.772 -13.4733
0.458077 23.865 -11.4296
0.461397 23.959 -9.3105
0.464740 24.053 -7.1177
0.468108 24.149 -4.8541
0.471500 24.245 -2.5239
0.474917 24.341 -0.1325
0.478358 24.439 2.3130
0.481825 24.537 4.8043
0.485316 24.636 7.3318
0.488833 24.735 9.8847
0.492375 24.835 12.4513
0.495943 24.936 15.0192
0.499537 25.038 17.5760
0.503157 25.141 20.1090
0.506803 25.244 22.6060
0.510475 25.348 25.0555
0.514175 25.452 27.4471
0.517900 25.558 29.7714
0.521653 25.664 32.0205
0.525434 25.771 34.1876
0.529241 25.879 36.2677
0.533076 25.987 38.2569
0.536939 26.097 40.1528
0.540830 26.207 41.9538
0.544749 26.318 43.6598
0.548696 26.430 45.2712
0.552673 26.542 46.7893
0.556677 26.656 48.2160
0.560711 26.770 49.5535
0.564774 26.885 50.8047
0.568867 27.001 51.9724
0.572989 27.117 53.0598
0.577141 27.235 54.0700
0.581324 27.353 55.0063
0.585536 27.473 55.8720
0.589779 27.593 56.6702
0.594053 27.714 57.4042
0.598358 27.836 58.0769
0.602694 27.958 58.6913
0.607061 28.082 59.2502
0.611460 28.206 59.7563
0.615891 28.332 60.2123
0.620354 28.458 60.6205
0.624849 28.586 60.9834
0.629377 28.714 61.3032
0.633938 28.843 61.5819
0.638532 28.973 61.8217
0.643159 29.104 62.0244
0.647819 29.236 62.1918
0.652514 29.369 62.3257
0.657242 29.503 62.4276
0.662005 29.638 62.4992
0.666802 29.774 62.5420
0.671634 29.910 62.5572
0.676501 30.048 62.5464
0.681403 30.187 62.5107
0.686341 30.327 62.4515
0.691314 30.468 62.3699
0.696324 30.610 62.2674
0.701370 30.754 62.1451
0.706452 30.899 62.0047
0.711571 31.046 61.8480
0.716728 31.196 61.6773
0.721921 31.349 61.4955
0.727153 31.506 61.3065
0.732422 31.669 61.1149
0.737729 31.838 60.9257
0.743075 32.012 60.7431
0.748460 32.192 60.5702
0.753883 32.377 60.4085
0.759346 32.566 60.2585
0.764849 32.759 60.1197
0.770391 32.956 59.9914
0.775974 33.156 59.8723
0.781597 33.361 59.7613
0.787261 33.568 59.6573
0.792966 33.779 59.5589
0.798712 33.994 59.4651
0.804500 34.212 59.3748
0.810329 34.433 59.2870
0.816201 34.657 59.2009
0.822116 34.884 59.1155
0.828073 35.115 59.0300
0.834074 35.348 58.9437
0.840118 35.585 58.8559
0.846206 35.824 58.7659
0.852338 36.066 58.6732
0.858514 36.310 58.5770
0.864735 36.557 58.4770
0.871001 36.806 58.3725
0.877313 37.058 58.2632
0.883670 37.312 58.1486
0.890074 37.568 58.0283
0.896524 37.826 57.9018
0.903020 38.085 57.7689
0.909564 38.347 57.6291
0.916155 38.609 57.4822
0.922794 38.874 57.3279
0.929481 39.139 57.1659
0.936216 39.405 56.9959
0.943000 39.673 56.8177
0.949834 39.940 56.6311
0.956717 40.209 56.4357
0.963649 40.477 56.2315
0.970632 40.746 56.0183
0.977666 41.015 55.7958
0.984750 41.283 55.5639
0.991886 41.550 55.3224
0.999074 41.817 55.0712
1.006314 42.082 54.8102
1.013606 42.347 54.5393
1.020951 42.609 54.2582
1.028349 42.870 53.9671
1.035801 43.128 53.6657
1.043307 43.384 53.3541
1.050867 43.638 53.0324
1.058482 43.888 52.7007
1.066152 44.135 52.3593
1.073878 44.378 52.0089
1.081660 44.618 51.6505
1.089498 44.854 51.2856
1.097393 45.087 50.9163
1.105345 45.316 50.5449
1.113355 45.543 50.1741
1.121423 45.766 49.8055
1.129549 45.987 49.4406
1.137734 46.205 49.0800
1.145979 46.420 48.7240
1.154283 46.634 48.3724
1.162647 46.844 48.0251
1.171072 47.053 47.6817
1.179558 47.259 47.3419
1.188106 47.463 47.0051
1.196715 47.665 46.6709
1.205387 47.865 46.3390
1.214122 48.063 46.0088
1.222920 48.260 45.6800
1.231782 48.454 45.3521
1.240708 48.646 45.0248
1.249699 48.837 44.6975
1.258754 49.027 44.3699
1.267876 49.214 44.0416
1.277063 49.401 43.7123
1.286318 49.586 43.3815
1.295639 49.770 43.0488
1.305027 49.954 42.7140
1.314484 50.136 42.3766
1.324009 50.318 42.0362
1.333604 50.499 41.6926
1.343268 50.679 41.3454
1.353002 50.859 40.9942
1.362806 51.040 40.6388
1.372681 51.220 40.2787
1.382628 51.400 39.9137
1.392647 51.581 39.5435
1.402739 51.763 39.1679
1.412904 51.945 38.7867
1.423142 52.128 38.3998
1.433455 52.312 38.0074
1.443843 52.497 37.6100
1.454305 52.682 37.2082
1.464844 52.868 36.8032
1.475459 53.053 36.3964
1.486150 53.238 35.9891
1.496920 53.423 35.5825
1.507767 53.607 35.1770
1.518693 53.789 34.7731
1.529698 53.970 34.3708
1.540783 54.150 33.9699
1.551948 54.329 33.5702
1.563194 54.507 33.1715
1.574521 54.684 32.7732
1.585931 54.859 32.3752
1.597423 55.034 31.9769
1.608999 55.207 31.5781
1.620658 55.380 31.1783
1.632402 55.551 30.7772
1.644232 55.722 30.3743
1.656146 55.892 29.9693
1.668147 56.062 29.5619
1.680235 56.231 29.1516
1.692411 56.399 28.7380
1.704675 56.567 28.3209
1.717028 56.734 27.8998
1.729470 56.901 27.4743
1.742003 57.068 27.0441
1.754626 57.235 26.6089
1.767341 57.402 26.1685
1.780147 57.568 25.7224
1.793047 57.735 25.2708
1.806040 57.902 24.8136
1.819128 58.068 24.3510
1.832310 58.235 23.8837
1.845587 58.400 23.4122
1.858961 58.566 22.9374
1.872432 58.730 22.4601
1.886001 58.893 21.9807
1.899667 59.056 21.4997
1.913433 59.217 21.0175
1.927299 59.377 20.5343
1.941265 59.537 20.0502
1.955332 59.695 19.5654
1.969501 59.853 19.0799
1.983773 60.010 18.5937
1.998148 60.165 18.1069
2.012627 60.321 17.6193
2.027212 60.475 17.1311
2.041902 60.629 16.6420
2.056698 60.782 16.1519
2.071602 60.934 15.6608
2.086614 61.086 15.1684
2.101734 61.238 14.6746
2.116964 61.390 14.1792
2.132304 61.541 13.6820
2.147756 61.691 13.1827
2.163320 61.842 12.6810
2.178996 61.992 12.1769
2.194786 62.141 11.6701
2.210690 62.290 11.1605
2.226710 62.438 10.6482
2.242845 62.586 10.1333
2.259098 62.732 9.6161
2.275468 62.877 9.0969
2.291957 63.022 8.5759
2.308566 63.165 8.0536
2.325295 63.308 7.5302
2.342145 63.449 7.0060
2.359117 63.590 6.4812
2.376212 63.730 5.9562
2.393431 63.869 5.4310
2.410775 64.008 4.9059
2.428244 64.146 4.3810
2.445840 64.283 3.8563
2.463564 64.420 3.3319
2.481416 64.556 2.8078
2.499397 64.692 2.2840
2.517509 64.827 1.7601
2.535752 64.962 1.2360
2.554127 65.096 0.7113
2.572635 65.230 0.1855
2.591277 65.363 -0.3419
2.610055 65.495 -0.8709
2.628968 65.626 -1.4018
2.648019 65.756 -1.9343
2.667208 65.885 -2.4682
2.686535 66.013 -3.0031
2.706003 66.141 -3.5386
2.725612 66.267 -4.0743
2.745363 66.393 -4.6098
2.765257 66.518 -5.1447
2.785295 66.642 -5.6787
2.805478 66.766 -6.2115
2.825808 66.889 -6.7427
2.846285 67.011 -7.2721
2.866910 67.133 -7.7998
2.887685 67.255 -8.3258
2.908611 67.376 -8.8503
2.929688 67.497 -9.3737
2.950917 67.617 -9.8965
2.972301 67.736 -10.4193
2.993839 67.854 -10.9423
3.015534 67.971 -11.4656
3.037386 68.088 -11.9891
3.059396 68.204 -12.5126
3.081565 68.318 -13.0357
3.103896 68.433 -13.5580
3.126388 68.546 -14.0793
3.149043 68.659 -14.5990
3.171862 68.772 -15.1169
3.194847 68.884 -15.6326
3.217998 68.995 -16.1460
3.241317 69.106 -16.6568
3.264805 69.217 -17.1651
3.288463 69.328 -17.6711
3.312293 69.438 -18.1752
3.336295 69.547 -18.6776
3.360471 69.656 -19.1789
3.384822 69.764 -19.6791
3.409350 69.872 -20.1783
3.434056 69.978 -20.6765
3.458940 70.085 -21.1735
3.484005 70.191 -21.6692
3.509252 70.296 -22.1633
3.534681 70.401 -22.6558
3.560295 70.506 -23.1463
3.586094 70.610 -23.6348
3.612081 70.715 -24.1212
3.638255 70.819 -24.6055
3.664620 70.923 -25.0877
3.691175 71.026 -25.5681
3.717923 71.130 -26.0468
3.744864 71.233 -26.5240
3.772001 71.335 -26.9999
3.799335 71.438 -27.4746
3.826866 71.539 -27.9483
3.854597 71.641 -28.4210
3.882529 71.742 -28.8928
3.910664 71.844 -29.3637
3.939002 71.945 -29.8337
3.967546 72.045 -30.3030
3.996296 72.146 -30.7716
4.025255 72.247 -31.2395
4.054423 72.348 -31.7067
4.083804 72.448 -32.1734
4.113396 72.548 -32.6395
4.143204 72.648 -33.1053
4.173227 72.748 -33.5708
4.203468 72.848 -34.0363
4.233928 72.947 -34.5018
4.264609 73.046 -34.9676
4.295512 73.145 -35.4339
4.326639 73.244 -35.9008
4.357992 73.342 -36.3685
4.389572 73.441 -36.8370
4.421380 73.539 -37.3065
4.453419 73.637 -37.7771
4.485691 73.735 -38.2486
4.518196 73.832 -38.7211
4.550936 73.929 -39.1946
4.583914 74.026 -39.6689
4.617131 74.122 -40.1443
4.650589 74.219 -40.6206
4.684289 74.314 -41.0979
4.718233 74.410 -41.5765
4.752424 74.504 -42.0564
4.786862 74.599 -42.5379
4.821549 74.693 -43.0210
4.856488 74.786 -43.5056
4.891680 74.879 -43.9915
4.927127 74.971 -44.4786
4.962831 75.063 -44.9665
4.998794 75.154 -45.4549
5.035017 75.245 -45.9435
5.071503 75.335 -46.4323
5.108253 75.424 -46.9213
5.145270 75.512 -47.4106
5.182555 75.600 -47.9004
5.220110 75.687 -48.3907
5.257937 75.774 -48.8812
5.296038 75.859 -49.3717
5.334415 75.944 -49.8614
5.373071 76.029 -50.3501
5.412006 76.112 -50.8371
5.451224 76.195 -51.3223
5.490725 76.277 -51.8055
5.530514 76.359 -52.2869
5.570590 76.440 -52.7664
5.610957 76.520 -53.2442
5.651616 76.599 -53.7199
5.692570 76.678 -54.1933
5.733821 76.756 -54.6639
5.775370 76.834 -55.1312
5.817221 76.911 -55.5950
5.859375 76.988 -56.0551
5.901834 77.064 -56.5115
5.944602 77.140 -56.9644
5.987679 77.216 -57.4137
6.031068 77.291 -57.8598
6.074771 77.366 -58.3024
6.118792 77.441 -58.7417
6.163131 77.516 -59.1776
6.207792 77.591 -59.6100
6.252776 77.666 -60.0388
6.298086 77.740 -60.4644
6.343725 77.815 -60.8869
6.389694 77.890 -61.3067
6.435996 77.965 -61.7243
6.482634 78.040 -62.1401
6.529610 78.116 -62.5546
6.576926 78.191 -62.9678
6.624585 78.267 -63.3802
6.672590 78.343 -63.7919
6.720942 78.420 -64.2031
6.769645 78.496 -64.6144
