* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 06 25, 25 12:00:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Xiaomi Buds 6 Play vocal R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.031 158.0104
0.368865 35.035 157.9265
0.371538 35.042 157.8017
0.374230 35.050 157.6465
0.376942 35.059 157.4698
0.379673 35.069 157.2782
0.382424 35.080 157.0762
0.385196 35.090 156.8664
0.387987 35.101 156.6504
0.390798 35.112 156.4289
0.393630 35.123 156.2024
0.396483 35.134 155.9711
0.399356 35.146 155.7350
0.402250 35.157 155.4941
0.405165 35.168 155.2484
0.408101 35.180 154.9978
0.411058 35.192 154.7423
0.414037 35.203 154.4818
0.417037 35.215 154.2162
0.420059 35.227 153.9453
0.423103 35.239 153.6693
0.426169 35.251 153.3878
0.429257 35.263 153.1010
0.432368 35.275 152.8086
0.435501 35.287 152.5107
0.438656 35.300 152.2070
0.441835 35.312 151.8976
0.445037 35.325 151.5822
0.448262 35.338 151.2609
0.451510 35.350 150.9336
0.454782 35.363 150.6001
0.458077 35.376 150.2603
0.461397 35.389 149.9142
0.464740 35.402 149.5616
0.468108 35.415 149.2024
0.471500 35.429 148.8366
0.474917 35.442 148.4641
0.478358 35.456 148.0846
0.481825 35.469 147.6982
0.485316 35.483 147.3046
0.488833 35.497 146.9039
0.492375 35.511 146.4958
0.495943 35.524 146.0803
0.499537 35.539 145.6572
0.503157 35.553 145.2265
0.506803 35.567 144.7879
0.510475 35.581 144.3414
0.514175 35.596 143.8869
0.517900 35.611 143.4241
0.521653 35.625 142.9531
0.525434 35.640 142.4737
0.529241 35.655 141.9856
0.533076 35.670 141.4889
0.536939 35.685 140.9833
0.540830 35.701 140.4688
0.544749 35.716 139.9451
0.548696 35.731 139.4121
0.552673 35.747 138.8698
0.556677 35.763 138.3179
0.560711 35.779 137.7564
0.564774 35.794 137.1850
0.568867 35.810 136.6037
0.572989 35.827 136.0122
0.577141 35.843 135.4105
0.581324 35.859 134.7984
0.585536 35.876 134.1757
0.589779 35.893 133.5424
0.594053 35.909 132.8982
0.598358 35.926 132.2431
0.602694 35.943 131.5769
0.607061 35.960 130.8994
0.611460 35.978 130.2105
0.615891 35.995 129.5102
0.620354 36.012 128.7982
0.624849 36.030 128.0745
0.629377 36.048 127.3390
0.633938 36.066 126.5914
0.638532 36.084 125.8318
0.643159 36.102 125.0601
0.647819 36.120 124.2761
0.652514 36.139 123.4798
0.657242 36.157 122.6711
0.662005 36.176 121.8500
0.666802 36.195 121.0164
0.671634 36.214 120.1703
0.676501 36.233 119.3117
0.681403 36.252 118.4406
0.686341 36.271 117.5569
0.691314 36.291 116.6609
0.696324 36.311 115.7525
0.701370 36.332 114.8319
0.706452 36.354 113.8993
0.711571 36.377 112.9550
0.716728 36.403 111.9996
0.721921 36.433 111.0338
0.727153 36.468 110.0589
0.732422 36.511 109.0762
0.737729 36.562 108.0878
0.743075 36.621 107.0955
0.748460 36.687 106.1013
0.753883 36.759 105.1067
0.759346 36.836 104.1131
0.764849 36.917 103.1216
0.770391 37.002 102.1331
0.775974 37.090 101.1485
0.781597 37.181 100.1684
0.787261 37.276 99.1935
0.792966 37.373 98.2244
0.798712 37.474 97.2616
0.804500 37.577 96.3055
0.810329 37.684 95.3566
0.816201 37.794 94.4152
0.822116 37.906 93.4816
0.828073 38.021 92.5561
0.834074 38.140 91.6389
0.840118 38.261 90.7301
0.846206 38.384 89.8300
0.852338 38.511 88.9385
0.858514 38.640 88.0556
0.864735 38.772 87.1815
0.871001 38.906 86.3160
0.877313 39.042 85.4591
0.883670 39.182 84.6106
0.890074 39.323 83.7705
0.896524 39.467 82.9386
0.903020 39.613 82.1147
0.909564 39.761 81.2986
0.916155 39.911 80.4901
0.922794 40.062 79.6889
0.929481 40.216 78.8948
0.936216 40.372 78.1075
0.943000 40.529 77.3266
0.949834 40.687 76.5520
0.956717 40.847 75.7833
0.963649 41.008 75.0202
0.970632 41.171 74.2623
0.977666 41.334 73.5094
0.984750 41.498 72.7611
0.991886 41.663 72.0171
0.999074 41.828 71.2771
1.006314 41.994 70.5406
1.013606 42.160 69.8075
1.020951 42.326 69.0773
1.028349 42.492 68.3498
1.035801 42.657 67.6247
1.043307 42.822 66.9016
1.050867 42.987 66.1803
1.058482 43.150 65.4607
1.066152 43.313 64.7428
1.073878 43.475 64.0265
1.081660 43.635 63.3124
1.089498 43.795 62.6012
1.097393 43.954 61.8940
1.105345 44.113 61.1921
1.113355 44.272 60.4972
1.121423 44.432 59.8103
1.129549 44.593 59.1324
1.137734 44.754 58.4640
1.145979 44.917 57.8052
1.154283 45.080 57.1561
1.162647 45.245 56.5164
1.171072 45.411 55.8861
1.179558 45.578 55.2648
1.188106 45.745 54.6523
1.196715 45.914 54.0481
1.205387 46.084 53.4519
1.214122 46.255 52.8634
1.222920 46.426 52.2822
1.231782 46.599 51.7078
1.240708 46.772 51.1400
1.249699 46.946 50.5783
1.258754 47.120 50.0223
1.267876 47.296 49.4716
1.277063 47.471 48.9259
1.286318 47.648 48.3846
1.295639 47.825 47.8476
1.305027 48.002 47.3142
1.314484 48.179 46.7842
1.324009 48.357 46.2571
1.333604 48.535 45.7326
1.343268 48.713 45.2103
1.353002 48.891 44.6897
1.362806 49.070 44.1706
1.372681 49.248 43.6525
1.382628 49.426 43.1352
1.392647 49.603 42.6182
1.402739 49.781 42.1014
1.412904 49.957 41.5843
1.423142 50.134 41.0671
1.433455 50.310 40.5496
1.443843 50.485 40.0321
1.454305 50.659 39.5152
1.464844 50.833 38.9998
1.475459 51.006 38.4870
1.486150 51.179 37.9777
1.496920 51.351 37.4727
1.507767 51.522 36.9725
1.518693 51.693 36.4772
1.529698 51.863 35.9867
1.540783 52.033 35.5007
1.551948 52.202 35.0189
1.563194 52.370 34.5408
1.574521 52.539 34.0661
1.585931 52.707 33.5941
1.597423 52.874 33.1246
1.608999 53.041 32.6570
1.620658 53.207 32.1909
1.632402 53.374 31.7257
1.644232 53.539 31.2611
1.656146 53.705 30.7966
1.668147 53.870 30.3318
1.680235 54.035 29.8662
1.692411 54.200 29.3993
1.704675 54.364 28.9308
1.717028 54.529 28.4602
1.729470 54.693 27.9871
1.742003 54.857 27.5111
1.754626 55.021 27.0319
1.767341 55.185 26.5492
1.780147 55.349 26.0627
1.793047 55.512 25.5723
1.806040 55.676 25.0782
1.819128 55.840 24.5806
1.832310 56.003 24.0802
1.845587 56.166 23.5778
1.858961 56.329 23.0742
1.872432 56.491 22.5701
1.886001 56.652 22.0660
1.899667 56.813 21.5623
1.913433 56.973 21.0591
1.927299 57.132 20.5565
1.941265 57.290 20.0546
1.955332 57.448 19.5532
1.969501 57.606 19.0523
1.983773 57.762 18.5517
1.998148 57.919 18.0513
2.012627 58.074 17.5510
2.027212 58.229 17.0505
2.041902 58.384 16.5496
2.056698 58.538 16.0481
2.071602 58.692 15.5458
2.086614 58.846 15.0423
2.101734 59.000 14.5376
2.116964 59.153 14.0312
2.132304 59.306 13.5230
2.147756 59.459 13.0128
2.163320 59.611 12.5003
2.178996 59.763 11.9856
2.194786 59.915 11.4688
2.210690 60.067 10.9499
2.226710 60.218 10.4293
2.242845 60.368 9.9073
2.259098 60.518 9.3843
2.275468 60.667 8.8603
2.291957 60.815 8.3358
2.308566 60.963 7.8106
2.325295 61.110 7.2851
2.342145 61.256 6.7592
2.359117 61.401 6.2329
2.376212 61.546 5.7063
2.393431 61.690 5.1793
2.410775 61.834 4.6519
2.428244 61.977 4.1240
2.445840 62.120 3.5954
2.463564 62.262 3.0661
2.481416 62.404 2.5359
2.499397 62.546 2.0046
2.517509 62.687 1.4720
2.535752 62.828 0.9379
2.554127 62.969 0.4021
2.572635 63.109 -0.1356
2.591277 63.248 -0.6751
2.610055 63.387 -1.2166
2.628968 63.525 -1.7598
2.648019 63.662 -2.3046
2.667208 63.798 -2.8508
2.686535 63.934 -3.3981
2.706003 64.069 -3.9463
2.725612 64.203 -4.4952
2.745363 64.336 -5.0447
2.765257 64.469 -5.5946
2.785295 64.601 -6.1447
2.805478 64.733 -6.6950
2.825808 64.864 -7.2455
2.846285 64.995 -7.7962
2.866910 65.125 -8.3472
2.887685 65.255 -8.8986
2.908611 65.384 -9.4508
2.929688 65.512 -10.0041
2.950917 65.640 -10.5587
2.972301 65.768 -11.1150
2.993839 65.894 -11.6731
3.015534 66.020 -12.2327
3.037386 66.145 -12.7939
3.059396 66.269 -13.3562
3.081565 66.392 -13.9193
3.103896 66.514 -14.4829
3.126388 66.636 -15.0468
3.149043 66.757 -15.6105
3.171862 66.878 -16.1739
3.194847 66.998 -16.7369
3.217998 67.117 -17.2992
3.241317 67.236 -17.8610
3.264805 67.354 -18.4225
3.288463 67.471 -18.9841
3.312293 67.588 -19.5460
3.336295 67.704 -20.1089
3.360471 67.819 -20.6729
3.384822 67.933 -21.2380
3.409350 68.047 -21.8041
3.434056 68.160 -22.3709
3.458940 68.272 -22.9379
3.484005 68.383 -23.5049
3.509252 68.493 -24.0713
3.534681 68.603 -24.6368
3.560295 68.712 -25.2012
3.586094 68.820 -25.7642
3.612081 68.928 -26.3258
3.638255 69.035 -26.8862
3.664620 69.141 -27.4459
3.691175 69.246 -28.0053
3.717923 69.351 -28.5649
3.744864 69.455 -29.1247
3.772001 69.558 -29.6847
3.799335 69.660 -30.2447
3.826866 69.761 -30.8043
3.854597 69.861 -31.3628
3.882529 69.961 -31.9199
3.910664 70.060 -32.4750
3.939002 70.158 -33.0279
3.967546 70.256 -33.5783
3.996296 70.353 -34.1262
4.025255 70.449 -34.6719
4.054423 70.544 -35.2158
4.083804 70.639 -35.7584
4.113396 70.732 -36.2998
4.143204 70.825 -36.8401
4.173227 70.917 -37.3790
4.203468 71.008 -37.9160
4.233928 71.099 -38.4507
4.264609 71.188 -38.9826
4.295512 71.277 -39.5111
4.326639 71.366 -40.0359
4.357992 71.454 -40.5570
4.389572 71.541 -41.0743
4.421380 71.627 -41.5882
4.453419 71.713 -42.0991
4.485691 71.798 -42.6072
4.518196 71.882 -43.1124
4.550936 71.966 -43.6145
4.583914 72.049 -44.1133
4.617131 72.131 -44.6082
4.650589 72.213 -45.0989
4.684289 72.295 -45.5849
4.718233 72.376 -46.0660
4.752424 72.457 -46.5421
4.786862 72.537 -47.0134
4.821549 72.617 -47.4801
4.856488 72.696 -47.9423
4.891680 72.775 -48.4003
4.927127 72.853 -48.8539
4.962831 72.932 -49.3032
4.998794 73.010 -49.7479
5.035017 73.088 -50.1880
5.071503 73.166 -50.6231
5.108253 73.244 -51.0533
5.145270 73.322 -51.4784
5.182555 73.400 -51.8986
5.220110 73.477 -52.3141
5.257937 73.555 -52.7251
5.296038 73.633 -53.1320
5.334415 73.712 -53.5352
5.373071 73.790 -53.9349
5.412006 73.869 -54.3313
5.451224 73.948 -54.7246
5.490725 74.027 -55.1148
5.530514 74.107 -55.5019
5.570590 74.187 -55.8862
5.610957 74.268 -56.2678
5.651616 74.349 -56.6473
5.692570 74.431 -57.0254
5.733821 74.513 -57.4028
5.775370 74.595 -57.7801
5.817221 74.678 -58.1577
5.859375 74.762 -58.5360
5.901834 74.846 -58.9150
5.944602 74.931 -59.2948
5.987679 75.016 -59.6759
6.031068 75.102 -60.0586
6.074771 75.188 -60.4438
6.118792 75.275 -60.8321
6.163131 75.361 -61.2241
6.207792 75.449 -61.6203
6.252776 75.536 -62.0210
6.298086 75.623 -62.4263
6.343725 75.711 -62.8361
6.389694 75.799 -63.2507
6.435996 75.887 -63.6703
6.482634 75.974 -64.0952
6.529610 76.062 -64.5257
6.576926 76.149 -64.9620
6.624585 76.235 -65.4044
6.672590 76.322 -65.8527
6.720942 76.407 -66.3068
6.769645 76.493 -66.7663
6.818700 76.577 -67.2308
6.868111 76.661 -67.7001
6.917881 76.743 -68.1738
