* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 06 25, 25 12:02:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Xiaomi Buds 6 Play vol R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 30.919 -102.9110
0.368865 30.896 -102.9063
0.371538 30.862 -102.9003
0.374230 30.820 -102.8946
0.376942 30.771 -102.8907
0.379673 30.720 -102.8897
0.382424 30.666 -102.8922
0.385196 30.610 -102.8988
0.387987 30.554 -102.9097
0.390798 30.497 -102.9250
0.393630 30.439 -102.9448
0.396483 30.380 -102.9691
0.399356 30.322 -102.9980
0.402250 30.262 -103.0314
0.405165 30.203 -103.0692
0.408101 30.143 -103.1116
0.411058 30.082 -103.1584
0.414037 30.021 -103.2096
0.417037 29.960 -103.2651
0.420059 29.898 -103.3249
0.423103 29.836 -103.3890
0.426169 29.773 -103.4572
0.429257 29.710 -103.5295
0.432368 29.646 -103.6059
0.435501 29.582 -103.6861
0.438656 29.517 -103.7703
0.441835 29.452 -103.8581
0.445037 29.387 -103.9496
0.448262 29.321 -104.0446
0.451510 29.254 -104.1430
0.454782 29.187 -104.2447
0.458077 29.120 -104.3495
0.461397 29.052 -104.4573
0.464740 28.983 -104.5679
0.468108 28.914 -104.6812
0.471500 28.845 -104.7971
0.474917 28.775 -104.9152
0.478358 28.705 -105.0354
0.481825 28.634 -105.1576
0.485316 28.562 -105.2815
0.488833 28.490 -105.4069
0.492375 28.418 -105.5336
0.495943 28.345 -105.6612
0.499537 28.271 -105.7896
0.503157 28.197 -105.9185
0.506803 28.122 -106.0476
0.510475 28.047 -106.1765
0.514175 27.971 -106.3050
0.517900 27.895 -106.4327
0.521653 27.818 -106.5593
0.525434 27.741 -106.6844
0.529241 27.663 -106.8076
0.533076 27.585 -106.9285
0.536939 27.506 -107.0465
0.540830 27.426 -107.1614
0.544749 27.346 -107.2724
0.548696 27.265 -107.3792
0.552673 27.184 -107.4811
0.556677 27.102 -107.5776
0.560711 27.019 -107.6679
0.564774 26.936 -107.7514
0.568867 26.852 -107.8273
0.572989 26.768 -107.8949
0.577141 26.683 -107.9531
0.581324 26.597 -108.0011
0.585536 26.511 -108.0378
0.589779 26.424 -108.0621
0.594053 26.337 -108.0727
0.598358 26.249 -108.0684
0.602694 26.160 -108.0475
0.607061 26.071 -108.0084
0.611460 25.981 -107.9493
0.615891 25.890 -107.8682
0.620354 25.799 -107.7627
0.624849 25.707 -107.6303
0.629377 25.614 -107.4681
0.633938 25.521 -107.2728
0.638532 25.427 -107.0407
0.643159 25.332 -106.7676
0.647819 25.237 -106.4486
0.652514 25.141 -106.0780
0.657242 25.044 -105.6495
0.662005 24.946 -105.1555
0.666802 24.848 -104.5871
0.671634 24.749 -103.9339
0.676501 24.650 -103.1836
0.681403 24.550 -102.3217
0.686341 24.449 -101.3307
0.691314 24.348 -100.1898
0.696324 24.248 -98.8738
0.701370 24.148 -97.3528
0.706452 24.050 -95.5908
0.711571 23.957 -93.5451
0.716728 23.873 -91.1660
0.721921 23.803 -88.3963
0.727153 23.755 -85.1731
0.732422 23.736 -81.4292
0.737729 23.751 -77.0967
0.743075 23.800 -72.1114
0.748460 23.879 -66.4221
0.753883 23.981 -60.0095
0.759346 24.104 -52.9127
0.764849 24.243 -45.2543
0.770391 24.397 -37.2502
0.775974 24.565 -29.1861
0.781597 24.746 -21.3619
0.787261 24.940 -14.0295
0.792966 25.145 -7.3521
0.798712 25.362 -1.3995
0.804500 25.591 3.8322
0.810329 25.832 8.3924
0.816201 26.083 12.3521
0.822116 26.346 15.7879
0.828073 26.620 18.7727
0.834074 26.904 21.3719
0.840118 27.198 23.6419
0.846206 27.503 25.6307
0.852338 27.817 27.3784
0.858514 28.141 28.9184
0.864735 28.473 30.2788
0.871001 28.815 31.4828
0.877313 29.164 32.5499
0.883670 29.522 33.4964
0.890074 29.888 34.3362
0.896524 30.260 35.0810
0.903020 30.639 35.7406
0.909564 31.024 36.3236
0.916155 31.415 36.8373
0.922794 31.812 37.2881
0.929481 32.212 37.6812
0.936216 32.617 38.0216
0.943000 33.026 38.3134
0.949834 33.437 38.5602
0.956717 33.850 38.7654
0.963649 34.265 38.9316
0.970632 34.681 39.0615
0.977666 35.097 39.1574
0.984750 35.512 39.2212
0.991886 35.926 39.2549
0.999074 36.337 39.2600
1.006314 36.746 39.2382
1.013606 37.150 39.1907
1.020951 37.550 39.1188
1.028349 37.944 39.0237
1.035801 38.332 38.9065
1.043307 38.712 38.7683
1.050867 39.084 38.6103
1.058482 39.446 38.4337
1.066152 39.799 38.2398
1.073878 40.141 38.0306
1.081660 40.474 37.8084
1.089498 40.796 37.5763
1.097393 41.110 37.3379
1.105345 41.416 37.0975
1.113355 41.716 36.8587
1.121423 42.011 36.6245
1.129549 42.301 36.3964
1.137734 42.589 36.1749
1.145979 42.872 35.9601
1.154283 43.153 35.7512
1.162647 43.431 35.5476
1.171072 43.707 35.3483
1.179558 43.979 35.1525
1.188106 44.249 34.9591
1.196715 44.517 34.7674
1.205387 44.782 34.5765
1.214122 45.044 34.3856
1.222920 45.304 34.1941
1.231782 45.562 34.0013
1.240708 45.817 33.8065
1.249699 46.070 33.6091
1.258754 46.321 33.4087
1.267876 46.570 33.2045
1.277063 46.817 32.9962
1.286318 47.063 32.7833
1.295639 47.306 32.5653
1.305027 47.548 32.3419
1.314484 47.788 32.1125
1.324009 48.027 31.8769
1.333604 48.265 31.6346
1.343268 48.501 31.3852
1.353002 48.737 31.1286
1.362806 48.972 30.8643
1.372681 49.206 30.5920
1.382628 49.439 30.3114
1.392647 49.672 30.0224
1.402739 49.905 29.7246
1.412904 50.138 29.4182
1.423142 50.371 29.1031
1.433455 50.603 28.7797
1.443843 50.835 28.4488
1.454305 51.067 28.1115
1.464844 51.298 27.7694
1.475459 51.527 27.4246
1.486150 51.754 27.0789
1.496920 51.979 26.7338
1.507767 52.201 26.3900
1.518693 52.421 26.0479
1.529698 52.637 25.7077
1.540783 52.851 25.3689
1.551948 53.062 25.0314
1.563194 53.270 24.6946
1.574521 53.476 24.3581
1.585931 53.679 24.0214
1.597423 53.880 23.6841
1.608999 54.078 23.3455
1.620658 54.275 23.0054
1.632402 54.469 22.6631
1.644232 54.662 22.3183
1.656146 54.853 21.9705
1.668147 55.043 21.6192
1.680235 55.231 21.2642
1.692411 55.418 20.9048
1.704675 55.604 20.5408
1.717028 55.790 20.1717
1.729470 55.975 19.7972
1.742003 56.160 19.4169
1.754626 56.345 19.0305
1.767341 56.529 18.6376
1.780147 56.714 18.2383
1.793047 56.900 17.8323
1.806040 57.085 17.4199
1.819128 57.271 17.0015
1.832310 57.457 16.5779
1.845587 57.642 16.1500
1.858961 57.826 15.7187
1.872432 58.009 15.2851
1.886001 58.190 14.8496
1.899667 58.370 14.4129
1.913433 58.548 13.9751
1.927299 58.725 13.5364
1.941265 58.901 13.0970
1.955332 59.074 12.6569
1.969501 59.247 12.2159
1.983773 59.418 11.7742
1.998148 59.588 11.3315
2.012627 59.757 10.8878
2.027212 59.924 10.4430
2.041902 60.091 9.9968
2.056698 60.257 9.5492
2.071602 60.422 9.0998
2.086614 60.586 8.6486
2.101734 60.750 8.1952
2.116964 60.914 7.7394
2.132304 61.077 7.2810
2.147756 61.239 6.8197
2.163320 61.401 6.3554
2.178996 61.563 5.8878
2.194786 61.725 5.4170
2.210690 61.885 4.9429
2.226710 62.045 4.4658
2.242845 62.203 3.9858
2.259098 62.361 3.5034
2.275468 62.517 3.0189
2.291957 62.671 2.5325
2.308566 62.825 2.0447
2.325295 62.977 1.5556
2.342145 63.128 1.0655
2.359117 63.278 0.5747
2.376212 63.427 0.0833
2.393431 63.575 -0.4085
2.410775 63.722 -0.9007
2.428244 63.869 -1.3930
2.445840 64.014 -1.8856
2.463564 64.159 -2.3783
2.481416 64.304 -2.8712
2.499397 64.447 -3.3645
2.517509 64.591 -3.8584
2.535752 64.733 -4.3530
2.554127 64.875 -4.8488
2.572635 65.016 -5.3463
2.591277 65.157 -5.8456
2.610055 65.296 -6.3471
2.628968 65.434 -6.8506
2.648019 65.571 -7.3561
2.667208 65.707 -7.8633
2.686535 65.842 -8.3717
2.706003 65.975 -8.8809
2.725612 66.108 -9.3906
2.745363 66.240 -9.9004
2.765257 66.371 -10.4097
2.785295 66.501 -10.9184
2.805478 66.630 -11.4262
2.825808 66.758 -11.9326
2.846285 66.886 -12.4377
2.866910 67.013 -12.9413
2.887685 67.140 -13.4436
2.908611 67.266 -13.9447
2.929688 67.392 -14.4452
2.950917 67.516 -14.9456
2.972301 67.640 -15.4462
2.993839 67.763 -15.9475
3.015534 67.884 -16.4494
3.037386 68.005 -16.9519
3.059396 68.125 -17.4545
3.081565 68.244 -17.9571
3.103896 68.361 -18.4591
3.126388 68.478 -18.9601
3.149043 68.595 -19.4598
3.171862 68.710 -19.9578
3.194847 68.825 -20.4537
3.217998 68.940 -20.9473
3.241317 69.054 -21.4385
3.264805 69.168 -21.9273
3.288463 69.281 -22.4141
3.312293 69.393 -22.8992
3.336295 69.504 -23.3831
3.360471 69.615 -23.8660
3.384822 69.725 -24.3482
3.409350 69.834 -24.8297
3.434056 69.943 -25.3103
3.458940 70.051 -25.7899
3.484005 70.158 -26.2680
3.509252 70.264 -26.7445
3.534681 70.370 -27.2190
3.560295 70.476 -27.6914
3.586094 70.581 -28.1613
3.612081 70.685 -28.6286
3.638255 70.790 -29.0935
3.664620 70.894 -29.5560
3.691175 70.997 -30.0163
3.717923 71.101 -30.4749
3.744864 71.203 -30.9318
3.772001 71.305 -31.3873
3.799335 71.406 -31.8413
3.826866 71.507 -32.2939
3.854597 71.608 -32.7450
3.882529 71.708 -33.1946
3.910664 71.808 -33.6425
3.939002 71.907 -34.0887
3.967546 72.007 -34.5332
3.996296 72.106 -34.9758
4.025255 72.205 -35.4168
4.054423 72.303 -35.8562
4.083804 72.401 -36.2941
4.113396 72.499 -36.7306
4.143204 72.597 -37.1660
4.173227 72.694 -37.6003
4.203468 72.791 -38.0336
4.233928 72.888 -38.4659
4.264609 72.984 -38.8974
4.295512 73.081 -39.3282
4.326639 73.177 -39.7582
4.357992 73.273 -40.1875
4.389572 73.368 -40.6163
4.421380 73.464 -41.0446
4.453419 73.559 -41.4724
4.485691 73.654 -41.8999
4.518196 73.749 -42.3271
4.550936 73.843 -42.7540
4.583914 73.938 -43.1807
4.617131 74.031 -43.6072
4.650589 74.125 -44.0338
4.684289 74.219 -44.4604
4.718233 74.312 -44.8871
4.752424 74.405 -45.3140
4.786862 74.497 -45.7413
4.821549 74.590 -46.1690
4.856488 74.682 -46.5970
4.891680 74.774 -47.0255
4.927127 74.865 -47.4543
4.962831 74.956 -47.8833
4.998794 75.047 -48.3127
5.035017 75.137 -48.7422
5.071503 75.227 -49.1720
5.108253 75.317 -49.6021
5.145270 75.407 -50.0325
5.182555 75.495 -50.4635
5.220110 75.584 -50.8949
5.257937 75.672 -51.3268
5.296038 75.760 -51.7591
5.334415 75.847 -52.1915
5.373071 75.934 -52.6239
5.412006 76.020 -53.0563
5.451224 76.107 -53.4885
5.490725 76.192 -53.9207
5.530514 76.277 -54.3527
5.570590 76.362 -54.7849
5.610957 76.447 -55.2170
5.651616 76.531 -55.6490
5.692570 76.614 -56.0809
5.733821 76.697 -56.5125
5.775370 76.780 -56.9437
5.817221 76.862 -57.3743
5.859375 76.944 -57.8044
5.901834 77.026 -58.2339
5.944602 77.107 -58.6631
5.987679 77.187 -59.0919
6.031068 77.268 -59.5202
6.074771 77.348 -59.9482
6.118792 77.428 -60.3756
6.163131 77.507 -60.8026
6.207792 77.586 -61.2290
6.252776 77.665 -61.6549
6.298086 77.743 -62.0804
6.343725 77.821 -62.5055
6.389694 77.899 -62.9303
6.435996 77.977 -63.3549
6.482634 78.054 -63.7793
6.529610 78.131 -64.2035
