* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07 22, 24 9:19:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Aero L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 98.873 166.0398
20.287556 98.868 166.0145
20.434568 98.859 165.9287
20.582645 98.849 165.8003
20.731796 98.836 165.6447
20.882027 98.822 165.4729
21.033346 98.808 165.2900
21.185762 98.792 165.0950
21.339283 98.777 164.8977
21.493916 98.761 164.6991
21.649670 98.746 164.5002
21.806553 98.731 164.3012
21.964573 98.715 164.1025
22.123737 98.700 163.8976
22.284056 98.685 163.6915
22.445536 98.670 163.4866
22.608185 98.655 163.2829
22.772013 98.639 163.0807
22.937029 98.623 162.8801
23.103241 98.607 162.6761
23.270657 98.591 162.4707
23.439285 98.574 162.2667
23.609137 98.557 162.0640
23.780218 98.539 161.8626
23.952539 98.521 161.6625
24.126110 98.502 161.4580
24.300938 98.483 161.2528
24.477032 98.464 161.0490
24.654402 98.444 160.8470
24.833057 98.424 160.6467
25.013008 98.405 160.4479
25.194263 98.385 160.2446
25.376831 98.365 160.0433
25.560722 98.346 159.8441
25.745945 98.326 159.6470
25.932510 98.306 159.4519
26.120428 98.287 159.2539
26.309708 98.267 159.0549
26.500359 98.246 158.8576
26.692390 98.226 158.6616
26.885815 98.205 158.4670
27.080641 98.184 158.2709
27.276878 98.163 158.0720
27.474539 98.141 157.8743
27.673630 98.120 157.6777
27.874165 98.098 157.4824
28.076153 98.076 157.2865
28.279604 98.055 157.0891
28.484529 98.034 156.8939
28.690941 98.012 156.7012
28.898848 97.991 156.5117
29.108261 97.970 156.3229
29.319191 97.949 156.1356
29.531651 97.928 155.9523
29.745649 97.905 155.7731
29.961199 97.883 155.5978
30.178310 97.859 155.4221
30.396996 97.835 155.2483
30.617264 97.810 155.0763
30.839128 97.783 154.9050
31.062601 97.757 154.7319
31.287693 97.729 154.5540
31.514416 97.702 154.3736
31.742783 97.674 154.1902
31.972803 97.646 154.0038
32.204491 97.619 153.8116
32.437859 97.592 153.6171
32.672916 97.566 153.4219
32.909679 97.541 153.2272
33.148155 97.516 153.0312
33.388359 97.491 152.8365
33.630306 97.467 152.6460
33.874004 97.442 152.4610
34.119469 97.416 152.2805
34.366711 97.390 152.1050
34.615746 97.362 151.9363
34.866585 97.335 151.7736
35.119244 97.307 151.6137
35.373734 97.279 151.4540
35.630066 97.251 151.2941
35.888256 97.224 151.1322
36.148315 97.198 150.9648
36.410259 97.172 150.7931
36.674103 97.146 150.6206
36.939857 97.121 150.4501
37.207539 97.095 150.2825
37.477161 97.069 150.1215
37.748737 97.043 149.9687
38.022282 97.015 149.8233
38.297806 96.987 149.6805
38.575329 96.958 149.5411
38.854862 96.927 149.4027
39.136421 96.895 149.2620
39.420021 96.861 149.1174
39.705673 96.827 148.9689
39.993397 96.792 148.8166
40.283207 96.758 148.6581
40.575115 96.724 148.4969
40.869141 96.691 148.3344
41.165295 96.659 148.1697
41.463596 96.627 148.0048
41.764057 96.597 147.8428
42.066696 96.566 147.6841
42.371529 96.536 147.5281
42.678570 96.505 147.3753
42.987835 96.473 147.2250
43.299343 96.441 147.0734
43.613110 96.408 146.9221
43.929150 96.375 146.7708
44.247478 96.341 146.6166
44.568115 96.307 146.4617
44.891075 96.274 146.3071
45.216373 96.242 146.1526
45.544029 96.210 145.9991
45.874062 96.178 145.8473
46.206486 96.148 145.6953
46.541317 96.117 145.5428
46.878574 96.086 145.3905
47.218277 96.054 145.2377
47.560440 96.021 145.0873
47.905083 95.986 144.9437
48.252224 95.949 144.8086
48.601879 95.911 144.6840
48.954067 95.873 144.5693
49.308807 95.836 144.4601
49.666119 95.799 144.3527
50.026020 95.763 144.2437
50.388531 95.727 144.1297
50.753666 95.691 144.0138
51.121449 95.654 143.8971
51.491894 95.617 143.7805
51.865025 95.581 143.6658
52.240860 95.544 143.5513
52.619419 95.507 143.4361
53.000721 95.471 143.3202
53.384785 95.435 143.2014
53.771633 95.398 143.0825
54.161285 95.362 142.9642
54.553761 95.326 142.8474
54.949081 95.289 142.7337
55.347263 95.252 142.6224
55.748333 95.214 142.5145
56.152309 95.177 142.4094
56.559212 95.138 142.3062
56.969063 95.100 142.2044
57.381886 95.062 142.1005
57.797699 95.023 141.9963
58.216526 94.984 141.8916
58.638386 94.946 141.7865
59.063305 94.907 141.6808
59.491302 94.869 141.5741
59.922401 94.830 141.4679
60.356625 94.792 141.3611
60.793995 94.753 141.2549
61.234531 94.714 141.1495
61.678261 94.675 141.0463
62.125206 94.635 140.9482
62.575390 94.595 140.8574
63.028835 94.554 140.7753
63.485569 94.514 140.6998
63.945610 94.476 140.6298
64.408989 94.438 140.5598
64.875725 94.401 140.4874
65.345840 94.363 140.4114
65.819366 94.325 140.3347
66.296318 94.286 140.2603
66.776726 94.246 140.1911
67.260620 94.207 140.1271
67.748016 94.169 140.0626
68.238945 94.131 139.9899
68.733429 94.093 139.9064
69.231499 94.054 139.8161
69.733177 94.014 139.7248
70.238495 93.974 139.6374
70.747475 93.933 139.5562
71.260139 93.894 139.4793
71.776520 93.854 139.4046
72.296638 93.815 139.3320
72.820526 93.775 139.2625
73.348213 93.734 139.1977
73.879723 93.691 139.1393
74.415085 93.649 139.0847
74.954330 93.608 139.0308
75.497482 93.567 138.9733
76.044571 93.527 138.9089
76.595619 93.487 138.8378
77.150665 93.446 138.7636
77.709732 93.404 138.6910
78.272850 93.362 138.6248
78.840050 93.318 138.5685
79.411354 93.276 138.5241
79.986801 93.233 138.4904
80.566422 93.191 138.4631
81.150238 93.151 138.4384
81.738289 93.111 138.4129
82.330597 93.071 138.3820
82.927200 93.033 138.3438
83.528122 92.994 138.2991
84.133400 92.956 138.2464
84.743065 92.916 138.1862
85.357147 92.875 138.1232
85.975677 92.832 138.0632
86.598694 92.787 138.0137
87.226227 92.742 137.9748
87.858307 92.696 137.9462
88.494965 92.651 137.9282
89.136238 92.607 137.9173
89.782158 92.565 137.9103
90.432755 92.523 137.9040
91.088066 92.482 137.8982
91.748131 92.443 137.8936
92.412979 92.404 137.8875
93.082642 92.367 137.8783
93.757156 92.330 137.8631
94.436562 92.294 137.8418
95.120888 92.258 137.8145
95.810173 92.220 137.7831
96.504456 92.182 137.7535
97.203766 92.141 137.7279
97.908142 92.098 137.7067
98.617622 92.054 137.6951
99.332245 92.008 137.6920
100.052048 91.961 137.6955
100.777069 91.913 137.7014
101.507339 91.865 137.7090
102.242905 91.818 137.7145
102.983795 91.770 137.7145
103.730057 91.722 137.7027
104.481728 91.675 137.6808
105.238846 91.628 137.6485
106.001450 91.582 137.6074
106.769577 91.537 137.5591
107.543274 91.493 137.5119
108.322578 91.451 137.4715
109.107529 91.411 137.4411
109.898170 91.371 137.4190
110.694534 91.333 137.4078
111.496674 91.295 137.4112
112.304626 91.256 137.4297
113.118431 91.217 137.4614
113.938133 91.176 137.5025
114.763779 91.134 137.5465
115.595406 91.090 137.5896
116.433060 91.046 137.6242
117.276779 91.002 137.6494
118.126617 90.959 137.6691
118.982613 90.916 137.6789
119.844810 90.875 137.6868
120.713257 90.836 137.7005
121.587997 90.799 137.7245
122.469070 90.763 137.7601
123.356529 90.726 137.8080
124.250420 90.689 137.8663
125.150787 90.650 137.9286
126.057678 90.610 137.9899
126.971146 90.569 138.0452
127.891228 90.528 138.0898
128.817978 90.487 138.1306
129.751450 90.446 138.1693
130.691681 90.406 138.2069
131.638733 90.366 138.2464
132.592636 90.326 138.2897
133.553452 90.285 138.3326
134.521240 90.244 138.3721
135.496033 90.203 138.4095
136.477890 90.161 138.4469
137.466858 90.119 138.4870
138.462997 90.077 138.5306
139.466354 90.035 138.5785
140.476990 89.993 138.6321
141.494949 89.951 138.6857
142.520279 89.910 138.7366
143.553040 89.870 138.7873
144.593277 89.830 138.8401
145.641052 89.790 138.8954
146.696426 89.751 138.9510
147.759445 89.711 139.0065
148.830170 89.672 139.0604
149.908661 89.633 139.1154
150.994965 89.593 139.1746
152.089142 89.553 139.2343
153.191238 89.514 139.2982
154.301331 89.474 139.3654
155.419464 89.434 139.4335
156.545700 89.395 139.5059
157.680099 89.356 139.5815
158.822708 89.317 139.6555
159.973602 89.278 139.7297
161.132843 89.239 139.8016
162.300476 89.200 139.8747
163.476578 89.161 139.9506
164.661194 89.123 140.0271
165.854401 89.084 140.1017
167.056244 89.045 140.1760
168.266800 89.006 140.2504
169.486130 88.967 140.3296
170.714294 88.928 140.4140
171.951355 88.890 140.5001
173.197388 88.852 140.5865
174.452454 88.815 140.6711
175.716614 88.778 140.7531
176.989929 88.741 140.8362
178.272476 88.703 140.9177
179.564316 88.665 141.0019
180.865509 88.626 141.0927
182.176132 88.587 141.1830
183.496262 88.547 141.2803
184.825958 88.509 141.3788
186.165283 88.471 141.4764
187.514313 88.434 141.5728
188.873123 88.397 141.6628
190.241776 88.361 141.7550
191.620346 88.324 141.8379
193.008911 88.287 141.9235
194.407532 88.251 142.0020
195.816284 88.214 142.0904
197.235245 88.178 142.1821
198.664490 88.142 142.2773
200.104095 88.106 142.3749
201.554138 88.070 142.4734
203.014679 88.034 142.5738
204.485809 87.998 142.6760
205.967590 87.962 142.7811
207.460114 87.926 142.8866
208.963455 87.890 142.9979
210.477692 87.854 143.1121
212.002899 87.817 143.2282
213.539154 87.780 143.3461
215.086548 87.744 143.4633
216.645157 87.707 143.5827
218.215057 87.671 143.6965
219.796341 87.635 143.8085
221.389069 87.599 143.9227
222.993347 87.564 144.0372
224.609253 87.528 144.1547
226.236862 87.492 144.2757
227.876266 87.456 144.4010
229.527557 87.420 144.5311
231.190811 87.385 144.6640
232.866119 87.349 144.8005
234.553558 87.315 144.9348
236.253235 87.280 145.0736
237.965225 87.245 145.2156
239.689621 87.210 145.3540
241.426514 87.174 145.4927
243.175995 87.138 145.6320
244.938141 87.101 145.7734
246.713058 87.063 145.9161
248.500839 87.025 146.0640
250.301575 86.986 146.2099
252.115356 86.946 146.3573
253.942291 86.906 146.5098
255.782455 86.865 146.6675
257.635956 86.824 146.8375
259.502899 86.782 147.0128
261.383362 86.742 147.1941
263.277466 86.703 147.3901
265.185272 86.664 147.5941
267.106903 86.625 147.8110
269.042480 86.586 148.0417
270.992065 86.546 148.2956
272.955780 86.505 148.5719
274.933716 86.463 148.8733
276.925995 86.423 149.2055
278.932709 86.386 149.5609
280.953979 86.354 149.9456
282.989899 86.328 150.3605
285.040558 86.309 150.7929
287.106079 86.297 151.2404
289.186554 86.294 151.6917
291.282104 86.301 152.1354
293.392853 86.317 152.5578
295.518890 86.342 152.9442
297.660339 86.374 153.2714
299.817322 86.412 153.5231
301.989929 86.452 153.6959
304.178284 86.491 153.7870
306.382477 86.526 153.8070
308.602661 86.555 153.7731
310.838928 86.576 153.6990
313.091400 86.589 153.5974
315.360199 86.594 153.4812
317.645416 86.592 153.3570
319.947205 86.584 153.2385
322.265686 86.570 153.1289
324.600952 86.551 153.0355
326.953156 86.529 152.9648
329.322388 86.504 152.9151
331.708801 86.477 152.8862
334.112488 86.449 152.8773
336.533600 86.421 152.8868
338.972260 86.391 152.9102
341.428589 86.362 152.9461
343.902710 86.332 152.9907
346.394775 86.302 153.0451
348.904907 86.273 153.1069
351.433228 86.244 153.1798
353.979858 86.216 153.2589
356.544952 86.188 153.3470
359.128632 86.160 153.4430
361.731018 86.133 153.5438
364.352264 86.106 153.6503
366.992523 86.080 153.7586
369.651917 86.054 153.8740
372.330566 86.028 153.9841
375.028625 86.003 154.1037
377.746246 85.979 154.2213
380.483551 85.954 154.3429
383.240692 85.930 154.4643
386.017822 85.906 154.5890
388.815063 85.882 154.7192
391.632568 85.859 154.8462
394.470490 85.836 154.9766
397.328979 85.813 155.1089
400.208191 85.790 155.2402
403.108276 85.768 155.3787
406.029358 85.747 155.5160
408.971619 85.725 155.6535
