* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 20, 24 5:56:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audio Hekili L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 104.068 178.2635
20.287556 104.067 178.2990
20.434568 104.067 178.3012
20.582645 104.066 178.2790
20.731796 104.066 178.2392
20.882027 104.065 178.1860
21.033346 104.065 178.1192
21.185762 104.065 178.0343
21.339283 104.066 177.9384
21.493916 104.066 177.8320
21.649670 104.067 177.7156
21.806553 104.068 177.5905
21.964573 104.068 177.4588
22.123737 104.069 177.3158
22.284056 104.069 177.1692
22.445536 104.069 177.0234
22.608185 104.069 176.8808
22.772013 104.069 176.7434
22.937029 104.069 176.6127
23.103241 104.069 176.4846
23.270657 104.069 176.3612
23.439285 104.069 176.2451
23.609137 104.069 176.1355
23.780218 104.070 176.0313
23.952539 104.070 175.9311
24.126110 104.070 175.8281
24.300938 104.070 175.7245
24.477032 104.069 175.6211
24.654402 104.068 175.5172
24.833057 104.067 175.4120
25.013008 104.065 175.3047
25.194263 104.063 175.1892
25.376831 104.060 175.0721
25.560722 104.057 174.9538
25.745945 104.054 174.8350
25.932510 104.050 174.7165
26.120428 104.047 174.5940
26.309708 104.043 174.4704
26.500359 104.040 174.3486
26.692390 104.037 174.2289
26.885815 104.034 174.1109
27.080641 104.032 173.9918
27.276878 104.030 173.8699
27.474539 104.028 173.7488
27.673630 104.026 173.6284
27.874165 104.024 173.5089
28.076153 104.021 173.3889
28.279604 104.018 173.2678
28.484529 104.014 173.1499
28.690941 104.009 173.0359
28.898848 104.004 172.9262
29.108261 103.999 172.8179
29.319191 103.993 172.7106
29.531651 103.987 172.6055
29.745649 103.981 172.5015
29.961199 103.974 172.3977
30.178310 103.967 172.2893
30.396996 103.959 172.1798
30.617264 103.950 172.0708
30.839128 103.941 171.9640
31.062601 103.930 171.8600
31.287693 103.919 171.7593
31.514416 103.907 171.6673
31.742783 103.895 171.5864
31.972803 103.884 171.5186
32.204491 103.875 171.4619
32.437859 103.867 171.4192
32.672916 103.863 171.3895
32.909679 103.862 171.3691
33.148155 103.866 171.3491
33.388359 103.875 171.3225
33.630306 103.888 171.2817
33.874004 103.906 171.2175
34.119469 103.925 171.1209
34.366711 103.946 170.9886
34.615746 103.965 170.8242
34.866585 103.980 170.6339
35.119244 103.991 170.4259
35.373734 103.997 170.2117
35.630066 103.998 170.0033
35.888256 103.996 169.8081
36.148315 103.992 169.6264
36.410259 103.987 169.4571
36.674103 103.982 169.2973
36.939857 103.977 169.1409
37.207539 103.972 168.9808
37.477161 103.966 168.8155
37.748737 103.959 168.6450
38.022282 103.951 168.4704
38.297806 103.941 168.2908
38.575329 103.931 168.1114
38.854862 103.920 167.9331
39.136421 103.910 167.7555
39.420021 103.899 167.5789
39.705673 103.888 167.4055
39.993397 103.877 167.2372
40.283207 103.866 167.0738
40.575115 103.856 166.9196
40.869141 103.846 166.7752
41.165295 103.836 166.6377
41.463596 103.827 166.5051
41.764057 103.819 166.3763
42.066696 103.811 166.2483
42.371529 103.803 166.1179
42.678570 103.794 165.9851
42.987835 103.785 165.8488
43.299343 103.775 165.7059
43.613110 103.765 165.5587
43.929150 103.754 165.4074
44.247478 103.743 165.2503
44.568115 103.732 165.0906
44.891075 103.721 164.9312
45.216373 103.709 164.7736
45.544029 103.697 164.6208
45.874062 103.686 164.4750
46.206486 103.675 164.3353
46.541317 103.665 164.2010
46.878574 103.655 164.0704
47.218277 103.646 163.9381
47.560440 103.637 163.8011
47.905083 103.627 163.6581
48.252224 103.617 163.5076
48.601879 103.606 163.3528
48.954067 103.593 163.1976
49.308807 103.580 163.0450
49.666119 103.566 162.8973
50.026020 103.552 162.7540
50.388531 103.539 162.6105
50.753666 103.527 162.4657
51.121449 103.515 162.3159
51.491894 103.504 162.1592
51.865025 103.492 161.9974
52.240860 103.481 161.8320
52.619419 103.468 161.6667
53.000721 103.455 161.5052
53.384785 103.442 161.3479
53.771633 103.428 161.1977
54.161285 103.413 161.0536
54.553761 103.399 160.9134
54.949081 103.383 160.7756
55.347263 103.368 160.6364
55.748333 103.353 160.4951
56.152309 103.338 160.3498
56.559212 103.324 160.1993
56.969063 103.309 160.0442
57.381886 103.293 159.8830
57.797699 103.277 159.7210
58.216526 103.260 159.5618
58.638386 103.242 159.4086
59.063305 103.223 159.2619
59.491302 103.204 159.1187
59.922401 103.185 158.9770
60.356625 103.168 158.8315
60.793995 103.152 158.6814
61.234531 103.136 158.5265
61.678261 103.120 158.3685
62.125206 103.105 158.2108
62.575390 103.089 158.0558
63.028835 103.072 157.9056
63.485569 103.053 157.7600
63.945610 103.035 157.6201
64.408989 103.015 157.4821
64.875725 102.996 157.3435
65.345840 102.976 157.2007
65.819366 102.956 157.0526
66.296318 102.936 156.8991
66.776726 102.916 156.7433
67.260620 102.895 156.5893
67.748016 102.874 156.4382
68.238945 102.854 156.2885
68.733429 102.834 156.1387
69.231499 102.815 155.9875
69.733177 102.795 155.8316
70.238495 102.775 155.6682
70.747475 102.755 155.4989
71.260139 102.733 155.3286
71.776520 102.710 155.1645
72.296638 102.686 155.0125
72.820526 102.662 154.8719
73.348213 102.639 154.7380
73.879723 102.615 154.6056
74.415085 102.591 154.4700
74.954330 102.567 154.3309
75.497482 102.542 154.1888
76.044571 102.517 154.0443
76.595619 102.492 153.8993
77.150665 102.467 153.7552
77.709732 102.442 153.6118
78.272850 102.416 153.4675
78.840050 102.390 153.3212
79.411354 102.364 153.1738
79.986801 102.337 153.0262
80.566422 102.310 152.8788
81.150238 102.283 152.7325
81.738289 102.256 152.5875
82.330597 102.229 152.4418
82.927200 102.201 152.2963
83.528122 102.174 152.1539
84.133400 102.145 152.0130
84.743065 102.117 151.8717
85.357147 102.089 151.7303
85.975677 102.060 151.5890
86.598694 102.032 151.4507
87.226227 102.003 151.3127
87.858307 101.975 151.1740
88.494965 101.946 151.0370
89.136238 101.916 150.9014
89.782158 101.886 150.7675
90.432755 101.855 150.6340
91.088066 101.824 150.5009
91.748131 101.793 150.3685
92.412979 101.762 150.2351
93.082642 101.731 150.1008
93.757156 101.699 149.9662
94.436562 101.667 149.8344
95.120888 101.634 149.7059
95.810173 101.601 149.5801
96.504456 101.567 149.4578
97.203766 101.533 149.3363
97.908142 101.499 149.2130
98.617622 101.464 149.0921
99.332245 101.430 148.9728
100.052048 101.396 148.8548
100.777069 101.361 148.7361
101.507339 101.326 148.6193
102.242905 101.291 148.5047
102.983795 101.255 148.3927
103.730057 101.219 148.2804
104.481728 101.183 148.1717
105.238846 101.146 148.0656
106.001450 101.110 147.9607
106.769577 101.073 147.8534
107.543274 101.037 147.7469
108.322578 101.000 147.6429
109.107529 100.963 147.5424
109.898170 100.926 147.4418
110.694534 100.888 147.3419
111.496674 100.850 147.2449
112.304626 100.811 147.1515
113.118431 100.772 147.0629
113.938133 100.732 146.9813
114.763779 100.692 146.9071
115.595406 100.652 146.8436
116.433060 100.612 146.7887
117.276779 100.573 146.7448
118.126617 100.532 146.7118
118.982613 100.491 146.6718
119.844810 100.447 146.6131
120.713257 100.402 146.5271
121.587997 100.355 146.4125
122.469070 100.308 146.2754
123.356529 100.263 146.1274
124.250420 100.220 145.9808
125.150787 100.180 145.8448
126.057678 100.145 145.7319
126.971146 100.112 145.6524
127.891228 100.082 145.6086
128.817978 100.050 145.6049
129.751450 100.014 145.6320
130.691681 99.971 145.6708
131.638733 99.922 145.6965
132.592636 99.866 145.6863
133.553452 99.807 145.6273
134.521240 99.749 145.5260
135.496033 99.695 145.4068
136.477890 99.646 145.2986
137.466858 99.600 145.2245
138.462997 99.555 145.1867
139.466354 99.508 145.1675
140.476990 99.460 145.1459
141.494949 99.410 145.1078
142.520279 99.360 145.0581
143.553040 99.310 145.0107
144.593277 99.260 144.9730
145.641052 99.210 144.9462
146.696426 99.158 144.9285
147.759445 99.106 144.9186
148.830170 99.053 144.9123
149.908661 99.000 144.9110
150.994965 98.946 144.9193
152.089142 98.892 144.9352
153.191238 98.838 144.9628
154.301331 98.783 145.0012
155.419464 98.728 145.0484
156.545700 98.672 145.1081
157.680099 98.616 145.1806
158.822708 98.561 145.2636
159.973602 98.507 145.3608
161.132843 98.455 145.4695
162.300476 98.403 145.5908
163.476578 98.354 145.7244
164.661194 98.308 145.8682
165.854401 98.265 146.0205
167.056244 98.225 146.1809
168.266800 98.188 146.3415
169.486130 98.154 146.4949
170.714294 98.122 146.6295
171.951355 98.092 146.7321
173.197388 98.063 146.8006
174.452454 98.037 146.8457
175.716614 98.012 146.8882
176.989929 97.986 146.9470
178.272476 97.956 147.0146
179.564316 97.919 147.0765
180.865509 97.878 147.1188
182.176132 97.835 147.1319
183.496262 97.790 147.1367
184.825958 97.744 147.1425
186.165283 97.698 147.1552
187.514313 97.650 147.1771
188.873123 97.602 147.2067
190.241776 97.554 147.2594
191.620346 97.505 147.3273
193.008911 97.457 147.4179
194.407532 97.408 147.5105
195.816284 97.360 147.6130
197.235245 97.310 147.7169
198.664490 97.260 147.8266
200.104095 97.209 147.9441
201.554138 97.159 148.0687
203.014679 97.109 148.1980
204.485809 97.061 148.3261
205.967590 97.013 148.4494
207.460114 96.964 148.5687
208.963455 96.914 148.6991
210.477692 96.865 148.8455
212.002899 96.816 149.0093
213.539154 96.769 149.1863
215.086548 96.724 149.3686
216.645157 96.680 149.5534
218.215057 96.635 149.7304
219.796341 96.591 149.9037
221.389069 96.546 150.0797
222.993347 96.501 150.2584
224.609253 96.456 150.4423
226.236862 96.412 150.6314
227.876266 96.369 150.8255
229.527557 96.326 151.0250
231.190811 96.285 151.2282
232.866119 96.244 151.4365
234.553558 96.203 151.6444
236.253235 96.163 151.8591
237.965225 96.124 152.0800
239.689621 96.084 152.3021
241.426514 96.045 152.5299
243.175995 96.007 152.7622
244.938141 95.969 152.9977
246.713058 95.932 153.2344
248.500839 95.895 153.4751
250.301575 95.859 153.7126
252.115356 95.824 153.9518
253.942291 95.789 154.1960
255.782455 95.755 154.4422
257.635956 95.721 154.6944
259.502899 95.689 154.9439
261.383362 95.657 155.1907
263.277466 95.625 155.4424
265.185272 95.594 155.6914
267.106903 95.563 155.9410
269.042480 95.533 156.1894
270.992065 95.503 156.4430
272.955780 95.474 156.6978
274.933716 95.445 156.9549
276.925995 95.416 157.2187
278.932709 95.389 157.4819
280.953979 95.362 157.7524
282.989899 95.336 158.0326
285.040558 95.310 158.3107
287.106079 95.285 158.5887
289.186554 95.261 158.8651
291.282104 95.236 159.1406
293.392853 95.213 159.4147
295.518890 95.190 159.6895
297.660339 95.167 159.9616
299.817322 95.145 160.2321
301.989929 95.124 160.5058
304.178284 95.103 160.7773
306.382477 95.083 161.0468
308.602661 95.063 161.3174
310.838928 95.044 161.5878
313.091400 95.026 161.8574
315.360199 95.008 162.1277
317.645416 94.990 162.3951
319.947205 94.973 162.6653
322.265686 94.957 162.9348
324.600952 94.940 163.2047
326.953156 94.924 163.4769
329.322388 94.909 163.7476
331.708801 94.893 164.0172
334.112488 94.878 164.2875
336.533600 94.863 164.5598
338.972260 94.849 164.8314
341.428589 94.835 165.1022
343.902710 94.822 165.3703
346.394775 94.809 165.6387
348.904907 94.796 165.9071
351.433228 94.784 166.1808
353.979858 94.771 166.4565
356.544952 94.758 166.7382
359.128632 94.745 167.0254
361.731018 94.732 167.3167
364.352264 94.720 167.6151
366.992523 94.709 167.9184
369.651917 94.699 168.2318
372.330566 94.691 168.5427
375.028625 94.684 168.8658
377.746246 94.679 169.1897
380.483551 94.677 169.5192
383.240692 94.677 169.8470
386.017822 94.681 170.1721
388.815063 94.687 170.4913
391.632568 94.696 170.7904
394.470490 94.707 171.0715
397.328979 94.719 171.3296
400.208191 94.731 171.5605
403.108276 94.743 171.7727
406.029358 94.754 171.9611
408.971619 94.763 172.1325
