* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 10, 2023 9:39:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BL-03 - Y4 Filter Back Vent - R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 95.064 179.9641
20.507813 95.056 179.4196
20.874023 95.023 178.9083
21.240234 94.992 178.3947
21.606445 94.971 177.8763
21.972656 94.959 177.3501
22.338867 94.964 176.7780
22.705078 94.969 176.2027
23.071289 94.968 175.6455
23.437500 94.961 175.1090
23.803711 94.946 174.6024
24.169922 94.928 174.1020
24.536133 94.910 173.5864
24.902344 94.894 173.0544
25.268555 94.881 172.5069
25.634766 94.871 171.9858
26.000977 94.862 171.5268
26.367188 94.853 171.1147
26.733399 94.842 170.7722
27.099610 94.828 170.4620
27.465821 94.809 170.1311
27.832032 94.783 169.7880
28.198243 94.755 169.4043
28.564454 94.724 168.9876
28.930665 94.692 168.5702
29.296876 94.667 168.1518
29.663087 94.646 167.7614
30.029298 94.629 167.4026
30.395509 94.619 167.0490
30.761720 94.606 166.7129
31.127931 94.589 166.3851
31.494142 94.566 166.0616
31.860353 94.540 165.7563
32.226563 94.516 165.4634
32.592774 94.494 165.1722
32.958985 94.474 164.8758
33.325196 94.456 164.5639
33.691407 94.438 164.2604
34.057618 94.417 163.9758
34.423829 94.396 163.6993
34.790040 94.375 163.4382
35.156251 94.354 163.1718
35.522462 94.333 162.8907
35.888673 94.309 162.6095
36.254884 94.284 162.3297
36.621095 94.257 162.0676
36.987306 94.231 161.8298
37.353517 94.207 161.5943
37.719728 94.184 161.3667
38.085939 94.160 161.1367
38.452150 94.135 160.8934
38.818361 94.109 160.6500
39.184572 94.085 160.4025
39.550783 94.060 160.1540
39.916994 94.035 159.9155
40.283205 94.011 159.6844
40.649416 93.986 159.4714
41.015627 93.961 159.2778
41.381838 93.936 159.0922
41.748049 93.911 158.9073
42.114260 93.886 158.7105
42.480471 93.861 158.4955
42.846682 93.834 158.2808
43.212893 93.808 158.0709
43.579103 93.782 157.8727
43.945314 93.758 157.6888
44.311525 93.736 157.5072
44.677736 93.713 157.3282
45.043947 93.688 157.1516
45.410158 93.660 156.9729
45.776369 93.631 156.8080
46.142580 93.601 156.6533
46.508791 93.574 156.4985
46.875002 93.550 156.3363
47.241213 93.526 156.1580
47.607424 93.503 155.9689
47.973635 93.477 155.7851
48.339846 93.452 155.6242
48.706057 93.426 155.4936
49.072268 93.399 155.3835
49.438479 93.373 155.2664
49.804690 93.347 155.1406
50.170901 93.319 154.9974
50.537112 93.290 154.8383
50.903323 93.260 154.6708
51.269534 93.231 154.4959
51.635745 93.203 154.3259
52.001956 93.176 154.1733
52.368167 93.151 154.0441
52.734378 93.128 153.9519
53.100589 93.107 153.8889
53.466800 93.087 153.8297
53.833011 93.069 153.7504
54.199222 93.049 153.6304
54.565432 93.023 153.4724
54.931643 92.991 153.3019
55.297854 92.955 153.1476
55.664065 92.920 153.0302
56.030276 92.890 152.9432
56.396487 92.868 152.8560
56.762698 92.850 152.7509
57.128909 92.829 152.6190
57.495120 92.801 152.4734
57.861331 92.767 152.3440
58.227542 92.730 152.2462
58.593753 92.694 152.1789
58.959964 92.666 152.1235
59.326175 92.645 152.0532
59.692386 92.628 151.9554
60.058597 92.610 151.8353
60.424808 92.589 151.7123
60.791019 92.561 151.6179
61.157230 92.531 151.5652
61.523441 92.501 151.5466
61.889652 92.476 151.5354
62.255863 92.456 151.4882
62.622074 92.437 151.3827
62.988285 92.416 151.2270
63.354496 92.389 151.0678
63.720707 92.356 150.9451
64.086918 92.321 150.8868
64.453129 92.289 150.8780
64.819340 92.264 150.8849
65.185551 92.245 150.8521
65.551762 92.224 150.7563
65.917972 92.194 150.6222
66.284183 92.154 150.5000
66.650394 92.112 150.4309
67.016605 92.077 150.4165
67.382816 92.056 150.4135
67.749027 92.044 150.3771
68.115238 92.035 150.2855
68.481449 92.018 150.1599
68.847660 91.991 150.0488
69.213871 91.956 149.9880
69.580082 91.920 149.9775
69.946293 91.888 149.9855
70.312504 91.861 149.9708
70.678715 91.835 149.9236
71.044926 91.807 149.8599
71.411137 91.776 149.8056
71.777348 91.745 149.7784
72.143559 91.718 149.7676
72.509770 91.693 149.7456
72.875981 91.669 149.6906
73.242192 91.642 149.6043
73.608403 91.611 149.5098
73.974614 91.577 149.4386
74.340825 91.546 149.4025
74.707036 91.522 149.3987
75.073247 91.506 149.3961
75.439458 91.493 149.3642
75.805669 91.474 149.2983
76.171880 91.444 149.2227
76.538091 91.404 149.1735
76.904301 91.360 149.1702
77.270512 91.320 149.1978
77.636723 91.287 149.2218
78.002934 91.261 149.2159
78.369145 91.234 149.1757
78.735356 91.204 149.1402
79.101567 91.169 149.1369
79.467778 91.131 149.1668
79.833989 91.094 149.2042
80.200200 91.057 149.2171
80.566411 91.022 149.1906
80.932622 90.989 149.1288
81.298833 90.960 149.0430
81.665044 90.933 148.9531
82.031255 90.903 148.8968
82.397466 90.866 148.9299
82.763677 90.823 149.0869
83.129888 90.782 149.3361
83.496099 90.747 149.5623
83.862310 90.715 149.6330
84.228521 90.673 149.5013
84.594732 90.610 149.2785
84.960943 90.535 149.1731
85.327154 90.475 149.3271
85.693365 90.460 149.6899
86.059576 90.488 150.0404
86.425787 90.515 150.2025
86.791998 90.486 150.2195
87.158209 90.381 150.3497
87.524420 90.241 150.8225
87.890631 90.148 151.5362
88.256841 90.166 151.9623
88.623052 90.280 151.5224
88.989263 90.407 150.0934
89.355474 90.460 148.1703
89.721685 90.402 146.5983
90.087896 90.269 146.1634
90.454107 90.159 147.1414
90.820318 90.158 149.0557
91.186529 90.268 150.9751
91.552740 90.398 152.2403
91.918951 90.453 152.8326
92.285162 90.401 153.1507
92.651373 90.291 153.5847
93.017584 90.207 154.2109
93.383795 90.203 154.7743
93.750006 90.271 154.9887
94.116217 90.356 154.8168
94.482428 90.411 154.4920
94.848639 90.423 154.3073
95.214850 90.413 154.3825
95.581061 90.409 154.5914
95.947272 90.417 154.6897
96.313483 90.421 154.5337
96.679694 90.404 154.1725
97.045905 90.366 153.8010
97.412116 90.328 153.5948
97.778327 90.312 153.6175
98.144538 90.328 153.7681
98.510749 90.365 153.8880
98.876960 90.394 153.8787
99.243170 90.389 153.7653
99.609381 90.346 153.6481
99.975592 90.283 153.6168
100.341803 90.226 153.6733
100.708014 90.198 153.7425
101.074225 90.202 153.7149
101.440436 90.224 153.5441
101.806647 90.239 153.2951
102.172858 90.230 153.1120
102.539069 90.202 153.1314
102.905280 90.169 153.3909
103.271491 90.149 153.7950
103.637702 90.144 154.1691
104.003913 90.142 154.3829
104.370124 90.125 154.4233
104.736335 90.089 154.3901
105.102546 90.043 154.3858
105.468757 90.009 154.4331
105.834968 90.000 154.4644
106.201179 90.013 154.3992
106.567390 90.032 154.2299
106.933601 90.042 154.0465
107.299812 90.041 153.9650
107.666023 90.038 154.0497
108.032234 90.040 154.2472
108.398445 90.041 154.4412
108.764656 90.028 154.5564
109.130867 89.988 154.6204
109.497078 89.927 154.7219
109.863289 89.872 154.9030
110.229500 89.851 155.0801
110.595710 89.875 155.0747
110.961921 89.926 154.7650
111.328132 89.966 154.2151
111.694343 89.968 153.6665
112.060554 89.930 153.4025
112.426765 89.879 153.5716
112.792976 89.848 154.0774
113.159187 89.853 154.6301
113.525398 89.877 154.9436
113.891609 89.889 154.9196
114.257820 89.870 154.6754
114.624031 89.825 154.4274
114.990242 89.783 154.3408
115.356453 89.771 154.4298
115.722664 89.803 154.6071
116.088875 89.865 154.7631
116.455086 89.932 154.8588
116.821297 89.978 154.9054
117.187508 89.996 154.9592
117.553719 89.989 155.0361
117.919930 89.962 155.1148
118.286141 89.914 155.1081
118.652352 89.873 155.0803
119.018563 89.861 155.0484
119.384774 89.897 155.0276
119.750985 89.962 154.8645
120.117196 90.028 154.5074
120.483407 90.057 154.0026
120.849618 90.023 153.5228
121.215829 89.922 153.2812
121.582040 89.777 153.4438
121.948250 89.634 154.0381
122.314461 89.541 154.9118
122.680672 89.527 155.7791
123.046883 89.587 156.3540
123.413094 89.692 156.4766
123.779305 89.797 156.1686
124.145516 89.868 155.5888
124.511727 89.883 154.9592
124.877938 89.845 154.4818
125.244149 89.774 154.2637
125.610360 89.700 154.2824
125.976571 89.646 154.3961
126.342782 89.619 154.4348
126.708993 89.608 154.2932
127.075204 89.596 153.9978
127.441415 89.570 153.6694
127.807626 89.527 153.4479
128.173837 89.471 153.4237
128.540048 89.411 153.6182
128.906259 89.356 153.9921
129.272470 89.315 154.4545
129.638681 89.298 154.8641
130.004892 89.306 155.0555
130.371103 89.324 154.9176
130.737314 89.327 154.4765
131.103525 89.297 153.9283
131.469736 89.234 153.5594
131.835947 89.164 153.6003
132.202158 89.122 154.0704
132.568369 89.130 154.7566
132.934579 89.175 155.3726
133.300790 89.218 155.7659
133.667001 89.231 155.9852
134.033212 89.208 156.1670
134.399423 89.169 156.3777
134.765634 89.137 156.5413
135.131845 89.110 156.5342
135.498056 89.073 156.3362
135.864267 89.009 156.0902
136.230478 88.928 156.0027
136.596689 88.859 156.1776
136.962900 88.833 156.5169
137.329111 88.855 156.8046
137.695322 88.903 156.8946
138.061533 88.948 156.8266
138.427744 88.982 156.7451
138.793955 89.013 156.7378
139.160166 89.053 156.7363
139.526377 89.090 156.6022
139.892588 89.092 156.2981
140.258799 89.036 155.9708
140.625010 88.929 155.8509
140.991221 88.814 156.0599
141.357432 88.741 156.4660
141.723643 88.728 156.7627
142.089854 88.749 156.7273
142.456065 88.760 156.4218
142.822276 88.741 156.1408
143.188487 88.707 156.1651
143.554698 88.697 156.5339
143.920909 88.728 157.0195
144.287119 88.782 157.3417
144.653330 88.816 157.4307
145.019541 88.800 157.4567
145.385752 88.748 157.6582
145.751963 88.700 158.1025
146.118174 88.691 158.6124
146.484385 88.719 158.9107
146.850596 88.746 158.8728
147.216807 88.734 158.6241
147.583018 88.677 158.4271
147.949229 88.603 158.4631
148.315440 88.551 158.6935
148.681651 88.540 158.8954
149.047862 88.556 158.8783
149.414073 88.568 158.6456
149.780284 88.558 158.3801
150.146495 88.537 158.2713
150.512706 88.524 158.3624
150.878917 88.533 158.5296
151.245128 88.550 158.6113
151.611339 88.551 158.5633
151.977550 88.517 158.4931
152.343761 88.461 158.5586
152.709972 88.409 158.8191
153.076183 88.390 159.1742
153.442394 88.405 159.4418
153.808605 88.430 159.5197
154.174816 88.435 159.4679
154.541027 88.407 159.4530
154.907238 88.357 159.6085
155.273448 88.313 159.9195
155.639659 88.291 160.2384
156.005870 88.287 160.3981
156.372081 88.284 160.3534
156.738292 88.266 160.1974
157.104503 88.235 160.0867
157.470714 88.208 160.1084
157.836925 88.198 160.2253
158.203136 88.205 160.3121
158.569347 88.210 160.2795
158.935558 88.193 160.1583
159.301769 88.149 160.0806
159.667980 88.095 160.1657
160.034191 88.059 160.4242
160.400402 88.057 160.7378
160.766613 88.080 160.9684
161.132824 88.102 161.0602
161.499035 88.096 161.0861
161.865246 88.054 161.1795
162.231457 87.993 161.4232
162.597668 87.939 161.7723
162.963879 87.914 162.0759
163.330090 87.921 162.1861
163.696301 87.948 162.0687
164.062512 87.980 161.8189
164.428723 88.010 161.5853
164.794934 88.038 161.4927
165.161145 88.065 161.5694
165.527356 88.083 161.7615
165.893567 88.081 161.9894
166.259778 88.049 162.2122
166.625988 87.995 162.4279
166.992199 87.937 162.6245
167.358410 87.898 162.7496
167.724621 87.889 162.7300
168.090832 87.907 162.5311
168.457043 87.934 162.2064
168.823254 87.953 161.9011
169.189465 87.956 161.7721
169.555676 87.946 161.9024
169.921887 87.935 162.2511
170.288098 87.932 162.6845
170.654309 87.934 163.0377
171.020520 87.931 163.2133
171.386731 87.918 163.2116
171.752942 87.893 163.1112
172.119153 87.863 162.9970
172.485364 87.839 162.9220
172.851575 87.826 162.9041
