* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 24, 2023 4:56:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CVJ Konoka 500 Mesh R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.938 -159.1915
20.507813 94.938 -159.3162
20.874023 94.943 -159.6461
21.240234 94.955 -159.9830
21.606445 94.972 -160.3056
21.972656 94.991 -160.6091
22.338867 95.007 -160.8692
22.705078 95.018 -161.0918
23.071289 95.026 -161.3003
23.437500 95.033 -161.5009
23.803711 95.042 -161.6853
24.169922 95.056 -161.8512
24.536133 95.071 -162.0031
24.902344 95.085 -162.1398
25.268555 95.092 -162.2554
25.634766 95.090 -162.3562
26.000977 95.079 -162.4627
26.367188 95.062 -162.5915
26.733399 95.042 -162.7431
27.099610 95.026 -162.9110
27.465821 95.014 -163.0907
27.832032 95.006 -163.2764
28.198243 95.000 -163.4565
28.564454 94.996 -163.6176
28.930665 94.993 -163.7524
29.296876 94.990 -163.8632
29.663087 94.987 -163.9589
30.029298 94.981 -164.0506
30.395509 94.972 -164.1451
30.761720 94.959 -164.2412
31.127931 94.946 -164.3327
31.494142 94.934 -164.4165
31.860353 94.926 -164.4954
32.226563 94.921 -164.5728
32.592774 94.919 -164.6478
32.958985 94.918 -164.7164
33.325196 94.914 -164.7757
33.691407 94.908 -164.8262
34.057618 94.901 -164.8707
34.423829 94.895 -164.9133
34.790040 94.888 -164.9575
35.156251 94.881 -165.0049
35.522462 94.873 -165.0535
35.888673 94.864 -165.0980
36.254884 94.856 -165.1363
36.621095 94.849 -165.1735
36.987306 94.841 -165.2195
37.353517 94.832 -165.2795
37.719728 94.822 -165.3478
38.085939 94.809 -165.4146
38.452150 94.796 -165.4768
38.818361 94.782 -165.5410
39.184572 94.768 -165.6143
39.550783 94.755 -165.6948
39.916994 94.741 -165.7717
40.283205 94.725 -165.8357
40.649416 94.708 -165.8881
41.015627 94.691 -165.9378
41.381838 94.675 -165.9930
41.748049 94.660 -166.0551
42.114260 94.645 -166.1223
42.480471 94.631 -166.1932
42.846682 94.616 -166.2683
43.212893 94.600 -166.3490
43.579103 94.585 -166.4365
43.945314 94.569 -166.5298
44.311525 94.553 -166.6247
44.677736 94.538 -166.7134
45.043947 94.523 -166.7895
45.410158 94.507 -166.8519
45.776369 94.490 -166.9060
46.142580 94.472 -166.9601
46.508791 94.454 -167.0211
46.875002 94.437 -167.0936
47.241213 94.422 -167.1790
47.607424 94.408 -167.2729
47.973635 94.394 -167.3641
48.339846 94.380 -167.4375
48.706057 94.365 -167.4819
49.072268 94.350 -167.4978
49.438479 94.337 -167.5006
49.804690 94.323 -167.5152
50.170901 94.306 -167.5625
50.537112 94.281 -167.6456
50.903323 94.248 -167.7469
51.269534 94.209 -167.8376
51.635745 94.172 -167.8956
52.001956 94.144 -167.9185
52.368167 94.129 -167.9226
52.734378 94.127 -167.9314
53.100589 94.132 -167.9604
53.466800 94.139 -168.0094
53.833011 94.141 -168.0658
54.199222 94.137 -168.1148
54.565432 94.126 -168.1489
54.931643 94.110 -168.1715
55.297854 94.091 -168.1927
55.664065 94.072 -168.2210
56.030276 94.054 -168.2589
56.396487 94.037 -168.3022
56.762698 94.021 -168.3452
57.128909 94.006 -168.3835
57.495120 93.991 -168.4158
57.861331 93.976 -168.4433
58.227542 93.961 -168.4684
58.593753 93.943 -168.4937
58.959964 93.925 -168.5215
59.326175 93.906 -168.5524
59.692386 93.888 -168.5853
60.058597 93.871 -168.6178
60.424808 93.856 -168.6479
60.791019 93.842 -168.6749
61.157230 93.829 -168.6991
61.523441 93.815 -168.7219
61.889652 93.802 -168.7446
62.255863 93.788 -168.7683
62.622074 93.773 -168.7940
62.988285 93.758 -168.8224
63.354496 93.743 -168.8533
63.720707 93.725 -168.8856
64.086918 93.707 -168.9172
64.453129 93.687 -168.9456
64.819340 93.667 -168.9689
65.185551 93.648 -168.9861
65.551762 93.631 -168.9980
65.917972 93.615 -169.0060
66.284183 93.600 -169.0114
66.650394 93.585 -169.0153
67.016605 93.570 -169.0180
67.382816 93.554 -169.0196
67.749027 93.538 -169.0206
68.115238 93.522 -169.0221
68.481449 93.506 -169.0254
68.847660 93.490 -169.0318
69.213871 93.475 -169.0421
69.580082 93.459 -169.0565
69.946293 93.442 -169.0747
70.312504 93.426 -169.0955
70.678715 93.409 -169.1173
71.044926 93.392 -169.1382
71.411137 93.376 -169.1561
71.777348 93.359 -169.1690
72.143559 93.343 -169.1763
72.509770 93.326 -169.1778
72.875981 93.310 -169.1750
73.242192 93.293 -169.1696
73.608403 93.277 -169.1637
73.974614 93.261 -169.1586
74.340825 93.246 -169.1546
74.707036 93.230 -169.1514
75.073247 93.215 -169.1478
75.439458 93.199 -169.1434
75.805669 93.184 -169.1381
76.171880 93.169 -169.1325
76.538091 93.154 -169.1278
76.904301 93.139 -169.1253
77.270512 93.125 -169.1258
77.636723 93.110 -169.1296
78.002934 93.096 -169.1362
78.369145 93.082 -169.1444
78.735356 93.068 -169.1524
79.101567 93.054 -169.1588
79.467778 93.040 -169.1630
79.833989 93.025 -169.1652
80.200200 93.010 -169.1663
80.566411 92.994 -169.1676
80.932622 92.979 -169.1700
81.298833 92.963 -169.1738
81.665044 92.947 -169.1785
82.031255 92.931 -169.1834
82.397466 92.915 -169.1876
82.763677 92.899 -169.1905
83.129888 92.883 -169.1917
83.496099 92.867 -169.1911
83.862310 92.852 -169.1891
84.228521 92.836 -169.1862
84.594732 92.820 -169.1833
84.960943 92.804 -169.1810
85.327154 92.788 -169.1801
85.693365 92.772 -169.1807
86.059576 92.756 -169.1829
86.425787 92.740 -169.1862
86.791998 92.724 -169.1902
87.158209 92.707 -169.1941
87.524420 92.691 -169.1971
87.890631 92.674 -169.1986
88.256841 92.657 -169.1980
88.623052 92.640 -169.1953
88.989263 92.624 -169.1909
89.355474 92.607 -169.1855
89.721685 92.591 -169.1800
90.087896 92.575 -169.1753
90.454107 92.559 -169.1720
90.820318 92.544 -169.1701
91.186529 92.529 -169.1693
91.552740 92.515 -169.1688
91.918951 92.501 -169.1680
92.285162 92.487 -169.1661
92.651373 92.473 -169.1630
93.017584 92.460 -169.1592
93.383795 92.446 -169.1553
93.750006 92.433 -169.1523
94.116217 92.420 -169.1510
94.482428 92.407 -169.1519
94.848639 92.394 -169.1549
95.214850 92.381 -169.1594
95.581061 92.368 -169.1643
95.947272 92.354 -169.1686
96.313483 92.340 -169.1711
96.679694 92.327 -169.1710
97.045905 92.313 -169.1679
97.412116 92.300 -169.1619
97.778327 92.286 -169.1535
98.144538 92.273 -169.1434
98.510749 92.260 -169.1325
98.876960 92.247 -169.1216
99.243170 92.234 -169.1109
99.609381 92.221 -169.1007
99.975592 92.208 -169.0908
100.341803 92.195 -169.0811
100.708014 92.182 -169.0712
101.074225 92.168 -169.0610
101.440436 92.155 -169.0501
101.806647 92.141 -169.0382
102.172858 92.127 -169.0250
102.539069 92.113 -169.0101
102.905280 92.099 -168.9936
103.271491 92.085 -168.9759
103.637702 92.070 -168.9577
104.003913 92.056 -168.9402
104.370124 92.042 -168.9247
104.736335 92.027 -168.9123
105.102546 92.013 -168.9039
105.468757 91.998 -168.8997
105.834968 91.983 -168.8990
106.201179 91.968 -168.9009
106.567390 91.952 -168.9041
106.933601 91.937 -168.9073
107.299812 91.921 -168.9092
107.666023 91.906 -168.9091
108.032234 91.890 -168.9062
108.398445 91.875 -168.9005
108.764656 91.860 -168.8919
109.130867 91.846 -168.8809
109.497078 91.831 -168.8678
109.863289 91.817 -168.8533
110.229500 91.804 -168.8378
110.595710 91.791 -168.8214
110.961921 91.778 -168.8043
111.328132 91.766 -168.7862
111.694343 91.754 -168.7667
112.060554 91.742 -168.7455
112.426765 91.731 -168.7222
112.792976 91.721 -168.6967
113.159187 91.710 -168.6690
113.525398 91.700 -168.6394
113.891609 91.691 -168.6079
114.257820 91.681 -168.5746
114.624031 91.672 -168.5393
114.990242 91.662 -168.5016
115.356453 91.653 -168.4615
115.722664 91.644 -168.4189
116.088875 91.636 -168.3747
116.455086 91.627 -168.3309
116.821297 91.618 -168.2904
117.187508 91.609 -168.2565
117.553719 91.599 -168.2325
117.919930 91.587 -168.2202
118.286141 91.574 -168.2195
118.652352 91.559 -168.2281
119.018563 91.544 -168.2422
119.384774 91.527 -168.2571
119.750985 91.510 -168.2690
120.117196 91.493 -168.2752
120.483407 91.477 -168.2748
120.849618 91.461 -168.2685
121.215829 91.446 -168.2576
121.582040 91.432 -168.2438
121.948250 91.418 -168.2286
122.314461 91.405 -168.2130
122.680672 91.392 -168.1972
123.046883 91.380 -168.1812
123.413094 91.368 -168.1650
123.779305 91.356 -168.1481
124.145516 91.345 -168.1306
124.511727 91.333 -168.1126
124.877938 91.322 -168.0943
125.244149 91.310 -168.0760
125.610360 91.299 -168.0579
125.976571 91.287 -168.0405
126.342782 91.275 -168.0237
126.708993 91.263 -168.0074
127.075204 91.251 -167.9915
127.441415 91.238 -167.9755
127.807626 91.226 -167.9591
128.173837 91.213 -167.9419
128.540048 91.201 -167.9238
128.906259 91.188 -167.9044
129.272470 91.176 -167.8838
129.638681 91.164 -167.8621
130.004892 91.151 -167.8396
130.371103 91.139 -167.8165
130.737314 91.127 -167.7933
131.103525 91.116 -167.7702
131.469736 91.104 -167.7475
131.835947 91.093 -167.7253
132.202158 91.082 -167.7036
132.568369 91.071 -167.6823
132.934579 91.060 -167.6611
133.300790 91.050 -167.6400
133.667001 91.039 -167.6184
134.033212 91.029 -167.5964
134.399423 91.019 -167.5735
134.765634 91.009 -167.5496
135.131845 91.000 -167.5247
135.498056 90.990 -167.4989
135.864267 90.980 -167.4723
136.230478 90.970 -167.4452
136.596689 90.960 -167.4178
136.962900 90.950 -167.3905
137.329111 90.940 -167.3633
137.695322 90.929 -167.3366
138.061533 90.918 -167.3102
138.427744 90.908 -167.2843
138.793955 90.897 -167.2590
139.160166 90.886 -167.2343
139.526377 90.876 -167.2101
139.892588 90.865 -167.1867
140.258799 90.855 -167.1639
140.625010 90.845 -167.1415
140.991221 90.835 -167.1193
141.357432 90.825 -167.0970
141.723643 90.816 -167.0742
142.089854 90.806 -167.0508
142.456065 90.796 -167.0264
142.822276 90.787 -167.0011
143.188487 90.777 -166.9750
143.554698 90.768 -166.9485
143.920909 90.758 -166.9216
144.287119 90.748 -166.8947
144.653330 90.738 -166.8678
145.019541 90.728 -166.8410
145.385752 90.718 -166.8144
145.751963 90.707 -166.7879
146.118174 90.697 -166.7614
146.484385 90.687 -166.7348
146.850596 90.676 -166.7083
147.216807 90.666 -166.6817
147.583018 90.655 -166.6550
147.949229 90.645 -166.6283
148.315440 90.634 -166.6018
148.681651 90.624 -166.5753
149.047862 90.613 -166.5491
149.414073 90.603 -166.5232
149.780284 90.592 -166.4976
150.146495 90.582 -166.4725
150.512706 90.572 -166.4478
150.878917 90.562 -166.4237
151.245128 90.552 -166.4001
151.611339 90.542 -166.3772
151.977550 90.533 -166.3548
152.343761 90.523 -166.3330
152.709972 90.514 -166.3117
153.076183 90.504 -166.2908
153.442394 90.495 -166.2701
153.808605 90.485 -166.2493
154.174816 90.476 -166.2283
154.541027 90.466 -166.2068
154.907238 90.457 -166.1847
155.273448 90.447 -166.1619
155.639659 90.438 -166.1383
156.005870 90.428 -166.1140
156.372081 90.418 -166.0890
156.738292 90.407 -166.0633
157.104503 90.397 -166.0372
157.470714 90.386 -166.0107
157.836925 90.376 -165.9841
158.203136 90.365 -165.9576
158.569347 90.355 -165.9316
158.935558 90.344 -165.9066
159.301769 90.335 -165.8828
159.667980 90.325 -165.8608
160.034191 90.316 -165.8408
160.400402 90.307 -165.8231
160.766613 90.299 -165.8078
161.132824 90.291 -165.7950
161.499035 90.283 -165.7844
161.865246 90.276 -165.7755
162.231457 90.269 -165.7680
162.597668 90.262 -165.7612
