* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 08 4, 25 6:18:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CrinEar Daybreak  JVC L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.319 -28.5487
0.368865 44.322 -28.6047
0.371538 44.327 -28.6884
0.374230 44.332 -28.7928
0.376942 44.339 -28.9121
0.379673 44.346 -29.0419
0.382424 44.353 -29.1795
0.385196 44.361 -29.3231
0.387987 44.369 -29.4717
0.390798 44.377 -29.6248
0.393630 44.384 -29.7820
0.396483 44.392 -29.9432
0.399356 44.400 -30.1084
0.402250 44.409 -30.2776
0.405165 44.417 -30.4507
0.408101 44.425 -30.6278
0.411058 44.433 -30.8090
0.414037 44.441 -30.9942
0.417037 44.450 -31.1834
0.420059 44.458 -31.3767
0.423103 44.467 -31.5742
0.426169 44.475 -31.7758
0.429257 44.484 -31.9815
0.432368 44.493 -32.1915
0.435501 44.501 -32.4056
0.438656 44.510 -32.6240
0.441835 44.519 -32.8467
0.445037 44.528 -33.0736
0.448262 44.537 -33.3048
0.451510 44.546 -33.5404
0.454782 44.555 -33.7802
0.458077 44.564 -34.0245
0.461397 44.574 -34.2731
0.464740 44.583 -34.5261
0.468108 44.593 -34.7835
0.471500 44.602 -35.0453
0.474917 44.612 -35.3116
0.478358 44.621 -35.5824
0.481825 44.631 -35.8576
0.485316 44.641 -36.1374
0.488833 44.650 -36.4216
0.492375 44.660 -36.7104
0.495943 44.670 -37.0037
0.499537 44.680 -37.3016
0.503157 44.690 -37.6041
0.506803 44.701 -37.9112
0.510475 44.711 -38.2228
0.514175 44.721 -38.5392
0.517900 44.732 -38.8601
0.521653 44.742 -39.1858
0.525434 44.753 -39.5161
0.529241 44.763 -39.8512
0.533076 44.774 -40.1910
0.536939 44.785 -40.5356
0.540830 44.796 -40.8849
0.544749 44.807 -41.2391
0.548696 44.818 -41.5982
0.552673 44.829 -41.9621
0.556677 44.840 -42.3309
0.560711 44.851 -42.7046
0.564774 44.863 -43.0834
0.568867 44.874 -43.4672
0.572989 44.885 -43.8560
0.577141 44.897 -44.2500
0.581324 44.909 -44.6491
0.585536 44.921 -45.0535
0.589779 44.932 -45.4631
0.594053 44.944 -45.8781
0.598358 44.956 -46.2985
0.602694 44.968 -46.7244
0.607061 44.981 -47.1558
0.611460 44.993 -47.5929
0.615891 45.005 -48.0358
0.620354 45.018 -48.4844
0.624849 45.030 -48.9390
0.629377 45.043 -49.3996
0.633938 45.056 -49.8664
0.638532 45.069 -50.3394
0.643159 45.082 -50.8189
0.647819 45.095 -51.3049
0.652514 45.108 -51.7976
0.657242 45.121 -52.2971
0.662005 45.134 -52.8037
0.666802 45.148 -53.3175
0.671634 45.161 -53.8387
0.676501 45.175 -54.3675
0.681403 45.188 -54.9041
0.686341 45.202 -55.4488
0.691314 45.216 -56.0018
0.696324 45.230 -56.5634
0.701370 45.245 -57.1338
0.706452 45.259 -57.7134
0.711571 45.274 -58.3025
0.716728 45.290 -58.9015
0.721921 45.307 -59.5107
0.727153 45.325 -60.1307
0.732422 45.344 -60.7618
0.737729 45.366 -61.4043
0.743075 45.390 -62.0586
0.748460 45.414 -62.7245
0.753883 45.440 -63.4022
0.759346 45.467 -64.0915
0.764849 45.495 -64.7922
0.770391 45.523 -65.5039
0.775974 45.552 -66.2264
0.781597 45.581 -66.9594
0.787261 45.611 -67.7027
0.792966 45.641 -68.4558
0.798712 45.671 -69.2186
0.804500 45.702 -69.9906
0.810329 45.734 -70.7716
0.816201 45.766 -71.5612
0.822116 45.799 -72.3592
0.828073 45.832 -73.1653
0.834074 45.866 -73.9793
0.840118 45.900 -74.8008
0.846206 45.935 -75.6297
0.852338 45.971 -76.4657
0.858514 46.008 -77.3086
0.864735 46.045 -78.1583
0.871001 46.083 -79.0145
0.877313 46.122 -79.8771
0.883670 46.161 -80.7461
0.890074 46.202 -81.6213
0.896524 46.243 -82.5028
0.903020 46.285 -83.3903
0.909564 46.328 -84.2841
0.916155 46.373 -85.1840
0.922794 46.418 -86.0903
0.929481 46.464 -87.0029
0.936216 46.511 -87.9220
0.943000 46.559 -88.8478
0.949834 46.609 -89.7805
0.956717 46.659 -90.7204
0.963649 46.711 -91.6676
0.970632 46.764 -92.6227
0.977666 46.819 -93.5858
0.984750 46.874 -94.5573
0.991886 46.932 -95.5378
0.999074 46.990 -96.5277
1.006314 47.050 -97.5275
1.013606 47.112 -98.5378
1.020951 47.175 -99.5590
1.028349 47.240 -100.5919
1.035801 47.307 -101.6370
1.043307 47.375 -102.6951
1.050867 47.446 -103.7668
1.058482 47.518 -104.8529
1.066152 47.592 -105.9538
1.073878 47.668 -107.0701
1.081660 47.746 -108.2022
1.089498 47.826 -109.3498
1.097393 47.909 -110.5125
1.105345 47.994 -111.6892
1.113355 48.082 -112.8783
1.121423 48.172 -114.0781
1.129549 48.264 -115.2870
1.137734 48.360 -116.5032
1.145979 48.457 -117.7253
1.154283 48.558 -118.9520
1.162647 48.661 -120.1820
1.171072 48.766 -121.4141
1.179558 48.874 -122.6474
1.188106 48.985 -123.8810
1.196715 49.098 -125.1142
1.205387 49.213 -126.3461
1.214122 49.331 -127.5761
1.222920 49.451 -128.8039
1.231782 49.574 -130.0289
1.240708 49.698 -131.2508
1.249699 49.825 -132.4694
1.258754 49.954 -133.6845
1.267876 50.086 -134.8961
1.277063 50.219 -136.1043
1.286318 50.354 -137.3090
1.295639 50.492 -138.5106
1.305027 50.631 -139.7091
1.314484 50.771 -140.9050
1.324009 50.914 -142.0986
1.333604 51.058 -143.2904
1.343268 51.204 -144.4807
1.353002 51.351 -145.6701
1.362806 51.500 -146.8592
1.372681 51.650 -148.0486
1.382628 51.801 -149.2388
1.392647 51.953 -150.4304
1.402739 52.107 -151.6239
1.412904 52.261 -152.8199
1.423142 52.416 -154.0184
1.433455 52.572 -155.2194
1.443843 52.729 -156.4223
1.454305 52.887 -157.6256
1.464844 53.046 -158.8273
1.475459 53.207 -160.0245
1.486150 53.370 -161.2142
1.496920 53.534 -162.3941
1.507767 53.702 -163.5621
1.518693 53.871 -164.7174
1.529698 54.043 -165.8594
1.540783 54.217 -166.9880
1.551948 54.393 -168.1038
1.563194 54.572 -169.2071
1.574521 54.752 -170.2989
1.585931 54.935 -171.3801
1.597423 55.120 -172.4515
1.608999 55.306 -173.5144
1.620658 55.494 -174.5700
1.632402 55.684 -175.6193
1.644232 55.875 -176.6638
1.656146 56.067 -177.7046
1.668147 56.261 -178.7432
1.680235 56.456 -179.7807
1.692411 56.652 179.1815
1.704675 56.848 178.1419
1.717028 57.046 177.0994
1.729470 57.243 176.0527
1.742003 57.442 175.0005
1.754626 57.640 173.9418
1.767341 57.838 172.8757
1.780147 58.037 171.8014
1.793047 58.235 170.7188
1.806040 58.433 169.6285
1.819128 58.631 168.5319
1.832310 58.829 167.4312
1.845587 59.028 166.3295
1.858961 59.226 165.2300
1.872432 59.425 164.1355
1.886001 59.624 163.0479
1.899667 59.824 161.9684
1.913433 60.025 160.8976
1.927299 60.226 159.8357
1.941265 60.428 158.7824
1.955332 60.630 157.7372
1.969501 60.832 156.6995
1.983773 61.036 155.6684
1.998148 61.239 154.6430
2.012627 61.443 153.6223
2.027212 61.647 152.6053
2.041902 61.852 151.5907
2.056698 62.056 150.5774
2.071602 62.261 149.5641
2.086614 62.466 148.5497
2.101734 62.671 147.5330
2.116964 62.876 146.5128
2.132304 63.082 145.4881
2.147756 63.287 144.4585
2.163320 63.492 143.4236
2.178996 63.696 142.3839
2.194786 63.901 141.3407
2.210690 64.106 140.2958
2.226710 64.310 139.2514
2.242845 64.514 138.2096
2.259098 64.718 137.1719
2.275468 64.921 136.1392
2.291957 65.125 135.1119
2.308566 65.328 134.0902
2.325295 65.531 133.0737
2.342145 65.734 132.0619
2.359117 65.937 131.0541
2.376212 66.139 130.0496
2.393431 66.342 129.0473
2.410775 66.544 128.0463
2.428244 66.746 127.0455
2.445840 66.948 126.0437
2.463564 67.149 125.0400
2.481416 67.351 124.0331
2.499397 67.552 123.0222
2.517509 67.753 122.0067
2.535752 67.954 120.9862
2.554127 68.154 119.9611
2.572635 68.355 118.9323
2.591277 68.554 117.9012
2.610055 68.754 116.8691
2.628968 68.952 115.8376
2.648019 69.151 114.8074
2.667208 69.348 113.7793
2.686535 69.545 112.7535
2.706003 69.742 111.7300
2.725612 69.938 110.7088
2.745363 70.134 109.6893
2.765257 70.329 108.6711
2.785295 70.524 107.6534
2.805478 70.718 106.6355
2.825808 70.912 105.6166
2.846285 71.105 104.5957
2.866910 71.298 103.5721
2.887685 71.491 102.5450
2.908611 71.683 101.5141
2.929688 71.875 100.4792
2.950917 72.066 99.4409
2.972301 72.256 98.3997
2.993839 72.446 97.3567
3.015534 72.635 96.3127
3.037386 72.823 95.2685
3.059396 73.010 94.2247
3.081565 73.197 93.1818
3.103896 73.383 92.1398
3.126388 73.568 91.0988
3.149043 73.753 90.0587
3.171862 73.937 89.0190
3.194847 74.120 87.9792
3.217998 74.303 86.9389
3.241317 74.485 85.8971
3.264805 74.666 84.8533
3.288463 74.847 83.8069
3.312293 75.027 82.7574
3.336295 75.206 81.7049
3.360471 75.384 80.6497
3.384822 75.562 79.5925
3.409350 75.738 78.5341
3.434056 75.914 77.4751
3.458940 76.088 76.4164
3.484005 76.262 75.3583
3.509252 76.435 74.3013
3.534681 76.607 73.2454
3.560295 76.778 72.1907
3.586094 76.948 71.1367
3.612081 77.118 70.0830
3.638255 77.287 69.0288
3.664620 77.455 67.9734
3.691175 77.622 66.9161
3.717923 77.788 65.8566
3.744864 77.953 64.7950
3.772001 78.117 63.7320
3.799335 78.279 62.6682
3.826866 78.441 61.6046
3.854597 78.602 60.5419
3.882529 78.762 59.4807
3.910664 78.921 58.4217
3.939002 79.079 57.3647
3.967546 79.236 56.3099
3.996296 79.392 55.2565
4.025255 79.548 54.2039
4.054423 79.702 53.1513
4.083804 79.855 52.0979
4.113396 80.008 51.0436
4.143204 80.159 49.9887
4.173227 80.309 48.9339
4.203468 80.458 47.8800
4.233928 80.606 46.8278
4.264609 80.753 45.7782
4.295512 80.899 44.7316
4.326639 81.044 43.6882
4.357992 81.188 42.6479
4.389572 81.332 41.6099
4.421380 81.474 40.5736
4.453419 81.615 39.5383
4.485691 81.756 38.5036
4.518196 81.895 37.4696
4.550936 82.033 36.4369
4.583914 82.171 35.4062
4.617131 82.307 34.3783
4.650589 82.443 33.3537
4.684289 82.577 32.3329
4.718233 82.711 31.3159
4.752424 82.845 30.3024
4.786862 82.977 29.2918
4.821549 83.108 28.2835
4.856488 83.239 27.2771
4.891680 83.368 26.2726
4.927127 83.497 25.2701
4.962831 83.625 24.2705
4.998794 83.752 23.2739
5.035017 83.879 22.2810
5.071503 84.005 21.2919
5.108253 84.130 20.3064
5.145270 84.255 19.3242
5.182555 84.379 18.3448
5.220110 84.502 17.3679
5.257937 84.624 16.3932
5.296038 84.746 15.4208
5.334415 84.867 14.4510
5.373071 84.988 13.4840
5.412006 85.108 12.5200
5.451224 85.228 11.5589
5.490725 85.347 10.6006
5.530514 85.465 9.6448
5.570590 85.583 8.6910
5.610957 85.701 7.7390
5.651616 85.817 6.7889
5.692570 85.934 5.8405
5.733821 86.050 4.8939
5.775370 86.165 3.9492
5.817221 86.280 3.0062
5.859375 86.394 2.0647
5.901834 86.508 1.1244
5.944602 86.621 0.1851
5.987679 86.734 -0.7534
6.031068 86.846 -1.6912
6.074771 86.957 -2.6281
6.118792 87.068 -3.5642
6.163131 87.179 -4.4996
6.207792 87.288 -5.4343
6.252776 87.398 -6.3689
6.298086 87.506 -7.3033
6.343725 87.614 -8.2378
6.389694 87.721 -9.1723
6.435996 87.827 -10.1067
6.482634 87.933 -11.0406
6.529610 88.038 -11.9744
6.576926 88.142 -12.9077
