* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11 9, 24 11:45:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DUNU Kima 2 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.808 -25.9272
0.368865 41.810 -25.8790
0.371538 41.813 -25.8076
0.374230 41.816 -25.7199
0.376942 41.821 -25.6213
0.379673 41.825 -25.5160
0.382424 41.829 -25.4067
0.385196 41.834 -25.2952
0.387987 41.839 -25.1822
0.390798 41.844 -25.0684
0.393630 41.849 -24.9539
0.396483 41.854 -24.8387
0.399356 41.858 -24.7230
0.402250 41.863 -24.6066
0.405165 41.868 -24.4895
0.408101 41.874 -24.3716
0.411058 41.879 -24.2527
0.414037 41.884 -24.1329
0.417037 41.889 -24.0119
0.420059 41.894 -23.8896
0.423103 41.899 -23.7661
0.426169 41.905 -23.6410
0.429257 41.910 -23.5143
0.432368 41.915 -23.3859
0.435501 41.921 -23.2556
0.438656 41.926 -23.1234
0.441835 41.932 -22.9889
0.445037 41.937 -22.8521
0.448262 41.943 -22.7129
0.451510 41.948 -22.5711
0.454782 41.954 -22.4264
0.458077 41.960 -22.2788
0.461397 41.965 -22.1280
0.464740 41.971 -21.9739
0.468108 41.977 -21.8163
0.471500 41.983 -21.6549
0.474917 41.989 -21.4897
0.478358 41.995 -21.3202
0.481825 42.001 -21.1465
0.485316 42.007 -20.9681
0.488833 42.013 -20.7850
0.492375 42.019 -20.5968
0.495943 42.025 -20.4034
0.499537 42.031 -20.2044
0.503157 42.037 -19.9997
0.506803 42.044 -19.7890
0.510475 42.050 -19.5719
0.514175 42.056 -19.3483
0.517900 42.063 -19.1178
0.521653 42.069 -18.8803
0.525434 42.076 -18.6353
0.529241 42.082 -18.3827
0.533076 42.089 -18.1221
0.536939 42.096 -17.8533
0.540830 42.102 -17.5759
0.544749 42.109 -17.2896
0.548696 42.116 -16.9943
0.552673 42.123 -16.6895
0.556677 42.130 -16.3750
0.560711 42.137 -16.0505
0.564774 42.144 -15.7158
0.568867 42.151 -15.3705
0.572989 42.158 -15.0144
0.577141 42.165 -14.6473
0.581324 42.172 -14.2688
0.585536 42.179 -13.8789
0.589779 42.187 -13.4772
0.594053 42.194 -13.0636
0.598358 42.202 -12.6379
0.602694 42.209 -12.1999
0.607061 42.217 -11.7496
0.611460 42.224 -11.2868
0.615891 42.232 -10.8115
0.620354 42.239 -10.3237
0.624849 42.247 -9.8233
0.629377 42.255 -9.3104
0.633938 42.263 -8.7852
0.638532 42.271 -8.2476
0.643159 42.279 -7.6980
0.647819 42.287 -7.1365
0.652514 42.295 -6.5634
0.657242 42.303 -5.9790
0.662005 42.311 -5.3837
0.666802 42.320 -4.7780
0.671634 42.328 -4.1624
0.676501 42.336 -3.5373
0.681403 42.345 -2.9033
0.686341 42.354 -2.2612
0.691314 42.362 -1.6115
0.696324 42.372 -0.9551
0.701370 42.382 -0.2926
0.706452 42.393 0.3751
0.711571 42.407 1.0473
0.716728 42.423 1.7234
0.721921 42.446 2.4027
0.727153 42.476 3.0848
0.732422 42.516 3.7695
0.737729 42.569 4.4567
0.743075 42.632 5.1465
0.748460 42.706 5.8386
0.753883 42.788 6.5329
0.759346 42.877 7.2288
0.764849 42.971 7.9257
0.770391 43.071 8.6229
0.775974 43.176 9.3195
0.781597 43.285 10.0147
0.787261 43.399 10.7075
0.792966 43.517 11.3972
0.798712 43.639 12.0827
0.804500 43.765 12.7632
0.810329 43.896 13.4377
0.816201 44.030 14.1054
0.822116 44.169 14.7654
0.828073 44.312 15.4168
0.834074 44.458 16.0588
0.840118 44.609 16.6906
0.846206 44.763 17.3113
0.852338 44.921 17.9203
0.858514 45.082 18.5167
0.864735 45.247 19.1000
0.871001 45.416 19.6693
0.877313 45.587 20.2241
0.883670 45.762 20.7639
0.890074 45.940 21.2879
0.896524 46.121 21.7957
0.903020 46.305 22.2868
0.909564 46.492 22.7608
0.916155 46.681 23.2173
0.922794 46.873 23.6558
0.929481 47.066 24.0760
0.936216 47.262 24.4776
0.943000 47.460 24.8604
0.949834 47.660 25.2240
0.956717 47.861 25.5684
0.963649 48.064 25.8933
0.970632 48.268 26.1985
0.977666 48.472 26.4839
0.984750 48.678 26.7495
0.991886 48.884 26.9952
0.999074 49.090 27.2210
1.006314 49.296 27.4267
1.013606 49.502 27.6126
1.020951 49.708 27.7784
1.028349 49.912 27.9245
1.035801 50.116 28.0508
1.043307 50.318 28.1575
1.050867 50.519 28.2448
1.058482 50.718 28.3132
1.066152 50.914 28.3633
1.073878 51.109 28.3958
1.081660 51.301 28.4123
1.089498 51.492 28.4145
1.097393 51.681 28.4049
1.105345 51.868 28.3865
1.113355 52.055 28.3619
1.121423 52.243 28.3333
1.129549 52.430 28.3022
1.137734 52.618 28.2691
1.145979 52.806 28.2343
1.154283 52.995 28.1977
1.162647 53.185 28.1589
1.171072 53.376 28.1175
1.179558 53.567 28.0730
1.188106 53.759 28.0250
1.196715 53.951 27.9729
1.205387 54.144 27.9163
1.214122 54.338 27.8548
1.222920 54.532 27.7879
1.231782 54.726 27.7152
1.240708 54.921 27.6364
1.249699 55.117 27.5510
1.258754 55.313 27.4588
1.267876 55.509 27.3593
1.277063 55.705 27.2522
1.286318 55.901 27.1373
1.295639 56.098 27.0142
1.305027 56.295 26.8827
1.314484 56.491 26.7424
1.324009 56.688 26.5930
1.333604 56.885 26.4344
1.343268 57.081 26.2662
1.353002 57.277 26.0883
1.362806 57.473 25.9002
1.372681 57.669 25.7019
1.382628 57.864 25.4931
1.392647 58.059 25.2737
1.402739 58.253 25.0434
1.412904 58.446 24.8023
1.423142 58.639 24.5505
1.433455 58.831 24.2883
1.443843 59.022 24.0164
1.454305 59.213 23.7359
1.464844 59.402 23.4483
1.475459 59.590 23.1556
1.486150 59.777 22.8593
1.496920 59.963 22.5610
1.507767 60.148 22.2615
1.518693 60.331 21.9611
1.529698 60.514 21.6601
1.540783 60.695 21.3582
1.551948 60.876 21.0551
1.563194 61.055 20.7507
1.574521 61.234 20.4443
1.585931 61.411 20.1357
1.597423 61.588 19.8245
1.608999 61.763 19.5101
1.620658 61.938 19.1923
1.632402 62.112 18.8706
1.644232 62.286 18.5446
1.656146 62.458 18.2140
1.668147 62.630 17.8782
1.680235 62.802 17.5369
1.692411 62.973 17.1898
1.704675 63.143 16.8364
1.717028 63.313 16.4764
1.729470 63.483 16.1094
1.742003 63.652 15.7350
1.754626 63.822 15.3530
1.767341 63.991 14.9630
1.780147 64.160 14.5649
1.793047 64.329 14.1587
1.806040 64.498 13.7445
1.819128 64.667 13.3227
1.832310 64.835 12.8942
1.845587 65.003 12.4598
1.858961 65.170 12.0206
1.872432 65.336 11.5776
1.886001 65.502 11.1313
1.899667 65.666 10.6824
1.913433 65.829 10.2311
1.927299 65.991 9.7775
1.941265 66.153 9.3220
1.955332 66.313 8.8644
1.969501 66.472 8.4049
1.983773 66.631 7.9433
1.998148 66.789 7.4796
2.012627 66.946 7.0137
2.027212 67.102 6.5455
2.041902 67.257 6.0748
2.056698 67.412 5.6015
2.071602 67.566 5.1253
2.086614 67.720 4.6460
2.101734 67.874 4.1634
2.116964 68.027 3.6773
2.132304 68.179 3.1873
2.147756 68.332 2.6933
2.163320 68.484 2.1950
2.178996 68.635 1.6922
2.194786 68.786 1.1849
2.210690 68.937 0.6732
2.226710 69.086 0.1572
2.242845 69.235 -0.3627
2.259098 69.383 -0.8861
2.275468 69.530 -1.4128
2.291957 69.676 -1.9422
2.308566 69.820 -2.4741
2.325295 69.964 -3.0082
2.342145 70.107 -3.5441
2.359117 70.249 -4.0817
2.376212 70.390 -4.6207
2.393431 70.531 -5.1611
2.410775 70.670 -5.7026
2.428244 70.809 -6.2452
2.445840 70.948 -6.7890
2.463564 71.085 -7.3338
2.481416 71.222 -7.8798
2.499397 71.359 -8.4271
2.517509 71.495 -8.9760
2.535752 71.631 -9.5268
2.554127 71.766 -10.0800
2.572635 71.900 -10.6359
2.591277 72.033 -11.1949
2.610055 72.166 -11.7573
2.628968 72.297 -12.3229
2.648019 72.428 -12.8916
2.667208 72.557 -13.4630
2.686535 72.686 -14.0367
2.706003 72.813 -14.6121
2.725612 72.940 -15.1888
2.745363 73.066 -15.7663
2.765257 73.190 -16.3443
2.785295 73.315 -16.9224
2.805478 73.438 -17.5001
2.825808 73.560 -18.0773
2.846285 73.682 -18.6539
2.866910 73.804 -19.2297
2.887685 73.925 -19.8050
2.908611 74.045 -20.3801
2.929688 74.164 -20.9556
2.950917 74.283 -21.5321
2.972301 74.400 -22.1102
2.993839 74.517 -22.6901
3.015534 74.633 -23.2719
3.037386 74.748 -23.8554
3.059396 74.861 -24.4401
3.081565 74.974 -25.0257
3.103896 75.086 -25.6115
3.126388 75.197 -26.1969
3.149043 75.307 -26.7815
3.171862 75.417 -27.3649
3.194847 75.526 -27.9465
3.217998 75.634 -28.5261
3.241317 75.742 -29.1036
3.264805 75.849 -29.6792
3.288463 75.955 -30.2533
3.312293 76.061 -30.8263
3.336295 76.166 -31.3990
3.360471 76.269 -31.9718
3.384822 76.372 -32.5449
3.409350 76.475 -33.1182
3.434056 76.576 -33.6913
3.458940 76.676 -34.2640
3.484005 76.776 -34.8357
3.509252 76.875 -35.4059
3.534681 76.973 -35.9741
3.560295 77.071 -36.5399
3.586094 77.168 -37.1030
3.612081 77.265 -37.6632
3.638255 77.361 -38.2206
3.664620 77.457 -38.7754
3.691175 77.552 -39.3282
3.717923 77.646 -39.8794
3.744864 77.740 -40.4292
3.772001 77.833 -40.9778
3.799335 77.925 -41.5252
3.826866 78.017 -42.0712
3.854597 78.108 -42.6154
3.882529 78.199 -43.1576
3.910664 78.289 -43.6974
3.939002 78.378 -44.2347
3.967546 78.468 -44.7691
3.996296 78.557 -45.3007
4.025255 78.646 -45.8296
4.054423 78.734 -46.3558
4.083804 78.822 -46.8799
4.113396 78.909 -47.4019
4.143204 78.996 -47.9222
4.173227 79.083 -48.4406
4.203468 79.169 -48.9574
4.233928 79.255 -49.4723
4.264609 79.340 -49.9854
4.295512 79.425 -50.4965
4.326639 79.510 -51.0056
4.357992 79.595 -51.5127
4.389572 79.680 -52.0178
4.421380 79.764 -52.5210
4.453419 79.849 -53.0225
4.485691 79.933 -53.5225
4.518196 80.017 -54.0211
4.550936 80.100 -54.5184
4.583914 80.183 -55.0146
4.617131 80.266 -55.5097
4.650589 80.349 -56.0040
4.684289 80.432 -56.4974
4.718233 80.515 -56.9900
4.752424 80.597 -57.4820
4.786862 80.680 -57.9734
4.821549 80.762 -58.4643
4.856488 80.844 -58.9548
4.891680 80.926 -59.4450
4.927127 81.008 -59.9351
4.962831 81.089 -60.4250
4.998794 81.170 -60.9151
5.035017 81.251 -61.4054
5.071503 81.332 -61.8961
5.108253 81.413 -62.3872
5.145270 81.493 -62.8790
5.182555 81.574 -63.3715
5.220110 81.654 -63.8647
5.257937 81.733 -64.3587
5.296038 81.813 -64.8534
5.334415 81.892 -65.3489
5.373071 81.971 -65.8453
5.412006 82.049 -66.3424
5.451224 82.127 -66.8405
5.490725 82.205 -67.3396
5.530514 82.282 -67.8399
5.570590 82.359 -68.3413
5.610957 82.436 -68.8440
5.651616 82.512 -69.3478
5.692570 82.587 -69.8525
5.733821 82.662 -70.3580
5.775370 82.737 -70.8642
5.817221 82.811 -71.3710
5.859375 82.885 -71.8784
5.901834 82.958 -72.3867
5.944602 83.030 -72.8957
5.987679 83.102 -73.4055
6.031068 83.173 -73.9159
6.074771 83.243 -74.4266
6.118792 83.313 -74.9373
6.163131 83.383 -75.4479
6.207792 83.451 -75.9584
6.252776 83.519 -76.4686
6.298086 83.587 -76.9786
6.343725 83.654 -77.4885
6.389694 83.720 -77.9981
6.435996 83.785 -78.5073
6.482634 83.850 -79.0157
6.529610 83.915 -79.5233
