* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 24, 24 3:18:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DUSK R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.350 -54.1144
0.368865 58.362 -54.2219
0.371538 58.379 -54.3821
0.374230 58.400 -54.5818
0.376942 58.424 -54.8096
0.379673 58.450 -55.0571
0.382424 58.476 -55.3189
0.385196 58.504 -55.5915
0.387987 58.532 -55.8730
0.390798 58.560 -56.1624
0.393630 58.589 -56.4590
0.396483 58.618 -56.7626
0.399356 58.647 -57.0730
0.402250 58.676 -57.3902
0.405165 58.705 -57.7142
0.408101 58.735 -58.0450
0.411058 58.765 -58.3826
0.414037 58.795 -58.7271
0.417037 58.825 -59.0784
0.420059 58.856 -59.4366
0.423103 58.887 -59.8016
0.426169 58.918 -60.1736
0.429257 58.949 -60.5524
0.432368 58.980 -60.9382
0.435501 59.012 -61.3308
0.438656 59.044 -61.7304
0.441835 59.076 -62.1368
0.445037 59.108 -62.5501
0.448262 59.141 -62.9703
0.451510 59.174 -63.3974
0.454782 59.207 -63.8312
0.458077 59.240 -64.2719
0.461397 59.274 -64.7193
0.464740 59.308 -65.1734
0.468108 59.342 -65.6342
0.471500 59.376 -66.1017
0.474917 59.411 -66.5758
0.478358 59.445 -67.0564
0.481825 59.480 -67.5434
0.485316 59.516 -68.0370
0.488833 59.551 -68.5368
0.492375 59.587 -69.0430
0.495943 59.623 -69.5554
0.499537 59.660 -70.0740
0.503157 59.696 -70.5986
0.506803 59.733 -71.1292
0.510475 59.770 -71.6657
0.514175 59.808 -72.2080
0.517900 59.845 -72.7561
0.521653 59.883 -73.3098
0.525434 59.921 -73.8690
0.529241 59.960 -74.4337
0.533076 59.999 -75.0037
0.536939 60.038 -75.5790
0.540830 60.077 -76.1594
0.544749 60.117 -76.7449
0.548696 60.157 -77.3352
0.552673 60.197 -77.9304
0.556677 60.237 -78.5304
0.560711 60.278 -79.1349
0.564774 60.319 -79.7439
0.568867 60.361 -80.3574
0.572989 60.402 -80.9752
0.577141 60.444 -81.5971
0.581324 60.487 -82.2232
0.585536 60.529 -82.8532
0.589779 60.572 -83.4871
0.594053 60.615 -84.1249
0.598358 60.659 -84.7663
0.602694 60.703 -85.4114
0.607061 60.747 -86.0600
0.611460 60.791 -86.7121
0.615891 60.836 -87.3675
0.620354 60.881 -88.0262
0.624849 60.927 -88.6882
0.629377 60.973 -89.3533
0.633938 61.019 -90.0215
0.638532 61.065 -90.6927
0.643159 61.112 -91.3669
0.647819 61.159 -92.0441
0.652514 61.207 -92.7241
0.657242 61.254 -93.4070
0.662005 61.303 -94.0928
0.666802 61.351 -94.7813
0.671634 61.400 -95.4727
0.676501 61.449 -96.1668
0.681403 61.499 -96.8637
0.686341 61.549 -97.5634
0.691314 61.599 -98.2658
0.696324 61.650 -98.9711
0.701370 61.702 -99.6791
0.706452 61.754 -100.3899
0.711571 61.807 -101.1035
0.716728 61.861 -101.8197
0.721921 61.918 -102.5384
0.727153 61.977 -103.2592
0.732422 62.039 -103.9819
0.737729 62.105 -104.7058
0.743075 62.175 -105.4302
0.748460 62.248 -106.1546
0.753883 62.323 -106.8783
0.759346 62.401 -107.6008
0.764849 62.481 -108.3216
0.770391 62.563 -109.0405
0.775974 62.646 -109.7569
0.781597 62.732 -110.4707
0.787261 62.819 -111.1815
0.792966 62.908 -111.8892
0.798712 62.998 -112.5934
0.804500 63.090 -113.2940
0.810329 63.184 -113.9908
0.816201 63.279 -114.6836
0.822116 63.376 -115.3724
0.828073 63.474 -116.0569
0.834074 63.574 -116.7372
0.840118 63.676 -117.4131
0.846206 63.779 -118.0846
0.852338 63.883 -118.7516
0.858514 63.989 -119.4142
0.864735 64.096 -120.0724
0.871001 64.205 -120.7262
0.877313 64.315 -121.3756
0.883670 64.426 -122.0207
0.890074 64.539 -122.6616
0.896524 64.653 -123.2983
0.903020 64.768 -123.9310
0.909564 64.884 -124.5598
0.916155 65.002 -125.1848
0.922794 65.120 -125.8061
0.929481 65.240 -126.4240
0.936216 65.360 -127.0386
0.943000 65.481 -127.6500
0.949834 65.604 -128.2585
0.956717 65.727 -128.8642
0.963649 65.851 -129.4673
0.970632 65.975 -130.0682
0.977666 66.100 -130.6669
0.984750 66.226 -131.2637
0.991886 66.352 -131.8589
0.999074 66.479 -132.4527
1.006314 66.605 -133.0453
1.013606 66.732 -133.6370
1.020951 66.860 -134.2281
1.028349 66.987 -134.8188
1.035801 67.114 -135.4094
1.043307 67.241 -136.0001
1.050867 67.368 -136.5911
1.058482 67.494 -137.1828
1.066152 67.621 -137.7753
1.073878 67.746 -138.3686
1.081660 67.872 -138.9628
1.089498 67.997 -139.5578
1.097393 68.121 -140.1530
1.105345 68.246 -140.7480
1.113355 68.371 -141.3423
1.121423 68.496 -141.9351
1.129549 68.621 -142.5261
1.137734 68.747 -143.1148
1.145979 68.874 -143.7011
1.154283 69.000 -144.2849
1.162647 69.128 -144.8659
1.171072 69.256 -145.4442
1.179558 69.384 -146.0198
1.188106 69.513 -146.5926
1.196715 69.642 -147.1626
1.205387 69.772 -147.7298
1.214122 69.902 -148.2944
1.222920 70.033 -148.8563
1.231782 70.164 -149.4156
1.240708 70.296 -149.9724
1.249699 70.428 -150.5267
1.258754 70.560 -151.0787
1.267876 70.693 -151.6283
1.277063 70.826 -152.1759
1.286318 70.960 -152.7213
1.295639 71.093 -153.2648
1.305027 71.228 -153.8066
1.314484 71.362 -154.3466
1.324009 71.496 -154.8852
1.333604 71.631 -155.4223
1.343268 71.766 -155.9583
1.353002 71.901 -156.4931
1.362806 72.037 -157.0271
1.372681 72.172 -157.5603
1.382628 72.308 -158.0930
1.392647 72.443 -158.6253
1.402739 72.579 -159.1574
1.412904 72.714 -159.6893
1.423142 72.850 -160.2213
1.433455 72.986 -160.7533
1.443843 73.121 -161.2852
1.454305 73.257 -161.8168
1.464844 73.392 -162.3479
1.475459 73.527 -162.8779
1.486150 73.662 -163.4063
1.496920 73.797 -163.9327
1.507767 73.932 -164.4570
1.518693 74.067 -164.9791
1.529698 74.201 -165.4989
1.540783 74.336 -166.0165
1.551948 74.470 -166.5322
1.563194 74.604 -167.0461
1.574521 74.738 -167.5584
1.585931 74.872 -168.0693
1.597423 75.005 -168.5792
1.608999 75.139 -169.0882
1.620658 75.272 -169.5967
1.632402 75.406 -170.1049
1.644232 75.539 -170.6131
1.656146 75.672 -171.1216
1.668147 75.805 -171.6307
1.680235 75.938 -172.1408
1.692411 76.071 -172.6522
1.704675 76.204 -173.1651
1.717028 76.336 -173.6800
1.729470 76.469 -174.1971
1.742003 76.602 -174.7168
1.754626 76.734 -175.2394
1.767341 76.867 -175.7653
1.780147 76.999 -176.2946
1.793047 77.132 -176.8278
1.806040 77.264 -177.3648
1.819128 77.397 -177.9057
1.832310 77.529 -178.4504
1.845587 77.661 -178.9985
1.858961 77.793 -179.5496
1.872432 77.924 179.8967
1.886001 78.055 179.3408
1.899667 78.185 178.7830
1.913433 78.316 178.2238
1.927299 78.445 177.6632
1.941265 78.575 177.1016
1.955332 78.704 176.5391
1.969501 78.832 175.9758
1.983773 78.960 175.4118
1.998148 79.088 174.8473
2.012627 79.216 174.2823
2.027212 79.343 173.7167
2.041902 79.470 173.1507
2.056698 79.596 172.5840
2.071602 79.723 172.0168
2.086614 79.849 171.4489
2.101734 79.974 170.8801
2.116964 80.100 170.3104
2.132304 80.225 169.7394
2.147756 80.350 169.1671
2.163320 80.475 168.5931
2.178996 80.600 168.0170
2.194786 80.724 167.4387
2.210690 80.848 166.8578
2.226710 80.972 166.2741
2.242845 81.095 165.6877
2.259098 81.217 165.0986
2.275468 81.339 164.5071
2.291957 81.460 163.9135
2.308566 81.580 163.3180
2.325295 81.700 162.7210
2.342145 81.820 162.1227
2.359117 81.939 161.5235
2.376212 82.057 160.9236
2.393431 82.175 160.3231
2.410775 82.292 159.7223
2.428244 82.409 159.1212
2.445840 82.526 158.5201
2.463564 82.642 157.9188
2.481416 82.757 157.3175
2.499397 82.873 156.7160
2.517509 82.988 156.1140
2.535752 83.102 155.5113
2.554127 83.216 154.9073
2.572635 83.329 154.3015
2.591277 83.442 153.6935
2.610055 83.555 153.0827
2.628968 83.666 152.4692
2.648019 83.777 151.8530
2.667208 83.887 151.2344
2.686535 83.996 150.6138
2.706003 84.105 149.9916
2.725612 84.213 149.3683
2.745363 84.320 148.7442
2.765257 84.426 148.1197
2.785295 84.532 147.4952
2.805478 84.638 146.8711
2.825808 84.743 146.2476
2.846285 84.847 145.6248
2.866910 84.951 145.0027
2.887685 85.054 144.3812
2.908611 85.157 143.7599
2.929688 85.259 143.1382
2.950917 85.361 142.5154
2.972301 85.462 141.8909
2.993839 85.562 141.2643
3.015534 85.661 140.6356
3.037386 85.759 140.0049
3.059396 85.857 139.3727
3.081565 85.954 138.7394
3.103896 86.050 138.1055
3.126388 86.145 137.4716
3.149043 86.240 136.8382
3.171862 86.334 136.2057
3.194847 86.427 135.5747
3.217998 86.520 134.9454
3.241317 86.613 134.3179
3.264805 86.705 133.6920
3.288463 86.796 133.0674
3.312293 86.886 132.4434
3.336295 86.976 131.8194
3.360471 87.065 131.1948
3.384822 87.154 130.5695
3.409350 87.241 129.9434
3.434056 87.328 129.3169
3.458940 87.414 128.6902
3.484005 87.499 128.0640
3.509252 87.584 127.4386
3.534681 87.668 126.8145
3.560295 87.751 126.1921
3.586094 87.834 125.5718
3.612081 87.917 124.9536
3.638255 87.999 124.3374
3.664620 88.080 123.7229
3.691175 88.161 123.1095
3.717923 88.241 122.4968
3.744864 88.320 121.8844
3.772001 88.399 121.2722
3.799335 88.477 120.6603
3.826866 88.554 120.0491
3.854597 88.631 119.4388
3.882529 88.707 118.8297
3.910664 88.783 118.2224
3.939002 88.858 117.6171
3.967546 88.932 117.0140
3.996296 89.007 116.4131
4.025255 89.080 115.8143
4.054423 89.154 115.2173
4.083804 89.227 114.6216
4.113396 89.299 114.0270
4.143204 89.370 113.4333
4.173227 89.442 112.8406
4.203468 89.512 112.2489
4.233928 89.582 111.6584
4.264609 89.652 111.0695
4.295512 89.721 110.4821
4.326639 89.790 109.8965
4.357992 89.858 109.3126
4.389572 89.926 108.7305
4.421380 89.994 108.1498
4.453419 90.061 107.5703
4.485691 90.128 106.9917
4.518196 90.194 106.4141
4.550936 90.260 105.8374
4.583914 90.326 105.2617
4.617131 90.391 104.6871
4.650589 90.455 104.1138
4.684289 90.519 103.5417
4.718233 90.583 102.9709
4.752424 90.647 102.4014
4.786862 90.710 101.8330
4.821549 90.773 101.2654
4.856488 90.835 100.6985
4.891680 90.897 100.1324
4.927127 90.958 99.5669
4.962831 91.019 99.0023
4.998794 91.080 98.4384
5.035017 91.140 97.8756
5.071503 91.200 97.3138
5.108253 91.259 96.7528
5.145270 91.318 96.1927
5.182555 91.377 95.6332
5.220110 91.435 95.0743
5.257937 91.492 94.5159
5.296038 91.550 93.9580
5.334415 91.606 93.4008
5.373071 91.663 92.8444
5.412006 91.719 92.2888
5.451224 91.774 91.7342
5.490725 91.829 91.1805
5.530514 91.884 90.6275
5.570590 91.938 90.0752
5.610957 91.991 89.5234
5.651616 92.044 88.9723
5.692570 92.097 88.4218
5.733821 92.149 87.8723
5.775370 92.201 87.3238
5.817221 92.252 86.7763
5.859375 92.303 86.2299
5.901834 92.353 85.6844
5.944602 92.403 85.1398
5.987679 92.452 84.5960
6.031068 92.500 84.0530
6.074771 92.549 83.5111
6.118792 92.596 82.9703
6.163131 92.644 82.4307
6.207792 92.690 81.8923
6.252776 92.737 81.3551
6.298086 92.782 80.8191
6.343725 92.828 80.2841
6.389694 92.872 79.7502
6.435996 92.917 79.2176
6.482634 92.960 78.6862
6.529610 93.004 78.1563
6.576926 93.046 77.6279
6.624585 93.089 77.1008
