* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 23, 24 2:07:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fengru MY88 Black R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.212 -0.1989
20.287556 92.161 -0.2449
20.434568 92.085 -0.3623
20.582645 91.994 -0.5292
20.731796 91.896 -0.7274
20.882027 91.800 -0.9447
21.033346 91.713 -1.1769
21.185762 91.640 -1.4277
21.339283 91.587 -1.6903
21.493916 91.553 -1.9657
21.649670 91.538 -2.2535
21.806553 91.540 -2.5513
21.964573 91.556 -2.8535
22.123737 91.581 -3.1598
22.284056 91.611 -3.4567
22.445536 91.643 -3.7338
22.608185 91.673 -3.9843
22.772013 91.699 -4.2043
22.937029 91.719 -4.3936
23.103241 91.734 -4.5608
23.270657 91.742 -4.7116
23.439285 91.744 -4.8536
23.609137 91.742 -4.9988
23.780218 91.735 -5.1588
23.952539 91.725 -5.3434
24.126110 91.713 -5.5643
24.300938 91.699 -5.8196
24.477032 91.685 -6.1037
24.654402 91.670 -6.4091
24.833057 91.656 -6.7248
25.013008 91.644 -7.0388
25.194263 91.634 -7.3450
25.376831 91.626 -7.6267
25.560722 91.621 -7.8770
25.745945 91.619 -8.0932
25.932510 91.618 -8.2763
26.120428 91.617 -8.4357
26.309708 91.616 -8.5764
26.500359 91.613 -8.7040
26.692390 91.608 -8.8270
26.885815 91.599 -8.9534
27.080641 91.587 -9.0927
27.276878 91.571 -9.2517
27.474539 91.554 -9.4304
27.673630 91.536 -9.6311
27.874165 91.519 -9.8540
28.076153 91.503 -10.0991
28.279604 91.489 -10.3636
28.484529 91.478 -10.6374
28.690941 91.468 -10.9123
28.898848 91.460 -11.1787
29.108261 91.452 -11.4301
29.319191 91.444 -11.6590
29.531651 91.435 -11.8585
29.745649 91.424 -12.0280
29.961199 91.413 -12.1716
30.178310 91.400 -12.3014
30.396996 91.387 -12.4250
30.617264 91.372 -12.5537
30.839128 91.358 -12.6989
31.062601 91.343 -12.8703
31.287693 91.329 -13.0746
31.514416 91.314 -13.3085
31.742783 91.300 -13.5673
31.972803 91.287 -13.8429
32.204491 91.274 -14.1283
32.437859 91.262 -14.4101
32.672916 91.250 -14.6789
32.909679 91.240 -14.9283
33.148155 91.230 -15.1584
33.388359 91.221 -15.3689
33.630306 91.211 -15.5615
33.874004 91.202 -15.7417
34.119469 91.192 -15.9170
34.366711 91.181 -16.0921
34.615746 91.169 -16.2673
34.866585 91.155 -16.4426
35.119244 91.140 -16.6173
35.373734 91.124 -16.7885
35.630066 91.107 -16.9515
35.888256 91.090 -17.1058
36.148315 91.073 -17.2559
36.410259 91.056 -17.4057
36.674103 91.040 -17.5594
36.939857 91.023 -17.7229
37.207539 91.005 -17.9019
37.477161 90.986 -18.0960
37.748737 90.965 -18.3023
38.022282 90.945 -18.5164
38.297806 90.924 -18.7357
38.575329 90.904 -18.9515
38.854862 90.885 -19.1604
39.136421 90.868 -19.3616
39.420021 90.852 -19.5557
39.705673 90.836 -19.7432
39.993397 90.819 -19.9267
40.283207 90.800 -20.1118
40.575115 90.779 -20.2998
40.869141 90.755 -20.4944
41.165295 90.730 -20.7007
41.463596 90.704 -20.9193
41.764057 90.678 -21.1464
42.066696 90.654 -21.3773
42.371529 90.632 -21.6057
42.678570 90.613 -21.8227
42.987835 90.596 -22.0225
43.299343 90.581 -22.2048
43.613110 90.566 -22.3667
43.929150 90.549 -22.5093
44.247478 90.528 -22.6366
44.568115 90.503 -22.7482
44.891075 90.473 -22.8455
45.216373 90.441 -22.9347
45.544029 90.409 -23.0245
45.874062 90.380 -23.1277
46.206486 90.356 -23.2600
46.541317 90.336 -23.4312
46.878574 90.320 -23.6419
47.218277 90.302 -23.8839
47.560440 90.280 -24.1371
47.905083 90.252 -24.3769
48.252224 90.218 -24.5839
48.601879 90.180 -24.7467
48.954067 90.140 -24.8677
49.308807 90.103 -24.9632
49.666119 90.070 -25.0551
50.026020 90.044 -25.1648
50.388531 90.023 -25.3083
50.753666 90.007 -25.4863
51.121449 89.993 -25.6939
51.491894 89.979 -25.9224
51.865025 89.963 -26.1613
52.240860 89.944 -26.4061
52.619419 89.922 -26.6532
53.000721 89.895 -26.8988
53.384785 89.865 -27.1405
53.771633 89.834 -27.3705
54.161285 89.804 -27.5845
54.553761 89.776 -27.7807
54.949081 89.751 -27.9609
55.347263 89.729 -28.1313
55.748333 89.707 -28.2958
56.152309 89.682 -28.4563
56.559212 89.653 -28.6114
56.969063 89.617 -28.7572
57.381886 89.578 -28.8946
57.797699 89.539 -29.0242
58.216526 89.502 -29.1534
58.638386 89.470 -29.2897
59.063305 89.444 -29.4356
59.491302 89.423 -29.5867
59.922401 89.406 -29.7309
60.356625 89.390 -29.8609
60.793995 89.373 -29.9755
61.234531 89.353 -30.0846
61.678261 89.328 -30.2035
62.125206 89.296 -30.3464
62.575390 89.257 -30.5220
63.028835 89.214 -30.7308
63.485569 89.171 -30.9661
63.945610 89.129 -31.2100
64.408989 89.092 -31.4436
64.875725 89.058 -31.6471
65.345840 89.027 -31.8112
65.819366 88.998 -31.9386
66.296318 88.971 -32.0452
66.776726 88.946 -32.1489
67.260620 88.923 -32.2627
67.748016 88.902 -32.3914
68.238945 88.880 -32.5326
68.733429 88.851 -32.6748
69.231499 88.809 -32.8012
69.733177 88.749 -32.8967
70.238495 88.674 -32.9558
70.747475 88.594 -32.9926
71.260139 88.522 -33.0442
71.776520 88.468 -33.1535
72.296638 88.435 -33.3407
72.820526 88.418 -33.5886
73.348213 88.408 -33.8536
73.879723 88.396 -34.0955
74.415085 88.380 -34.3024
74.954330 88.358 -34.4819
75.497482 88.330 -34.6448
76.044571 88.298 -34.7886
76.595619 88.265 -34.9009
77.150665 88.233 -34.9729
77.709732 88.201 -35.0109
78.272850 88.169 -35.0348
78.840050 88.135 -35.0685
79.411354 88.096 -35.1261
79.986801 88.052 -35.2084
80.566422 88.002 -35.3061
81.150238 87.949 -35.4082
81.738289 87.894 -35.5123
82.330597 87.839 -35.6266
82.927200 87.787 -35.7590
83.528122 87.738 -35.9112
84.133400 87.695 -36.0825
84.743065 87.658 -36.2667
85.357147 87.627 -36.4510
85.975677 87.602 -36.6180
86.598694 87.579 -36.7456
87.226227 87.556 -36.8204
87.858307 87.530 -36.8399
88.494965 87.498 -36.8163
89.136238 87.458 -36.7796
89.782158 87.412 -36.7648
90.432755 87.365 -36.8007
91.088066 87.321 -36.8950
91.748131 87.281 -37.0323
92.412979 87.246 -37.1843
93.082642 87.212 -37.3214
93.757156 87.176 -37.4289
94.436562 87.134 -37.5093
95.120888 87.086 -37.5804
95.810173 87.035 -37.6637
96.504456 86.985 -37.7683
97.203766 86.939 -37.8897
97.908142 86.899 -38.0091
98.617622 86.863 -38.1018
99.332245 86.827 -38.1644
100.052048 86.786 -38.2104
100.777069 86.741 -38.2604
101.507339 86.692 -38.3199
102.242905 86.643 -38.3830
102.983795 86.594 -38.4411
103.730057 86.546 -38.4992
104.481728 86.499 -38.5626
105.238846 86.453 -38.6345
106.001450 86.410 -38.7044
106.769577 86.369 -38.7601
107.543274 86.327 -38.7977
108.322578 86.284 -38.8329
109.107529 86.238 -38.8817
109.898170 86.192 -38.9450
110.694534 86.148 -39.0047
111.496674 86.105 -39.0470
112.304626 86.059 -39.0798
113.118431 86.009 -39.1267
113.938133 85.954 -39.2068
114.763779 85.893 -39.3218
115.595406 85.828 -39.4488
116.433060 85.757 -39.5577
117.276779 85.681 -39.6228
118.126617 85.605 -39.6422
118.982613 85.538 -39.6445
119.844810 85.486 -39.6470
120.713257 85.453 -39.6543
121.587997 85.432 -39.6584
122.469070 85.412 -39.6513
123.356529 85.385 -39.6422
124.250420 85.351 -39.6469
125.150787 85.311 -39.6627
126.057678 85.268 -39.6649
126.971146 85.224 -39.6401
127.891228 85.180 -39.6060
128.817978 85.135 -39.5874
129.751450 85.093 -39.6120
130.691681 85.052 -39.7024
131.638733 85.014 -39.8724
132.592636 84.976 -40.1174
133.553452 84.937 -40.4104
134.521240 84.892 -40.7044
135.496033 84.839 -40.9415
136.477890 84.778 -41.0735
137.466858 84.712 -41.0763
138.462997 84.644 -40.9502
139.466354 84.577 -40.7126
140.476990 84.515 -40.4031
141.494949 84.453 -40.0786
142.520279 84.389 -39.7817
143.553040 84.316 -39.5388
144.593277 84.236 -39.3609
145.641052 84.149 -39.2273
146.696426 84.060 -39.0926
147.759445 83.971 -38.9061
148.830170 83.885 -38.6393
149.908661 83.806 -38.2948
150.994965 83.737 -37.9054
152.089142 83.683 -37.5105
153.191238 83.644 -37.1156
154.301331 83.618 -36.6951
155.419464 83.599 -36.2080
156.545700 83.587 -35.6395
157.680099 83.586 -35.0556
158.822708 83.599 -34.5794
159.973602 83.629 -34.2885
161.132843 83.672 -34.1668
162.300476 83.716 -34.1376
163.476578 83.753 -34.1483
164.661194 83.783 -34.1814
165.854401 83.808 -34.2137
167.056244 83.831 -34.2081
168.266800 83.847 -34.1704
169.486130 83.849 -34.1661
170.714294 83.839 -34.2821
171.951355 83.819 -34.5753
173.197388 83.799 -35.0454
174.452454 83.786 -35.6285
175.716614 83.786 -36.2015
176.989929 83.793 -36.6348
178.272476 83.795 -36.8720
179.564316 83.775 -36.9271
180.865509 83.728 -36.8560
182.176132 83.658 -36.7390
183.496262 83.575 -36.6224
184.825958 83.487 -36.5182
186.165283 83.401 -36.3993
187.514313 83.319 -36.2336
188.873123 83.239 -36.0011
190.241776 83.155 -35.6950
191.620346 83.064 -35.3759
193.008911 82.972 -35.1265
194.407532 82.889 -35.0543
195.816284 82.827 -35.1783
197.235245 82.794 -35.4591
198.664490 82.784 -35.7937
200.104095 82.785 -36.0712
201.554138 82.781 -36.2241
203.014679 82.763 -36.2577
204.485809 82.728 -36.2257
205.967590 82.679 -36.1767
207.460114 82.620 -36.1354
208.963455 82.558 -36.1011
210.477692 82.497 -36.0802
212.002899 82.438 -36.0714
213.539154 82.383 -36.0609
215.086548 82.330 -36.0295
216.645157 82.279 -35.9582
218.215057 82.229 -35.8525
219.796341 82.181 -35.7203
221.389069 82.135 -35.5774
222.993347 82.091 -35.4456
224.609253 82.049 -35.3341
226.236862 82.007 -35.2422
227.876266 81.965 -35.1622
229.527557 81.922 -35.0853
231.190811 81.877 -35.0043
232.866119 81.830 -34.9101
234.553558 81.783 -34.8036
236.253235 81.736 -34.6763
237.965225 81.689 -34.5292
239.689621 81.642 -34.3708
241.426514 81.594 -34.1997
243.175995 81.545 -34.0214
244.938141 81.496 -33.8437
246.713058 81.447 -33.6758
248.500839 81.399 -33.5186
250.301575 81.352 -33.3778
252.115356 81.307 -33.2444
253.942291 81.262 -33.1099
255.782455 81.219 -32.9709
257.635956 81.176 -32.8156
259.502899 81.134 -32.6462
261.383362 81.093 -32.4616
263.277466 81.053 -32.2594
265.185272 81.013 -32.0569
267.106903 80.973 -31.8587
269.042480 80.932 -31.6683
270.992065 80.891 -31.4778
272.955780 80.850 -31.2893
274.933716 80.809 -31.1020
276.925995 80.770 -30.9130
278.932709 80.732 -30.7335
280.953979 80.695 -30.5603
282.989899 80.660 -30.3940
285.040558 80.625 -30.2444
287.106079 80.590 -30.1044
289.186554 80.554 -29.9658
291.282104 80.516 -29.8140
293.392853 80.477 -29.6345
295.518890 80.438 -29.4162
297.660339 80.398 -29.1658
299.817322 80.357 -28.8980
301.989929 80.316 -28.6279
304.178284 80.277 -28.3771
306.382477 80.240 -28.1577
308.602661 80.207 -27.9747
310.838928 80.173 -27.8260
313.091400 80.138 -27.6949
315.360199 80.099 -27.5571
317.645416 80.057 -27.4023
319.947205 80.013 -27.2226
322.265686 79.969 -27.0205
324.600952 79.925 -26.7914
326.953156 79.883 -26.5326
329.322388 79.845 -26.2551
331.708801 79.812 -25.9723
334.112488 79.782 -25.6965
