* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 23, 24 2:08:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fengru MY88 Blue R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.832 -0.7403
20.287556 91.835 -0.7641
20.434568 91.838 -0.8537
20.582645 91.842 -0.9966
20.731796 91.846 -1.1817
20.882027 91.848 -1.3996
21.033346 91.849 -1.6449
21.185762 91.848 -1.9158
21.339283 91.845 -2.1985
21.493916 91.839 -2.4864
21.649670 91.831 -2.7731
21.806553 91.821 -3.0529
21.964573 91.811 -3.3209
22.123737 91.799 -3.5802
22.284056 91.789 -3.8240
22.445536 91.779 -4.0499
22.608185 91.771 -4.2590
22.772013 91.764 -4.4539
22.937029 91.760 -4.6376
23.103241 91.758 -4.8188
23.270657 91.757 -4.9993
23.439285 91.758 -5.1789
23.609137 91.758 -5.3599
23.780218 91.759 -5.5433
23.952539 91.759 -5.7293
24.126110 91.758 -5.9229
24.300938 91.755 -6.1197
24.477032 91.751 -6.3167
24.654402 91.746 -6.5130
24.833057 91.740 -6.7088
25.013008 91.733 -6.9048
25.194263 91.726 -7.1083
25.376831 91.718 -7.3137
25.560722 91.710 -7.5221
25.745945 91.703 -7.7337
25.932510 91.694 -7.9482
26.120428 91.685 -8.1689
26.309708 91.675 -8.3913
26.500359 91.664 -8.6097
26.692390 91.653 -8.8211
26.885815 91.640 -9.0230
27.080641 91.627 -9.2167
27.276878 91.615 -9.4034
27.474539 91.602 -9.5808
27.673630 91.590 -9.7520
27.874165 91.579 -9.9209
28.076153 91.568 -10.0936
28.279604 91.557 -10.2750
28.484529 91.546 -10.4641
28.690941 91.535 -10.6617
28.898848 91.522 -10.8670
29.108261 91.509 -11.0802
29.319191 91.494 -11.2983
29.531651 91.479 -11.5158
29.745649 91.464 -11.7301
29.961199 91.450 -11.9394
30.178310 91.436 -12.1473
30.396996 91.424 -12.3510
30.617264 91.413 -12.5505
30.839128 91.402 -12.7468
31.062601 91.392 -12.9420
31.287693 91.382 -13.1384
31.514416 91.371 -13.3327
31.742783 91.360 -13.5250
31.972803 91.347 -13.7154
32.204491 91.334 -13.9082
32.437859 91.321 -14.1021
32.672916 91.308 -14.2985
32.909679 91.294 -14.4995
33.148155 91.280 -14.7090
33.388359 91.267 -14.9260
33.630306 91.253 -15.1472
33.874004 91.239 -15.3697
34.119469 91.225 -15.5919
34.366711 91.210 -15.8105
34.615746 91.195 -16.0210
34.866585 91.180 -16.2223
35.119244 91.164 -16.4167
35.373734 91.149 -16.6064
35.630066 91.132 -16.7920
35.888256 91.116 -16.9762
36.148315 91.098 -17.1633
36.410259 91.080 -17.3538
36.674103 91.062 -17.5458
36.939857 91.044 -17.7390
37.207539 91.026 -17.9349
37.477161 91.009 -18.1316
37.748737 90.993 -18.3286
38.022282 90.977 -18.5257
38.297806 90.962 -18.7258
38.575329 90.946 -18.9245
38.854862 90.930 -19.1209
39.136421 90.913 -19.3157
39.420021 90.895 -19.5092
39.705673 90.876 -19.7019
39.993397 90.857 -19.8954
40.283207 90.837 -20.0940
40.575115 90.817 -20.2953
40.869141 90.796 -20.4979
41.165295 90.775 -20.7008
41.463596 90.754 -20.8996
41.764057 90.732 -21.0892
42.066696 90.710 -21.2675
42.371529 90.687 -21.4356
42.678570 90.665 -21.5947
42.987835 90.642 -21.7491
43.299343 90.620 -21.9076
43.613110 90.598 -22.0742
43.929150 90.577 -22.2550
44.247478 90.557 -22.4569
44.568115 90.536 -22.6789
44.891075 90.515 -22.9160
45.216373 90.493 -23.1598
45.544029 90.469 -23.3971
45.874062 90.444 -23.6150
46.206486 90.419 -23.8069
46.541317 90.394 -23.9718
46.878574 90.371 -24.1156
47.218277 90.349 -24.2511
47.560440 90.328 -24.3887
47.905083 90.307 -24.5342
48.252224 90.284 -24.6901
48.601879 90.260 -24.8531
48.954067 90.234 -25.0185
49.308807 90.207 -25.1832
49.666119 90.178 -25.3427
50.026020 90.146 -25.4918
50.388531 90.112 -25.6260
50.753666 90.077 -25.7386
51.121449 90.042 -25.8324
51.491894 90.011 -25.9202
51.865025 89.984 -26.0203
52.240860 89.961 -26.1540
52.619419 89.942 -26.3325
53.000721 89.922 -26.5524
53.384785 89.900 -26.7996
53.771633 89.876 -27.0507
54.161285 89.851 -27.2881
54.553761 89.824 -27.5035
54.949081 89.799 -27.6973
55.347263 89.774 -27.8775
55.748333 89.749 -28.0499
56.152309 89.724 -28.2194
56.559212 89.697 -28.3882
56.969063 89.668 -28.5563
57.381886 89.638 -28.7261
57.797699 89.608 -28.8944
58.216526 89.577 -29.0605
58.638386 89.547 -29.2245
59.063305 89.518 -29.3879
59.491302 89.491 -29.5540
59.922401 89.464 -29.7226
60.356625 89.438 -29.8946
60.793995 89.410 -30.0668
61.234531 89.381 -30.2375
61.678261 89.349 -30.4056
62.125206 89.315 -30.5704
62.575390 89.281 -30.7316
63.028835 89.247 -30.8873
63.485569 89.213 -31.0365
63.945610 89.181 -31.1749
64.408989 89.149 -31.3020
64.875725 89.117 -31.4150
65.345840 89.082 -31.5134
65.819366 89.042 -31.5995
66.296318 88.998 -31.6825
66.776726 88.947 -31.7720
67.260620 88.891 -31.8708
67.748016 88.828 -31.9740
68.238945 88.765 -32.0780
68.733429 88.706 -32.1937
69.231499 88.657 -32.3527
69.733177 88.618 -32.5909
70.238495 88.584 -32.9133
70.747475 88.551 -33.2752
71.260139 88.517 -33.6031
71.776520 88.486 -33.8363
72.296638 88.462 -33.9590
72.820526 88.447 -34.0016
73.348213 88.435 -34.0124
73.879723 88.423 -34.0298
74.415085 88.406 -34.0758
74.954330 88.383 -34.1559
75.497482 88.355 -34.2667
76.044571 88.325 -34.3989
76.595619 88.293 -34.5398
77.150665 88.261 -34.6779
77.709732 88.229 -34.8058
78.272850 88.198 -34.9210
78.840050 88.168 -35.0250
79.411354 88.138 -35.1199
79.986801 88.107 -35.2094
80.566422 88.072 -35.2981
81.150238 88.035 -35.3920
81.738289 87.995 -35.5010
82.330597 87.954 -35.6345
82.927200 87.914 -35.7899
83.528122 87.874 -35.9508
84.133400 87.835 -36.1015
84.743065 87.798 -36.2334
85.357147 87.761 -36.3487
85.975677 87.723 -36.4564
86.598694 87.684 -36.5615
87.226227 87.642 -36.6664
87.858307 87.598 -36.7676
88.494965 87.553 -36.8611
89.136238 87.508 -36.9533
89.782158 87.464 -37.0550
90.432755 87.421 -37.1730
91.088066 87.379 -37.2987
91.748131 87.337 -37.4133
92.412979 87.297 -37.5057
93.082642 87.259 -37.5791
93.757156 87.222 -37.6481
94.436562 87.184 -37.7220
95.120888 87.144 -37.8024
95.810173 87.103 -37.8852
96.504456 87.062 -37.9635
97.203766 87.021 -38.0362
97.908142 86.981 -38.1044
98.617622 86.942 -38.1648
99.332245 86.902 -38.2205
100.052048 86.860 -38.2756
100.777069 86.814 -38.3376
101.507339 86.765 -38.4091
102.242905 86.713 -38.4926
102.983795 86.661 -38.5851
103.730057 86.613 -38.6810
104.481728 86.568 -38.7655
105.238846 86.525 -38.8339
106.001450 86.483 -38.8928
106.769577 86.441 -38.9582
107.543274 86.398 -39.0369
108.322578 86.356 -39.1280
109.107529 86.313 -39.2212
109.898170 86.269 -39.3049
110.694534 86.223 -39.3688
111.496674 86.173 -39.4174
112.304626 86.119 -39.4680
113.118431 86.063 -39.5368
113.938133 86.007 -39.6330
114.763779 85.958 -39.7654
115.595406 85.916 -39.9462
116.433060 85.883 -40.2058
117.276779 85.859 -40.5706
118.126617 85.842 -41.0372
118.982613 85.829 -41.5538
119.844810 85.813 -41.9844
120.713257 85.791 -42.1682
121.587997 85.765 -42.0263
122.469070 85.736 -41.6109
123.356529 85.698 -41.0537
124.250420 85.647 -40.5073
125.150787 85.580 -40.1182
126.057678 85.502 -39.9853
126.971146 85.426 -40.1265
127.891228 85.369 -40.4736
128.817978 85.343 -40.8692
129.751450 85.344 -41.1248
130.691681 85.357 -41.1250
131.638733 85.356 -40.8970
132.592636 85.318 -40.5432
133.553452 85.228 -40.1541
134.521240 85.088 -39.8117
135.496033 84.908 -39.6116
136.477890 84.707 -39.6205
137.466858 84.510 -39.8249
138.462997 84.350 -40.1462
139.466354 84.248 -40.4720
140.476990 84.203 -40.6707
141.494949 84.199 -40.6581
142.520279 84.212 -40.4534
143.553040 84.227 -40.1524
144.593277 84.232 -39.8555
145.641052 84.222 -39.6171
146.696426 84.196 -39.4417
147.759445 84.155 -39.3047
148.830170 84.099 -39.1702
149.908661 84.033 -38.9833
150.994965 83.963 -38.7001
152.089142 83.897 -38.3293
153.191238 83.841 -37.8966
154.301331 83.803 -37.4249
155.419464 83.784 -36.9385
156.545700 83.781 -36.4685
157.680099 83.787 -36.0520
158.822708 83.794 -35.7206
159.973602 83.801 -35.4927
161.132843 83.808 -35.3876
162.300476 83.816 -35.4055
163.476578 83.826 -35.5211
164.661194 83.835 -35.6987
165.854401 83.848 -35.9167
167.056244 83.863 -36.1681
168.266800 83.875 -36.4449
169.486130 83.878 -36.7110
170.714294 83.869 -36.9242
171.951355 83.851 -37.0711
173.197388 83.828 -37.1731
174.452454 83.801 -37.2661
175.716614 83.770 -37.3804
176.989929 83.735 -37.5294
178.272476 83.695 -37.6993
179.564316 83.651 -37.8282
180.865509 83.603 -37.8568
182.176132 83.554 -37.7877
183.496262 83.507 -37.6575
184.825958 83.463 -37.5245
186.165283 83.422 -37.4213
187.514313 83.380 -37.3528
188.873123 83.334 -37.3171
190.241776 83.283 -37.2994
191.620346 83.229 -37.3007
193.008911 83.177 -37.2945
194.407532 83.129 -37.2843
195.816284 83.084 -37.2606
197.235245 83.042 -37.2436
198.664490 82.998 -37.2399
200.104095 82.951 -37.2458
201.554138 82.901 -37.2564
203.014679 82.847 -37.2741
204.485809 82.791 -37.3071
205.967590 82.733 -37.3574
207.460114 82.674 -37.4230
208.963455 82.612 -37.4873
210.477692 82.548 -37.5300
212.002899 82.480 -37.5237
213.539154 82.411 -37.4557
215.086548 82.345 -37.3392
216.645157 82.286 -37.1945
218.215057 82.235 -37.0477
219.796341 82.191 -36.9031
221.389069 82.153 -36.7564
222.993347 82.118 -36.6046
224.609253 82.084 -36.4406
226.236862 82.049 -36.2647
227.876266 82.012 -36.0829
229.527557 81.971 -35.9013
231.190811 81.925 -35.7249
232.866119 81.874 -35.5540
234.553558 81.820 -35.3987
236.253235 81.767 -35.2590
237.965225 81.716 -35.1370
239.689621 81.668 -35.0267
241.426514 81.622 -34.9065
243.175995 81.577 -34.7677
244.938141 81.535 -34.6126
246.713058 81.495 -34.4492
248.500839 81.457 -34.2774
250.301575 81.420 -34.1016
252.115356 81.384 -33.9124
253.942291 81.348 -33.7062
255.782455 81.312 -33.4949
257.635956 81.276 -33.2876
259.502899 81.240 -33.1005
261.383362 81.204 -32.9341
263.277466 81.167 -32.7782
265.185272 81.130 -32.6384
267.106903 81.093 -32.5098
269.042480 81.055 -32.3904
270.992065 81.016 -32.2698
272.955780 80.977 -32.1513
274.933716 80.936 -32.0368
276.925995 80.895 -31.9223
278.932709 80.853 -31.8113
280.953979 80.812 -31.6906
282.989899 80.771 -31.5548
285.040558 80.731 -31.4128
287.106079 80.690 -31.2578
289.186554 80.650 -31.0876
291.282104 80.608 -30.9025
293.392853 80.565 -30.7086
295.518890 80.520 -30.5113
297.660339 80.472 -30.3164
299.817322 80.426 -30.1153
301.989929 80.383 -29.8966
304.178284 80.344 -29.6676
306.382477 80.309 -29.4345
308.602661 80.275 -29.2023
310.838928 80.240 -28.9778
313.091400 80.202 -28.7662
315.360199 80.163 -28.5702
317.645416 80.121 -28.3912
319.947205 80.080 -28.2100
322.265686 80.041 -28.0111
324.600952 80.006 -27.7840
326.953156 79.978 -27.5325
329.322388 79.956 -27.2723
331.708801 79.938 -27.0165
334.112488 79.921 -26.7711
