* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 23, 24 2:12:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fengru MY88 Red FOAM R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 97.769 -2.9715
20.287556 97.769 -3.0088
20.434568 97.768 -3.1103
20.582645 97.768 -3.2566
20.731796 97.766 -3.4316
20.882027 97.765 -3.6240
21.033346 97.763 -3.8290
21.185762 97.761 -4.0479
21.339283 97.758 -4.2716
21.493916 97.755 -4.4985
21.649670 97.750 -4.7276
21.806553 97.744 -4.9573
21.964573 97.737 -5.1859
22.123737 97.729 -5.4184
22.284056 97.719 -5.6479
22.445536 97.709 -5.8707
22.608185 97.698 -6.0858
22.772013 97.688 -6.2927
22.937029 97.678 -6.4919
23.103241 97.669 -6.6893
23.270657 97.661 -6.8851
23.439285 97.655 -7.0785
23.609137 97.650 -7.2720
23.780218 97.647 -7.4674
23.952539 97.644 -7.6663
24.126110 97.641 -7.8748
24.300938 97.638 -8.0893
24.477032 97.634 -8.3064
24.654402 97.629 -8.5248
24.833057 97.623 -8.7425
25.013008 97.616 -8.9585
25.194263 97.607 -9.1777
25.376831 97.598 -9.3932
25.560722 97.587 -9.6052
25.745945 97.576 -9.8148
25.932510 97.565 -10.0235
26.120428 97.553 -10.2378
26.309708 97.542 -10.4571
26.500359 97.530 -10.6797
26.692390 97.518 -10.9059
26.885815 97.506 -11.1349
27.080641 97.494 -11.3683
27.276878 97.482 -11.6053
27.474539 97.470 -11.8402
27.673630 97.459 -12.0710
27.874165 97.447 -12.2965
28.076153 97.436 -12.5178
28.279604 97.426 -12.7364
28.484529 97.416 -12.9494
28.690941 97.406 -13.1580
28.898848 97.397 -13.3636
29.108261 97.388 -13.5703
29.319191 97.378 -13.7789
29.531651 97.369 -13.9880
29.745649 97.358 -14.1976
29.961199 97.347 -14.4077
30.178310 97.335 -14.6220
30.396996 97.322 -14.8366
30.617264 97.309 -15.0501
30.839128 97.295 -15.2619
31.062601 97.281 -15.4734
31.287693 97.267 -15.6866
31.514416 97.253 -15.8990
31.742783 97.238 -16.1110
31.972803 97.224 -16.3235
32.204491 97.210 -16.5400
32.437859 97.195 -16.7580
32.672916 97.179 -16.9768
32.909679 97.164 -17.1959
33.148155 97.147 -17.4173
33.388359 97.131 -17.6394
33.630306 97.114 -17.8596
33.874004 97.097 -18.0775
34.119469 97.080 -18.2950
34.366711 97.064 -18.5122
34.615746 97.047 -18.7268
34.866585 97.031 -18.9389
35.119244 97.015 -19.1498
35.373734 96.999 -19.3594
35.630066 96.982 -19.5659
35.888256 96.966 -19.7695
36.148315 96.949 -19.9735
36.410259 96.933 -20.1784
36.674103 96.917 -20.3830
36.939857 96.901 -20.5877
37.207539 96.884 -20.7939
37.477161 96.868 -20.9993
37.748737 96.850 -21.2019
38.022282 96.833 -21.4014
38.297806 96.815 -21.6013
38.575329 96.797 -21.7997
38.854862 96.779 -21.9989
39.136421 96.760 -22.2024
39.420021 96.741 -22.4117
39.705673 96.720 -22.6254
39.993397 96.699 -22.8417
40.283207 96.677 -23.0601
40.575115 96.655 -23.2750
40.869141 96.632 -23.4844
41.165295 96.610 -23.6896
41.463596 96.588 -23.8909
41.764057 96.566 -24.0881
42.066696 96.544 -24.2831
42.371529 96.522 -24.4785
42.678570 96.500 -24.6748
42.987835 96.477 -24.8733
43.299343 96.455 -25.0771
43.613110 96.432 -25.2819
43.929150 96.410 -25.4841
44.247478 96.389 -25.6811
44.568115 96.367 -25.8671
44.891075 96.345 -26.0403
45.216373 96.322 -26.2054
45.544029 96.295 -26.3686
45.874062 96.264 -26.5353
46.206486 96.225 -26.7084
46.541317 96.177 -26.8823
46.878574 96.124 -27.0473
47.218277 96.069 -27.1987
47.560440 96.019 -27.3392
47.905083 95.979 -27.4828
48.252224 95.954 -27.6531
48.601879 95.941 -27.8674
48.954067 95.939 -28.1294
49.308807 95.939 -28.4255
49.666119 95.938 -28.7285
50.026020 95.932 -29.0104
50.388531 95.920 -29.2562
50.753666 95.903 -29.4626
51.121449 95.883 -29.6430
51.491894 95.861 -29.8162
51.865025 95.837 -29.9946
52.240860 95.811 -30.1848
52.619419 95.783 -30.3834
53.000721 95.755 -30.5834
53.384785 95.727 -30.7809
53.771633 95.700 -30.9709
54.161285 95.673 -31.1538
54.553761 95.646 -31.3315
54.949081 95.617 -31.5053
55.347263 95.588 -31.6787
55.748333 95.557 -31.8524
56.152309 95.525 -32.0280
56.559212 95.494 -32.2070
56.969063 95.462 -32.3901
57.381886 95.432 -32.5806
57.797699 95.402 -32.7756
58.216526 95.373 -32.9726
58.638386 95.343 -33.1682
59.063305 95.313 -33.3590
59.491302 95.282 -33.5435
59.922401 95.251 -33.7194
60.356625 95.220 -33.8881
60.793995 95.188 -34.0493
61.234531 95.155 -34.2046
61.678261 95.123 -34.3565
62.125206 95.090 -34.5084
62.575390 95.058 -34.6652
63.028835 95.026 -34.8305
63.485569 94.994 -35.0067
63.945610 94.961 -35.1902
64.408989 94.929 -35.3783
64.875725 94.897 -35.5659
65.345840 94.865 -35.7504
65.819366 94.832 -35.9318
66.296318 94.799 -36.1155
66.776726 94.763 -36.3073
67.260620 94.726 -36.5096
67.748016 94.686 -36.7184
68.238945 94.646 -36.9213
68.733429 94.607 -37.0983
69.231499 94.571 -37.2309
69.733177 94.541 -37.3127
70.238495 94.514 -37.3526
70.747475 94.490 -37.3749
71.260139 94.466 -37.4144
71.776520 94.439 -37.5044
72.296638 94.408 -37.6615
72.820526 94.371 -37.8794
73.348213 94.329 -38.1322
73.879723 94.286 -38.3887
74.415085 94.243 -38.6289
74.954330 94.202 -38.8447
75.497482 94.163 -39.0372
76.044571 94.123 -39.2098
76.595619 94.083 -39.3646
77.150665 94.043 -39.5044
77.709732 94.003 -39.6337
78.272850 93.965 -39.7578
78.840050 93.928 -39.8821
79.411354 93.891 -40.0098
79.986801 93.855 -40.1442
80.566422 93.819 -40.2864
81.150238 93.783 -40.4331
81.738289 93.746 -40.5793
82.330597 93.709 -40.7229
82.927200 93.671 -40.8621
83.528122 93.631 -40.9966
84.133400 93.592 -41.1316
84.743065 93.553 -41.2714
85.357147 93.514 -41.4156
85.975677 93.475 -41.5611
86.598694 93.436 -41.7021
87.226227 93.396 -41.8399
87.858307 93.355 -41.9765
88.494965 93.314 -42.1118
89.136238 93.272 -42.2475
89.782158 93.229 -42.3831
90.432755 93.185 -42.5179
91.088066 93.143 -42.6495
91.748131 93.101 -42.7757
92.412979 93.060 -42.8978
93.082642 93.021 -43.0157
93.757156 92.983 -43.1303
94.436562 92.944 -43.2400
95.120888 92.904 -43.3440
95.810173 92.863 -43.4428
96.504456 92.821 -43.5358
97.203766 92.778 -43.6265
97.908142 92.735 -43.7187
98.617622 92.691 -43.8103
99.332245 92.648 -43.9068
100.052048 92.605 -44.0140
100.777069 92.562 -44.1371
101.507339 92.520 -44.2710
102.242905 92.478 -44.4082
102.983795 92.436 -44.5396
103.730057 92.395 -44.6629
104.481728 92.354 -44.7723
105.238846 92.313 -44.8693
106.001450 92.270 -44.9581
106.769577 92.226 -45.0476
107.543274 92.181 -45.1402
108.322578 92.135 -45.2348
109.107529 92.089 -45.3250
109.898170 92.044 -45.4072
110.694534 91.999 -45.4800
111.496674 91.956 -45.5493
112.304626 91.911 -45.6256
113.118431 91.866 -45.7153
113.938133 91.818 -45.8185
114.763779 91.769 -45.9367
115.595406 91.720 -46.0736
116.433060 91.670 -46.2377
117.276779 91.621 -46.4223
118.126617 91.574 -46.6044
118.982613 91.529 -46.7621
119.844810 91.484 -46.8637
120.713257 91.438 -46.8970
121.587997 91.391 -46.8825
122.469070 91.344 -46.8564
123.356529 91.297 -46.8424
124.250420 91.249 -46.8495
125.150787 91.204 -46.8840
126.057678 91.160 -46.9457
126.971146 91.120 -47.0297
127.891228 91.080 -47.1321
128.817978 91.039 -47.2380
129.751450 90.994 -47.3339
130.691681 90.946 -47.4069
131.638733 90.893 -47.4539
132.592636 90.838 -47.4821
133.553452 90.782 -47.5026
134.521240 90.725 -47.5197
135.496033 90.669 -47.5307
136.477890 90.615 -47.5387
137.466858 90.561 -47.5560
138.462997 90.509 -47.6002
139.466354 90.459 -47.6745
140.476990 90.414 -47.7610
141.494949 90.370 -47.8432
142.520279 90.326 -47.9139
143.553040 90.276 -47.9767
144.593277 90.218 -48.0396
145.641052 90.155 -48.1017
146.696426 90.088 -48.1532
147.759445 90.022 -48.1806
148.830170 89.959 -48.1796
149.908661 89.899 -48.1521
150.994965 89.842 -48.1092
152.089142 89.788 -48.0735
153.191238 89.736 -48.0534
154.301331 89.686 -48.0467
155.419464 89.634 -48.0440
156.545700 89.581 -48.0332
157.680099 89.525 -48.0122
158.822708 89.465 -47.9821
159.973602 89.400 -47.9326
161.132843 89.330 -47.8508
162.300476 89.256 -47.7143
163.476578 89.180 -47.5076
164.661194 89.106 -47.2255
165.854401 89.040 -46.8695
167.056244 88.984 -46.4478
168.266800 88.945 -45.9853
169.486130 88.924 -45.5083
170.714294 88.922 -45.0379
171.951355 88.938 -44.5839
173.197388 88.971 -44.1515
174.452454 89.019 -43.7628
175.716614 89.076 -43.4561
176.989929 89.133 -43.2637
178.272476 89.180 -43.2105
179.564316 89.212 -43.2983
180.865509 89.227 -43.5089
182.176132 89.227 -43.8116
183.496262 89.213 -44.1484
184.825958 89.187 -44.4795
186.165283 89.151 -44.7839
187.514313 89.107 -45.0625
188.873123 89.058 -45.3334
190.241776 89.008 -45.5998
191.620346 88.957 -45.8751
193.008911 88.905 -46.1394
194.407532 88.853 -46.3930
195.816284 88.800 -46.6140
197.235245 88.748 -46.8105
198.664490 88.699 -46.9831
200.104095 88.653 -47.1292
201.554138 88.608 -47.2505
203.014679 88.564 -47.3539
204.485809 88.518 -47.4439
205.967590 88.471 -47.5179
207.460114 88.421 -47.5747
208.963455 88.369 -47.6090
210.477692 88.316 -47.6245
212.002899 88.263 -47.6232
213.539154 88.212 -47.6093
215.086548 88.161 -47.5909
216.645157 88.113 -47.5682
218.215057 88.065 -47.5505
219.796341 88.017 -47.5410
221.389069 87.969 -47.5419
222.993347 87.919 -47.5558
224.609253 87.868 -47.5759
226.236862 87.816 -47.5943
227.876266 87.764 -47.6041
229.527557 87.714 -47.6036
231.190811 87.665 -47.5964
232.866119 87.617 -47.5844
234.553558 87.570 -47.5754
236.253235 87.522 -47.5636
237.965225 87.473 -47.5502
239.689621 87.426 -47.5391
241.426514 87.380 -47.5220
243.175995 87.335 -47.4954
244.938141 87.290 -47.4575
246.713058 87.245 -47.4117
248.500839 87.199 -47.3579
250.301575 87.152 -47.3059
252.115356 87.105 -47.2531
253.942291 87.057 -47.1973
255.782455 87.010 -47.1418
257.635956 86.963 -47.0822
259.502899 86.915 -47.0262
261.383362 86.869 -46.9730
263.277466 86.822 -46.9135
265.185272 86.776 -46.8540
267.106903 86.730 -46.7898
269.042480 86.684 -46.7218
270.992065 86.637 -46.6422
272.955780 86.591 -46.5532
274.933716 86.544 -46.4534
276.925995 86.498 -46.3405
278.932709 86.453 -46.2263
280.953979 86.411 -46.1070
282.989899 86.370 -45.9833
285.040558 86.331 -45.8697
287.106079 86.293 -45.7659
289.186554 86.257 -45.6738
291.282104 86.222 -45.5892
293.392853 86.188 -45.5079
295.518890 86.154 -45.4247
297.660339 86.120 -45.3424
299.817322 86.087 -45.2623
301.989929 86.052 -45.1814
304.178284 86.015 -45.1031
306.382477 85.978 -45.0238
308.602661 85.941 -44.9414
310.838928 85.906 -44.8620
313.091400 85.871 -44.7923
315.360199 85.837 -44.7319
317.645416 85.803 -44.6815
319.947205 85.767 -44.6323
322.265686 85.730 -44.5847
324.600952 85.692 -44.5341
326.953156 85.654 -44.4756
329.322388 85.615 -44.4116
331.708801 85.576 -44.3425
334.112488 85.537 -44.2671
