* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 10, 2023 9:12:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fiio FH3 L 2 - L springtips
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.840 174.1618
20.507813 93.803 174.6181
20.874023 93.794 174.7235
21.240234 93.788 174.0759
21.606445 93.739 172.7690
21.972656 93.632 171.2826
22.338867 93.520 170.1557
22.705078 93.461 169.7687
23.071289 93.510 170.0482
23.437500 93.666 170.5845
23.803711 93.859 171.0060
24.169922 94.011 171.1796
24.536133 94.073 171.2037
24.902344 94.041 171.2321
25.268555 93.954 171.3011
25.634766 93.855 171.3406
26.000977 93.775 171.2257
26.367188 93.723 170.8719
26.733399 93.690 170.3851
27.099610 93.667 169.9094
27.465821 93.648 169.5575
27.832032 93.631 169.4057
28.198243 93.613 169.3843
28.564454 93.589 169.4006
28.930665 93.552 169.3895
29.296876 93.507 169.2957
29.663087 93.456 169.1398
30.029298 93.406 168.9497
30.395509 93.368 168.7360
30.761720 93.337 168.5446
31.127931 93.310 168.3872
31.494142 93.285 168.2667
31.860353 93.255 168.1937
32.226563 93.221 168.1541
32.592774 93.184 168.1263
32.958985 93.146 168.0887
33.325196 93.112 168.0138
33.691407 93.081 167.9124
34.057618 93.050 167.7966
34.423829 93.018 167.6770
34.790040 92.985 167.5935
35.156251 92.950 167.5500
35.522462 92.915 167.5367
35.888673 92.882 167.5414
36.254884 92.849 167.5293
36.621095 92.817 167.4937
36.987306 92.783 167.4428
37.353517 92.749 167.3748
37.719728 92.715 167.3183
38.085939 92.681 167.2746
38.452150 92.646 167.2315
38.818361 92.611 167.1958
39.184572 92.576 167.1583
39.550783 92.541 167.1198
39.916994 92.506 167.0874
40.283205 92.473 167.0524
40.649416 92.442 167.0207
41.015627 92.412 166.9947
41.381838 92.382 166.9725
41.748049 92.351 166.9589
42.114260 92.319 166.9489
42.480471 92.288 166.9343
42.846682 92.256 166.9234
43.212893 92.224 166.9077
43.579103 92.192 166.8863
43.945314 92.160 166.8622
44.311525 92.128 166.8320
44.677736 92.094 166.8068
45.043947 92.060 166.7929
45.410158 92.027 166.7845
45.776369 91.995 166.7899
46.142580 91.966 166.7991
46.508791 91.937 166.8042
46.875002 91.909 166.8092
47.241213 91.878 166.8166
47.607424 91.847 166.8308
47.973635 91.816 166.8500
48.339846 91.789 166.8660
48.706057 91.763 166.8707
49.072268 91.736 166.8615
49.438479 91.707 166.8369
49.804690 91.677 166.8229
50.170901 91.646 166.8228
50.537112 91.616 166.8306
50.903323 91.584 166.8379
51.269534 91.549 166.8346
51.635745 91.514 166.8288
52.001956 91.478 166.8264
52.368167 91.448 166.8162
52.734378 91.422 166.7918
53.100589 91.399 166.7422
53.466800 91.375 166.6715
53.833011 91.346 166.6120
54.199222 91.311 166.5941
54.565432 91.273 166.6339
54.931643 91.236 166.7220
55.297854 91.202 166.8251
55.664065 91.170 166.9137
56.030276 91.140 166.9712
56.396487 91.112 166.9931
56.762698 91.084 166.9970
57.128909 91.057 166.9899
57.495120 91.032 166.9740
57.861331 91.006 166.9575
58.227542 90.978 166.9447
58.593753 90.947 166.9468
58.959964 90.914 166.9728
59.326175 90.879 167.0204
59.692386 90.846 167.0825
60.058597 90.814 167.1464
60.424808 90.784 167.2001
60.791019 90.756 167.2462
61.157230 90.727 167.2870
61.523441 90.698 167.3303
61.889652 90.670 167.3867
62.255863 90.642 167.4538
62.622074 90.615 167.5305
62.988285 90.591 167.6105
63.354496 90.570 167.6953
63.720707 90.547 167.7731
64.086918 90.522 167.8450
64.453129 90.492 167.9100
64.819340 90.460 167.9783
65.185551 90.428 168.0377
65.551762 90.395 168.0791
65.917972 90.360 168.1075
66.284183 90.321 168.1384
66.650394 90.282 168.1915
67.016605 90.247 168.2745
67.382816 90.220 168.3713
67.749027 90.200 168.4640
68.115238 90.184 168.5381
68.481449 90.166 168.5995
68.847660 90.145 168.6707
69.213871 90.122 168.7652
69.580082 90.100 168.8757
69.946293 90.079 168.9812
70.312504 90.059 169.0630
70.678715 90.036 169.1324
71.044926 90.009 169.2104
71.411137 89.980 169.3049
71.777348 89.953 169.4023
72.143559 89.927 169.4699
72.509770 89.898 169.4906
72.875981 89.861 169.4873
73.242192 89.816 169.5120
73.608403 89.772 169.6040
73.974614 89.738 169.7572
74.340825 89.719 169.9137
74.707036 89.714 170.0211
75.073247 89.709 170.0606
75.439458 89.696 170.0665
75.805669 89.672 170.0992
76.171880 89.641 170.1968
76.538091 89.611 170.3493
76.904301 89.584 170.5115
77.270512 89.560 170.6389
77.636723 89.533 170.7213
78.002934 89.501 170.7795
78.369145 89.468 170.8311
78.735356 89.437 170.8945
79.101567 89.412 170.9592
79.467778 89.392 171.0110
79.833989 89.374 171.0477
80.200200 89.356 171.0793
80.566411 89.336 171.1207
80.932622 89.314 171.1796
81.298833 89.289 171.2534
81.665044 89.262 171.3380
82.031255 89.232 171.4318
82.397466 89.201 171.5378
82.763677 89.168 171.6539
83.129888 89.137 171.7780
83.496099 89.106 171.9072
83.862310 89.077 172.0387
84.228521 89.053 172.1578
84.594732 89.031 172.2495
84.960943 89.006 172.3079
85.327154 88.972 172.3444
85.693365 88.933 172.3991
86.059576 88.895 172.5064
86.425787 88.868 172.6663
86.791998 88.857 172.8193
87.158209 88.855 172.9022
87.524420 88.847 172.9066
87.890631 88.818 172.9098
88.256841 88.765 173.0245
88.623052 88.702 173.3250
88.989263 88.652 173.7587
89.355474 88.625 174.1587
89.721685 88.613 174.3421
90.087896 88.593 174.2567
90.454107 88.545 174.0173
90.820318 88.472 173.8344
91.186529 88.399 173.8627
91.552740 88.354 174.1013
91.918951 88.352 174.4032
92.285162 88.377 174.5996
92.651373 88.398 174.6346
93.017584 88.391 174.5965
93.383795 88.349 174.6314
93.750006 88.290 174.8391
94.116217 88.239 175.1867
94.482428 88.208 175.5408
94.848639 88.196 175.7731
95.214850 88.187 175.8453
95.581061 88.164 175.8225
95.947272 88.125 175.8192
96.313483 88.074 175.9312
96.679694 88.025 176.1700
97.045905 87.984 176.4806
97.412116 87.955 176.7729
97.778327 87.927 177.0063
98.144538 87.893 177.1781
98.510749 87.848 177.3273
98.876960 87.793 177.5016
99.243170 87.734 177.7410
99.609381 87.681 178.0492
99.975592 87.638 178.3943
100.341803 87.605 178.7221
100.708014 87.576 179.0067
101.074225 87.544 179.2516
101.440436 87.505 179.4941
101.806647 87.457 179.7837
102.172858 87.406 -179.8466
102.539069 87.356 -179.3925
102.905280 87.313 -178.8725
103.271491 87.275 -178.3083
103.637702 87.239 -177.7142
104.003913 87.203 -177.0876
104.370124 87.171 -176.4292
104.736335 87.147 -175.7447
105.102546 87.132 -175.0621
105.468757 87.128 -174.4033
105.834968 87.132 -173.7547
106.201179 87.146 -173.0616
106.567390 87.176 -172.2701
106.933601 87.232 -171.3811
107.299812 87.324 -170.4838
107.666023 87.443 -169.7010
108.032234 87.570 -169.1261
108.398445 87.679 -168.7515
108.764656 87.761 -168.4777
109.130867 87.824 -168.1930
109.497078 87.894 -167.8769
109.863289 87.995 -167.6436
110.229500 88.129 -167.6744
110.595710 88.272 -168.0827
110.961921 88.390 -168.8067
111.328132 88.460 -169.6205
111.694343 88.483 -170.2485
112.060554 88.483 -170.5117
112.426765 88.495 -170.4289
112.792976 88.540 -170.2044
113.159187 88.612 -170.0923
113.525398 88.682 -170.2345
113.891609 88.723 -170.5980
114.257820 88.725 -171.0360
114.624031 88.699 -171.4050
114.990242 88.666 -171.6514
115.356453 88.642 -171.8337
115.722664 88.633 -172.0338
116.088875 88.629 -172.2960
116.455086 88.620 -172.5816
116.821297 88.601 -172.8243
117.187508 88.580 -172.9495
117.553719 88.569 -172.9646
117.919930 88.571 -172.9510
118.286141 88.566 -173.0662
118.652352 88.555 -173.2790
119.018563 88.532 -173.5280
119.384774 88.504 -173.6764
119.750985 88.468 -173.7420
120.117196 88.433 -173.7227
120.483407 88.406 -173.6610
120.849618 88.388 -173.5942
121.215829 88.378 -173.5530
121.582040 88.371 -173.5447
121.948250 88.362 -173.5634
122.314461 88.351 -173.6032
122.680672 88.337 -173.6667
123.046883 88.318 -173.7537
123.413094 88.291 -173.8510
123.779305 88.257 -173.9244
124.145516 88.219 -173.9421
124.511727 88.184 -173.8931
124.877938 88.157 -173.7969
125.244149 88.139 -173.6953
125.610360 88.126 -173.6207
125.976571 88.113 -173.5840
126.342782 88.096 -173.5679
126.708993 88.073 -173.5551
127.075204 88.047 -173.5298
127.441415 88.022 -173.4932
127.807626 88.001 -173.4573
128.173837 87.984 -173.4372
128.540048 87.969 -173.4360
128.906259 87.951 -173.4406
129.272470 87.930 -173.4270
129.638681 87.906 -173.3729
130.004892 87.882 -173.2707
130.371103 87.863 -173.1321
130.737314 87.849 -172.9890
131.103525 87.839 -172.8745
131.469736 87.830 -172.8076
131.835947 87.816 -172.7754
132.202158 87.796 -172.7471
132.568369 87.770 -172.6900
132.934579 87.742 -172.5858
133.300790 87.715 -172.4384
133.667001 87.694 -172.2697
134.033212 87.680 -172.1103
134.399423 87.670 -171.9802
134.765634 87.662 -171.8860
135.131845 87.652 -171.8149
135.498056 87.640 -171.7462
135.864267 87.625 -171.6611
136.230478 87.608 -171.5517
136.596689 87.592 -171.4164
136.962900 87.577 -171.2629
137.329111 87.564 -171.1058
137.695322 87.554 -170.9705
138.061533 87.546 -170.8781
138.427744 87.538 -170.8372
138.793955 87.527 -170.8309
139.160166 87.511 -170.8286
139.526377 87.494 -170.7967
139.892588 87.480 -170.7177
140.258799 87.472 -170.5995
140.625010 87.472 -170.4758
140.991221 87.475 -170.3771
141.357432 87.476 -170.3117
141.723643 87.468 -170.2579
142.089854 87.453 -170.1864
142.456065 87.432 -170.0820
142.822276 87.411 -169.9503
143.188487 87.394 -169.8168
143.554698 87.380 -169.7076
143.920909 87.367 -169.6318
144.287119 87.354 -169.5815
144.653330 87.340 -169.5314
145.019541 87.328 -169.4673
145.385752 87.317 -169.3869
145.751963 87.306 -169.3024
146.118174 87.292 -169.2150
146.484385 87.274 -169.1129
146.850596 87.253 -168.9787
147.216807 87.232 -168.8116
147.583018 87.217 -168.6326
147.949229 87.211 -168.4789
148.315440 87.210 -168.3791
148.681651 87.209 -168.3433
149.047862 87.202 -168.3456
149.414073 87.185 -168.3442
149.780284 87.162 -168.2993
150.146495 87.139 -168.2019
150.512706 87.120 -168.0707
150.878917 87.108 -167.9348
151.245128 87.100 -167.8138
151.611339 87.097 -167.7096
151.977550 87.096 -167.6149
152.343761 87.095 -167.5241
152.709972 87.093 -167.4398
153.076183 87.084 -167.3605
153.442394 87.065 -167.2740
153.808605 87.039 -167.1612
154.174816 87.013 -167.0209
154.541027 86.996 -166.8881
154.907238 86.993 -166.8249
155.273448 87.000 -166.8841
155.639659 87.005 -167.0492
156.005870 86.996 -167.2298
156.372081 86.969 -167.2917
156.738292 86.933 -167.1432
157.104503 86.904 -166.7887
157.470714 86.895 -166.3478
157.836925 86.904 -165.9860
158.203136 86.916 -165.8259
158.569347 86.912 -165.8734
158.935558 86.881 -166.0190
159.301769 86.830 -166.1014
159.667980 86.781 -166.0101
160.034191 86.755 -165.7445
160.400402 86.765 -165.4169
160.766613 86.798 -165.1599
161.132824 86.830 -165.0519
161.499035 86.837 -165.0663
161.865246 86.805 -165.0994
162.231457 86.746 -165.0391
162.597668 86.681 -164.8397
162.963879 86.637 -164.5536
163.330090 86.628 -164.2976
163.696301 86.647 -164.1696
164.062512 86.678 -164.1866
164.428723 86.703 -164.2843
164.794934 86.714 -164.3504
165.161145 86.715 -164.3118
165.527356 86.712 -164.1750
165.893567 86.710 -164.0134
166.259778 86.706 -163.8970
166.625988 86.696 -163.8430
166.992199 86.679 -163.8206
167.358410 86.660 -163.7843
167.724621 86.644 -163.7084
168.090832 86.633 -163.5986
