* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 10, 2023 9:11:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fiio FH3 R - L springtips
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.355 177.1695
20.507813 93.300 176.6394
20.874023 93.121 176.8825
21.240234 92.913 178.1754
21.606445 92.794 -179.7370
21.972656 92.836 -177.7318
22.338867 93.009 -176.7968
22.705078 93.190 -177.2552
23.071289 93.281 -178.7593
23.437500 93.253 179.3878
23.803711 93.133 177.8835
24.169922 92.997 177.0898
24.536133 92.914 176.9228
24.902344 92.902 176.9947
25.268555 92.930 176.9317
25.634766 92.945 176.6616
26.000977 92.917 176.3439
26.367188 92.857 176.1391
26.733399 92.795 176.1335
27.099610 92.759 176.2109
27.465821 92.748 176.2027
27.832032 92.744 176.0890
28.198243 92.726 175.9225
28.564454 92.689 175.8192
28.930665 92.640 175.8506
29.296876 92.595 175.9569
29.663087 92.555 176.0611
30.029298 92.516 176.0945
30.395509 92.479 176.0286
30.761720 92.438 175.9204
31.127931 92.396 175.8032
31.494142 92.358 175.6882
31.860353 92.324 175.5870
32.226563 92.293 175.4972
32.592774 92.262 175.4247
32.958985 92.230 175.3777
33.325196 92.200 175.3432
33.691407 92.173 175.3243
34.057618 92.148 175.3101
34.423829 92.126 175.2851
34.790040 92.105 175.2700
35.156251 92.083 175.2623
35.522462 92.059 175.2607
35.888673 92.033 175.2747
36.254884 92.002 175.2936
36.621095 91.967 175.3231
36.987306 91.931 175.3630
37.353517 91.897 175.3872
37.719728 91.865 175.4009
38.085939 91.832 175.3992
38.452150 91.798 175.3834
38.818361 91.762 175.3806
39.184572 91.727 175.3933
39.550783 91.692 175.4185
39.916994 91.658 175.4515
40.283205 91.624 175.4739
40.649416 91.590 175.4894
41.015627 91.554 175.5023
41.381838 91.520 175.5106
41.748049 91.487 175.5176
42.114260 91.457 175.5201
42.480471 91.430 175.5202
42.846682 91.403 175.5417
43.212893 91.378 175.5887
43.579103 91.353 175.6621
43.945314 91.327 175.7563
44.311525 91.298 175.8538
44.677736 91.265 175.9532
45.043947 91.227 176.0527
45.410158 91.187 176.1400
45.776369 91.147 176.2174
46.142580 91.111 176.2710
46.508791 91.080 176.2940
46.875002 91.051 176.2997
47.241213 91.024 176.3060
47.607424 90.999 176.3356
47.973635 90.975 176.4013
48.339846 90.955 176.5023
48.706057 90.936 176.6280
49.072268 90.915 176.7638
49.438479 90.889 176.8913
49.804690 90.860 177.0204
50.170901 90.827 177.1451
50.537112 90.791 177.2591
50.903323 90.754 177.3587
51.269534 90.717 177.4370
51.635745 90.681 177.5011
52.001956 90.651 177.5541
52.368167 90.628 177.5868
52.734378 90.610 177.6041
53.100589 90.595 177.6125
53.466800 90.579 177.6311
53.833011 90.559 177.6946
54.199222 90.535 177.8212
54.565432 90.509 178.0064
54.931643 90.480 178.2219
55.297854 90.449 178.4273
55.664065 90.415 178.5977
56.030276 90.378 178.7253
56.396487 90.342 178.8104
56.762698 90.311 178.8667
57.128909 90.288 178.8945
57.495120 90.271 178.8975
57.861331 90.256 178.9002
58.227542 90.237 178.9352
58.593753 90.213 179.0383
58.959964 90.183 179.2222
59.326175 90.152 179.4610
59.692386 90.121 179.7065
60.058597 90.090 179.9112
60.424808 90.056 -179.9471
60.791019 90.018 -179.8508
61.157230 89.980 -179.7737
61.523441 89.945 -179.6948
61.889652 89.918 -179.6060
62.255863 89.895 -179.5168
62.622074 89.875 -179.4233
62.988285 89.853 -179.3133
63.354496 89.830 -179.1672
63.720707 89.805 -178.9980
64.086918 89.780 -178.8283
64.453129 89.754 -178.6859
64.819340 89.726 -178.5656
65.185551 89.698 -178.4556
65.551762 89.672 -178.3317
65.917972 89.649 -178.1775
66.284183 89.632 -178.0019
66.650394 89.619 -177.8284
67.016605 89.608 -177.6755
67.382816 89.591 -177.5473
67.749027 89.566 -177.4238
68.115238 89.534 -177.2914
68.481449 89.499 -177.1539
68.847660 89.465 -177.0294
69.213871 89.431 -176.9400
69.580082 89.399 -176.8898
69.946293 89.366 -176.8561
70.312504 89.334 -176.8048
70.678715 89.306 -176.6996
71.044926 89.286 -176.5349
71.411137 89.273 -176.3382
71.777348 89.265 -176.1469
72.143559 89.254 -175.9905
72.509770 89.233 -175.8700
72.875981 89.197 -175.7572
73.242192 89.151 -175.6157
73.608403 89.103 -175.4301
73.974614 89.063 -175.2166
74.340825 89.036 -175.0221
74.707036 89.023 -174.8785
75.073247 89.015 -174.7958
75.439458 89.004 -174.7480
75.805669 88.988 -174.6880
76.171880 88.966 -174.5772
76.538091 88.941 -174.4071
76.904301 88.919 -174.2013
77.270512 88.899 -173.9992
77.636723 88.881 -173.8288
78.002934 88.862 -173.6946
78.369145 88.840 -173.5905
78.735356 88.816 -173.4870
79.101567 88.793 -173.3720
79.467778 88.770 -173.2446
79.833989 88.750 -173.1092
80.200200 88.729 -172.9694
80.566411 88.709 -172.8239
80.932622 88.690 -172.6729
81.298833 88.671 -172.5259
81.665044 88.654 -172.3974
82.031255 88.637 -172.2964
82.397466 88.618 -172.2148
82.763677 88.594 -172.1335
83.129888 88.567 -172.0290
83.496099 88.538 -171.8914
83.862310 88.511 -171.7285
84.228521 88.487 -171.5645
84.594732 88.464 -171.4106
84.960943 88.437 -171.2569
85.327154 88.404 -171.0871
85.693365 88.373 -170.8926
86.059576 88.349 -170.6994
86.425787 88.333 -170.5522
86.791998 88.317 -170.4899
87.158209 88.294 -170.4897
87.524420 88.257 -170.4685
87.890631 88.213 -170.3289
88.256841 88.174 -170.0392
88.623052 88.156 -169.6528
88.989263 88.156 -169.2866
89.355474 88.162 -169.0306
89.721685 88.152 -168.8922
90.087896 88.117 -168.7856
90.454107 88.063 -168.6101
90.820318 88.010 -168.3299
91.186529 87.975 -168.0182
91.552740 87.961 -167.7959
91.918951 87.956 -167.7313
92.285162 87.942 -167.7840
92.651373 87.911 -167.8350
93.017584 87.869 -167.7758
93.383795 87.832 -167.5907
93.750006 87.810 -167.3505
94.116217 87.799 -167.1588
94.482428 87.787 -167.0618
94.848639 87.764 -167.0139
95.214850 87.730 -166.9300
95.581061 87.695 -166.7585
95.947272 87.667 -166.5172
96.313483 87.649 -166.2616
96.679694 87.633 -166.0438
97.045905 87.611 -165.8627
97.412116 87.581 -165.6898
97.778327 87.548 -165.4818
98.144538 87.521 -165.2514
98.510749 87.501 -165.0471
98.876960 87.486 -164.9130
99.243170 87.466 -164.8364
99.609381 87.434 -164.7573
99.975592 87.391 -164.6073
100.341803 87.344 -164.3618
100.708014 87.301 -164.0378
101.074225 87.265 -163.6953
101.440436 87.236 -163.3935
101.806647 87.205 -163.1589
102.172858 87.170 -162.9805
102.539069 87.128 -162.8201
102.905280 87.084 -162.6376
103.271491 87.044 -162.4144
103.637702 87.011 -162.1718
104.003913 86.985 -161.9513
104.370124 86.961 -161.7886
104.736335 86.929 -161.6643
105.102546 86.881 -161.5105
105.468757 86.820 -161.2321
105.834968 86.758 -160.7628
106.201179 86.711 -160.1151
106.567390 86.688 -159.3936
106.933601 86.685 -158.7377
107.299812 86.685 -158.2448
107.666023 86.671 -157.9059
108.032234 86.632 -157.6401
108.398445 86.570 -157.3413
108.764656 86.500 -156.9211
109.130867 86.437 -156.3228
109.497078 86.397 -155.5231
109.863289 86.391 -154.5405
110.229500 86.428 -153.4563
110.595710 86.504 -152.4188
110.961921 86.599 -151.5801
111.328132 86.683 -151.0038
111.694343 86.730 -150.6136
112.060554 86.733 -150.2314
112.426765 86.715 -149.6876
112.792976 86.714 -148.9467
113.159187 86.766 -148.1549
113.525398 86.875 -147.5476
113.891609 87.014 -147.2801
114.257820 87.149 -147.3277
114.624031 87.254 -147.5274
114.990242 87.329 -147.6993
115.356453 87.388 -147.7659
115.722664 87.448 -147.7548
116.088875 87.515 -147.7627
116.455086 87.584 -147.8534
116.821297 87.641 -148.0322
117.187508 87.684 -148.2232
117.553719 87.718 -148.3734
117.919930 87.750 -148.4914
118.286141 87.769 -148.6945
118.652352 87.783 -148.9570
119.018563 87.793 -149.2492
119.384774 87.806 -149.4636
119.750985 87.814 -149.6270
120.117196 87.820 -149.7258
120.483407 87.827 -149.7815
120.849618 87.833 -149.8145
121.215829 87.834 -149.8509
121.582040 87.824 -149.9023
121.948250 87.802 -149.9669
122.314461 87.771 -150.0381
122.680672 87.738 -150.1161
123.046883 87.708 -150.2076
123.413094 87.687 -150.3200
123.779305 87.674 -150.4446
124.145516 87.665 -150.5608
124.511727 87.656 -150.6382
124.877938 87.645 -150.6520
125.244149 87.631 -150.6005
125.610360 87.617 -150.5063
125.976571 87.604 -150.4142
126.342782 87.589 -150.3638
126.708993 87.571 -150.3769
127.075204 87.546 -150.4313
127.441415 87.514 -150.4780
127.807626 87.481 -150.4681
128.173837 87.453 -150.3842
128.540048 87.432 -150.2455
128.906259 87.419 -150.0931
129.272470 87.408 -149.9632
129.638681 87.395 -149.8686
130.004892 87.377 -149.7995
130.371103 87.355 -149.7346
130.737314 87.333 -149.6633
131.103525 87.314 -149.5875
131.469736 87.299 -149.5186
131.835947 87.287 -149.4581
132.202158 87.272 -149.3981
132.568369 87.253 -149.3234
132.934579 87.230 -149.2186
133.300790 87.204 -149.0782
133.667001 87.181 -148.9108
134.033212 87.164 -148.7397
134.399423 87.152 -148.5869
134.765634 87.143 -148.4644
135.131845 87.134 -148.3627
135.498056 87.122 -148.2624
135.864267 87.109 -148.1484
136.230478 87.096 -148.0231
136.596689 87.084 -147.8967
136.962900 87.072 -147.7795
137.329111 87.060 -147.6716
137.695322 87.048 -147.5713
138.061533 87.037 -147.4756
138.427744 87.028 -147.3889
138.793955 87.019 -147.3116
139.160166 87.007 -147.2399
139.526377 86.989 -147.1567
139.892588 86.967 -147.0393
140.258799 86.943 -146.8754
140.625010 86.922 -146.6805
140.991221 86.907 -146.4855
141.357432 86.898 -146.3189
141.723643 86.890 -146.1853
142.089854 86.881 -146.0715
142.456065 86.871 -145.9584
142.822276 86.860 -145.8316
143.188487 86.849 -145.6906
143.554698 86.837 -145.5428
143.920909 86.825 -145.3937
144.287119 86.812 -145.2472
144.653330 86.799 -145.0996
145.019541 86.788 -144.9586
145.385752 86.779 -144.8343
145.751963 86.771 -144.7365
146.118174 86.760 -144.6521
146.484385 86.745 -144.5529
146.850596 86.729 -144.4114
147.216807 86.713 -144.2255
147.583018 86.701 -144.0165
147.949229 86.693 -143.8169
148.315440 86.687 -143.6455
148.681651 86.677 -143.5090
149.047862 86.664 -143.3943
149.414073 86.646 -143.2873
149.780284 86.629 -143.1761
150.146495 86.614 -143.0600
150.512706 86.601 -142.9399
150.878917 86.590 -142.8144
151.245128 86.580 -142.6818
151.611339 86.569 -142.5429
151.977550 86.559 -142.4024
152.343761 86.548 -142.2618
152.709972 86.534 -142.1203
153.076183 86.519 -141.9742
153.442394 86.505 -141.8264
153.808605 86.491 -141.6844
154.174816 86.477 -141.5554
154.541027 86.462 -141.4323
154.907238 86.443 -141.2914
155.273448 86.426 -141.1120
155.639659 86.414 -140.8895
156.005870 86.412 -140.6560
156.372081 86.416 -140.4565
156.738292 86.420 -140.3248
157.104503 86.415 -140.2431
157.470714 86.399 -140.1582
157.836925 86.377 -140.0135
158.203136 86.361 -139.8041
158.569347 86.358 -139.5802
158.935558 86.366 -139.4067
159.301769 86.377 -139.3062
159.667980 86.380 -139.2483
160.034191 86.372 -139.1695
160.400402 86.358 -139.0280
160.766613 86.341 -138.8175
161.132824 86.325 -138.5752
161.499035 86.307 -138.3375
161.865246 86.284 -138.1121
162.231457 86.257 -137.8813
162.597668 86.234 -137.6364
162.963879 86.220 -137.4021
163.330090 86.221 -137.2283
163.696301 86.229 -137.1478
164.062512 86.235 -137.1487
164.428723 86.231 -137.1797
164.794934 86.220 -137.1647
165.161145 86.208 -137.0634
