* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 05 26, 25 6:07:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A5000 2HDF L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.623 61.5671
0.368865 37.655 61.4952
0.371538 37.703 61.3895
0.374230 37.762 61.2600
0.376942 37.828 61.1154
0.379673 37.898 60.9620
0.382424 37.972 60.8039
0.385196 38.048 60.6437
0.387987 38.124 60.4826
0.390798 38.202 60.3216
0.393630 38.280 60.1611
0.396483 38.359 60.0011
0.399356 38.439 59.8419
0.402250 38.519 59.6834
0.405165 38.600 59.5257
0.408101 38.682 59.3687
0.411058 38.764 59.2125
0.414037 38.846 59.0569
0.417037 38.930 58.9020
0.420059 39.013 58.7476
0.423103 39.098 58.5939
0.426169 39.183 58.4407
0.429257 39.269 58.2880
0.432368 39.355 58.1358
0.435501 39.442 57.9840
0.438656 39.529 57.8326
0.441835 39.618 57.6815
0.445037 39.707 57.5306
0.448262 39.796 57.3800
0.451510 39.886 57.2296
0.454782 39.977 57.0794
0.458077 40.068 56.9292
0.461397 40.160 56.7790
0.464740 40.253 56.6288
0.468108 40.347 56.4785
0.471500 40.441 56.3281
0.474917 40.536 56.1775
0.478358 40.631 56.0267
0.481825 40.727 55.8755
0.485316 40.824 55.7240
0.488833 40.922 55.5720
0.492375 41.020 55.4196
0.495943 41.119 55.2666
0.499537 41.219 55.1130
0.503157 41.319 54.9587
0.506803 41.421 54.8037
0.510475 41.523 54.6479
0.514175 41.625 54.4913
0.517900 41.729 54.3337
0.521653 41.833 54.1751
0.525434 41.938 54.0155
0.529241 42.043 53.8548
0.533076 42.150 53.6929
0.536939 42.257 53.5297
0.540830 42.365 53.3653
0.544749 42.474 53.1994
0.548696 42.583 53.0322
0.552673 42.694 52.8634
0.556677 42.805 52.6931
0.560711 42.917 52.5211
0.564774 43.030 52.3474
0.568867 43.143 52.1720
0.572989 43.258 51.9948
0.577141 43.373 51.8157
0.581324 43.489 51.6347
0.585536 43.606 51.4517
0.589779 43.724 51.2665
0.594053 43.842 51.0793
0.598358 43.962 50.8899
0.602694 44.082 50.6982
0.607061 44.204 50.5043
0.611460 44.326 50.3079
0.615891 44.449 50.1092
0.620354 44.573 49.9080
0.624849 44.697 49.7042
0.629377 44.823 49.4979
0.633938 44.950 49.2889
0.638532 45.077 49.0772
0.643159 45.206 48.8628
0.647819 45.335 48.6455
0.652514 45.466 48.4254
0.657242 45.597 48.2024
0.662005 45.729 47.9765
0.666802 45.862 47.7475
0.671634 45.996 47.5155
0.676501 46.132 47.2804
0.681403 46.268 47.0422
0.686341 46.405 46.8008
0.691314 46.543 46.5563
0.696324 46.682 46.3085
0.701370 46.821 46.0575
0.706452 46.961 45.8035
0.711571 47.102 45.5465
0.716728 47.242 45.2869
0.721921 47.382 45.0252
0.727153 47.520 44.7620
0.732422 47.656 44.4984
0.737729 47.789 44.2355
0.743075 47.921 43.9744
0.748460 48.050 43.7161
0.753883 48.179 43.4610
0.759346 48.306 43.2095
0.764849 48.434 42.9616
0.770391 48.561 42.7174
0.775974 48.688 42.4767
0.781597 48.816 42.2393
0.787261 48.943 42.0051
0.792966 49.070 41.7739
0.798712 49.198 41.5453
0.804500 49.326 41.3193
0.810329 49.453 41.0955
0.816201 49.581 40.8739
0.822116 49.709 40.6540
0.828073 49.837 40.4358
0.834074 49.965 40.2190
0.840118 50.094 40.0034
0.846206 50.222 39.7888
0.852338 50.351 39.5749
0.858514 50.479 39.3617
0.864735 50.608 39.1487
0.871001 50.737 38.9359
0.877313 50.866 38.7231
0.883670 50.996 38.5100
0.890074 51.125 38.2964
0.896524 51.255 38.0822
0.903020 51.384 37.8672
0.909564 51.514 37.6511
0.916155 51.645 37.4338
0.922794 51.775 37.2150
0.929481 51.906 36.9947
0.936216 52.037 36.7725
0.943000 52.168 36.5484
0.949834 52.299 36.3222
0.956717 52.431 36.0936
0.963649 52.563 35.8625
0.970632 52.695 35.6288
0.977666 52.828 35.3923
0.984750 52.961 35.1527
0.991886 53.094 34.9100
0.999074 53.227 34.6639
1.006314 53.361 34.4144
1.013606 53.496 34.1612
1.020951 53.631 33.9042
1.028349 53.766 33.6433
1.035801 53.902 33.3783
1.043307 54.038 33.1091
1.050867 54.175 32.8356
1.058482 54.312 32.5578
1.066152 54.450 32.2757
1.073878 54.588 31.9895
1.081660 54.727 31.6994
1.089498 54.866 31.4061
1.097393 55.006 31.1104
1.105345 55.146 30.8133
1.113355 55.286 30.5159
1.121423 55.427 30.2188
1.129549 55.567 29.9229
1.137734 55.707 29.6283
1.145979 55.848 29.3351
1.154283 55.988 29.0435
1.162647 56.129 28.7532
1.171072 56.269 28.4642
1.179558 56.410 28.1763
1.188106 56.550 27.8893
1.196715 56.691 27.6031
1.205387 56.831 27.3173
1.214122 56.972 27.0319
1.222920 57.112 26.7467
1.231782 57.253 26.4614
1.240708 57.393 26.1759
1.249699 57.534 25.8899
1.258754 57.675 25.6032
1.267876 57.815 25.3158
1.277063 57.956 25.0273
1.286318 58.097 24.7376
1.295639 58.238 24.4466
1.305027 58.379 24.1539
1.314484 58.521 23.8594
1.324009 58.662 23.5629
1.333604 58.803 23.2643
1.343268 58.945 22.9633
1.353002 59.087 22.6598
1.362806 59.229 22.3536
1.372681 59.371 22.0444
1.382628 59.514 21.7322
1.392647 59.656 21.4168
1.402739 59.799 21.0980
1.412904 59.943 20.7757
1.423142 60.086 20.4501
1.433455 60.230 20.1211
1.443843 60.374 19.7891
1.454305 60.519 19.4546
1.464844 60.663 19.1184
1.475459 60.808 18.7813
1.486150 60.952 18.4443
1.496920 61.097 18.1079
1.507767 61.241 17.7726
1.518693 61.385 17.4385
1.529698 61.529 17.1055
1.540783 61.673 16.7734
1.551948 61.817 16.4420
1.563194 61.960 16.1109
1.574521 62.103 15.7799
1.585931 62.246 15.4486
1.597423 62.389 15.1167
1.608999 62.532 14.7837
1.620658 62.675 14.4495
1.632402 62.818 14.1135
1.644232 62.960 13.7755
1.656146 63.102 13.4351
1.668147 63.245 13.0920
1.680235 63.387 12.7458
1.692411 63.529 12.3963
1.704675 63.671 12.0430
1.717028 63.814 11.6857
1.729470 63.956 11.3240
1.742003 64.098 10.9576
1.754626 64.240 10.5863
1.767341 64.383 10.2098
1.780147 64.525 9.8279
1.793047 64.668 9.4406
1.806040 64.810 9.0480
1.819128 64.953 8.6505
1.832310 65.095 8.2485
1.845587 65.238 7.8427
1.858961 65.380 7.4340
1.872432 65.522 7.0230
1.886001 65.663 6.6100
1.899667 65.805 6.1955
1.913433 65.945 5.7795
1.927299 66.086 5.3622
1.941265 66.226 4.9436
1.955332 66.366 4.5235
1.969501 66.505 4.1020
1.983773 66.645 3.6790
1.998148 66.783 3.2544
2.012627 66.922 2.8279
2.027212 67.060 2.3995
2.041902 67.199 1.9691
2.056698 67.336 1.5364
2.071602 67.474 1.1012
2.086614 67.612 0.6634
2.101734 67.749 0.2228
2.116964 67.886 -0.2208
2.132304 68.023 -0.6677
2.147756 68.160 -1.1180
2.163320 68.297 -1.5717
2.178996 68.434 -2.0290
2.194786 68.570 -2.4898
2.210690 68.706 -2.9538
2.226710 68.842 -3.4208
2.242845 68.977 -3.8906
2.259098 69.112 -4.3628
2.275468 69.247 -4.8372
2.291957 69.380 -5.3136
2.308566 69.514 -5.7919
2.325295 69.646 -6.2719
2.342145 69.779 -6.7536
2.359117 69.911 -7.2368
2.376212 70.042 -7.7216
2.393431 70.173 -8.2079
2.410775 70.304 -8.6958
2.428244 70.434 -9.1853
2.445840 70.564 -9.6765
2.463564 70.693 -10.1693
2.481416 70.823 -10.6641
2.499397 70.952 -11.1608
2.517509 71.080 -11.6597
2.535752 71.209 -12.1609
2.554127 71.337 -12.6647
2.572635 71.465 -13.1711
2.591277 71.592 -13.6804
2.610055 71.718 -14.1924
2.628968 71.844 -14.7072
2.648019 71.969 -15.2244
2.667208 72.094 -15.7439
2.686535 72.218 -16.2655
2.706003 72.342 -16.7888
2.725612 72.464 -17.3137
2.745363 72.587 -17.8399
2.765257 72.708 -18.3672
2.785295 72.830 -18.8956
2.805478 72.951 -19.4247
2.825808 73.071 -19.9546
2.846285 73.191 -20.4853
2.866910 73.311 -21.0168
2.887685 73.430 -21.5491
2.908611 73.548 -22.0827
2.929688 73.667 -22.6177
2.950917 73.784 -23.1545
2.972301 73.902 -23.6935
2.993839 74.018 -24.2346
3.015534 74.134 -24.7779
3.037386 74.249 -25.3231
3.059396 74.363 -25.8700
3.081565 74.477 -26.4183
3.103896 74.590 -26.9676
3.126388 74.702 -27.5176
3.149043 74.814 -28.0680
3.171862 74.926 -28.6184
3.194847 75.037 -29.1688
3.217998 75.147 -29.7189
3.241317 75.257 -30.2687
3.264805 75.367 -30.8183
3.288463 75.476 -31.3681
3.312293 75.584 -31.9184
3.336295 75.692 -32.4695
3.360471 75.800 -33.0217
3.384822 75.906 -33.5751
3.409350 76.012 -34.1296
3.434056 76.118 -34.6850
3.458940 76.222 -35.2411
3.484005 76.327 -35.7975
3.509252 76.430 -36.3539
3.534681 76.533 -36.9100
3.560295 76.636 -37.4656
3.586094 76.738 -38.0205
3.612081 76.840 -38.5747
3.638255 76.941 -39.1282
3.664620 77.042 -39.6814
3.691175 77.143 -40.2345
3.717923 77.243 -40.7878
3.744864 77.342 -41.3415
3.772001 77.441 -41.8957
3.799335 77.539 -42.4502
3.826866 77.636 -43.0050
3.854597 77.733 -43.5597
3.882529 77.830 -44.1143
3.910664 77.926 -44.6684
3.939002 78.022 -45.2218
3.967546 78.118 -45.7746
3.996296 78.213 -46.3267
4.025255 78.308 -46.8782
4.054423 78.402 -47.4294
4.083804 78.496 -47.9804
4.113396 78.590 -48.5315
4.143204 78.683 -49.0827
4.173227 78.775 -49.6342
4.203468 78.868 -50.1857
4.233928 78.959 -50.7373
4.264609 79.051 -51.2888
4.295512 79.142 -51.8403
4.326639 79.233 -52.3916
4.357992 79.323 -52.9429
4.389572 79.413 -53.4941
4.421380 79.503 -54.0456
4.453419 79.592 -54.5974
4.485691 79.681 -55.1497
4.518196 79.770 -55.7026
4.550936 79.858 -56.2560
4.583914 79.946 -56.8099
4.617131 80.034 -57.3643
4.650589 80.121 -57.9192
4.684289 80.208 -58.4746
4.718233 80.294 -59.0306
4.752424 80.380 -59.5873
4.786862 80.466 -60.1448
4.821549 80.551 -60.7034
4.856488 80.636 -61.2630
4.891680 80.720 -61.8237
4.927127 80.804 -62.3855
4.962831 80.887 -62.9482
4.998794 80.970 -63.5118
5.035017 81.053 -64.0761
5.071503 81.135 -64.6413
5.108253 81.216 -65.2075
5.145270 81.297 -65.7748
5.182555 81.378 -66.3433
5.220110 81.458 -66.9133
5.257937 81.537 -67.4845
5.296038 81.616 -68.0568
5.334415 81.694 -68.6300
5.373071 81.772 -69.2039
5.412006 81.848 -69.7782
5.451224 81.925 -70.3530
5.490725 82.000 -70.9284
5.530514 82.075 -71.5044
5.570590 82.150 -72.0812
5.610957 82.223 -72.6587
5.651616 82.296 -73.2369
5.692570 82.368 -73.8153
5.733821 82.439 -74.3935
5.775370 82.510 -74.9713
5.817221 82.580 -75.5485
5.859375 82.649 -76.1250
5.901834 82.718 -76.7009
5.944602 82.785 -77.2764
5.987679 82.852 -77.8514
6.031068 82.918 -78.4256
6.074771 82.984 -78.9988
6.118792 83.049 -79.5704
6.163131 83.113 -80.1404
6.207792 83.176 -80.7083
6.252776 83.239 -81.2743
6.298086 83.301 -81.8383
6.343725 83.362 -82.4005
6.389694 83.423 -82.9608
6.435996 83.483 -83.5189
6.482634 83.543 -84.0747
6.529610 83.602 -84.6279
6.576926 83.660 -85.1784
6.624585 83.718 -85.7261
6.672590 83.776 -86.2712
6.720942 83.833 -86.8138
6.769645 83.890 -87.3538
6.818700 83.947 -87.8914
