* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 05 26, 25 8:36:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A5000 DSP L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 49.145 -16.1332
0.368865 49.165 -16.0445
0.371538 49.194 -15.9130
0.374230 49.230 -15.7506
0.376942 49.271 -15.5673
0.379673 49.314 -15.3705
0.382424 49.359 -15.1650
0.385196 49.406 -14.9536
0.387987 49.453 -14.7382
0.390798 49.501 -14.5195
0.393630 49.549 -14.2980
0.396483 49.597 -14.0739
0.399356 49.646 -13.8473
0.402250 49.696 -13.6183
0.405165 49.745 -13.3866
0.408101 49.796 -13.1525
0.411058 49.846 -12.9156
0.414037 49.897 -12.6761
0.417037 49.948 -12.4338
0.420059 50.000 -12.1887
0.423103 50.051 -11.9406
0.426169 50.104 -11.6897
0.429257 50.156 -11.4357
0.432368 50.210 -11.1786
0.435501 50.263 -10.9184
0.438656 50.317 -10.6551
0.441835 50.371 -10.3885
0.445037 50.426 -10.1186
0.448262 50.481 -9.8454
0.451510 50.536 -9.5689
0.454782 50.592 -9.2889
0.458077 50.648 -9.0055
0.461397 50.705 -8.7186
0.464740 50.762 -8.4282
0.468108 50.819 -8.1343
0.471500 50.877 -7.8368
0.474917 50.935 -7.5358
0.478358 50.994 -7.2312
0.481825 51.053 -6.9230
0.485316 51.113 -6.6112
0.488833 51.173 -6.2959
0.492375 51.233 -5.9770
0.495943 51.294 -5.6546
0.499537 51.355 -5.3287
0.503157 51.417 -4.9994
0.506803 51.479 -4.6666
0.510475 51.542 -4.3304
0.514175 51.605 -3.9910
0.517900 51.669 -3.6483
0.521653 51.733 -3.3024
0.525434 51.797 -2.9535
0.529241 51.862 -2.6016
0.533076 51.928 -2.2469
0.536939 51.994 -1.8894
0.540830 52.060 -1.5292
0.544749 52.127 -1.1666
0.548696 52.194 -0.8016
0.552673 52.262 -0.4344
0.556677 52.330 -0.0652
0.560711 52.399 0.3059
0.564774 52.469 0.6787
0.568867 52.538 1.0529
0.572989 52.609 1.4285
0.577141 52.680 1.8051
0.581324 52.751 2.1826
0.585536 52.823 2.5608
0.589779 52.895 2.9393
0.594053 52.968 3.3181
0.598358 53.042 3.6967
0.602694 53.116 4.0750
0.607061 53.190 4.4528
0.611460 53.265 4.8297
0.615891 53.341 5.2054
0.620354 53.417 5.5799
0.624849 53.494 5.9526
0.629377 53.571 6.3234
0.633938 53.649 6.6921
0.638532 53.727 7.0582
0.643159 53.806 7.4216
0.647819 53.886 7.7820
0.652514 53.966 8.1391
0.657242 54.047 8.4926
0.662005 54.128 8.8423
0.666802 54.210 9.1880
0.671634 54.292 9.5293
0.676501 54.375 9.8660
0.681403 54.459 10.1980
0.686341 54.543 10.5249
0.691314 54.628 10.8466
0.696324 54.714 11.1628
0.701370 54.801 11.4736
0.706452 54.889 11.7787
0.711571 54.978 12.0783
0.716728 55.069 12.3725
0.721921 55.163 12.6618
0.727153 55.260 12.9469
0.732422 55.362 13.2288
0.737729 55.469 13.5087
0.743075 55.581 13.7876
0.748460 55.697 14.0663
0.753883 55.816 14.3454
0.759346 55.940 14.6247
0.764849 56.066 14.9043
0.770391 56.195 15.1837
0.775974 56.326 15.4626
0.781597 56.460 15.7406
0.787261 56.597 16.0170
0.792966 56.736 16.2916
0.798712 56.877 16.5637
0.804500 57.021 16.8330
0.810329 57.167 17.0989
0.816201 57.316 17.3610
0.822116 57.467 17.6190
0.828073 57.620 17.8723
0.834074 57.775 18.1206
0.840118 57.933 18.3635
0.846206 58.092 18.6006
0.852338 58.254 18.8316
0.858514 58.418 19.0560
0.864735 58.583 19.2736
0.871001 58.751 19.4841
0.877313 58.921 19.6870
0.883670 59.092 19.8823
0.890074 59.265 20.0694
0.896524 59.440 20.2482
0.903020 59.616 20.4185
0.909564 59.794 20.5799
0.916155 59.973 20.7323
0.922794 60.154 20.8754
0.929481 60.336 21.0091
0.936216 60.519 21.1330
0.943000 60.703 21.2471
0.949834 60.888 21.3512
0.956717 61.074 21.4450
0.963649 61.261 21.5285
0.970632 61.448 21.6015
0.977666 61.636 21.6639
0.984750 61.825 21.7156
0.991886 62.014 21.7564
0.999074 62.202 21.7863
1.006314 62.391 21.8051
1.013606 62.580 21.8128
1.020951 62.768 21.8093
1.028349 62.956 21.7945
1.035801 63.143 21.7685
1.043307 63.330 21.7313
1.050867 63.515 21.6828
1.058482 63.700 21.6234
1.066152 63.883 21.5532
1.073878 64.065 21.4728
1.081660 64.246 21.3831
1.089498 64.426 21.2853
1.097393 64.604 21.1811
1.105345 64.781 21.0726
1.113355 64.958 20.9616
1.121423 65.134 20.8497
1.129549 65.310 20.7379
1.137734 65.486 20.6266
1.145979 65.662 20.5160
1.154283 65.838 20.4058
1.162647 66.013 20.2958
1.171072 66.188 20.1857
1.179558 66.364 20.0750
1.188106 66.539 19.9633
1.196715 66.714 19.8502
1.205387 66.889 19.7353
1.214122 67.064 19.6182
1.222920 67.239 19.4985
1.231782 67.414 19.3758
1.240708 67.589 19.2498
1.249699 67.763 19.1201
1.258754 67.938 18.9864
1.267876 68.113 18.8483
1.277063 68.287 18.7055
1.286318 68.461 18.5577
1.295639 68.636 18.4046
1.305027 68.810 18.2459
1.314484 68.984 18.0813
1.324009 69.158 17.9105
1.333604 69.332 17.7332
1.343268 69.506 17.5492
1.353002 69.679 17.3582
1.362806 69.853 17.1599
1.372681 70.027 16.9542
1.382628 70.200 16.7407
1.392647 70.374 16.5193
1.402739 70.548 16.2898
1.412904 70.721 16.0521
1.423142 70.895 15.8063
1.433455 71.068 15.5526
1.443843 71.241 15.2914
1.454305 71.414 15.0238
1.464844 71.587 14.7509
1.475459 71.759 14.4741
1.486150 71.931 14.1949
1.496920 72.102 13.9144
1.507767 72.272 13.6331
1.518693 72.442 13.3516
1.529698 72.611 13.0697
1.540783 72.779 12.7874
1.551948 72.947 12.5043
1.563194 73.114 12.2202
1.574521 73.280 11.9347
1.585931 73.445 11.6475
1.597423 73.610 11.3582
1.608999 73.774 11.0663
1.620658 73.938 10.7716
1.632402 74.101 10.4737
1.644232 74.263 10.1722
1.656146 74.426 9.8666
1.668147 74.587 9.5568
1.680235 74.748 9.2423
1.692411 74.909 8.9227
1.704675 75.070 8.5977
1.717028 75.230 8.2670
1.729470 75.390 7.9302
1.742003 75.550 7.5870
1.754626 75.710 7.2371
1.767341 75.869 6.8803
1.780147 76.029 6.5164
1.793047 76.188 6.1453
1.806040 76.347 5.7671
1.819128 76.506 5.3823
1.832310 76.665 4.9915
1.845587 76.823 4.5955
1.858961 76.981 4.1951
1.872432 77.138 3.7910
1.886001 77.294 3.3840
1.899667 77.450 2.9744
1.913433 77.604 2.5625
1.927299 77.758 2.1484
1.941265 77.911 1.7322
1.955332 78.063 1.3140
1.969501 78.214 0.8937
1.983773 78.365 0.4714
1.998148 78.515 0.0470
2.012627 78.664 -0.3796
2.027212 78.813 -0.8085
2.041902 78.961 -1.2399
2.056698 79.109 -1.6738
2.071602 79.256 -2.1105
2.086614 79.402 -2.5500
2.101734 79.549 -2.9927
2.116964 79.695 -3.4388
2.132304 79.840 -3.8883
2.147756 79.986 -4.3417
2.163320 80.130 -4.7989
2.178996 80.275 -5.2603
2.194786 80.419 -5.7257
2.210690 80.563 -6.1952
2.226710 80.706 -6.6687
2.242845 80.848 -7.1457
2.259098 80.989 -7.6262
2.275468 81.129 -8.1097
2.291957 81.269 -8.5959
2.308566 81.407 -9.0845
2.325295 81.545 -9.5754
2.342145 81.682 -10.0682
2.359117 81.818 -10.5627
2.376212 81.953 -11.0588
2.393431 82.088 -11.5564
2.410775 82.222 -12.0553
2.428244 82.355 -12.5554
2.445840 82.488 -13.0567
2.463564 82.620 -13.5592
2.481416 82.752 -14.0630
2.499397 82.883 -14.5682
2.517509 83.013 -15.0748
2.535752 83.144 -15.5833
2.554127 83.273 -16.0940
2.572635 83.403 -16.6072
2.591277 83.531 -17.1232
2.610055 83.658 -17.6422
2.628968 83.785 -18.1642
2.648019 83.911 -18.6890
2.667208 84.035 -19.2164
2.686535 84.159 -19.7459
2.706003 84.282 -20.2772
2.725612 84.404 -20.8099
2.745363 84.525 -21.3437
2.765257 84.646 -21.8781
2.785295 84.766 -22.4129
2.805478 84.885 -22.9477
2.825808 85.004 -23.4824
2.846285 85.122 -24.0168
2.866910 85.239 -24.5510
2.887685 85.356 -25.0848
2.908611 85.473 -25.6188
2.929688 85.589 -26.1532
2.950917 85.704 -26.6886
2.972301 85.818 -27.2254
2.993839 85.932 -27.7640
3.015534 86.045 -28.3042
3.037386 86.156 -28.8460
3.059396 86.267 -29.3891
3.081565 86.377 -29.9332
3.103896 86.487 -30.4778
3.126388 86.595 -31.0225
3.149043 86.703 -31.5670
3.171862 86.810 -32.1108
3.194847 86.917 -32.6537
3.217998 87.023 -33.1955
3.241317 87.129 -33.7360
3.264805 87.235 -34.2754
3.288463 87.339 -34.8139
3.312293 87.444 -35.3519
3.336295 87.547 -35.8899
3.360471 87.650 -36.4283
3.384822 87.752 -36.9670
3.409350 87.854 -37.5063
3.434056 87.954 -38.0459
3.458940 88.054 -38.5856
3.484005 88.154 -39.1251
3.509252 88.252 -39.6641
3.534681 88.351 -40.2024
3.560295 88.449 -40.7396
3.586094 88.546 -41.2757
3.612081 88.643 -41.8104
3.638255 88.740 -42.3440
3.664620 88.836 -42.8765
3.691175 88.932 -43.4083
3.717923 89.028 -43.9396
3.744864 89.122 -44.4707
3.772001 89.217 -45.0016
3.799335 89.311 -45.5325
3.826866 89.404 -46.0633
3.854597 89.497 -46.5939
3.882529 89.589 -47.1241
3.910664 89.681 -47.6538
3.939002 89.773 -48.1830
3.967546 89.864 -48.7117
3.996296 89.956 -49.2398
4.025255 90.046 -49.7675
4.054423 90.137 -50.2949
4.083804 90.227 -50.8222
4.113396 90.317 -51.3495
4.143204 90.407 -51.8770
4.173227 90.496 -52.4048
4.203468 90.585 -52.9328
4.233928 90.673 -53.4611
4.264609 90.761 -53.9897
4.295512 90.849 -54.5187
4.326639 90.937 -55.0481
4.357992 91.024 -55.5780
4.389572 91.111 -56.1085
4.421380 91.197 -56.6397
4.453419 91.284 -57.1718
4.485691 91.370 -57.7049
4.518196 91.455 -58.2390
4.550936 91.541 -58.7741
4.583914 91.626 -59.3102
4.617131 91.710 -59.8472
4.650589 91.795 -60.3853
4.684289 91.878 -60.9244
4.718233 91.962 -61.4646
4.752424 92.045 -62.0060
4.786862 92.128 -62.5489
4.821549 92.210 -63.0934
4.856488 92.292 -63.6394
4.891680 92.373 -64.1870
4.927127 92.454 -64.7361
4.962831 92.534 -65.2865
4.998794 92.614 -65.8380
5.035017 92.694 -66.3906
5.071503 92.773 -66.9441
5.108253 92.851 -67.4988
5.145270 92.929 -68.0548
5.182555 93.007 -68.6121
5.220110 93.084 -69.1710
5.257937 93.160 -69.7313
5.296038 93.236 -70.2928
5.334415 93.311 -70.8552
5.373071 93.385 -71.4182
5.412006 93.459 -71.9817
5.451224 93.533 -72.5455
5.490725 93.605 -73.1097
5.530514 93.677 -73.6744
5.570590 93.749 -74.2396
5.610957 93.820 -74.8055
5.651616 93.890 -75.3718
5.692570 93.960 -75.9384
5.733821 94.029 -76.5049
5.775370 94.098 -77.0711
5.817221 94.166 -77.6367
5.859375 94.233 -78.2018
5.901834 94.300 -78.7663
5.944602 94.366 -79.3306
5.987679 94.432 -79.8945
6.031068 94.497 -80.4579
6.074771 94.562 -81.0209
6.118792 94.626 -81.5831
6.163131 94.690 -82.1443
6.207792 94.754 -82.7047
6.252776 94.817 -83.2640
6.298086 94.879 -83.8225
6.343725 94.942 -84.3803
6.389694 95.003 -84.9374
6.435996 95.065 -85.4938
6.482634 95.126 -86.0494
6.529610 95.187 -86.6044
6.576926 95.247 -87.1587
6.624585 95.307 -87.7124
