* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 05 26, 25 8:36:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A5000 DSP R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.182 -45.8078
0.368865 44.209 -45.6870
0.371538 44.250 -45.5086
0.374230 44.300 -45.2890
0.376942 44.356 -45.0422
0.379673 44.417 -44.7785
0.382424 44.480 -44.5046
0.385196 44.544 -44.2246
0.387987 44.610 -43.9410
0.390798 44.676 -43.6549
0.393630 44.743 -43.3670
0.396483 44.810 -43.0777
0.399356 44.878 -42.7871
0.402250 44.947 -42.4953
0.405165 45.016 -42.2023
0.408101 45.086 -41.9081
0.411058 45.156 -41.6125
0.414037 45.226 -41.3157
0.417037 45.298 -41.0175
0.420059 45.369 -40.7179
0.423103 45.441 -40.4168
0.426169 45.514 -40.1142
0.429257 45.587 -39.8101
0.432368 45.661 -39.5044
0.435501 45.735 -39.1971
0.438656 45.810 -38.8881
0.441835 45.885 -38.5773
0.445037 45.961 -38.2648
0.448262 46.038 -37.9505
0.451510 46.115 -37.6344
0.454782 46.192 -37.3163
0.458077 46.271 -36.9963
0.461397 46.349 -36.6744
0.464740 46.428 -36.3504
0.468108 46.508 -36.0244
0.471500 46.589 -35.6963
0.474917 46.670 -35.3661
0.478358 46.751 -35.0337
0.481825 46.834 -34.6992
0.485316 46.916 -34.3624
0.488833 47.000 -34.0234
0.492375 47.084 -33.6822
0.495943 47.168 -33.3387
0.499537 47.253 -32.9928
0.503157 47.339 -32.6447
0.506803 47.426 -32.2942
0.510475 47.513 -31.9414
0.514175 47.601 -31.5863
0.517900 47.689 -31.2288
0.521653 47.778 -30.8689
0.525434 47.868 -30.5067
0.529241 47.958 -30.1422
0.533076 48.049 -29.7753
0.536939 48.140 -29.4061
0.540830 48.233 -29.0345
0.544749 48.326 -28.6607
0.548696 48.419 -28.2846
0.552673 48.513 -27.9063
0.556677 48.608 -27.5257
0.560711 48.704 -27.1430
0.564774 48.800 -26.7581
0.568867 48.897 -26.3712
0.572989 48.995 -25.9822
0.577141 49.094 -25.5912
0.581324 49.193 -25.1982
0.585536 49.293 -24.8034
0.589779 49.393 -24.4068
0.594053 49.495 -24.0084
0.598358 49.597 -23.6083
0.602694 49.700 -23.2066
0.607061 49.803 -22.8034
0.611460 49.908 -22.3988
0.615891 50.013 -21.9928
0.620354 50.119 -21.5856
0.624849 50.225 -21.1771
0.629377 50.333 -20.7676
0.633938 50.441 -20.3572
0.638532 50.550 -19.9458
0.643159 50.659 -19.5337
0.647819 50.770 -19.1209
0.652514 50.881 -18.7076
0.657242 50.993 -18.2939
0.662005 51.106 -17.8798
0.666802 51.220 -17.4655
0.671634 51.335 -17.0512
0.676501 51.450 -16.6368
0.681403 51.567 -16.2227
0.686341 51.684 -15.8088
0.691314 51.802 -15.3953
0.696324 51.921 -14.9824
0.701370 52.040 -14.5701
0.706452 52.161 -14.1585
0.711571 52.283 -13.7479
0.716728 52.405 -13.3384
0.721921 52.529 -12.9300
0.727153 52.654 -12.5230
0.732422 52.780 -12.1174
0.737729 52.908 -11.7135
0.743075 53.036 -11.3113
0.748460 53.167 -10.9110
0.753883 53.299 -10.5129
0.759346 53.432 -10.1170
0.764849 53.567 -9.7235
0.770391 53.703 -9.3327
0.775974 53.840 -8.9448
0.781597 53.979 -8.5599
0.787261 54.119 -8.1782
0.792966 54.261 -7.8001
0.798712 54.404 -7.4256
0.804500 54.548 -7.0549
0.810329 54.693 -6.6883
0.816201 54.840 -6.3260
0.822116 54.988 -5.9681
0.828073 55.138 -5.6149
0.834074 55.289 -5.2664
0.840118 55.440 -4.9229
0.846206 55.594 -4.5846
0.852338 55.748 -4.2516
0.858514 55.903 -3.9242
0.864735 56.060 -3.6023
0.871001 56.218 -3.2863
0.877313 56.377 -2.9762
0.883670 56.536 -2.6723
0.890074 56.697 -2.3746
0.896524 56.859 -2.0833
0.903020 57.022 -1.7984
0.909564 57.186 -1.5203
0.916155 57.351 -1.2488
0.922794 57.517 -0.9843
0.929481 57.683 -0.7267
0.936216 57.850 -0.4762
0.943000 58.018 -0.2328
0.949834 58.187 0.0033
0.956717 58.356 0.2320
0.963649 58.526 0.4534
0.970632 58.697 0.6672
0.977666 58.868 0.8735
0.984750 59.039 1.0721
0.991886 59.211 1.2631
0.999074 59.383 1.4463
1.006314 59.556 1.6218
1.013606 59.728 1.7894
1.020951 59.901 1.9492
1.028349 60.074 2.1011
1.035801 60.247 2.2451
1.043307 60.419 2.3813
1.050867 60.592 2.5097
1.058482 60.764 2.6304
1.066152 60.936 2.7437
1.073878 61.108 2.8498
1.081660 61.280 2.9494
1.089498 61.451 3.0433
1.097393 61.622 3.1327
1.105345 61.792 3.2188
1.113355 61.963 3.3029
1.121423 62.133 3.3860
1.129549 62.304 3.4685
1.137734 62.474 3.5508
1.145979 62.645 3.6326
1.154283 62.815 3.7138
1.162647 62.986 3.7940
1.171072 63.157 3.8729
1.179558 63.328 3.9501
1.188106 63.499 4.0251
1.196715 63.670 4.0975
1.205387 63.841 4.1671
1.214122 64.012 4.2333
1.222920 64.183 4.2959
1.231782 64.354 4.3545
1.240708 64.526 4.4088
1.249699 64.697 4.4584
1.258754 64.868 4.5031
1.267876 65.040 4.5425
1.277063 65.211 4.5764
1.286318 65.383 4.6045
1.295639 65.555 4.6266
1.305027 65.726 4.6423
1.314484 65.898 4.6515
1.324009 66.070 4.6540
1.333604 66.241 4.6494
1.343268 66.413 4.6376
1.353002 66.585 4.6184
1.362806 66.757 4.5916
1.372681 66.928 4.5569
1.382628 67.100 4.5144
1.392647 67.272 4.4637
1.402739 67.444 4.4048
1.412904 67.616 4.3378
1.423142 67.788 4.2626
1.433455 67.960 4.1797
1.443843 68.131 4.0894
1.454305 68.303 3.9927
1.464844 68.475 3.8906
1.475459 68.646 3.7847
1.486150 68.817 3.6761
1.496920 68.987 3.5657
1.507767 69.157 3.4543
1.518693 69.326 3.3419
1.529698 69.494 3.2285
1.540783 69.663 3.1139
1.551948 69.830 2.9979
1.563194 69.997 2.8799
1.574521 70.164 2.7598
1.585931 70.330 2.6370
1.597423 70.495 2.5112
1.608999 70.660 2.3821
1.620658 70.825 2.2492
1.632402 70.989 2.1122
1.644232 71.153 1.9707
1.656146 71.317 1.8245
1.668147 71.480 1.6731
1.680235 71.643 1.5162
1.692411 71.805 1.3536
1.704675 71.968 1.1848
1.717028 72.130 1.0097
1.729470 72.292 0.8280
1.742003 72.453 0.6393
1.754626 72.615 0.4435
1.767341 72.777 0.2404
1.780147 72.938 0.0300
1.793047 73.100 -0.1877
1.806040 73.261 -0.4124
1.819128 73.423 -0.6436
1.832310 73.584 -0.8805
1.845587 73.744 -1.1221
1.858961 73.905 -1.3675
1.872432 74.064 -1.6159
1.886001 74.223 -1.8668
1.899667 74.381 -2.1201
1.913433 74.538 -2.3756
1.927299 74.695 -2.6333
1.941265 74.851 -2.8934
1.955332 75.007 -3.1560
1.969501 75.161 -3.4213
1.983773 75.315 -3.6895
1.998148 75.469 -3.9608
2.012627 75.622 -4.2355
2.027212 75.774 -4.5137
2.041902 75.926 -4.7957
2.056698 76.077 -5.0817
2.071602 76.228 -5.3720
2.086614 76.379 -5.6668
2.101734 76.529 -5.9663
2.116964 76.679 -6.2707
2.132304 76.829 -6.5803
2.147756 76.978 -6.8952
2.163320 77.128 -7.2154
2.178996 77.276 -7.5407
2.194786 77.425 -7.8710
2.210690 77.573 -8.2059
2.226710 77.720 -8.5448
2.242845 77.867 -8.8874
2.259098 78.012 -9.2333
2.275468 78.157 -9.5823
2.291957 78.301 -9.9341
2.308566 78.445 -10.2887
2.325295 78.587 -10.6460
2.342145 78.729 -11.0059
2.359117 78.870 -11.3685
2.376212 79.010 -11.7337
2.393431 79.150 -12.1017
2.410775 79.289 -12.4725
2.428244 79.428 -12.8461
2.445840 79.565 -13.2227
2.463564 79.703 -13.6024
2.481416 79.840 -13.9853
2.499397 79.976 -14.3715
2.517509 80.112 -14.7613
2.535752 80.248 -15.1547
2.554127 80.383 -15.5519
2.572635 80.517 -15.9529
2.591277 80.651 -16.3578
2.610055 80.783 -16.7663
2.628968 80.915 -17.1785
2.648019 81.046 -17.5940
2.667208 81.176 -18.0126
2.686535 81.305 -18.4341
2.706003 81.434 -18.8581
2.725612 81.561 -19.2846
2.745363 81.688 -19.7132
2.765257 81.814 -20.1438
2.785295 81.939 -20.5762
2.805478 82.064 -21.0104
2.825808 82.187 -21.4462
2.846285 82.311 -21.8837
2.866910 82.433 -22.3228
2.887685 82.555 -22.7637
2.908611 82.677 -23.2067
2.929688 82.798 -23.6520
2.950917 82.917 -24.0999
2.972301 83.037 -24.5508
2.993839 83.155 -25.0046
3.015534 83.272 -25.4614
3.037386 83.388 -25.9208
3.059396 83.503 -26.3827
3.081565 83.618 -26.8465
3.103896 83.731 -27.3121
3.126388 83.844 -27.7790
3.149043 83.956 -28.2468
3.171862 84.067 -28.7153
3.194847 84.177 -29.1843
3.217998 84.287 -29.6536
3.241317 84.396 -30.1232
3.264805 84.504 -30.5932
3.288463 84.612 -31.0639
3.312293 84.719 -31.5357
3.336295 84.825 -32.0091
3.360471 84.930 -32.4843
3.384822 85.034 -32.9614
3.409350 85.137 -33.4402
3.434056 85.240 -33.9204
3.458940 85.341 -34.4018
3.484005 85.442 -34.8838
3.509252 85.541 -35.3660
3.534681 85.640 -35.8481
3.560295 85.739 -36.3298
3.586094 85.836 -36.8107
3.612081 85.933 -37.2908
3.638255 86.030 -37.7702
3.664620 86.126 -38.2491
3.691175 86.221 -38.7281
3.717923 86.315 -39.2073
3.744864 86.408 -39.6870
3.772001 86.501 -40.1674
3.799335 86.592 -40.6481
3.826866 86.683 -41.1291
3.854597 86.773 -41.6099
3.882529 86.863 -42.0902
3.910664 86.952 -42.5697
3.939002 87.040 -43.0480
3.967546 87.128 -43.5251
3.996296 87.216 -44.0008
4.025255 87.303 -44.4753
4.054423 87.389 -44.9487
4.083804 87.475 -45.4214
4.113396 87.560 -45.8937
4.143204 87.644 -46.3655
4.173227 87.728 -46.8369
4.203468 87.811 -47.3080
4.233928 87.894 -47.7784
4.264609 87.977 -48.2481
4.295512 88.059 -48.7170
4.326639 88.140 -49.1849
4.357992 88.222 -49.6516
4.389572 88.303 -50.1174
4.421380 88.384 -50.5822
4.453419 88.464 -51.0463
4.485691 88.545 -51.5097
4.518196 88.624 -51.9728
4.550936 88.704 -52.4356
4.583914 88.783 -52.8982
4.617131 88.862 -53.3608
4.650589 88.941 -53.8235
4.684289 89.019 -54.2863
4.718233 89.098 -54.7492
4.752424 89.176 -55.2122
4.786862 89.254 -55.6755
4.821549 89.332 -56.1391
4.856488 89.411 -56.6032
4.891680 89.488 -57.0679
4.927127 89.566 -57.5334
4.962831 89.644 -58.0002
4.998794 89.721 -58.4683
5.035017 89.799 -58.9380
5.071503 89.876 -59.4097
5.108253 89.954 -59.8833
5.145270 90.031 -60.3590
5.182555 90.108 -60.8369
5.220110 90.185 -61.3170
5.257937 90.263 -61.7994
5.296038 90.340 -62.2843
5.334415 90.416 -62.7720
5.373071 90.493 -63.2627
5.412006 90.570 -63.7566
5.451224 90.646 -64.2539
5.490725 90.722 -64.7550
5.530514 90.798 -65.2598
5.570590 90.874 -65.7684
5.610957 90.950 -66.2808
5.651616 91.025 -66.7969
5.692570 91.100 -67.3169
5.733821 91.175 -67.8406
5.775370 91.249 -68.3682
5.817221 91.323 -68.8997
5.859375 91.397 -69.4354
5.901834 91.470 -69.9752
5.944602 91.542 -70.5193
5.987679 91.614 -71.0675
6.031068 91.686 -71.6195
6.074771 91.756 -72.1750
6.118792 91.827 -72.7337
6.163131 91.896 -73.2955
6.207792 91.965 -73.8602
6.252776 92.033 -74.4279
6.298086 92.100 -74.9986
6.343725 92.167 -75.5722
