* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 05 26, 25 5:57:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A5000 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.502 97.4241
0.368865 34.536 97.1868
0.371538 34.586 96.8352
0.374230 34.647 96.4007
0.376942 34.716 95.9101
0.379673 34.790 95.3833
0.382424 34.867 94.8331
0.385196 34.946 94.2677
0.387987 35.026 93.6918
0.390798 35.108 93.1082
0.393630 35.189 92.5184
0.396483 35.272 91.9234
0.399356 35.355 91.3237
0.402250 35.439 90.7199
0.405165 35.524 90.1121
0.408101 35.609 89.5006
0.411058 35.695 88.8858
0.414037 35.781 88.2679
0.417037 35.868 87.6471
0.420059 35.956 87.0236
0.423103 36.044 86.3978
0.426169 36.133 85.7698
0.429257 36.222 85.1400
0.432368 36.313 84.5085
0.435501 36.403 83.8756
0.438656 36.495 83.2416
0.441835 36.587 82.6067
0.445037 36.680 81.9711
0.448262 36.774 81.3350
0.451510 36.868 80.6988
0.454782 36.963 80.0626
0.458077 37.058 79.4267
0.461397 37.155 78.7912
0.464740 37.251 78.1565
0.468108 37.349 77.5226
0.471500 37.448 76.8898
0.474917 37.547 76.2582
0.478358 37.646 75.6282
0.481825 37.747 74.9997
0.485316 37.848 74.3731
0.488833 37.950 73.7484
0.492375 38.053 73.1259
0.495943 38.157 72.5056
0.499537 38.261 71.8878
0.503157 38.366 71.2724
0.506803 38.472 70.6597
0.510475 38.578 70.0498
0.514175 38.685 69.4427
0.517900 38.793 68.8386
0.521653 38.902 68.2375
0.525434 39.012 67.6396
0.529241 39.122 67.0448
0.533076 39.234 66.4532
0.536939 39.346 65.8650
0.540830 39.459 65.2801
0.544749 39.572 64.6986
0.548696 39.687 64.1205
0.552673 39.802 63.5458
0.556677 39.918 62.9746
0.560711 40.035 62.4069
0.564774 40.153 61.8426
0.568867 40.272 61.2818
0.572989 40.392 60.7245
0.577141 40.512 60.1706
0.581324 40.633 59.6201
0.585536 40.756 59.0731
0.589779 40.879 58.5294
0.594053 41.003 57.9891
0.598358 41.128 57.4520
0.602694 41.253 56.9183
0.607061 41.380 56.3878
0.611460 41.508 55.8605
0.615891 41.636 55.3363
0.620354 41.766 54.8152
0.624849 41.896 54.2972
0.629377 42.028 53.7821
0.633938 42.160 53.2699
0.638532 42.293 52.7606
0.643159 42.428 52.2541
0.647819 42.563 51.7502
0.652514 42.699 51.2491
0.657242 42.836 50.7506
0.662005 42.974 50.2546
0.666802 43.114 49.7610
0.671634 43.254 49.2699
0.676501 43.395 48.7811
0.681403 43.537 48.2945
0.686341 43.681 47.8102
0.691314 43.825 47.3280
0.696324 43.970 46.8480
0.701370 44.116 46.3700
0.706452 44.263 45.8943
0.711571 44.411 45.4209
0.716728 44.558 44.9501
0.721921 44.706 44.4825
0.727153 44.853 44.0187
0.732422 44.999 43.5597
0.737729 45.144 43.1068
0.743075 45.288 42.6611
0.748460 45.431 42.2234
0.753883 45.575 41.7942
0.759346 45.718 41.3737
0.764849 45.862 40.9620
0.770391 46.006 40.5589
0.775974 46.151 40.1641
0.781597 46.297 39.7774
0.787261 46.443 39.3985
0.792966 46.590 39.0270
0.798712 46.737 38.6625
0.804500 46.885 38.3049
0.810329 47.034 37.9537
0.816201 47.184 37.6086
0.822116 47.334 37.2692
0.828073 47.485 36.9353
0.834074 47.636 36.6066
0.840118 47.788 36.2827
0.846206 47.940 35.9633
0.852338 48.094 35.6481
0.858514 48.247 35.3368
0.864735 48.401 35.0292
0.871001 48.556 34.7249
0.877313 48.711 34.4237
0.883670 48.867 34.1252
0.890074 49.024 33.8293
0.896524 49.180 33.5356
0.903020 49.337 33.2439
0.909564 49.495 32.9540
0.916155 49.653 32.6655
0.922794 49.812 32.3783
0.929481 49.970 32.0921
0.936216 50.130 31.8067
0.943000 50.289 31.5218
0.949834 50.449 31.2373
0.956717 50.609 30.9529
0.963649 50.770 30.6684
0.970632 50.930 30.3836
0.977666 51.091 30.0983
0.984750 51.252 29.8123
0.991886 51.414 29.5253
0.999074 51.575 29.2373
1.006314 51.737 28.9481
1.013606 51.898 28.6573
1.020951 52.060 28.3650
1.028349 52.222 28.0709
1.035801 52.383 27.7748
1.043307 52.545 27.4766
1.050867 52.707 27.1763
1.058482 52.868 26.8737
1.066152 53.029 26.5689
1.073878 53.191 26.2621
1.081660 53.351 25.9534
1.089498 53.512 25.6436
1.097393 53.672 25.3333
1.105345 53.832 25.0236
1.113355 53.991 24.7155
1.121423 54.150 24.4096
1.129549 54.309 24.1065
1.137734 54.467 23.8065
1.145979 54.624 23.5095
1.154283 54.781 23.2157
1.162647 54.938 22.9247
1.171072 55.094 22.6363
1.179558 55.249 22.3505
1.188106 55.405 22.0669
1.196715 55.559 21.7853
1.205387 55.714 21.5054
1.214122 55.867 21.2270
1.222920 56.021 20.9500
1.231782 56.174 20.6739
1.240708 56.327 20.3987
1.249699 56.480 20.1240
1.258754 56.632 19.8497
1.267876 56.784 19.5756
1.277063 56.936 19.3013
1.286318 57.087 19.0268
1.295639 57.239 18.7517
1.305027 57.390 18.4759
1.314484 57.541 18.1992
1.324009 57.692 17.9213
1.333604 57.843 17.6421
1.343268 57.995 17.3613
1.353002 58.146 17.0788
1.362806 58.297 16.7944
1.372681 58.449 16.5079
1.382628 58.600 16.2191
1.392647 58.752 15.9279
1.402739 58.905 15.6340
1.412904 59.057 15.3376
1.423142 59.211 15.0385
1.433455 59.364 14.7368
1.443843 59.518 14.4330
1.454305 59.672 14.1274
1.464844 59.826 13.8209
1.475459 59.980 13.5142
1.486150 60.134 13.2084
1.496920 60.288 12.9039
1.507767 60.441 12.6011
1.518693 60.595 12.3001
1.529698 60.747 12.0007
1.540783 60.899 11.7029
1.551948 61.051 11.4061
1.563194 61.203 11.1103
1.574521 61.354 10.8149
1.585931 61.504 10.5197
1.597423 61.655 10.2242
1.608999 61.805 9.9281
1.620658 61.954 9.6311
1.632402 62.104 9.3329
1.644232 62.253 9.0329
1.656146 62.402 8.7310
1.668147 62.550 8.4268
1.680235 62.699 8.1200
1.692411 62.847 7.8102
1.704675 62.995 7.4971
1.717028 63.144 7.1805
1.729470 63.292 6.8599
1.742003 63.440 6.5352
1.754626 63.588 6.2060
1.767341 63.737 5.8723
1.780147 63.885 5.5338
1.793047 64.034 5.1905
1.806040 64.182 4.8426
1.819128 64.331 4.4904
1.832310 64.479 4.1346
1.845587 64.628 3.7759
1.858961 64.776 3.4149
1.872432 64.924 3.0524
1.886001 65.071 2.6888
1.899667 65.218 2.3242
1.913433 65.364 1.9587
1.927299 65.510 1.5924
1.941265 65.656 1.2252
1.955332 65.801 0.8570
1.969501 65.945 0.4877
1.983773 66.090 0.1170
1.998148 66.233 -0.2551
2.012627 66.377 -0.6289
2.027212 66.520 -1.0045
2.041902 66.663 -1.3821
2.056698 66.806 -1.7619
2.071602 66.948 -2.1441
2.086614 67.091 -2.5290
2.101734 67.233 -2.9167
2.116964 67.375 -3.3074
2.132304 67.517 -3.7013
2.147756 67.659 -4.0986
2.163320 67.801 -4.4992
2.178996 67.942 -4.9031
2.194786 68.084 -5.3101
2.210690 68.225 -5.7199
2.226710 68.366 -6.1321
2.242845 68.506 -6.5464
2.259098 68.646 -6.9625
2.275468 68.785 -7.3803
2.291957 68.924 -7.7996
2.308566 69.062 -8.2204
2.325295 69.200 -8.6426
2.342145 69.337 -9.0663
2.359117 69.474 -9.4916
2.376212 69.610 -9.9185
2.393431 69.746 -10.3472
2.410775 69.882 -10.7776
2.428244 70.017 -11.2100
2.445840 70.152 -11.6445
2.463564 70.287 -12.0812
2.481416 70.421 -12.5202
2.499397 70.555 -12.9617
2.517509 70.689 -13.4058
2.535752 70.823 -13.8526
2.554127 70.956 -14.3022
2.572635 71.089 -14.7544
2.591277 71.222 -15.2092
2.610055 71.354 -15.6664
2.628968 71.485 -16.1259
2.648019 71.616 -16.5876
2.667208 71.747 -17.0513
2.686535 71.877 -17.5168
2.706003 72.006 -17.9841
2.725612 72.135 -18.4532
2.745363 72.263 -18.9240
2.765257 72.391 -19.3964
2.785295 72.518 -19.8705
2.805478 72.645 -20.3463
2.825808 72.771 -20.8238
2.846285 72.898 -21.3031
2.866910 73.023 -21.7843
2.887685 73.149 -22.2675
2.908611 73.274 -22.7529
2.929688 73.399 -23.2405
2.950917 73.523 -23.7305
2.972301 73.647 -24.2230
2.993839 73.770 -24.7178
3.015534 73.893 -25.2149
3.037386 74.015 -25.7142
3.059396 74.136 -26.2155
3.081565 74.257 -26.7187
3.103896 74.377 -27.2235
3.126388 74.497 -27.7300
3.149043 74.616 -28.2380
3.171862 74.735 -28.7473
3.194847 74.853 -29.2580
3.217998 74.971 -29.7701
3.241317 75.089 -30.2837
3.264805 75.206 -30.7988
3.288463 75.322 -31.3156
3.312293 75.438 -31.8344
3.336295 75.554 -32.3553
3.360471 75.669 -32.8784
3.384822 75.783 -33.4036
3.409350 75.897 -33.9310
3.434056 76.010 -34.4603
3.458940 76.123 -34.9913
3.484005 76.234 -35.5239
3.509252 76.346 -36.0580
3.534681 76.457 -36.5933
3.560295 76.567 -37.1299
3.586094 76.677 -37.6676
3.612081 76.786 -38.2066
3.638255 76.895 -38.7470
3.664620 77.003 -39.2890
3.691175 77.111 -39.8330
3.717923 77.218 -40.3790
3.744864 77.325 -40.9272
3.772001 77.431 -41.4775
3.799335 77.536 -42.0298
3.826866 77.640 -42.5837
3.854597 77.744 -43.1391
3.882529 77.848 -43.6958
3.910664 77.950 -44.2535
3.939002 78.052 -44.8121
3.967546 78.154 -45.3717
3.996296 78.255 -45.9323
4.025255 78.356 -46.4941
4.054423 78.455 -47.0574
4.083804 78.554 -47.6225
4.113396 78.653 -48.1896
4.143204 78.751 -48.7584
4.173227 78.848 -49.3290
4.203468 78.944 -49.9009
4.233928 79.040 -50.4740
4.264609 79.135 -51.0478
4.295512 79.229 -51.6222
4.326639 79.323 -52.1971
4.357992 79.416 -52.7726
4.389572 79.508 -53.3488
4.421380 79.600 -53.9260
4.453419 79.690 -54.5045
4.485691 79.781 -55.0845
4.518196 79.870 -55.6658
4.550936 79.958 -56.2483
4.583914 80.046 -56.8315
4.617131 80.133 -57.4150
4.650589 80.220 -57.9986
4.684289 80.305 -58.5819
4.718233 80.390 -59.1650
4.752424 80.475 -59.7479
4.786862 80.558 -60.3309
4.821549 80.641 -60.9142
4.856488 80.723 -61.4980
4.891680 80.804 -62.0822
4.927127 80.884 -62.6665
4.962831 80.963 -63.2507
4.998794 81.042 -63.8342
5.035017 81.120 -64.4167
5.071503 81.198 -64.9979
5.108253 81.274 -65.5780
5.145270 81.350 -66.1568
5.182555 81.426 -66.7349
5.220110 81.500 -67.3121
5.257937 81.574 -67.8887
5.296038 81.647 -68.4643
5.334415 81.719 -69.0388
5.373071 81.791 -69.6116
5.412006 81.862 -70.1826
5.451224 81.932 -70.7515
5.490725 82.002 -71.3184
5.530514 82.072 -71.8832
5.570590 82.140 -72.4462
5.610957 82.209 -73.0076
5.651616 82.276 -73.5672
5.692570 82.343 -74.1250
5.733821 82.410 -74.6809
5.775370 82.476 -75.2346
5.817221 82.542 -75.7860
5.859375 82.607 -76.3352
5.901834 82.672 -76.8822
5.944602 82.737 -77.4271
5.987679 82.801 -77.9701
6.031068 82.865 -78.5113
6.074771 82.929 -79.0508
6.118792 82.993 -79.5888
6.163131 83.056 -80.1252
6.207792 83.119 -80.6600
6.252776 83.182 -81.1935
6.298086 83.245 -81.7256
6.343725 83.308 -82.2566
6.389694 83.370 -82.7868
6.435996 83.433 -83.3163
6.482634 83.495 -83.8454
6.529610 83.557 -84.3743
6.576926 83.619 -84.9033
6.624585 83.681 -85.4325
6.672590 83.743 -85.9619
6.720942 83.805 -86.4919
6.769645 83.867 -87.0226
6.818700 83.928 -87.5542
