* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 05 26, 25 6:01:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A5000 nofilter L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 29.436 -154.0772
0.368865 29.459 -154.2640
0.371538 29.494 -154.5465
0.374230 29.537 -154.9057
0.376942 29.585 -155.3253
0.379673 29.637 -155.7934
0.382424 29.690 -156.3022
0.385196 29.746 -156.8473
0.387987 29.802 -157.4264
0.390798 29.858 -158.0387
0.393630 29.916 -158.6844
0.396483 29.973 -159.3642
0.399356 30.032 -160.0789
0.402250 30.090 -160.8298
0.405165 30.149 -161.6182
0.408101 30.209 -162.4452
0.411058 30.269 -163.3124
0.414037 30.329 -164.2212
0.417037 30.390 -165.1730
0.420059 30.451 -166.1692
0.423103 30.513 -167.2113
0.426169 30.575 -168.3009
0.429257 30.638 -169.4392
0.432368 30.701 -170.6278
0.435501 30.764 -171.8678
0.438656 30.828 -173.1608
0.441835 30.893 -174.5077
0.445037 30.957 -175.9096
0.448262 31.023 -177.3675
0.451510 31.089 -178.8820
0.454782 31.155 179.5462
0.458077 31.222 177.9171
0.461397 31.289 176.2304
0.464740 31.357 174.4868
0.468108 31.425 172.6867
0.471500 31.494 170.8312
0.474917 31.563 168.9220
0.478358 31.633 166.9608
0.481825 31.703 164.9501
0.485316 31.774 162.8927
0.488833 31.845 160.7918
0.492375 31.917 158.6513
0.495943 31.989 156.4752
0.499537 32.062 154.2681
0.503157 32.136 152.0347
0.506803 32.210 149.7803
0.510475 32.284 147.5101
0.514175 32.359 145.2294
0.517900 32.435 142.9438
0.521653 32.511 140.6585
0.525434 32.587 138.3788
0.529241 32.664 136.1097
0.533076 32.742 133.8560
0.536939 32.821 131.6219
0.540830 32.899 129.4115
0.544749 32.979 127.2285
0.548696 33.059 125.0758
0.552673 33.140 122.9564
0.556677 33.221 120.8724
0.560711 33.303 118.8257
0.564774 33.385 116.8177
0.568867 33.468 114.8495
0.572989 33.551 112.9217
0.577141 33.636 111.0348
0.581324 33.720 109.1888
0.585536 33.806 107.3836
0.589779 33.892 105.6189
0.594053 33.979 103.8940
0.598358 34.066 102.2084
0.602694 34.154 100.5612
0.607061 34.242 98.9514
0.611460 34.332 97.3782
0.615891 34.421 95.8405
0.620354 34.512 94.3372
0.624849 34.603 92.8672
0.629377 34.695 91.4294
0.633938 34.787 90.0229
0.638532 34.881 88.6465
0.643159 34.974 87.2991
0.647819 35.069 85.9798
0.652514 35.164 84.6875
0.657242 35.260 83.4214
0.662005 35.357 82.1805
0.666802 35.454 80.9639
0.671634 35.552 79.7708
0.676501 35.651 78.6005
0.681403 35.750 77.4521
0.686341 35.851 76.3251
0.691314 35.952 75.2189
0.696324 36.054 74.1330
0.701370 36.158 73.0671
0.706452 36.263 72.0213
0.711571 36.371 70.9960
0.716728 36.483 69.9922
0.721921 36.600 69.0118
0.727153 36.725 68.0577
0.732422 36.859 67.1339
0.737729 37.003 66.2446
0.743075 37.158 65.3932
0.748460 37.322 64.5822
0.753883 37.494 63.8118
0.759346 37.673 63.0814
0.764849 37.858 62.3893
0.770391 38.048 61.7333
0.775974 38.244 61.1111
0.781597 38.444 60.5200
0.787261 38.650 59.9577
0.792966 38.861 59.4218
0.798712 39.076 58.9101
0.804500 39.296 58.4204
0.810329 39.521 57.9508
0.816201 39.750 57.4994
0.822116 39.984 57.0644
0.828073 40.222 56.6441
0.834074 40.464 56.2371
0.840118 40.710 55.8419
0.846206 40.960 55.4571
0.852338 41.214 55.0815
0.858514 41.472 54.7140
0.864735 41.734 54.3532
0.871001 41.999 53.9984
0.877313 42.267 53.6484
0.883670 42.538 53.3024
0.890074 42.812 52.9594
0.896524 43.090 52.6187
0.903020 43.369 52.2796
0.909564 43.651 51.9413
0.916155 43.935 51.6031
0.922794 44.221 51.2644
0.929481 44.509 50.9247
0.936216 44.798 50.5833
0.943000 45.089 50.2397
0.949834 45.380 49.8935
0.956717 45.672 49.5441
0.963649 45.965 49.1912
0.970632 46.258 48.8342
0.977666 46.550 48.4729
0.984750 46.842 48.1068
0.991886 47.134 47.7356
0.999074 47.424 47.3590
1.006314 47.712 46.9767
1.013606 47.999 46.5883
1.020951 48.283 46.1936
1.028349 48.565 45.7924
1.035801 48.843 45.3846
1.043307 49.119 44.9698
1.050867 49.390 44.5481
1.058482 49.657 44.1195
1.066152 49.920 43.6843
1.073878 50.177 43.2430
1.081660 50.430 42.7964
1.089498 50.678 42.3462
1.097393 50.922 41.8943
1.105345 51.161 41.4431
1.113355 51.396 40.9951
1.121423 51.627 40.5522
1.129549 51.856 40.1156
1.137734 52.081 39.6859
1.145979 52.303 39.2634
1.154283 52.523 38.8478
1.162647 52.740 38.4388
1.171072 52.954 38.0361
1.179558 53.165 37.6390
1.188106 53.375 37.2472
1.196715 53.581 36.8600
1.205387 53.786 36.4769
1.214122 53.988 36.0975
1.222920 54.188 35.7211
1.231782 54.386 35.3472
1.240708 54.582 34.9755
1.249699 54.776 34.6053
1.258754 54.968 34.2361
1.267876 55.159 33.8676
1.277063 55.348 33.4992
1.286318 55.536 33.1305
1.295639 55.722 32.7610
1.305027 55.907 32.3904
1.314484 56.091 32.0181
1.324009 56.275 31.6437
1.333604 56.457 31.2669
1.343268 56.639 30.8872
1.353002 56.821 30.5042
1.362806 57.003 30.1176
1.372681 57.185 29.7269
1.382628 57.367 29.3318
1.392647 57.549 28.9319
1.402739 57.732 28.5270
1.412904 57.916 28.1169
1.423142 58.101 27.7014
1.433455 58.287 27.2808
1.443843 58.473 26.8552
1.454305 58.661 26.4257
1.464844 58.849 25.9933
1.475459 59.036 25.5593
1.486150 59.224 25.1254
1.496920 59.410 24.6923
1.507767 59.596 24.2610
1.518693 59.780 23.8317
1.529698 59.963 23.4044
1.540783 60.145 22.9790
1.551948 60.326 22.5553
1.563194 60.505 22.1329
1.574521 60.683 21.7114
1.585931 60.859 21.2905
1.597423 61.035 20.8698
1.608999 61.210 20.4489
1.620658 61.383 20.0272
1.632402 61.556 19.6046
1.644232 61.727 19.1804
1.656146 61.898 18.7545
1.668147 62.068 18.3262
1.680235 62.238 17.8953
1.692411 62.407 17.4612
1.704675 62.575 17.0237
1.717028 62.743 16.5823
1.729470 62.910 16.1366
1.742003 63.078 15.6863
1.754626 63.245 15.2309
1.767341 63.412 14.7701
1.780147 63.579 14.3039
1.793047 63.746 13.8319
1.806040 63.914 13.3542
1.819128 64.081 12.8711
1.832310 64.247 12.3831
1.845587 64.413 11.8907
1.858961 64.579 11.3951
1.872432 64.744 10.8968
1.886001 64.907 10.3964
1.899667 65.070 9.8944
1.913433 65.231 9.3912
1.927299 65.392 8.8870
1.941265 65.551 8.3818
1.955332 65.710 7.8760
1.969501 65.867 7.3694
1.983773 66.024 6.8623
1.998148 66.179 6.3544
2.012627 66.334 5.8459
2.027212 66.489 5.3367
2.041902 66.642 4.8265
2.056698 66.795 4.3155
2.071602 66.947 3.8033
2.086614 67.099 3.2898
2.101734 67.250 2.7748
2.116964 67.401 2.2582
2.132304 67.552 1.7396
2.147756 67.703 1.2188
2.163320 67.853 0.6956
2.178996 68.002 0.1697
2.194786 68.152 -0.3591
2.210690 68.300 -0.8907
2.226710 68.448 -1.4252
2.242845 68.595 -1.9624
2.259098 68.741 -2.5021
2.275468 68.886 -3.0438
2.291957 69.030 -3.5875
2.308566 69.173 -4.1327
2.325295 69.315 -4.6791
2.342145 69.457 -5.2264
2.359117 69.597 -5.7744
2.376212 69.736 -6.3229
2.393431 69.875 -6.8717
2.410775 70.013 -7.4207
2.428244 70.151 -7.9697
2.445840 70.287 -8.5187
2.463564 70.424 -9.0676
2.481416 70.559 -9.6165
2.499397 70.695 -10.1654
2.517509 70.830 -10.7146
2.535752 70.964 -11.2644
2.554127 71.098 -11.8151
2.572635 71.232 -12.3671
2.591277 71.364 -12.9208
2.610055 71.496 -13.4764
2.628968 71.627 -14.0341
2.648019 71.757 -14.5936
2.667208 71.885 -15.1547
2.686535 72.013 -15.7172
2.706003 72.141 -16.2804
2.725612 72.267 -16.8443
2.745363 72.392 -17.4083
2.765257 72.517 -17.9722
2.785295 72.641 -18.5355
2.805478 72.765 -19.0981
2.825808 72.888 -19.6598
2.846285 73.011 -20.2203
2.866910 73.133 -20.7796
2.887685 73.254 -21.3378
2.908611 73.375 -21.8951
2.929688 73.496 -22.4520
2.950917 73.616 -23.0089
2.972301 73.735 -23.5662
2.993839 73.854 -24.1241
3.015534 73.972 -24.6829
3.037386 74.089 -25.2424
3.059396 74.205 -25.8023
3.081565 74.320 -26.3624
3.103896 74.435 -26.9225
3.126388 74.549 -27.4821
3.149043 74.662 -28.0410
3.171862 74.775 -28.5989
3.194847 74.887 -29.1556
3.217998 75.000 -29.7109
3.241317 75.111 -30.2646
3.264805 75.223 -30.8171
3.288463 75.334 -31.3683
3.312293 75.444 -31.9185
3.336295 75.554 -32.4683
3.360471 75.664 -33.0177
3.384822 75.772 -33.5671
3.409350 75.881 -34.1165
3.434056 75.988 -34.6657
3.458940 76.095 -35.2148
3.484005 76.202 -35.7635
3.509252 76.308 -36.3118
3.534681 76.413 -36.8595
3.560295 76.519 -37.4065
3.586094 76.624 -37.9527
3.612081 76.728 -38.4980
3.638255 76.833 -39.0427
3.664620 76.937 -39.5867
3.691175 77.041 -40.1304
3.717923 77.144 -40.6738
3.744864 77.247 -41.2172
3.772001 77.350 -41.7606
3.799335 77.452 -42.3041
3.826866 77.554 -42.8478
3.854597 77.655 -43.3917
3.882529 77.756 -43.9357
3.910664 77.856 -44.4800
3.939002 77.957 -45.0244
3.967546 78.057 -45.5692
3.996296 78.156 -46.1144
4.025255 78.256 -46.6602
4.054423 78.355 -47.2066
4.083804 78.454 -47.7538
4.113396 78.552 -48.3020
4.143204 78.650 -48.8511
4.173227 78.747 -49.4012
4.203468 78.845 -49.9521
4.233928 78.941 -50.5040
4.264609 79.038 -51.0569
4.295512 79.133 -51.6107
4.326639 79.229 -52.1655
4.357992 79.324 -52.7217
4.389572 79.418 -53.2792
4.421380 79.512 -53.8384
4.453419 79.606 -54.3993
4.485691 79.699 -54.9620
4.518196 79.791 -55.5266
4.550936 79.883 -56.0926
4.583914 79.974 -56.6600
4.617131 80.065 -57.2284
4.650589 80.155 -57.7979
4.684289 80.245 -58.3682
4.718233 80.333 -58.9394
4.752424 80.421 -59.5118
4.786862 80.509 -60.0856
4.821549 80.595 -60.6609
4.856488 80.681 -61.2379
4.891680 80.766 -61.8163
4.927127 80.851 -62.3959
4.962831 80.934 -62.9761
4.998794 81.017 -63.5565
5.035017 81.099 -64.1368
5.071503 81.180 -64.7167
5.108253 81.260 -65.2963
5.145270 81.339 -65.8756
5.182555 81.418 -66.4551
5.220110 81.495 -67.0347
5.257937 81.572 -67.6144
5.296038 81.648 -68.1938
5.334415 81.723 -68.7723
5.373071 81.797 -69.3495
5.412006 81.870 -69.9249
5.451224 81.943 -70.4980
5.490725 82.014 -71.0690
5.530514 82.085 -71.6379
5.570590 82.155 -72.2050
5.610957 82.224 -72.7701
5.651616 82.292 -73.3334
5.692570 82.360 -73.8943
5.733821 82.427 -74.4526
5.775370 82.493 -75.0078
5.817221 82.559 -75.5598
5.859375 82.624 -76.1083
5.901834 82.688 -76.6535
5.944602 82.752 -77.1955
5.987679 82.816 -77.7344
6.031068 82.879 -78.2704
6.074771 82.941 -78.8033
6.118792 83.003 -79.3334
6.163131 83.065 -79.8604
6.207792 83.127 -80.3842
6.252776 83.188 -80.9050
6.298086 83.249 -81.4229
6.343725 83.310 -81.9381
6.389694 83.371 -82.4509
6.435996 83.432 -82.9617
6.482634 83.492 -83.4706
6.529610 83.552 -83.9779
6.576926 83.613 -84.4838
6.624585 83.673 -84.9886
6.672590 83.733 -85.4923
6.720942 83.793 -85.9951
