* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:49:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MS2 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 93.205 -132.0988
20.507813 93.231 -132.2459
20.874023 93.292 -132.6956
21.240234 93.330 -133.2994
21.606445 93.340 -133.9681
21.972656 93.339 -134.5756
22.338867 93.354 -135.0186
22.705078 93.406 -135.2899
23.071289 93.506 -135.4721
23.437500 93.640 -135.6676
23.803711 93.782 -135.9247
24.169922 93.908 -136.2143
24.536133 94.003 -136.4688
24.902344 94.070 -136.6432
25.268555 94.119 -136.7525
25.634766 94.161 -136.8633
26.000977 94.202 -137.0500
26.367188 94.240 -137.3463
26.733399 94.273 -137.7269
27.099610 94.301 -138.1293
27.465821 94.329 -138.4935
27.832032 94.361 -138.7930
28.198243 94.400 -139.0422
28.564454 94.445 -139.2792
28.930665 94.491 -139.5394
29.296876 94.534 -139.8378
29.663087 94.570 -140.1682
30.029298 94.599 -140.5128
30.395509 94.622 -140.8511
30.761720 94.641 -141.1647
31.127931 94.656 -141.4389
31.494142 94.671 -141.6654
31.860353 94.686 -141.8445
32.226563 94.706 -141.9883
32.592774 94.731 -142.1167
32.958985 94.760 -142.2474
33.325196 94.791 -142.3852
33.691407 94.823 -142.5200
34.057618 94.853 -142.6336
34.423829 94.882 -142.7127
34.790040 94.908 -142.7575
35.156251 94.933 -142.7841
35.522462 94.956 -142.8178
35.888673 94.975 -142.8827
36.254884 94.990 -142.9913
36.621095 95.001 -143.1406
36.987306 95.010 -143.3138
37.353517 95.020 -143.4870
37.719728 95.035 -143.6391
38.085939 95.055 -143.7594
38.452150 95.082 -143.8508
38.818361 95.113 -143.9255
39.184572 95.146 -143.9977
39.550783 95.175 -144.0759
39.916994 95.199 -144.1608
40.283205 95.216 -144.2477
40.649416 95.229 -144.3328
41.015627 95.241 -144.4173
41.381838 95.253 -144.5065
41.748049 95.266 -144.6055
42.114260 95.281 -144.7144
42.480471 95.296 -144.8268
42.846682 95.310 -144.9341
43.212893 95.324 -145.0305
43.579103 95.337 -145.1161
43.945314 95.350 -145.1954
44.311525 95.362 -145.2730
44.677736 95.373 -145.3498
45.043947 95.383 -145.4231
45.410158 95.392 -145.4890
45.776369 95.402 -145.5453
46.142580 95.411 -145.5940
46.508791 95.421 -145.6397
46.875002 95.431 -145.6875
47.241213 95.440 -145.7402
47.607424 95.448 -145.7976
47.973635 95.456 -145.8566
48.339846 95.462 -145.9129
48.706057 95.469 -145.9622
49.072268 95.476 -146.0012
49.438479 95.483 -146.0287
49.804690 95.491 -146.0459
50.170901 95.501 -146.0568
50.537112 95.512 -146.0681
50.903323 95.522 -146.0859
51.269534 95.533 -146.1142
51.635745 95.542 -146.1526
52.001956 95.551 -146.1974
52.368167 95.558 -146.2436
52.734378 95.564 -146.2873
53.100589 95.570 -146.3268
53.466800 95.577 -146.3622
53.833011 95.583 -146.3945
54.199222 95.589 -146.4244
54.565432 95.595 -146.4520
54.931643 95.600 -146.4772
55.297854 95.605 -146.5002
55.664065 95.610 -146.5221
56.030276 95.614 -146.5443
56.396487 95.619 -146.5680
56.762698 95.624 -146.5937
57.128909 95.628 -146.6210
57.495120 95.631 -146.6488
57.861331 95.634 -146.6762
58.227542 95.637 -146.7026
58.593753 95.639 -146.7284
58.959964 95.641 -146.7541
59.326175 95.642 -146.7804
59.692386 95.643 -146.8076
60.058597 95.645 -146.8356
60.424808 95.646 -146.8640
60.791019 95.647 -146.8929
61.157230 95.648 -146.9231
61.523441 95.649 -146.9559
61.889652 95.651 -146.9921
62.255863 95.652 -147.0316
62.622074 95.652 -147.0726
62.988285 95.653 -147.1129
63.354496 95.653 -147.1507
63.720707 95.654 -147.1859
64.086918 95.655 -147.2199
64.453129 95.656 -147.2551
64.819340 95.658 -147.2932
65.185551 95.660 -147.3345
65.551762 95.661 -147.3773
65.917972 95.663 -147.4185
66.284183 95.665 -147.4554
66.650394 95.667 -147.4865
67.016605 95.670 -147.5121
67.382816 95.673 -147.5340
67.749027 95.677 -147.5542
68.115238 95.681 -147.5743
68.481449 95.684 -147.5944
68.847660 95.686 -147.6138
69.213871 95.687 -147.6312
69.580082 95.687 -147.6460
69.946293 95.686 -147.6586
70.312504 95.685 -147.6702
70.678715 95.683 -147.6823
71.044926 95.682 -147.6963
71.411137 95.681 -147.7126
71.777348 95.680 -147.7310
72.143559 95.679 -147.7505
72.509770 95.679 -147.7700
72.875981 95.678 -147.7881
73.242192 95.678 -147.8041
73.608403 95.678 -147.8175
73.974614 95.678 -147.8279
74.340825 95.678 -147.8356
74.707036 95.678 -147.8409
75.073247 95.677 -147.8442
75.439458 95.676 -147.8459
75.805669 95.675 -147.8466
76.171880 95.673 -147.8469
76.538091 95.671 -147.8474
76.904301 95.669 -147.8488
77.270512 95.667 -147.8512
77.636723 95.665 -147.8543
78.002934 95.663 -147.8570
78.369145 95.661 -147.8581
78.735356 95.659 -147.8561
79.101567 95.658 -147.8503
79.467778 95.656 -147.8410
79.833989 95.654 -147.8292
80.200200 95.653 -147.8166
80.566411 95.651 -147.8050
80.932622 95.649 -147.7961
81.298833 95.647 -147.7908
81.665044 95.644 -147.7891
82.031255 95.642 -147.7901
82.397466 95.640 -147.7924
82.763677 95.638 -147.7944
83.129888 95.636 -147.7945
83.496099 95.634 -147.7923
83.862310 95.632 -147.7878
84.228521 95.630 -147.7818
84.594732 95.628 -147.7751
84.960943 95.626 -147.7686
85.327154 95.624 -147.7623
85.693365 95.622 -147.7556
86.059576 95.620 -147.7475
86.425787 95.617 -147.7374
86.791998 95.615 -147.7262
87.158209 95.612 -147.7165
87.524420 95.609 -147.7127
87.890631 95.605 -147.7186
88.256841 95.599 -147.7359
88.623052 95.592 -147.7619
88.989263 95.584 -147.7899
89.355474 95.575 -147.8111
89.721685 95.566 -147.8175
90.087896 95.560 -147.8050
90.454107 95.557 -147.7741
90.820318 95.557 -147.7299
91.186529 95.559 -147.6791
91.552740 95.562 -147.6282
91.918951 95.565 -147.5817
92.285162 95.566 -147.5424
92.651373 95.566 -147.5111
93.017584 95.563 -147.4878
93.383795 95.560 -147.4715
93.750006 95.555 -147.4608
94.116217 95.549 -147.4534
94.482428 95.544 -147.4469
94.848639 95.539 -147.4391
95.214850 95.535 -147.4285
95.581061 95.531 -147.4148
95.947272 95.527 -147.3985
96.313483 95.523 -147.3804
96.679694 95.519 -147.3615
97.045905 95.515 -147.3427
97.412116 95.511 -147.3241
97.778327 95.506 -147.3056
98.144538 95.501 -147.2867
98.510749 95.496 -147.2669
98.876960 95.491 -147.2456
99.243170 95.486 -147.2222
99.609381 95.480 -147.1965
99.975592 95.474 -147.1687
100.341803 95.468 -147.1388
100.708014 95.462 -147.1074
101.074225 95.456 -147.0746
101.440436 95.450 -147.0409
101.806647 95.444 -147.0065
102.172858 95.438 -146.9717
102.539069 95.433 -146.9366
102.905280 95.427 -146.9018
103.271491 95.421 -146.8678
103.637702 95.415 -146.8354
104.003913 95.409 -146.8052
104.370124 95.403 -146.7777
104.736335 95.397 -146.7527
105.102546 95.391 -146.7298
105.468757 95.386 -146.7078
105.834968 95.380 -146.6856
106.201179 95.374 -146.6621
106.567390 95.368 -146.6369
106.933601 95.362 -146.6096
107.299812 95.356 -146.5806
107.666023 95.349 -146.5503
108.032234 95.343 -146.5194
108.398445 95.336 -146.4884
108.764656 95.330 -146.4576
109.130867 95.323 -146.4270
109.497078 95.316 -146.3963
109.863289 95.309 -146.3649
110.229500 95.301 -146.3321
110.595710 95.294 -146.2969
110.961921 95.286 -146.2585
111.328132 95.277 -146.2158
111.694343 95.269 -146.1684
112.060554 95.260 -146.1159
112.426765 95.252 -146.0588
112.792976 95.244 -145.9981
113.159187 95.238 -145.9348
113.525398 95.232 -145.8703
113.891609 95.226 -145.8055
114.257820 95.222 -145.7414
114.624031 95.217 -145.6783
114.990242 95.213 -145.6164
115.356453 95.208 -145.5553
115.722664 95.202 -145.4947
116.088875 95.196 -145.4337
116.455086 95.188 -145.3716
116.821297 95.179 -145.3085
117.187508 95.168 -145.2449
117.553719 95.156 -145.1824
117.919930 95.144 -145.1232
118.286141 95.130 -145.0697
118.652352 95.116 -145.0239
119.018563 95.101 -144.9864
119.384774 95.087 -144.9569
119.750985 95.074 -144.9334
120.117196 95.062 -144.9134
120.483407 95.050 -144.8940
120.849618 95.040 -144.8723
121.215829 95.031 -144.8468
121.582040 95.023 -144.8168
121.948250 95.016 -144.7829
122.314461 95.008 -144.7461
122.680672 95.000 -144.7084
123.046883 94.991 -144.6711
123.413094 94.981 -144.6356
123.779305 94.969 -144.6021
124.145516 94.955 -144.5700
124.511727 94.939 -144.5380
124.877938 94.921 -144.5037
125.244149 94.900 -144.4644
125.610360 94.878 -144.4173
125.976571 94.853 -144.3603
126.342782 94.828 -144.2922
126.708993 94.802 -144.2127
127.075204 94.776 -144.1229
127.441415 94.750 -144.0244
127.807626 94.724 -143.9189
128.173837 94.698 -143.8082
128.540048 94.673 -143.6935
128.906259 94.646 -143.5754
129.272470 94.619 -143.4540
129.638681 94.592 -143.3285
130.004892 94.564 -143.1973
130.371103 94.535 -143.0583
130.737314 94.506 -142.9088
131.103525 94.477 -142.7461
131.469736 94.449 -142.5675
131.835947 94.421 -142.3707
132.202158 94.395 -142.1541
132.568369 94.370 -141.9168
132.934579 94.346 -141.6583
133.300790 94.323 -141.3786
133.667001 94.301 -141.0781
134.033212 94.281 -140.7574
134.399423 94.262 -140.4180
134.765634 94.246 -140.0615
135.131845 94.233 -139.6907
135.498056 94.223 -139.3088
135.864267 94.217 -138.9198
136.230478 94.214 -138.5277
136.596689 94.216 -138.1371
136.962900 94.221 -137.7521
137.329111 94.230 -137.3767
137.695322 94.242 -137.0147
138.061533 94.258 -136.6692
138.427744 94.278 -136.3433
138.793955 94.301 -136.0391
139.160166 94.329 -135.7585
139.526377 94.359 -135.5023
139.892588 94.393 -135.2708
140.258799 94.430 -135.0633
140.625010 94.468 -134.8785
140.991221 94.508 -134.7146
141.357432 94.548 -134.5701
141.723643 94.588 -134.4431
142.089854 94.628 -134.3327
142.456065 94.666 -134.2380
142.822276 94.702 -134.1588
143.188487 94.736 -134.0950
143.554698 94.769 -134.0464
143.920909 94.800 -134.0128
144.287119 94.828 -133.9935
144.653330 94.855 -133.9875
145.019541 94.880 -133.9935
145.385752 94.903 -134.0095
145.751963 94.925 -134.0339
146.118174 94.945 -134.0645
146.484385 94.964 -134.0995
146.850596 94.982 -134.1371
147.216807 94.998 -134.1761
147.583018 95.012 -134.2153
147.949229 95.025 -134.2541
148.315440 95.037 -134.2925
148.681651 95.048 -134.3304
149.047862 95.057 -134.3680
149.414073 95.064 -134.4056
149.780284 95.071 -134.4434
150.146495 95.076 -134.4813
150.512706 95.080 -134.5189
150.878917 95.082 -134.5558
151.245128 95.082 -134.5912
151.611339 95.081 -134.6243
151.977550 95.079 -134.6542
152.343761 95.076 -134.6802
152.709972 95.071 -134.7015
153.076183 95.066 -134.7175
153.442394 95.059 -134.7277
153.808605 95.053 -134.7318
154.174816 95.046 -134.7295
154.541027 95.039 -134.7209
154.907238 95.032 -134.7060
155.273448 95.025 -134.6850
155.639659 95.019 -134.6582
156.005870 95.012 -134.6259
156.372081 95.006 -134.5886
156.738292 94.999 -134.5467
157.104503 94.993 -134.5006
157.470714 94.986 -134.4507
157.836925 94.980 -134.3975
158.203136 94.973 -134.3418
158.569347 94.967 -134.2843
158.935558 94.961 -134.2259
159.301769 94.954 -134.1674
159.667980 94.948 -134.1099
160.034191 94.943 -134.0538
160.400402 94.938 -133.9997
160.766613 94.933 -133.9477
161.132824 94.930 -133.8976
161.499035 94.927 -133.8487
161.865246 94.925 -133.8005
162.231457 94.923 -133.7520
162.597668 94.923 -133.7025
