* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:48:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidizs MS2 R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.614 -132.4442
20.507813 92.652 -132.5446
20.874023 92.743 -132.8384
21.240234 92.815 -133.1967
21.606445 92.857 -133.5521
21.972656 92.883 -133.8452
22.338867 92.908 -134.0577
22.705078 92.945 -134.2374
23.071289 93.000 -134.4657
23.437500 93.067 -134.7987
23.803711 93.137 -135.2286
24.169922 93.201 -135.6905
24.536133 93.258 -136.1059
24.902344 93.311 -136.4267
25.268555 93.363 -136.6516
25.634766 93.415 -136.8149
26.000977 93.466 -136.9606
26.367188 93.510 -137.1191
26.733399 93.546 -137.3014
27.099610 93.576 -137.5072
27.465821 93.601 -137.7349
27.832032 93.625 -137.9839
28.198243 93.650 -138.2538
28.564454 93.674 -138.5409
28.930665 93.696 -138.8349
29.296876 93.715 -139.1208
29.663087 93.731 -139.3849
30.029298 93.746 -139.6205
30.395509 93.762 -139.8306
30.761720 93.783 -140.0259
31.127931 93.807 -140.2200
31.494142 93.835 -140.4217
31.860353 93.865 -140.6311
32.226563 93.896 -140.8399
32.592774 93.925 -141.0385
32.958985 93.953 -141.2216
33.325196 93.979 -141.3913
33.691407 94.005 -141.5548
34.057618 94.029 -141.7201
34.423829 94.050 -141.8904
34.790040 94.069 -142.0622
35.156251 94.085 -142.2288
35.522462 94.100 -142.3858
35.888673 94.113 -142.5341
36.254884 94.126 -142.6787
36.621095 94.139 -142.8250
36.987306 94.151 -142.9745
37.353517 94.163 -143.1250
37.719728 94.174 -143.2716
38.085939 94.186 -143.4098
38.452150 94.198 -143.5357
38.818361 94.211 -143.6465
39.184572 94.224 -143.7414
39.550783 94.237 -143.8236
39.916994 94.249 -143.9011
40.283205 94.261 -143.9836
40.649416 94.273 -144.0771
41.015627 94.283 -144.1798
41.381838 94.293 -144.2834
41.748049 94.304 -144.3799
42.114260 94.318 -144.4665
42.480471 94.334 -144.5466
42.846682 94.349 -144.6234
43.212893 94.361 -144.6950
43.579103 94.368 -144.7555
43.945314 94.372 -144.8040
44.311525 94.377 -144.8522
44.677736 94.386 -144.9216
45.043947 94.399 -145.0267
45.410158 94.412 -145.1554
45.776369 94.425 -145.2639
46.142580 94.438 -145.2961
46.508791 94.456 -145.2195
46.875002 94.482 -145.0529
47.241213 94.519 -144.8651
47.607424 94.558 -144.7421
47.973635 94.590 -144.7414
48.339846 94.602 -144.8645
48.706057 94.592 -145.0622
49.072268 94.564 -145.2678
49.438479 94.530 -145.4338
49.804690 94.501 -145.5501
50.170901 94.486 -145.6356
50.537112 94.485 -145.7144
50.903323 94.492 -145.7959
51.269534 94.502 -145.8720
51.635745 94.510 -145.9286
52.001956 94.516 -145.9606
52.368167 94.521 -145.9770
52.734378 94.525 -145.9941
53.100589 94.529 -146.0248
53.466800 94.532 -146.0708
53.833011 94.535 -146.1246
54.199222 94.538 -146.1760
54.565432 94.542 -146.2190
54.931643 94.547 -146.2529
55.297854 94.552 -146.2805
55.664065 94.557 -146.3047
56.030276 94.561 -146.3273
56.396487 94.563 -146.3491
56.762698 94.566 -146.3717
57.128909 94.568 -146.3968
57.495120 94.570 -146.4255
57.861331 94.572 -146.4575
58.227542 94.574 -146.4910
58.593753 94.575 -146.5237
58.959964 94.577 -146.5539
59.326175 94.578 -146.5811
59.692386 94.580 -146.6058
60.058597 94.582 -146.6289
60.424808 94.584 -146.6511
60.791019 94.586 -146.6725
61.157230 94.588 -146.6928
61.523441 94.590 -146.7114
61.889652 94.591 -146.7278
62.255863 94.591 -146.7419
62.622074 94.590 -146.7536
62.988285 94.590 -146.7632
63.354496 94.589 -146.7714
63.720707 94.588 -146.7789
64.086918 94.588 -146.7869
64.453129 94.589 -146.7966
64.819340 94.590 -146.8086
65.185551 94.591 -146.8231
65.551762 94.593 -146.8389
65.917972 94.594 -146.8543
66.284183 94.595 -146.8672
66.650394 94.595 -146.8763
67.016605 94.595 -146.8814
67.382816 94.595 -146.8831
67.749027 94.595 -146.8828
68.115238 94.595 -146.8815
68.481449 94.594 -146.8796
68.847660 94.594 -146.8772
69.213871 94.593 -146.8744
69.580082 94.592 -146.8714
69.946293 94.591 -146.8685
70.312504 94.591 -146.8658
70.678715 94.590 -146.8634
71.044926 94.590 -146.8607
71.411137 94.589 -146.8570
71.777348 94.588 -146.8520
72.143559 94.588 -146.8456
72.509770 94.587 -146.8380
72.875981 94.585 -146.8298
73.242192 94.584 -146.8211
73.608403 94.583 -146.8120
73.974614 94.581 -146.8022
74.340825 94.579 -146.7916
74.707036 94.578 -146.7805
75.073247 94.576 -146.7696
75.439458 94.574 -146.7599
75.805669 94.572 -146.7523
76.171880 94.570 -146.7473
76.538091 94.567 -146.7442
76.904301 94.563 -146.7421
77.270512 94.560 -146.7396
77.636723 94.555 -146.7360
78.002934 94.551 -146.7311
78.369145 94.547 -146.7256
78.735356 94.543 -146.7204
79.101567 94.540 -146.7162
79.467778 94.536 -146.7133
79.833989 94.532 -146.7119
80.200200 94.528 -146.7119
80.566411 94.524 -146.7133
80.932622 94.521 -146.7158
81.298833 94.517 -146.7186
81.665044 94.514 -146.7202
82.031255 94.510 -146.7185
82.397466 94.507 -146.7116
82.763677 94.503 -146.6984
83.129888 94.499 -146.6785
83.496099 94.495 -146.6525
83.862310 94.491 -146.6218
84.228521 94.486 -146.5883
84.594732 94.480 -146.5544
84.960943 94.474 -146.5225
85.327154 94.468 -146.4949
85.693365 94.461 -146.4734
86.059576 94.455 -146.4583
86.425787 94.449 -146.4497
86.791998 94.444 -146.4463
87.158209 94.439 -146.4461
87.524420 94.433 -146.4456
87.890631 94.427 -146.4391
88.256841 94.418 -146.4194
88.623052 94.406 -146.3797
88.989263 94.394 -146.3165
89.355474 94.381 -146.2324
89.721685 94.370 -146.1372
90.087896 94.361 -146.0456
90.454107 94.355 -145.9729
90.820318 94.350 -145.9299
91.186529 94.344 -145.9196
91.552740 94.337 -145.9363
91.918951 94.327 -145.9682
92.285162 94.314 -146.0012
92.651373 94.299 -146.0228
93.017584 94.281 -146.0241
93.383795 94.262 -146.0003
93.750006 94.243 -145.9489
94.116217 94.223 -145.8694
94.482428 94.204 -145.7610
94.848639 94.186 -145.6236
95.214850 94.170 -145.4579
95.581061 94.157 -145.2669
95.947272 94.147 -145.0565
96.313483 94.142 -144.8358
96.679694 94.143 -144.6169
97.045905 94.149 -144.4126
97.412116 94.160 -144.2347
97.778327 94.174 -144.0923
98.144538 94.191 -143.9900
98.510749 94.208 -143.9282
98.876960 94.225 -143.9030
99.243170 94.238 -143.9079
99.609381 94.249 -143.9350
99.975592 94.255 -143.9763
100.341803 94.258 -144.0246
100.708014 94.256 -144.0743
101.074225 94.252 -144.1214
101.440436 94.244 -144.1637
101.806647 94.234 -144.2007
102.172858 94.222 -144.2329
102.539069 94.208 -144.2614
102.905280 94.192 -144.2876
103.271491 94.176 -144.3123
103.637702 94.158 -144.3356
104.003913 94.139 -144.3573
104.370124 94.120 -144.3763
104.736335 94.100 -144.3909
105.102546 94.080 -144.3996
105.468757 94.058 -144.4006
105.834968 94.035 -144.3920
106.201179 94.012 -144.3724
106.567390 93.986 -144.3400
106.933601 93.960 -144.2931
107.299812 93.933 -144.2299
107.666023 93.905 -144.1481
108.032234 93.877 -144.0454
108.398445 93.850 -143.9194
108.764656 93.823 -143.7683
109.130867 93.798 -143.5913
109.497078 93.775 -143.3892
109.863289 93.753 -143.1639
110.229500 93.734 -142.9185
110.595710 93.715 -142.6565
110.961921 93.699 -142.3809
111.328132 93.683 -142.0946
111.694343 93.668 -141.8003
112.060554 93.655 -141.5011
112.426765 93.644 -141.2008
112.792976 93.635 -140.9043
113.159187 93.629 -140.6170
113.525398 93.625 -140.3439
113.891609 93.624 -140.0889
114.257820 93.626 -139.8545
114.624031 93.630 -139.6414
114.990242 93.637 -139.4489
115.356453 93.646 -139.2758
115.722664 93.657 -139.1210
116.088875 93.669 -138.9834
116.455086 93.682 -138.8622
116.821297 93.694 -138.7570
117.187508 93.706 -138.6665
117.553719 93.716 -138.5885
117.919930 93.724 -138.5197
118.286141 93.729 -138.4549
118.652352 93.733 -138.3880
119.018563 93.736 -138.3127
119.384774 93.736 -138.2242
119.750985 93.736 -138.1201
120.117196 93.734 -138.0018
120.483407 93.730 -137.8742
120.849618 93.725 -137.7443
121.215829 93.717 -137.6188
121.582040 93.707 -137.5026
121.948250 93.695 -137.3963
122.314461 93.683 -137.2970
122.680672 93.672 -137.1987
123.046883 93.664 -137.0948
123.413094 93.661 -136.9796
123.779305 93.665 -136.8500
124.145516 93.675 -136.7053
124.511727 93.692 -136.5469
124.877938 93.712 -136.3773
125.244149 93.735 -136.1992
125.610360 93.759 -136.0156
125.976571 93.781 -135.8291
126.342782 93.802 -135.6424
126.708993 93.820 -135.4585
127.075204 93.837 -135.2801
127.441415 93.853 -135.1097
127.807626 93.867 -134.9494
128.173837 93.882 -134.8004
128.540048 93.897 -134.6636
128.906259 93.912 -134.5391
129.272470 93.927 -134.4270
129.638681 93.942 -134.3275
130.004892 93.957 -134.2406
130.371103 93.970 -134.1665
130.737314 93.983 -134.1049
131.103525 93.995 -134.0553
131.469736 94.005 -134.0165
131.835947 94.016 -133.9868
132.202158 94.025 -133.9643
132.568369 94.035 -133.9467
132.934579 94.045 -133.9324
133.300790 94.056 -133.9198
133.667001 94.067 -133.9074
134.033212 94.078 -133.8945
134.399423 94.090 -133.8798
134.765634 94.101 -133.8627
135.131845 94.111 -133.8424
135.498056 94.121 -133.8185
135.864267 94.129 -133.7907
136.230478 94.136 -133.7595
136.596689 94.141 -133.7253
136.962900 94.145 -133.6891
137.329111 94.148 -133.6517
137.695322 94.151 -133.6141
138.061533 94.153 -133.5770
138.427744 94.154 -133.5410
138.793955 94.155 -133.5063
139.160166 94.157 -133.4730
139.526377 94.158 -133.4409
139.892588 94.159 -133.4097
140.258799 94.161 -133.3790
140.625010 94.163 -133.3486
140.991221 94.165 -133.3180
141.357432 94.167 -133.2870
141.723643 94.169 -133.2554
142.089854 94.172 -133.2230
142.456065 94.174 -133.1896
142.822276 94.176 -133.1551
143.188487 94.177 -133.1195
143.554698 94.178 -133.0828
143.920909 94.177 -133.0453
144.287119 94.176 -133.0071
144.653330 94.174 -132.9686
145.019541 94.171 -132.9299
145.385752 94.167 -132.8914
145.751963 94.164 -132.8532
146.118174 94.160 -132.8155
146.484385 94.156 -132.7782
146.850596 94.153 -132.7413
147.216807 94.150 -132.7045
147.583018 94.147 -132.6677
147.949229 94.144 -132.6305
148.315440 94.141 -132.5925
148.681651 94.139 -132.5535
149.047862 94.136 -132.5133
149.414073 94.133 -132.4720
149.780284 94.130 -132.4298
150.146495 94.127 -132.3872
150.512706 94.123 -132.3447
150.878917 94.119 -132.3028
151.245128 94.115 -132.2621
151.611339 94.109 -132.2227
151.977550 94.104 -132.1847
152.343761 94.097 -132.1481
152.709972 94.091 -132.1124
153.076183 94.084 -132.0772
153.442394 94.077 -132.0422
153.808605 94.070 -132.0066
154.174816 94.063 -131.9700
154.541027 94.057 -131.9319
154.907238 94.050 -131.8922
155.273448 94.044 -131.8507
155.639659 94.038 -131.8075
156.005870 94.032 -131.7628
156.372081 94.027 -131.7169
156.738292 94.022 -131.6701
157.104503 94.017 -131.6227
157.470714 94.012 -131.5750
157.836925 94.007 -131.5269
158.203136 94.002 -131.4787
158.569347 93.997 -131.4303
158.935558 93.991 -131.3816
159.301769 93.986 -131.3326
159.667980 93.980 -131.2830
160.034191 93.974 -131.2326
160.400402 93.969 -131.1811
160.766613 93.963 -131.1283
161.132824 93.958 -131.0737
161.499035 93.952 -131.0172
161.865246 93.947 -130.9587
162.231457 93.942 -130.8983
162.597668 93.937 -130.8363
