* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 21, 2023 11:57:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Juzear 41t L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.554 -15.9932
20.507813 91.535 -16.1328
20.874023 91.482 -16.5222
21.240234 91.425 -16.9820
21.606445 91.375 -17.5138
21.972656 91.336 -18.1257
22.338867 91.312 -18.7738
22.705078 91.305 -19.4002
23.071289 91.310 -19.9575
23.437500 91.320 -20.4200
23.803711 91.329 -20.7869
24.169922 91.332 -21.0791
24.536133 91.326 -21.3326
24.902344 91.310 -21.5877
25.268555 91.288 -21.8764
25.634766 91.261 -22.2137
26.000977 91.235 -22.5965
26.367188 91.210 -23.0064
26.733399 91.188 -23.4174
27.099610 91.169 -23.8075
27.465821 91.151 -24.1657
27.832032 91.132 -24.4930
28.198243 91.111 -24.8011
28.564454 91.085 -25.1076
28.930665 91.056 -25.4285
29.296876 91.024 -25.7722
29.663087 90.990 -26.1386
30.029298 90.957 -26.5215
30.395509 90.927 -26.9117
30.761720 90.901 -27.3008
31.127931 90.878 -27.6833
31.494142 90.857 -28.0577
31.860353 90.837 -28.4245
32.226563 90.818 -28.7851
32.592774 90.799 -29.1407
32.958985 90.779 -29.4907
33.325196 90.759 -29.8321
33.691407 90.738 -30.1613
34.057618 90.718 -30.4779
34.423829 90.697 -30.7855
34.790040 90.677 -31.0904
35.156251 90.655 -31.3983
35.522462 90.631 -31.7121
35.888673 90.606 -32.0315
36.254884 90.579 -32.3535
36.621095 90.553 -32.6752
36.987306 90.527 -32.9954
37.353517 90.502 -33.3137
37.719728 90.480 -33.6303
38.085939 90.458 -33.9451
38.452150 90.436 -34.2578
38.818361 90.414 -34.5681
39.184572 90.392 -34.8762
39.550783 90.369 -35.1832
39.916994 90.346 -35.4899
40.283205 90.323 -35.7968
40.649416 90.300 -36.1034
41.015627 90.276 -36.4088
41.381838 90.252 -36.7121
41.748049 90.229 -37.0131
42.114260 90.205 -37.3113
42.480471 90.181 -37.6062
42.846682 90.156 -37.8965
43.212893 90.132 -38.1818
43.579103 90.108 -38.4623
43.945314 90.085 -38.7398
44.311525 90.062 -39.0168
44.677736 90.040 -39.2958
45.043947 90.018 -39.5787
45.410158 89.997 -39.8660
45.776369 89.976 -40.1565
46.142580 89.955 -40.4478
46.508791 89.934 -40.7375
46.875002 89.912 -41.0233
47.241213 89.890 -41.3042
47.607424 89.867 -41.5798
47.973635 89.844 -41.8507
48.339846 89.821 -42.1180
48.706057 89.798 -42.3829
49.072268 89.775 -42.6468
49.438479 89.753 -42.9106
49.804690 89.731 -43.1747
50.170901 89.710 -43.4389
50.537112 89.690 -43.7030
50.903323 89.669 -43.9666
51.269534 89.647 -44.2289
51.635745 89.625 -44.4895
52.001956 89.603 -44.7481
52.368167 89.580 -45.0055
52.734378 89.558 -45.2626
53.100589 89.536 -45.5201
53.466800 89.513 -45.7777
53.833011 89.491 -46.0340
54.199222 89.469 -46.2877
54.565432 89.447 -46.5381
54.931643 89.426 -46.7858
55.297854 89.405 -47.0322
55.664065 89.384 -47.2788
56.030276 89.363 -47.5260
56.396487 89.343 -47.7733
56.762698 89.323 -48.0195
57.128909 89.302 -48.2635
57.495120 89.282 -48.5049
57.861331 89.262 -48.7442
58.227542 89.242 -48.9819
58.593753 89.221 -49.2179
58.959964 89.201 -49.4517
59.326175 89.181 -49.6823
59.692386 89.161 -49.9090
60.058597 89.141 -50.1318
60.424808 89.122 -50.3518
60.791019 89.104 -50.5705
61.157230 89.085 -50.7895
61.523441 89.067 -51.0097
61.889652 89.049 -51.2313
62.255863 89.029 -51.4535
62.622074 89.010 -51.6755
62.988285 88.991 -51.8965
63.354496 88.973 -52.1166
63.720707 88.955 -52.3362
64.086918 88.938 -52.5557
64.453129 88.921 -52.7747
64.819340 88.903 -52.9917
65.185551 88.885 -53.2049
65.551762 88.866 -53.4127
65.917972 88.846 -53.6150
66.284183 88.827 -53.8135
66.650394 88.807 -54.0108
67.016605 88.787 -54.2099
67.382816 88.768 -54.4126
67.749027 88.750 -54.6193
68.115238 88.733 -54.8288
68.481449 88.716 -55.0393
68.847660 88.699 -55.2491
69.213871 88.683 -55.4568
69.580082 88.667 -55.6623
69.946293 88.650 -55.8655
70.312504 88.634 -56.0669
70.678715 88.616 -56.2671
71.044926 88.599 -56.4662
71.411137 88.582 -56.6646
71.777348 88.564 -56.8623
72.143559 88.546 -57.0591
72.509770 88.529 -57.2549
72.875981 88.511 -57.4494
73.242192 88.493 -57.6427
73.608403 88.476 -57.8355
73.974614 88.459 -58.0285
74.340825 88.442 -58.2227
74.707036 88.425 -58.4186
75.073247 88.408 -58.6159
75.439458 88.392 -58.8137
75.805669 88.376 -59.0108
76.171880 88.360 -59.2062
76.538091 88.345 -59.3993
76.904301 88.330 -59.5903
77.270512 88.315 -59.7801
77.636723 88.300 -59.9694
78.002934 88.285 -60.1589
78.369145 88.270 -60.3488
78.735356 88.254 -60.5389
79.101567 88.239 -60.7288
79.467778 88.224 -60.9178
79.833989 88.209 -61.1057
80.200200 88.194 -61.2925
80.566411 88.179 -61.4784
80.932622 88.164 -61.6638
81.298833 88.149 -61.8491
81.665044 88.135 -62.0348
82.031255 88.120 -62.2211
82.397466 88.105 -62.4085
82.763677 88.090 -62.5969
83.129888 88.075 -62.7864
83.496099 88.060 -62.9767
83.862310 88.046 -63.1674
84.228521 88.032 -63.3584
84.594732 88.019 -63.5491
84.960943 88.005 -63.7392
85.327154 87.992 -63.9282
85.693365 87.978 -64.1159
86.059576 87.965 -64.3019
86.425787 87.951 -64.4863
86.791998 87.937 -64.6693
87.158209 87.923 -64.8512
87.524420 87.909 -65.0328
87.890631 87.895 -65.2141
88.256841 87.881 -65.3954
88.623052 87.867 -65.5765
88.989263 87.854 -65.7571
89.355474 87.841 -65.9373
89.721685 87.828 -66.1170
90.087896 87.815 -66.2968
90.454107 87.802 -66.4769
90.820318 87.789 -66.6579
91.186529 87.776 -66.8397
91.552740 87.764 -67.0223
91.918951 87.751 -67.2057
92.285162 87.738 -67.3894
92.651373 87.725 -67.5734
93.017584 87.712 -67.7577
93.383795 87.700 -67.9422
93.750006 87.687 -68.1273
94.116217 87.675 -68.3131
94.482428 87.663 -68.4997
94.848639 87.651 -68.6868
95.214850 87.639 -68.8741
95.581061 87.627 -69.0613
95.947272 87.616 -69.2478
96.313483 87.604 -69.4334
96.679694 87.593 -69.6182
97.045905 87.582 -69.8025
97.412116 87.571 -69.9866
97.778327 87.561 -70.1710
98.144538 87.550 -70.3559
98.510749 87.540 -70.5414
98.876960 87.529 -70.7271
99.243170 87.518 -70.9130
99.609381 87.507 -71.0988
99.975592 87.496 -71.2844
100.341803 87.485 -71.4696
100.708014 87.474 -71.6546
101.074225 87.463 -71.8393
101.440436 87.453 -72.0241
101.806647 87.442 -72.2089
102.172858 87.431 -72.3939
102.539069 87.420 -72.5789
102.905280 87.409 -72.7636
103.271491 87.398 -72.9478
103.637702 87.387 -73.1310
104.003913 87.376 -73.3132
104.370124 87.365 -73.4944
104.736335 87.354 -73.6751
105.102546 87.344 -73.8559
105.468757 87.333 -74.0375
105.834968 87.323 -74.2206
106.201179 87.314 -74.4057
106.567390 87.304 -74.5931
106.933601 87.294 -74.7827
107.299812 87.284 -74.9744
107.666023 87.274 -75.1680
108.032234 87.264 -75.3632
108.398445 87.253 -75.5598
108.764656 87.242 -75.7574
109.130867 87.231 -75.9557
109.497078 87.220 -76.1542
109.863289 87.208 -76.3522
110.229500 87.197 -76.5491
110.595710 87.185 -76.7444
110.961921 87.174 -76.9378
111.328132 87.163 -77.1293
111.694343 87.152 -77.3192
112.060554 87.142 -77.5076
112.426765 87.131 -77.6951
112.792976 87.121 -77.8816
113.159187 87.111 -78.0674
113.525398 87.101 -78.2524
113.891609 87.091 -78.4364
114.257820 87.081 -78.6192
114.624031 87.072 -78.8003
114.990242 87.064 -78.9797
115.356453 87.056 -79.1571
115.722664 87.048 -79.3328
116.088875 87.041 -79.5072
116.455086 87.034 -79.6809
116.821297 87.028 -79.8546
117.187508 87.021 -80.0290
117.553719 87.015 -80.2043
117.919930 87.008 -80.3804
118.286141 87.001 -80.5570
118.652352 86.994 -80.7332
119.018563 86.987 -80.9084
119.384774 86.980 -81.0824
119.750985 86.973 -81.2551
120.117196 86.966 -81.4275
120.483407 86.958 -81.6005
120.849618 86.951 -81.7754
121.215829 86.943 -81.9536
121.582040 86.936 -82.1358
121.948250 86.928 -82.3227
122.314461 86.920 -82.5139
122.680672 86.913 -82.7088
123.046883 86.905 -82.9062
123.413094 86.898 -83.1048
123.779305 86.891 -83.3030
124.145516 86.883 -83.4995
124.511727 86.876 -83.6931
124.877938 86.868 -83.8831
125.244149 86.860 -84.0690
125.610360 86.852 -84.2507
125.976571 86.843 -84.4284
126.342782 86.834 -84.6024
126.708993 86.826 -84.7732
127.075204 86.817 -84.9415
127.441415 86.808 -85.1079
127.807626 86.800 -85.2731
128.173837 86.791 -85.4379
128.540048 86.783 -85.6029
128.906259 86.775 -85.7686
129.272470 86.768 -85.9356
129.638681 86.760 -86.1040
130.004892 86.752 -86.2741
130.371103 86.744 -86.4456
130.737314 86.737 -86.6184
131.103525 86.729 -86.7920
131.469736 86.721 -86.9663
131.835947 86.713 -87.1407
132.202158 86.706 -87.3151
132.568369 86.698 -87.4894
132.934579 86.691 -87.6633
133.300790 86.683 -87.8371
133.667001 86.676 -88.0106
134.033212 86.668 -88.1838
134.399423 86.661 -88.3569
134.765634 86.653 -88.5297
135.131845 86.646 -88.7022
135.498056 86.639 -88.8744
135.864267 86.632 -89.0462
136.230478 86.626 -89.2176
136.596689 86.619 -89.3888
136.962900 86.613 -89.5599
137.329111 86.607 -89.7309
137.695322 86.601 -89.9020
138.061533 86.595 -90.0732
138.427744 86.589 -90.2445
138.793955 86.584 -90.4160
139.160166 86.578 -90.5877
139.526377 86.573 -90.7595
139.892588 86.567 -90.9316
140.258799 86.562 -91.1039
140.625010 86.557 -91.2765
140.991221 86.551 -91.4492
141.357432 86.546 -91.6221
141.723643 86.541 -91.7951
142.089854 86.536 -91.9681
142.456065 86.531 -92.1410
142.822276 86.526 -92.3138
143.188487 86.522 -92.4863
143.554698 86.517 -92.6585
143.920909 86.512 -92.8304
144.287119 86.508 -93.0019
144.653330 86.503 -93.1732
145.019541 86.498 -93.3443
145.385752 86.493 -93.5154
145.751963 86.488 -93.6866
146.118174 86.482 -93.8580
146.484385 86.477 -94.0296
146.850596 86.472 -94.2014
147.216807 86.466 -94.3736
147.583018 86.461 -94.5459
147.949229 86.455 -94.7184
148.315440 86.450 -94.8912
148.681651 86.444 -95.0642
149.047862 86.439 -95.2373
149.414073 86.433 -95.4108
149.780284 86.428 -95.5845
150.146495 86.422 -95.7583
150.512706 86.417 -95.9324
150.878917 86.411 -96.1065
151.245128 86.406 -96.2805
151.611339 86.401 -96.4543
151.977550 86.396 -96.6279
152.343761 86.391 -96.8013
152.709972 86.386 -96.9743
153.076183 86.381 -97.1472
153.442394 86.376 -97.3199
153.808605 86.371 -97.4927
154.174816 86.366 -97.6656
154.541027 86.361 -97.8388
154.907238 86.356 -98.0123
155.273448 86.351 -98.1864
155.639659 86.346 -98.3612
156.005870 86.341 -98.5367
156.372081 86.336 -98.7131
156.738292 86.331 -98.8904
157.104503 86.325 -99.0688
157.470714 86.320 -99.2482
157.836925 86.315 -99.4286
158.203136 86.309 -99.6097
158.569347 86.304 -99.7915
158.935558 86.298 -99.9737
159.301769 86.293 -100.1559
159.667980 86.287 -100.3378
160.034191 86.282 -100.5192
160.400402 86.276 -100.6998
160.766613 86.271 -100.8794
161.132824 86.265 -101.0581
161.499035 86.260 -101.2357
161.865246 86.255 -101.4124
162.231457 86.250 -101.5885
162.597668 86.245 -101.7641
