* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 1, 24 3:36:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Castor Bass DDDD R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.528 -157.6884
20.287556 92.539 -157.6561
20.434568 92.554 -157.6561
20.582645 92.574 -157.6808
20.731796 92.596 -157.7239
20.882027 92.620 -157.7812
21.033346 92.644 -157.8521
21.185762 92.669 -157.9399
21.339283 92.693 -158.0355
21.493916 92.717 -158.1368
21.649670 92.739 -158.2416
21.806553 92.761 -158.3474
21.964573 92.782 -158.4522
22.123737 92.803 -158.5608
22.284056 92.824 -158.6674
22.445536 92.845 -158.7697
22.608185 92.867 -158.8681
22.772013 92.890 -158.9639
22.937029 92.914 -159.0586
23.103241 92.939 -159.1589
23.270657 92.965 -159.2645
23.439285 92.992 -159.3736
23.609137 93.019 -159.4868
23.780218 93.047 -159.6037
23.952539 93.075 -159.7235
24.126110 93.102 -159.8500
24.300938 93.128 -159.9779
24.477032 93.154 -160.1028
24.654402 93.179 -160.2227
24.833057 93.203 -160.3360
25.013008 93.227 -160.4418
25.194263 93.250 -160.5459
25.376831 93.272 -160.6417
25.560722 93.294 -160.7301
25.745945 93.314 -160.8124
25.932510 93.335 -160.8904
26.120428 93.354 -160.9709
26.309708 93.373 -161.0539
26.500359 93.391 -161.1390
26.692390 93.408 -161.2278
26.885815 93.424 -161.3220
27.080641 93.440 -161.4252
27.276878 93.456 -161.5391
27.474539 93.472 -161.6600
27.673630 93.489 -161.7876
27.874165 93.506 -161.9211
28.076153 93.525 -162.0618
28.279604 93.545 -162.2099
28.484529 93.567 -162.3610
28.690941 93.592 -162.5139
28.898848 93.618 -162.6677
29.108261 93.646 -162.8236
29.319191 93.675 -162.9802
29.531651 93.704 -163.1337
29.745649 93.733 -163.2825
29.961199 93.762 -163.4252
30.178310 93.788 -163.5646
30.396996 93.813 -163.6969
30.617264 93.837 -163.8209
30.839128 93.858 -163.9372
31.062601 93.877 -164.0483
31.287693 93.896 -164.1580
31.514416 93.914 -164.2656
31.742783 93.932 -164.3737
31.972803 93.951 -164.4855
32.204491 93.972 -164.6073
32.437859 93.996 -164.7393
32.672916 94.022 -164.8840
32.909679 94.050 -165.0432
33.148155 94.081 -165.2207
33.388359 94.112 -165.4147
33.630306 94.143 -165.6206
33.874004 94.172 -165.8339
34.119469 94.200 -166.0508
34.366711 94.224 -166.2652
34.615746 94.245 -166.4696
34.866585 94.264 -166.6606
35.119244 94.281 -166.8390
35.373734 94.297 -167.0067
35.630066 94.314 -167.1660
35.888256 94.331 -167.3218
36.148315 94.349 -167.4809
36.410259 94.368 -167.6454
36.674103 94.388 -167.8136
36.939857 94.408 -167.9837
37.207539 94.429 -168.1547
37.477161 94.450 -168.3223
37.748737 94.470 -168.4842
38.022282 94.491 -168.6407
38.297806 94.511 -168.7966
38.575329 94.530 -168.9505
38.854862 94.547 -169.1047
39.136421 94.564 -169.2619
39.420021 94.580 -169.4233
39.705673 94.595 -169.5882
39.993397 94.611 -169.7576
40.283207 94.629 -169.9353
40.575115 94.648 -170.1205
40.869141 94.668 -170.3150
41.165295 94.690 -170.5218
41.463596 94.713 -170.7399
41.764057 94.734 -170.9650
42.066696 94.754 -171.1934
42.371529 94.771 -171.4212
42.678570 94.786 -171.6426
42.987835 94.799 -171.8546
43.299343 94.811 -172.0592
43.613110 94.823 -172.2555
43.929150 94.836 -172.4470
44.247478 94.851 -172.6406
44.568115 94.867 -172.8386
44.891075 94.886 -173.0426
45.216373 94.904 -173.2534
45.544029 94.923 -173.4689
45.874062 94.942 -173.6857
46.206486 94.959 -173.9030
46.541317 94.976 -174.1193
46.878574 94.991 -174.3347
47.218277 95.006 -174.5529
47.560440 95.021 -174.7755
47.905083 95.036 -175.0035
48.252224 95.050 -175.2381
48.601879 95.064 -175.4775
48.954067 95.078 -175.7188
49.308807 95.093 -175.9604
49.666119 95.107 -176.1996
50.026020 95.122 -176.4358
50.388531 95.136 -176.6713
50.753666 95.150 -176.9049
51.121449 95.164 -177.1391
51.491894 95.178 -177.3765
51.865025 95.192 -177.6166
52.240860 95.204 -177.8608
52.619419 95.217 -178.1081
53.000721 95.229 -178.3572
53.384785 95.241 -178.6092
53.771633 95.253 -178.8621
54.161285 95.265 -179.1167
54.553761 95.276 -179.3738
54.949081 95.287 -179.6334
55.347263 95.299 -179.8973
55.748333 95.310 179.8355
56.152309 95.322 179.5656
56.559212 95.335 179.2935
56.969063 95.349 179.0211
57.381886 95.363 178.7468
57.797699 95.376 178.4744
58.216526 95.387 178.2050
58.638386 95.396 177.9393
59.063305 95.403 177.6767
59.491302 95.408 177.4141
59.922401 95.412 177.1500
60.356625 95.416 176.8798
60.793995 95.420 176.6033
61.234531 95.424 176.3214
61.678261 95.430 176.0376
62.125206 95.436 175.7560
62.575390 95.442 175.4782
63.028835 95.449 175.2029
63.485569 95.455 174.9264
63.945610 95.461 174.6485
64.408989 95.465 174.3672
64.875725 95.469 174.0837
65.345840 95.473 173.7980
65.819366 95.476 173.5103
66.296318 95.481 173.2197
66.776726 95.485 172.9282
67.260620 95.489 172.6381
67.748016 95.493 172.3487
68.238945 95.496 172.0560
68.733429 95.500 171.7578
69.231499 95.504 171.4557
69.733177 95.507 171.1519
70.238495 95.510 170.8483
70.747475 95.513 170.5454
71.260139 95.515 170.2410
71.776520 95.516 169.9338
72.296638 95.514 169.6254
72.820526 95.510 169.3177
73.348213 95.505 169.0110
73.879723 95.500 168.7050
74.415085 95.495 168.3961
74.954330 95.491 168.0842
75.497482 95.487 167.7697
76.044571 95.484 167.4537
76.595619 95.479 167.1383
77.150665 95.474 166.8253
77.709732 95.469 166.5152
78.272850 95.464 166.2077
78.840050 95.458 165.9017
79.411354 95.453 165.5978
79.986801 95.447 165.2964
80.566422 95.440 164.9968
81.150238 95.433 164.6985
81.738289 95.424 164.4004
82.330597 95.416 164.0985
82.927200 95.408 163.7908
83.528122 95.400 163.4770
84.133400 95.393 163.1555
84.743065 95.386 162.8279
85.357147 95.379 162.4994
85.975677 95.371 162.1730
86.598694 95.363 161.8510
87.226227 95.356 161.5276
87.858307 95.348 161.1992
88.494965 95.339 160.8666
89.136238 95.330 160.5298
89.782158 95.321 160.1899
90.432755 95.311 159.8466
91.088066 95.300 159.5018
91.748131 95.288 159.1572
92.412979 95.276 158.8118
93.082642 95.263 158.4659
93.757156 95.249 158.1186
94.436562 95.235 157.7708
95.120888 95.220 157.4221
95.810173 95.204 157.0724
96.504456 95.188 156.7241
97.203766 95.171 156.3761
97.908142 95.153 156.0267
98.617622 95.135 155.6799
99.332245 95.117 155.3338
100.052048 95.098 154.9871
100.777069 95.079 154.6374
101.507339 95.059 154.2877
102.242905 95.039 153.9398
102.983795 95.018 153.5952
103.730057 94.997 153.2505
104.481728 94.974 152.9080
105.238846 94.951 152.5650
106.001450 94.927 152.2202
106.769577 94.903 151.8715
107.543274 94.877 151.5243
108.322578 94.852 151.1815
109.107529 94.825 150.8439
109.898170 94.799 150.5074
110.694534 94.772 150.1718
111.496674 94.745 149.8379
112.304626 94.719 149.5047
113.118431 94.693 149.1710
113.938133 94.666 148.8364
114.763779 94.640 148.4991
115.595406 94.614 148.1609
116.433060 94.587 147.8187
117.276779 94.560 147.4749
118.126617 94.531 147.1328
118.982613 94.502 146.7839
119.844810 94.472 146.4290
120.713257 94.442 146.0687
121.587997 94.411 145.7040
122.469070 94.379 145.3365
123.356529 94.347 144.9684
124.250420 94.314 144.6013
125.150787 94.280 144.2350
126.057678 94.244 143.8719
126.971146 94.207 143.5130
127.891228 94.168 143.1540
128.817978 94.126 142.7997
129.751450 94.084 142.4506
130.691681 94.041 142.1065
131.638733 93.998 141.7669
132.592636 93.955 141.4299
133.553452 93.912 141.0904
134.521240 93.868 140.7464
135.496033 93.825 140.3999
136.477890 93.781 140.0533
137.466858 93.736 139.7100
138.462997 93.692 139.3696
139.466354 93.648 139.0308
140.476990 93.602 138.6959
141.494949 93.556 138.3641
142.520279 93.508 138.0370
143.553040 93.458 137.7159
144.593277 93.407 137.3987
145.641052 93.356 137.0840
146.696426 93.304 136.7706
147.759445 93.251 136.4590
148.830170 93.198 136.1461
149.908661 93.144 135.8322
150.994965 93.090 135.5200
152.089142 93.035 135.2062
153.191238 92.979 134.8956
154.301331 92.923 134.5893
155.419464 92.866 134.2865
156.545700 92.808 133.9914
157.680099 92.749 133.7037
158.822708 92.690 133.4202
159.973602 92.629 133.1434
161.132843 92.568 132.8707
162.300476 92.507 132.6045
163.476578 92.444 132.3455
164.661194 92.380 132.0920
165.854401 92.315 131.8431
167.056244 92.248 131.6019
168.266800 92.181 131.3687
169.486130 92.113 131.1476
170.714294 92.045 130.9398
171.951355 91.978 130.7426
173.197388 91.910 130.5565
174.452454 91.843 130.3811
175.716614 91.776 130.2165
176.989929 91.710 130.0649
178.272476 91.646 129.9215
179.564316 91.585 129.7908
180.865509 91.525 129.6774
182.176132 91.467 129.5723
183.496262 91.412 129.4779
184.825958 91.359 129.3817
186.165283 91.309 129.2740
187.514313 91.262 129.1479
188.873123 91.219 128.9933
190.241776 91.179 128.8164
191.620346 91.140 128.6050
193.008911 91.101 128.3698
194.407532 91.060 128.0997
195.816284 91.014 127.8141
197.235245 90.963 127.5121
198.664490 90.908 127.2006
200.104095 90.849 126.8843
201.554138 90.786 126.5681
203.014679 90.719 126.2579
204.485809 90.647 125.9568
205.967590 90.572 125.6683
207.460114 90.494 125.3913
208.963455 90.414 125.1304
210.477692 90.332 124.8807
212.002899 90.250 124.6414
213.539154 90.167 124.4144
215.086548 90.083 124.2004
216.645157 89.998 124.0039
218.215057 89.913 123.8163
219.796341 89.827 123.6388
221.389069 89.742 123.4734
222.993347 89.656 123.3163
224.609253 89.570 123.1692
226.236862 89.484 123.0325
227.876266 89.397 122.9069
229.527557 89.309 122.7933
231.190811 89.221 122.6903
232.866119 89.133 122.5994
234.553558 89.043 122.5162
236.253235 88.953 122.4495
237.965225 88.862 122.3986
239.689621 88.770 122.3553
241.426514 88.677 122.3206
243.175995 88.584 122.2939
244.938141 88.491 122.2776
246.713058 88.399 122.2730
248.500839 88.307 122.2834
250.301575 88.217 122.2996
252.115356 88.126 122.3236
253.942291 88.037 122.3575
255.782455 87.948 122.3988
257.635956 87.858 122.4536
259.502899 87.770 122.5168
261.383362 87.683 122.5900
263.277466 87.597 122.6791
265.185272 87.514 122.7724
267.106903 87.432 122.8698
269.042480 87.350 122.9670
270.992065 87.268 123.0697
272.955780 87.185 123.1741
274.933716 87.102 123.2819
276.925995 87.019 123.3983
278.932709 86.936 123.5169
280.953979 86.853 123.6475
282.989899 86.771 123.7939
285.040558 86.690 123.9460
287.106079 86.610 124.1069
289.186554 86.529 124.2751
291.282104 86.449 124.4506
293.392853 86.369 124.6321
295.518890 86.289 124.8216
297.660339 86.210 125.0167
299.817322 86.131 125.2205
301.989929 86.053 125.4389
304.178284 85.977 125.6664
306.382477 85.902 125.9011
308.602661 85.827 126.1436
310.838928 85.753 126.3909
313.091400 85.678 126.6413
315.360199 85.604 126.8978
317.645416 85.530 127.1597
319.947205 85.458 127.4341
322.265686 85.387 127.7174
324.600952 85.318 128.0098
326.953156 85.249 128.3119
329.322388 85.182 128.6187
331.708801 85.117 128.9297
334.112488 85.052 129.2460
336.533600 84.990 129.5701
338.972260 84.929 129.9008
341.428589 84.869 130.2386
343.902710 84.811 130.5798
346.394775 84.755 130.9241
348.904907 84.700 131.2686
351.433228 84.647 131.6164
353.979858 84.595 131.9628
356.544952 84.545 132.3113
359.128632 84.496 132.6626
361.731018 84.449 133.0171
364.352264 84.402 133.3781
366.992523 84.357 133.7423
369.651917 84.313 134.1144
372.330566 84.271 134.4815
375.028625 84.230 134.8568
377.746246 84.191 135.2271
