* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 1, 24 3:06:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Castor Bass DDUU R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.548 -156.9038
20.287556 92.557 -156.8661
20.434568 92.571 -156.8602
20.582645 92.588 -156.8787
20.731796 92.608 -156.9153
20.882027 92.630 -156.9653
21.033346 92.653 -157.0273
21.185762 92.677 -157.1039
21.339283 92.702 -157.1852
21.493916 92.726 -157.2688
21.649670 92.750 -157.3523
21.806553 92.774 -157.4334
21.964573 92.797 -157.5102
22.123737 92.820 -157.5883
22.284056 92.842 -157.6622
22.445536 92.865 -157.7304
22.608185 92.887 -157.7937
22.772013 92.908 -157.8536
22.937029 92.930 -157.9120
23.103241 92.952 -157.9757
23.270657 92.973 -158.0442
23.439285 92.993 -158.1155
23.609137 93.013 -158.1898
23.780218 93.031 -158.2663
23.952539 93.049 -158.3435
24.126110 93.066 -158.4250
24.300938 93.081 -158.5049
24.477032 93.097 -158.5791
24.654402 93.113 -158.6459
24.833057 93.129 -158.7049
25.013008 93.146 -158.7572
25.194263 93.166 -158.8108
25.376831 93.187 -158.8623
25.560722 93.210 -158.9153
25.745945 93.236 -158.9738
25.932510 93.263 -159.0413
26.120428 93.291 -159.1252
26.309708 93.319 -159.2251
26.500359 93.348 -159.3384
26.692390 93.375 -159.4640
26.885815 93.402 -159.5994
27.080641 93.427 -159.7444
27.276878 93.451 -159.8967
27.474539 93.475 -160.0496
27.673630 93.497 -160.2007
27.874165 93.519 -160.3485
28.076153 93.541 -160.4941
28.279604 93.564 -160.6387
28.484529 93.586 -160.7791
28.690941 93.609 -160.9155
28.898848 93.632 -161.0478
29.108261 93.656 -161.1788
29.319191 93.679 -161.3082
29.531651 93.702 -161.4335
29.745649 93.725 -161.5551
29.961199 93.748 -161.6737
30.178310 93.772 -161.7944
30.396996 93.795 -161.9155
30.617264 93.819 -162.0374
30.839128 93.842 -162.1608
31.062601 93.866 -162.2875
31.287693 93.889 -162.4192
31.514416 93.912 -162.5518
31.742783 93.934 -162.6845
31.972803 93.957 -162.8164
32.204491 93.979 -162.9505
32.437859 94.002 -163.0839
32.672916 94.024 -163.2167
32.909679 94.046 -163.3495
33.148155 94.068 -163.4858
33.388359 94.089 -163.6246
33.630306 94.110 -163.7639
33.874004 94.130 -163.9034
34.119469 94.150 -164.0447
34.366711 94.169 -164.1878
34.615746 94.189 -164.3309
34.866585 94.208 -164.4742
35.119244 94.228 -164.6193
35.373734 94.248 -164.7657
35.630066 94.268 -164.9098
35.888256 94.287 -165.0496
36.148315 94.307 -165.1860
36.410259 94.326 -165.3176
36.674103 94.347 -165.4437
36.939857 94.368 -165.5677
37.207539 94.390 -165.6965
37.477161 94.414 -165.8345
37.748737 94.437 -165.9859
38.022282 94.460 -166.1534
38.297806 94.483 -166.3399
38.575329 94.504 -166.5381
38.854862 94.525 -166.7427
39.136421 94.545 -166.9484
39.420021 94.565 -167.1505
39.705673 94.585 -167.3447
39.993397 94.607 -167.5306
40.283207 94.630 -167.7116
40.575115 94.654 -167.8872
40.869141 94.677 -168.0588
41.165295 94.700 -168.2291
41.463596 94.721 -168.3976
41.764057 94.739 -168.5621
42.066696 94.756 -168.7228
42.371529 94.772 -168.8822
42.678570 94.787 -169.0419
42.987835 94.802 -169.2054
43.299343 94.817 -169.3790
43.613110 94.832 -169.5619
43.929150 94.846 -169.7533
44.247478 94.859 -169.9523
44.568115 94.871 -170.1516
44.891075 94.881 -170.3449
45.216373 94.891 -170.5299
45.544029 94.901 -170.7062
45.874062 94.912 -170.8775
46.206486 94.926 -171.0524
46.541317 94.941 -171.2377
46.878574 94.959 -171.4380
47.218277 94.978 -171.6556
47.560440 94.997 -171.8862
47.905083 95.016 -172.1223
48.252224 95.035 -172.3585
48.601879 95.053 -172.5892
48.954067 95.070 -172.8124
49.308807 95.087 -173.0300
49.666119 95.102 -173.2442
50.026020 95.117 -173.4574
50.388531 95.130 -173.6730
50.753666 95.142 -173.8891
51.121449 95.153 -174.1064
51.491894 95.165 -174.3260
51.865025 95.177 -174.5468
52.240860 95.190 -174.7703
52.619419 95.203 -174.9953
53.000721 95.215 -175.2197
53.384785 95.227 -175.4437
53.771633 95.239 -175.6642
54.161285 95.251 -175.8824
54.553761 95.263 -176.1000
54.949081 95.275 -176.3180
55.347263 95.288 -176.5381
55.748333 95.301 -176.7577
56.152309 95.313 -176.9751
56.559212 95.326 -177.1901
56.969063 95.338 -177.4044
57.381886 95.350 -177.6258
57.797699 95.360 -177.8573
58.216526 95.369 -178.1019
58.638386 95.377 -178.3595
59.063305 95.382 -178.6260
59.491302 95.386 -178.8972
59.922401 95.390 -179.1664
60.356625 95.394 -179.4325
60.793995 95.400 -179.6940
61.234531 95.406 -179.9525
61.678261 95.412 179.7906
62.125206 95.419 179.5352
62.575390 95.425 179.2813
63.028835 95.431 179.0293
63.485569 95.436 178.7775
63.945610 95.440 178.5264
64.408989 95.444 178.2730
64.875725 95.448 178.0167
65.345840 95.451 177.7564
65.819366 95.454 177.4925
66.296318 95.458 177.2244
66.776726 95.461 176.9538
67.260620 95.464 176.6831
67.748016 95.467 176.4131
68.238945 95.470 176.1422
68.733429 95.473 175.8699
69.231499 95.477 175.5961
69.733177 95.482 175.3185
70.238495 95.486 175.0360
70.747475 95.491 174.7502
71.260139 95.493 174.4654
71.776520 95.494 174.1880
72.296638 95.492 173.9226
72.820526 95.488 173.6680
73.348213 95.484 173.4186
73.879723 95.479 173.1689
74.415085 95.474 172.9137
74.954330 95.469 172.6525
75.497482 95.465 172.3855
76.044571 95.461 172.1124
76.595619 95.456 171.8334
77.150665 95.451 171.5481
77.709732 95.446 171.2560
78.272850 95.441 170.9579
78.840050 95.437 170.6563
79.411354 95.431 170.3551
79.986801 95.426 170.0565
80.566422 95.420 169.7606
81.150238 95.413 169.4681
81.738289 95.405 169.1788
82.330597 95.397 168.8903
82.927200 95.389 168.6034
83.528122 95.381 168.3208
84.133400 95.372 168.0407
84.743065 95.362 167.7603
85.357147 95.352 167.4782
85.975677 95.342 167.1932
86.598694 95.331 166.9075
87.226227 95.320 166.6190
87.858307 95.308 166.3278
88.494965 95.296 166.0367
89.136238 95.283 165.7460
89.782158 95.270 165.4553
90.432755 95.256 165.1634
91.088066 95.243 164.8710
91.748131 95.228 164.5790
92.412979 95.214 164.2858
93.082642 95.198 163.9911
93.757156 95.182 163.6944
94.436562 95.166 163.3976
95.120888 95.148 163.1009
95.810173 95.130 162.8041
96.504456 95.112 162.5095
97.203766 95.094 162.2155
97.908142 95.076 161.9203
98.617622 95.057 161.6282
99.332245 95.039 161.3383
100.052048 95.020 161.0504
100.777069 95.000 160.7614
101.507339 94.979 160.4720
102.242905 94.958 160.1805
102.983795 94.935 159.8860
103.730057 94.912 159.5855
104.481728 94.889 159.2837
105.238846 94.864 158.9818
106.001450 94.840 158.6809
106.769577 94.814 158.3788
107.543274 94.788 158.0789
108.322578 94.762 157.7819
109.107529 94.734 157.4875
109.898170 94.706 157.1918
110.694534 94.678 156.8960
111.496674 94.649 156.6021
112.304626 94.619 156.3104
113.118431 94.589 156.0209
113.938133 94.558 155.7344
114.763779 94.528 155.4497
115.595406 94.497 155.1676
116.433060 94.466 154.8838
117.276779 94.435 154.5991
118.126617 94.403 154.3169
118.982613 94.372 154.0294
119.844810 94.339 153.7386
120.713257 94.305 153.4473
121.587997 94.270 153.1587
122.469070 94.233 152.8746
123.356529 94.194 152.5947
124.250420 94.154 152.3152
125.150787 94.115 152.0318
126.057678 94.075 151.7469
126.971146 94.035 151.4634
127.891228 93.995 151.1794
128.817978 93.955 150.8995
129.751450 93.914 150.6234
130.691681 93.872 150.3505
131.638733 93.829 150.0822
132.592636 93.784 149.8196
133.553452 93.739 149.5602
134.521240 93.692 149.3019
135.496033 93.645 149.0448
136.477890 93.598 148.7883
137.466858 93.549 148.5339
138.462997 93.500 148.2804
139.466354 93.451 148.0265
140.476990 93.401 147.7755
141.494949 93.349 147.5284
142.520279 93.297 147.2885
143.553040 93.244 147.0577
144.593277 93.190 146.8336
145.641052 93.135 146.6138
146.696426 93.079 146.3963
147.759445 93.023 146.1811
148.830170 92.966 145.9648
149.908661 92.909 145.7491
150.994965 92.852 145.5378
152.089142 92.795 145.3275
153.191238 92.736 145.1213
154.301331 92.677 144.9191
155.419464 92.618 144.7197
156.545700 92.558 144.5284
157.680099 92.497 144.3462
158.822708 92.436 144.1705
159.973602 92.374 144.0035
161.132843 92.311 143.8415
162.300476 92.248 143.6865
163.476578 92.184 143.5395
164.661194 92.119 143.4001
165.854401 92.054 143.2684
167.056244 91.988 143.1466
168.266800 91.921 143.0326
169.486130 91.853 142.9270
170.714294 91.783 142.8292
171.951355 91.713 142.7375
173.197388 91.641 142.6540
174.452454 91.570 142.5790
175.716614 91.497 142.5120
176.989929 91.425 142.4544
178.272476 91.352 142.4009
179.564316 91.280 142.3560
180.865509 91.209 142.3240
182.176132 91.139 142.2974
183.496262 91.073 142.2844
184.825958 91.008 142.2811
186.165283 90.945 142.2868
187.514313 90.884 142.3002
188.873123 90.824 142.3137
190.241776 90.765 142.3345
191.620346 90.707 142.3507
193.008911 90.650 142.3726
194.407532 90.593 142.3845
195.816284 90.534 142.3959
197.235245 90.475 142.3949
198.664490 90.415 142.3810
200.104095 90.354 142.3571
201.554138 90.294 142.3286
203.014679 90.233 142.3024
204.485809 90.172 142.2839
205.967590 90.109 142.2755
207.460114 90.044 142.2730
208.963455 89.977 142.2783
210.477692 89.907 142.2866
212.002899 89.837 142.2986
213.539154 89.765 142.3156
215.086548 89.693 142.3370
216.645157 89.620 142.3676
218.215057 89.546 142.4026
219.796341 89.472 142.4490
221.389069 89.398 142.5124
222.993347 89.324 142.5893
224.609253 89.249 142.6791
226.236862 89.173 142.7802
227.876266 89.097 142.8934
229.527557 89.020 143.0205
231.190811 88.942 143.1599
232.866119 88.864 143.3103
234.553558 88.787 143.4641
236.253235 88.710 143.6282
237.965225 88.633 143.8025
239.689621 88.557 143.9844
241.426514 88.483 144.1835
243.175995 88.411 144.4026
244.938141 88.339 144.6412
246.713058 88.268 144.8941
248.500839 88.196 145.1605
250.301575 88.125 145.4297
252.115356 88.055 145.7045
253.942291 87.985 145.9893
255.782455 87.916 146.2829
257.635956 87.849 146.5909
259.502899 87.783 146.9071
261.383362 87.718 147.2330
263.277466 87.656 147.5753
265.185272 87.595 147.9231
267.106903 87.536 148.2763
269.042480 87.480 148.6307
270.992065 87.424 148.9923
272.955780 87.370 149.3578
274.933716 87.317 149.7288
276.925995 87.265 150.1098
278.932709 87.215 150.4927
280.953979 87.165 150.8849
282.989899 87.117 151.2895
285.040558 87.071 151.6978
287.106079 87.025 152.1146
289.186554 86.981 152.5380
291.282104 86.939 152.9653
293.392853 86.899 153.3931
295.518890 86.862 153.8216
297.660339 86.826 154.2465
299.817322 86.792 154.6683
301.989929 86.759 155.0925
304.178284 86.729 155.5148
306.382477 86.699 155.9363
308.602661 86.672 156.3598
310.838928 86.645 156.7831
313.091400 86.620 157.2055
315.360199 86.597 157.6295
317.645416 86.575 158.0525
319.947205 86.555 158.4789
322.265686 86.537 158.9036
324.600952 86.521 159.3279
326.953156 86.506 159.7547
329.322388 86.493 160.1806
331.708801 86.481 160.6036
334.112488 86.471 161.0214
336.533600 86.463 161.4327
338.972260 86.456 161.8362
341.428589 86.449 162.2354
343.902710 86.443 162.6315
346.394775 86.438 163.0277
348.904907 86.434 163.4213
351.433228 86.430 163.8133
353.979858 86.428 164.1963
356.544952 86.428 164.5717
359.128632 86.428 164.9395
361.731018 86.429 165.3000
364.352264 86.432 165.6571
366.992523 86.436 166.0085
369.651917 86.441 166.3597
372.330566 86.446 166.6984
375.028625 86.453 167.0396
