* Measurement data measured by REW V5.30.4
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 1, 24 3:37:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Castor Bass UUUU L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.223 -167.1168
20.287556 94.228 -167.0884
20.434568 94.235 -167.0977
20.582645 94.243 -167.1353
20.731796 94.251 -167.1931
20.882027 94.260 -167.2650
21.033346 94.269 -167.3491
21.185762 94.278 -167.4480
21.339283 94.287 -167.5526
21.493916 94.296 -167.6615
21.649670 94.306 -167.7737
21.806553 94.316 -167.8885
21.964573 94.327 -168.0049
22.123737 94.339 -168.1292
22.284056 94.351 -168.2560
22.445536 94.364 -168.3827
22.608185 94.377 -168.5090
22.772013 94.391 -168.6345
22.937029 94.405 -168.7589
23.103241 94.420 -168.8870
23.270657 94.434 -169.0168
23.439285 94.449 -169.1453
23.609137 94.464 -169.2724
23.780218 94.478 -169.3977
23.952539 94.492 -169.5210
24.126110 94.506 -169.6471
24.300938 94.520 -169.7718
24.477032 94.533 -169.8920
24.654402 94.546 -170.0065
24.833057 94.559 -170.1144
25.013008 94.571 -170.2155
25.194263 94.584 -170.3158
25.376831 94.596 -170.4090
25.560722 94.609 -170.4960
25.745945 94.623 -170.5786
25.932510 94.636 -170.6589
26.120428 94.650 -170.7440
26.309708 94.665 -170.8343
26.500359 94.679 -170.9293
26.692390 94.693 -171.0309
26.885815 94.706 -171.1401
27.080641 94.719 -171.2600
27.276878 94.732 -171.3916
27.474539 94.743 -171.5302
27.673630 94.754 -171.6747
27.874165 94.765 -171.8236
28.076153 94.775 -171.9772
28.279604 94.785 -172.1350
28.484529 94.794 -172.2920
28.690941 94.804 -172.4461
28.898848 94.813 -172.5958
29.108261 94.822 -172.7419
29.319191 94.831 -172.8833
29.531651 94.840 -173.0169
29.745649 94.850 -173.1432
29.961199 94.859 -173.2632
30.178310 94.870 -173.3833
30.396996 94.880 -173.5029
30.617264 94.891 -173.6240
30.839128 94.902 -173.7490
31.062601 94.913 -173.8809
31.287693 94.924 -174.0222
31.514416 94.934 -174.1691
31.742783 94.945 -174.3203
31.972803 94.955 -174.4739
32.204491 94.967 -174.6321
32.437859 94.979 -174.7915
32.672916 94.993 -174.9522
32.909679 95.008 -175.1158
33.148155 95.024 -175.2867
33.388359 95.041 -175.4648
33.630306 95.058 -175.6481
33.874004 95.073 -175.8345
34.119469 95.086 -176.0222
34.366711 95.097 -176.2068
34.615746 95.105 -176.3816
34.866585 95.110 -176.5433
35.119244 95.114 -176.6924
35.373734 95.116 -176.8304
35.630066 95.118 -176.9591
35.888256 95.120 -177.0834
36.148315 95.123 -177.2110
36.410259 95.126 -177.3453
36.674103 95.129 -177.4870
36.939857 95.133 -177.6363
37.207539 95.137 -177.7941
37.477161 95.142 -177.9570
37.748737 95.147 -178.1224
38.022282 95.152 -178.2891
38.297806 95.159 -178.4592
38.575329 95.166 -178.6288
38.854862 95.173 -178.7979
39.136421 95.180 -178.9674
39.420021 95.187 -179.1373
39.705673 95.194 -179.3065
39.993397 95.200 -179.4756
40.283207 95.206 -179.6478
40.575115 95.212 -179.8216
40.869141 95.218 -179.9978
41.165295 95.223 179.8213
41.463596 95.228 179.6368
41.764057 95.232 179.4522
42.066696 95.235 179.2695
42.371529 95.238 179.0897
42.678570 95.241 178.9150
42.987835 95.243 178.7448
43.299343 95.246 178.5739
43.613110 95.249 178.4018
43.929150 95.252 178.2254
44.247478 95.254 178.0402
44.568115 95.257 177.8478
44.891075 95.258 177.6504
45.216373 95.259 177.4497
45.544029 95.259 177.2491
45.874062 95.260 177.0512
46.206486 95.261 176.8553
46.541317 95.262 176.6616
46.878574 95.263 176.4697
47.218277 95.265 176.2770
47.560440 95.267 176.0832
47.905083 95.268 175.8890
48.252224 95.268 175.6932
48.601879 95.268 175.4969
48.954067 95.267 175.3008
49.308807 95.266 175.1041
49.666119 95.264 174.9073
50.026020 95.263 174.7103
50.388531 95.261 174.5108
50.753666 95.258 174.3114
51.121449 95.256 174.1114
51.491894 95.254 173.9100
51.865025 95.251 173.7085
52.240860 95.247 173.5058
52.619419 95.243 173.3023
53.000721 95.239 173.0984
53.384785 95.234 172.8922
53.771633 95.229 172.6855
54.161285 95.224 172.4783
54.553761 95.220 172.2709
54.949081 95.215 172.0647
55.347263 95.210 171.8581
55.748333 95.204 171.6516
56.152309 95.197 171.4442
56.559212 95.188 171.2356
56.969063 95.178 171.0280
57.381886 95.166 170.8209
57.797699 95.155 170.6179
58.216526 95.146 170.4175
58.638386 95.139 170.2158
59.063305 95.134 170.0085
59.491302 95.131 169.7933
59.922401 95.128 169.5739
60.356625 95.124 169.3534
60.793995 95.119 169.1357
61.234531 95.113 168.9207
61.678261 95.105 168.7064
62.125206 95.096 168.4910
62.575390 95.086 168.2742
63.028835 95.075 168.0567
63.485569 95.063 167.8385
63.945610 95.051 167.6219
64.408989 95.039 167.4057
64.875725 95.027 167.1902
65.345840 95.014 166.9752
65.819366 95.001 166.7607
66.296318 94.988 166.5452
66.776726 94.974 166.3293
67.260620 94.961 166.1142
67.748016 94.947 165.8997
68.238945 94.933 165.6843
68.733429 94.918 165.4683
69.231499 94.902 165.2535
69.733177 94.886 165.0398
70.238495 94.870 164.8265
70.747475 94.853 164.6130
71.260139 94.837 164.3978
71.776520 94.819 164.1806
72.296638 94.802 163.9627
72.820526 94.784 163.7449
73.348213 94.765 163.5276
73.879723 94.746 163.3115
74.415085 94.727 163.0955
74.954330 94.707 162.8806
75.497482 94.687 162.6672
76.044571 94.667 162.4548
76.595619 94.646 162.2427
77.150665 94.626 162.0302
77.709732 94.604 161.8168
78.272850 94.582 161.6030
78.840050 94.560 161.3893
79.411354 94.537 161.1771
79.986801 94.513 160.9666
80.566422 94.489 160.7570
81.150238 94.465 160.5488
81.738289 94.441 160.3424
82.330597 94.416 160.1351
82.927200 94.392 159.9267
83.528122 94.367 159.7191
84.133400 94.341 159.5114
84.743065 94.315 159.3035
85.357147 94.289 159.0972
85.975677 94.262 158.8932
86.598694 94.235 158.6934
87.226227 94.207 158.4940
87.858307 94.179 158.2933
88.494965 94.150 158.0941
89.136238 94.120 157.8961
89.782158 94.090 157.6992
90.432755 94.060 157.5021
91.088066 94.029 157.3051
91.748131 93.998 157.1096
92.412979 93.967 156.9146
93.082642 93.936 156.7211
93.757156 93.904 156.5294
94.436562 93.871 156.3414
95.120888 93.838 156.1567
95.810173 93.804 155.9735
96.504456 93.769 155.7920
97.203766 93.734 155.6096
97.908142 93.699 155.4247
98.617622 93.663 155.2422
99.332245 93.626 155.0624
100.052048 93.589 154.8854
100.777069 93.551 154.7100
101.507339 93.514 154.5388
102.242905 93.476 154.3711
102.983795 93.438 154.2055
103.730057 93.399 154.0369
104.481728 93.359 153.8684
105.238846 93.319 153.7006
106.001450 93.278 153.5352
106.769577 93.237 153.3722
107.543274 93.195 153.2169
108.322578 93.152 153.0722
109.107529 93.108 152.9388
109.898170 93.064 152.8118
110.694534 93.020 152.6896
111.496674 92.976 152.5710
112.304626 92.933 152.4534
113.118431 92.890 152.3348
113.938133 92.847 152.2150
114.763779 92.804 152.0931
115.595406 92.761 151.9711
116.433060 92.719 151.8459
117.276779 92.677 151.7204
118.126617 92.634 151.6019
118.982613 92.591 151.4890
119.844810 92.546 151.3894
120.713257 92.499 151.3076
121.587997 92.451 151.2408
122.469070 92.402 151.1808
123.356529 92.354 151.1194
124.250420 92.307 151.0504
125.150787 92.260 150.9697
126.057678 92.214 150.8804
126.971146 92.167 150.7867
127.891228 92.119 150.6884
128.817978 92.071 150.5905
129.751450 92.022 150.4917
130.691681 91.971 150.3912
131.638733 91.918 150.2919
132.592636 91.865 150.1989
133.553452 91.810 150.1127
134.521240 91.755 150.0322
135.496033 91.699 149.9567
136.477890 91.644 149.8859
137.466858 91.590 149.8213
138.462997 91.536 149.7615
139.466354 91.482 149.7048
140.476990 91.429 149.6532
141.494949 91.376 149.6053
142.520279 91.321 149.5621
143.553040 91.266 149.5265
144.593277 91.210 149.5009
145.641052 91.152 149.4877
146.696426 91.094 149.4865
147.759445 91.034 149.4950
148.830170 90.974 149.5069
149.908661 90.913 149.5216
150.994965 90.851 149.5415
152.089142 90.790 149.5632
153.191238 90.729 149.5915
154.301331 90.668 149.6270
155.419464 90.607 149.6695
156.545700 90.544 149.7231
157.680099 90.481 149.7869
158.822708 90.416 149.8564
159.973602 90.350 149.9343
161.132843 90.283 150.0195
162.300476 90.216 150.1169
163.476578 90.149 150.2280
164.661194 90.081 150.3504
165.854401 90.013 150.4826
167.056244 89.944 150.6278
168.266800 89.875 150.7884
169.486130 89.805 150.9730
170.714294 89.735 151.1891
171.951355 89.664 151.4394
173.197388 89.594 151.7249
174.452454 89.526 152.0436
175.716614 89.461 152.3939
176.989929 89.399 152.7755
178.272476 89.341 153.1808
179.564316 89.290 153.6116
180.865509 89.246 154.0685
182.176132 89.209 154.5376
183.496262 89.180 155.0187
184.825958 89.159 155.5003
186.165283 89.145 155.9735
187.514313 89.137 156.4262
188.873123 89.137 156.8411
190.241776 89.145 157.2165
191.620346 89.158 157.5279
193.008911 89.175 157.7702
194.407532 89.192 157.9225
195.816284 89.205 158.0024
197.235245 89.212 158.0140
198.664490 89.210 157.9757
200.104095 89.198 157.9088
201.554138 89.178 157.8333
203.014679 89.151 157.7668
204.485809 89.119 157.7219
205.967590 89.083 157.7073
207.460114 89.044 157.7224
208.963455 89.002 157.7697
210.477692 88.959 157.8413
212.002899 88.916 157.9335
213.539154 88.872 158.0452
215.086548 88.827 158.1764
216.645157 88.783 158.3312
218.215057 88.739 158.5008
219.796341 88.696 158.6849
221.389069 88.653 158.8828
222.993347 88.610 159.0884
224.609253 88.569 159.3007
226.236862 88.529 159.5178
227.876266 88.490 159.7401
229.527557 88.453 159.9695
231.190811 88.417 160.2056
232.866119 88.382 160.4483
234.553558 88.349 160.6885
236.253235 88.316 160.9318
237.965225 88.285 161.1788
239.689621 88.255 161.4274
241.426514 88.225 161.6849
243.175995 88.197 161.9505
244.938141 88.169 162.2217
246.713058 88.141 162.4943
248.500839 88.113 162.7695
250.301575 88.086 163.0385
252.115356 88.061 163.3048
253.942291 88.038 163.5728
255.782455 88.016 163.8420
257.635956 87.995 164.1197
259.502899 87.974 164.3994
261.383362 87.954 164.6804
263.277466 87.934 164.9679
265.185272 87.916 165.2515
267.106903 87.899 165.5318
269.042480 87.883 165.8058
270.992065 87.868 166.0807
272.955780 87.854 166.3544
274.933716 87.840 166.6278
276.925995 87.826 166.9038
278.932709 87.814 167.1737
280.953979 87.802 167.4449
282.989899 87.791 167.7202
285.040558 87.781 167.9886
287.106079 87.771 168.2532
289.186554 87.762 168.5122
291.282104 87.753 168.7666
293.392853 87.745 169.0172
295.518890 87.737 169.2672
297.660339 87.729 169.5146
299.817322 87.723 169.7598
301.989929 87.716 170.0064
304.178284 87.710 170.2482
306.382477 87.704 170.4859
308.602661 87.699 170.7230
310.838928 87.693 170.9589
313.091400 87.689 171.1926
315.360199 87.684 171.4255
317.645416 87.680 171.6540
319.947205 87.677 171.8835
322.265686 87.674 172.1105
324.600952 87.671 172.3355
326.953156 87.669 172.5602
329.322388 87.667 172.7810
331.708801 87.665 172.9983
334.112488 87.663 173.2130
336.533600 87.661 173.4260
338.972260 87.659 173.6359
341.428589 87.658 173.8448
343.902710 87.656 174.0517
346.394775 87.654 174.2583
348.904907 87.653 174.4617
351.433228 87.652 174.6646
353.979858 87.652 174.8615
356.544952 87.651 175.0562
359.128632 87.651 175.2491
361.731018 87.650 175.4393
364.352264 87.650 175.6295
366.992523 87.649 175.8170
369.651917 87.648 176.0075
372.330566 87.647 176.1891
375.028625 87.646 176.3769
377.746246 87.645 176.5597
380.483551 87.643 176.7440
383.240692 87.642 176.9252
386.017822 87.641 177.1063
