* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 24, 25 8:00:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Libra X +500 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 47.232 -82.0554
0.368865 47.252 -82.1725
0.371538 47.282 -82.3465
0.374230 47.319 -82.5626
0.376942 47.360 -82.8080
0.379673 47.405 -83.0733
0.382424 47.451 -83.3524
0.385196 47.499 -83.6413
0.387987 47.547 -83.9379
0.390798 47.596 -84.2410
0.393630 47.646 -84.5497
0.396483 47.696 -84.8637
0.399356 47.746 -85.1829
0.402250 47.797 -85.5069
0.405165 47.848 -85.8358
0.408101 47.899 -86.1695
0.411058 47.951 -86.5079
0.414037 48.003 -86.8509
0.417037 48.055 -87.1984
0.420059 48.108 -87.5505
0.423103 48.162 -87.9069
0.426169 48.215 -88.2677
0.429257 48.269 -88.6328
0.432368 48.324 -89.0021
0.435501 48.379 -89.3754
0.438656 48.434 -89.7528
0.441835 48.490 -90.1342
0.445037 48.546 -90.5193
0.448262 48.602 -90.9083
0.451510 48.659 -91.3008
0.454782 48.716 -91.6970
0.458077 48.774 -92.0967
0.461397 48.832 -92.4997
0.464740 48.891 -92.9061
0.468108 48.950 -93.3157
0.471500 49.009 -93.7283
0.474917 49.069 -94.1440
0.478358 49.129 -94.5626
0.481825 49.190 -94.9841
0.485316 49.251 -95.4082
0.488833 49.312 -95.8351
0.492375 49.374 -96.2644
0.495943 49.437 -96.6963
0.499537 49.500 -97.1305
0.503157 49.563 -97.5670
0.506803 49.627 -98.0058
0.510475 49.691 -98.4466
0.514175 49.756 -98.8895
0.517900 49.821 -99.3344
0.521653 49.887 -99.7812
0.525434 49.953 -100.2298
0.529241 50.020 -100.6802
0.533076 50.087 -101.1322
0.536939 50.155 -101.5860
0.540830 50.223 -102.0413
0.544749 50.292 -102.4981
0.548696 50.361 -102.9564
0.552673 50.430 -103.4162
0.556677 50.500 -103.8773
0.560711 50.571 -104.3399
0.564774 50.642 -104.8037
0.568867 50.714 -105.2689
0.572989 50.786 -105.7353
0.577141 50.859 -106.2030
0.581324 50.932 -106.6720
0.585536 51.006 -107.1422
0.589779 51.080 -107.6136
0.594053 51.155 -108.0863
0.598358 51.230 -108.5602
0.602694 51.306 -109.0355
0.607061 51.383 -109.5120
0.611460 51.460 -109.9898
0.615891 51.537 -110.4689
0.620354 51.616 -110.9494
0.624849 51.694 -111.4313
0.629377 51.774 -111.9147
0.633938 51.854 -112.3996
0.638532 51.934 -112.8860
0.643159 52.015 -113.3741
0.647819 52.097 -113.8639
0.652514 52.179 -114.3554
0.657242 52.262 -114.8487
0.662005 52.345 -115.3440
0.666802 52.429 -115.8413
0.671634 52.514 -116.3406
0.676501 52.599 -116.8422
0.681403 52.685 -117.3461
0.686341 52.771 -117.8524
0.691314 52.858 -118.3612
0.696324 52.946 -118.8726
0.701370 53.034 -119.3867
0.706452 53.123 -119.9037
0.711571 53.213 -120.4234
0.716728 53.302 -120.9460
0.721921 53.392 -121.4712
0.727153 53.483 -121.9987
0.732422 53.573 -122.5282
0.737729 53.663 -123.0590
0.743075 53.753 -123.5904
0.748460 53.844 -124.1219
0.753883 53.935 -124.6529
0.759346 54.026 -125.1830
0.764849 54.118 -125.7120
0.770391 54.210 -126.2396
0.775974 54.303 -126.7657
0.781597 54.396 -127.2901
0.787261 54.490 -127.8127
0.792966 54.585 -128.3334
0.798712 54.680 -128.8522
0.804500 54.775 -129.3690
0.810329 54.872 -129.8837
0.816201 54.969 -130.3964
0.822116 55.066 -130.9069
0.828073 55.164 -131.4154
0.834074 55.263 -131.9218
0.840118 55.362 -132.4261
0.846206 55.462 -132.9284
0.852338 55.562 -133.4286
0.858514 55.663 -133.9270
0.864735 55.765 -134.4234
0.871001 55.867 -134.9181
0.877313 55.969 -135.4110
0.883670 56.073 -135.9023
0.890074 56.176 -136.3921
0.896524 56.280 -136.8804
0.903020 56.385 -137.3675
0.909564 56.490 -137.8534
0.916155 56.596 -138.3383
0.922794 56.702 -138.8223
0.929481 56.808 -139.3056
0.936216 56.915 -139.7883
0.943000 57.023 -140.2706
0.949834 57.130 -140.7527
0.956717 57.239 -141.2347
0.963649 57.348 -141.7169
0.970632 57.457 -142.1994
0.977666 57.566 -142.6825
0.984750 57.676 -143.1663
0.991886 57.786 -143.6511
0.999074 57.897 -144.1370
1.006314 58.008 -144.6244
1.013606 58.119 -145.1134
1.020951 58.230 -145.6043
1.028349 58.342 -146.0973
1.035801 58.454 -146.5926
1.043307 58.566 -147.0906
1.050867 58.679 -147.5914
1.058482 58.791 -148.0952
1.066152 58.904 -148.6023
1.073878 59.017 -149.1128
1.081660 59.130 -149.6266
1.089498 59.243 -150.1438
1.097393 59.357 -150.6641
1.105345 59.470 -151.1870
1.113355 59.584 -151.7120
1.121423 59.698 -152.2387
1.129549 59.812 -152.7667
1.137734 59.927 -153.2955
1.145979 60.041 -153.8250
1.154283 60.156 -154.3550
1.162647 60.271 -154.8853
1.171072 60.386 -155.4157
1.179558 60.502 -155.9462
1.188106 60.617 -156.4766
1.196715 60.733 -157.0070
1.205387 60.849 -157.5372
1.214122 60.965 -158.0671
1.222920 61.081 -158.5968
1.231782 61.198 -159.1262
1.240708 61.315 -159.6553
1.249699 61.432 -160.1840
1.258754 61.549 -160.7125
1.267876 61.666 -161.2406
1.277063 61.783 -161.7684
1.286318 61.901 -162.2959
1.295639 62.019 -162.8233
1.305027 62.137 -163.3504
1.314484 62.255 -163.8774
1.324009 62.374 -164.4044
1.333604 62.492 -164.9314
1.343268 62.611 -165.4585
1.353002 62.730 -165.9857
1.362806 62.849 -166.5133
1.372681 62.968 -167.0412
1.382628 63.088 -167.5697
1.392647 63.208 -168.0988
1.402739 63.327 -168.6286
1.412904 63.447 -169.1593
1.423142 63.568 -169.6910
1.433455 63.688 -170.2236
1.443843 63.808 -170.7573
1.454305 63.929 -171.2918
1.464844 64.050 -171.8271
1.475459 64.171 -172.3628
1.486150 64.291 -172.8986
1.496920 64.412 -173.4344
1.507767 64.533 -173.9698
1.518693 64.653 -174.5048
1.529698 64.774 -175.0394
1.540783 64.894 -175.5735
1.551948 65.015 -176.1073
1.563194 65.135 -176.6408
1.574521 65.255 -177.1741
1.585931 65.376 -177.7073
1.597423 65.496 -178.2407
1.608999 65.616 -178.7743
1.620658 65.736 -179.3083
1.632402 65.856 -179.8429
1.644232 65.976 179.6216
1.656146 66.095 179.0850
1.668147 66.215 178.5472
1.680235 66.335 178.0078
1.692411 66.454 177.4667
1.704675 66.574 176.9235
1.717028 66.693 176.3779
1.729470 66.813 175.8297
1.742003 66.932 175.2785
1.754626 67.052 174.7241
1.767341 67.171 174.1661
1.780147 67.291 173.6042
1.793047 67.410 173.0381
1.806040 67.530 172.4675
1.819128 67.649 171.8923
1.832310 67.768 171.3124
1.845587 67.887 170.7278
1.858961 68.006 170.1388
1.872432 68.125 169.5455
1.886001 68.243 168.9484
1.899667 68.361 168.3479
1.913433 68.478 167.7443
1.927299 68.596 167.1381
1.941265 68.712 166.5295
1.955332 68.829 165.9190
1.969501 68.945 165.3068
1.983773 69.061 164.6932
1.998148 69.177 164.0784
2.012627 69.292 163.4626
2.027212 69.407 162.8461
2.041902 69.522 162.2288
2.056698 69.637 161.6110
2.071602 69.751 160.9927
2.086614 69.865 160.3738
2.101734 69.978 159.7545
2.116964 70.092 159.1346
2.132304 70.205 158.5139
2.147756 70.318 157.8922
2.163320 70.431 157.2691
2.178996 70.543 156.6442
2.194786 70.655 156.0169
2.210690 70.767 155.3865
2.226710 70.878 154.7526
2.242845 70.989 154.1150
2.259098 71.099 153.4736
2.275468 71.208 152.8287
2.291957 71.317 152.1806
2.308566 71.426 151.5298
2.325295 71.534 150.8768
2.342145 71.641 150.2221
2.359117 71.748 149.5661
2.376212 71.854 148.9094
2.393431 71.960 148.2522
2.410775 72.065 147.5951
2.428244 72.170 146.9384
2.445840 72.274 146.2822
2.463564 72.378 145.6269
2.481416 72.481 144.9726
2.499397 72.584 144.3192
2.517509 72.686 143.6665
2.535752 72.788 143.0141
2.554127 72.890 142.3613
2.572635 72.991 141.7072
2.591277 73.091 141.0509
2.610055 73.190 140.3917
2.628968 73.289 139.7295
2.648019 73.387 139.0641
2.667208 73.484 138.3961
2.686535 73.580 137.7257
2.706003 73.676 137.0538
2.725612 73.771 136.3809
2.745363 73.865 135.7077
2.765257 73.959 135.0348
2.785295 74.051 134.3630
2.805478 74.144 133.6927
2.825808 74.235 133.0246
2.846285 74.326 132.3589
2.866910 74.417 131.6958
2.887685 74.507 131.0352
2.908611 74.596 130.3767
2.929688 74.685 129.7195
2.950917 74.772 129.0627
2.972301 74.860 128.4051
2.993839 74.946 127.7464
3.015534 75.031 127.0862
3.037386 75.116 126.4247
3.059396 75.199 125.7625
3.081565 75.282 125.1000
3.103896 75.364 124.4381
3.126388 75.445 123.7776
3.149043 75.526 123.1192
3.171862 75.606 122.4637
3.194847 75.685 121.8118
3.217998 75.764 121.1641
3.241317 75.842 120.5208
3.264805 75.920 119.8820
3.288463 75.997 119.2473
3.312293 76.073 118.6158
3.336295 76.149 117.9869
3.360471 76.224 117.3598
3.384822 76.298 116.7342
3.409350 76.371 116.1099
3.434056 76.444 115.4872
3.458940 76.516 114.8664
3.484005 76.587 114.2481
3.509252 76.658 113.6329
3.534681 76.728 113.0213
3.560295 76.798 112.4139
3.586094 76.867 111.8113
3.612081 76.936 111.2137
3.638255 77.005 110.6212
3.664620 77.073 110.0336
3.691175 77.141 109.4506
3.717923 77.209 108.8715
3.744864 77.276 108.2960
3.772001 77.342 107.7239
3.799335 77.408 107.1550
3.826866 77.474 106.5894
3.854597 77.539 106.0271
3.882529 77.604 105.4684
3.910664 77.669 104.9136
3.939002 77.734 104.3628
3.967546 77.798 103.8163
3.996296 77.863 103.2743
4.025255 77.928 102.7367
4.054423 77.993 102.2036
4.083804 78.057 101.6748
4.113396 78.122 101.1500
4.143204 78.186 100.6289
4.173227 78.251 100.1111
4.203468 78.315 99.5963
4.233928 78.379 99.0842
4.264609 78.444 98.5745
4.295512 78.508 98.0670
4.326639 78.573 97.5615
4.357992 78.638 97.0579
4.389572 78.703 96.5563
4.421380 78.768 96.0566
4.453419 78.833 95.5589
4.485691 78.899 95.0630
4.518196 78.965 94.5687
4.550936 79.030 94.0756
4.583914 79.096 93.5834
4.617131 79.162 93.0915
4.650589 79.229 92.5995
4.684289 79.295 92.1071
4.718233 79.361 91.6139
4.752424 79.427 91.1196
4.786862 79.494 90.6243
4.821549 79.560 90.1280
4.856488 79.627 89.6305
4.891680 79.693 89.1318
4.927127 79.760 88.6319
4.962831 79.826 88.1305
4.998794 79.892 87.6274
5.035017 79.958 87.1223
5.071503 80.024 86.6148
5.108253 80.089 86.1048
5.145270 80.154 85.5920
5.182555 80.219 85.0763
5.220110 80.283 84.5577
5.257937 80.347 84.0363
5.296038 80.410 83.5125
5.334415 80.473 82.9864
5.373071 80.535 82.4582
5.412006 80.597 81.9280
5.451224 80.657 81.3958
5.490725 80.717 80.8615
5.530514 80.776 80.3248
5.570590 80.835 79.7857
5.610957 80.892 79.2444
5.651616 80.948 78.7011
5.692570 81.004 78.1566
5.733821 81.058 77.6112
5.775370 81.112 77.0655
5.817221 81.164 76.5198
5.859375 81.215 75.9742
5.901834 81.265 75.4286
5.944602 81.314 74.8829
5.987679 81.362 74.3373
6.031068 81.409 73.7922
6.074771 81.454 73.2481
6.118792 81.499 72.7057
6.163131 81.542 72.1655
6.207792 81.585 71.6279
6.252776 81.626 71.0930
6.298086 81.666 70.5608
6.343725 81.705 70.0311
6.389694 81.743 69.5043
6.435996 81.779 68.9805
6.482634 81.815 68.4604
6.529610 81.850 67.9441
6.576926 81.884 67.4320
6.624585 81.918 66.9243
6.672590 81.950 66.4207
