* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 9, 24 12:27:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kadenz ECHO B Bass++ L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.321 -42.2498
0.368865 62.313 -42.2899
0.371538 62.302 -42.3501
0.374230 62.287 -42.4257
0.376942 62.271 -42.5129
0.379673 62.254 -42.6089
0.382424 62.236 -42.7118
0.385196 62.217 -42.8205
0.387987 62.198 -42.9344
0.390798 62.179 -43.0530
0.393630 62.159 -43.1764
0.396483 62.140 -43.3044
0.399356 62.120 -43.4370
0.402250 62.100 -43.5744
0.405165 62.080 -43.7166
0.408101 62.060 -43.8637
0.411058 62.040 -44.0157
0.414037 62.019 -44.1728
0.417037 61.999 -44.3350
0.420059 61.978 -44.5024
0.423103 61.957 -44.6751
0.426169 61.936 -44.8532
0.429257 61.915 -45.0368
0.432368 61.893 -45.2261
0.435501 61.872 -45.4210
0.438656 61.850 -45.6217
0.441835 61.828 -45.8283
0.445037 61.806 -46.0409
0.448262 61.784 -46.2596
0.451510 61.762 -46.4845
0.454782 61.739 -46.7157
0.458077 61.717 -46.9533
0.461397 61.694 -47.1975
0.464740 61.671 -47.4483
0.468108 61.648 -47.7058
0.471500 61.625 -47.9702
0.474917 61.601 -48.2415
0.478358 61.578 -48.5200
0.481825 61.554 -48.8056
0.485316 61.530 -49.0985
0.488833 61.506 -49.3988
0.492375 61.481 -49.7067
0.495943 61.457 -50.0222
0.499537 61.432 -50.3454
0.503157 61.407 -50.6764
0.506803 61.382 -51.0154
0.510475 61.357 -51.3625
0.514175 61.332 -51.7178
0.517900 61.306 -52.0813
0.521653 61.280 -52.4531
0.525434 61.254 -52.8334
0.529241 61.228 -53.2223
0.533076 61.202 -53.6198
0.536939 61.175 -54.0260
0.540830 61.149 -54.4410
0.544749 61.122 -54.8649
0.548696 61.094 -55.2977
0.552673 61.067 -55.7395
0.556677 61.040 -56.1903
0.560711 61.012 -56.6502
0.564774 60.984 -57.1192
0.568867 60.956 -57.5974
0.572989 60.928 -58.0846
0.577141 60.899 -58.5811
0.581324 60.870 -59.0867
0.585536 60.841 -59.6014
0.589779 60.812 -60.1251
0.594053 60.783 -60.6579
0.598358 60.753 -61.1997
0.602694 60.724 -61.7504
0.607061 60.694 -62.3098
0.611460 60.663 -62.8779
0.615891 60.633 -63.4545
0.620354 60.602 -64.0394
0.624849 60.571 -64.6326
0.629377 60.540 -65.2338
0.633938 60.509 -65.8427
0.638532 60.478 -66.4592
0.643159 60.446 -67.0829
0.647819 60.414 -67.7136
0.652514 60.381 -68.3509
0.657242 60.349 -68.9946
0.662005 60.316 -69.6441
0.666802 60.283 -70.2993
0.671634 60.250 -70.9596
0.676501 60.217 -71.6245
0.681403 60.183 -72.2936
0.686341 60.149 -72.9663
0.691314 60.115 -73.6421
0.696324 60.080 -74.3203
0.701370 60.045 -75.0001
0.706452 60.010 -75.6807
0.711571 59.974 -76.3611
0.716728 59.937 -77.0403
0.721921 59.898 -77.7176
0.727153 59.857 -78.3927
0.732422 59.814 -79.0668
0.737729 59.767 -79.7433
0.743075 59.716 -80.4277
0.748460 59.661 -81.1259
0.753883 59.602 -81.8432
0.759346 59.540 -82.5834
0.764849 59.474 -83.3495
0.770391 59.405 -84.1435
0.775974 59.333 -84.9670
0.781597 59.258 -85.8212
0.787261 59.179 -86.7071
0.792966 59.098 -87.6258
0.798712 59.014 -88.5782
0.804500 58.928 -89.5653
0.810329 58.838 -90.5880
0.816201 58.747 -91.6473
0.822116 58.653 -92.7440
0.828073 58.557 -93.8792
0.834074 58.459 -95.0537
0.840118 58.360 -96.2686
0.846206 58.258 -97.5246
0.852338 58.156 -98.8227
0.858514 58.052 -100.1638
0.864735 57.947 -101.5486
0.871001 57.841 -102.9778
0.877313 57.734 -104.4523
0.883670 57.628 -105.9727
0.890074 57.521 -107.5394
0.896524 57.414 -109.1531
0.903020 57.307 -110.8140
0.909564 57.201 -112.5226
0.916155 57.096 -114.2790
0.922794 56.992 -116.0834
0.929481 56.889 -117.9355
0.936216 56.788 -119.8355
0.943000 56.690 -121.7829
0.949834 56.594 -123.7774
0.956717 56.500 -125.8185
0.963649 56.410 -127.9056
0.970632 56.324 -130.0381
0.977666 56.241 -132.2151
0.984750 56.163 -134.4358
0.991886 56.090 -136.6994
0.999074 56.022 -139.0048
1.006314 55.960 -141.3511
1.013606 55.905 -143.7375
1.020951 55.856 -146.1630
1.028349 55.814 -148.6269
1.035801 55.780 -151.1284
1.043307 55.755 -153.6670
1.050867 55.739 -156.2424
1.058482 55.733 -158.8547
1.066152 55.737 -161.5041
1.073878 55.752 -164.1916
1.081660 55.778 -166.9185
1.089498 55.816 -169.6863
1.097393 55.868 -172.4967
1.105345 55.932 -175.3501
1.113355 56.009 -178.2446
1.121423 56.099 178.8250
1.129549 56.203 175.8669
1.137734 56.320 172.8919
1.145979 56.449 169.9124
1.154283 56.592 166.9413
1.162647 56.746 163.9917
1.171072 56.913 161.0762
1.179558 57.092 158.2062
1.188106 57.281 155.3919
1.196715 57.482 152.6418
1.205387 57.693 149.9630
1.214122 57.914 147.3608
1.222920 58.145 144.8392
1.231782 58.384 142.4003
1.240708 58.632 140.0453
1.249699 58.889 137.7743
1.258754 59.152 135.5860
1.267876 59.422 133.4787
1.277063 59.699 131.4498
1.286318 59.980 129.4967
1.295639 60.267 127.6158
1.305027 60.558 125.8036
1.314484 60.852 124.0565
1.324009 61.148 122.3707
1.333604 61.446 120.7424
1.343268 61.745 119.1678
1.353002 62.044 117.6432
1.362806 62.342 116.1649
1.372681 62.638 114.7296
1.382628 62.931 113.3336
1.392647 63.221 111.9739
1.402739 63.506 110.6474
1.412904 63.785 109.3510
1.423142 64.058 108.0823
1.433455 64.325 106.8387
1.443843 64.585 105.6183
1.454305 64.838 104.4197
1.464844 65.086 103.2419
1.475459 65.330 102.0849
1.486150 65.571 100.9485
1.496920 65.809 99.8329
1.507767 66.047 98.7381
1.518693 66.283 97.6637
1.529698 66.519 96.6093
1.540783 66.755 95.5740
1.551948 66.990 94.5572
1.563194 67.225 93.5577
1.574521 67.459 92.5746
1.585931 67.694 91.6068
1.597423 67.927 90.6534
1.608999 68.161 89.7130
1.620658 68.394 88.7847
1.632402 68.626 87.8672
1.644232 68.858 86.9596
1.656146 69.089 86.0607
1.668147 69.319 85.1694
1.680235 69.549 84.2847
1.692411 69.778 83.4053
1.704675 70.006 82.5304
1.717028 70.233 81.6588
1.729470 70.459 80.7895
1.742003 70.684 79.9215
1.754626 70.908 79.0540
1.767341 71.131 78.1859
1.780147 71.352 77.3167
1.793047 71.573 76.4455
1.806040 71.791 75.5723
1.819128 72.008 74.6969
1.832310 72.223 73.8199
1.845587 72.436 72.9421
1.858961 72.647 72.0648
1.872432 72.856 71.1890
1.886001 73.062 70.3156
1.899667 73.267 69.4456
1.913433 73.469 68.5794
1.927299 73.669 67.7176
1.941265 73.867 66.8603
1.955332 74.063 66.0077
1.969501 74.257 65.1599
1.983773 74.450 64.3167
1.998148 74.641 63.4781
2.012627 74.830 62.6437
2.027212 75.019 61.8134
2.041902 75.206 60.9866
2.056698 75.392 60.1630
2.071602 75.577 59.3422
2.086614 75.761 58.5235
2.101734 75.945 57.7064
2.116964 76.129 56.8904
2.132304 76.312 56.0746
2.147756 76.495 55.2587
2.163320 76.678 54.4420
2.178996 76.861 53.6240
2.194786 77.043 52.8045
2.210690 77.224 51.9835
2.226710 77.405 51.1612
2.242845 77.584 50.3380
2.259098 77.762 49.5143
2.275468 77.939 48.6909
2.291957 78.114 47.8680
2.308566 78.288 47.0461
2.325295 78.460 46.2256
2.342145 78.632 45.4066
2.359117 78.802 44.5894
2.376212 78.971 43.7740
2.393431 79.139 42.9605
2.410775 79.306 42.1487
2.428244 79.473 41.3386
2.445840 79.638 40.5298
2.463564 79.804 39.7222
2.481416 79.968 38.9153
2.499397 80.132 38.1086
2.517509 80.296 37.3018
2.535752 80.459 36.4942
2.554127 80.621 35.6852
2.572635 80.783 34.8745
2.591277 80.944 34.0616
2.610055 81.104 33.2466
2.628968 81.263 32.4297
2.648019 81.421 31.6111
2.667208 81.578 30.7914
2.686535 81.733 29.9711
2.706003 81.888 29.1506
2.725612 82.041 28.3304
2.745363 82.194 27.5109
2.765257 82.345 26.6923
2.785295 82.496 25.8747
2.805478 82.646 25.0584
2.825808 82.796 24.2433
2.846285 82.945 23.4294
2.866910 83.093 22.6165
2.887685 83.240 21.8039
2.908611 83.387 20.9913
2.929688 83.534 20.1780
2.950917 83.679 19.3632
2.972301 83.824 18.5466
2.993839 83.967 17.7281
3.015534 84.110 16.9076
3.037386 84.251 16.0857
3.059396 84.392 15.2627
3.081565 84.531 14.4392
3.103896 84.670 13.6158
3.126388 84.808 12.7928
3.149043 84.945 11.9708
3.171862 85.081 11.1500
3.194847 85.216 10.3306
3.217998 85.351 9.5126
3.241317 85.485 8.6957
3.264805 85.618 7.8796
3.288463 85.751 7.0637
3.312293 85.883 6.2472
3.336295 86.014 5.4294
3.360471 86.144 4.6099
3.384822 86.273 3.7886
3.409350 86.401 2.9658
3.434056 86.528 2.1421
3.458940 86.654 1.3179
3.484005 86.780 0.4938
3.509252 86.904 -0.3295
3.534681 87.028 -1.1515
3.560295 87.151 -1.9719
3.586094 87.273 -2.7906
3.612081 87.395 -3.6077
3.638255 87.515 -4.4233
3.664620 87.635 -5.2383
3.691175 87.755 -6.0533
3.717923 87.873 -6.8689
3.744864 87.991 -7.6855
3.772001 88.107 -8.5031
3.799335 88.223 -9.3212
3.826866 88.337 -10.1395
3.854597 88.451 -10.9574
3.882529 88.564 -11.7743
3.910664 88.677 -12.5898
3.939002 88.788 -13.4036
3.967546 88.899 -14.2155
3.996296 89.009 -15.0256
4.025255 89.119 -15.8347
4.054423 89.227 -16.6431
4.083804 89.335 -17.4516
4.113396 89.442 -18.2604
4.143204 89.548 -19.0697
4.173227 89.653 -19.8790
4.203468 89.758 -20.6882
4.233928 89.861 -21.4965
4.264609 89.964 -22.3036
4.295512 90.066 -23.1089
4.326639 90.168 -23.9124
4.357992 90.268 -24.7139
4.389572 90.368 -25.5139
4.421380 90.468 -26.3129
4.453419 90.566 -27.1113
4.485691 90.664 -27.9095
4.518196 90.761 -28.7077
4.550936 90.857 -29.5054
4.583914 90.952 -30.3024
4.617131 91.046 -31.0983
4.650589 91.140 -31.8925
4.684289 91.233 -32.6848
4.718233 91.326 -33.4753
4.752424 91.417 -34.2642
4.786862 91.508 -35.0517
4.821549 91.598 -35.8384
4.856488 91.688 -36.6245
4.891680 91.776 -37.4102
4.927127 91.864 -38.1949
4.962831 91.952 -38.9788
4.998794 92.038 -39.7610
5.035017 92.124 -40.5416
5.071503 92.209 -41.3201
5.108253 92.293 -42.0968
5.145270 92.377 -42.8719
5.182555 92.460 -43.6459
5.220110 92.542 -44.4188
5.257937 92.623 -45.1908
5.296038 92.704 -45.9617
5.334415 92.784 -46.7313
5.373071 92.863 -47.4991
5.412006 92.942 -48.2649
5.451224 93.020 -49.0287
5.490725 93.097 -49.7904
5.530514 93.174 -50.5504
5.570590 93.250 -51.3088
5.610957 93.325 -52.0660
5.651616 93.399 -52.8217
5.692570 93.473 -53.5758
5.733821 93.546 -54.3280
5.775370 93.618 -55.0781
5.817221 93.690 -55.8258
5.859375 93.761 -56.5714
5.901834 93.832 -57.3148
5.944602 93.902 -58.0565
5.987679 93.971 -58.7964
6.031068 94.039 -59.5345
6.074771 94.107 -60.2707
6.118792 94.174 -61.0046
6.163131 94.241 -61.7363
6.207792 94.307 -62.4655
6.252776 94.373 -63.1924
6.298086 94.438 -63.9172
6.343725 94.502 -64.6401
6.389694 94.566 -65.3610
6.435996 94.629 -66.0798
6.482634 94.692 -66.7966
6.529610 94.754 -67.5111
