* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.960
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 15, 2023 3:17:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Idun Golden L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 95.056 178.0836
20.507813 95.054 178.0380
20.874023 95.077 178.0740
21.240234 95.172 178.4051
21.606445 95.317 178.6847
21.972656 95.439 178.5656
22.338867 95.481 178.1336
22.705078 95.439 177.7363
23.071289 95.365 177.6509
23.437500 95.333 177.8467
23.803711 95.381 178.0138
24.169922 95.478 177.8553
24.536133 95.551 177.3787
24.902344 95.548 176.9251
25.268555 95.474 176.9075
25.634766 95.388 177.4578
26.000977 95.360 178.2637
26.367188 95.412 178.7571
26.733399 95.502 178.5244
27.099610 95.562 177.6065
27.465821 95.551 176.4737
27.832032 95.482 175.7208
28.198243 95.413 175.6992
28.564454 95.411 176.3123
28.930665 95.501 177.1022
29.296876 95.646 177.5555
29.663087 95.779 177.4020
30.029298 95.838 176.7159
30.395509 95.800 175.8142
30.761720 95.683 175.0708
31.127931 95.532 174.7541
31.494142 95.404 174.9374
31.860353 95.345 175.4970
32.226563 95.372 176.1855
32.592774 95.469 176.7428
32.958985 95.599 176.9905
33.325196 95.724 176.8706
33.691407 95.817 176.4292
34.057618 95.865 175.7720
34.423829 95.867 175.0258
34.790040 95.829 174.3169
35.156251 95.763 173.7616
35.522462 95.683 173.4549
35.888673 95.602 173.4500
36.254884 95.537 173.7376
36.621095 95.499 174.2401
36.987306 95.493 174.8340
37.353517 95.513 175.3910
37.719728 95.552 175.8170
38.085939 95.600 176.0663
38.452150 95.652 176.1327
38.818361 95.704 176.0336
39.184572 95.752 175.7982
39.550783 95.795 175.4663
39.916994 95.827 175.0876
40.283205 95.845 174.7144
40.649416 95.848 174.3898
41.015627 95.839 174.1380
41.381838 95.819 173.9622
41.748049 95.793 173.8492
42.114260 95.767 173.7766
42.480471 95.743 173.7188
42.846682 95.724 173.6548
43.212893 95.712 173.5769
43.579103 95.703 173.4951
43.945314 95.698 173.4322
44.311525 95.697 173.4068
44.677736 95.700 173.4190
45.043947 95.705 173.4490
45.410158 95.708 173.4748
45.776369 95.705 173.4917
46.142580 95.693 173.5145
46.508791 95.678 173.5561
46.875002 95.664 173.6040
47.241213 95.656 173.6190
47.607424 95.652 173.5648
47.973635 95.645 173.4455
48.339846 95.631 173.3145
48.706057 95.612 173.2398
49.072268 95.598 173.2493
49.438479 95.598 173.3034
49.804690 95.612 173.3222
50.170901 95.631 173.2492
50.537112 95.642 173.0974
50.903323 95.639 172.9368
51.269534 95.629 172.8316
51.635745 95.624 172.7797
52.001956 95.633 172.7092
52.368167 95.649 172.5392
52.734378 95.661 172.2543
53.100589 95.657 171.9296
53.466800 95.639 171.6809
53.833011 95.623 171.5788
54.199222 95.627 171.5947
54.565432 95.654 171.6245
54.931643 95.696 171.5712
55.297854 95.732 171.4198
55.664065 95.750 171.2456
56.030276 95.750 171.1509
56.396487 95.746 171.1827
56.762698 95.752 171.2963
57.128909 95.773 171.3927
57.495120 95.798 171.3996
57.861331 95.814 171.3327
58.227542 95.811 171.2897
58.593753 95.792 171.3829
58.959964 95.771 171.6562
59.326175 95.763 172.0460
59.692386 95.770 172.4092
60.058597 95.783 172.6012
60.424808 95.784 172.5505
60.791019 95.757 172.2896
61.157230 95.702 171.9267
61.523441 95.631 171.5836
61.889652 95.570 171.3351
62.255863 95.542 171.1844
62.622074 95.558 171.0805
62.988285 95.612 170.9634
63.354496 95.684 170.8079
63.720707 95.753 170.6421
64.086918 95.798 170.5322
64.453129 95.814 170.5459
64.819340 95.804 170.7124
65.185551 95.781 171.0008
65.551762 95.759 171.3247
65.917972 95.746 171.5729
66.284183 95.744 171.6511
66.650394 95.747 171.5197
67.016605 95.748 171.2095
67.382816 95.738 170.8124
67.749027 95.714 170.4474
68.115238 95.682 170.2165
68.481449 95.651 170.1669
68.847660 95.632 170.2753
69.213871 95.630 170.4614
69.580082 95.645 170.6243
69.946293 95.668 170.6850
70.312504 95.689 170.6164
70.678715 95.698 170.4476
71.044926 95.693 170.2444
71.411137 95.677 170.0778
71.777348 95.655 169.9949
72.143559 95.636 170.0053
72.509770 95.626 170.0851
72.875981 95.628 170.1912
73.242192 95.638 170.2807
73.608403 95.653 170.3232
73.974614 95.669 170.3061
74.340825 95.680 170.2326
74.707036 95.685 170.1158
75.073247 95.684 169.9727
75.439458 95.676 169.8208
75.805669 95.663 169.6765
76.171880 95.645 169.5543
76.538091 95.626 169.4663
76.904301 95.608 169.4218
77.270512 95.593 169.4249
77.636723 95.584 169.4726
78.002934 95.583 169.5537
78.369145 95.591 169.6483
78.735356 95.608 169.7299
79.101567 95.633 169.7701
79.467778 95.662 169.7444
79.833989 95.690 169.6392
80.200200 95.712 169.4567
80.566411 95.724 169.2164
80.932622 95.722 168.9517
81.298833 95.706 168.7034
81.665044 95.677 168.5111
82.031255 95.638 168.4046
82.397466 95.595 168.3989
82.763677 95.554 168.4911
83.129888 95.521 168.6615
83.496099 95.503 168.8779
83.862310 95.501 169.1015
84.228521 95.516 169.2941
84.594732 95.546 169.4241
84.960943 95.585 169.4711
85.327154 95.629 169.4281
85.693365 95.671 169.3017
86.059576 95.704 169.1096
86.425787 95.725 168.8774
86.791998 95.731 168.6339
87.158209 95.724 168.4051
87.524420 95.705 168.2106
87.890631 95.678 168.0613
88.256841 95.646 167.9600
88.623052 95.613 167.9045
88.989263 95.581 167.8906
89.355474 95.553 167.9133
89.721685 95.530 167.9666
90.087896 95.513 168.0427
90.454107 95.502 168.1322
90.820318 95.495 168.2260
91.186529 95.493 168.3172
91.552740 95.492 168.4028
91.918951 95.494 168.4819
92.285162 95.497 168.5544
92.651373 95.501 168.6189
93.017584 95.506 168.6730
93.383795 95.513 168.7150
93.750006 95.520 168.7451
94.116217 95.528 168.7662
94.482428 95.535 168.7819
94.848639 95.543 168.7944
95.214850 95.552 168.8036
95.581061 95.561 168.8068
95.947272 95.572 168.8004
96.313483 95.584 168.7804
96.679694 95.596 168.7434
97.045905 95.609 168.6866
97.412116 95.620 168.6078
97.778327 95.630 168.5063
98.144538 95.638 168.3841
98.510749 95.642 168.2451
98.876960 95.644 168.0947
99.243170 95.642 167.9381
99.609381 95.637 167.7791
99.975592 95.631 167.6200
100.341803 95.624 167.4626
100.708014 95.616 167.3091
101.074225 95.607 167.1630
101.440436 95.598 167.0282
101.806647 95.590 166.9075
102.172858 95.582 166.8017
102.539069 95.575 166.7092
102.905280 95.568 166.6272
103.271491 95.561 166.5532
103.637702 95.554 166.4868
104.003913 95.545 166.4293
104.370124 95.534 166.3831
104.736335 95.524 166.3496
105.102546 95.513 166.3281
105.468757 95.504 166.3149
105.834968 95.497 166.3053
106.201179 95.490 166.2950
106.567390 95.485 166.2823
106.933601 95.481 166.2684
107.299812 95.477 166.2561
107.666023 95.475 166.2475
108.032234 95.474 166.2422
108.398445 95.474 166.2374
108.764656 95.476 166.2298
109.130867 95.478 166.2180
109.497078 95.479 166.2045
109.863289 95.480 166.1944
110.229500 95.480 166.1929
110.595710 95.481 166.2014
110.961921 95.483 166.2161
111.328132 95.486 166.2296
111.694343 95.491 166.2349
112.060554 95.496 166.2297
112.426765 95.500 166.2183
112.792976 95.502 166.2099
113.159187 95.503 166.2131
113.525398 95.505 166.2317
113.891609 95.507 166.2620
114.257820 95.510 166.2950
114.624031 95.514 166.3219
114.990242 95.517 166.3384
115.356453 95.517 166.3481
115.722664 95.515 166.3590
116.088875 95.512 166.3787
116.455086 95.509 166.4083
116.821297 95.508 166.4406
117.187508 95.510 166.4626
117.553719 95.513 166.4623
117.919930 95.515 166.4357
118.286141 95.514 166.3892
118.652352 95.509 166.3373
119.018563 95.500 166.2949
119.384774 95.489 166.2698
119.750985 95.478 166.2583
120.117196 95.469 166.2473
120.483407 95.461 166.2214
120.849618 95.453 166.1716
121.215829 95.443 166.0998
121.582040 95.429 166.0183
121.948250 95.413 165.9432
122.314461 95.396 165.8869
122.680672 95.381 165.8517
123.046883 95.371 165.8296
123.413094 95.365 165.8067
123.779305 95.365 165.7701
124.145516 95.366 165.7144
124.511727 95.368 165.6434
124.877938 95.369 165.5688
125.244149 95.368 165.5044
125.610360 95.367 165.4610
125.976571 95.367 165.4417
126.342782 95.370 165.4416
126.708993 95.376 165.4500
127.075204 95.384 165.4549
127.441415 95.393 165.4478
127.807626 95.400 165.4267
128.173837 95.403 165.3970
128.540048 95.401 165.3691
128.906259 95.394 165.3540
129.272470 95.383 165.3585
129.638681 95.371 165.3817
130.004892 95.358 165.4146
130.371103 95.348 165.4423
130.737314 95.340 165.4486
131.103525 95.333 165.4212
131.469736 95.326 165.3552
131.835947 95.319 165.2539
132.202158 95.311 165.1276
132.568369 95.301 164.9899
132.934579 95.292 164.8540
133.300790 95.285 164.7298
133.667001 95.281 164.6229
134.033212 95.282 164.5350
134.399423 95.287 164.4648
134.765634 95.297 164.4105
135.131845 95.309 164.3703
135.498056 95.322 164.3435
135.864267 95.334 164.3306
136.230478 95.343 164.3326
136.596689 95.349 164.3502
136.962900 95.351 164.3828
137.329111 95.350 164.4273
137.695322 95.345 164.4783
138.061533 95.339 164.5282
138.427744 95.332 164.5684
138.793955 95.326 164.5910
139.160166 95.319 164.5905
139.526377 95.314 164.5651
139.892588 95.309 164.5167
140.258799 95.304 164.4507
140.625010 95.300 164.3748
140.991221 95.296 164.2977
141.357432 95.291 164.2269
141.723643 95.287 164.1686
142.089854 95.282 164.1261
142.456065 95.278 164.1002
142.822276 95.273 164.0890
143.188487 95.269 164.0887
143.554698 95.265 164.0940
143.920909 95.262 164.0993
144.287119 95.260 164.0993
144.653330 95.258 164.0898
145.019541 95.258 164.0682
145.385752 95.258 164.0340
145.751963 95.260 163.9889
146.118174 95.262 163.9363
146.484385 95.264 163.8810
146.850596 95.266 163.8282
147.216807 95.267 163.7829
147.583018 95.268 163.7490
147.949229 95.268 163.7280
148.315440 95.267 163.7196
148.681651 95.265 163.7209
149.047862 95.263 163.7278
149.414073 95.261 163.7351
149.780284 95.260 163.7381
150.146495 95.261 163.7334
150.512706 95.262 163.7194
150.878917 95.264 163.6966
151.245128 95.268 163.6674
151.611339 95.271 163.6353
151.977550 95.275 163.6044
152.343761 95.277 163.5784
152.709972 95.279 163.5599
153.076183 95.278 163.5503
153.442394 95.275 163.5493
153.808605 95.269 163.5554
154.174816 95.262 163.5656
154.541027 95.253 163.5769
154.907238 95.243 163.5855
155.273448 95.233 163.5884
155.639659 95.224 163.5829
156.005870 95.216 163.5675
156.372081 95.209 163.5415
156.738292 95.203 163.5051
157.104503 95.198 163.4594
157.470714 95.193 163.4061
157.836925 95.189 163.3472
158.203136 95.185 163.2850
158.569347 95.180 163.2220
158.935558 95.175 163.1605
159.301769 95.170 163.1024
159.667980 95.164 163.0494
160.034191 95.157 163.0025
160.400402 95.151 162.9624
160.766613 95.144 162.9290
161.132824 95.138 162.9016
161.499035 95.131 162.8792
161.865246 95.125 162.8603
162.231457 95.120 162.8434
162.597668 95.114 162.8272
162.963879 95.110 162.8103
163.330090 95.105 162.7918
163.696301 95.102 162.7713
164.062512 95.099 162.7486
164.428723 95.097 162.7237
164.794934 95.096 162.6966
165.161145 95.095 162.6676
165.527356 95.094 162.6367
165.893567 95.093 162.6039
166.259778 95.093 162.5695
166.625988 95.093 162.5336
166.992199 95.092 162.4970
167.358410 95.092 162.4604
167.724621 95.091 162.4248
168.090832 95.090 162.3911
168.457043 95.089 162.3601
168.823254 95.087 162.3322
169.189465 95.085 162.3073
169.555676 95.083 162.2850
169.921887 95.080 162.2645
170.288098 95.077 162.2448
170.654309 95.074 162.2247
171.020520 95.070 162.2037
171.386731 95.066 162.1812
171.752942 95.062 162.1572
172.119153 95.059 162.1320
172.485364 95.055 162.1062
172.851575 95.052 162.0804
