* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 2, 2024 4:13:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Quintet R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 100.984 -162.6692
20.507813 100.978 -163.3491
20.874023 100.938 -164.9491
21.240234 100.850 -165.9221
21.606445 100.766 -166.0167
21.972656 100.759 -165.6802
22.338867 100.836 -165.5751
22.705078 100.931 -166.2503
23.071289 100.955 -167.7660
23.437500 100.863 -169.6412
23.803711 100.684 -171.1951
24.169922 100.520 -172.0151
24.536133 100.481 -172.2463
24.902344 100.600 -172.4606
25.268555 100.803 -173.1801
25.634766 100.971 -174.4738
26.000977 101.026 -175.9520
26.367188 100.963 -177.1010
26.733399 100.839 -177.6638
27.099610 100.730 -177.8014
27.465821 100.678 -177.9333
27.832032 100.670 -178.3967
28.198243 100.670 -179.2085
28.564454 100.655 179.8859
28.930665 100.640 179.1544
29.296876 100.651 178.6536
29.663087 100.700 178.2144
30.029298 100.764 177.6201
30.395509 100.801 176.8013
30.761720 100.785 175.8854
31.127931 100.717 175.0812
31.494142 100.626 174.5124
31.860353 100.550 174.1359
32.226563 100.506 173.7970
32.592774 100.488 173.3595
32.958985 100.479 172.7969
33.325196 100.465 172.1791
33.691407 100.446 171.5870
34.057618 100.430 171.0375
34.423829 100.425 170.4789
34.790040 100.429 169.8455
35.156251 100.435 169.1163
35.522462 100.438 168.3301
35.888673 100.437 167.5526
36.254884 100.437 166.8334
36.621095 100.440 166.1875
36.987306 100.441 165.6103
37.353517 100.435 165.1046
37.719728 100.415 164.6918
38.085939 100.378 164.3985
38.452150 100.332 164.2278
38.818361 100.285 164.1402
39.184572 100.246 164.0575
39.550783 100.221 163.8885
39.916994 100.209 163.5623
40.283205 100.202 163.0510
40.649416 100.194 162.3751
41.015627 100.178 161.5926
41.381838 100.151 160.7795
41.748049 100.110 160.0114
42.114260 100.058 159.3505
42.480471 99.998 158.8391
42.846682 99.936 158.4980
43.212893 99.879 158.3243
43.579103 99.835 158.2885
43.945314 99.812 158.3350
44.311525 99.810 158.3905
44.677736 99.824 158.3837
45.043947 99.844 158.2691
45.410158 99.858 158.0419
45.776369 99.856 157.7341
46.142580 99.838 157.3912
46.508791 99.807 157.0446
46.875002 99.771 156.6946
47.241213 99.736 156.3156
47.607424 99.707 155.8784
47.973635 99.682 155.3734
48.339846 99.661 154.8182
48.706057 99.643 154.2488
49.072268 99.630 153.7005
49.438479 99.623 153.1952
49.804690 99.621 152.7418
50.170901 99.621 152.3445
50.537112 99.616 152.0095
50.903323 99.603 151.7419
51.269534 99.578 151.5355
51.635745 99.543 151.3643
52.001956 99.499 151.1844
52.368167 99.447 150.9468
52.734378 99.392 150.6149
53.100589 99.338 150.1797
53.466800 99.291 149.6663
53.833011 99.255 149.1288
54.199222 99.234 148.6378
54.565432 99.229 148.2596
54.931643 99.239 148.0360
55.297854 99.256 147.9691
55.664065 99.273 148.0186
56.030276 99.282 148.1135
56.396487 99.275 148.1716
56.762698 99.252 148.1210
57.128909 99.215 147.9139
57.495120 99.173 147.5339
57.861331 99.135 146.9975
58.227542 99.109 146.3538
58.593753 99.096 145.6787
58.959964 99.091 145.0603
59.326175 99.090 144.5746
59.692386 99.084 144.2592
60.058597 99.070 144.0989
60.424808 99.044 144.0327
60.791019 99.004 143.9802
61.157230 98.952 143.8761
61.523441 98.891 143.6920
61.889652 98.829 143.4370
62.255863 98.776 143.1422
62.622074 98.739 142.8403
62.988285 98.718 142.5554
63.354496 98.708 142.3024
63.720707 98.701 142.0911
64.086918 98.690 141.9238
64.453129 98.670 141.7885
64.819340 98.644 141.6541
65.185551 98.615 141.4779
65.551762 98.587 141.2259
65.917972 98.560 140.8933
66.284183 98.534 140.5128
66.650394 98.509 140.1412
67.016605 98.487 139.8307
67.382816 98.470 139.6033
67.749027 98.457 139.4417
68.115238 98.446 139.3021
68.481449 98.433 139.1392
68.847660 98.411 138.9276
69.213871 98.381 138.6688
69.580082 98.342 138.3823
69.946293 98.302 138.0906
70.312504 98.267 137.8065
70.678715 98.242 137.5309
71.044926 98.226 137.2589
71.411137 98.219 136.9886
71.777348 98.216 136.7259
72.143559 98.213 136.4845
72.509770 98.207 136.2793
72.875981 98.197 136.1194
73.242192 98.184 136.0027
73.608403 98.169 135.9150
73.974614 98.151 135.8336
74.340825 98.130 135.7340
74.707036 98.105 135.5970
75.073247 98.076 135.4143
75.439458 98.044 135.1896
75.805669 98.008 134.9370
76.171880 97.973 134.6758
76.538091 97.940 134.4247
76.904301 97.912 134.1968
77.270512 97.890 133.9958
77.636723 97.874 133.8167
78.002934 97.862 133.6474
78.369145 97.850 133.4744
78.735356 97.835 133.2883
79.101567 97.816 133.0873
79.467778 97.791 132.8782
79.833989 97.763 132.6730
80.200200 97.733 132.4835
80.566411 97.706 132.3157
80.932622 97.683 132.1677
81.298833 97.665 132.0309
81.665044 97.651 131.8950
82.031255 97.637 131.7521
82.397466 97.620 131.6002
82.763677 97.600 131.4424
83.129888 97.575 131.2838
83.496099 97.546 131.1276
83.862310 97.517 130.9735
84.228521 97.489 130.8176
84.594732 97.464 130.6545
84.960943 97.442 130.4803
85.327154 97.423 130.2938
85.693365 97.406 130.0966
86.059576 97.389 129.8923
86.425787 97.372 129.6850
86.791998 97.355 129.4784
87.158209 97.336 129.2762
87.524420 97.316 129.0825
87.890631 97.296 128.9012
88.256841 97.276 128.7355
88.623052 97.257 128.5862
88.989263 97.239 128.4506
89.355474 97.223 128.3224
89.721685 97.209 128.1932
90.087896 97.194 128.0547
90.454107 97.178 127.9017
90.820318 97.159 127.7332
91.186529 97.137 127.5536
91.552740 97.112 127.3706
91.918951 97.085 127.1927
92.285162 97.056 127.0274
92.651373 97.029 126.8785
93.017584 97.003 126.7466
93.383795 96.980 126.6290
93.750006 96.960 126.5214
94.116217 96.942 126.4183
94.482428 96.927 126.3141
94.848639 96.913 126.2036
95.214850 96.900 126.0815
95.581061 96.887 125.9443
95.947272 96.875 125.7903
96.313483 96.861 125.6206
96.679694 96.846 125.4388
97.045905 96.829 125.2502
97.412116 96.810 125.0606
97.778327 96.789 124.8745
98.144538 96.767 124.6948
98.510749 96.745 124.5227
98.876960 96.722 124.3582
99.243170 96.699 124.2009
99.609381 96.677 124.0511
99.975592 96.655 123.9094
100.341803 96.634 123.7768
100.708014 96.613 123.6539
101.074225 96.593 123.5405
101.440436 96.574 123.4354
101.806647 96.556 123.3361
102.172858 96.540 123.2395
102.539069 96.525 123.1420
102.905280 96.511 123.0399
103.271491 96.498 122.9300
103.637702 96.486 122.8095
104.003913 96.475 122.6775
104.370124 96.464 122.5344
104.736335 96.451 122.3826
105.102546 96.437 122.2263
105.468757 96.422 122.0700
105.834968 96.404 121.9182
106.201179 96.386 121.7740
106.567390 96.366 121.6390
106.933601 96.347 121.5131
107.299812 96.327 121.3949
107.666023 96.307 121.2825
108.032234 96.288 121.1740
108.398445 96.269 121.0676
108.764656 96.252 120.9620
109.130867 96.235 120.8557
109.497078 96.219 120.7472
109.863289 96.204 120.6350
110.229500 96.189 120.5175
110.595710 96.175 120.3928
110.961921 96.161 120.2590
111.328132 96.147 120.1146
111.694343 96.133 119.9586
112.060554 96.120 119.7906
112.426765 96.105 119.6115
112.792976 96.090 119.4239
113.159187 96.073 119.2318
113.525398 96.054 119.0415
113.891609 96.033 118.8606
114.257820 96.008 118.6974
114.624031 95.979 118.5596
114.990242 95.948 118.4525
115.356453 95.915 118.3772
115.722664 95.881 118.3305
116.088875 95.848 118.3047
116.455086 95.817 118.2890
116.821297 95.790 118.2715
117.187508 95.766 118.2413
117.553719 95.747 118.1899
117.919930 95.730 118.1131
118.286141 95.715 118.0106
118.652352 95.702 117.8863
119.018563 95.690 117.7473
119.384774 95.678 117.6020
119.750985 95.667 117.4588
120.117196 95.656 117.3242
120.483407 95.646 117.2020
120.849618 95.637 117.0933
121.215829 95.629 116.9963
121.582040 95.622 116.9083
121.948250 95.615 116.8254
122.314461 95.608 116.7438
122.680672 95.600 116.6605
123.046883 95.591 116.5726
123.413094 95.581 116.4782
123.779305 95.569 116.3763
124.145516 95.557 116.2667
124.511727 95.544 116.1499
124.877938 95.530 116.0270
125.244149 95.516 115.8996
125.610360 95.501 115.7693
125.976571 95.486 115.6376
126.342782 95.472 115.5063
126.708993 95.457 115.3768
127.075204 95.443 115.2504
127.441415 95.429 115.1285
127.807626 95.416 115.0119
128.173837 95.403 114.9011
128.540048 95.391 114.7961
128.906259 95.380 114.6968
129.272470 95.368 114.6022
129.638681 95.357 114.5115
130.004892 95.346 114.4236
130.371103 95.335 114.3375
130.737314 95.323 114.2524
131.103525 95.311 114.1678
131.469736 95.299 114.0834
131.835947 95.287 113.9994
132.202158 95.275 113.9162
132.568369 95.263 113.8345
132.934579 95.251 113.7551
133.300790 95.240 113.6783
133.667001 95.229 113.6046
134.033212 95.219 113.5334
134.399423 95.210 113.4644
134.765634 95.201 113.3968
135.131845 95.194 113.3303
135.498056 95.187 113.2649
135.864267 95.182 113.2015
136.230478 95.176 113.1416
136.596689 95.170 113.0868
136.962900 95.164 113.0385
137.329111 95.157 112.9978
137.695322 95.149 112.9642
138.061533 95.140 112.9364
138.427744 95.130 112.9118
138.793955 95.118 112.8867
139.160166 95.104 112.8569
139.526377 95.089 112.8184
139.892588 95.073 112.7675
140.258799 95.055 112.7019
140.625010 95.036 112.6207
140.991221 95.016 112.5245
141.357432 94.995 112.4153
141.723643 94.974 112.2957
142.089854 94.953 112.1686
142.456065 94.932 112.0359
142.822276 94.911 111.8987
143.188487 94.892 111.7568
143.554698 94.874 111.6086
143.920909 94.857 111.4517
144.287119 94.843 111.2832
144.653330 94.831 111.1007
145.019541 94.822 110.9031
145.385752 94.814 110.6909
145.751963 94.808 110.4663
146.118174 94.803 110.2330
146.484385 94.799 109.9954
146.850596 94.795 109.7576
147.216807 94.791 109.5231
147.583018 94.786 109.2940
147.949229 94.782 109.0714
148.315440 94.777 108.8566
148.681651 94.773 108.6515
149.047862 94.768 108.4597
149.414073 94.762 108.2863
149.780284 94.755 108.1379
150.146495 94.747 108.0207
150.512706 94.737 107.9396
150.878917 94.725 107.8969
151.245128 94.711 107.8912
151.611339 94.695 107.9178
151.977550 94.677 107.9693
152.343761 94.657 108.0368
152.709972 94.636 108.1110
153.076183 94.615 108.1835
153.442394 94.594 108.2476
153.808605 94.574 108.2987
154.174816 94.556 108.3342
154.541027 94.539 108.3532
154.907238 94.524 108.3566
155.273448 94.512 108.3460
155.639659 94.501 108.3240
156.005870 94.491 108.2934
156.372081 94.483 108.2568
156.738292 94.475 108.2169
157.104503 94.468 108.1756
157.470714 94.460 108.1343
157.836925 94.452 108.0939
158.203136 94.444 108.0543
158.569347 94.435 108.0150
158.935558 94.425 107.9748
159.301769 94.415 107.9323
159.667980 94.403 107.8862
160.034191 94.392 107.8350
160.400402 94.380 107.7779
160.766613 94.368 107.7143
161.132824 94.356 107.6442
161.499035 94.345 107.5682
161.865246 94.334 107.4872
162.231457 94.324 107.4026
162.597668 94.314 107.3158
162.963879 94.305 107.2285
163.330090 94.297 107.1420
163.696301 94.289 107.0574
164.062512 94.280 106.9758
164.428723 94.272 106.8977
164.794934 94.263 106.8234
165.161145 94.254 106.7528
165.527356 94.244 106.6857
165.893567 94.234 106.6216
166.259778 94.222 106.5600
166.625988 94.210 106.5003
166.992199 94.198 106.4420
167.358410 94.186 106.3846
167.724621 94.173 106.3278
168.090832 94.160 106.2714
168.457043 94.148 106.2152
168.823254 94.135 106.1595
169.189465 94.124 106.1041
169.555676 94.113 106.0491
169.921887 94.102 105.9944
170.288098 94.092 105.9393
170.654309 94.083 105.8833
171.020520 94.073 105.8254
171.386731 94.065 105.7644
171.752942 94.056 105.6993
172.119153 94.047 105.6292
