* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:30:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Cadenza R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.072 -170.5036
20.507813 94.048 -170.6345
20.874023 93.976 -170.9667
21.240234 93.887 -171.2441
21.606445 93.808 -171.4097
21.972656 93.764 -171.5099
22.338867 93.771 -171.6438
22.705078 93.816 -171.9196
23.071289 93.870 -172.3769
23.437500 93.902 -172.9472
23.803711 93.895 -173.4886
24.169922 93.853 -173.8708
24.536133 93.798 -174.0538
24.902344 93.751 -174.1048
25.268555 93.723 -174.1405
25.634766 93.710 -174.2409
26.000977 93.700 -174.3976
26.367188 93.684 -174.5305
26.733399 93.661 -174.5548
27.099610 93.638 -174.4474
27.465821 93.622 -174.2636
27.832032 93.613 -174.1009
28.198243 93.609 -174.0437
28.564454 93.605 -174.1288
28.930665 93.599 -174.3441
29.296876 93.595 -174.6505
29.663087 93.596 -175.0043
30.029298 93.600 -175.3655
30.395509 93.606 -175.6970
30.761720 93.608 -175.9668
31.127931 93.604 -176.1578
31.494142 93.592 -176.2787
31.860353 93.575 -176.3627
32.226563 93.554 -176.4516
32.592774 93.529 -176.5742
32.958985 93.501 -176.7323
33.325196 93.473 -176.9035
33.691407 93.447 -177.0592
34.057618 93.427 -177.1838
34.423829 93.412 -177.2796
34.790040 93.398 -177.3592
35.156251 93.382 -177.4321
35.522462 93.359 -177.4994
35.888673 93.329 -177.5569
36.254884 93.295 -177.6043
36.621095 93.261 -177.6487
36.987306 93.229 -177.7003
37.353517 93.201 -177.7638
37.719728 93.175 -177.8316
38.085939 93.149 -177.8872
38.452150 93.121 -177.9152
38.818361 93.092 -177.9101
39.184572 93.064 -177.8792
39.550783 93.038 -177.8372
39.916994 93.013 -177.7963
40.283205 92.988 -177.7595
40.649416 92.966 -177.7204
41.015627 92.944 -177.6690
41.381838 92.925 -177.5997
41.748049 92.909 -177.5154
42.114260 92.895 -177.4269
42.480471 92.883 -177.3484
42.846682 92.870 -177.2919
43.212893 92.856 -177.2634
43.579103 92.839 -177.2618
43.945314 92.822 -177.2796
44.311525 92.804 -177.3064
44.677736 92.788 -177.3329
45.043947 92.774 -177.3530
45.410158 92.760 -177.3645
45.776369 92.746 -177.3662
46.142580 92.730 -177.3572
46.508791 92.710 -177.3369
46.875002 92.688 -177.3073
47.241213 92.663 -177.2743
47.607424 92.638 -177.2452
47.973635 92.612 -177.2243
48.339846 92.586 -177.2086
48.706057 92.560 -177.1900
49.072268 92.533 -177.1618
49.438479 92.506 -177.1260
49.804690 92.480 -177.0949
50.170901 92.451 -177.0837
50.537112 92.418 -177.0988
50.903323 92.379 -177.1292
51.269534 92.335 -177.1497
51.635745 92.290 -177.1346
52.001956 92.251 -177.0735
52.368167 92.222 -176.9775
52.734378 92.206 -176.8717
53.100589 92.197 -176.7788
53.466800 92.190 -176.7056
53.833011 92.180 -176.6416
54.199222 92.163 -176.5691
54.565432 92.140 -176.4766
54.931643 92.114 -176.3663
55.297854 92.086 -176.2503
55.664065 92.059 -176.1406
56.030276 92.031 -176.0403
56.396487 92.004 -175.9430
56.762698 91.978 -175.8383
57.128909 91.953 -175.7198
57.495120 91.930 -175.5893
57.861331 91.908 -175.4545
58.227542 91.887 -175.3236
58.593753 91.865 -175.2004
58.959964 91.841 -175.0832
59.326175 91.817 -174.9673
59.692386 91.794 -174.8480
60.058597 91.773 -174.7227
60.424808 91.753 -174.5904
60.791019 91.734 -174.4502
61.157230 91.716 -174.3014
61.523441 91.696 -174.1436
61.889652 91.674 -173.9789
62.255863 91.651 -173.8124
62.622074 91.628 -173.6518
62.988285 91.605 -173.5043
63.354496 91.582 -173.3732
63.720707 91.561 -173.2561
64.086918 91.540 -173.1448
64.453129 91.522 -173.0286
64.819340 91.505 -172.8992
65.185551 91.491 -172.7549
65.551762 91.479 -172.6020
65.917972 91.468 -172.4522
66.284183 91.455 -172.3171
66.650394 91.440 -172.2034
67.016605 91.420 -172.1101
67.382816 91.396 -172.0302
67.749027 91.369 -171.9546
68.115238 91.342 -171.8759
68.481449 91.316 -171.7912
68.847660 91.291 -171.7001
69.213871 91.269 -171.6031
69.580082 91.249 -171.4994
69.946293 91.230 -171.3879
70.312504 91.211 -171.2687
70.678715 91.192 -171.1450
71.044926 91.173 -171.0223
71.411137 91.153 -170.9058
71.777348 91.132 -170.7970
72.143559 91.108 -170.6924
72.509770 91.082 -170.5851
72.875981 91.054 -170.4684
73.242192 91.026 -170.3390
73.608403 90.999 -170.1985
73.974614 90.973 -170.0518
74.340825 90.948 -169.9040
74.707036 90.924 -169.7578
75.073247 90.900 -169.6126
75.439458 90.876 -169.4664
75.805669 90.852 -169.3169
76.171880 90.828 -169.1638
76.538091 90.804 -169.0086
76.904301 90.781 -168.8536
77.270512 90.758 -168.7001
77.636723 90.735 -168.5480
78.002934 90.712 -168.3956
78.369145 90.689 -168.2405
78.735356 90.667 -168.0812
79.101567 90.645 -167.9175
79.467778 90.624 -167.7512
79.833989 90.604 -167.5851
80.200200 90.586 -167.4220
80.566411 90.567 -167.2637
80.932622 90.548 -167.1098
81.298833 90.529 -166.9582
81.665044 90.509 -166.8056
82.031255 90.488 -166.6491
82.397466 90.467 -166.4874
82.763677 90.446 -166.3209
83.129888 90.425 -166.1517
83.496099 90.403 -165.9821
83.862310 90.381 -165.8133
84.228521 90.358 -165.6452
84.594732 90.335 -165.4763
84.960943 90.312 -165.3047
85.327154 90.290 -165.1290
85.693365 90.269 -164.9489
86.059576 90.248 -164.7653
86.425787 90.227 -164.5811
86.791998 90.206 -164.4013
87.158209 90.184 -164.2327
87.524420 90.160 -164.0816
87.890631 90.133 -163.9512
88.256841 90.102 -163.8379
88.623052 90.068 -163.7297
88.989263 90.031 -163.6084
89.355474 89.993 -163.4554
89.721685 89.959 -163.2587
90.087896 89.932 -163.0176
90.454107 89.913 -162.7434
90.820318 89.902 -162.4543
91.186529 89.897 -162.1693
91.552740 89.895 -161.9013
91.918951 89.893 -161.6554
92.285162 89.887 -161.4299
92.651373 89.878 -161.2194
93.017584 89.865 -161.0183
93.383795 89.848 -160.8224
93.750006 89.830 -160.6290
94.116217 89.811 -160.4359
94.482428 89.791 -160.2410
94.848639 89.771 -160.0427
95.214850 89.752 -159.8403
95.581061 89.732 -159.6342
95.947272 89.712 -159.4260
96.313483 89.693 -159.2175
96.679694 89.673 -159.0106
97.045905 89.654 -158.8058
97.412116 89.634 -158.6030
97.778327 89.615 -158.4013
98.144538 89.596 -158.1995
98.510749 89.578 -157.9962
98.876960 89.559 -157.7908
99.243170 89.542 -157.5827
99.609381 89.524 -157.3725
99.975592 89.506 -157.1604
100.341803 89.488 -156.9474
100.708014 89.470 -156.7338
101.074225 89.452 -156.5201
101.440436 89.434 -156.3064
101.806647 89.416 -156.0928
102.172858 89.399 -155.8794
102.539069 89.381 -155.6665
102.905280 89.364 -155.4541
103.271491 89.347 -155.2421
103.637702 89.329 -155.0303
104.003913 89.311 -154.8183
104.370124 89.292 -154.6057
104.736335 89.273 -154.3926
105.102546 89.253 -154.1797
105.468757 89.232 -153.9678
105.834968 89.212 -153.7579
106.201179 89.192 -153.5503
106.567390 89.172 -153.3445
106.933601 89.152 -153.1387
107.299812 89.133 -152.9306
107.666023 89.115 -152.7181
108.032234 89.097 -152.4999
108.398445 89.080 -152.2757
108.764656 89.064 -152.0466
109.130867 89.049 -151.8142
109.497078 89.034 -151.5803
109.863289 89.019 -151.3460
110.229500 89.003 -151.1121
110.595710 88.988 -150.8785
110.961921 88.973 -150.6453
111.328132 88.957 -150.4125
111.694343 88.942 -150.1809
112.060554 88.926 -149.9515
112.426765 88.910 -149.7251
112.792976 88.893 -149.5018
113.159187 88.876 -149.2806
113.525398 88.857 -149.0592
113.891609 88.837 -148.8351
114.257820 88.817 -148.6065
114.624031 88.796 -148.3730
114.990242 88.777 -148.1364
115.356453 88.758 -147.8993
115.722664 88.740 -147.6646
116.088875 88.723 -147.4346
116.455086 88.707 -147.2101
116.821297 88.691 -146.9908
117.187508 88.674 -146.7756
117.553719 88.657 -146.5633
117.919930 88.640 -146.3524
118.286141 88.621 -146.1412
118.652352 88.602 -145.9277
119.018563 88.582 -145.7100
119.384774 88.563 -145.4871
119.750985 88.545 -145.2590
120.117196 88.528 -145.0270
120.483407 88.512 -144.7928
120.849618 88.497 -144.5576
121.215829 88.483 -144.3211
121.582040 88.468 -144.0815
121.948250 88.452 -143.8366
122.314461 88.436 -143.5846
122.680672 88.419 -143.3254
123.046883 88.401 -143.0615
123.413094 88.384 -142.7971
123.779305 88.367 -142.5368
124.145516 88.350 -142.2843
124.511727 88.332 -142.0411
124.877938 88.314 -141.8059
125.244149 88.295 -141.5757
125.610360 88.274 -141.3463
125.976571 88.253 -141.1139
126.342782 88.231 -140.8759
126.708993 88.209 -140.6309
127.075204 88.187 -140.3790
127.441415 88.165 -140.1209
127.807626 88.143 -139.8579
128.173837 88.123 -139.5911
128.540048 88.103 -139.3215
128.906259 88.084 -139.0501
129.272470 88.066 -138.7777
129.638681 88.048 -138.5052
130.004892 88.032 -138.2336
130.371103 88.016 -137.9635
130.737314 88.000 -137.6951
131.103525 87.985 -137.4284
131.469736 87.968 -137.1628
131.835947 87.951 -136.8975
132.202158 87.934 -136.6317
132.568369 87.915 -136.3651
132.934579 87.895 -136.0973
133.300790 87.875 -135.8289
133.667001 87.855 -135.5605
134.033212 87.834 -135.2930
134.399423 87.813 -135.0272
134.765634 87.793 -134.7633
135.131845 87.774 -134.5013
135.498056 87.755 -134.2408
135.864267 87.736 -133.9806
136.230478 87.717 -133.7195
136.596689 87.699 -133.4556
136.962900 87.679 -133.1875
137.329111 87.659 -132.9138
137.695322 87.638 -132.6334
138.061533 87.616 -132.3461
138.427744 87.594 -132.0523
138.793955 87.570 -131.7528
139.160166 87.547 -131.4488
139.526377 87.524 -131.1412
139.892588 87.501 -130.8309
140.258799 87.480 -130.5180
140.625010 87.459 -130.2025
140.991221 87.439 -129.8841
141.357432 87.421 -129.5624
141.723643 87.403 -129.2376
142.089854 87.387 -128.9100
142.456065 87.372 -128.5807
142.822276 87.357 -128.2505
143.188487 87.343 -127.9206
143.554698 87.329 -127.5917
143.920909 87.314 -127.2639
144.287119 87.300 -126.9372
144.653330 87.284 -126.6108
145.019541 87.269 -126.2840
145.385752 87.253 -125.9557
145.751963 87.238 -125.6249
146.118174 87.224 -125.2904
146.484385 87.212 -124.9512
146.850596 87.202 -124.6060
147.216807 87.195 -124.2540
147.583018 87.191 -123.8940
147.949229 87.189 -123.5253
148.315440 87.189 -123.1475
148.681651 87.190 -122.7609
149.047862 87.191 -122.3666
149.414073 87.191 -121.9664
149.780284 87.189 -121.5632
150.146495 87.185 -121.1606
150.512706 87.177 -120.7623
150.878917 87.167 -120.3719
151.245128 87.154 -119.9919
151.611339 87.139 -119.6238
151.977550 87.122 -119.2680
152.343761 87.104 -118.9238
152.709972 87.086 -118.5904
153.076183 87.069 -118.2667
153.442394 87.054 -117.9523
153.808605 87.042 -117.6466
154.174816 87.033 -117.3496
154.541027 87.027 -117.0608
154.907238 87.024 -116.7792
155.273448 87.024 -116.5031
155.639659 87.027 -116.2306
156.005870 87.032 -115.9594
156.372081 87.039 -115.6876
156.738292 87.048 -115.4144
157.104503 87.058 -115.1398
157.470714 87.071 -114.8655
157.836925 87.086 -114.5943
158.203136 87.103 -114.3300
158.569347 87.123 -114.0771
158.935558 87.144 -113.8400
159.301769 87.168 -113.6228
159.667980 87.194 -113.4282
160.034191 87.221 -113.2574
160.400402 87.250 -113.1092
160.766613 87.279 -112.9801
161.132824 87.307 -112.8638
161.499035 87.333 -112.7523
161.865246 87.355 -112.6363
162.231457 87.371 -112.5063
162.597668 87.381 -112.3541
