* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 2, 2024 10:21:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi ears Singolo L S2
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.727 -154.0089
20.507813 99.719 -154.4356
20.874023 99.703 -155.5948
21.240234 99.691 -156.8301
21.606445 99.686 -157.9927
21.972656 99.686 -158.9724
22.338867 99.696 -159.6127
22.705078 99.731 -159.8982
23.071289 99.797 -160.0188
23.437500 99.883 -160.2800
23.803711 99.954 -160.9350
24.169922 99.972 -162.0324
24.536133 99.919 -163.3866
24.902344 99.808 -164.6896
25.268555 99.682 -165.6911
25.634766 99.590 -166.3374
26.000977 99.559 -166.7746
26.367188 99.578 -167.2156
26.733399 99.607 -167.7761
27.099610 99.606 -168.4092
27.465821 99.561 -168.9738
27.832032 99.489 -169.3644
28.198243 99.421 -169.5987
28.564454 99.386 -169.8037
28.930665 99.392 -170.1229
29.296876 99.431 -170.6244
29.663087 99.486 -171.2778
30.029298 99.544 -172.0004
30.395509 99.597 -172.7218
30.761720 99.639 -173.4147
31.127931 99.667 -174.0842
31.494142 99.678 -174.7399
31.860353 99.672 -175.3817
32.226563 99.655 -176.0080
32.592774 99.633 -176.6274
32.958985 99.612 -177.2569
33.325196 99.590 -177.9056
33.691407 99.563 -178.5584
34.057618 99.530 -179.1786
34.423829 99.494 -179.7298
34.790040 99.459 179.7980
35.156251 99.434 179.3800
35.522462 99.421 178.9715
35.888673 99.417 178.5356
36.254884 99.415 178.0645
36.621095 99.411 177.5793
36.987306 99.400 177.1132
37.353517 99.382 176.6898
37.719728 99.360 176.3112
38.085939 99.335 175.9585
38.452150 99.309 175.6034
38.818361 99.283 175.2214
39.184572 99.255 174.8009
39.550783 99.227 174.3467
39.916994 99.197 173.8776
40.283205 99.167 173.4184
40.649416 99.137 172.9893
41.015627 99.109 172.5987
41.381838 99.083 172.2410
41.748049 99.059 171.9028
42.114260 99.036 171.5724
42.480471 99.013 171.2455
42.846682 98.990 170.9230
43.212893 98.969 170.6049
43.579103 98.950 170.2865
43.945314 98.932 169.9617
44.311525 98.911 169.6318
44.677736 98.885 169.3077
45.043947 98.853 169.0026
45.410158 98.818 168.7153
45.776369 98.785 168.4197
46.142580 98.755 168.0732
46.508791 98.727 167.6426
46.875002 98.695 167.1333
47.241213 98.656 166.5990
47.607424 98.611 166.1213
47.973635 98.565 165.7692
48.339846 98.530 165.5623
48.706057 98.511 165.4617
49.072268 98.507 165.3948
49.438479 98.510 165.2944
49.804690 98.509 165.1297
50.170901 98.497 164.9100
50.537112 98.472 164.6649
50.903323 98.440 164.4187
51.269534 98.404 164.1777
51.635745 98.371 163.9341
52.001956 98.341 163.6801
52.368167 98.313 163.4184
52.734378 98.284 163.1616
53.100589 98.254 162.9221
53.466800 98.223 162.7025
53.833011 98.193 162.4930
54.199222 98.164 162.2783
54.565432 98.136 162.0476
54.931643 98.107 161.8006
55.297854 98.078 161.5467
55.664065 98.050 161.2976
56.030276 98.024 161.0606
56.396487 98.001 160.8354
56.762698 97.979 160.6175
57.128909 97.958 160.4035
57.495120 97.935 160.1949
57.861331 97.911 159.9969
58.227542 97.885 159.8145
58.593753 97.859 159.6470
58.959964 97.833 159.4879
59.326175 97.808 159.3273
59.692386 97.781 159.1584
60.058597 97.752 158.9803
60.424808 97.720 158.7984
60.791019 97.684 158.6190
61.157230 97.648 158.4450
61.523441 97.612 158.2741
61.889652 97.578 158.1005
62.255863 97.547 157.9193
62.622074 97.518 157.7302
62.988285 97.491 157.5380
63.354496 97.463 157.3499
63.720707 97.437 157.1723
64.086918 97.410 157.0079
64.453129 97.384 156.8554
64.819340 97.357 156.7104
65.185551 97.331 156.5679
65.551762 97.305 156.4233
65.917972 97.278 156.2740
66.284183 97.252 156.1202
66.650394 97.227 155.9645
67.016605 97.202 155.8109
67.382816 97.178 155.6637
67.749027 97.155 155.5258
68.115238 97.133 155.3971
68.481449 97.110 155.2751
68.847660 97.086 155.1553
69.213871 97.059 155.0324
69.580082 97.029 154.9020
69.946293 96.994 154.7611
70.312504 96.955 154.6091
70.678715 96.914 154.4480
71.044926 96.873 154.2825
71.411137 96.832 154.1199
71.777348 96.795 153.9680
72.143559 96.763 153.8326
72.509770 96.737 153.7162
72.875981 96.716 153.6159
73.242192 96.699 153.5243
73.608403 96.685 153.4324
73.974614 96.670 153.3326
74.340825 96.653 153.2213
74.707036 96.633 153.1008
75.073247 96.609 152.9774
75.439458 96.582 152.8591
75.805669 96.554 152.7516
76.171880 96.526 152.6559
76.538091 96.499 152.5678
76.904301 96.473 152.4799
77.270512 96.447 152.3843
77.636723 96.419 152.2762
78.002934 96.391 152.1544
78.369145 96.361 152.0205
78.735356 96.332 151.8768
79.101567 96.304 151.7247
79.467778 96.280 151.5657
79.833989 96.259 151.4030
80.200200 96.239 151.2435
80.566411 96.219 151.0976
80.932622 96.197 150.9758
81.298833 96.173 150.8845
81.665044 96.146 150.8231
82.031255 96.118 150.7833
82.397466 96.088 150.7527
82.763677 96.059 150.7194
83.129888 96.029 150.6760
83.496099 95.999 150.6203
83.862310 95.971 150.5543
84.228521 95.943 150.4809
84.594732 95.917 150.4022
84.960943 95.893 150.3193
85.327154 95.868 150.2330
85.693365 95.843 150.1451
86.059576 95.817 150.0579
86.425787 95.790 149.9739
86.791998 95.763 149.8949
87.158209 95.735 149.8218
87.524420 95.708 149.7551
87.890631 95.681 149.6950
88.256841 95.655 149.6417
88.623052 95.630 149.5938
88.989263 95.606 149.5479
89.355474 95.581 149.4990
89.721685 95.557 149.4413
90.087896 95.532 149.3709
90.454107 95.505 149.2872
90.820318 95.477 149.1931
91.186529 95.447 149.0938
91.552740 95.417 148.9950
91.918951 95.386 148.9008
92.285162 95.356 148.8130
92.651373 95.327 148.7310
93.017584 95.298 148.6532
93.383795 95.270 148.5768
93.750006 95.243 148.4991
94.116217 95.215 148.4164
94.482428 95.187 148.3248
94.848639 95.157 148.2213
95.214850 95.127 148.1046
95.581061 95.094 147.9779
95.947272 95.060 147.8491
96.313483 95.024 147.7292
96.679694 94.989 147.6303
97.045905 94.955 147.5610
97.412116 94.924 147.5240
97.778327 94.897 147.5153
98.144538 94.875 147.5258
98.510749 94.855 147.5445
98.876960 94.838 147.5615
99.243170 94.820 147.5703
99.609381 94.801 147.5678
99.975592 94.780 147.5540
100.341803 94.756 147.5302
100.708014 94.731 147.4987
101.074225 94.704 147.4621
101.440436 94.677 147.4230
101.806647 94.649 147.3842
102.172858 94.622 147.3478
102.539069 94.595 147.3153
102.905280 94.568 147.2869
103.271491 94.542 147.2619
103.637702 94.516 147.2395
104.003913 94.489 147.2193
104.370124 94.462 147.2017
104.736335 94.434 147.1877
105.102546 94.405 147.1786
105.468757 94.375 147.1754
105.834968 94.344 147.1777
106.201179 94.313 147.1842
106.567390 94.283 147.1927
106.933601 94.252 147.2001
107.299812 94.223 147.2038
107.666023 94.195 147.2022
108.032234 94.167 147.1949
108.398445 94.139 147.1836
108.764656 94.112 147.1711
109.130867 94.084 147.1613
109.497078 94.055 147.1580
109.863289 94.026 147.1641
110.229500 93.996 147.1808
110.595710 93.965 147.2074
110.961921 93.935 147.2421
111.328132 93.905 147.2826
111.694343 93.875 147.3271
112.060554 93.845 147.3754
112.426765 93.816 147.4279
112.792976 93.787 147.4862
113.159187 93.759 147.5515
113.525398 93.732 147.6245
113.891609 93.706 147.7052
114.257820 93.682 147.7934
114.624031 93.659 147.8893
114.990242 93.637 147.9932
115.356453 93.615 148.1051
115.722664 93.592 148.2245
116.088875 93.569 148.3493
116.455086 93.544 148.4767
116.821297 93.517 148.6030
117.187508 93.489 148.7236
117.553719 93.463 148.8332
117.919930 93.439 148.9258
118.286141 93.420 148.9952
118.652352 93.408 149.0368
119.018563 93.404 149.0490
119.384774 93.407 149.0353
119.750985 93.417 149.0041
120.117196 93.429 148.9668
120.483407 93.444 148.9349
120.849618 93.457 148.9164
121.215829 93.469 148.9134
121.582040 93.478 148.9221
121.948250 93.483 148.9342
122.314461 93.485 148.9399
122.680672 93.483 148.9307
123.046883 93.477 148.9014
123.413094 93.469 148.8513
123.779305 93.458 148.7840
124.145516 93.445 148.7062
124.511727 93.429 148.6259
124.877938 93.411 148.5513
125.244149 93.391 148.4886
125.610360 93.368 148.4419
125.976571 93.344 148.4121
126.342782 93.319 148.3981
126.708993 93.293 148.3969
127.075204 93.266 148.4052
127.441415 93.240 148.4196
127.807626 93.214 148.4373
128.173837 93.190 148.4565
128.540048 93.166 148.4759
128.906259 93.144 148.4950
129.272470 93.123 148.5139
129.638681 93.103 148.5332
130.004892 93.084 148.5542
130.371103 93.067 148.5786
130.737314 93.049 148.6086
131.103525 93.033 148.6458
131.469736 93.017 148.6913
131.835947 93.001 148.7447
132.202158 92.986 148.8039
132.568369 92.971 148.8652
132.934579 92.957 148.9238
133.300790 92.943 148.9746
133.667001 92.929 149.0132
134.033212 92.915 149.0362
134.399423 92.901 149.0425
134.765634 92.888 149.0326
135.131845 92.874 149.0088
135.498056 92.861 148.9742
135.864267 92.848 148.9324
136.230478 92.836 148.8868
136.596689 92.824 148.8399
136.962900 92.812 148.7935
137.329111 92.800 148.7486
137.695322 92.787 148.7055
138.061533 92.774 148.6644
138.427744 92.761 148.6253
138.793955 92.749 148.5879
139.160166 92.737 148.5523
139.526377 92.726 148.5186
139.892588 92.717 148.4872
140.258799 92.710 148.4593
140.625010 92.704 148.4365
140.991221 92.700 148.4208
141.357432 92.695 148.4142
141.723643 92.688 148.4175
142.089854 92.680 148.4302
142.456065 92.670 148.4491
142.822276 92.656 148.4693
143.188487 92.639 148.4850
143.554698 92.620 148.4901
143.920909 92.598 148.4803
144.287119 92.575 148.4543
144.653330 92.551 148.4134
145.019541 92.527 148.3621
145.385752 92.506 148.3071
145.751963 92.488 148.2564
146.118174 92.475 148.2182
146.484385 92.466 148.2001
146.850596 92.463 148.2086
147.216807 92.465 148.2480
147.583018 92.471 148.3203
147.949229 92.480 148.4241
148.315440 92.491 148.5546
148.681651 92.502 148.7031
149.047862 92.510 148.8584
149.414073 92.514 149.0075
149.780284 92.513 149.1380
150.146495 92.504 149.2397
150.512706 92.489 149.3063
150.878917 92.465 149.3359
151.245128 92.435 149.3309
151.611339 92.399 149.2971
151.977550 92.359 149.2424
152.343761 92.318 149.1755
152.709972 92.276 149.1043
153.076183 92.235 149.0355
153.442394 92.195 148.9744
153.808605 92.158 148.9245
154.174816 92.123 148.8884
154.541027 92.089 148.8678
154.907238 92.057 148.8638
155.273448 92.025 148.8773
155.639659 91.995 148.9086
156.005870 91.966 148.9574
156.372081 91.937 149.0221
156.738292 91.910 149.0995
157.104503 91.883 149.1846
157.470714 91.858 149.2708
157.836925 91.834 149.3502
158.203136 91.810 149.4144
158.569347 91.788 149.4566
158.935558 91.765 149.4718
159.301769 91.742 149.4582
159.667980 91.718 149.4177
160.034191 91.694 149.3554
160.400402 91.669 149.2792
160.766613 91.643 149.1979
161.132824 91.617 149.1208
161.499035 91.591 149.0556
161.865246 91.565 149.0085
162.231457 91.539 148.9830
162.597668 91.514 148.9805
162.963879 91.489 149.0001
163.330090 91.463 149.0397
163.696301 91.437 149.0963
164.062512 91.410 149.1665
164.428723 91.382 149.2466
164.794934 91.352 149.3333
165.161145 91.321 149.4232
165.527356 91.289 149.5129
165.893567 91.257 149.5989
166.259778 91.226 149.6774
166.625988 91.197 149.7445
166.992199 91.171 149.7966
167.358410 91.148 149.8306
167.724621 91.129 149.8450
168.090832 91.115 149.8402
168.457043 91.104 149.8187
168.823254 91.097 149.7852
169.189465 91.094 149.7461
169.555676 91.093 149.7086
169.921887 91.094 149.6796
170.288098 91.096 149.6647
170.654309 91.098 149.6676
171.020520 91.101 149.6895
171.386731 91.104 149.7293
