* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 9:26:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer x Gizaudio Galileo R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 90.898 -150.6438
20.507813 90.937 -150.9823
20.874023 91.027 -151.8249
21.240234 91.083 -152.5193
21.606445 91.105 -152.9936
21.972656 91.118 -153.3596
22.338867 91.138 -153.7171
22.705078 91.171 -154.1722
23.071289 91.215 -154.7975
23.437500 91.264 -155.5929
23.803711 91.312 -156.4959
24.169922 91.354 -157.4158
24.536133 91.389 -158.2731
24.902344 91.419 -159.0239
25.268555 91.445 -159.6620
25.634766 91.468 -160.2084
26.000977 91.489 -160.6990
26.367188 91.507 -161.1703
26.733399 91.523 -161.6506
27.099610 91.539 -162.1558
27.465821 91.555 -162.6901
27.832032 91.572 -163.2473
28.198243 91.589 -163.8184
28.564454 91.607 -164.3947
28.930665 91.623 -164.9677
29.296876 91.636 -165.5260
29.663087 91.647 -166.0575
30.029298 91.657 -166.5551
30.395509 91.668 -167.0219
30.761720 91.681 -167.4695
31.127931 91.694 -167.9113
31.494142 91.706 -168.3524
31.860353 91.715 -168.7867
32.226563 91.723 -169.2035
32.592774 91.732 -169.6007
32.958985 91.744 -169.9906
33.325196 91.759 -170.3923
33.691407 91.776 -170.8185
34.057618 91.791 -171.2647
34.423829 91.800 -171.7097
34.790040 91.804 -172.1290
35.156251 91.806 -172.5113
35.522462 91.808 -172.8662
35.888673 91.812 -173.2167
36.254884 91.817 -173.5830
36.621095 91.820 -173.9697
36.987306 91.821 -174.3642
37.353517 91.819 -174.7477
37.719728 91.817 -175.1091
38.085939 91.817 -175.4522
38.452150 91.819 -175.7917
38.818361 91.821 -176.1424
39.184572 91.821 -176.5100
39.550783 91.819 -176.8901
39.916994 91.814 -177.2739
40.283205 91.808 -177.6548
40.649416 91.803 -178.0315
41.015627 91.799 -178.4053
41.381838 91.796 -178.7756
41.748049 91.793 -179.1377
42.114260 91.788 -179.4836
42.480471 91.781 -179.8069
42.846682 91.773 179.8937
43.212893 91.765 179.6130
43.579103 91.757 179.3418
43.945314 91.749 179.0704
44.311525 91.740 178.7914
44.677736 91.731 178.5007
45.043947 91.721 178.1964
45.410158 91.710 177.8789
45.776369 91.697 177.5499
46.142580 91.683 177.2118
46.508791 91.669 176.8666
46.875002 91.656 176.5162
47.241213 91.645 176.1629
47.607424 91.635 175.8127
47.973635 91.628 175.4764
48.339846 91.623 175.1666
48.706057 91.618 174.8921
49.072268 91.612 174.6512
49.438479 91.605 174.4299
49.804690 91.594 174.2072
50.170901 91.575 173.9645
50.537112 91.548 173.6956
50.903323 91.513 173.4081
51.269534 91.474 173.1181
51.635745 91.436 172.8382
52.001956 91.408 172.5702
52.368167 91.391 172.3058
52.734378 91.386 172.0348
53.100589 91.388 171.7545
53.466800 91.392 171.4739
53.833011 91.393 171.2091
54.199222 91.388 170.9734
54.565432 91.378 170.7697
54.931643 91.364 170.5892
55.297854 91.348 170.4174
55.664065 91.333 170.2420
56.030276 91.319 170.0588
56.396487 91.307 169.8716
56.762698 91.298 169.6875
57.128909 91.292 169.5119
57.495120 91.290 169.3452
57.861331 91.289 169.1830
58.227542 91.289 169.0186
58.593753 91.289 168.8454
58.959964 91.288 168.6593
59.326175 91.285 168.4581
59.692386 91.281 168.2424
60.058597 91.275 168.0148
60.424808 91.268 167.7803
60.791019 91.261 167.5445
61.157230 91.253 167.3119
61.523441 91.244 167.0837
61.889652 91.237 166.8570
62.255863 91.229 166.6263
62.622074 91.221 166.3867
62.988285 91.213 166.1369
63.354496 91.204 165.8798
63.720707 91.194 165.6216
64.086918 91.183 165.3702
64.453129 91.171 165.1335
64.819340 91.158 164.9188
65.185551 91.144 164.7320
65.551762 91.130 164.5754
65.917972 91.117 164.4442
66.284183 91.107 164.3247
66.650394 91.100 164.1962
67.016605 91.094 164.0379
67.382816 91.088 163.8372
67.749027 91.079 163.5952
68.115238 91.067 163.3267
68.481449 91.051 163.0519
68.847660 91.034 162.7880
69.213871 91.017 162.5423
69.580082 91.004 162.3119
69.946293 90.995 162.0890
70.312504 90.987 161.8675
70.678715 90.980 161.6464
71.044926 90.972 161.4299
71.411137 90.961 161.2228
71.777348 90.948 161.0276
72.143559 90.933 160.8428
72.509770 90.916 160.6640
72.875981 90.899 160.4867
73.242192 90.882 160.3079
73.608403 90.866 160.1269
73.974614 90.850 159.9447
74.340825 90.835 159.7634
74.707036 90.820 159.5849
75.073247 90.805 159.4108
75.439458 90.791 159.2416
75.805669 90.776 159.0770
76.171880 90.761 158.9154
76.538091 90.746 158.7554
76.904301 90.732 158.5959
77.270512 90.719 158.4369
77.636723 90.708 158.2793
78.002934 90.697 158.1245
78.369145 90.687 157.9735
78.735356 90.676 157.8262
79.101567 90.664 157.6813
79.467778 90.651 157.5364
79.833989 90.637 157.3887
80.200200 90.622 157.2356
80.566411 90.608 157.0751
80.932622 90.595 156.9062
81.298833 90.583 156.7296
81.665044 90.573 156.5473
82.031255 90.563 156.3628
82.397466 90.552 156.1793
82.763677 90.541 155.9990
83.129888 90.529 155.8220
83.496099 90.517 155.6472
83.862310 90.504 155.4737
84.228521 90.492 155.3031
84.594732 90.480 155.1393
84.960943 90.468 154.9872
85.327154 90.456 154.8486
85.693365 90.443 154.7195
86.059576 90.428 154.5892
86.425787 90.410 154.4419
86.791998 90.390 154.2601
87.158209 90.370 154.0277
87.524420 90.352 153.7332
87.890631 90.340 153.3721
88.256841 90.335 152.9514
88.623052 90.334 152.4936
88.989263 90.336 152.0390
89.355474 90.336 151.6410
89.721685 90.329 151.3538
90.087896 90.316 151.2163
90.454107 90.297 151.2372
90.820318 90.274 151.3900
91.186529 90.251 151.6209
91.552740 90.229 151.8661
91.918951 90.208 152.0709
92.285162 90.188 152.2031
92.651373 90.168 152.2563
93.017584 90.149 152.2430
93.383795 90.133 152.1846
93.750006 90.119 152.1016
94.116217 90.108 152.0084
94.482428 90.100 151.9128
94.848639 90.092 151.8172
95.214850 90.083 151.7209
95.581061 90.074 151.6219
95.947272 90.064 151.5182
96.313483 90.053 151.4091
96.679694 90.042 151.2959
97.045905 90.032 151.1819
97.412116 90.023 151.0715
97.778327 90.013 150.9692
98.144538 90.004 150.8773
98.510749 89.994 150.7958
98.876960 89.982 150.7219
99.243170 89.971 150.6516
99.609381 89.958 150.5806
99.975592 89.945 150.5063
100.341803 89.931 150.4277
100.708014 89.919 150.3462
101.074225 89.906 150.2645
101.440436 89.894 150.1855
101.806647 89.883 150.1113
102.172858 89.873 150.0421
102.539069 89.862 149.9765
102.905280 89.852 149.9122
103.271491 89.842 149.8467
103.637702 89.831 149.7782
104.003913 89.819 149.7062
104.370124 89.807 149.6317
104.736335 89.794 149.5562
105.102546 89.780 149.4818
105.468757 89.767 149.4098
105.834968 89.753 149.3407
106.201179 89.740 149.2742
106.567390 89.727 149.2092
106.933601 89.715 149.1439
107.299812 89.702 149.0770
107.666023 89.690 149.0078
108.032234 89.678 148.9361
108.398445 89.667 148.8627
108.764656 89.655 148.7887
109.130867 89.643 148.7155
109.497078 89.632 148.6437
109.863289 89.621 148.5740
110.229500 89.609 148.5060
110.595710 89.599 148.4390
110.961921 89.588 148.3720
111.328132 89.578 148.3041
111.694343 89.568 148.2346
112.060554 89.559 148.1636
112.426765 89.550 148.0916
112.792976 89.541 148.0200
113.159187 89.532 147.9505
113.525398 89.523 147.8853
113.891609 89.514 147.8257
114.257820 89.504 147.7727
114.624031 89.493 147.7262
114.990242 89.483 147.6852
115.356453 89.473 147.6481
115.722664 89.463 147.6132
116.088875 89.453 147.5787
116.455086 89.444 147.5432
116.821297 89.435 147.5057
117.187508 89.426 147.4653
117.553719 89.417 147.4214
117.919930 89.407 147.3738
118.286141 89.398 147.3228
118.652352 89.387 147.2688
119.018563 89.377 147.2127
119.384774 89.366 147.1557
119.750985 89.356 147.0990
120.117196 89.346 147.0435
120.483407 89.337 146.9896
120.849618 89.329 146.9377
121.215829 89.321 146.8874
121.582040 89.313 146.8383
121.948250 89.305 146.7898
122.314461 89.296 146.7410
122.680672 89.286 146.6912
123.046883 89.276 146.6398
123.413094 89.265 146.5866
123.779305 89.253 146.5323
124.145516 89.240 146.4781
124.511727 89.227 146.4257
124.877938 89.214 146.3766
125.244149 89.201 146.3321
125.610360 89.188 146.2924
125.976571 89.176 146.2569
126.342782 89.165 146.2242
126.708993 89.153 146.1926
127.075204 89.143 146.1607
127.441415 89.132 146.1276
127.807626 89.121 146.0930
128.173837 89.111 146.0572
128.540048 89.101 146.0206
128.906259 89.091 145.9838
129.272470 89.081 145.9472
129.638681 89.073 145.9111
130.004892 89.064 145.8752
130.371103 89.056 145.8393
130.737314 89.049 145.8026
131.103525 89.042 145.7645
131.469736 89.035 145.7243
131.835947 89.028 145.6816
132.202158 89.020 145.6365
132.568369 89.012 145.5895
132.934579 89.003 145.5416
133.300790 88.993 145.4943
133.667001 88.982 145.4492
134.033212 88.971 145.4079
134.399423 88.958 145.3716
134.765634 88.946 145.3407
135.131845 88.934 145.3152
135.498056 88.922 145.2942
135.864267 88.910 145.2764
136.230478 88.899 145.2604
136.596689 88.889 145.2448
136.962900 88.879 145.2285
137.329111 88.869 145.2108
137.695322 88.860 145.1913
138.061533 88.851 145.1702
138.427744 88.842 145.1476
138.793955 88.834 145.1237
139.160166 88.826 145.0992
139.526377 88.818 145.0744
139.892588 88.811 145.0495
140.258799 88.804 145.0247
140.625010 88.796 145.0000
140.991221 88.789 144.9750
141.357432 88.782 144.9495
141.723643 88.775 144.9228
142.089854 88.767 144.8942
142.456065 88.759 144.8631
142.822276 88.751 144.8288
143.188487 88.743 144.7909
143.554698 88.735 144.7494
143.920909 88.727 144.7045
144.287119 88.719 144.6567
144.653330 88.712 144.6068
145.019541 88.705 144.5558
145.385752 88.698 144.5044
145.751963 88.692 144.4537
146.118174 88.686 144.4044
146.484385 88.681 144.3572
146.850596 88.676 144.3131
147.216807 88.671 144.2729
147.583018 88.667 144.2373
147.949229 88.663 144.2073
148.315440 88.660 144.1837
148.681651 88.656 144.1669
149.047862 88.654 144.1569
149.414073 88.650 144.1532
149.780284 88.647 144.1544
150.146495 88.642 144.1589
150.512706 88.637 144.1646
150.878917 88.630 144.1692
151.245128 88.621 144.1711
151.611339 88.611 144.1688
151.977550 88.598 144.1612
152.343761 88.584 144.1480
152.709972 88.567 144.1292
153.076183 88.549 144.1050
153.442394 88.530 144.0763
153.808605 88.510 144.0443
154.174816 88.490 144.0103
154.541027 88.470 143.9758
154.907238 88.451 143.9422
155.273448 88.433 143.9105
155.639659 88.417 143.8815
156.005870 88.401 143.8555
156.372081 88.388 143.8323
156.738292 88.375 143.8121
157.104503 88.362 143.7946
157.470714 88.349 143.7802
157.836925 88.337 143.7690
158.203136 88.324 143.7618
158.569347 88.311 143.7593
158.935558 88.298 143.7625
159.301769 88.285 143.7726
159.667980 88.273 143.7906
160.034191 88.262 143.8177
160.400402 88.251 143.8540
160.766613 88.240 143.8990
161.132824 88.230 143.9509
161.499035 88.222 144.0063
161.865246 88.214 144.0609
162.231457 88.209 144.1093
162.597668 88.205 144.1462
162.963879 88.204 144.1671
163.330090 88.205 144.1688
163.696301 88.208 144.1502
164.062512 88.214 144.1122
164.428723 88.221 144.0575
164.794934 88.229 143.9902
165.161145 88.237 143.9147
165.527356 88.244 143.8352
165.893567 88.250 143.7549
166.259778 88.255 143.6758
166.625988 88.258 143.5989
166.992199 88.260 143.5237
167.358410 88.260 143.4492
167.724621 88.258 143.3740
168.090832 88.256 143.2967
168.457043 88.252 143.2162
168.823254 88.248 143.1319
169.189465 88.244 143.0439
169.555676 88.239 142.9531
169.921887 88.234 142.8608
170.288098 88.229 142.7690
170.654309 88.224 142.6801
171.020520 88.218 142.5966
