* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 5, 2023 8:58:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MAONO BUDS R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 103.933 -173.1422
20.507813 103.930 -173.2536
20.874023 103.923 -173.5451
21.240234 103.915 -173.8334
21.606445 103.909 -174.1104
21.972656 103.909 -174.4044
22.338867 103.916 -174.7126
22.705078 103.926 -175.0169
23.071289 103.940 -175.3016
23.437500 103.954 -175.5596
23.803711 103.968 -175.7896
24.169922 103.980 -175.9938
24.536133 103.989 -176.1776
24.902344 103.996 -176.3473
25.268555 104.002 -176.5067
25.634766 104.006 -176.6571
26.000977 104.010 -176.7991
26.367188 104.014 -176.9326
26.733399 104.017 -177.0573
27.099610 104.021 -177.1744
27.465821 104.023 -177.2873
27.832032 104.023 -177.3993
28.198243 104.022 -177.5118
28.564454 104.020 -177.6259
28.930665 104.018 -177.7442
29.296876 104.018 -177.8696
29.663087 104.019 -178.0026
30.029298 104.021 -178.1415
30.395509 104.022 -178.2841
30.761720 104.025 -178.4268
31.127931 104.027 -178.5663
31.494142 104.031 -178.6995
31.860353 104.036 -178.8249
32.226563 104.041 -178.9415
32.592774 104.045 -179.0485
32.958985 104.049 -179.1444
33.325196 104.051 -179.2290
33.691407 104.052 -179.3048
34.057618 104.052 -179.3772
34.423829 104.053 -179.4505
34.790040 104.054 -179.5263
35.156251 104.055 -179.6040
35.522462 104.056 -179.6832
35.888673 104.057 -179.7640
36.254884 104.057 -179.8454
36.621095 104.056 -179.9246
36.987306 104.055 -179.9982
37.353517 104.054 179.9346
37.719728 104.052 179.8715
38.085939 104.053 179.8080
38.452150 104.054 179.7406
38.818361 104.056 179.6679
39.184572 104.058 179.5908
39.550783 104.060 179.5128
39.916994 104.061 179.4388
40.283205 104.061 179.3726
40.649416 104.061 179.3153
41.015627 104.061 179.2650
41.381838 104.060 179.2186
41.748049 104.061 179.1729
42.114260 104.061 179.1252
42.480471 104.063 179.0754
42.846682 104.064 179.0252
43.212893 104.064 178.9772
43.579103 104.065 178.9329
43.945314 104.065 178.8926
44.311525 104.065 178.8553
44.677736 104.065 178.8186
45.043947 104.065 178.7805
45.410158 104.065 178.7399
45.776369 104.064 178.6974
46.142580 104.063 178.6556
46.508791 104.062 178.6172
46.875002 104.060 178.5846
47.241213 104.059 178.5585
47.607424 104.058 178.5373
47.973635 104.058 178.5180
48.339846 104.059 178.4973
48.706057 104.061 178.4729
49.072268 104.063 178.4442
49.438479 104.064 178.4123
49.804690 104.065 178.3798
50.170901 104.065 178.3488
50.537112 104.065 178.3204
50.903323 104.065 178.2941
51.269534 104.065 178.2688
51.635745 104.066 178.2431
52.001956 104.066 178.2165
52.368167 104.066 178.1900
52.734378 104.067 178.1651
53.100589 104.067 178.1433
53.466800 104.068 178.1244
53.833011 104.068 178.1064
54.199222 104.069 178.0867
54.565432 104.070 178.0634
54.931643 104.070 178.0361
55.297854 104.070 178.0064
55.664065 104.069 177.9774
56.030276 104.068 177.9518
56.396487 104.067 177.9304
56.762698 104.067 177.9120
57.128909 104.066 177.8951
57.495120 104.066 177.8797
57.861331 104.065 177.8669
58.227542 104.064 177.8588
58.593753 104.064 177.8560
58.959964 104.064 177.8579
59.326175 104.065 177.8622
59.692386 104.065 177.8662
60.058597 104.066 177.8682
60.424808 104.065 177.8677
60.791019 104.064 177.8654
61.157230 104.063 177.8622
61.523441 104.061 177.8589
61.889652 104.060 177.8555
62.255863 104.059 177.8513
62.622074 104.058 177.8463
62.988285 104.058 177.8409
63.354496 104.057 177.8363
63.720707 104.057 177.8342
64.086918 104.058 177.8361
64.453129 104.059 177.8423
64.819340 104.061 177.8519
65.185551 104.063 177.8632
65.551762 104.065 177.8751
65.917972 104.067 177.8868
66.284183 104.069 177.8978
66.650394 104.070 177.9083
67.016605 104.070 177.9183
67.382816 104.070 177.9284
67.749027 104.069 177.9393
68.115238 104.069 177.9515
68.481449 104.068 177.9651
68.847660 104.067 177.9801
69.213871 104.067 177.9956
69.580082 104.066 178.0113
69.946293 104.066 178.0272
70.312504 104.066 178.0434
70.678715 104.066 178.0602
71.044926 104.067 178.0777
71.411137 104.067 178.0960
71.777348 104.068 178.1147
72.143559 104.068 178.1334
72.509770 104.068 178.1518
72.875981 104.068 178.1695
73.242192 104.068 178.1863
73.608403 104.068 178.2022
73.974614 104.067 178.2174
74.340825 104.066 178.2321
74.707036 104.066 178.2466
75.073247 104.065 178.2617
75.439458 104.065 178.2780
75.805669 104.065 178.2963
76.171880 104.065 178.3174
76.538091 104.065 178.3413
76.904301 104.065 178.3680
77.270512 104.066 178.3968
77.636723 104.066 178.4269
78.002934 104.066 178.4574
78.369145 104.066 178.4882
78.735356 104.066 178.5193
79.101567 104.066 178.5509
79.467778 104.066 178.5834
79.833989 104.066 178.6169
80.200200 104.065 178.6512
80.566411 104.065 178.6860
80.932622 104.065 178.7212
81.298833 104.065 178.7565
81.665044 104.066 178.7920
82.031255 104.067 178.8275
82.397466 104.068 178.8632
82.763677 104.069 178.8993
83.129888 104.070 178.9359
83.496099 104.071 178.9733
83.862310 104.072 179.0115
84.228521 104.072 179.0503
84.594732 104.073 179.0895
84.960943 104.073 179.1289
85.327154 104.074 179.1682
85.693365 104.074 179.2075
86.059576 104.074 179.2468
86.425787 104.074 179.2864
86.791998 104.075 179.3268
87.158209 104.075 179.3682
87.524420 104.076 179.4109
87.890631 104.077 179.4547
88.256841 104.078 179.4991
88.623052 104.079 179.5439
88.989263 104.080 179.5887
89.355474 104.081 179.6332
89.721685 104.082 179.6778
90.087896 104.083 179.7226
90.454107 104.083 179.7679
90.820318 104.084 179.8140
91.186529 104.084 179.8611
91.552740 104.084 179.9088
91.918951 104.084 179.9568
92.285162 104.083 -179.9953
92.651373 104.083 -179.9483
93.017584 104.082 -179.9026
93.383795 104.082 -179.8582
93.750006 104.082 -179.8150
94.116217 104.081 -179.7727
94.482428 104.081 -179.7307
94.848639 104.081 -179.6884
95.214850 104.081 -179.6457
95.581061 104.081 -179.6023
95.947272 104.082 -179.5583
96.313483 104.082 -179.5139
96.679694 104.082 -179.4693
97.045905 104.083 -179.4246
97.412116 104.083 -179.3797
97.778327 104.084 -179.3343
98.144538 104.085 -179.2881
98.510749 104.085 -179.2407
98.876960 104.086 -179.1920
99.243170 104.086 -179.1422
99.609381 104.087 -179.0914
99.975592 104.087 -179.0402
100.341803 104.087 -178.9889
100.708014 104.088 -178.9379
101.074225 104.088 -178.8873
101.440436 104.088 -178.8370
101.806647 104.088 -178.7869
102.172858 104.088 -178.7370
102.539069 104.088 -178.6871
102.905280 104.088 -178.6369
103.271491 104.088 -178.5865
103.637702 104.088 -178.5357
104.003913 104.089 -178.4843
104.370124 104.089 -178.4324
104.736335 104.089 -178.3799
105.102546 104.089 -178.3269
105.468757 104.089 -178.2735
105.834968 104.090 -178.2196
106.201179 104.090 -178.1651
106.567390 104.091 -178.1100
106.933601 104.091 -178.0538
107.299812 104.092 -177.9964
107.666023 104.093 -177.9379
108.032234 104.093 -177.8783
108.398445 104.094 -177.8181
108.764656 104.095 -177.7576
109.130867 104.096 -177.6973
109.497078 104.097 -177.6373
109.863289 104.098 -177.5779
110.229500 104.099 -177.5190
110.595710 104.100 -177.4605
110.961921 104.100 -177.4023
111.328132 104.100 -177.3442
111.694343 104.101 -177.2861
112.060554 104.101 -177.2279
112.426765 104.101 -177.1698
112.792976 104.101 -177.1118
113.159187 104.102 -177.0542
113.525398 104.102 -176.9970
113.891609 104.102 -176.9404
114.257820 104.102 -176.8843
114.624031 104.101 -176.8285
114.990242 104.101 -176.7727
115.356453 104.099 -176.7165
115.722664 104.098 -176.6593
116.088875 104.096 -176.6008
116.455086 104.094 -176.5406
116.821297 104.092 -176.4785
117.187508 104.090 -176.4148
117.553719 104.089 -176.3497
117.919930 104.089 -176.2838
118.286141 104.090 -176.2177
118.652352 104.092 -176.1518
119.018563 104.095 -176.0866
119.384774 104.098 -176.0221
119.750985 104.101 -175.9585
120.117196 104.105 -175.8953
120.483407 104.108 -175.8325
120.849618 104.110 -175.7698
121.215829 104.113 -175.7071
121.582040 104.115 -175.6443
121.948250 104.117 -175.5815
122.314461 104.119 -175.5186
122.680672 104.121 -175.4555
123.046883 104.122 -175.3920
123.413094 104.124 -175.3280
123.779305 104.124 -175.2632
124.145516 104.125 -175.1978
124.511727 104.125 -175.1316
124.877938 104.125 -175.0648
125.244149 104.125 -174.9977
125.610360 104.125 -174.9303
125.976571 104.126 -174.8629
126.342782 104.126 -174.7955
126.708993 104.126 -174.7283
127.075204 104.126 -174.6611
127.441415 104.127 -174.5940
127.807626 104.127 -174.5268
128.173837 104.128 -174.4595
128.540048 104.129 -174.3919
128.906259 104.129 -174.3239
129.272470 104.130 -174.2555
129.638681 104.131 -174.1867
130.004892 104.131 -174.1174
130.371103 104.132 -174.0477
130.737314 104.132 -173.9778
131.103525 104.133 -173.9076
131.469736 104.133 -173.8374
131.835947 104.133 -173.7671
132.202158 104.133 -173.6968
132.568369 104.134 -173.6266
132.934579 104.135 -173.5565
133.300790 104.135 -173.4864
133.667001 104.136 -173.4164
134.033212 104.138 -173.3465
134.399423 104.139 -173.2767
134.765634 104.140 -173.2069
135.131845 104.142 -173.1370
135.498056 104.143 -173.0671
135.864267 104.144 -172.9969
136.230478 104.145 -172.9265
136.596689 104.146 -172.8558
136.962900 104.147 -172.7848
137.329111 104.148 -172.7135
137.695322 104.149 -172.6418
138.061533 104.150 -172.5697
138.427744 104.151 -172.4972
138.793955 104.152 -172.4242
139.160166 104.153 -172.3507
139.526377 104.154 -172.2766
139.892588 104.155 -172.2018
140.258799 104.156 -172.1264
140.625010 104.157 -172.0502
140.991221 104.158 -171.9733
141.357432 104.159 -171.8957
141.723643 104.160 -171.8173
142.089854 104.161 -171.7384
142.456065 104.162 -171.6591
142.822276 104.163 -171.5795
143.188487 104.164 -171.5002
143.554698 104.165 -171.4213
143.920909 104.166 -171.3432
144.287119 104.168 -171.2662
144.653330 104.169 -171.1904
145.019541 104.171 -171.1161
145.385752 104.172 -171.0430
145.751963 104.173 -170.9712
146.118174 104.175 -170.9003
146.484385 104.176 -170.8302
146.850596 104.177 -170.7604
147.216807 104.177 -170.6906
147.583018 104.178 -170.6205
147.949229 104.178 -170.5499
148.315440 104.178 -170.4785
148.681651 104.178 -170.4061
149.047862 104.178 -170.3325
149.414073 104.178 -170.2578
149.780284 104.178 -170.1817
150.146495 104.178 -170.1043
150.512706 104.178 -170.0255
150.878917 104.178 -169.9455
151.245128 104.178 -169.8642
151.611339 104.178 -169.7818
151.977550 104.179 -169.6983
152.343761 104.179 -169.6139
152.709972 104.179 -169.5288
153.076183 104.180 -169.4432
153.442394 104.180 -169.3573
153.808605 104.181 -169.2712
154.174816 104.182 -169.1852
154.541027 104.183 -169.0995
154.907238 104.184 -169.0143
155.273448 104.185 -168.9296
155.639659 104.186 -168.8456
156.005870 104.188 -168.7623
156.372081 104.189 -168.6798
156.738292 104.191 -168.5981
157.104503 104.193 -168.5171
157.470714 104.195 -168.4370
157.836925 104.197 -168.3576
158.203136 104.199 -168.2790
158.569347 104.202 -168.2012
158.935558 104.204 -168.1242
159.301769 104.207 -168.0481
159.667980 104.210 -167.9730
160.034191 104.213 -167.8989
160.400402 104.215 -167.8260
160.766613 104.218 -167.7544
161.132824 104.221 -167.6842
161.499035 104.224 -167.6154
161.865246 104.227 -167.5480
162.231457 104.230 -167.4822
162.597668 104.233 -167.4179
162.963879 104.236 -167.3549
163.330090 104.239 -167.2932
163.696301 104.241 -167.2327
164.062512 104.244 -167.1730
164.428723 104.246 -167.1140
164.794934 104.249 -167.0557
165.161145 104.251 -166.9979
165.527356 104.253 -166.9407
165.893567 104.254 -166.8839
166.259778 104.256 -166.8279
