* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 25, 24 4:08:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MAY2DUSK L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 53.663 21.8256
0.368865 53.688 21.8468
0.371538 53.724 21.8787
0.374230 53.770 21.9188
0.376942 53.820 21.9652
0.379673 53.875 22.0163
0.382424 53.931 22.0712
0.385196 53.990 22.1293
0.387987 54.049 22.1901
0.390798 54.108 22.2534
0.393630 54.169 22.3192
0.396483 54.230 22.3872
0.399356 54.291 22.4575
0.402250 54.353 22.5299
0.405165 54.415 22.6044
0.408101 54.478 22.6809
0.411058 54.541 22.7594
0.414037 54.605 22.8398
0.417037 54.669 22.9220
0.420059 54.734 23.0060
0.423103 54.799 23.0917
0.426169 54.864 23.1790
0.429257 54.930 23.2679
0.432368 54.997 23.3583
0.435501 55.064 23.4501
0.438656 55.131 23.5432
0.441835 55.199 23.6375
0.445037 55.268 23.7330
0.448262 55.337 23.8296
0.451510 55.406 23.9271
0.454782 55.476 24.0256
0.458077 55.546 24.1248
0.461397 55.617 24.2248
0.464740 55.689 24.3253
0.468108 55.761 24.4264
0.471500 55.833 24.5279
0.474917 55.906 24.6296
0.478358 55.980 24.7316
0.481825 56.054 24.8336
0.485316 56.129 24.9357
0.488833 56.204 25.0376
0.492375 56.280 25.1393
0.495943 56.356 25.2406
0.499537 56.433 25.3414
0.503157 56.510 25.4417
0.506803 56.588 25.5413
0.510475 56.667 25.6401
0.514175 56.746 25.7379
0.517900 56.825 25.8347
0.521653 56.906 25.9303
0.525434 56.987 26.0246
0.529241 57.068 26.1175
0.533076 57.150 26.2088
0.536939 57.233 26.2985
0.540830 57.316 26.3864
0.544749 57.400 26.4724
0.548696 57.484 26.5564
0.552673 57.569 26.6382
0.556677 57.655 26.7178
0.560711 57.741 26.7949
0.564774 57.828 26.8695
0.568867 57.915 26.9415
0.572989 58.003 27.0107
0.577141 58.092 27.0771
0.581324 58.182 27.1404
0.585536 58.272 27.2006
0.589779 58.363 27.2576
0.594053 58.454 27.3112
0.598358 58.546 27.3614
0.602694 58.639 27.4080
0.607061 58.732 27.4508
0.611460 58.826 27.4899
0.615891 58.921 27.5251
0.620354 59.016 27.5563
0.624849 59.113 27.5833
0.629377 59.209 27.6061
0.633938 59.307 27.6246
0.638532 59.405 27.6387
0.643159 59.504 27.6483
0.647819 59.604 27.6533
0.652514 59.704 27.6535
0.657242 59.805 27.6490
0.662005 59.907 27.6397
0.666802 60.010 27.6254
0.671634 60.113 27.6060
0.676501 60.217 27.5816
0.681403 60.322 27.5520
0.686341 60.428 27.5172
0.691314 60.534 27.4772
0.696324 60.641 27.4318
0.701370 60.749 27.3812
0.706452 60.858 27.3254
0.711571 60.967 27.2646
0.716728 61.076 27.1990
0.721921 61.187 27.1294
0.727153 61.297 27.0564
0.732422 61.408 26.9812
0.737729 61.518 26.9052
0.743075 61.629 26.8294
0.748460 61.740 26.7550
0.753883 61.852 26.6825
0.759346 61.965 26.6121
0.764849 62.078 26.5440
0.770391 62.192 26.4781
0.775974 62.306 26.4142
0.781597 62.422 26.3521
0.787261 62.538 26.2914
0.792966 62.655 26.2319
0.798712 62.773 26.1734
0.804500 62.891 26.1155
0.810329 63.010 26.0580
0.816201 63.131 26.0005
0.822116 63.252 25.9429
0.828073 63.373 25.8847
0.834074 63.496 25.8259
0.840118 63.619 25.7660
0.846206 63.743 25.7048
0.852338 63.867 25.6421
0.858514 63.993 25.5776
0.864735 64.119 25.5110
0.871001 64.245 25.4422
0.877313 64.373 25.3708
0.883670 64.501 25.2966
0.890074 64.630 25.2194
0.896524 64.759 25.1390
0.903020 64.889 25.0551
0.909564 65.020 24.9676
0.916155 65.151 24.8761
0.922794 65.283 24.7805
0.929481 65.416 24.6805
0.936216 65.549 24.5760
0.943000 65.682 24.4667
0.949834 65.816 24.3525
0.956717 65.951 24.2331
0.963649 66.086 24.1084
0.970632 66.221 23.9781
0.977666 66.357 23.8421
0.984750 66.493 23.7002
0.991886 66.630 23.5523
0.999074 66.767 23.3980
1.006314 66.904 23.2373
1.013606 67.042 23.0700
1.020951 67.180 22.8960
1.028349 67.318 22.7150
1.035801 67.456 22.5270
1.043307 67.595 22.3317
1.050867 67.734 22.1292
1.058482 67.873 21.9195
1.066152 68.011 21.7025
1.073878 68.150 21.4785
1.081660 68.289 21.2479
1.089498 68.428 21.0116
1.097393 68.568 20.7706
1.105345 68.707 20.5262
1.113355 68.846 20.2797
1.121423 68.985 20.0322
1.129549 69.125 19.7845
1.137734 69.265 19.5370
1.145979 69.405 19.2898
1.154283 69.545 19.0430
1.162647 69.685 18.7965
1.171072 69.825 18.5502
1.179558 69.965 18.3037
1.188106 70.106 18.0570
1.196715 70.247 17.8099
1.205387 70.388 17.5620
1.214122 70.529 17.3131
1.222920 70.670 17.0631
1.231782 70.811 16.8117
1.240708 70.953 16.5587
1.249699 71.094 16.3038
1.258754 71.236 16.0468
1.267876 71.378 15.7875
1.277063 71.520 15.5257
1.286318 71.662 15.2611
1.295639 71.804 14.9934
1.305027 71.946 14.7225
1.314484 72.089 14.4481
1.324009 72.232 14.1700
1.333604 72.374 13.8880
1.343268 72.517 13.6018
1.353002 72.660 13.3111
1.362806 72.804 13.0159
1.372681 72.947 12.7158
1.382628 73.090 12.4105
1.392647 73.234 12.1000
1.402739 73.378 11.7841
1.412904 73.522 11.4625
1.423142 73.666 11.1354
1.433455 73.810 10.8027
1.443843 73.954 10.4648
1.454305 74.098 10.1222
1.464844 74.243 9.7758
1.475459 74.387 9.4266
1.486150 74.531 9.0756
1.496920 74.675 8.7236
1.507767 74.818 8.3712
1.518693 74.962 8.0185
1.529698 75.105 7.6656
1.540783 75.248 7.3123
1.551948 75.391 6.9586
1.563194 75.533 6.6041
1.574521 75.676 6.2487
1.585931 75.818 5.8919
1.597423 75.960 5.5335
1.608999 76.101 5.1732
1.620658 76.243 4.8106
1.632402 76.384 4.4456
1.644232 76.525 4.0776
1.656146 76.666 3.7064
1.668147 76.807 3.3317
1.680235 76.947 2.9531
1.692411 77.087 2.5702
1.704675 77.228 2.1829
1.717028 77.368 1.7906
1.729470 77.508 1.3931
1.742003 77.648 0.9900
1.754626 77.788 0.5810
1.767341 77.928 0.1658
1.780147 78.068 -0.2557
1.793047 78.207 -0.6839
1.806040 78.347 -1.1186
1.819128 78.487 -1.5596
1.832310 78.626 -2.0067
1.845587 78.765 -2.4591
1.858961 78.904 -2.9162
1.872432 79.042 -3.3774
1.886001 79.180 -3.8422
1.899667 79.317 -4.3101
1.913433 79.454 -4.7809
1.927299 79.590 -5.2543
1.941265 79.726 -5.7301
1.955332 79.861 -6.2082
1.969501 79.996 -6.6885
1.983773 80.130 -7.1709
1.998148 80.264 -7.6555
2.012627 80.398 -8.1423
2.027212 80.531 -8.6312
2.041902 80.663 -9.1224
2.056698 80.796 -9.6159
2.071602 80.928 -10.1118
2.086614 81.059 -10.6103
2.101734 81.191 -11.1115
2.116964 81.322 -11.6157
2.132304 81.453 -12.1230
2.147756 81.583 -12.6337
2.163320 81.713 -13.1480
2.178996 81.843 -13.6663
2.194786 81.973 -14.1886
2.210690 82.102 -14.7152
2.226710 82.230 -15.2461
2.242845 82.358 -15.7812
2.259098 82.485 -16.3202
2.275468 82.611 -16.8628
2.291957 82.737 -17.4087
2.308566 82.862 -17.9575
2.325295 82.986 -18.5089
2.342145 83.110 -19.0625
2.359117 83.233 -19.6181
2.376212 83.356 -20.1754
2.393431 83.477 -20.7342
2.410775 83.599 -21.2943
2.428244 83.719 -21.8555
2.445840 83.839 -22.4178
2.463564 83.959 -22.9810
2.481416 84.078 -23.5453
2.499397 84.197 -24.1107
2.517509 84.315 -24.6775
2.535752 84.433 -25.2459
2.554127 84.550 -25.8166
2.572635 84.667 -26.3899
2.591277 84.783 -26.9666
2.610055 84.898 -27.5468
2.628968 85.012 -28.1307
2.648019 85.126 -28.7180
2.667208 85.238 -29.3085
2.686535 85.350 -29.9016
2.706003 85.461 -30.4970
2.725612 85.571 -31.0941
2.745363 85.680 -31.6924
2.765257 85.789 -32.2914
2.785295 85.897 -32.8907
2.805478 86.004 -33.4900
2.825808 86.111 -34.0888
2.846285 86.217 -34.6871
2.866910 86.323 -35.2847
2.887685 86.428 -35.8818
2.908611 86.532 -36.4788
2.929688 86.636 -37.0763
2.950917 86.739 -37.6749
2.972301 86.841 -38.2755
2.993839 86.943 -38.8783
3.015534 87.043 -39.4834
3.037386 87.143 -40.0906
3.059396 87.241 -40.6995
3.081565 87.339 -41.3097
3.103896 87.436 -41.9205
3.126388 87.532 -42.5314
3.149043 87.628 -43.1417
3.171862 87.723 -43.7510
3.194847 87.817 -44.3587
3.217998 87.910 -44.9646
3.241317 88.003 -45.5685
3.264805 88.096 -46.1704
3.288463 88.188 -46.7709
3.312293 88.279 -47.3705
3.336295 88.369 -47.9699
3.360471 88.459 -48.5696
3.384822 88.548 -49.1698
3.409350 88.636 -49.7705
3.434056 88.723 -50.3715
3.458940 88.809 -50.9724
3.484005 88.895 -51.5727
3.509252 88.980 -52.1720
3.534681 89.064 -52.7696
3.560295 89.148 -53.3653
3.586094 89.231 -53.9586
3.612081 89.314 -54.5495
3.638255 89.397 -55.1379
3.664620 89.479 -55.7241
3.691175 89.560 -56.3086
3.717923 89.641 -56.8920
3.744864 89.721 -57.4744
3.772001 89.800 -58.0562
3.799335 89.879 -58.6372
3.826866 89.957 -59.2172
3.854597 90.035 -59.7962
3.882529 90.112 -60.3736
3.910664 90.189 -60.9493
3.939002 90.265 -61.5230
3.967546 90.341 -62.0945
3.996296 90.417 -62.6637
4.025255 90.492 -63.2309
4.054423 90.567 -63.7962
4.083804 90.641 -64.3599
4.113396 90.715 -64.9223
4.143204 90.789 -65.4836
4.173227 90.862 -66.0438
4.203468 90.935 -66.6030
4.233928 91.007 -67.1611
4.264609 91.079 -67.7181
4.295512 91.151 -68.2738
4.326639 91.223 -68.8284
4.357992 91.294 -69.3817
4.389572 91.365 -69.9339
4.421380 91.435 -70.4851
4.453419 91.506 -71.0356
4.485691 91.576 -71.5855
4.518196 91.645 -72.1349
4.550936 91.715 -72.6839
4.583914 91.784 -73.2324
4.617131 91.852 -73.7805
4.650589 91.920 -74.3283
4.684289 91.988 -74.8757
4.718233 92.056 -75.4228
4.752424 92.123 -75.9698
4.786862 92.191 -76.5169
4.821549 92.257 -77.0641
4.856488 92.323 -77.6116
4.891680 92.389 -78.1595
4.927127 92.455 -78.7075
4.962831 92.520 -79.2557
4.998794 92.585 -79.8040
5.035017 92.649 -80.3523
5.071503 92.712 -80.9007
5.108253 92.776 -81.4493
5.145270 92.838 -81.9982
5.182555 92.901 -82.5476
5.220110 92.962 -83.0976
5.257937 93.024 -83.6480
5.296038 93.084 -84.1989
5.334415 93.144 -84.7498
5.373071 93.204 -85.3006
5.412006 93.263 -85.8510
5.451224 93.321 -86.4011
5.490725 93.379 -86.9508
5.530514 93.436 -87.5002
5.570590 93.492 -88.0496
5.610957 93.548 -88.5988
5.651616 93.603 -89.1478
5.692570 93.657 -89.6962
5.733821 93.711 -90.2437
5.775370 93.764 -90.7900
5.817221 93.817 -91.3349
5.859375 93.869 -91.8784
5.901834 93.920 -92.4205
5.944602 93.970 -92.9612
5.987679 94.020 -93.5007
6.031068 94.069 -94.0387
6.074771 94.118 -94.5751
6.118792 94.166 -95.1095
6.163131 94.213 -95.6418
6.207792 94.260 -96.1717
6.252776 94.306 -96.6993
6.298086 94.352 -97.2246
6.343725 94.397 -97.7477
6.389694 94.442 -98.2686
6.435996 94.486 -98.7872
6.482634 94.530 -99.3035
6.529610 94.573 -99.8173
6.576926 94.616 -100.3286
6.624585 94.658 -100.8375
6.672590 94.700 -101.3439
6.720942 94.742 -101.8480
6.769645 94.783 -102.3499
