* Measurement data measured by REW V5.31.3
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 3, 25 6:29:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Melobuds Pro FLAT R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 51.066 75.4505
0.368865 51.093 75.3167
0.371538 51.132 75.1185
0.374230 51.181 74.8731
0.376942 51.236 74.5956
0.379673 51.295 74.2970
0.382424 51.356 73.9845
0.385196 51.419 73.6626
0.387987 51.482 73.3338
0.390798 51.547 72.9997
0.393630 51.612 72.6612
0.396483 51.678 72.3187
0.399356 51.744 71.9726
0.402250 51.811 71.6230
0.405165 51.878 71.2700
0.408101 51.946 70.9139
0.411058 52.014 70.5546
0.414037 52.083 70.1924
0.417037 52.152 69.8273
0.420059 52.222 69.4595
0.423103 52.292 69.0890
0.426169 52.363 68.7159
0.429257 52.434 68.3403
0.432368 52.506 67.9625
0.435501 52.578 67.5823
0.438656 52.651 67.2000
0.441835 52.724 66.8157
0.445037 52.798 66.4295
0.448262 52.873 66.0414
0.451510 52.948 65.6516
0.454782 53.023 65.2601
0.458077 53.099 64.8671
0.461397 53.176 64.4726
0.464740 53.253 64.0768
0.468108 53.331 63.6797
0.471500 53.409 63.2814
0.474917 53.488 62.8820
0.478358 53.567 62.4816
0.481825 53.647 62.0802
0.485316 53.728 61.6780
0.488833 53.809 61.2750
0.492375 53.891 60.8712
0.495943 53.973 60.4668
0.499537 54.056 60.0617
0.503157 54.139 59.6561
0.506803 54.223 59.2500
0.510475 54.308 58.8434
0.514175 54.394 58.4364
0.517900 54.480 58.0290
0.521653 54.566 57.6213
0.525434 54.653 57.2133
0.529241 54.741 56.8049
0.533076 54.830 56.3963
0.536939 54.919 55.9874
0.540830 55.009 55.5783
0.544749 55.099 55.1690
0.548696 55.190 54.7594
0.552673 55.282 54.3495
0.556677 55.375 53.9394
0.560711 55.468 53.5291
0.564774 55.561 53.1185
0.568867 55.656 52.7076
0.572989 55.751 52.2964
0.577141 55.847 51.8848
0.581324 55.943 51.4729
0.585536 56.041 51.0605
0.589779 56.139 50.6477
0.594053 56.237 50.2344
0.598358 56.337 49.8206
0.602694 56.437 49.4061
0.607061 56.538 48.9910
0.611460 56.639 48.5752
0.615891 56.741 48.1585
0.620354 56.844 47.7411
0.624849 56.948 47.3226
0.629377 57.053 46.9032
0.633938 57.158 46.4827
0.638532 57.264 46.0610
0.643159 57.371 45.6381
0.647819 57.479 45.2138
0.652514 57.587 44.7880
0.657242 57.696 44.3607
0.662005 57.806 43.9318
0.666802 57.917 43.5011
0.671634 58.028 43.0685
0.676501 58.141 42.6340
0.681403 58.254 42.1974
0.686341 58.368 41.7586
0.691314 58.483 41.3175
0.696324 58.598 40.8740
0.701370 58.714 40.4280
0.706452 58.831 39.9795
0.711571 58.948 39.5284
0.716728 59.065 39.0749
0.721921 59.182 38.6191
0.727153 59.297 38.1616
0.732422 59.412 37.7030
0.737729 59.524 37.2439
0.743075 59.636 36.7854
0.748460 59.746 36.3281
0.753883 59.855 35.8725
0.759346 59.964 35.4190
0.764849 60.073 34.9679
0.770391 60.182 34.5193
0.775974 60.292 34.0734
0.781597 60.401 33.6301
0.787261 60.511 33.1896
0.792966 60.621 32.7517
0.798712 60.731 32.3165
0.804500 60.841 31.8840
0.810329 60.952 31.4541
0.816201 61.063 31.0268
0.822116 61.174 30.6019
0.828073 61.285 30.1796
0.834074 61.397 29.7596
0.840118 61.509 29.3418
0.846206 61.621 28.9263
0.852338 61.733 28.5129
0.858514 61.845 28.1014
0.864735 61.958 27.6918
0.871001 62.071 27.2840
0.877313 62.184 26.8778
0.883670 62.298 26.4731
0.890074 62.412 26.0698
0.896524 62.526 25.6676
0.903020 62.640 25.2666
0.909564 62.754 24.8665
0.916155 62.869 24.4671
0.922794 62.984 24.0683
0.929481 63.099 23.6700
0.936216 63.214 23.2719
0.943000 63.330 22.8739
0.949834 63.446 22.4758
0.956717 63.562 22.0775
0.963649 63.678 21.6786
0.970632 63.795 21.2792
0.977666 63.912 20.8788
0.984750 64.029 20.4775
0.991886 64.146 20.0749
0.999074 64.264 19.6708
1.006314 64.382 19.2651
1.013606 64.500 18.8575
1.020951 64.619 18.4479
1.028349 64.737 18.0359
1.035801 64.856 17.6214
1.043307 64.976 17.2042
1.050867 65.095 16.7841
1.058482 65.215 16.3609
1.066152 65.336 15.9344
1.073878 65.456 15.5046
1.081660 65.577 15.0715
1.089498 65.698 14.6353
1.097393 65.819 14.1961
1.105345 65.940 13.7547
1.113355 66.062 13.3114
1.121423 66.183 12.8668
1.129549 66.304 12.4212
1.137734 66.426 11.9750
1.145979 66.547 11.5285
1.154283 66.668 11.0817
1.162647 66.789 10.6349
1.171072 66.910 10.1880
1.179558 67.031 9.7411
1.188106 67.152 9.2943
1.196715 67.273 8.8477
1.205387 67.393 8.4012
1.214122 67.514 7.9549
1.222920 67.635 7.5088
1.231782 67.755 7.0628
1.240708 67.876 6.6170
1.249699 67.997 6.1714
1.258754 68.117 5.7259
1.267876 68.238 5.2805
1.277063 68.358 4.8352
1.286318 68.479 4.3898
1.295639 68.599 3.9445
1.305027 68.720 3.4990
1.314484 68.841 3.0534
1.324009 68.961 2.6075
1.333604 69.082 2.1613
1.343268 69.203 1.7147
1.353002 69.324 1.2676
1.362806 69.445 0.8199
1.372681 69.566 0.3715
1.382628 69.687 -0.0777
1.392647 69.809 -0.5278
1.402739 69.930 -0.9790
1.412904 70.052 -1.4313
1.423142 70.174 -1.8848
1.433455 70.296 -2.3395
1.443843 70.419 -2.7954
1.454305 70.541 -3.2525
1.464844 70.664 -3.7104
1.475459 70.786 -4.1689
1.486150 70.909 -4.6276
1.496920 71.031 -5.0865
1.507767 71.153 -5.5451
1.518693 71.275 -6.0036
1.529698 71.397 -6.4618
1.540783 71.518 -6.9198
1.551948 71.639 -7.3777
1.563194 71.760 -7.8356
1.574521 71.881 -8.2936
1.585931 72.001 -8.7519
1.597423 72.122 -9.2106
1.608999 72.242 -9.6699
1.620658 72.362 -10.1299
1.632402 72.481 -10.5909
1.644232 72.601 -11.0530
1.656146 72.720 -11.5165
1.668147 72.839 -11.9816
1.680235 72.958 -12.4484
1.692411 73.077 -12.9174
1.704675 73.196 -13.3885
1.717028 73.314 -13.8623
1.729470 73.433 -14.3388
1.742003 73.551 -14.8185
1.754626 73.670 -15.3014
1.767341 73.788 -15.7880
1.780147 73.906 -16.2785
1.793047 74.025 -16.7732
1.806040 74.143 -17.2722
1.819128 74.261 -17.7757
1.832310 74.379 -18.2837
1.845587 74.497 -18.7962
1.858961 74.614 -19.3129
1.872432 74.731 -19.8336
1.886001 74.848 -20.3580
1.899667 74.964 -20.8857
1.913433 75.080 -21.4164
1.927299 75.195 -21.9499
1.941265 75.310 -22.4858
1.955332 75.424 -23.0238
1.969501 75.538 -23.5637
1.983773 75.652 -24.1054
1.998148 75.765 -24.6485
2.012627 75.878 -25.1931
2.027212 75.991 -25.7388
2.041902 76.103 -26.2857
2.056698 76.215 -26.8336
2.071602 76.326 -27.3825
2.086614 76.437 -27.9324
2.101734 76.548 -28.4833
2.116964 76.659 -29.0352
2.132304 76.769 -29.5884
2.147756 76.879 -30.1431
2.163320 76.989 -30.6995
2.178996 77.098 -31.2580
2.194786 77.207 -31.8192
2.210690 77.315 -32.3836
2.226710 77.423 -32.9515
2.242845 77.531 -33.5233
2.259098 77.638 -34.0989
2.275468 77.744 -34.6781
2.291957 77.849 -35.2606
2.308566 77.954 -35.8460
2.325295 78.059 -36.4339
2.342145 78.162 -37.0239
2.359117 78.265 -37.6155
2.376212 78.368 -38.2085
2.393431 78.470 -38.8023
2.410775 78.571 -39.3967
2.428244 78.672 -39.9913
2.445840 78.772 -40.5860
2.463564 78.871 -41.1805
2.481416 78.971 -41.7748
2.499397 79.069 -42.3688
2.517509 79.168 -42.9628
2.535752 79.265 -43.5571
2.554127 79.362 -44.1524
2.572635 79.459 -44.7494
2.591277 79.555 -45.3490
2.610055 79.650 -45.9517
2.628968 79.744 -46.5577
2.648019 79.837 -47.1672
2.667208 79.930 -47.7796
2.686535 80.022 -48.3947
2.706003 80.112 -49.0119
2.725612 80.203 -49.6305
2.745363 80.292 -50.2501
2.765257 80.381 -50.8699
2.785295 80.469 -51.4896
2.805478 80.556 -52.1084
2.825808 80.642 -52.7260
2.846285 80.728 -53.3421
2.866910 80.814 -53.9565
2.887685 80.898 -54.5694
2.908611 80.982 -55.1810
2.929688 81.066 -55.7923
2.950917 81.148 -56.4039
2.972301 81.230 -57.0169
2.993839 81.311 -57.6318
3.015534 81.391 -58.2487
3.037386 81.469 -58.8675
3.059396 81.547 -59.4877
3.081565 81.625 -60.1089
3.103896 81.701 -60.7304
3.126388 81.776 -61.3513
3.149043 81.851 -61.9711
3.171862 81.925 -62.5889
3.194847 81.998 -63.2043
3.217998 82.071 -63.8166
3.241317 82.143 -64.4257
3.264805 82.214 -65.0315
3.288463 82.285 -65.6345
3.312293 82.355 -66.2354
3.336295 82.424 -66.8348
3.360471 82.492 -67.4336
3.384822 82.559 -68.0321
3.409350 82.626 -68.6302
3.434056 82.691 -69.2278
3.458940 82.756 -69.8244
3.484005 82.820 -70.4197
3.509252 82.883 -71.0129
3.534681 82.946 -71.6036
3.560295 83.008 -72.1911
3.586094 83.070 -72.7751
3.612081 83.131 -73.3553
3.638255 83.191 -73.9316
3.664620 83.251 -74.5042
3.691175 83.311 -75.0737
3.717923 83.370 -75.6406
3.744864 83.428 -76.2052
3.772001 83.485 -76.7678
3.799335 83.542 -77.3284
3.826866 83.598 -77.8869
3.854597 83.654 -78.4429
3.882529 83.709 -78.9963
3.910664 83.763 -79.5466
3.939002 83.818 -80.0936
3.967546 83.872 -80.6370
3.996296 83.925 -81.1767
4.025255 83.979 -81.7126
4.054423 84.032 -82.2450
4.083804 84.085 -82.7742
4.113396 84.137 -83.3003
4.143204 84.189 -83.8237
4.173227 84.241 -84.3445
4.203468 84.292 -84.8628
4.233928 84.343 -85.3787
4.264609 84.393 -85.8922
4.295512 84.444 -86.4034
4.326639 84.494 -86.9123
4.357992 84.544 -87.4188
4.389572 84.594 -87.9230
4.421380 84.644 -88.4249
4.453419 84.694 -88.9248
4.485691 84.744 -89.4226
4.518196 84.793 -89.9186
4.550936 84.842 -90.4129
4.583914 84.891 -90.9057
4.617131 84.940 -91.3971
4.650589 84.988 -91.8873
4.684289 85.036 -92.3764
4.718233 85.085 -92.8647
4.752424 85.132 -93.3521
4.786862 85.180 -93.8388
4.821549 85.228 -94.3249
4.856488 85.275 -94.8104
4.891680 85.322 -95.2953
4.927127 85.369 -95.7798
4.962831 85.416 -96.2637
4.998794 85.462 -96.7473
5.035017 85.508 -97.2304
5.071503 85.554 -97.7133
5.108253 85.599 -98.1961
5.145270 85.644 -98.6789
5.182555 85.689 -99.1617
5.220110 85.733 -99.6447
5.257937 85.776 -100.1277
5.296038 85.820 -100.6106
5.334415 85.863 -101.0933
5.373071 85.905 -101.5755
5.412006 85.947 -102.0571
5.451224 85.988 -102.5380
5.490725 86.029 -103.0183
5.530514 86.069 -103.4980
5.570590 86.108 -103.9772
5.610957 86.148 -104.4559
5.651616 86.186 -104.9339
5.692570 86.224 -105.4109
5.733821 86.261 -105.8866
5.775370 86.298 -106.3608
5.817221 86.334 -106.8331
5.859375 86.369 -107.3036
5.901834 86.404 -107.7722
5.944602 86.439 -108.2390
5.987679 86.472 -108.7039
6.031068 86.506 -109.1669
6.074771 86.538 -109.6278
6.118792 86.570 -110.0863
6.163131 86.602 -110.5422
6.207792 86.633 -110.9955
6.252776 86.664 -111.4459
6.298086 86.694 -111.8937
6.343725 86.724 -112.3388
6.389694 86.754 -112.7812
6.435996 86.783 -113.2211
6.482634 86.812 -113.6584
6.529610 86.840 -114.0930
6.576926 86.868 -114.5251
6.624585 86.896 -114.9545
