* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12 17, 24 9:19:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing 2 S2 R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.502 -73.7298
0.368865 36.530 -73.8776
0.371538 36.571 -74.0964
0.374230 36.622 -74.3662
0.376942 36.679 -74.6703
0.379673 36.740 -74.9962
0.382424 36.803 -75.3358
0.385196 36.868 -75.6840
0.387987 36.934 -76.0379
0.390798 37.001 -76.3958
0.393630 37.069 -76.7568
0.396483 37.137 -77.1204
0.399356 37.206 -77.4863
0.402250 37.275 -77.8543
0.405165 37.345 -78.2244
0.408101 37.415 -78.5964
0.411058 37.486 -78.9702
0.414037 37.557 -79.3459
0.417037 37.629 -79.7233
0.420059 37.701 -80.1023
0.423103 37.774 -80.4830
0.426169 37.847 -80.8653
0.429257 37.921 -81.2491
0.432368 37.996 -81.6344
0.435501 38.071 -82.0212
0.438656 38.146 -82.4093
0.441835 38.222 -82.7987
0.445037 38.299 -83.1895
0.448262 38.376 -83.5816
0.451510 38.454 -83.9748
0.454782 38.532 -84.3693
0.458077 38.611 -84.7649
0.461397 38.690 -85.1617
0.464740 38.771 -85.5596
0.468108 38.851 -85.9585
0.471500 38.932 -86.3586
0.474917 39.014 -86.7597
0.478358 39.096 -87.1618
0.481825 39.179 -87.5650
0.485316 39.263 -87.9692
0.488833 39.347 -88.3743
0.492375 39.432 -88.7805
0.495943 39.517 -89.1877
0.499537 39.603 -89.5960
0.503157 39.690 -90.0052
0.506803 39.777 -90.4154
0.510475 39.865 -90.8267
0.514175 39.954 -91.2390
0.517900 40.043 -91.6524
0.521653 40.133 -92.0669
0.525434 40.223 -92.4825
0.529241 40.314 -92.8993
0.533076 40.406 -93.3171
0.536939 40.498 -93.7362
0.540830 40.592 -94.1565
0.544749 40.685 -94.5781
0.548696 40.780 -95.0010
0.552673 40.875 -95.4251
0.556677 40.971 -95.8507
0.560711 41.068 -96.2777
0.564774 41.165 -96.7062
0.568867 41.263 -97.1362
0.572989 41.361 -97.5678
0.577141 41.461 -98.0009
0.581324 41.561 -98.4358
0.585536 41.662 -98.8724
0.589779 41.763 -99.3108
0.594053 41.866 -99.7510
0.598358 41.969 -100.1931
0.602694 42.073 -100.6372
0.607061 42.177 -101.0833
0.611460 42.282 -101.5315
0.615891 42.388 -101.9819
0.620354 42.495 -102.4345
0.624849 42.603 -102.8893
0.629377 42.711 -103.3465
0.633938 42.821 -103.8061
0.638532 42.931 -104.2682
0.643159 43.041 -104.7328
0.647819 43.153 -105.2001
0.652514 43.265 -105.6700
0.657242 43.378 -106.1426
0.662005 43.493 -106.6181
0.666802 43.607 -107.0964
0.671634 43.723 -107.5776
0.676501 43.840 -108.0619
0.681403 43.957 -108.5491
0.686341 44.075 -109.0395
0.691314 44.194 -109.5330
0.696324 44.314 -110.0296
0.701370 44.435 -110.5293
0.706452 44.556 -111.0321
0.711571 44.678 -111.5376
0.716728 44.801 -112.0456
0.721921 44.924 -112.5553
0.727153 45.047 -113.0658
0.732422 45.170 -113.5758
0.737729 45.293 -114.0837
0.743075 45.416 -114.5879
0.748460 45.539 -115.0872
0.753883 45.662 -115.5807
0.759346 45.786 -116.0680
0.764849 45.911 -116.5487
0.770391 46.036 -117.0228
0.775974 46.163 -117.4903
0.781597 46.290 -117.9515
0.787261 46.418 -118.4064
0.792966 46.546 -118.8553
0.798712 46.676 -119.2984
0.804500 46.806 -119.7360
0.810329 46.937 -120.1683
0.816201 47.069 -120.5955
0.822116 47.202 -121.0179
0.828073 47.336 -121.4359
0.834074 47.470 -121.8496
0.840118 47.605 -122.2594
0.846206 47.741 -122.6655
0.852338 47.877 -123.0682
0.858514 48.014 -123.4678
0.864735 48.152 -123.8646
0.871001 48.291 -124.2588
0.877313 48.430 -124.6509
0.883670 48.570 -125.0409
0.890074 48.711 -125.4294
0.896524 48.852 -125.8164
0.903020 48.994 -126.2023
0.909564 49.136 -126.5875
0.916155 49.280 -126.9721
0.922794 49.423 -127.3565
0.929481 49.567 -127.7409
0.936216 49.712 -128.1256
0.943000 49.857 -128.5109
0.949834 50.003 -128.8971
0.956717 50.149 -129.2845
0.963649 50.295 -129.6732
0.970632 50.442 -130.0636
0.977666 50.589 -130.4560
0.984750 50.737 -130.8506
0.991886 50.885 -131.2476
0.999074 51.033 -131.6474
1.006314 51.181 -132.0501
1.013606 51.330 -132.4561
1.020951 51.479 -132.8656
1.028349 51.628 -133.2788
1.035801 51.777 -133.6959
1.043307 51.926 -134.1172
1.050867 52.075 -134.5428
1.058482 52.224 -134.9729
1.066152 52.373 -135.4075
1.073878 52.522 -135.8465
1.081660 52.671 -136.2895
1.089498 52.819 -136.7359
1.097393 52.968 -137.1848
1.105345 53.117 -137.6350
1.113355 53.265 -138.0854
1.121423 53.413 -138.5347
1.129549 53.562 -138.9824
1.137734 53.710 -139.4278
1.145979 53.858 -139.8708
1.154283 54.006 -140.3112
1.162647 54.154 -140.7492
1.171072 54.302 -141.1846
1.179558 54.450 -141.6177
1.188106 54.597 -142.0486
1.196715 54.745 -142.4774
1.205387 54.893 -142.9043
1.214122 55.040 -143.3295
1.222920 55.188 -143.7531
1.231782 55.335 -144.1754
1.240708 55.483 -144.5965
1.249699 55.630 -145.0167
1.258754 55.778 -145.4362
1.267876 55.925 -145.8551
1.277063 56.073 -146.2738
1.286318 56.220 -146.6924
1.295639 56.368 -147.1111
1.305027 56.515 -147.5302
1.314484 56.663 -147.9498
1.324009 56.810 -148.3704
1.333604 56.958 -148.7920
1.343268 57.105 -149.2150
1.353002 57.253 -149.6396
1.362806 57.401 -150.0659
1.372681 57.549 -150.4944
1.382628 57.697 -150.9251
1.392647 57.845 -151.3584
1.402739 57.993 -151.7944
1.412904 58.142 -152.2334
1.423142 58.290 -152.6754
1.433455 58.439 -153.1203
1.443843 58.588 -153.5680
1.454305 58.737 -154.0182
1.464844 58.886 -154.4700
1.475459 59.035 -154.9228
1.486150 59.183 -155.3757
1.496920 59.332 -155.8280
1.507767 59.480 -156.2792
1.518693 59.627 -156.7293
1.529698 59.775 -157.1781
1.540783 59.922 -157.6258
1.551948 60.068 -158.0725
1.563194 60.215 -158.5183
1.574521 60.360 -158.9636
1.585931 60.506 -159.4086
1.597423 60.651 -159.8536
1.608999 60.796 -160.2988
1.620658 60.941 -160.7446
1.632402 61.085 -161.1913
1.644232 61.229 -161.6391
1.656146 61.373 -162.0884
1.668147 61.516 -162.5395
1.680235 61.659 -162.9928
1.692411 61.802 -163.4484
1.704675 61.945 -163.9069
1.717028 62.088 -164.3685
1.729470 62.231 -164.8336
1.742003 62.373 -165.3024
1.754626 62.516 -165.7754
1.767341 62.658 -166.2529
1.780147 62.801 -166.7350
1.793047 62.943 -167.2220
1.806040 63.085 -167.7140
1.819128 63.227 -168.2109
1.832310 63.369 -168.7124
1.845587 63.511 -169.2181
1.858961 63.652 -169.7275
1.872432 63.793 -170.2401
1.886001 63.933 -170.7552
1.899667 64.072 -171.2727
1.913433 64.211 -171.7921
1.927299 64.350 -172.3131
1.941265 64.488 -172.8355
1.955332 64.625 -173.3592
1.969501 64.762 -173.8840
1.983773 64.898 -174.4098
1.998148 65.034 -174.9365
2.012627 65.169 -175.4642
2.027212 65.304 -175.9926
2.041902 65.438 -176.5220
2.056698 65.572 -177.0523
2.071602 65.706 -177.5836
2.086614 65.839 -178.1160
2.101734 65.972 -178.6496
2.116964 66.105 -179.1846
2.132304 66.237 -179.7211
2.147756 66.369 179.7405
2.163320 66.501 179.2000
2.178996 66.633 178.6572
2.194786 66.764 178.1116
2.210690 66.895 177.5631
2.226710 67.025 177.0115
2.242845 67.154 176.4569
2.259098 67.283 175.8994
2.275468 67.411 175.3393
2.291957 67.538 174.7768
2.308566 67.665 174.2124
2.325295 67.791 173.6464
2.342145 67.916 173.0790
2.359117 68.040 172.5107
2.376212 68.164 171.9417
2.393431 68.287 171.3722
2.410775 68.410 170.8025
2.428244 68.532 170.2327
2.445840 68.654 169.6630
2.463564 68.775 169.0934
2.481416 68.896 168.5240
2.499397 69.016 167.9547
2.517509 69.136 167.3852
2.535752 69.255 166.8152
2.554127 69.374 166.2444
2.572635 69.492 165.6720
2.591277 69.610 165.0977
2.610055 69.726 164.5208
2.628968 69.842 163.9416
2.648019 69.957 163.3599
2.667208 70.072 162.7761
2.686535 70.185 162.1906
2.706003 70.298 161.6038
2.725612 70.410 161.0162
2.745363 70.521 160.4282
2.765257 70.632 159.8404
2.785295 70.741 159.2531
2.805478 70.851 158.6666
2.825808 70.959 158.0813
2.846285 71.068 157.4974
2.866910 71.175 156.9150
2.887685 71.282 156.3340
2.908611 71.389 155.7540
2.929688 71.495 155.1745
2.950917 71.600 154.5948
2.972301 71.705 154.0143
2.993839 71.809 153.4326
3.015534 71.911 152.8497
3.037386 72.013 152.2657
3.059396 72.115 151.6809
3.081565 72.215 151.0958
3.103896 72.315 150.5107
3.126388 72.414 149.9263
3.149043 72.512 149.3431
3.171862 72.610 148.7615
3.194847 72.707 148.1820
3.217998 72.804 147.6048
3.241317 72.900 147.0300
3.264805 72.996 146.4577
3.288463 73.091 145.8875
3.312293 73.186 145.3188
3.336295 73.280 144.7511
3.360471 73.373 144.1840
3.384822 73.466 143.6172
3.409350 73.558 143.0508
3.434056 73.649 142.4848
3.458940 73.740 141.9196
3.484005 73.829 141.3555
3.509252 73.919 140.7929
3.534681 74.008 140.2321
3.560295 74.096 139.6736
3.586094 74.184 139.1174
3.612081 74.272 138.5639
3.638255 74.359 138.0129
3.664620 74.446 137.4643
3.691175 74.532 136.9175
3.717923 74.618 136.3724
3.744864 74.704 135.8286
3.772001 74.789 135.2860
3.799335 74.873 134.7446
3.826866 74.957 134.2043
3.854597 75.040 133.6655
3.882529 75.123 133.1283
3.910664 75.206 132.5929
3.939002 75.289 132.0594
3.967546 75.371 131.5280
3.996296 75.453 130.9986
4.025255 75.534 130.4712
4.054423 75.616 129.9456
4.083804 75.697 129.4216
4.113396 75.777 128.8990
4.143204 75.858 128.3776
4.173227 75.938 127.8573
4.203468 76.018 127.3382
4.233928 76.097 126.8201
4.264609 76.176 126.3032
4.295512 76.255 125.7875
4.326639 76.334 125.2728
4.357992 76.412 124.7592
4.389572 76.490 124.2466
4.421380 76.568 123.7349
4.453419 76.646 123.2239
4.485691 76.724 122.7134
4.518196 76.801 122.2035
4.550936 76.878 121.6941
4.583914 76.955 121.1852
4.617131 77.031 120.6768
4.650589 77.107 120.1689
4.684289 77.183 119.6615
4.718233 77.259 119.1544
4.752424 77.334 118.6476
4.786862 77.409 118.1410
4.821549 77.484 117.6344
4.856488 77.558 117.1278
4.891680 77.633 116.6212
4.927127 77.706 116.1146
4.962831 77.780 115.6081
4.998794 77.853 115.1018
5.035017 77.926 114.5959
5.071503 77.998 114.0902
5.108253 78.070 113.5847
5.145270 78.142 113.0794
5.182555 78.213 112.5741
5.220110 78.284 112.0687
5.257937 78.355 111.5632
5.296038 78.425 111.0579
5.334415 78.495 110.5528
5.373071 78.564 110.0482
5.412006 78.633 109.5441
5.451224 78.701 109.0408
5.490725 78.769 108.5381
5.530514 78.837 108.0359
5.570590 78.904 107.5342
5.610957 78.971 107.0330
5.651616 79.037 106.5323
5.692570 79.103 106.0323
5.733821 79.169 105.5331
5.775370 79.234 105.0348
5.817221 79.299 104.5377
5.859375 79.363 104.0417
5.901834 79.427 103.5468
5.944602 79.491 103.0529
5.987679 79.554 102.5598
6.031068 79.617 102.0677
6.074771 79.679 101.5767
6.118792 79.741 101.0866
6.163131 79.803 100.5977
6.207792 79.865 100.1100
6.252776 79.926 99.6234
6.298086 79.987 99.1378
6.343725 80.048 98.6532
6.389694 80.108 98.1695
6.435996 80.168 97.6866
6.482634 80.228 97.2046
6.529610 80.288 96.7234
