* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -11.9 dBFS with no timing reference
* Dated: 07 28, 25 3:52:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Blessing2 500 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.237 -37.1801
0.368865 38.231 -37.2224
0.371538 38.223 -37.2859
0.374230 38.212 -37.3658
0.376942 38.200 -37.4580
0.379673 38.187 -37.5595
0.382424 38.174 -37.6683
0.385196 38.160 -37.7833
0.387987 38.146 -37.9037
0.390798 38.132 -38.0292
0.393630 38.117 -38.1597
0.396483 38.103 -38.2950
0.399356 38.088 -38.4352
0.402250 38.074 -38.5803
0.405165 38.059 -38.7304
0.408101 38.044 -38.8855
0.411058 38.029 -39.0456
0.414037 38.014 -39.2108
0.417037 37.998 -39.3812
0.420059 37.983 -39.5568
0.423103 37.967 -39.7377
0.426169 37.952 -39.9240
0.429257 37.936 -40.1156
0.432368 37.920 -40.3127
0.435501 37.904 -40.5153
0.438656 37.888 -40.7235
0.441835 37.872 -40.9373
0.445037 37.856 -41.1568
0.448262 37.839 -41.3820
0.451510 37.823 -41.6129
0.454782 37.806 -41.8498
0.458077 37.789 -42.0924
0.461397 37.773 -42.3411
0.464740 37.756 -42.5957
0.468108 37.738 -42.8563
0.471500 37.721 -43.1230
0.474917 37.704 -43.3958
0.478358 37.686 -43.6747
0.481825 37.669 -43.9598
0.485316 37.651 -44.2511
0.488833 37.633 -44.5487
0.492375 37.615 -44.8525
0.495943 37.597 -45.1626
0.499537 37.579 -45.4791
0.503157 37.560 -45.8018
0.506803 37.542 -46.1309
0.510475 37.523 -46.4664
0.514175 37.504 -46.8083
0.517900 37.485 -47.1565
0.521653 37.466 -47.5110
0.525434 37.447 -47.8719
0.529241 37.427 -48.2392
0.533076 37.408 -48.6127
0.536939 37.388 -48.9926
0.540830 37.368 -49.3787
0.544749 37.348 -49.7710
0.548696 37.328 -50.1695
0.552673 37.308 -50.5741
0.556677 37.288 -50.9848
0.560711 37.267 -51.4015
0.564774 37.247 -51.8241
0.568867 37.226 -52.2525
0.572989 37.205 -52.6867
0.577141 37.184 -53.1266
0.581324 37.162 -53.5720
0.585536 37.141 -54.0228
0.589779 37.119 -54.4789
0.594053 37.098 -54.9402
0.598358 37.076 -55.4065
0.602694 37.054 -55.8777
0.607061 37.031 -56.3536
0.611460 37.009 -56.8340
0.615891 36.987 -57.3188
0.620354 36.964 -57.8077
0.624849 36.941 -58.3006
0.629377 36.918 -58.7972
0.633938 36.895 -59.2972
0.638532 36.871 -59.8006
0.643159 36.848 -60.3069
0.647819 36.824 -60.8160
0.652514 36.800 -61.3275
0.657242 36.776 -61.8413
0.662005 36.752 -62.3569
0.666802 36.728 -62.8741
0.671634 36.703 -63.3926
0.676501 36.678 -63.9120
0.681403 36.653 -64.4320
0.686341 36.628 -64.9522
0.691314 36.603 -65.4724
0.696324 36.577 -65.9922
0.701370 36.551 -66.5114
0.706452 36.525 -67.0297
0.711571 36.499 -67.5472
0.716728 36.472 -68.0640
0.721921 36.445 -68.5810
0.727153 36.417 -69.0991
0.732422 36.388 -69.6204
0.737729 36.358 -70.1470
0.743075 36.327 -70.6814
0.748460 36.295 -71.2256
0.753883 36.264 -71.7813
0.759346 36.232 -72.3496
0.764849 36.199 -72.9312
0.770391 36.167 -73.5268
0.775974 36.135 -74.1365
0.781597 36.103 -74.7607
0.787261 36.071 -75.3994
0.792966 36.039 -76.0529
0.798712 36.006 -76.7212
0.804500 35.974 -77.4043
0.810329 35.942 -78.1022
0.816201 35.909 -78.8150
0.822116 35.876 -79.5426
0.828073 35.843 -80.2849
0.834074 35.809 -81.0418
0.840118 35.776 -81.8132
0.846206 35.741 -82.5989
0.852338 35.707 -83.3986
0.858514 35.672 -84.2122
0.864735 35.636 -85.0393
0.871001 35.600 -85.8794
0.877313 35.563 -86.7323
0.883670 35.525 -87.5975
0.890074 35.487 -88.4744
0.896524 35.448 -89.3624
0.903020 35.408 -90.2610
0.909564 35.367 -91.1695
0.916155 35.325 -92.0870
0.922794 35.282 -93.0128
0.929481 35.237 -93.9461
0.936216 35.192 -94.8859
0.943000 35.145 -95.8312
0.949834 35.097 -96.7810
0.956717 35.047 -97.7342
0.963649 34.995 -98.6896
0.970632 34.942 -99.6461
0.977666 34.887 -100.6023
0.984750 34.831 -101.5571
0.991886 34.772 -102.5090
0.999074 34.711 -103.4566
1.006314 34.648 -104.3986
1.013606 34.583 -105.3333
1.020951 34.515 -106.2594
1.028349 34.444 -107.1753
1.035801 34.371 -108.0794
1.043307 34.295 -108.9703
1.050867 34.217 -109.8465
1.058482 34.135 -110.7068
1.066152 34.049 -111.5502
1.073878 33.960 -112.3765
1.081660 33.867 -113.1861
1.089498 33.769 -113.9810
1.097393 33.666 -114.7645
1.105345 33.557 -115.5414
1.113355 33.441 -116.3170
1.121423 33.318 -117.0964
1.129549 33.188 -117.8835
1.137734 33.050 -118.6815
1.145979 32.904 -119.4925
1.154283 32.750 -120.3181
1.162647 32.590 -121.1593
1.171072 32.422 -122.0172
1.179558 32.248 -122.8923
1.188106 32.068 -123.7853
1.196715 31.882 -124.6965
1.205387 31.690 -125.6263
1.214122 31.494 -126.5750
1.222920 31.294 -127.5426
1.231782 31.090 -128.5292
1.240708 30.883 -129.5345
1.249699 30.673 -130.5583
1.258754 30.461 -131.5999
1.267876 30.249 -132.6586
1.277063 30.035 -133.7334
1.286318 29.822 -134.8228
1.295639 29.609 -135.9251
1.305027 29.398 -137.0383
1.314484 29.190 -138.1598
1.324009 28.985 -139.2864
1.333604 28.784 -140.4145
1.343268 28.589 -141.5398
1.353002 28.400 -142.6570
1.362806 28.218 -143.7602
1.372681 28.045 -144.8424
1.382628 27.881 -145.8955
1.392647 27.727 -146.9104
1.402739 27.586 -147.8766
1.412904 27.457 -148.7830
1.423142 27.343 -149.6179
1.433455 27.244 -150.3703
1.443843 27.160 -151.0309
1.454305 27.093 -151.5948
1.464844 27.041 -152.0626
1.475459 27.004 -152.4399
1.486150 26.982 -152.7338
1.496920 26.974 -152.9472
1.507767 26.978 -153.0745
1.518693 26.995 -153.0980
1.529698 27.024 -152.9836
1.540783 27.065 -152.6726
1.551948 27.118 -152.0661
1.563194 27.182 -150.9908
1.574521 27.259 -149.1206
1.585931 27.347 -145.7757
1.597423 27.447 -139.3181
1.608999 27.558 -125.0634
1.620658 27.681 -90.7024
1.632402 27.816 -44.7797
1.644232 27.962 -21.9279
1.656146 28.120 -12.4612
1.668147 28.289 -8.0118
1.680235 28.470 -5.7798
1.692411 28.661 -4.7042
1.704675 28.864 -4.3099
1.717028 29.078 -4.3557
1.729470 29.303 -4.7063
1.742003 29.538 -5.2794
1.754626 29.785 -6.0217
1.767341 30.043 -6.8955
1.780147 30.313 -7.8719
1.793047 30.596 -8.9259
1.806040 30.893 -10.0334
1.819128 31.205 -11.1697
1.832310 31.536 -12.3095
1.845587 31.887 -13.4292
1.858961 32.261 -14.5109
1.872432 32.658 -15.5453
1.886001 33.079 -16.5302
1.899667 33.522 -17.4689
1.913433 33.986 -18.3677
1.927299 34.470 -19.2340
1.941265 34.971 -20.0755
1.955332 35.487 -20.8995
1.969501 36.017 -21.7126
1.983773 36.557 -22.5207
1.998148 37.105 -23.3291
2.012627 37.659 -24.1423
2.027212 38.217 -24.9645
2.041902 38.774 -25.7991
2.056698 39.330 -26.6493
2.071602 39.881 -27.5179
2.086614 40.424 -28.4070
2.101734 40.957 -29.3185
2.116964 41.478 -30.2536
2.132304 41.984 -31.2126
2.147756 42.473 -32.1946
2.163320 42.944 -33.1972
2.178996 43.397 -34.2160
2.194786 43.832 -35.2444
2.210690 44.251 -36.2746
2.226710 44.654 -37.2988
2.242845 45.044 -38.3112
2.259098 45.422 -39.3084
2.275468 45.788 -40.2894
2.291957 46.145 -41.2545
2.308566 46.492 -42.2056
2.325295 46.830 -43.1448
2.342145 47.161 -44.0747
2.359117 47.484 -44.9980
2.376212 47.802 -45.9175
2.393431 48.114 -46.8358
2.410775 48.422 -47.7555
2.428244 48.727 -48.6790
2.445840 49.029 -49.6087
2.463564 49.329 -50.5464
2.481416 49.628 -51.4938
2.499397 49.927 -52.4519
2.517509 50.226 -53.4210
2.535752 50.526 -54.4004
2.554127 50.825 -55.3880
2.572635 51.124 -56.3804
2.591277 51.421 -57.3739
2.610055 51.715 -58.3649
2.628968 52.007 -59.3509
2.648019 52.295 -60.3305
2.667208 52.579 -61.3032
2.686535 52.861 -62.2691
2.706003 53.139 -63.2292
2.725612 53.414 -64.1844
2.745363 53.686 -65.1361
2.765257 53.956 -66.0857
2.785295 54.224 -67.0347
2.805478 54.490 -67.9847
2.825808 54.755 -68.9371
2.846285 55.018 -69.8931
2.866910 55.279 -70.8539
2.887685 55.540 -71.8199
2.908611 55.800 -72.7910
2.929688 56.058 -73.7664
2.950917 56.314 -74.7445
2.972301 56.568 -75.7236
2.993839 56.820 -76.7018
3.015534 57.070 -77.6780
3.037386 57.318 -78.6514
3.059396 57.563 -79.6216
3.081565 57.806 -80.5888
3.103896 58.046 -81.5532
3.126388 58.285 -82.5154
3.149043 58.523 -83.4761
3.171862 58.758 -84.4362
3.194847 58.992 -85.3966
3.217998 59.225 -86.3581
3.241317 59.457 -87.3216
3.264805 59.687 -88.2874
3.288463 59.916 -89.2560
3.312293 60.143 -90.2269
3.336295 60.369 -91.1996
3.360471 60.593 -92.1731
3.384822 60.815 -93.1467
3.409350 61.035 -94.1194
3.434056 61.253 -95.0907
3.458940 61.469 -96.0601
3.484005 61.683 -97.0276
3.509252 61.896 -97.9930
3.534681 62.108 -98.9565
3.560295 62.318 -99.9186
3.586094 62.527 -100.8796
3.612081 62.734 -101.8400
3.638255 62.941 -102.8005
3.664620 63.146 -103.7614
3.691175 63.349 -104.7230
3.717923 63.551 -105.6852
3.744864 63.751 -106.6476
3.772001 63.949 -107.6097
3.799335 64.146 -108.5710
3.826866 64.341 -109.5308
3.854597 64.535 -110.4887
3.882529 64.727 -111.4444
3.910664 64.918 -112.3978
3.939002 65.108 -113.3488
3.967546 65.296 -114.2978
3.996296 65.484 -115.2450
4.025255 65.670 -116.1911
4.054423 65.855 -117.1365
4.083804 66.038 -118.0814
4.113396 66.220 -119.0259
4.143204 66.400 -119.9696
4.173227 66.579 -120.9122
4.203468 66.757 -121.8531
4.233928 66.933 -122.7919
4.264609 67.109 -123.7282
4.295512 67.283 -124.6618
4.326639 67.456 -125.5926
4.357992 67.628 -126.5209
4.389572 67.799 -127.4471
4.421380 67.968 -128.3715
4.453419 68.137 -129.2946
4.485691 68.304 -130.2166
4.518196 68.470 -131.1372
4.550936 68.635 -132.0563
4.583914 68.799 -132.9736
4.617131 68.962 -133.8886
4.650589 69.124 -134.8012
4.684289 69.285 -135.7112
4.718233 69.445 -136.6187
4.752424 69.604 -137.5239
4.786862 69.762 -138.4272
4.821549 69.919 -139.3290
4.856488 70.075 -140.2293
4.891680 70.230 -141.1283
4.927127 70.385 -142.0259
4.962831 70.538 -142.9217
4.998794 70.690 -143.8158
5.035017 70.842 -144.7080
5.071503 70.993 -145.5983
5.108253 71.143 -146.4869
5.145270 71.293 -147.3740
5.182555 71.441 -148.2600
5.220110 71.589 -149.1450
5.257937 71.736 -150.0291
5.296038 71.882 -150.9122
5.334415 72.027 -151.7944
5.373071 72.172 -152.6756
5.412006 72.316 -153.5557
5.451224 72.459 -154.4349
5.490725 72.601 -155.3135
5.530514 72.743 -156.1916
5.570590 72.884 -157.0695
5.610957 73.024 -157.9472
5.651616 73.163 -158.8248
5.692570 73.302 -159.7021
5.733821 73.440 -160.5793
5.775370 73.577 -161.4563
5.817221 73.714 -162.3333
5.859375 73.849 -163.2104
5.901834 73.984 -164.0879
5.944602 74.119 -164.9659
5.987679 74.252 -165.8445
6.031068 74.385 -166.7236
6.074771 74.516 -167.6032
