* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 12, 2023 1:50:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing3 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 56.331 -32.4609
0.732422 55.009 -60.4940
1.098633 51.264 -103.6674
1.464844 46.665 -114.3523
1.831055 41.270 -65.7174
2.197266 45.046 -19.9208
2.563477 50.498 -22.6328
2.929688 53.312 5.5425
3.295899 55.580 48.8529
3.662110 57.856 62.8575
4.028321 60.292 66.0782
4.394532 62.810 65.7282
4.760743 65.214 63.0619
5.126954 67.428 60.1068
5.493164 69.447 57.0992
5.859375 71.323 54.4486
6.225586 73.083 52.1265
6.591797 74.740 49.8324
6.958008 76.278 47.6254
7.324219 77.693 45.4713
7.690430 78.995 43.4719
8.056641 80.205 41.7525
8.422852 81.348 40.1786
8.789063 82.424 38.6785
9.155274 83.441 37.2058
9.521485 84.379 35.7413
9.887696 85.247 34.3520
10.253907 86.080 33.1136
10.620118 86.756 32.0564
10.986329 87.137 31.1045
11.352540 87.300 30.1627
11.718751 87.400 29.1983
12.084962 87.494 28.2135
12.451173 87.575 27.2428
12.817384 87.643 26.3461
13.183595 87.707 25.5303
13.549806 87.775 24.7619
13.916017 87.846 23.9840
14.282228 87.916 23.1397
14.648439 87.971 22.2389
15.014650 88.001 21.3365
15.380861 88.011 20.5117
15.747072 88.005 19.8624
16.113283 88.003 19.4125
16.479493 88.022 19.0796
16.845704 88.064 18.7349
17.211915 88.118 18.2711
17.578126 88.163 17.6774
17.944337 88.185 17.0505
18.310548 88.190 16.5221
18.676759 88.197 16.1607
19.042970 88.227 15.8965
19.409181 88.287 15.5538
19.775392 88.359 14.9867
20.141603 88.412 14.1898
20.507814 88.426 13.3147
20.874025 88.405 12.5762
21.240236 88.377 12.0976
21.606447 88.377 11.8118
21.972658 88.417 11.4950
22.338869 88.481 10.9250
22.705080 88.530 10.0468
23.071291 88.530 9.0147
23.437502 88.476 8.0972
23.803713 88.391 7.5189
24.169924 88.314 7.3265
24.536135 88.280 7.3717
24.902346 88.293 7.4197
25.268557 88.337 7.2991
25.634768 88.384 6.9815
26.000979 88.417 6.5476
26.367190 88.437 6.0915
26.733401 88.450 5.6509
27.099612 88.460 5.2038
27.465823 88.463 4.7221
27.832033 88.451 4.2271
28.198244 88.421 3.7936
28.564455 88.380 3.4999
28.930666 88.347 3.3641
29.296877 88.334 3.3177
29.663088 88.347 3.2403
30.029299 88.374 3.0282
30.395510 88.400 2.6526
30.761721 88.408 2.1673
31.127932 88.395 1.6684
31.494143 88.366 1.2376
31.860354 88.330 0.9080
32.226565 88.298 0.6648
32.592776 88.274 0.4727
32.958987 88.257 0.3041
33.325198 88.247 0.1488
33.691409 88.245 0.0012
34.057620 88.253 -0.1588
34.423831 88.271 -0.3711
34.790042 88.294 -0.6782
35.156253 88.313 -1.0973
35.522464 88.317 -1.6006
35.888675 88.300 -2.1183
36.254886 88.262 -2.5657
36.621097 88.214 -2.8802
36.987308 88.167 -3.0492
37.353519 88.134 -3.1133
37.719730 88.118 -3.1450
38.085941 88.119 -3.2151
38.452152 88.127 -3.3654
38.818363 88.134 -3.5985
39.184573 88.134 -3.8868
39.550784 88.125 -4.1909
39.916995 88.109 -4.4768
40.283206 88.090 -4.7267
40.649417 88.071 -4.9404
41.015628 88.055 -5.1314
41.381839 88.044 -5.3197
41.748050 88.037 -5.5236
42.114261 88.031 -5.7541
42.480472 88.024 -6.0120
42.846683 88.013 -6.2881
43.212894 87.996 -6.5668
43.579105 87.975 -6.8308
43.945316 87.949 -7.0656
44.311527 87.921 -7.2619
44.677738 87.894 -7.4173
45.043949 87.869 -7.5371
45.410160 87.848 -7.6332
45.776371 87.832 -7.7222
46.142582 87.821 -7.8212
46.508793 87.813 -7.9429
46.875004 87.805 -8.0922
47.241215 87.795 -8.2658
47.607426 87.782 -8.4549
47.973637 87.767 -8.6490
48.339848 87.748 -8.8403
48.706059 87.728 -9.0245
49.072270 87.707 -9.2005
49.438481 87.686 -9.3692
49.804692 87.665 -9.5317
50.170902 87.645 -9.6896
50.537113 87.626 -9.8451
50.903324 87.608 -10.0010
51.269535 87.592 -10.1608
51.635746 87.576 -10.3269
52.001957 87.561 -10.4997
52.368168 87.546 -10.6764
52.734379 87.530 -10.8516
53.100590 87.515 -11.0193
53.466801 87.499 -11.1760
53.833012 87.486 -11.3234
54.199223 87.474 -11.4684
54.565434 87.465 -11.6196
54.931645 87.456 -11.7824
55.297856 87.446 -11.9547
55.664067 87.434 -12.1268
56.030278 87.420 -12.2864
56.396489 87.405 -12.4253
56.762700 87.390 -12.5442
57.128911 87.378 -12.6515
57.495122 87.367 -12.7573
57.861333 87.356 -12.8670
58.227544 87.344 -12.9780
58.593755 87.331 -13.0821
58.959966 87.316 -13.1727
59.326177 87.301 -13.2485
59.692388 87.287 -13.3141
60.058599 87.273 -13.3756
60.424810 87.259 -13.4365
60.791021 87.245 -13.4974
61.157232 87.231 -13.5591
61.523442 87.218 -13.6254
61.889653 87.204 -13.7021
62.255864 87.188 -13.7913
62.622075 87.171 -13.8872
62.988286 87.151 -13.9776
63.354497 87.131 -14.0530
63.720708 87.114 -14.1171
64.086919 87.102 -14.1901
64.453130 87.096 -14.3007
64.819341 87.092 -14.4697
65.185552 87.084 -14.6970
65.551763 87.069 -14.9606
65.917974 87.045 -15.2269
66.284185 87.014 -15.4662
66.650396 86.978 -15.6599
67.016607 86.939 -15.7981
67.382818 86.900 -15.8717
67.749029 86.864 -15.8693
68.115240 86.835 -15.7856
68.481451 86.820 -15.6350
68.847662 86.822 -15.4583
69.213873 86.841 -15.3136
69.580084 86.873 -15.2533
69.946295 86.906 -15.3001
70.312506 86.933 -15.4370
70.678717 86.948 -15.6186
71.044928 86.950 -15.7951
71.411139 86.944 -15.9355
71.777350 86.935 -16.0358
72.143561 86.926 -16.1116
72.509771 86.917 -16.1823
72.875982 86.906 -16.2594
73.242193 86.894 -16.3432
73.608404 86.878 -16.4285
73.974615 86.860 -16.5108
74.340826 86.841 -16.5896
74.707037 86.820 -16.6660
75.073248 86.800 -16.7418
75.439459 86.780 -16.8198
75.805670 86.761 -16.9057
76.171881 86.743 -17.0080
76.538092 86.724 -17.1320
76.904303 86.702 -17.2722
77.270514 86.674 -17.4073
77.636725 86.640 -17.5055
78.002936 86.605 -17.5387
78.369147 86.574 -17.4992
78.735358 86.555 -17.4078
79.101569 86.549 -17.3078
79.467780 86.556 -17.2475
79.833991 86.569 -17.2591
80.200202 86.583 -17.3469
80.566413 86.590 -17.4884
80.932624 86.590 -17.6486
81.298835 86.582 -17.7954
81.665046 86.571 -17.9118
82.031257 86.559 -17.9973
82.397468 86.549 -18.0622
82.763679 86.541 -18.1192
83.129890 86.534 -18.1770
83.496101 86.528 -18.2372
83.862311 86.521 -18.2968
84.228522 86.514 -18.3506
84.594733 86.506 -18.3947
84.960944 86.498 -18.4274
85.327155 86.491 -18.4495
85.693366 86.485 -18.4638
86.059577 86.480 -18.4741
86.425788 86.476 -18.4838
86.791999 86.472 -18.4959
87.158210 86.467 -18.5118
87.524421 86.460 -18.5322
87.890632 86.452 -18.5567
88.256843 86.441 -18.5851
88.623054 86.427 -18.6180
88.989265 86.410 -18.6562
89.355476 86.389 -18.6992
89.721687 86.362 -18.7423
90.087898 86.330 -18.7758
90.454109 86.293 -18.7860
90.820320 86.252 -18.7602
91.186531 86.211 -18.6934
91.552742 86.173 -18.5919
91.918953 86.142 -18.4727
92.285164 86.117 -18.3565
92.651375 86.099 -18.2598
93.017586 86.086 -18.1895
93.383797 86.077 -18.1433
93.750008 86.071 -18.1162
94.116219 86.069 -18.1074
94.482430 86.072 -18.1232
94.848641 86.078 -18.1736
95.214851 86.086 -18.2654
95.581062 86.092 -18.3955
95.947273 86.093 -18.5495
96.313484 86.089 -18.7064
96.679695 86.079 -18.8457
97.045906 86.065 -18.9539
97.412117 86.049 -19.0269
97.778328 86.032 -19.0674
98.144539 86.015 -19.0812
98.510750 85.998 -19.0733
98.876961 85.980 -19.0474
99.243172 85.963 -19.0063
99.609383 85.945 -18.9535
99.975594 85.928 -18.8935
100.341805 85.912 -18.8314
100.708016 85.895 -18.7709
101.074227 85.878 -18.7142
101.440438 85.862 -18.6616
101.806649 85.846 -18.6130
102.172860 85.831 -18.5698
102.539071 85.818 -18.5354
102.905282 85.807 -18.5152
103.271493 85.798 -18.5144
103.637704 85.790 -18.5360
104.003915 85.782 -18.5788
104.370126 85.773 -18.6371
104.736337 85.761 -18.7017
105.102548 85.748 -18.7625
105.468759 85.734 -18.8112
105.834970 85.720 -18.8434
106.201180 85.706 -18.8587
106.567391 85.693 -18.8599
106.933602 85.682 -18.8509
107.299813 85.671 -18.8349
107.666024 85.660 -18.8133
108.032235 85.649 -18.7854
108.398446 85.638 -18.7497
108.764657 85.626 -18.7053
109.130868 85.614 -18.6523
109.497079 85.602 -18.5924
109.863290 85.590 -18.5286
110.229501 85.579 -18.4643
110.595712 85.568 -18.4028
110.961923 85.558 -18.3468
111.328134 85.549 -18.2989
111.694345 85.539 -18.2613
112.060556 85.531 -18.2360
112.426767 85.522 -18.2245
112.792978 85.513 -18.2267
113.159189 85.503 -18.2406
113.525400 85.492 -18.2626
113.891611 85.479 -18.2880
114.257822 85.466 -18.3119
114.624033 85.453 -18.3303
114.990244 85.440 -18.3409
115.356455 85.427 -18.3435
115.722666 85.416 -18.3395
116.088877 85.407 -18.3317
116.455088 85.400 -18.3237
116.821299 85.394 -18.3188
117.187510 85.389 -18.3198
117.553720 85.385 -18.3282
117.919931 85.381 -18.3438
118.286142 85.376 -18.3648
118.652353 85.370 -18.3883
119.018564 85.362 -18.4106
119.384775 85.353 -18.4282
119.750986 85.344 -18.4385
120.117197 85.333 -18.4400
120.483408 85.322 -18.4326
120.849619 85.311 -18.4175
121.215830 85.300 -18.3964
121.582041 85.290 -18.3713
121.948252 85.279 -18.3437
122.314463 85.269 -18.3145
122.680674 85.258 -18.2834
123.046885 85.246 -18.2500
123.413096 85.234 -18.2135
123.779307 85.221 -18.1730
124.145518 85.208 -18.1287
124.511729 85.196 -18.0808
124.877940 85.183 -18.0306
125.244151 85.170 -17.9796
125.610362 85.158 -17.9294
125.976573 85.146 -17.8816
126.342784 85.134 -17.8372
126.708995 85.123 -17.7971
127.075206 85.112 -17.7616
127.441417 85.101 -17.7311
127.807628 85.090 -17.7057
128.173839 85.079 -17.6853
128.540049 85.069 -17.6695
128.906260 85.059 -17.6576
129.272471 85.048 -17.6484
129.638682 85.038 -17.6405
130.004893 85.028 -17.6325
130.371104 85.017 -17.6230
130.737315 85.006 -17.6110
131.103526 84.996 -17.5953
131.469737 84.985 -17.5749
131.835948 84.975 -17.5489
132.202159 84.965 -17.5171
132.568370 84.955 -17.4796
132.934581 84.946 -17.4378
133.300792 84.937 -17.3934
133.667003 84.929 -17.3490
134.033214 84.921 -17.3068
134.399425 84.914 -17.2686
134.765636 84.907 -17.2354
135.131847 84.899 -17.2073
135.498058 84.891 -17.1836
135.864269 84.882 -17.1635
136.230480 84.873 -17.1456
136.596691 84.863 -17.1287
136.962902 84.854 -17.1120
137.329113 84.844 -17.0946
137.695324 84.834 -17.0760
138.061535 84.825 -17.0558
138.427746 84.816 -17.0339
138.793957 84.809 -17.0103
139.160168 84.802 -16.9850
139.526379 84.796 -16.9581
139.892589 84.791 -16.9298
140.258800 84.786 -16.9003
140.625011 84.783 -16.8699
140.991222 84.779 -16.8391
141.357433 84.777 -16.8085
141.723644 84.774 -16.7788
142.089855 84.771 -16.7504
142.456066 84.768 -16.7235
142.822277 84.763 -16.6978
143.188488 84.758 -16.6723
143.554699 84.751 -16.6456
143.920910 84.742 -16.6158
144.287121 84.732 -16.5813
144.653332 84.720 -16.5406
