* Measurement data measured by REW V5.30.4
* Source: EXCL: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), 0, volume: 0.360
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 19, 24 2:46:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing 3 S2 L
* Smoothing: 1/3 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.839 14.7546
20.287556 89.837 14.6543
20.434568 89.835 14.5343
20.582645 89.832 14.3955
20.731796 89.828 14.2390
20.882027 89.825 14.0658
21.033346 89.821 13.8770
21.185762 89.817 13.6740
21.339283 89.812 13.4577
21.493916 89.808 13.2294
21.649670 89.803 12.9901
21.806553 89.797 12.7409
21.964573 89.792 12.4829
22.123737 89.787 12.2170
22.284056 89.781 11.9441
22.445536 89.775 11.6649
22.608185 89.769 11.3804
22.772013 89.763 11.0912
22.937029 89.757 10.7981
23.103241 89.751 10.5016
23.270657 89.745 10.2024
23.439285 89.738 9.9010
23.609137 89.731 9.5980
23.780218 89.725 9.2937
23.952539 89.718 8.9887
24.126110 89.711 8.6832
24.300938 89.703 8.3775
24.477032 89.696 8.0721
24.654402 89.688 7.7670
24.833057 89.680 7.4624
25.013008 89.672 7.1585
25.194263 89.664 6.8555
25.376831 89.656 6.5533
25.560722 89.647 6.2521
25.745945 89.638 5.9519
25.932510 89.629 5.6528
26.120428 89.620 5.3547
26.309708 89.610 5.0577
26.500359 89.601 4.7619
26.692390 89.591 4.4672
26.885815 89.580 4.1737
27.080641 89.570 3.8814
27.276878 89.559 3.5903
27.474539 89.548 3.3004
27.673630 89.536 3.0118
27.874165 89.525 2.7244
28.076153 89.513 2.4383
28.279604 89.501 2.1535
28.484529 89.488 1.8699
28.690941 89.476 1.5877
28.898848 89.463 1.3067
29.108261 89.450 1.0271
29.319191 89.437 0.7488
29.531651 89.424 0.4718
29.745649 89.411 0.1961
29.961199 89.397 -0.0783
30.178310 89.383 -0.3514
30.396996 89.369 -0.6231
30.617264 89.355 -0.8936
30.839128 89.341 -1.1627
31.062601 89.327 -1.4306
31.287693 89.312 -1.6971
31.514416 89.297 -1.9623
31.742783 89.282 -2.2264
31.972803 89.267 -2.4891
32.204491 89.252 -2.7508
32.437859 89.237 -3.0113
32.672916 89.221 -3.2707
32.909679 89.205 -3.5291
33.148155 89.190 -3.7866
33.388359 89.174 -4.0431
33.630306 89.158 -4.2987
33.874004 89.142 -4.5533
34.119469 89.126 -4.8070
34.366711 89.110 -5.0596
34.615746 89.093 -5.3112
34.866585 89.077 -5.5616
35.119244 89.060 -5.8108
35.373734 89.044 -6.0588
35.630066 89.027 -6.3054
35.888256 89.010 -6.5509
36.148315 88.993 -6.7950
36.410259 88.975 -7.0380
36.674103 88.958 -7.2800
36.939857 88.940 -7.5209
37.207539 88.922 -7.7610
37.477161 88.904 -8.0002
37.748737 88.886 -8.2387
38.022282 88.868 -8.4765
38.297806 88.850 -8.7136
38.575329 88.831 -8.9501
38.854862 88.812 -9.1858
39.136421 88.794 -9.4207
39.420021 88.775 -9.6549
39.705673 88.756 -9.8883
39.993397 88.736 -10.1209
40.283207 88.717 -10.3526
40.575115 88.697 -10.5836
40.869141 88.678 -10.8138
41.165295 88.658 -11.0433
41.463596 88.638 -11.2721
41.764057 88.617 -11.5003
42.066696 88.597 -11.7279
42.371529 88.576 -11.9549
42.678570 88.555 -12.1813
42.987835 88.534 -12.4072
43.299343 88.513 -12.6324
43.613110 88.491 -12.8570
43.929150 88.469 -13.0809
44.247478 88.446 -13.3042
44.568115 88.424 -13.5267
44.891075 88.401 -13.7484
45.216373 88.377 -13.9694
45.544029 88.354 -14.1897
45.874062 88.330 -14.4092
46.206486 88.305 -14.6280
46.541317 88.280 -14.8460
46.878574 88.255 -15.0634
47.218277 88.230 -15.2801
47.560440 88.204 -15.4959
47.905083 88.179 -15.7109
48.252224 88.152 -15.9248
48.601879 88.126 -16.1377
48.954067 88.099 -16.3492
49.308807 88.073 -16.5593
49.666119 88.046 -16.7678
50.026020 88.019 -16.9746
50.388531 87.992 -17.1796
50.753666 87.965 -17.3825
51.121449 87.937 -17.5832
51.491894 87.910 -17.7818
51.865025 87.883 -17.9780
52.240860 87.855 -18.1717
52.619419 87.828 -18.3630
53.000721 87.800 -18.5517
53.384785 87.772 -18.7379
53.771633 87.744 -18.9214
54.161285 87.716 -19.1025
54.553761 87.687 -19.2811
54.949081 87.659 -19.4575
55.347263 87.630 -19.6318
55.748333 87.601 -19.8042
56.152309 87.572 -19.9751
56.559212 87.543 -20.1445
56.969063 87.514 -20.3128
57.381886 87.485 -20.4802
57.797699 87.456 -20.6468
58.216526 87.426 -20.8129
58.638386 87.397 -20.9785
59.063305 87.367 -21.1438
59.491302 87.337 -21.3087
59.922401 87.307 -21.4733
60.356625 87.277 -21.6376
60.793995 87.246 -21.8015
61.234531 87.216 -21.9649
61.678261 87.185 -22.1277
62.125206 87.153 -22.2900
62.575390 87.122 -22.4515
63.028835 87.090 -22.6123
63.485569 87.058 -22.7721
63.945610 87.026 -22.9311
64.408989 86.993 -23.0889
64.875725 86.961 -23.2456
65.345840 86.928 -23.4010
65.819366 86.894 -23.5550
66.296318 86.861 -23.7074
66.776726 86.827 -23.8583
67.260620 86.793 -24.0074
67.748016 86.759 -24.1546
68.238945 86.725 -24.2999
68.733429 86.690 -24.4432
69.231499 86.656 -24.5845
69.733177 86.621 -24.7237
70.238495 86.586 -24.8608
70.747475 86.550 -24.9959
71.260139 86.515 -25.1290
71.776520 86.479 -25.2601
72.296638 86.444 -25.3891
72.820526 86.408 -25.5163
73.348213 86.372 -25.6415
73.879723 86.335 -25.7648
74.415085 86.299 -25.8862
74.954330 86.263 -26.0058
75.497482 86.226 -26.1237
76.044571 86.189 -26.2397
76.595619 86.152 -26.3539
77.150665 86.115 -26.4662
77.709732 86.078 -26.5767
78.272850 86.040 -26.6854
78.840050 86.003 -26.7920
79.411354 85.965 -26.8968
79.986801 85.927 -26.9995
80.566422 85.889 -27.1002
81.150238 85.851 -27.1988
81.738289 85.812 -27.2953
82.330597 85.774 -27.3897
82.927200 85.735 -27.4821
83.528122 85.696 -27.5724
84.133400 85.657 -27.6607
84.743065 85.617 -27.7469
85.357147 85.578 -27.8310
85.975677 85.538 -27.9132
86.598694 85.498 -27.9934
87.226227 85.458 -28.0715
87.858307 85.418 -28.1475
88.494965 85.378 -28.2214
89.136238 85.338 -28.2931
89.782158 85.298 -28.3626
90.432755 85.257 -28.4298
91.088066 85.217 -28.4947
91.748131 85.176 -28.5572
92.412979 85.135 -28.6172
93.082642 85.095 -28.6748
93.757156 85.054 -28.7298
94.436562 85.013 -28.7823
95.120888 84.972 -28.8322
95.810173 84.931 -28.8795
96.504456 84.890 -28.9242
97.203766 84.849 -28.9663
97.908142 84.808 -29.0057
98.617622 84.766 -29.0424
99.332245 84.725 -29.0765
100.052048 84.684 -29.1080
100.777069 84.643 -29.1367
101.507339 84.602 -29.1628
102.242905 84.560 -29.1862
102.983795 84.519 -29.2069
103.730057 84.478 -29.2248
104.481728 84.436 -29.2401
105.238846 84.395 -29.2526
106.001450 84.353 -29.2624
106.769577 84.312 -29.2694
107.543274 84.270 -29.2735
108.322578 84.229 -29.2748
109.107529 84.187 -29.2732
109.898170 84.146 -29.2688
110.694534 84.104 -29.2615
111.496674 84.062 -29.2514
112.304626 84.021 -29.2386
113.118431 83.979 -29.2230
113.938133 83.937 -29.2049
114.763779 83.896 -29.1843
115.595406 83.854 -29.1613
116.433060 83.812 -29.1360
117.276779 83.771 -29.1085
118.126617 83.729 -29.0789
118.982613 83.688 -29.0472
119.844810 83.646 -29.0136
120.713257 83.605 -28.9780
121.587997 83.564 -28.9405
122.469070 83.523 -28.9010
123.356529 83.482 -28.8594
124.250420 83.442 -28.8158
125.150787 83.401 -28.7699
126.057678 83.361 -28.7218
126.971146 83.321 -28.6714
127.891228 83.281 -28.6185
128.817978 83.241 -28.5632
129.751450 83.201 -28.5054
130.691681 83.162 -28.4451
131.638733 83.122 -28.3823
132.592636 83.083 -28.3169
133.553452 83.044 -28.2489
134.521240 83.005 -28.1784
135.496033 82.966 -28.1053
136.477890 82.928 -28.0297
137.466858 82.890 -27.9516
138.462997 82.851 -27.8709
139.466354 82.814 -27.7877
140.476990 82.776 -27.7019
141.494949 82.738 -27.6137
142.520279 82.701 -27.5230
143.553040 82.664 -27.4299
144.593277 82.627 -27.3343
145.641052 82.590 -27.2364
146.696426 82.554 -27.1362
147.759445 82.518 -27.0336
148.830170 82.482 -26.9288
149.908661 82.446 -26.8218
150.994965 82.411 -26.7125
152.089142 82.376 -26.6011
153.191238 82.341 -26.4876
154.301331 82.306 -26.3719
155.419464 82.272 -26.2542
156.545700 82.238 -26.1344
157.680099 82.204 -26.0126
158.822708 82.171 -25.8887
159.973602 82.137 -25.7629
161.132843 82.105 -25.6351
162.300476 82.072 -25.5053
163.476578 82.040 -25.3736
164.661194 82.008 -25.2400
165.854401 81.976 -25.1045
167.056244 81.945 -24.9672
168.266800 81.914 -24.8281
169.486130 81.883 -24.6873
170.714294 81.852 -24.5447
171.951355 81.822 -24.4005
173.197388 81.793 -24.2547
174.452454 81.763 -24.1073
175.716614 81.734 -23.9585
176.989929 81.705 -23.8082
178.272476 81.677 -23.6566
179.564316 81.649 -23.5036
180.865509 81.621 -23.3494
182.176132 81.593 -23.1940
183.496262 81.566 -23.0375
184.825958 81.539 -22.8798
186.165283 81.513 -22.7210
187.514313 81.486 -22.5613
188.873123 81.460 -22.4005
190.241776 81.434 -22.2386
191.620346 81.409 -22.0757
193.008911 81.384 -21.9118
194.407532 81.359 -21.7468
195.816284 81.334 -21.5806
197.235245 81.309 -21.4131
198.664490 81.285 -21.2444
200.104095 81.261 -21.0741
201.554138 81.237 -20.9022
203.014679 81.213 -20.7285
204.485809 81.190 -20.5529
205.967590 81.167 -20.3751
207.460114 81.144 -20.1949
208.963455 81.121 -20.0121
210.477692 81.099 -19.8265
212.002899 81.077 -19.6378
213.539154 81.055 -19.4457
215.086548 81.034 -19.2501
216.645157 81.013 -19.0508
218.215057 80.993 -18.8474
219.796341 80.973 -18.6398
221.389069 80.954 -18.4279
222.993347 80.935 -18.2117
224.609253 80.917 -17.9910
226.236862 80.900 -17.7661
227.876266 80.884 -17.5371
229.527557 80.869 -17.3044
231.190811 80.855 -17.0682
232.866119 80.842 -16.8292
234.553558 80.831 -16.5882
236.253235 80.821 -16.3458
237.965225 80.813 -16.1033
239.689621 80.806 -15.8617
241.426514 80.801 -15.6222
243.175995 80.797 -15.3864
244.938141 80.795 -15.1554
246.713058 80.794 -14.9309
248.500839 80.795 -14.7140
250.301575 80.797 -14.5060
252.115356 80.800 -14.3080
253.942291 80.804 -14.1207
255.782455 80.808 -13.9446
257.635956 80.813 -13.7799
259.502899 80.818 -13.6266
261.383362 80.823 -13.4843
263.277466 80.828 -13.3522
265.185272 80.832 -13.2297
267.106903 80.835 -13.1156
269.042480 80.838 -13.0090
270.992065 80.840 -12.9086
272.955780 80.842 -12.8135
274.933716 80.842 -12.7224
276.925995 80.842 -12.6343
278.932709 80.841 -12.5484
280.953979 80.839 -12.4638
282.989899 80.836 -12.3797
285.040558 80.833 -12.2956
287.106079 80.829 -12.2110
289.186554 80.825 -12.1253
291.282104 80.820 -12.0384
293.392853 80.814 -11.9500
295.518890 80.809 -11.8598
297.660339 80.803 -11.7680
299.817322 80.797 -11.6742
301.989929 80.791 -11.5787
304.178284 80.785 -11.4814
306.382477 80.779 -11.3824
308.602661 80.773 -11.2817
310.838928 80.767 -11.1796
313.091400 80.762 -11.0760
315.360199 80.756 -10.9712
317.645416 80.750 -10.8652
319.947205 80.745 -10.7583
322.265686 80.740 -10.6504
324.600952 80.735 -10.5419
326.953156 80.730 -10.4328
329.322388 80.725 -10.3232
331.708801 80.720 -10.2132
334.112488 80.716 -10.1030
336.533600 80.712 -9.9927
338.972260 80.708 -9.8824
341.428589 80.704 -9.7722
