* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 13, 2023 1:08:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu II L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 96.396 -179.2053
20.507813 96.372 -179.1857
20.874023 96.323 -179.2699
21.240234 96.311 -179.7647
21.606445 96.326 179.2937
21.972656 96.336 178.1415
22.338867 96.331 177.1290
22.705078 96.318 176.5417
23.071289 96.313 176.4553
23.437500 96.327 176.7181
23.803711 96.356 177.0681
24.169922 96.381 177.2836
24.536133 96.387 177.2655
24.902344 96.373 177.0248
25.268555 96.349 176.6223
25.634766 96.326 176.1196
26.000977 96.312 175.5699
26.367188 96.301 175.0328
26.733399 96.288 174.5777
27.099610 96.266 174.2574
27.465821 96.240 174.0734
27.832032 96.216 173.9646
28.198243 96.200 173.8318
28.564454 96.192 173.5888
28.930665 96.187 173.2071
29.296876 96.182 172.7263
29.663087 96.173 172.2273
30.029298 96.161 171.7883
30.395509 96.147 171.4534
30.761720 96.133 171.2219
31.127931 96.118 171.0591
31.494142 96.102 170.9167
31.860353 96.085 170.7516
32.226563 96.068 170.5378
32.592774 96.051 170.2708
32.958985 96.035 169.9646
33.325196 96.020 169.6456
33.691407 96.007 169.3408
34.057618 95.993 169.0671
34.423829 95.978 168.8275
34.790040 95.960 168.6133
35.156251 95.939 168.4108
35.522462 95.916 168.2077
35.888673 95.892 167.9961
36.254884 95.870 167.7739
36.621095 95.850 167.5440
36.987306 95.833 167.3123
37.353517 95.818 167.0867
37.719728 95.803 166.8736
38.085939 95.788 166.6753
38.452150 95.770 166.4888
38.818361 95.750 166.3067
39.184572 95.729 166.1207
39.550783 95.708 165.9249
39.916994 95.687 165.7183
40.283205 95.667 165.5049
40.649416 95.648 165.2919
41.015627 95.630 165.0866
41.381838 95.612 164.8939
41.748049 95.595 164.7150
42.114260 95.577 164.5475
42.480471 95.559 164.3877
42.846682 95.541 164.2316
43.212893 95.521 164.0757
43.579103 95.501 163.9175
43.945314 95.480 163.7549
44.311525 95.459 163.5864
44.677736 95.438 163.4116
45.043947 95.417 163.2319
45.410158 95.396 163.0513
45.776369 95.374 162.8759
46.142580 95.352 162.7119
46.508791 95.329 162.5635
46.875002 95.307 162.4315
47.241213 95.285 162.3122
47.607424 95.264 162.1992
47.973635 95.242 162.0858
48.339846 95.220 161.9661
48.706057 95.198 161.8367
49.072268 95.175 161.6966
49.438479 95.153 161.5464
49.804690 95.131 161.3883
50.170901 95.111 161.2250
50.537112 95.091 161.0599
50.903323 95.072 160.8973
51.269534 95.053 160.7414
51.635745 95.033 160.5956
52.001956 95.012 160.4609
52.368167 94.992 160.3350
52.734378 94.971 160.2133
53.100589 94.950 160.0915
53.466800 94.929 159.9662
53.833011 94.908 159.8367
54.199222 94.888 159.7039
54.565432 94.868 159.5687
54.931643 94.849 159.4321
55.297854 94.830 159.2947
55.664065 94.810 159.1574
56.030276 94.790 159.0215
56.396487 94.769 158.8889
56.762698 94.747 158.7612
57.128909 94.725 158.6395
57.495120 94.701 158.5239
57.861331 94.678 158.4139
58.227542 94.655 158.3086
58.593753 94.632 158.2061
58.959964 94.609 158.1043
59.326175 94.587 158.0012
59.692386 94.565 157.8958
60.058597 94.543 157.7888
60.424808 94.521 157.6821
60.791019 94.499 157.5774
61.157230 94.477 157.4748
61.523441 94.456 157.3725
61.889652 94.435 157.2684
62.255863 94.414 157.1615
62.622074 94.392 157.0534
62.988285 94.370 156.9476
63.354496 94.347 156.8472
63.720707 94.324 156.7533
64.086918 94.301 156.6639
64.453129 94.279 156.5758
64.819340 94.258 156.4868
65.185551 94.236 156.3970
65.551762 94.213 156.3083
65.917972 94.190 156.2234
66.284183 94.167 156.1433
66.650394 94.144 156.0670
67.016605 94.121 155.9918
67.382816 94.099 155.9152
67.749027 94.078 155.8356
68.115238 94.057 155.7531
68.481449 94.037 155.6692
68.847660 94.017 155.5857
69.213871 93.997 155.5043
69.580082 93.977 155.4260
69.946293 93.957 155.3511
70.312504 93.937 155.2789
70.678715 93.917 155.2083
71.044926 93.897 155.1381
71.411137 93.876 155.0675
71.777348 93.856 154.9969
72.143559 93.835 154.9274
72.509770 93.814 154.8607
72.875981 93.792 154.7982
73.242192 93.771 154.7401
73.608403 93.750 154.6856
73.974614 93.728 154.6333
74.340825 93.706 154.5818
74.707036 93.684 154.5300
75.073247 93.662 154.4777
75.439458 93.640 154.4245
75.805669 93.618 154.3704
76.171880 93.596 154.3155
76.538091 93.574 154.2608
76.904301 93.552 154.2082
77.270512 93.530 154.1594
77.636723 93.507 154.1154
78.002934 93.485 154.0749
78.369145 93.463 154.0343
78.735356 93.440 153.9894
79.101567 93.417 153.9375
79.467778 93.393 153.8790
79.833989 93.367 153.8179
80.200200 93.341 153.7594
80.566411 93.315 153.7079
80.932622 93.290 153.6645
81.298833 93.268 153.6268
81.665044 93.248 153.5908
82.031255 93.231 153.5531
82.397466 93.214 153.5121
82.763677 93.197 153.4686
83.129888 93.179 153.4246
83.496099 93.160 153.3818
83.862310 93.139 153.3411
84.228521 93.118 153.3025
84.594732 93.096 153.2657
84.960943 93.074 153.2303
85.327154 93.052 153.1957
85.693365 93.030 153.1617
86.059576 93.009 153.1280
86.425787 92.988 153.0946
86.791998 92.967 153.0616
87.158209 92.946 153.0291
87.524420 92.924 152.9969
87.890631 92.901 152.9644
88.256841 92.878 152.9313
88.623052 92.854 152.8982
88.989263 92.830 152.8662
89.355474 92.805 152.8372
89.721685 92.781 152.8126
90.087896 92.758 152.7923
90.454107 92.736 152.7746
90.820318 92.715 152.7568
91.186529 92.696 152.7368
91.552740 92.677 152.7135
91.918951 92.659 152.6878
92.285162 92.640 152.6616
92.651373 92.621 152.6373
93.017584 92.602 152.6161
93.383795 92.583 152.5978
93.750006 92.564 152.5811
94.116217 92.545 152.5638
94.482428 92.525 152.5445
94.848639 92.505 152.5226
95.214850 92.484 152.4989
95.581061 92.462 152.4752
95.947272 92.439 152.4538
96.313483 92.417 152.4366
96.679694 92.394 152.4253
97.045905 92.372 152.4199
97.412116 92.350 152.4198
97.778327 92.329 152.4227
98.144538 92.308 152.4254
98.510749 92.287 152.4245
98.876960 92.266 152.4171
99.243170 92.246 152.4017
99.609381 92.225 152.3785
99.975592 92.204 152.3495
100.341803 92.182 152.3171
100.708014 92.160 152.2844
101.074225 92.138 152.2537
101.440436 92.116 152.2267
101.806647 92.093 152.2043
102.172858 92.070 152.1866
102.539069 92.046 152.1728
102.905280 92.022 152.1614
103.271491 91.998 152.1512
103.637702 91.973 152.1416
104.003913 91.948 152.1328
104.370124 91.923 152.1260
104.736335 91.899 152.1227
105.102546 91.874 152.1242
105.468757 91.849 152.1311
105.834968 91.824 152.1434
106.201179 91.799 152.1606
106.567390 91.774 152.1824
106.933601 91.748 152.2081
107.299812 91.723 152.2368
107.666023 91.698 152.2675
108.032234 91.673 152.2993
108.398445 91.648 152.3317
108.764656 91.624 152.3652
109.130867 91.599 152.4009
109.497078 91.573 152.4405
109.863289 91.548 152.4847
110.229500 91.522 152.5340
110.595710 91.497 152.5880
110.961921 91.471 152.6465
111.328132 91.445 152.7101
111.694343 91.418 152.7806
112.060554 91.392 152.8594
112.426765 91.366 152.9479
112.792976 91.340 153.0461
113.159187 91.314 153.1530
113.525398 91.289 153.2681
113.891609 91.264 153.3911
114.257820 91.239 153.5226
114.624031 91.215 153.6639
114.990242 91.190 153.8152
115.356453 91.167 153.9763
115.722664 91.144 154.1458
116.088875 91.124 154.3229
116.455086 91.104 154.5073
116.821297 91.087 154.6991
117.187508 91.071 154.8983
117.553719 91.056 155.1035
117.919930 91.044 155.3121
118.286141 91.034 155.5205
118.652352 91.025 155.7253
119.018563 91.019 155.9241
119.384774 91.014 156.1161
119.750985 91.012 156.3018
120.117196 91.013 156.4813
120.483407 91.018 156.6549
120.849618 91.025 156.8226
121.215829 91.037 156.9842
121.582040 91.051 157.1396
121.948250 91.068 157.2885
122.314461 91.086 157.4298
122.680672 91.105 157.5614
123.046883 91.124 157.6804
123.413094 91.142 157.7832
123.779305 91.160 157.8671
124.145516 91.175 157.9307
124.511727 91.189 157.9738
124.877938 91.201 157.9978
125.244149 91.212 158.0049
125.610360 91.222 157.9975
125.976571 91.231 157.9783
126.342782 91.239 157.9497
126.708993 91.246 157.9137
127.075204 91.253 157.8720
127.441415 91.259 157.8255
127.807626 91.264 157.7747
128.173837 91.268 157.7198
128.540048 91.271 157.6606
128.906259 91.272 157.5972
129.272470 91.272 157.5297
129.638681 91.270 157.4579
130.004892 91.267 157.3819
130.371103 91.263 157.3015
130.737314 91.258 157.2170
131.103525 91.251 157.1295
131.469736 91.243 157.0406
131.835947 91.234 156.9523
132.202158 91.224 156.8666
132.568369 91.213 156.7849
132.934579 91.202 156.7078
133.300790 91.191 156.6349
133.667001 91.179 156.5656
134.033212 91.168 156.4995
134.399423 91.156 156.4366
134.765634 91.144 156.3773
135.131845 91.131 156.3222
135.498056 91.118 156.2714
135.864267 91.105 156.2244
136.230478 91.092 156.1803
136.596689 91.079 156.1378
136.962900 91.066 156.0965
137.329111 91.052 156.0563
137.695322 91.039 156.0179
138.061533 91.025 155.9821
138.427744 91.012 155.9491
138.793955 90.999 155.9184
139.160166 90.987 155.8891
139.526377 90.975 155.8603
139.892588 90.963 155.8315
140.258799 90.950 155.8038
140.625010 90.937 155.7790
140.991221 90.923 155.7593
141.357432 90.908 155.7465
141.723643 90.893 155.7408
142.089854 90.877 155.7406
142.456065 90.862 155.7424
142.822276 90.845 155.7421
143.188487 90.828 155.7364
143.554698 90.810 155.7234
143.920909 90.791 155.7036
144.287119 90.770 155.6796
144.653330 90.748 155.6553
145.019541 90.725 155.6349
145.385752 90.702 155.6215
145.751963 90.681 155.6166
146.118174 90.661 155.6201
146.484385 90.644 155.6305
146.850596 90.629 155.6462
147.216807 90.616 155.6657
147.583018 90.605 155.6886
147.949229 90.594 155.7149
148.315440 90.585 155.7451
148.681651 90.575 155.7792
149.047862 90.566 155.8161
149.414073 90.557 155.8532
149.780284 90.549 155.8870
150.146495 90.541 155.9137
150.512706 90.532 155.9300
150.878917 90.521 155.9343
151.245128 90.510 155.9272
151.611339 90.496 155.9116
151.977550 90.480 155.8917
152.343761 90.462 155.8724
152.709972 90.442 155.8578
153.076183 90.423 155.8510
153.442394 90.404 155.8528
153.808605 90.386 155.8629
154.174816 90.370 155.8798
154.541027 90.356 155.9022
154.907238 90.343 155.9293
155.273448 90.330 155.9617
155.639659 90.318 156.0010
156.005870 90.305 156.0488
156.372081 90.292 156.1062
156.738292 90.279 156.1725
157.104503 90.267 156.2443
157.470714 90.255 156.3164
157.836925 90.244 156.3819
158.203136 90.233 156.4343
158.569347 90.223 156.4688
158.935558 90.211 156.4840
159.301769 90.198 156.4826
159.667980 90.183 156.4707
160.034191 90.165 156.4572
160.400402 90.144 156.4510
160.766613 90.123 156.4601
161.132824 90.103 156.4883
161.499035 90.084 156.5358
161.865246 90.069 156.5978
162.231457 90.059 156.6664
162.597668 90.053 156.7323
162.963879 90.050 156.7863
163.330090 90.050 156.8221
163.696301 90.051 156.8372
164.062512 90.050 156.8336
164.428723 90.047 156.8173
164.794934 90.041 156.7972
165.161145 90.031 156.7833
165.527356 90.017 156.7844
165.893567 90.001 156.8069
166.259778 89.984 156.8536
166.625988 89.968 156.9226
166.992199 89.954 157.0085
167.358410 89.942 157.1028
167.724621 89.934 157.1958
168.090832 89.929 157.2778
168.457043 89.926 157.3409
168.823254 89.925 157.3804
169.189465 89.924 157.3949
169.555676 89.922 157.3871
169.921887 89.918 157.3626
170.288098 89.911 157.3298
170.654309 89.901 157.2977
171.020520 89.889 157.2755
171.386731 89.875 157.2709
171.752942 89.860 157.2891
172.119153 89.846 157.3325
172.485364 89.832 157.4001
172.851575 89.821 157.4882
