* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 13, 2023 5:04:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu II XBass R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 108.127 156.8044
20.507813 108.090 156.5754
20.874023 107.992 155.9733
21.240234 107.900 155.3681
21.606445 107.820 154.7783
21.972656 107.746 154.1573
22.338867 107.673 153.5177
22.705078 107.599 152.8929
23.071289 107.522 152.3182
23.437500 107.446 151.8203
23.803711 107.375 151.4035
24.169922 107.313 151.0496
24.536133 107.259 150.7293
24.902344 107.207 150.4202
25.268555 107.152 150.1201
25.634766 107.090 149.8421
26.000977 107.022 149.5977
26.367188 106.949 149.3827
26.733399 106.877 149.1764
27.099610 106.806 148.9517
27.465821 106.737 148.6930
27.832032 106.668 148.4059
28.198243 106.597 148.1110
28.564454 106.526 147.8297
28.930665 106.455 147.5729
29.296876 106.386 147.3392
29.663087 106.317 147.1203
30.029298 106.248 146.9086
30.395509 106.180 146.7011
30.761720 106.111 146.4996
31.127931 106.043 146.3062
31.494142 105.975 146.1215
31.860353 105.910 145.9452
32.226563 105.846 145.7780
32.592774 105.782 145.6207
32.958985 105.718 145.4743
33.325196 105.654 145.3394
33.691407 105.590 145.2156
34.057618 105.525 145.1012
34.423829 105.460 144.9940
34.790040 105.395 144.8936
35.156251 105.330 144.8006
35.522462 105.265 144.7158
35.888673 105.200 144.6391
36.254884 105.134 144.5690
36.621095 105.069 144.5032
36.987306 105.004 144.4400
37.353517 104.939 144.3784
37.719728 104.875 144.3191
38.085939 104.811 144.2631
38.452150 104.747 144.2111
38.818361 104.684 144.1635
39.184572 104.622 144.1207
39.550783 104.560 144.0838
39.916994 104.498 144.0539
40.283205 104.437 144.0327
40.649416 104.376 144.0208
41.015627 104.316 144.0173
41.381838 104.257 144.0195
41.748049 104.198 144.0239
42.114260 104.140 144.0280
42.480471 104.083 144.0313
42.846682 104.025 144.0354
43.212893 103.967 144.0428
43.579103 103.909 144.0550
43.945314 103.850 144.0724
44.311525 103.793 144.0940
44.677736 103.735 144.1190
45.043947 103.677 144.1468
45.410158 103.620 144.1778
45.776369 103.562 144.2129
46.142580 103.505 144.2528
46.508791 103.448 144.2977
46.875002 103.391 144.3469
47.241213 103.334 144.4002
47.607424 103.278 144.4570
47.973635 103.222 144.5171
48.339846 103.166 144.5801
48.706057 103.111 144.6456
49.072268 103.057 144.7132
49.438479 103.003 144.7829
49.804690 102.950 144.8554
50.170901 102.897 144.9312
50.537112 102.845 145.0100
50.903323 102.794 145.0904
51.269534 102.744 145.1713
51.635745 102.693 145.2519
52.001956 102.642 145.3326
52.368167 102.591 145.4142
52.734378 102.540 145.4974
53.100589 102.488 145.5827
53.466800 102.437 145.6704
53.833011 102.385 145.7608
54.199222 102.335 145.8548
54.565432 102.284 145.9537
54.931643 102.234 146.0583
55.297854 102.184 146.1692
55.664065 102.134 146.2861
56.030276 102.084 146.4081
56.396487 102.035 146.5335
56.762698 101.986 146.6610
57.128909 101.937 146.7894
57.495120 101.889 146.9176
57.861331 101.841 147.0452
58.227542 101.794 147.1724
58.593753 101.748 147.2997
58.959964 101.702 147.4280
59.326175 101.656 147.5582
59.692386 101.611 147.6910
60.058597 101.566 147.8266
60.424808 101.521 147.9643
60.791019 101.477 148.1031
61.157230 101.433 148.2417
61.523441 101.390 148.3789
61.889652 101.346 148.5141
62.255863 101.303 148.6477
62.622074 101.259 148.7805
62.988285 101.216 148.9135
63.354496 101.173 149.0468
63.720707 101.130 149.1800
64.086918 101.088 149.3125
64.453129 101.046 149.4443
64.819340 101.005 149.5759
65.185551 100.963 149.7082
65.551762 100.923 149.8420
65.917972 100.882 149.9773
66.284183 100.842 150.1135
66.650394 100.801 150.2499
67.016605 100.760 150.3855
67.382816 100.719 150.5199
67.749027 100.677 150.6523
68.115238 100.634 150.7823
68.481449 100.592 150.9095
68.847660 100.550 151.0338
69.213871 100.507 151.1561
69.580082 100.465 151.2776
69.946293 100.422 151.3995
70.312504 100.380 151.5221
70.678715 100.337 151.6450
71.044926 100.294 151.7673
71.411137 100.250 151.8879
71.777348 100.206 152.0065
72.143559 100.162 152.1234
72.509770 100.118 152.2390
72.875981 100.075 152.3539
73.242192 100.033 152.4682
73.608403 99.991 152.5817
73.974614 99.951 152.6943
74.340825 99.912 152.8059
74.707036 99.872 152.9168
75.073247 99.833 153.0275
75.439458 99.794 153.1387
75.805669 99.755 153.2506
76.171880 99.716 153.3636
76.538091 99.677 153.4776
76.904301 99.640 153.5925
77.270512 99.603 153.7079
77.636723 99.567 153.8236
78.002934 99.532 153.9396
78.369145 99.498 154.0562
78.735356 99.463 154.1744
79.101567 99.428 154.2952
79.467778 99.393 154.4192
79.833989 99.357 154.5466
80.200200 99.321 154.6770
80.566411 99.284 154.8093
80.932622 99.248 154.9424
81.298833 99.211 155.0754
81.665044 99.174 155.2077
82.031255 99.138 155.3393
82.397466 99.101 155.4702
82.763677 99.065 155.6005
83.129888 99.029 155.7304
83.496099 98.993 155.8599
83.862310 98.958 155.9895
84.228521 98.922 156.1193
84.594732 98.887 156.2499
84.960943 98.853 156.3815
85.327154 98.818 156.5142
85.693365 98.784 156.6481
86.059576 98.749 156.7831
86.425787 98.715 156.9192
86.791998 98.681 157.0566
87.158209 98.646 157.1956
87.524420 98.611 157.3360
87.890631 98.576 157.4780
88.256841 98.539 157.6210
88.623052 98.502 157.7648
88.989263 98.465 157.9085
89.355474 98.427 158.0518
89.721685 98.389 158.1938
90.087896 98.351 158.3343
90.454107 98.314 158.4732
90.820318 98.278 158.6113
91.186529 98.243 158.7505
91.552740 98.207 158.8929
91.918951 98.172 159.0406
92.285162 98.137 159.1947
92.651373 98.101 159.3547
93.017584 98.065 159.5188
93.383795 98.029 159.6846
93.750006 97.993 159.8502
94.116217 97.957 160.0144
94.482428 97.921 160.1774
94.848639 97.886 160.3409
95.214850 97.851 160.5073
95.581061 97.817 160.6796
95.947272 97.782 160.8609
96.313483 97.748 161.0537
96.679694 97.714 161.2593
97.045905 97.680 161.4777
97.412116 97.647 161.7068
97.778327 97.615 161.9431
98.144538 97.584 162.1824
98.510749 97.555 162.4205
98.876960 97.527 162.6544
99.243170 97.500 162.8824
99.609381 97.473 163.1040
99.975592 97.448 163.3194
100.341803 97.423 163.5289
100.708014 97.399 163.7331
101.074225 97.376 163.9325
101.440436 97.352 164.1283
101.806647 97.329 164.3221
102.172858 97.306 164.5159
102.539069 97.282 164.7115
102.905280 97.258 164.9100
103.271491 97.235 165.1114
103.637702 97.212 165.3148
104.003913 97.189 165.5188
104.370124 97.166 165.7219
104.736335 97.144 165.9233
105.102546 97.122 166.1229
105.468757 97.100 166.3212
105.834968 97.080 166.5186
106.201179 97.060 166.7159
106.567390 97.042 166.9132
106.933601 97.025 167.1107
107.299812 97.008 167.3083
107.666023 96.993 167.5055
108.032234 96.978 167.7017
108.398445 96.964 167.8954
108.764656 96.950 168.0850
109.130867 96.937 168.2684
109.497078 96.925 168.4438
109.863289 96.912 168.6098
110.229500 96.900 168.7659
110.595710 96.888 168.9125
110.961921 96.875 169.0506
111.328132 96.861 169.1815
111.694343 96.847 169.3063
112.060554 96.832 169.4262
112.426765 96.817 169.5418
112.792976 96.801 169.6541
113.159187 96.786 169.7640
113.525398 96.770 169.8734
113.891609 96.755 169.9844
114.257820 96.740 170.0997
114.624031 96.726 170.2219
114.990242 96.710 170.3528
115.356453 96.694 170.4929
115.722664 96.677 170.6409
116.088875 96.659 170.7935
116.455086 96.638 170.9462
116.821297 96.614 171.0941
117.187508 96.588 171.2334
117.553719 96.559 171.3620
117.919930 96.528 171.4800
118.286141 96.495 171.5897
118.652352 96.461 171.6947
119.018563 96.427 171.7987
119.384774 96.394 171.9053
119.750985 96.361 172.0173
120.117196 96.330 172.1367
120.483407 96.299 172.2649
120.849618 96.269 172.4030
121.215829 96.238 172.5514
121.582040 96.207 172.7106
121.948250 96.174 172.8802
122.314461 96.142 173.0598
122.680672 96.108 173.2487
123.046883 96.075 173.4461
123.413094 96.043 173.6515
123.779305 96.012 173.8643
124.145516 95.982 174.0841
124.511727 95.955 174.3100
124.877938 95.931 174.5408
125.244149 95.909 174.7751
125.610360 95.890 175.0117
125.976571 95.872 175.2496
126.342782 95.856 175.4881
126.708993 95.841 175.7273
127.075204 95.827 175.9675
127.441415 95.814 176.2088
127.807626 95.802 176.4516
128.173837 95.790 176.6954
128.540048 95.780 176.9396
128.906259 95.771 177.1831
129.272470 95.764 177.4247
129.638681 95.757 177.6629
130.004892 95.751 177.8965
130.371103 95.746 178.1237
130.737314 95.741 178.3432
131.103525 95.736 178.5531
131.469736 95.731 178.7517
131.835947 95.727 178.9374
132.202158 95.722 179.1087
132.568369 95.717 179.2648
132.934579 95.712 179.4052
133.300790 95.706 179.5304
133.667001 95.701 179.6414
134.033212 95.694 179.7396
134.399423 95.687 179.8273
134.765634 95.680 179.9070
135.131845 95.672 179.9816
135.498056 95.663 -179.9461
135.864267 95.654 -179.8734
136.230478 95.644 -179.7982
136.596689 95.634 -179.7195
136.962900 95.624 -179.6374
137.329111 95.614 -179.5532
137.695322 95.604 -179.4691
138.061533 95.595 -179.3873
138.427744 95.585 -179.3101
138.793955 95.576 -179.2384
139.160166 95.566 -179.1719
139.526377 95.556 -179.1088
139.892588 95.546 -179.0458
140.258799 95.533 -178.9788
140.625010 95.520 -178.9035
140.991221 95.505 -178.8161
141.357432 95.488 -178.7141
141.723643 95.470 -178.5967
142.089854 95.452 -178.4648
142.456065 95.434 -178.3212
142.822276 95.416 -178.1693
143.188487 95.399 -178.0132
143.554698 95.382 -177.8561
143.920909 95.366 -177.7007
144.287119 95.350 -177.5484
144.653330 95.335 -177.3995
145.019541 95.320 -177.2538
145.385752 95.305 -177.1109
145.751963 95.290 -176.9703
146.118174 95.274 -176.8318
146.484385 95.259 -176.6951
146.850596 95.243 -176.5603
147.216807 95.227 -176.4270
147.583018 95.211 -176.2948
147.949229 95.195 -176.1630
148.315440 95.178 -176.0307
148.681651 95.162 -175.8970
149.047862 95.145 -175.7610
149.414073 95.128 -175.6219
149.780284 95.111 -175.4793
150.146495 95.094 -175.3328
150.512706 95.077 -175.1821
150.878917 95.060 -175.0274
151.245128 95.044 -174.8688
151.611339 95.027 -174.7064
151.977550 95.011 -174.5406
152.343761 94.995 -174.3716
152.709972 94.979 -174.1996
153.076183 94.964 -174.0248
153.442394 94.949 -173.8475
153.808605 94.934 -173.6684
154.174816 94.919 -173.4882
154.541027 94.905 -173.3083
154.907238 94.890 -173.1303
155.273448 94.876 -172.9558
155.639659 94.862 -172.7866
156.005870 94.848 -172.6242
156.372081 94.833 -172.4697
156.738292 94.818 -172.3235
157.104503 94.803 -172.1856
157.470714 94.788 -172.0552
157.836925 94.772 -171.9310
158.203136 94.757 -171.8115
158.569347 94.741 -171.6952
158.935558 94.724 -171.5804
159.301769 94.708 -171.4659
159.667980 94.692 -171.3506
160.034191 94.676 -171.2339
160.400402 94.660 -171.1155
160.766613 94.644 -170.9954
161.132824 94.628 -170.8735
161.499035 94.613 -170.7501
161.865246 94.598 -170.6255
162.231457 94.583 -170.4999
162.597668 94.568 -170.3734
162.963879 94.553 -170.2460
163.330090 94.538 -170.1177
163.696301 94.523 -169.9885
164.062512 94.509 -169.8583
164.428723 94.494 -169.7272
164.794934 94.480 -169.5953
165.161145 94.465 -169.4627
165.527356 94.451 -169.3298
165.893567 94.436 -169.1967
166.259778 94.420 -169.0636
166.625988 94.405 -168.9307
166.992199 94.390 -168.7979
167.358410 94.374 -168.6651
167.724621 94.358 -168.5321
168.090832 94.342 -168.3984
168.457043 94.327 -168.2638
168.823254 94.311 -168.1279
169.189465 94.296 -167.9904
169.555676 94.282 -167.8514
169.921887 94.267 -167.7107
170.288098 94.253 -167.5684
