* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 10, 2024 7:00:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop ChuII nobass R
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.786 -148.7385
20.287556 94.794 -148.8849
20.434568 94.805 -149.1068
20.582645 94.817 -149.3748
20.731796 94.828 -149.6722
20.882027 94.837 -149.9851
21.033346 94.844 -150.3009
21.185763 94.847 -150.6031
21.339284 94.849 -150.8726
21.493917 94.849 -151.0946
21.649671 94.851 -151.2539
21.806553 94.856 -151.3425
21.964572 94.868 -151.3616
22.123737 94.888 -151.3191
22.284054 94.920 -151.2343
22.445534 94.963 -151.1344
22.608183 95.015 -151.0472
22.772012 95.075 -151.0053
22.937027 95.137 -151.0323
23.103238 95.197 -151.1462
23.270654 95.248 -151.3551
23.439282 95.286 -151.6533
23.609133 95.306 -152.0282
23.780215 95.307 -152.4570
23.952536 95.287 -152.9124
24.126106 95.249 -153.3683
24.300934 95.196 -153.7978
24.477028 95.134 -154.1840
24.654399 95.070 -154.5163
24.833055 95.009 -154.7955
25.013005 94.958 -155.0325
25.194260 94.920 -155.2437
25.376828 94.898 -155.4510
25.560719 94.892 -155.6715
25.745942 94.899 -155.9188
25.932508 94.916 -156.1962
26.120426 94.938 -156.4981
26.309705 94.963 -156.8129
26.500356 94.988 -157.1236
26.692388 95.010 -157.4149
26.885812 95.029 -157.6738
27.080638 95.045 -157.8947
27.276876 95.058 -158.0778
27.474535 95.070 -158.2295
27.673627 95.079 -158.3599
27.874161 95.087 -158.4797
28.076149 95.092 -158.5982
28.279600 95.095 -158.7213
28.484526 95.095 -158.8520
28.690937 95.095 -158.9909
28.898843 95.095 -159.1383
29.108256 95.096 -159.2955
29.319186 95.101 -159.4659
29.531645 95.109 -159.6536
29.745644 95.120 -159.8627
29.961193 95.133 -160.0942
30.178304 95.145 -160.3447
30.396989 95.154 -160.6058
30.617258 95.160 -160.8651
30.839123 95.160 -161.1087
31.062596 95.156 -161.3254
31.287688 95.150 -161.5083
31.514412 95.142 -161.6583
31.742778 95.135 -161.7830
31.972800 95.130 -161.8953
32.204488 95.128 -162.0088
32.437855 95.129 -162.1356
32.672913 95.130 -162.2820
32.909674 95.132 -162.4488
33.148151 95.134 -162.6320
33.388356 95.136 -162.8255
33.630302 95.137 -163.0235
33.874001 95.140 -163.2225
34.119466 95.143 -163.4214
34.366710 95.146 -163.6205
34.615745 95.150 -163.8198
34.866585 95.153 -164.0178
35.119243 95.155 -164.2109
35.373731 95.156 -164.3946
35.630064 95.155 -164.5654
35.888254 95.155 -164.7220
36.148315 95.155 -164.8667
36.410261 95.156 -165.0043
36.674104 95.158 -165.1404
36.939860 95.160 -165.2798
37.207542 95.161 -165.4247
37.477163 95.162 -165.5744
37.748738 95.161 -165.7267
38.022281 95.160 -165.8785
38.297806 95.157 -166.0285
38.575327 95.156 -166.1773
38.854860 95.155 -166.3272
39.136419 95.156 -166.4816
39.420017 95.159 -166.6433
39.705671 95.162 -166.8133
39.993395 95.166 -166.9898
40.283203 95.169 -167.1688
40.575112 95.172 -167.3441
40.869136 95.173 -167.5091
41.165290 95.172 -167.6589
41.463591 95.170 -167.7919
41.764053 95.169 -167.9108
42.066693 95.168 -168.0226
42.371525 95.167 -168.1368
42.678567 95.167 -168.2627
42.987834 95.167 -168.4057
43.299341 95.166 -168.5654
43.613106 95.164 -168.7359
43.929145 95.161 -168.9065
44.247473 95.158 -169.0654
44.568109 95.156 -169.2032
44.891068 95.157 -169.3160
45.216367 95.160 -169.4060
45.544023 95.167 -169.4802
45.874054 95.174 -169.5489
46.206476 95.181 -169.6221
46.541307 95.185 -169.7075
46.878565 95.185 -169.8083
47.218266 95.180 -169.9236
47.560429 95.171 -170.0503
47.905072 95.161 -170.1858
48.252212 95.151 -170.3308
48.601867 95.146 -170.4895
48.954056 95.145 -170.6662
49.308798 95.148 -170.8612
49.666109 95.152 -171.0667
50.026010 95.155 -171.2675
50.388520 95.156 -171.4463
50.753656 95.155 -171.5925
51.121437 95.151 -171.7083
51.491884 95.148 -171.8089
51.865016 95.143 -171.9137
52.240851 95.137 -172.0349
52.619410 95.128 -172.1705
53.000712 95.116 -172.3065
53.384777 95.103 -172.4289
53.771625 95.095 -172.5356
54.161276 95.092 -172.6399
54.553751 95.094 -172.7609
54.949070 95.098 -172.9084
55.347254 95.100 -173.0734
55.748323 95.098 -173.2330
56.152298 95.094 -173.3668
56.559201 95.091 -173.4728
56.969052 95.090 -173.5697
57.381873 95.091 -173.6831
57.797686 95.090 -173.8267
58.216512 95.086 -173.9947
58.638373 95.080 -174.1696
59.063291 95.074 -174.3365
59.491288 95.072 -174.4892
59.922386 95.074 -174.6241
60.356608 95.078 -174.7318
60.793977 95.081 -174.8011
61.234515 95.084 -174.8351
61.678246 95.087 -174.8618
62.125192 95.088 -174.9211
62.575377 95.083 -175.0368
63.028824 95.070 -175.1974
63.485557 95.052 -175.3670
63.945599 95.036 -175.5153
64.408975 95.027 -175.6388
64.875709 95.027 -175.7543
65.345825 95.032 -175.8773
65.819348 95.035 -176.0084
66.296302 95.035 -176.1376
66.776713 95.029 -176.2558
67.260604 95.020 -176.3606
67.748002 95.008 -176.4576
68.238932 94.995 -176.5592
68.733420 94.981 -176.6780
69.231490 94.965 -176.8149
69.733170 94.950 -176.9548
70.238485 94.939 -177.0789
70.747463 94.935 -177.1815
71.260128 94.939 -177.2694
71.776508 94.944 -177.3469
72.296630 94.945 -177.4131
72.820521 94.941 -177.4771
73.348209 94.932 -177.5638
73.879720 94.921 -177.6931
74.415083 94.911 -177.8592
74.954326 94.903 -178.0381
75.497475 94.899 -178.2082
76.044561 94.894 -178.3554
76.595612 94.884 -178.4686
77.150655 94.870 -178.5509
77.709720 94.859 -178.6300
78.272837 94.856 -178.7326
78.840034 94.865 -178.8522
79.411342 94.887 -178.9663
79.986789 94.916 -179.0764
80.566406 94.937 -179.1956
81.150224 94.932 -179.3007
81.738272 94.905 -179.3481
82.330581 94.871 -179.3556
82.927182 94.846 -179.4094
83.528107 94.828 -179.5535
84.133386 94.810 -179.7297
84.743051 94.787 -179.8639
85.357134 94.766 -179.9629
85.975667 94.750 179.9249
86.598682 94.745 179.8103
87.226212 94.757 179.7789
87.858289 94.785 179.9210
88.494946 94.818 -179.7556
89.136217 94.841 -179.3803
89.782135 94.841 -179.1739
90.432733 94.810 -179.2809
91.088046 94.758 -179.6325
91.748108 94.711 179.9830
92.412952 94.693 179.7227
93.082615 94.699 179.5897
93.757130 94.706 179.4887
94.436533 94.696 179.3210
95.120859 94.666 179.0544
95.810144 94.627 178.7589
96.504423 94.589 178.5485
97.203734 94.561 178.4566
97.908112 94.540 178.4034
98.617595 94.522 178.2941
99.332219 94.515 178.0913
100.052021 94.523 177.8094
100.777039 94.533 177.5317
101.507311 94.527 177.3920
102.242875 94.504 177.4291
102.983769 94.476 177.5115
103.730032 94.450 177.4937
104.481702 94.429 177.3691
105.238820 94.412 177.2248
106.001424 94.397 177.1331
106.769554 94.378 177.0953
107.543250 94.353 177.0743
108.322553 94.316 177.0964
109.107503 94.270 177.2560
109.898141 94.226 177.6077
110.694508 94.198 178.1168
111.496646 94.201 178.6600
112.304596 94.240 179.0344
113.118402 94.302 179.0647
113.938104 94.364 178.7473
114.763747 94.408 178.2549
115.595372 94.421 177.7878
116.433024 94.404 177.4378
117.276746 94.377 177.1774
118.126581 94.372 176.9150
118.982575 94.397 176.6575
119.844772 94.430 176.6555
120.713217 94.463 177.0890
121.587954 94.513 177.6245
122.469031 94.589 177.6931
123.356492 94.677 177.1097
124.250384 94.752 176.0923
125.150753 94.780 174.9186
126.057647 94.736 173.8151
126.971113 94.628 172.9899
127.891198 94.482 172.5532
128.817950 94.314 172.4543
129.751418 94.116 172.6063
130.691651 93.882 173.0063
131.638696 93.618 173.6930
132.592604 93.333 174.7033
133.553425 93.030 176.0809
134.521208 92.714 177.9058
135.496004 92.404 -179.6879
136.477864 92.145 -176.7814
137.466839 91.979 -174.0898
138.462981 91.873 -172.4454
139.466340 91.773 -171.9146
140.476971 91.682 -172.3036
141.494925 91.633 -173.7641
142.520256 91.622 -176.5114
143.553016 91.618 179.9410
144.593260 91.651 176.3986
145.641043 91.770 173.4220
146.696418 92.011 171.2211
147.759441 92.323 169.4984
148.830166 92.591 168.4401
149.908651 92.754 168.8583
150.994951 92.884 171.4365
152.089123 93.093 174.6671
153.191223 93.321 176.8041
154.301310 93.464 177.7990
155.419441 93.481 178.5074
156.545674 93.456 179.4655
157.680069 93.455 -179.7189
158.822683 93.504 -179.1395
159.973578 93.622 -179.3587
161.132813 93.735 179.2705
162.300447 93.809 177.5830
163.476543 93.861 176.0494
164.661162 93.866 175.0452
165.854364 93.857 174.8424
167.056213 93.864 174.7772
168.266772 93.832 174.6518
169.486102 93.775 175.5472
170.714268 93.800 177.3725
171.951334 93.872 178.6002
173.197364 93.836 178.9459
174.452424 93.664 179.4437
175.716578 93.481 -179.6492
176.989893 93.398 -179.3304
178.272434 93.393 179.7085
179.564270 93.389 178.0800
180.865467 93.368 177.0090
182.176092 93.351 177.1562
183.496216 93.328 178.0972
184.825905 93.254 178.7368
186.165229 93.111 178.1477
187.514259 92.970 175.9760
188.873065 92.976 172.6652
190.241717 93.233 169.6883
191.620287 93.672 168.7956
193.008847 94.096 170.5716
194.407468 94.331 174.0855
195.816225 94.305 177.7381
197.235190 94.054 -179.8720
198.664438 93.706 -179.4894
200.104042 93.425 179.1667
201.554078 93.304 177.3131
203.014622 93.310 176.0716
204.485750 93.346 175.6898
205.967538 93.349 175.7889
207.460064 93.317 175.9476
208.963405 93.273 176.0060
210.477640 93.235 175.9765
212.002848 93.200 175.9165
213.539108 93.164 175.9054
215.086500 93.126 175.9778
216.645105 93.093 176.0866
218.215005 93.072 176.1943
219.796281 93.062 176.2770
221.389015 93.060 176.2970
222.993292 93.059 176.2596
224.609193 93.054 176.2343
226.236804 93.040 176.2714
227.876209 93.014 176.3705
229.527494 92.975 176.5019
231.190745 92.925 176.6337
232.866048 92.878 176.7751
234.553491 92.854 176.9774
236.253163 92.851 177.1957
237.965150 92.848 177.3700
239.689544 92.840 177.5034
241.426433 92.828 177.6104
243.175909 92.816 177.6764
244.938062 92.806 177.7311
246.712984 92.797 177.8146
248.500768 92.790 177.9296
250.301507 92.782 178.0261
252.115295 92.771 178.0504
253.942226 92.760 177.9998
255.782396 92.754 177.9334
257.635901 92.751 177.9401
259.502837 92.742 178.0326
261.383301 92.721 178.1595
263.277392 92.693 178.2297
265.185209 92.665 178.2429
267.106850 92.645 178.2761
269.042417 92.630 178.3644
270.992009 92.614 178.4954
272.955729 92.599 178.6296
274.933678 92.588 178.7771
276.925961 92.582 178.9794
278.932681 92.585 179.1859
280.953942 92.598 179.3320
282.989850 92.621 179.4572
285.040511 92.660 179.5482
287.106032 92.711 179.6045
289.186521 92.767 179.6981
291.282086 92.822 179.7774
293.392836 92.864 179.8577
295.518881 92.883 -179.9371
297.660333 92.873 -179.6047
299.817302 92.827 -179.2477
301.989902 92.749 -179.0461
304.178245 92.664 -179.0693
306.382446 92.619 -179.2442
308.602620 92.638 -179.4756
310.838882 92.692 -179.5539
313.091348 92.733 -179.3303
315.360137 92.743 -178.9068
317.645367 92.746 -178.6729
319.947156 92.759 -178.7511
322.265625 92.760 -178.9641
324.600895 92.716 -179.2583
326.953086 92.628 -179.5653
329.322323 92.505 -179.6424
331.708729 92.360 -179.5471
334.112427 92.218 -179.3698
336.533543 92.103 -179.0957
338.972204 92.033 -178.7794
341.428536 92.016 -178.4327
343.902668 92.038 -178.1620
346.394729 92.070 -177.9773
348.904848 92.085 -177.8712
351.433156 92.072 -177.7690
353.979786 92.039 -177.6333
356.544869 92.003 -177.4367
359.128540 91.976 -177.2095
