* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2023 12:10:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Crescent no filter L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.541 -166.1564
20.507813 99.541 -166.4856
20.874023 99.538 -167.3711
21.240234 99.526 -168.2918
21.606445 99.512 -169.1520
21.972656 99.506 -169.9405
22.338867 99.515 -170.6286
22.705078 99.542 -171.2308
23.071289 99.578 -171.7934
23.437500 99.612 -172.3525
23.803711 99.632 -172.9126
24.169922 99.632 -173.4509
24.536133 99.618 -173.9413
24.902344 99.599 -174.3799
25.268555 99.585 -174.7894
25.634766 99.583 -175.2077
26.000977 99.594 -175.6662
26.367188 99.610 -176.1739
26.733399 99.626 -176.7154
27.099610 99.636 -177.2643
27.465821 99.637 -177.7977
27.832032 99.630 -178.3038
28.198243 99.617 -178.7827
28.564454 99.599 -179.2417
28.930665 99.580 -179.6875
29.296876 99.561 179.8763
29.663087 99.544 179.4475
30.029298 99.531 179.0220
30.395509 99.521 178.5935
30.761720 99.511 178.1578
31.127931 99.500 177.7156
31.494142 99.485 177.2728
31.860353 99.468 176.8372
32.226563 99.449 176.4123
32.592774 99.431 175.9946
32.958985 99.413 175.5788
33.325196 99.396 175.1668
33.691407 99.376 174.7711
34.057618 99.353 174.4098
34.423829 99.328 174.0961
34.790040 99.303 173.8279
35.156251 99.282 173.5866
35.522462 99.263 173.3455
35.888673 99.245 173.0830
36.254884 99.227 172.7924
36.621095 99.208 172.4811
36.987306 99.187 172.1616
37.353517 99.166 171.8430
37.719728 99.146 171.5266
38.085939 99.126 171.2098
38.452150 99.105 170.8919
38.818361 99.081 170.5782
39.184572 99.054 170.2776
39.550783 99.026 169.9965
39.916994 98.996 169.7351
40.283205 98.966 169.4877
40.649416 98.936 169.2474
41.015627 98.906 169.0110
41.381838 98.873 168.7803
41.748049 98.839 168.5606
42.114260 98.802 168.3579
42.480471 98.765 168.1774
42.846682 98.728 168.0226
43.212893 98.693 167.8964
43.579103 98.660 167.7998
43.945314 98.631 167.7317
44.311525 98.606 167.6874
44.677736 98.588 167.6584
45.043947 98.576 167.6332
45.410158 98.570 167.5994
45.776369 98.569 167.5457
46.142580 98.572 167.4624
46.508791 98.577 167.3433
46.875002 98.583 167.1851
47.241213 98.588 166.9882
47.607424 98.591 166.7563
47.973635 98.591 166.4958
48.339846 98.587 166.2149
48.706057 98.579 165.9216
49.072268 98.567 165.6235
49.438479 98.550 165.3266
49.804690 98.530 165.0351
50.170901 98.507 164.7514
50.537112 98.482 164.4767
50.903323 98.456 164.2117
51.269534 98.428 163.9581
51.635745 98.399 163.7182
52.001956 98.369 163.4940
52.368167 98.340 163.2854
52.734378 98.312 163.0903
53.100589 98.284 162.9048
53.466800 98.257 162.7252
53.833011 98.229 162.5493
54.199222 98.201 162.3768
54.565432 98.172 162.2090
54.931643 98.143 162.0468
55.297854 98.112 161.8897
55.664065 98.082 161.7366
56.030276 98.051 161.5864
56.396487 98.020 161.4386
56.762698 97.989 161.2944
57.128909 97.959 161.1556
57.495120 97.928 161.0235
57.861331 97.898 160.8979
58.227542 97.868 160.7772
58.593753 97.838 160.6592
58.959964 97.809 160.5421
59.326175 97.780 160.4253
59.692386 97.751 160.3096
60.058597 97.722 160.1967
60.424808 97.693 160.0883
60.791019 97.664 159.9857
61.157230 97.635 159.8892
61.523441 97.606 159.7984
61.889652 97.576 159.7120
62.255863 97.547 159.6283
62.622074 97.518 159.5460
62.988285 97.489 159.4642
63.354496 97.460 159.3825
63.720707 97.432 159.3011
64.086918 97.405 159.2203
64.453129 97.379 159.1412
64.819340 97.354 159.0656
65.185551 97.330 158.9954
65.551762 97.305 158.9316
65.917972 97.281 158.8741
66.284183 97.256 158.8207
66.650394 97.230 158.7684
67.016605 97.204 158.7143
67.382816 97.177 158.6579
67.749027 97.150 158.6006
68.115238 97.122 158.5453
68.481449 97.094 158.4941
68.847660 97.066 158.4478
69.213871 97.038 158.4056
69.580082 97.009 158.3661
69.946293 96.979 158.3289
70.312504 96.949 158.2936
70.678715 96.919 158.2599
71.044926 96.889 158.2257
71.411137 96.861 158.1876
71.777348 96.835 158.1425
72.143559 96.811 158.0898
72.509770 96.788 158.0321
72.875981 96.765 157.9750
73.242192 96.742 157.9244
73.608403 96.718 157.8840
73.974614 96.693 157.8544
74.340825 96.668 157.8329
74.707036 96.643 157.8157
75.073247 96.618 157.7997
75.439458 96.592 157.7831
75.805669 96.566 157.7653
76.171880 96.540 157.7468
76.538091 96.514 157.7283
76.904301 96.488 157.7104
77.270512 96.463 157.6937
77.636723 96.439 157.6786
78.002934 96.414 157.6655
78.369145 96.390 157.6541
78.735356 96.366 157.6440
79.101567 96.343 157.6346
79.467778 96.320 157.6252
79.833989 96.297 157.6157
80.200200 96.274 157.6066
80.566411 96.251 157.5984
80.932622 96.227 157.5924
81.298833 96.202 157.5892
81.665044 96.177 157.5890
82.031255 96.152 157.5915
82.397466 96.126 157.5960
82.763677 96.101 157.6017
83.129888 96.076 157.6075
83.496099 96.051 157.6133
83.862310 96.027 157.6190
84.228521 96.004 157.6259
84.594732 95.980 157.6354
84.960943 95.957 157.6492
85.327154 95.933 157.6685
85.693365 95.910 157.6935
86.059576 95.886 157.7237
86.425787 95.863 157.7576
86.791998 95.839 157.7937
87.158209 95.816 157.8304
87.524420 95.794 157.8658
87.890631 95.772 157.8972
88.256841 95.752 157.9223
88.623052 95.732 157.9388
88.989263 95.714 157.9465
89.355474 95.695 157.9472
89.721685 95.676 157.9451
90.087896 95.655 157.9447
90.454107 95.633 157.9500
90.820318 95.608 157.9623
91.186529 95.582 157.9809
91.552740 95.555 158.0033
91.918951 95.527 158.0270
92.285162 95.499 158.0506
92.651373 95.472 158.0739
93.017584 95.445 158.0975
93.383795 95.420 158.1222
93.750006 95.396 158.1484
94.116217 95.374 158.1760
94.482428 95.354 158.2048
94.848639 95.334 158.2345
95.214850 95.314 158.2654
95.581061 95.294 158.2976
95.947272 95.273 158.3307
96.313483 95.251 158.3640
96.679694 95.229 158.3963
97.045905 95.207 158.4265
97.412116 95.185 158.4542
97.778327 95.164 158.4794
98.144538 95.142 158.5034
98.510749 95.121 158.5278
98.876960 95.099 158.5542
99.243170 95.078 158.5841
99.609381 95.057 158.6182
99.975592 95.036 158.6563
100.341803 95.014 158.6977
100.708014 94.993 158.7411
101.074225 94.972 158.7853
101.440436 94.952 158.8291
101.806647 94.931 158.8716
102.172858 94.910 158.9125
102.539069 94.888 158.9521
102.905280 94.867 158.9908
103.271491 94.846 159.0294
103.637702 94.826 159.0688
104.003913 94.805 159.1098
104.370124 94.784 159.1531
104.736335 94.764 159.1993
105.102546 94.743 159.2483
105.468757 94.723 159.2997
105.834968 94.703 159.3525
106.201179 94.682 159.4054
106.567390 94.662 159.4567
106.933601 94.642 159.5050
107.299812 94.622 159.5494
107.666023 94.602 159.5895
108.032234 94.581 159.6258
108.398445 94.561 159.6590
108.764656 94.540 159.6904
109.130867 94.519 159.7214
109.497078 94.498 159.7533
109.863289 94.477 159.7873
110.229500 94.457 159.8244
110.595710 94.437 159.8655
110.961921 94.417 159.9113
111.328132 94.398 159.9620
111.694343 94.380 160.0177
112.060554 94.362 160.0777
112.426765 94.344 160.1411
112.792976 94.326 160.2065
113.159187 94.308 160.2725
113.525398 94.290 160.3380
113.891609 94.271 160.4021
114.257820 94.253 160.4644
114.624031 94.234 160.5252
114.990242 94.216 160.5848
115.356453 94.197 160.6439
115.722664 94.179 160.7031
116.088875 94.160 160.7630
116.455086 94.142 160.8239
116.821297 94.123 160.8858
117.187508 94.104 160.9487
117.553719 94.084 161.0121
117.919930 94.064 161.0762
118.286141 94.044 161.1405
118.652352 94.023 161.2053
119.018563 94.003 161.2707
119.384774 93.983 161.3369
119.750985 93.963 161.4041
120.117196 93.943 161.4724
120.483407 93.924 161.5417
120.849618 93.905 161.6119
121.215829 93.887 161.6829
121.582040 93.868 161.7544
121.948250 93.851 161.8264
122.314461 93.833 161.8989
122.680672 93.815 161.9719
123.046883 93.798 162.0455
123.413094 93.781 162.1198
123.779305 93.764 162.1948
124.145516 93.747 162.2706
124.511727 93.730 162.3474
124.877938 93.713 162.4252
125.244149 93.696 162.5039
125.610360 93.678 162.5835
125.976571 93.661 162.6640
126.342782 93.644 162.7453
126.708993 93.626 162.8273
127.075204 93.609 162.9100
127.441415 93.591 162.9932
127.807626 93.574 163.0768
128.173837 93.556 163.1606
128.540048 93.538 163.2443
128.906259 93.521 163.3276
129.272470 93.503 163.4106
129.638681 93.486 163.4929
130.004892 93.469 163.5746
130.371103 93.452 163.6559
130.737314 93.436 163.7368
131.103525 93.420 163.8179
131.469736 93.404 163.8995
131.835947 93.388 163.9819
132.202158 93.373 164.0655
132.568369 93.357 164.1502
132.934579 93.341 164.2361
133.300790 93.326 164.3229
133.667001 93.310 164.4104
134.033212 93.293 164.4982
134.399423 93.277 164.5861
134.765634 93.261 164.6741
135.131845 93.244 164.7622
135.498056 93.228 164.8508
135.864267 93.211 164.9400
136.230478 93.194 165.0302
136.596689 93.177 165.1216
136.962900 93.160 165.2142
137.329111 93.143 165.3080
137.695322 93.126 165.4025
138.061533 93.110 165.4972
138.427744 93.093 165.5917
138.793955 93.076 165.6854
139.160166 93.060 165.7779
139.526377 93.044 165.8689
139.892588 93.029 165.9585
140.258799 93.013 166.0472
140.625010 92.998 166.1356
140.991221 92.983 166.2245
141.357432 92.968 166.3147
141.723643 92.952 166.4067
142.089854 92.937 166.5008
142.456065 92.921 166.5966
142.822276 92.905 166.6934
143.188487 92.889 166.7904
143.554698 92.873 166.8865
143.920909 92.857 166.9807
144.287119 92.842 167.0724
144.653330 92.826 167.1613
145.019541 92.811 167.2478
145.385752 92.796 167.3324
145.751963 92.781 167.4161
146.118174 92.766 167.4998
146.484385 92.751 167.5841
146.850596 92.736 167.6694
147.216807 92.721 167.7559
147.583018 92.706 167.8436
147.949229 92.690 167.9323
148.315440 92.675 168.0219
148.681651 92.659 168.1125
149.047862 92.644 168.2042
149.414073 92.628 168.2971
149.780284 92.612 168.3917
150.146495 92.596 168.4879
150.512706 92.580 168.5858
150.878917 92.564 168.6851
151.245128 92.548 168.7853
151.611339 92.532 168.8855
151.977550 92.515 168.9850
152.343761 92.499 169.0828
152.709972 92.483 169.1784
153.076183 92.467 169.2716
153.442394 92.451 169.3627
153.808605 92.435 169.4524
154.174816 92.420 169.5417
154.541027 92.405 169.6318
154.907238 92.390 169.7242
155.273448 92.375 169.8198
155.639659 92.360 169.9196
156.005870 92.346 170.0244
156.372081 92.332 170.1344
156.738292 92.317 170.2498
157.104503 92.303 170.3707
157.470714 92.288 170.4969
157.836925 92.273 170.6287
158.203136 92.258 170.7661
158.569347 92.243 170.9094
158.935558 92.227 171.0592
159.301769 92.211 171.2157
159.667980 92.195 171.3790
160.034191 92.178 171.5490
160.400402 92.161 171.7248
160.766613 92.145 171.9049
161.132824 92.128 172.0873
161.499035 92.112 172.2697
161.865246 92.096 172.4492
162.231457 92.080 172.6233
162.597668 92.065 172.7897
162.963879 92.051 172.9468
163.330090 92.037 173.0941
163.696301 92.023 173.2319
164.062512 92.010 173.3615
164.428723 91.998 173.4852
164.794934 91.987 173.6057
165.161145 91.976 173.7257
165.527356 91.965 173.8481
165.893567 91.955 173.9748
166.259778 91.946 174.1071
166.625988 91.936 174.2452
166.992199 91.927 174.3886
167.358410 91.918 174.5360
167.724621 91.908 174.6856
168.090832 91.898 174.8352
168.457043 91.887 174.9831
168.823254 91.876 175.1275
169.189465 91.863 175.2675
169.555676 91.850 175.4026
169.921887 91.836 175.5329
170.288098 91.821 175.6591
170.654309 91.807 175.7823
171.020520 91.792 175.9037
171.386731 91.777 176.0249
171.752942 91.762 176.1474
172.119153 91.746 176.2727
