* Measurement data measured by REW V5.31
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 7, 2024 12:37:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop DUSK  FTWS L
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 99.356 23.9912
20.287556 99.424 23.1905
20.434568 99.524 21.8230
20.582645 99.642 19.9453
20.731796 99.769 17.6229
20.882027 99.888 14.9534
21.033346 99.988 12.0338
21.185763 100.056 9.0055
21.339284 100.082 6.0277
21.493917 100.060 3.2376
21.649671 99.982 0.8186
21.806553 99.849 -1.0800
21.964572 99.667 -2.2992
22.123737 99.451 -2.6881
22.284054 99.225 -2.1649
22.445534 99.026 -0.7084
22.608183 98.887 1.5853
22.772012 98.844 4.4499
22.937027 98.908 7.5494
23.103238 99.066 10.4757
23.270654 99.289 12.9229
23.439282 99.534 14.7180
23.609133 99.758 15.8141
23.780215 99.931 16.2881
23.952536 100.032 16.2620
24.126106 100.054 15.8849
24.300934 100.002 15.3214
24.477028 99.889 14.7056
24.654399 99.738 14.1703
24.833055 99.575 13.7914
25.013005 99.436 13.6029
25.194260 99.345 13.5772
25.376828 99.325 13.6251
25.560719 99.378 13.6433
25.745942 99.493 13.5217
25.932508 99.647 13.2049
26.120426 99.810 12.6865
26.309705 99.956 12.0164
26.500356 100.060 11.2878
26.692388 100.110 10.6045
26.885812 100.101 10.0828
27.080638 100.039 9.8087
27.276876 99.938 9.8436
27.474535 99.818 10.1862
27.673627 99.702 10.7791
27.874161 99.609 11.4940
28.076149 99.553 12.1718
28.279600 99.534 12.6416
28.484526 99.545 12.7826
28.690937 99.570 12.5375
28.898843 99.595 11.9278
29.108256 99.604 11.0405
29.319186 99.591 10.0007
29.531645 99.556 8.9475
29.745644 99.502 8.0124
29.961193 99.439 7.2879
30.178304 99.380 6.8201
30.396989 99.334 6.5965
30.617258 99.307 6.5567
30.839123 99.300 6.6093
31.062596 99.306 6.6657
31.287688 99.316 6.6548
31.514412 99.320 6.5464
31.742778 99.312 6.3440
31.972800 99.288 6.0799
32.204488 99.253 5.7925
32.437855 99.214 5.5163
32.672913 99.181 5.2654
32.909674 99.160 5.0337
33.148151 99.155 4.7981
33.388356 99.163 4.5348
33.630302 99.177 4.2306
33.874001 99.188 3.8925
34.119466 99.189 3.5469
34.366710 99.174 3.2317
34.615745 99.145 2.9861
34.866585 99.107 2.8330
35.119243 99.066 2.7745
35.373731 99.032 2.7874
35.630064 99.009 2.8328
35.888254 98.998 2.8698
36.148315 99.000 2.8653
36.410261 99.010 2.8059
36.674104 99.023 2.6951
36.939860 99.037 2.5474
37.207542 99.051 2.3797
37.477163 99.064 2.2034
37.748738 99.073 2.0244
38.022281 99.080 1.8456
38.297806 99.080 1.6732
38.575327 99.075 1.5186
38.854860 99.064 1.3956
39.136419 99.049 1.3144
39.420017 99.033 1.2717
39.705671 99.021 1.2450
39.993395 99.014 1.1973
40.283203 99.010 1.0875
40.575112 99.005 0.8853
40.869136 98.995 0.5868
41.165290 98.979 0.2160
41.463591 98.960 -0.1856
41.764053 98.944 -0.5751
42.066693 98.943 -0.9273
42.371525 98.964 -1.2471
42.678567 99.008 -1.5627
42.987834 99.067 -1.9027
43.299341 99.126 -2.2736
43.613106 99.167 -2.6461
43.929145 99.177 -2.9599
44.247473 99.152 -3.1479
44.568109 99.100 -3.1731
44.891068 99.035 -3.0550
45.216367 98.971 -2.8720
45.544023 98.920 -2.7341
45.874054 98.882 -2.7380
46.206476 98.853 -2.9255
46.541307 98.827 -3.2694
46.878565 98.802 -3.6938
47.218266 98.779 -4.1139
47.560429 98.761 -4.4713
47.905072 98.751 -4.7449
48.252212 98.744 -4.9388
48.601867 98.736 -5.0639
48.954056 98.724 -5.1290
49.308798 98.708 -5.1491
49.666109 98.691 -5.1556
50.026010 98.678 -5.1951
50.388520 98.668 -5.3095
50.753656 98.658 -5.5115
51.121437 98.645 -5.7752
51.491884 98.629 -6.0530
51.865016 98.614 -6.3047
52.240851 98.602 -6.5185
52.619410 98.590 -6.7049
53.000712 98.573 -6.8737
53.384777 98.545 -7.0196
53.771625 98.508 -7.1355
54.161276 98.469 -7.2419
54.553751 98.436 -7.4003
54.949070 98.412 -7.6816
55.347254 98.389 -8.1079
55.748323 98.356 -8.6084
56.152298 98.309 -9.0396
56.559201 98.258 -9.2630
56.969052 98.221 -9.2324
57.381873 98.209 -9.0254
57.797686 98.221 -8.7901
58.216512 98.239 -8.6479
58.638373 98.245 -8.6342
59.063291 98.232 -8.7141
59.491288 98.201 -8.8403
59.922386 98.164 -8.9984
60.356608 98.128 -9.2070
60.793977 98.097 -9.4804
61.234515 98.068 -9.7951
61.678246 98.039 -10.0914
62.125192 98.012 -10.3096
62.575377 97.993 -10.4325
63.028824 97.980 -10.4944
63.485557 97.969 -10.5443
63.945599 97.952 -10.5994
64.408975 97.928 -10.6351
64.875709 97.904 -10.6263
65.345825 97.888 -10.5891
65.819348 97.881 -10.5715
66.296302 97.871 -10.6070
66.776713 97.849 -10.7023
67.260604 97.817 -10.8752
67.748002 97.784 -11.1651
68.238932 97.760 -11.5587
68.733420 97.759 -11.9179
69.231490 97.806 -12.0562
69.733170 97.919 -11.9479
70.238485 98.077 -11.8064
70.747463 98.210 -11.8731
71.260128 98.241 -12.1517
71.776508 98.142 -12.4163
72.296630 97.953 -12.4650
72.820521 97.757 -12.3431
73.348209 97.615 -12.2814
73.879720 97.536 -12.4039
74.415083 97.495 -12.5964
74.954326 97.473 -12.6832
75.497475 97.457 -12.6348
76.044561 97.437 -12.5632
76.595612 97.407 -12.5776
77.150655 97.369 -12.7011
77.709720 97.334 -12.8951
78.272837 97.307 -13.1037
78.840034 97.290 -13.2736
79.411342 97.281 -13.3848
79.986789 97.282 -13.4775
80.566406 97.290 -13.6195
81.150224 97.296 -13.8265
81.738272 97.291 -14.0210
82.330581 97.267 -14.0735
82.927182 97.229 -13.8827
83.528107 97.183 -13.4627
84.133386 97.137 -12.9959
84.743051 97.091 -12.7659
85.357134 97.033 -12.9364
85.975667 96.963 -13.3898
86.598682 96.902 -13.8130
87.226212 96.875 -13.9332
87.858289 96.875 -13.6268
88.494946 96.876 -12.9150
89.136217 96.866 -12.0423
89.782135 96.845 -11.4884
90.432733 96.811 -11.6461
91.088046 96.761 -12.4465
91.748108 96.715 -13.4438
92.412952 96.695 -14.2288
93.082615 96.696 -14.6574
93.757130 96.688 -14.7877
94.436533 96.654 -14.7747
95.120859 96.598 -14.8003
95.810144 96.534 -14.9430
96.504423 96.482 -15.1098
97.203734 96.456 -15.1600
97.908112 96.456 -15.0745
98.617595 96.464 -14.9647
99.332219 96.464 -14.9489
100.052021 96.453 -15.0560
100.777039 96.433 -15.2324
101.507311 96.393 -15.4102
102.242875 96.311 -15.5497
102.983769 96.192 -15.6300
103.730032 96.074 -15.6392
104.481702 95.997 -15.5643
105.238820 95.966 -15.4543
106.001424 95.966 -15.5800
106.769554 95.994 -16.3051
107.543250 96.094 -17.6259
108.322553 96.298 -19.0845
109.107503 96.525 -20.0890
109.898141 96.611 -20.0608
110.694508 96.477 -18.7054
111.496646 96.172 -16.4054
112.304596 95.796 -13.9177
113.118402 95.464 -11.9133
113.938104 95.242 -10.8394
114.763747 95.156 -10.4592
115.595372 95.291 -10.5241
116.433024 95.666 -11.8780
117.276746 96.115 -15.1453
118.126581 96.487 -19.6061
118.982575 96.705 -23.7032
119.844772 96.706 -25.2851
120.713217 96.501 -22.3687
121.587954 96.195 -15.2009
122.469031 95.882 -7.3072
123.356492 95.648 -3.2166
124.250384 95.588 -5.2228
125.150753 95.691 -11.0445
126.057647 95.799 -15.7035
126.971113 95.747 -17.1095
127.891198 95.471 -16.5560
128.817950 95.123 -15.2279
129.751418 95.043 -13.3328
130.691651 95.313 -11.7086
131.638696 95.625 -11.2930
132.592604 95.781 -12.1686
133.553425 95.837 -13.8720
134.521208 95.856 -15.2853
135.496004 95.803 -15.1199
136.477864 95.690 -13.2706
137.466839 95.604 -11.3728
138.462981 95.538 -10.9636
139.466340 95.414 -11.5554
140.476971 95.231 -11.8662
141.494925 95.084 -11.5420
142.520256 95.034 -11.2573
143.553016 95.026 -11.4672
144.593260 95.008 -11.7524
145.641043 94.992 -11.9110
146.696418 94.977 -12.0073
147.759441 94.962 -12.0433
148.830166 94.941 -12.1037
149.908651 94.903 -12.0335
150.994951 94.863 -11.6912
152.089123 94.826 -11.3286
153.191223 94.780 -11.1850
154.301310 94.738 -11.1779
155.419441 94.719 -11.1665
156.545674 94.714 -11.0115
157.680069 94.713 -10.7656
158.822683 94.706 -10.5921
159.973578 94.691 -10.4106
161.132813 94.677 -10.1919
162.300447 94.662 -10.0903
163.476543 94.645 -10.0645
164.661162 94.641 -10.0083
165.854364 94.635 -9.9298
167.056213 94.602 -9.8273
168.266772 94.542 -9.7259
169.486102 94.483 -9.5536
170.714268 94.458 -9.1804
171.951334 94.470 -8.7557
173.197364 94.495 -8.5371
174.452424 94.511 -8.5029
175.716578 94.517 -8.4238
176.989893 94.514 -8.2214
178.272434 94.504 -7.9452
179.564270 94.494 -7.6752
180.865467 94.486 -7.4984
182.176092 94.484 -7.4367
183.496216 94.489 -7.4618
184.825905 94.498 -7.5303
186.165229 94.513 -7.5863
187.514259 94.535 -7.5549
188.873065 94.556 -7.4339
190.241717 94.559 -7.3182
191.620287 94.530 -7.2446
193.008847 94.474 -7.1074
194.407468 94.416 -6.7929
195.816225 94.377 -6.4105
197.235190 94.357 -6.1363
198.664438 94.366 -5.9737
200.104042 94.396 -5.8519
201.554078 94.422 -5.7333
203.014622 94.429 -5.6914
204.485750 94.419 -5.7403
205.967538 94.405 -5.8136
207.460064 94.395 -5.8367
208.963405 94.392 -5.7690
210.477640 94.392 -5.6783
212.002848 94.389 -5.6359
213.539108 94.380 -5.6274
215.086500 94.363 -5.6308
216.645105 94.339 -5.6050
218.215005 94.312 -5.4971
219.796281 94.292 -5.3187
221.389015 94.282 -5.1227
222.993292 94.274 -4.9263
224.609193 94.263 -4.7376
226.236804 94.252 -4.5880
227.876209 94.242 -4.4982
229.527494 94.230 -4.4622
231.190745 94.214 -4.4280
232.866048 94.198 -4.3594
234.553491 94.188 -4.2724
236.253163 94.184 -4.1764
237.965150 94.181 -4.0479
239.689544 94.171 -3.8538
241.426433 94.153 -3.6197
243.175909 94.132 -3.4206
244.938062 94.115 -3.2989
246.712984 94.108 -3.2251
248.500768 94.106 -3.1315
250.301507 94.103 -2.9829
252.115295 94.093 -2.7999
253.942226 94.079 -2.6170
255.782396 94.069 -2.4593
257.635901 94.065 -2.3164
259.502837 94.062 -2.1773
261.383301 94.056 -2.0617
263.277392 94.050 -1.9579
265.185209 94.049 -1.8074
267.106850 94.049 -1.6168
269.042417 94.047 -1.4417
270.992009 94.041 -1.2843
272.955729 94.031 -1.1417
274.933678 94.021 -1.0177
276.925961 94.016 -0.8573
278.932681 94.020 -0.6662
280.953942 94.034 -0.4425
282.989850 94.054 -0.1607
285.040511 94.072 0.1452
287.106032 94.082 0.4042
289.186521 94.080 0.5602
291.282086 94.068 0.6111
293.392836 94.055 0.6384
295.518881 94.048 0.7768
297.660333 94.056 1.0492
299.817302 94.072 1.2984
301.989902 94.084 1.4639
304.178245 94.094 1.6110
306.382446 94.105 1.7813
308.602620 94.118 1.9625
310.838882 94.130 2.1102
313.091348 94.140 2.2185
315.360137 94.149 2.3117
317.645367 94.157 2.3990
319.947156 94.162 2.4807
322.265625 94.167 2.5568
324.600895 94.171 2.6182
326.953086 94.175 2.6600
329.322323 94.180 2.6927
331.708729 94.186 2.7286
334.112427 94.192 2.7804
336.533543 94.198 2.8512
338.972204 94.200 2.9298
341.428536 94.201 3.0080
343.902668 94.200 3.0833
346.394729 94.199 3.1571
348.904848 94.196 3.2258
351.433156 94.194 3.2902
353.979786 94.192 3.3605
