* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 10, 2023 9:28:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop KATO - R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.006 -166.9317
20.507813 90.973 -167.0453
20.874023 90.878 -167.1703
21.240234 90.761 -167.4257
21.606445 90.652 -167.8852
21.972656 90.572 -168.5659
22.338867 90.543 -169.4252
22.705078 90.554 -170.2519
23.071289 90.597 -170.8264
23.437500 90.668 -171.0041
23.803711 90.753 -170.7572
24.169922 90.848 -170.2276
24.536133 90.939 -169.6378
24.902344 91.007 -169.1879
25.268555 91.044 -169.0044
25.634766 91.046 -169.0797
26.000977 91.026 -169.3394
26.367188 91.002 -169.7238
26.733399 90.990 -170.1306
27.099610 90.995 -170.5269
27.465821 91.011 -170.9066
27.832032 91.025 -171.2157
28.198243 91.029 -171.4606
28.564454 91.021 -171.6482
28.930665 91.001 -171.7958
29.296876 90.981 -171.9667
29.663087 90.963 -172.1770
30.029298 90.951 -172.4283
30.395509 90.950 -172.7155
30.761720 90.954 -172.9816
31.127931 90.961 -173.2051
31.494142 90.968 -173.3849
31.860353 90.971 -173.5211
32.226563 90.969 -173.6380
32.592774 90.961 -173.7591
32.958985 90.948 -173.8978
33.325196 90.936 -174.0694
33.691407 90.928 -174.2552
34.057618 90.924 -174.4459
34.423829 90.926 -174.6451
34.790040 90.930 -174.8293
35.156251 90.932 -175.0009
35.522462 90.929 -175.1586
35.888673 90.920 -175.2904
36.254884 90.907 -175.4094
36.621095 90.891 -175.5184
36.987306 90.876 -175.6259
37.353517 90.867 -175.7594
37.719728 90.862 -175.9067
38.085939 90.857 -176.0639
38.452150 90.851 -176.2252
38.818361 90.844 -176.3649
39.184572 90.837 -176.4849
39.550783 90.829 -176.5916
39.916994 90.820 -176.6914
40.283205 90.811 -176.8036
40.649416 90.801 -176.9244
41.015627 90.788 -177.0466
41.381838 90.774 -177.1661
41.748049 90.761 -177.2748
42.114260 90.749 -177.3787
42.480471 90.738 -177.4882
42.846682 90.729 -177.5951
43.212893 90.719 -177.7033
43.579103 90.708 -177.8066
43.945314 90.695 -177.8965
44.311525 90.684 -177.9796
44.677736 90.674 -178.0572
45.043947 90.665 -178.1385
45.410158 90.656 -178.2376
45.776369 90.647 -178.3399
46.142580 90.637 -178.4390
46.508791 90.627 -178.5292
46.875002 90.618 -178.6075
47.241213 90.609 -178.6869
47.607424 90.600 -178.7779
47.973635 90.588 -178.8810
48.339846 90.575 -178.9836
48.706057 90.559 -179.0700
49.072268 90.543 -179.1367
49.438479 90.531 -179.2051
49.804690 90.521 -179.2808
50.170901 90.513 -179.3769
50.537112 90.502 -179.4846
50.903323 90.486 -179.5770
51.269534 90.468 -179.6371
51.635745 90.452 -179.6630
52.001956 90.441 -179.6851
52.368167 90.436 -179.7519
52.734378 90.429 -179.8757
53.100589 90.413 179.9657
53.466800 90.388 179.8235
53.833011 90.359 179.7526
54.199222 90.336 179.7595
54.565432 90.326 179.8009
54.931643 90.329 179.8126
55.297854 90.336 179.7520
55.664065 90.337 179.6352
56.030276 90.327 179.5197
56.396487 90.311 179.4592
56.762698 90.296 179.4799
57.128909 90.288 179.5445
57.495120 90.289 179.5860
57.861331 90.293 179.5586
58.227542 90.289 179.4558
58.593753 90.273 179.3189
58.959964 90.247 179.2029
59.326175 90.216 179.1382
59.692386 90.191 179.1195
60.058597 90.174 179.1133
60.424808 90.164 179.0846
60.791019 90.156 179.0285
61.157230 90.145 178.9571
61.523441 90.131 178.8903
61.889652 90.114 178.8404
62.255863 90.095 178.7956
62.622074 90.076 178.7480
62.988285 90.057 178.6973
63.354496 90.040 178.6627
63.720707 90.024 178.6453
64.086918 90.012 178.6405
64.453129 90.004 178.6259
64.819340 89.996 178.5947
65.185551 89.987 178.5409
65.551762 89.971 178.4823
65.917972 89.949 178.4490
66.284183 89.923 178.4540
66.650394 89.902 178.4836
67.016605 89.888 178.5030
67.382816 89.880 178.4770
67.749027 89.874 178.4055
68.115238 89.864 178.3127
68.481449 89.851 178.2341
68.847660 89.837 178.1948
69.213871 89.825 178.1907
69.580082 89.815 178.1976
69.946293 89.807 178.1927
70.312504 89.798 178.1655
70.678715 89.786 178.1315
71.044926 89.770 178.1071
71.411137 89.753 178.0969
71.777348 89.738 178.0985
72.143559 89.723 178.1029
72.509770 89.708 178.1078
72.875981 89.693 178.1190
73.242192 89.679 178.1418
73.608403 89.667 178.1684
73.974614 89.659 178.1807
74.340825 89.651 178.1564
74.707036 89.642 178.0992
75.073247 89.629 178.0237
75.439458 89.610 177.9526
75.805669 89.589 177.9046
76.171880 89.569 177.8836
76.538091 89.553 177.8805
76.904301 89.540 177.8818
77.270512 89.530 177.8762
77.636723 89.521 177.8624
78.002934 89.510 177.8450
78.369145 89.496 177.8221
78.735356 89.479 177.8095
79.101567 89.460 177.8107
79.467778 89.439 177.8230
79.833989 89.421 177.8347
80.200200 89.407 177.8275
80.566411 89.396 177.7881
80.932622 89.385 177.7191
81.298833 89.371 177.6400
81.665044 89.354 177.5825
82.031255 89.335 177.5712
82.397466 89.320 177.6092
82.763677 89.310 177.6672
83.129888 89.304 177.7049
83.496099 89.297 177.6938
83.862310 89.286 177.6384
84.228521 89.269 177.5656
84.594732 89.247 177.5146
84.960943 89.225 177.5092
85.327154 89.204 177.5391
85.693365 89.189 177.5782
86.059576 89.178 177.5976
86.425787 89.168 177.5892
86.791998 89.154 177.5565
87.158209 89.137 177.5215
87.524420 89.119 177.5048
87.890631 89.105 177.5127
88.256841 89.096 177.5242
88.623052 89.091 177.5197
88.989263 89.085 177.4883
89.355474 89.072 177.4435
89.721685 89.048 177.4073
90.087896 89.014 177.4097
90.454107 88.978 177.4612
90.820318 88.947 177.5467
91.186529 88.926 177.6203
91.552740 88.915 177.6383
91.918951 88.908 177.5890
92.285162 88.899 177.5016
92.651373 88.884 177.4298
93.017584 88.866 177.4175
93.383795 88.851 177.4660
93.750006 88.842 177.5453
94.116217 88.838 177.6036
94.482428 88.834 177.6085
94.848639 88.824 177.5708
95.214850 88.807 177.5265
95.581061 88.787 177.5083
95.947272 88.768 177.5256
96.313483 88.752 177.5704
96.679694 88.741 177.6141
97.045905 88.731 177.6386
97.412116 88.719 177.6315
97.778327 88.704 177.6157
98.144538 88.685 177.6043
98.510749 88.664 177.6054
98.876960 88.642 177.6177
99.243170 88.621 177.6440
99.609381 88.602 177.6819
99.975592 88.589 177.7202
100.341803 88.580 177.7353
100.708014 88.573 177.7216
101.074225 88.564 177.6814
101.440436 88.550 177.6322
101.806647 88.531 177.5984
102.172858 88.505 177.5979
102.539069 88.478 177.6369
102.905280 88.451 177.7086
103.271491 88.429 177.7939
103.637702 88.412 177.8588
104.003913 88.399 177.8719
104.370124 88.389 177.8134
104.736335 88.376 177.7037
105.102546 88.356 177.5871
105.468757 88.331 177.5176
105.834968 88.306 177.5298
106.201179 88.287 177.6199
106.567390 88.274 177.7438
106.933601 88.264 177.8510
107.299812 88.251 177.9120
107.666023 88.232 177.9437
108.032234 88.208 177.9653
108.398445 88.186 177.9756
108.764656 88.167 177.9533
109.130867 88.150 177.8896
109.497078 88.127 177.8188
109.863289 88.096 177.8121
110.229500 88.062 177.9294
110.595710 88.038 178.1558
110.961921 88.030 178.3952
111.328132 88.034 178.5305
111.694343 88.032 178.5085
112.060554 88.009 178.3834
112.426765 87.961 178.2836
112.792976 87.899 178.3239
113.159187 87.842 178.5276
113.525398 87.805 178.8129
113.891609 87.787 179.0554
114.257820 87.774 179.1747
114.624031 87.753 179.1745
114.990242 87.716 179.1226
115.356453 87.667 179.0869
115.722664 87.616 179.1241
116.088875 87.570 179.2552
116.455086 87.535 179.4935
116.821297 87.509 179.8297
117.187508 87.497 -179.7360
117.553719 87.500 -179.2546
117.919930 87.513 -178.8174
118.286141 87.514 -178.5697
118.652352 87.506 -178.4608
119.018563 87.489 -178.4107
119.384774 87.477 -178.2701
119.750985 87.469 -178.0497
120.117196 87.473 -177.7408
120.483407 87.489 -177.3723
120.849618 87.514 -176.9633
121.215829 87.545 -176.5402
121.582040 87.579 -176.1431
121.948250 87.617 -175.8390
122.314461 87.658 -175.7067
122.680672 87.696 -175.7937
123.046883 87.722 -176.0686
123.413094 87.730 -176.4173
123.779305 87.725 -176.6833
124.145516 87.717 -176.7537
124.511727 87.723 -176.6156
124.877938 87.749 -176.3584
125.244149 87.790 -176.1141
125.610360 87.832 -175.9752
125.976571 87.862 -175.9661
126.342782 87.875 -176.0562
126.708993 87.877 -176.2144
127.075204 87.873 -176.4158
127.441415 87.869 -176.6416
127.807626 87.864 -176.8593
128.173837 87.858 -177.0252
128.540048 87.852 -177.1066
128.906259 87.851 -177.1102
129.272470 87.854 -177.0865
129.638681 87.860 -177.0985
130.004892 87.860 -177.1777
130.371103 87.849 -177.3011
130.737314 87.829 -177.4167
131.103525 87.806 -177.4816
131.469736 87.789 -177.4949
131.835947 87.783 -177.4853
132.202158 87.783 -177.4868
132.568369 87.782 -177.5083
132.934579 87.773 -177.5288
133.300790 87.756 -177.5175
133.667001 87.735 -177.4581
134.033212 87.716 -177.3622
134.399423 87.701 -177.2566
134.765634 87.692 -177.1745
135.131845 87.688 -177.1407
135.498056 87.688 -177.1729
135.864267 87.687 -177.2762
136.230478 87.683 -177.4343
136.596689 87.671 -177.5979
136.962900 87.654 -177.7021
137.329111 87.638 -177.6996
137.695322 87.632 -177.5989
138.061533 87.638 -177.4589
138.427744 87.650 -177.3560
138.793955 87.656 -177.3304
139.160166 87.646 -177.3716
139.526377 87.614 -177.4287
139.892588 87.569 -177.4475
140.258799 87.522 -177.4029
140.625010 87.487 -177.3147
140.991221 87.471 -177.2240
141.357432 87.473 -177.1668
141.723643 87.486 -177.1489
142.089854 87.500 -177.1477
142.456065 87.506 -177.1211
142.822276 87.506 -177.0281
143.188487 87.503 -176.8678
143.554698 87.506 -176.7030
143.920909 87.514 -176.6409
144.287119 87.517 -176.7691
144.653330 87.497 -177.0665
145.019541 87.442 -177.3923
145.385752 87.360 -177.5428
145.751963 87.280 -177.3876
146.118174 87.239 -176.9722
146.484385 87.253 -176.5222
146.850596 87.308 -176.2887
147.216807 87.361 -176.3654
147.583018 87.377 -176.6226
147.949229 87.346 -176.8121
148.315440 87.294 -176.7426
148.681651 87.257 -176.4285
149.047862 87.255 -176.0684
149.414073 87.277 -175.8873
149.780284 87.294 -175.9544
150.146495 87.279 -176.1539
150.512706 87.231 -176.2874
150.878917 87.171 -176.2229
151.245128 87.126 -175.9769
151.611339 87.109 -175.6786
151.977550 87.113 -175.4590
152.343761 87.124 -175.3658
152.709972 87.127 -175.3717
153.076183 87.118 -175.4282
153.442394 87.097 -175.5026
153.808605 87.065 -175.5620
154.174816 87.026 -175.5517
154.541027 86.991 -175.4082
154.907238 86.979 -175.1209
155.273448 87.005 -174.7861
155.639659 87.067 -174.5630
156.005870 87.136 -174.5694
156.372081 87.176 -174.7784
156.738292 87.166 -175.0358
157.104503 87.107 -175.1524
157.470714 87.029 -175.0436
157.836925 86.965 -174.7908
158.203136 86.930 -174.5928
158.569347 86.914 -174.6013
158.935558 86.893 -174.7912
159.301769 86.854 -174.9704
159.667980 86.810 -174.9287
160.034191 86.787 -174.5959
160.400402 86.806 -174.1166
160.766613 86.859 -173.7414
161.132824 86.911 -173.6584
161.499035 86.920 -173.8598
161.865246 86.867 -174.1625
162.231457 86.765 -174.3295
162.597668 86.658 -174.2210
162.963879 86.592 -173.8867
163.330090 86.592 -173.5306
163.696301 86.646 -173.3553
164.062512 86.718 -173.4222
164.428723 86.772 -173.6334
164.794934 86.793 -173.8055
165.161145 86.788 -173.8107
165.527356 86.775 -173.6499
165.893567 86.765 -173.4371
166.259778 86.759 -173.2921
166.625988 86.749 -173.2524
166.992199 86.730 -173.2687
