* Measurement data measured by REW V5.31.3
* Source: Headset (2- CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.400
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 9, 24 10:56:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Kadenz L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 51.686 9.8768
0.368865 51.705 9.9284
0.371538 51.732 10.0052
0.374230 51.767 10.1007
0.376942 51.805 10.2094
0.379673 51.846 10.3272
0.382424 51.889 10.4516
0.385196 51.934 10.5809
0.387987 51.978 10.7141
0.390798 52.024 10.8507
0.393630 52.070 10.9905
0.396483 52.116 11.1332
0.399356 52.163 11.2789
0.402250 52.210 11.4274
0.405165 52.257 11.5787
0.408101 52.305 11.7328
0.411058 52.353 11.8897
0.414037 52.401 12.0494
0.417037 52.450 12.2117
0.420059 52.499 12.3769
0.423103 52.548 12.5447
0.426169 52.598 12.7152
0.429257 52.648 12.8883
0.432368 52.699 13.0640
0.435501 52.750 13.2423
0.438656 52.801 13.4231
0.441835 52.853 13.6065
0.445037 52.905 13.7922
0.448262 52.957 13.9804
0.451510 53.010 14.1709
0.454782 53.063 14.3637
0.458077 53.116 14.5588
0.461397 53.170 14.7560
0.464740 53.225 14.9553
0.468108 53.279 15.1567
0.471500 53.334 15.3600
0.474917 53.390 15.5652
0.478358 53.446 15.7722
0.481825 53.502 15.9810
0.485316 53.559 16.1913
0.488833 53.616 16.4032
0.492375 53.673 16.6166
0.495943 53.731 16.8313
0.499537 53.790 17.0472
0.503157 53.848 17.2642
0.506803 53.908 17.4823
0.510475 53.967 17.7012
0.514175 54.027 17.9210
0.517900 54.088 18.1413
0.521653 54.149 18.3622
0.525434 54.210 18.5834
0.529241 54.272 18.8049
0.533076 54.334 19.0265
0.536939 54.397 19.2480
0.540830 54.460 19.4693
0.544749 54.524 19.6903
0.548696 54.588 19.9108
0.552673 54.653 20.1306
0.556677 54.718 20.3496
0.560711 54.783 20.5676
0.564774 54.849 20.7845
0.568867 54.916 21.0000
0.572989 54.983 21.2140
0.577141 55.050 21.4264
0.581324 55.118 21.6369
0.585536 55.187 21.8454
0.589779 55.256 22.0517
0.594053 55.325 22.2556
0.598358 55.395 22.4570
0.602694 55.465 22.6556
0.607061 55.536 22.8514
0.611460 55.608 23.0440
0.615891 55.680 23.2334
0.620354 55.752 23.4193
0.624849 55.825 23.6016
0.629377 55.899 23.7802
0.633938 55.973 23.9547
0.638532 56.048 24.1252
0.643159 56.123 24.2913
0.647819 56.198 24.4529
0.652514 56.275 24.6099
0.657242 56.352 24.7622
0.662005 56.429 24.9095
0.666802 56.507 25.0517
0.671634 56.585 25.1886
0.676501 56.664 25.3202
0.681403 56.744 25.4463
0.686341 56.824 25.5667
0.691314 56.905 25.6814
0.696324 56.987 25.7903
0.701370 57.069 25.8934
0.706452 57.152 25.9906
0.711571 57.236 26.0821
0.716728 57.322 26.1683
0.721921 57.409 26.2497
0.727153 57.498 26.3271
0.732422 57.589 26.4017
0.737729 57.684 26.4749
0.743075 57.781 26.5479
0.748460 57.881 26.6219
0.753883 57.983 26.6972
0.759346 58.087 26.7743
0.764849 58.193 26.8531
0.770391 58.301 26.9335
0.775974 58.410 27.0151
0.781597 58.521 27.0977
0.787261 58.634 27.1809
0.792966 58.748 27.2644
0.798712 58.864 27.3478
0.804500 58.981 27.4307
0.810329 59.100 27.5127
0.816201 59.221 27.5935
0.822116 59.343 27.6728
0.828073 59.466 27.7502
0.834074 59.591 27.8253
0.840118 59.718 27.8979
0.846206 59.846 27.9675
0.852338 59.975 28.0340
0.858514 60.105 28.0968
0.864735 60.237 28.1559
0.871001 60.371 28.2108
0.877313 60.505 28.2613
0.883670 60.641 28.3071
0.890074 60.778 28.3478
0.896524 60.916 28.3833
0.903020 61.056 28.4133
0.909564 61.196 28.4374
0.916155 61.337 28.4556
0.922794 61.480 28.4674
0.929481 61.623 28.4727
0.936216 61.768 28.4712
0.943000 61.913 28.4627
0.949834 62.059 28.4471
0.956717 62.206 28.4240
0.963649 62.353 28.3933
0.970632 62.501 28.3548
0.977666 62.650 28.3082
0.984750 62.799 28.2534
0.991886 62.948 28.1903
0.999074 63.098 28.1186
1.006314 63.248 28.0381
1.013606 63.398 27.9487
1.020951 63.548 27.8503
1.028349 63.699 27.7427
1.035801 63.849 27.6258
1.043307 63.999 27.4994
1.050867 64.148 27.3636
1.058482 64.298 27.2183
1.066152 64.447 27.0637
1.073878 64.595 26.9001
1.081660 64.743 26.7282
1.089498 64.891 26.5487
1.097393 65.038 26.3631
1.105345 65.185 26.1730
1.113355 65.332 25.9798
1.121423 65.479 25.7849
1.129549 65.626 25.5893
1.137734 65.773 25.3932
1.145979 65.921 25.1971
1.154283 66.069 25.0008
1.162647 66.217 24.8043
1.171072 66.365 24.6073
1.179558 66.513 24.4096
1.188106 66.662 24.2110
1.196715 66.811 24.0112
1.205387 66.961 23.8099
1.214122 67.110 23.6069
1.222920 67.260 23.4019
1.231782 67.410 23.1946
1.240708 67.560 22.9848
1.249699 67.710 22.7722
1.258754 67.861 22.5566
1.267876 68.011 22.3377
1.277063 68.162 22.1152
1.286318 68.313 21.8889
1.295639 68.464 21.6586
1.305027 68.616 21.4239
1.314484 68.767 21.1847
1.324009 68.919 20.9407
1.333604 69.070 20.6916
1.343268 69.222 20.4373
1.353002 69.374 20.1773
1.362806 69.526 19.9116
1.372681 69.678 19.6399
1.382628 69.830 19.3619
1.392647 69.982 19.0774
1.402739 70.134 18.7863
1.412904 70.287 18.4885
1.423142 70.439 18.1838
1.433455 70.591 17.8725
1.443843 70.743 17.5549
1.454305 70.895 17.2317
1.464844 71.047 16.9037
1.475459 71.199 16.5722
1.486150 71.350 16.2382
1.496920 71.502 15.9027
1.507767 71.652 15.5662
1.518693 71.803 15.2291
1.529698 71.953 14.8914
1.540783 72.103 14.5530
1.551948 72.252 14.2137
1.563194 72.402 13.8733
1.574521 72.550 13.5316
1.585931 72.699 13.1882
1.597423 72.847 12.8428
1.608999 72.995 12.4952
1.620658 73.142 12.1450
1.632402 73.290 11.7920
1.644232 73.437 11.4357
1.656146 73.584 11.0760
1.668147 73.730 10.7123
1.680235 73.876 10.3445
1.692411 74.023 9.9722
1.704675 74.169 9.5951
1.717028 74.314 9.2128
1.729470 74.460 8.8250
1.742003 74.606 8.4314
1.754626 74.751 8.0317
1.767341 74.897 7.6255
1.780147 75.042 7.2128
1.793047 75.187 6.7934
1.806040 75.332 6.3672
1.819128 75.477 5.9345
1.832310 75.622 5.4958
1.845587 75.766 5.0517
1.858961 75.910 4.6028
1.872432 76.054 4.1498
1.886001 76.197 3.6933
1.899667 76.339 3.2337
1.913433 76.481 2.7713
1.927299 76.622 2.3063
1.941265 76.762 1.8389
1.955332 76.902 1.3693
1.969501 77.042 0.8975
1.983773 77.180 0.4236
1.998148 77.319 -0.0523
2.012627 77.457 -0.5304
2.027212 77.594 -1.0106
2.041902 77.731 -1.4929
2.056698 77.868 -1.9775
2.071602 78.004 -2.4645
2.086614 78.140 -2.9539
2.101734 78.275 -3.4460
2.116964 78.410 -3.9409
2.132304 78.545 -4.4389
2.147756 78.680 -4.9401
2.163320 78.814 -5.4448
2.178996 78.949 -5.9531
2.194786 79.082 -6.4654
2.210690 79.215 -6.9817
2.226710 79.348 -7.5019
2.242845 79.480 -8.0260
2.259098 79.611 -8.5537
2.275468 79.742 -9.0847
2.291957 79.871 -9.6187
2.308566 80.000 -10.1554
2.325295 80.129 -10.6944
2.342145 80.256 -11.2354
2.359117 80.383 -11.7782
2.376212 80.509 -12.3226
2.393431 80.635 -12.8683
2.410775 80.760 -13.4151
2.428244 80.885 -13.9630
2.445840 81.009 -14.5118
2.463564 81.132 -15.0615
2.481416 81.255 -15.6122
2.499397 81.378 -16.1638
2.517509 81.500 -16.7167
2.535752 81.622 -17.2710
2.554127 81.744 -17.8273
2.572635 81.864 -18.3860
2.591277 81.984 -18.9475
2.610055 82.104 -19.5121
2.628968 82.222 -20.0798
2.648019 82.340 -20.6505
2.667208 82.457 -21.2240
2.686535 82.573 -21.7997
2.706003 82.688 -22.3774
2.725612 82.803 -22.9566
2.745363 82.916 -23.5367
2.765257 83.029 -24.1176
2.785295 83.142 -24.6987
2.805478 83.254 -25.2798
2.825808 83.365 -25.8606
2.846285 83.476 -26.4410
2.866910 83.586 -27.0208
2.887685 83.696 -27.6003
2.908611 83.805 -28.1797
2.929688 83.914 -28.7596
2.950917 84.022 -29.3404
2.972301 84.129 -29.9229
2.993839 84.236 -30.5072
3.015534 84.341 -31.0934
3.037386 84.446 -31.6815
3.059396 84.550 -32.2710
3.081565 84.654 -32.8616
3.103896 84.756 -33.4528
3.126388 84.858 -34.0441
3.149043 84.959 -34.6351
3.171862 85.060 -35.2255
3.194847 85.160 -35.8148
3.217998 85.259 -36.4028
3.241317 85.358 -36.9894
3.264805 85.457 -37.5748
3.288463 85.555 -38.1592
3.312293 85.652 -38.7432
3.336295 85.749 -39.3273
3.360471 85.845 -39.9119
3.384822 85.940 -40.4973
3.409350 86.035 -41.0833
3.434056 86.129 -41.6698
3.458940 86.222 -42.2565
3.484005 86.314 -42.8429
3.509252 86.406 -43.4288
3.534681 86.497 -44.0138
3.560295 86.588 -44.5975
3.586094 86.679 -45.1797
3.612081 86.769 -45.7604
3.638255 86.858 -46.3397
3.664620 86.947 -46.9177
3.691175 87.036 -47.4950
3.717923 87.123 -48.0720
3.744864 87.211 -48.6489
3.772001 87.297 -49.2257
3.799335 87.383 -49.8025
3.826866 87.469 -50.3790
3.854597 87.554 -50.9549
3.882529 87.638 -51.5301
3.910664 87.722 -52.1043
3.939002 87.805 -52.6772
3.967546 87.888 -53.2487
3.996296 87.971 -53.8190
4.025255 88.053 -54.3881
4.054423 88.135 -54.9563
4.083804 88.216 -55.5239
4.113396 88.297 -56.0912
4.143204 88.377 -56.6582
4.173227 88.456 -57.2250
4.203468 88.536 -57.7912
4.233928 88.614 -58.3569
4.264609 88.692 -58.9217
4.295512 88.770 -59.4856
4.326639 88.847 -60.0484
4.357992 88.924 -60.6101
4.389572 89.001 -61.1710
4.421380 89.077 -61.7312
4.453419 89.152 -62.2909
4.485691 89.227 -62.8503
4.518196 89.302 -63.4095
4.550936 89.375 -63.9684
4.583914 89.449 -64.5267
4.617131 89.522 -65.0844
4.650589 89.595 -65.6411
4.684289 89.667 -66.1969
4.718233 89.738 -66.7516
4.752424 89.809 -67.3054
4.786862 89.880 -67.8585
4.821549 89.950 -68.4110
4.856488 90.020 -68.9630
4.891680 90.089 -69.5146
4.927127 90.158 -70.0658
4.962831 90.226 -70.6162
4.998794 90.294 -71.1657
5.035017 90.361 -71.7142
5.071503 90.428 -72.2616
5.108253 90.494 -72.8078
5.145270 90.560 -73.3530
5.182555 90.626 -73.8974
5.220110 90.690 -74.4410
5.257937 90.755 -74.9839
5.296038 90.819 -75.5261
5.334415 90.882 -76.0675
5.373071 90.945 -76.6079
5.412006 91.008 -77.1471
5.451224 91.070 -77.6852
5.490725 91.132 -78.2221
5.530514 91.193 -78.7580
5.570590 91.254 -79.2929
5.610957 91.314 -79.8271
5.651616 91.374 -80.3605
5.692570 91.434 -80.8930
5.733821 91.493 -81.4247
5.775370 91.551 -81.9554
5.817221 91.609 -82.4852
5.859375 91.667 -83.0141
5.901834 91.725 -83.5423
5.944602 91.782 -84.0697
5.987679 91.838 -84.5965
6.031068 91.894 -85.1226
6.074771 91.950 -85.6481
6.118792 92.005 -86.1728
6.163131 92.059 -86.6968
6.207792 92.114 -87.2200
6.252776 92.167 -87.7426
6.298086 92.221 -88.2647
6.343725 92.273 -88.7861
6.389694 92.325 -89.3069
6.435996 92.377 -89.8269
6.482634 92.428 -90.3459
6.529610 92.479 -90.8638
6.576926 92.529 -91.3806
6.624585 92.578 -91.8961
6.672590 92.627 -92.4105
6.720942 92.675 -92.9237
6.769645 92.722 -93.4354
