* Measurement data measured by REW V5.20.13
* Source: Headset (CX31993 HIFI AUDIO), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2023 2:53:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Lan CX31993 L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.445 -164.5764
20.507813 89.446 -164.8051
20.874023 89.445 -165.4126
21.240234 89.431 -166.0261
21.606445 89.407 -166.5951
21.972656 89.388 -167.1515
22.338867 89.383 -167.7225
22.705078 89.393 -168.3416
23.071289 89.408 -168.9994
23.437500 89.417 -169.6146
23.803711 89.416 -170.0881
24.169922 89.412 -170.3963
24.536133 89.413 -170.6434
24.902344 89.410 -171.0113
25.268555 89.384 -171.6268
25.634766 89.311 -172.4512
26.000977 89.188 -173.2847
26.367188 89.045 -173.8970
26.733399 88.932 -174.1917
27.099610 88.893 -174.2788
27.465821 88.937 -174.3880
27.832032 89.033 -174.6969
28.198243 89.136 -175.2193
28.564454 89.214 -175.8334
28.930665 89.256 -176.3959
29.296876 89.268 -176.8318
29.663087 89.260 -177.1412
30.029298 89.240 -177.3541
30.395509 89.213 -177.5034
30.761720 89.188 -177.6436
31.127931 89.166 -177.8684
31.494142 89.142 -178.2711
31.860353 89.100 -178.8557
32.226563 89.037 -179.4861
32.592774 88.978 -179.9594
32.958985 88.975 179.8231
33.325196 89.074 179.7300
33.691407 89.275 179.4637
34.057618 89.517 178.7935
34.423829 89.712 177.7679
34.790040 89.797 176.7188
35.156251 89.755 176.0414
35.522462 89.617 175.9035
35.888673 89.430 176.1028
36.254884 89.219 176.1988
36.621095 88.977 175.8453
36.987306 88.682 175.0746
37.353517 88.342 174.2978
37.719728 88.027 173.9971
38.085939 87.848 174.3379
38.452150 87.887 175.0240
38.818361 88.116 175.5295
39.184572 88.414 175.5053
39.550783 88.661 175.0123
39.916994 88.795 174.4175
40.283205 88.818 174.0915
40.649416 88.776 174.1561
41.015627 88.723 174.4460
41.381838 88.687 174.6702
41.748049 88.666 174.6275
42.114260 88.648 174.3172
42.480471 88.621 173.8895
42.846682 88.592 173.5084
43.212893 88.570 173.2477
43.579103 88.561 173.0806
43.945314 88.560 172.9402
44.311525 88.557 172.7831
44.677736 88.544 172.6091
45.043947 88.522 172.4401
45.410158 88.493 172.2933
45.776369 88.465 172.1711
46.142580 88.440 172.0668
46.508791 88.419 171.9696
46.875002 88.405 171.8616
47.241213 88.395 171.7163
47.607424 88.388 171.5095
47.973635 88.378 171.2383
48.339846 88.360 170.9332
48.706057 88.335 170.6465
49.072268 88.305 170.4222
49.438479 88.276 170.2684
49.804690 88.249 170.1547
50.170901 88.220 170.0372
50.537112 88.184 169.8918
50.903323 88.136 169.7303
51.269534 88.078 169.5867
51.635745 88.022 169.4863
52.001956 87.978 169.4219
52.368167 87.957 169.3549
52.734378 87.957 169.2421
53.100589 87.971 169.0658
53.466800 87.989 168.8452
53.833011 88.000 168.6231
54.199222 88.003 168.4378
54.565432 87.998 168.3013
54.931643 87.987 168.1968
55.297854 87.972 168.0940
55.664065 87.954 167.9691
56.030276 87.932 167.8166
56.396487 87.909 167.6470
56.762698 87.886 167.4770
57.128909 87.865 167.3204
57.495120 87.846 167.1849
57.861331 87.829 167.0744
58.227542 87.812 166.9903
58.593753 87.794 166.9304
58.959964 87.776 166.8861
59.326175 87.757 166.8425
59.692386 87.737 166.7823
60.058597 87.717 166.6934
60.424808 87.698 166.5735
60.791019 87.678 166.4315
61.157230 87.660 166.2823
61.523441 87.644 166.1417
61.889652 87.629 166.0207
62.255863 87.615 165.9239
62.622074 87.599 165.8500
62.988285 87.579 165.7941
63.354496 87.553 165.7485
63.720707 87.522 165.7048
64.086918 87.488 165.6520
64.453129 87.454 165.5772
64.819340 87.424 165.4656
65.185551 87.401 165.3056
65.551762 87.384 165.0954
65.917972 87.370 164.8499
66.284183 87.355 164.6024
66.650394 87.337 164.3955
67.016605 87.314 164.2667
67.382816 87.292 164.2310
67.749027 87.272 164.2740
68.115238 87.258 164.3566
68.481449 87.251 164.4324
68.847660 87.248 164.4672
69.213871 87.244 164.4509
69.580082 87.236 164.3970
69.946293 87.222 164.3323
70.312504 87.204 164.2820
70.678715 87.182 164.2596
71.044926 87.158 164.2636
71.411137 87.135 164.2807
71.777348 87.112 164.2926
72.143559 87.091 164.2822
72.509770 87.071 164.2387
72.875981 87.051 164.1603
73.242192 87.031 164.0546
73.608403 87.012 163.9358
73.974614 86.993 163.8192
74.340825 86.976 163.7146
74.707036 86.962 163.6221
75.073247 86.951 163.5328
75.439458 86.943 163.4336
75.805669 86.935 163.3156
76.171880 86.924 163.1803
76.538091 86.909 163.0404
76.904301 86.889 162.9164
77.270512 86.865 162.8284
77.636723 86.839 162.7885
78.002934 86.813 162.7971
78.369145 86.790 162.8433
78.735356 86.769 162.9091
79.101567 86.750 162.9753
79.467778 86.731 163.0270
79.833989 86.712 163.0557
80.200200 86.691 163.0588
80.566411 86.669 163.0375
80.932622 86.648 162.9946
81.298833 86.628 162.9330
81.665044 86.609 162.8560
82.031255 86.593 162.7688
82.397466 86.577 162.6795
82.763677 86.562 162.5983
83.129888 86.548 162.5348
83.496099 86.535 162.4951
83.862310 86.523 162.4794
84.228521 86.513 162.4826
84.594732 86.505 162.4962
84.960943 86.497 162.5117
85.327154 86.488 162.5239
85.693365 86.477 162.5308
86.059576 86.462 162.5334
86.425787 86.445 162.5334
86.791998 86.424 162.5319
87.158209 86.403 162.5285
87.524420 86.382 162.5214
87.890631 86.363 162.5077
88.256841 86.347 162.4843
88.623052 86.335 162.4489
88.989263 86.326 162.4007
89.355474 86.318 162.3416
89.721685 86.311 162.2761
90.087896 86.301 162.2098
90.454107 86.288 162.1489
90.820318 86.272 162.0974
91.186529 86.254 162.0567
91.552740 86.233 162.0258
91.918951 86.211 162.0016
92.285162 86.189 161.9812
92.651373 86.167 161.9619
93.017584 86.146 161.9416
93.383795 86.126 161.9190
93.750006 86.106 161.8932
94.116217 86.087 161.8641
94.482428 86.067 161.8334
94.848639 86.046 161.8043
95.214850 86.024 161.7812
95.581061 86.002 161.7681
95.947272 85.980 161.7667
96.313483 85.959 161.7754
96.679694 85.940 161.7903
97.045905 85.921 161.8064
97.412116 85.904 161.8203
97.778327 85.886 161.8318
98.144538 85.868 161.8434
98.510749 85.850 161.8597
98.876960 85.832 161.8839
99.243170 85.816 161.9165
99.609381 85.802 161.9542
99.975592 85.791 161.9901
100.341803 85.784 162.0163
100.708014 85.780 162.0266
101.074225 85.779 162.0194
101.440436 85.781 161.9989
101.806647 85.784 161.9748
102.172858 85.789 161.9603
102.539069 85.794 161.9687
102.905280 85.799 162.0100
103.271491 85.801 162.0897
103.637702 85.797 162.2072
104.003913 85.785 162.3555
104.370124 85.764 162.5215
104.736335 85.732 162.6854
105.102546 85.693 162.8223
105.468757 85.647 162.9055
105.834968 85.597 162.9121
106.201179 85.548 162.8294
106.567390 85.501 162.6603
106.933601 85.460 162.4237
107.299812 85.427 162.1514
107.666023 85.404 161.8799
108.032234 85.390 161.6422
108.398445 85.387 161.4610
108.764656 85.394 161.3456
109.130867 85.407 161.2934
109.497078 85.423 161.2935
109.863289 85.440 161.3306
110.229500 85.454 161.3898
110.595710 85.464 161.4579
110.961921 85.470 161.5256
111.328132 85.471 161.5865
111.694343 85.468 161.6381
112.060554 85.463 161.6801
112.426765 85.455 161.7142
112.792976 85.446 161.7426
113.159187 85.437 161.7677
113.525398 85.427 161.7904
113.891609 85.416 161.8108
114.257820 85.405 161.8279
114.624031 85.393 161.8408
114.990242 85.381 161.8489
115.356453 85.367 161.8530
115.722664 85.353 161.8545
116.088875 85.339 161.8555
116.455086 85.324 161.8579
116.821297 85.310 161.8628
117.187508 85.296 161.8702
117.553719 85.282 161.8795
117.919930 85.269 161.8890
118.286141 85.256 161.8973
118.652352 85.244 161.9029
119.018563 85.231 161.9049
119.384774 85.219 161.9028
119.750985 85.207 161.8967
120.117196 85.194 161.8870
120.483407 85.181 161.8748
120.849618 85.168 161.8610
121.215829 85.154 161.8466
121.582040 85.140 161.8325
121.948250 85.126 161.8193
122.314461 85.111 161.8074
122.680672 85.097 161.7976
123.046883 85.083 161.7911
123.413094 85.069 161.7894
123.779305 85.055 161.7939
124.145516 85.043 161.8055
124.511727 85.031 161.8242
124.877938 85.021 161.8484
125.244149 85.012 161.8759
125.610360 85.003 161.9040
125.976571 84.995 161.9302
126.342782 84.987 161.9529
126.708993 84.977 161.9716
127.075204 84.967 161.9862
127.441415 84.956 161.9976
127.807626 84.944 162.0063
128.173837 84.931 162.0131
128.540048 84.917 162.0186
128.906259 84.904 162.0234
129.272470 84.890 162.0278
129.638681 84.877 162.0323
130.004892 84.865 162.0376
130.371103 84.853 162.0440
130.737314 84.842 162.0519
131.103525 84.831 162.0613
131.469736 84.820 162.0722
131.835947 84.809 162.0840
132.202158 84.799 162.0961
132.568369 84.788 162.1078
132.934579 84.777 162.1187
133.300790 84.766 162.1284
133.667001 84.755 162.1371
134.033212 84.743 162.1458
134.399423 84.731 162.1552
134.765634 84.719 162.1667
135.131845 84.706 162.1811
135.498056 84.693 162.1991
135.864267 84.679 162.2206
136.230478 84.665 162.2452
136.596689 84.650 162.2714
136.962900 84.635 162.2979
137.329111 84.620 162.3226
137.695322 84.604 162.3439
138.061533 84.587 162.3604
138.427744 84.570 162.3712
138.793955 84.552 162.3762
139.160166 84.534 162.3762
139.526377 84.516 162.3731
139.892588 84.497 162.3694
140.258799 84.480 162.3683
140.625010 84.463 162.3728
140.991221 84.448 162.3857
141.357432 84.434 162.4088
141.723643 84.423 162.4430
142.089854 84.415 162.4882
142.456065 84.408 162.5431
142.822276 84.403 162.6059
143.188487 84.399 162.6741
143.554698 84.395 162.7448
143.920909 84.391 162.8146
144.287119 84.386 162.8806
144.653330 84.380 162.9398
145.019541 84.373 162.9903
145.385752 84.364 163.0310
145.751963 84.354 163.0618
146.118174 84.343 163.0839
146.484385 84.331 163.0988
146.850596 84.319 163.1088
147.216807 84.306 163.1162
147.583018 84.292 163.1233
147.949229 84.279 163.1319
148.315440 84.265 163.1437
148.681651 84.251 163.1599
149.047862 84.238 163.1808
149.414073 84.225 163.2066
149.780284 84.212 163.2368
150.146495 84.200 163.2708
150.512706 84.188 163.3073
150.878917 84.177 163.3453
151.245128 84.166 163.3839
151.611339 84.155 163.4226
151.977550 84.145 163.4612
152.343761 84.135 163.5000
152.709972 84.125 163.5398
153.076183 84.114 163.5818
153.442394 84.103 163.6272
153.808605 84.091 163.6774
154.174816 84.079 163.7336
154.541027 84.065 163.7965
154.907238 84.052 163.8666
155.273448 84.037 163.9436
155.639659 84.022 164.0269
156.005870 84.007 164.1155
156.372081 83.993 164.2084
156.738292 83.978 164.3043
157.104503 83.964 164.4023
157.470714 83.951 164.5018
157.836925 83.939 164.6025
158.203136 83.928 164.7042
158.569347 83.918 164.8068
158.935558 83.910 164.9106
159.301769 83.903 165.0153
159.667980 83.897 165.1209
160.034191 83.892 165.2273
160.400402 83.888 165.3341
160.766613 83.884 165.4412
161.132824 83.880 165.5485
161.499035 83.876 165.6560
161.865246 83.873 165.7640
162.231457 83.869 165.8729
162.597668 83.865 165.9830
162.963879 83.861 166.0949
163.330090 83.857 166.2088
163.696301 83.854 166.3247
164.062512 83.852 166.4423
164.428723 83.851 166.5610
164.794934 83.851 166.6796
165.161145 83.854 166.7971
165.527356 83.857 166.9119
165.893567 83.863 167.0226
166.259778 83.870 167.1277
166.625988 83.879 167.2260
166.992199 83.890 167.3166
167.358410 83.902 167.3989
167.724621 83.915 167.4729
168.090832 83.930 167.5388
168.457043 83.945 167.5973
168.823254 83.961 167.6497
169.189465 83.977 167.6973
169.555676 83.993 167.7420
169.921887 84.010 167.7856
170.288098 84.026 167.8298
170.654309 84.042 167.8761
171.020520 84.058 167.9251
171.386731 84.073 167.9767
171.752942 84.089 168.0294
