* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2023 3:06:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop May Harman L
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.303 53.0569
20.507813 89.340 52.8226
20.874023 89.436 52.2513
21.240234 89.531 51.7358
21.606445 89.604 51.1251
21.972656 89.637 50.2293
22.338867 89.620 49.1169
22.705078 89.578 47.9925
23.071289 89.570 46.9981
23.437500 89.650 46.0875
23.803711 89.811 45.0925
24.169922 89.983 43.9655
24.536133 90.076 42.9628
24.902344 90.047 42.5377
25.268555 89.932 42.9291
25.634766 89.822 43.7239
26.000977 89.787 43.8391
26.367188 89.803 42.1010
26.733399 89.770 38.0416
27.099610 89.596 32.3455
27.465821 89.250 26.7244
27.832032 88.813 23.2406
28.198243 88.497 23.1875
28.564454 88.571 26.1298
28.930665 89.083 30.1110
29.296876 89.775 33.0925
29.663087 90.340 34.2676
30.029298 90.629 34.1255
30.395509 90.646 33.6054
30.761720 90.495 33.3036
31.127931 90.321 33.2098
31.494142 90.229 32.9370
31.860353 90.233 32.1710
32.226563 90.283 30.9734
32.592774 90.328 29.7200
32.958985 90.353 28.7828
33.325196 90.370 28.2538
33.691407 90.391 27.9189
34.057618 90.410 27.4629
34.423829 90.405 26.7176
34.790040 90.364 25.7651
35.156251 90.296 24.8517
35.522462 90.233 24.2066
35.888673 90.206 23.9067
36.254884 90.230 23.8623
36.621095 90.289 23.9043
36.987306 90.354 23.8878
37.353517 90.400 23.7431
37.719728 90.413 23.4654
38.085939 90.400 23.0796
38.452150 90.373 22.6156
38.818361 90.349 22.1039
39.184572 90.337 21.5786
39.550783 90.339 21.0758
39.916994 90.352 20.6266
40.283205 90.365 20.2482
40.649416 90.372 19.9407
41.015627 90.368 19.6870
41.381838 90.354 19.4574
41.748049 90.334 19.2168
42.114260 90.315 18.9346
42.480471 90.302 18.5953
42.846682 90.294 18.2048
43.212893 90.291 17.7882
43.579103 90.289 17.3804
43.945314 90.285 17.0115
44.311525 90.277 16.6957
44.677736 90.266 16.4274
45.043947 90.254 16.1846
45.410158 90.240 15.9398
45.776369 90.226 15.6722
46.142580 90.211 15.3756
46.508791 90.196 15.0594
46.875002 90.179 14.7420
47.241213 90.163 14.4408
47.607424 90.147 14.1641
47.973635 90.132 13.9101
48.339846 90.118 13.6705
48.706057 90.104 13.4363
49.072268 90.090 13.2012
49.438479 90.075 12.9616
49.804690 90.061 12.7157
50.170901 90.046 12.4634
50.537112 90.031 12.2079
50.903323 90.013 11.9568
51.269534 89.992 11.7198
51.635745 89.970 11.5049
52.001956 89.948 11.3129
52.368167 89.926 11.1373
52.734378 89.905 10.9668
53.100589 89.886 10.7908
53.466800 89.868 10.6039
53.833011 89.849 10.4072
54.199222 89.831 10.2059
54.565432 89.813 10.0055
54.931643 89.795 9.8098
55.297854 89.778 9.6203
55.664065 89.760 9.4379
56.030276 89.742 9.2648
56.396487 89.721 9.1047
56.762698 89.699 8.9611
57.128909 89.676 8.8347
57.495120 89.652 8.7211
57.861331 89.629 8.6106
58.227542 89.608 8.4911
58.593753 89.588 8.3521
58.959964 89.568 8.1880
59.326175 89.549 8.0005
59.692386 89.529 7.7975
60.058597 89.509 7.5912
60.424808 89.488 7.3952
60.791019 89.468 7.2214
61.157230 89.448 7.0780
61.523441 89.428 6.9668
61.889652 89.408 6.8828
62.255863 89.388 6.8146
62.622074 89.367 6.7477
62.988285 89.344 6.6685
63.354496 89.320 6.5682
63.720707 89.295 6.4447
64.086918 89.269 6.3021
64.453129 89.244 6.1481
64.819340 89.220 5.9918
65.185551 89.199 5.8421
65.551762 89.180 5.7063
65.917972 89.162 5.5900
66.284183 89.145 5.4961
66.650394 89.127 5.4238
67.016605 89.109 5.3693
67.382816 89.090 5.3267
67.749027 89.072 5.2898
68.115238 89.055 5.2539
68.481449 89.039 5.2157
68.847660 89.025 5.1728
69.213871 89.014 5.1219
69.580082 89.005 5.0588
69.946293 88.996 4.9806
70.312504 88.986 4.8886
70.678715 88.970 4.7911
71.044926 88.947 4.7039
71.411137 88.916 4.6461
71.777348 88.879 4.6327
72.143559 88.837 4.6668
72.509770 88.797 4.7354
72.875981 88.760 4.8119
73.242192 88.729 4.8649
73.608403 88.702 4.8704
73.974614 88.679 4.8203
74.340825 88.656 4.7242
74.707036 88.634 4.6035
75.073247 88.610 4.4812
75.439458 88.587 4.3730
75.805669 88.564 4.2838
76.171880 88.541 4.2105
76.538091 88.516 4.1478
76.904301 88.490 4.0930
77.270512 88.462 4.0476
77.636723 88.432 4.0153
78.002934 88.404 3.9987
78.369145 88.377 3.9974
78.735356 88.354 4.0076
79.101567 88.336 4.0237
79.467778 88.320 4.0394
79.833989 88.307 4.0490
80.200200 88.293 4.0474
80.566411 88.278 4.0312
80.932622 88.261 4.0005
81.298833 88.239 3.9611
81.665044 88.214 3.9247
82.031255 88.186 3.9062
82.397466 88.156 3.9183
82.763677 88.127 3.9651
83.129888 88.101 4.0390
83.496099 88.078 4.1223
83.862310 88.059 4.1934
84.228521 88.041 4.2359
84.594732 88.021 4.2440
84.960943 87.997 4.2237
85.327154 87.970 4.1881
85.693365 87.940 4.1510
86.059576 87.909 4.1212
86.425787 87.878 4.1002
86.791998 87.849 4.0840
87.158209 87.822 4.0654
87.524420 87.797 4.0372
87.890631 87.775 3.9933
88.256841 87.753 3.9308
88.623052 87.733 3.8518
88.989263 87.713 3.7651
89.355474 87.692 3.6864
89.721685 87.669 3.6350
90.087896 87.645 3.6285
90.454107 87.621 3.6762
90.820318 87.597 3.7755
91.186529 87.575 3.9129
91.552740 87.554 4.0685
91.918951 87.534 4.2230
92.285162 87.513 4.3632
92.651373 87.492 4.4834
93.017584 87.468 4.5849
93.383795 87.443 4.6719
93.750006 87.416 4.7494
94.116217 87.389 4.8205
94.482428 87.361 4.8869
94.848639 87.333 4.9489
95.214850 87.306 5.0062
95.581061 87.279 5.0585
95.947272 87.253 5.1061
96.313483 87.229 5.1497
96.679694 87.206 5.1913
97.045905 87.185 5.2339
97.412116 87.163 5.2810
97.778327 87.142 5.3355
98.144538 87.119 5.3990
98.510749 87.096 5.4711
98.876960 87.072 5.5493
99.243170 87.047 5.6301
99.609381 87.023 5.7099
99.975592 87.001 5.7862
100.341803 86.980 5.8583
100.708014 86.960 5.9267
101.074225 86.942 5.9931
101.440436 86.923 6.0595
101.806647 86.903 6.1274
102.172858 86.882 6.1978
102.539069 86.858 6.2712
102.905280 86.831 6.3473
103.271491 86.804 6.4264
103.637702 86.776 6.5098
104.003913 86.747 6.6009
104.370124 86.720 6.7048
104.736335 86.693 6.8273
105.102546 86.668 6.9724
105.468757 86.645 7.1393
105.834968 86.623 7.3215
106.201179 86.604 7.5070
106.567390 86.585 7.6814
106.933601 86.567 7.8323
107.299812 86.548 7.9528
107.666023 86.528 8.0434
108.032234 86.506 8.1105
108.398445 86.482 8.1640
108.764656 86.456 8.2125
109.130867 86.429 8.2613
109.497078 86.402 8.3108
109.863289 86.374 8.3581
110.229500 86.347 8.3996
110.595710 86.319 8.4337
110.961921 86.291 8.4633
111.328132 86.263 8.4956
111.694343 86.235 8.5408
112.060554 86.210 8.6089
112.426765 86.187 8.7065
112.792976 86.167 8.8341
113.159187 86.152 8.9861
113.525398 86.140 9.1514
113.891609 86.130 9.3175
114.257820 86.122 9.4725
114.624031 86.115 9.6089
114.990242 86.107 9.7244
115.356453 86.098 9.8216
115.722664 86.088 9.9069
116.088875 86.077 9.9882
116.455086 86.065 10.0729
116.821297 86.052 10.1661
117.187508 86.039 10.2700
117.553719 86.025 10.3833
117.919930 86.009 10.5026
118.286141 85.991 10.6226
118.652352 85.972 10.7387
119.018563 85.953 10.8471
119.384774 85.933 10.9465
119.750985 85.913 11.0379
120.117196 85.894 11.1241
120.483407 85.876 11.2090
120.849618 85.860 11.2969
121.215829 85.844 11.3907
121.582040 85.828 11.4923
121.948250 85.812 11.6016
122.314461 85.795 11.7172
122.680672 85.777 11.8364
123.046883 85.758 11.9558
123.413094 85.737 12.0723
123.779305 85.714 12.1834
124.145516 85.691 12.2875
124.511727 85.668 12.3842
124.877938 85.645 12.4741
125.244149 85.622 12.5586
125.610360 85.600 12.6396
125.976571 85.578 12.7194
126.342782 85.556 12.7999
126.708993 85.535 12.8830
127.075204 85.515 12.9703
127.441415 85.494 13.0629
127.807626 85.473 13.1610
128.173837 85.452 13.2646
128.540048 85.431 13.3726
128.906259 85.410 13.4837
129.272470 85.389 13.5964
129.638681 85.368 13.7090
130.004892 85.347 13.8199
130.371103 85.326 13.9280
130.737314 85.304 14.0325
131.103525 85.282 14.1328
131.469736 85.260 14.2290
131.835947 85.237 14.3211
132.202158 85.214 14.4094
132.568369 85.191 14.4944
132.934579 85.169 14.5764
133.300790 85.146 14.6556
133.667001 85.124 14.7322
134.033212 85.103 14.8064
134.399423 85.081 14.8782
134.765634 85.060 14.9478
135.131845 85.039 15.0157
135.498056 85.017 15.0825
135.864267 84.995 15.1490
136.230478 84.973 15.2161
136.596689 84.951 15.2849
136.962900 84.929 15.3562
137.329111 84.907 15.4306
137.695322 84.885 15.5082
138.061533 84.863 15.5886
138.427744 84.842 15.6711
138.793955 84.822 15.7546
139.160166 84.803 15.8381
139.526377 84.787 15.9205
139.892588 84.773 16.0010
140.258799 84.762 16.0790
140.625010 84.754 16.1545
140.991221 84.748 16.2281
141.357432 84.743 16.3006
141.723643 84.737 16.3734
142.089854 84.731 16.4482
142.456065 84.723 16.5268
142.822276 84.710 16.6107
143.188487 84.695 16.7012
143.554698 84.676 16.7987
143.920909 84.653 16.9030
144.287119 84.629 17.0129
144.653330 84.604 17.1271
145.019541 84.579 17.2438
145.385752 84.555 17.3611
145.751963 84.532 17.4772
146.118174 84.510 17.5905
146.484385 84.489 17.6997
146.850596 84.468 17.8040
147.216807 84.448 17.9030
147.583018 84.426 17.9970
147.949229 84.403 18.0869
148.315440 84.379 18.1740
148.681651 84.354 18.2598
149.047862 84.328 18.3457
149.414073 84.301 18.4329
149.780284 84.275 18.5218
150.146495 84.248 18.6127
150.512706 84.222 18.7050
150.878917 84.196 18.7983
151.245128 84.172 18.8919
151.611339 84.148 18.9852
151.977550 84.125 19.0782
152.343761 84.102 19.1715
152.709972 84.081 19.2659
153.076183 84.060 19.3627
153.442394 84.039 19.4634
153.808605 84.019 19.5692
154.174816 83.999 19.6811
154.541027 83.980 19.7996
154.907238 83.960 19.9244
155.273448 83.940 20.0548
155.639659 83.920 20.1896
156.005870 83.900 20.3272
156.372081 83.879 20.4658
156.738292 83.858 20.6037
157.104503 83.837 20.7395
157.470714 83.815 20.8721
157.836925 83.794 21.0009
158.203136 83.772 21.1263
158.569347 83.750 21.2490
158.935558 83.728 21.3707
159.301769 83.706 21.4934
159.667980 83.684 21.6196
160.034191 83.661 21.7522
160.400402 83.639 21.8937
160.766613 83.615 22.0460
161.132824 83.591 22.2105
161.499035 83.567 22.3874
161.865246 83.543 22.5757
162.231457 83.518 22.7737
162.597668 83.494 22.9786
162.963879 83.470 23.1876
163.330090 83.447 23.3981
163.696301 83.425 23.6079
164.062512 83.404 23.8158
164.428723 83.384 24.0215
164.794934 83.365 24.2253
165.161145 83.348 24.4285
165.527356 83.331 24.6324
165.893567 83.315 24.8383
166.259778 83.300 25.0473
166.625988 83.286 25.2603
166.992199 83.273 25.4774
167.358410 83.260 25.6985
167.724621 83.247 25.9231
168.090832 83.236 26.1503
168.457043 83.225 26.3792
168.823254 83.216 26.6089
169.189465 83.207 26.8389
169.555676 83.200 27.0691
169.921887 83.194 27.2998
170.288098 83.188 27.5325
170.654309 83.184 27.7689
171.020520 83.180 28.0115
171.386731 83.177 28.2633
171.752942 83.174 28.5269
172.119153 83.171 28.8045
172.485364 83.168 29.0974
172.851575 83.166 29.4051
