* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2023 3:07:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop May Harman R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.702 54.5195
20.507813 89.740 54.2106
20.874023 89.847 53.4025
21.240234 89.961 52.5828
21.606445 90.057 51.7494
21.972656 90.111 50.8796
22.338867 90.114 50.0880
22.705078 90.087 49.4464
23.071289 90.070 48.8692
23.437500 90.093 48.1538
23.803711 90.155 47.1459
24.169922 90.233 45.9126
24.536133 90.301 44.7482
24.902344 90.358 43.9695
25.268555 90.419 43.6471
25.634766 90.484 43.5028
26.000977 90.513 43.0882
26.367188 90.438 42.1277
26.733399 90.202 40.7692
27.099610 89.812 39.5507
27.465821 89.367 39.0496
27.832032 89.054 39.4018
28.198243 89.049 40.0901
28.564454 89.365 40.2854
28.930665 89.841 39.4851
29.296876 90.286 37.8590
29.663087 90.588 36.0545
30.029298 90.730 34.7242
30.395509 90.761 34.1483
30.761720 90.749 34.1399
31.127931 90.743 34.2370
31.494142 90.746 34.0345
31.860353 90.743 33.4208
32.226563 90.721 32.5723
32.592774 90.690 31.7546
32.958985 90.674 31.1165
33.325196 90.685 30.6246
33.691407 90.710 30.1532
34.057618 90.725 29.6215
34.423829 90.710 29.0587
34.790040 90.667 28.5595
35.156251 90.616 28.1891
35.522462 90.585 27.9244
35.888673 90.588 27.6748
36.254884 90.618 27.3548
36.621095 90.658 26.9422
36.987306 90.688 26.4801
37.353517 90.699 26.0303
37.719728 90.692 25.6244
38.085939 90.673 25.2474
38.452150 90.649 24.8610
38.818361 90.624 24.4409
39.184572 90.599 23.9982
39.550783 90.576 23.5718
39.916994 90.558 23.2013
40.283205 90.547 22.9023
40.649416 90.541 22.6602
41.015627 90.538 22.4433
41.381838 90.533 22.2231
41.748049 90.522 21.9881
42.114260 90.506 21.7424
42.480471 90.488 21.4959
42.846682 90.471 21.2540
43.212893 90.460 21.0146
43.579103 90.453 20.7730
43.945314 90.449 20.5287
44.311525 90.443 20.2872
44.677736 90.435 20.0558
45.043947 90.424 19.8364
45.410158 90.414 19.6217
45.776369 90.406 19.3978
46.142580 90.400 19.1506
46.508791 90.394 18.8745
46.875002 90.387 18.5759
47.241213 90.377 18.2709
47.607424 90.361 17.9799
47.973635 90.342 17.7187
48.339846 90.320 17.4936
48.706057 90.299 17.2987
49.072268 90.279 17.1202
49.438479 90.262 16.9429
49.804690 90.246 16.7575
50.170901 90.229 16.5645
50.537112 90.211 16.3729
50.903323 90.190 16.1936
51.269534 90.167 16.0332
51.635745 90.145 15.8897
52.001956 90.123 15.7540
52.368167 90.104 15.6140
52.734378 90.085 15.4609
53.100589 90.067 15.2919
53.466800 90.048 15.1107
53.833011 90.027 14.9258
54.199222 90.005 14.7467
54.565432 89.982 14.5813
54.931643 89.958 14.4329
55.297854 89.934 14.2995
55.664065 89.911 14.1744
56.030276 89.889 14.0482
56.396487 89.868 13.9131
56.762698 89.848 13.7666
57.128909 89.827 13.6126
57.495120 89.806 13.4603
57.861331 89.785 13.3208
58.227542 89.762 13.2018
58.593753 89.740 13.1048
58.959964 89.717 13.0247
59.326175 89.695 12.9525
59.692386 89.671 12.8799
60.058597 89.647 12.8033
60.424808 89.622 12.7252
60.791019 89.597 12.6521
61.157230 89.574 12.5905
61.523441 89.553 12.5431
61.889652 89.534 12.5072
62.255863 89.515 12.4763
62.622074 89.496 12.4431
62.988285 89.474 12.4011
63.354496 89.451 12.3447
63.720707 89.427 12.2684
64.086918 89.406 12.1678
64.453129 89.388 12.0423
64.819340 89.375 11.8993
65.185551 89.364 11.7549
65.551762 89.355 11.6298
65.917972 89.345 11.5407
66.284183 89.333 11.4929
66.650394 89.317 11.4781
67.016605 89.297 11.4794
67.382816 89.273 11.4807
67.749027 89.245 11.4738
68.115238 89.216 11.4599
68.481449 89.187 11.4457
68.847660 89.161 11.4385
69.213871 89.137 11.4442
69.580082 89.113 11.4678
69.946293 89.085 11.5133
70.312504 89.051 11.5799
70.678715 89.012 11.6553
71.044926 88.970 11.7127
71.411137 88.929 11.7149
71.777348 88.891 11.6294
72.143559 88.857 11.4456
72.509770 88.825 11.1859
72.875981 88.795 10.9010
73.242192 88.767 10.6526
73.608403 88.743 10.4898
73.974614 88.725 10.4317
74.340825 88.713 10.4650
74.707036 88.706 10.5540
75.073247 88.698 10.6593
75.439458 88.687 10.7520
75.805669 88.668 10.8207
76.171880 88.641 10.8677
76.538091 88.609 10.9018
76.904301 88.573 10.9314
77.270512 88.536 10.9616
77.636723 88.500 10.9957
78.002934 88.464 11.0376
78.369145 88.428 11.0916
78.735356 88.393 11.1605
79.101567 88.361 11.2414
79.467778 88.332 11.3248
79.833989 88.307 11.3968
80.200200 88.287 11.4454
80.566411 88.269 11.4661
80.932622 88.253 11.4635
81.298833 88.237 11.4487
81.665044 88.221 11.4327
82.031255 88.206 11.4215
82.397466 88.193 11.4146
82.763677 88.180 11.4087
83.129888 88.165 11.4029
83.496099 88.148 11.4018
83.862310 88.127 11.4146
84.228521 88.101 11.4511
84.594732 88.070 11.5167
84.960943 88.037 11.6100
85.327154 88.003 11.7237
85.693365 87.969 11.8477
86.059576 87.937 11.9728
86.425787 87.908 12.0934
86.791998 87.882 12.2076
87.158209 87.860 12.3179
87.524420 87.842 12.4293
87.890631 87.827 12.5476
88.256841 87.815 12.6769
88.623052 87.805 12.8169
88.989263 87.795 12.9610
89.355474 87.784 13.0977
89.721685 87.769 13.2139
90.087896 87.750 13.3000
90.454107 87.726 13.3537
90.820318 87.695 13.3803
91.186529 87.659 13.3910
91.552740 87.621 13.3985
91.918951 87.581 13.4133
92.285162 87.543 13.4419
92.651373 87.507 13.4865
93.017584 87.475 13.5462
93.383795 87.445 13.6190
93.750006 87.417 13.7018
94.116217 87.390 13.7913
94.482428 87.365 13.8842
94.848639 87.340 13.9775
95.214850 87.315 14.0700
95.581061 87.291 14.1621
95.947272 87.266 14.2559
96.313483 87.242 14.3545
96.679694 87.217 14.4602
97.045905 87.193 14.5736
97.412116 87.167 14.6933
97.778327 87.142 14.8159
98.144538 87.116 14.9376
98.510749 87.089 15.0546
98.876960 87.062 15.1643
99.243170 87.035 15.2649
99.609381 87.009 15.3560
99.975592 86.983 15.4386
100.341803 86.958 15.5150
100.708014 86.933 15.5898
101.074225 86.908 15.6695
101.440436 86.882 15.7615
101.806647 86.855 15.8727
102.172858 86.826 16.0069
102.539069 86.795 16.1636
102.905280 86.763 16.3374
103.271491 86.729 16.5190
103.637702 86.693 16.6970
104.003913 86.655 16.8609
104.370124 86.614 17.0033
104.736335 86.572 17.1213
105.102546 86.530 17.2176
105.468757 86.488 17.2997
105.834968 86.449 17.3774
106.201179 86.415 17.4612
106.567390 86.387 17.5586
106.933601 86.366 17.6734
107.299812 86.353 17.8050
107.666023 86.345 17.9501
108.032234 86.340 18.1046
108.398445 86.337 18.2658
108.764656 86.331 18.4334
109.130867 86.320 18.6090
109.497078 86.305 18.7957
109.863289 86.285 18.9961
110.229500 86.260 19.2112
110.595710 86.232 19.4397
110.961921 86.203 19.6768
111.328132 86.176 19.9152
111.694343 86.153 20.1454
112.060554 86.133 20.3580
112.426765 86.118 20.5459
112.792976 86.107 20.7064
113.159187 86.099 20.8417
113.525398 86.092 20.9589
113.891609 86.085 21.0670
114.257820 86.077 21.1750
114.624031 86.068 21.2888
114.990242 86.056 21.4106
115.356453 86.043 21.5392
115.722664 86.028 21.6712
116.088875 86.012 21.8024
116.455086 85.995 21.9295
116.821297 85.978 22.0506
117.187508 85.961 22.1655
117.553719 85.945 22.2753
117.919930 85.929 22.3824
118.286141 85.914 22.4897
118.652352 85.900 22.6004
119.018563 85.885 22.7174
119.384774 85.869 22.8423
119.750985 85.852 22.9756
120.117196 85.835 23.1167
120.483407 85.816 23.2639
120.849618 85.796 23.4154
121.215829 85.776 23.5697
121.582040 85.756 23.7258
121.948250 85.736 23.8834
122.314461 85.715 24.0424
122.680672 85.696 24.2031
123.046883 85.677 24.3652
123.413094 85.658 24.5281
123.779305 85.640 24.6904
124.145516 85.622 24.8505
124.511727 85.604 25.0063
124.877938 85.587 25.1565
125.244149 85.569 25.3002
125.610360 85.551 25.4377
125.976571 85.532 25.5702
126.342782 85.512 25.7000
126.708993 85.491 25.8297
127.075204 85.469 25.9623
127.441415 85.446 26.1004
127.807626 85.422 26.2462
128.173837 85.397 26.4010
128.540048 85.371 26.5653
128.906259 85.346 26.7389
129.272470 85.320 26.9206
129.638681 85.295 27.1089
130.004892 85.270 27.3020
130.371103 85.245 27.4978
130.737314 85.221 27.6942
131.103525 85.198 27.8896
131.469736 85.175 28.0820
131.835947 85.153 28.2704
132.202158 85.131 28.4538
132.568369 85.109 28.6323
132.934579 85.087 28.8065
133.300790 85.065 28.9776
133.667001 85.043 29.1472
134.033212 85.022 29.3171
134.399423 85.001 29.4889
134.765634 84.981 29.6638
135.131845 84.961 29.8423
135.498056 84.942 30.0243
135.864267 84.923 30.2095
136.230478 84.905 30.3973
136.596689 84.888 30.5871
136.962900 84.871 30.7788
137.329111 84.854 30.9724
137.695322 84.837 31.1683
138.061533 84.821 31.3667
138.427744 84.804 31.5674
138.793955 84.786 31.7700
139.160166 84.768 31.9727
139.526377 84.748 32.1737
139.892588 84.726 32.3703
140.258799 84.702 32.5604
140.625010 84.675 32.7423
140.991221 84.647 32.9157
141.357432 84.617 33.0812
141.723643 84.586 33.2402
142.089854 84.555 33.3949
142.456065 84.527 33.5471
142.822276 84.501 33.6983
143.188487 84.479 33.8492
143.554698 84.461 34.0006
143.920909 84.448 34.1530
144.287119 84.438 34.3073
144.653330 84.432 34.4646
145.019541 84.427 34.6262
145.385752 84.424 34.7934
145.751963 84.420 34.9670
146.118174 84.414 35.1475
146.484385 84.405 35.3348
146.850596 84.394 35.5285
147.216807 84.378 35.7281
147.583018 84.359 35.9329
147.949229 84.335 36.1421
148.315440 84.309 36.3549
148.681651 84.279 36.5703
149.047862 84.248 36.7873
149.414073 84.216 37.0050
149.780284 84.183 37.2227
150.146495 84.150 37.4401
150.512706 84.119 37.6572
150.878917 84.088 37.8745
151.245128 84.059 38.0925
151.611339 84.032 38.3119
151.977550 84.006 38.5335
152.343761 83.982 38.7574
152.709972 83.959 38.9839
153.076183 83.937 39.2128
153.442394 83.916 39.4439
153.808605 83.896 39.6767
154.174816 83.876 39.9108
154.541027 83.856 40.1461
154.907238 83.837 40.3823
155.273448 83.818 40.6195
155.639659 83.799 40.8580
156.005870 83.780 41.0981
156.372081 83.762 41.3404
156.738292 83.744 41.5855
157.104503 83.727 41.8338
157.470714 83.711 42.0856
157.836925 83.695 42.3408
158.203136 83.680 42.5990
158.569347 83.666 42.8595
158.935558 83.653 43.1212
159.301769 83.641 43.3829
159.667980 83.631 43.6436
160.034191 83.623 43.9020
160.400402 83.617 44.1572
160.766613 83.614 44.4079
161.132824 83.613 44.6531
161.499035 83.616 44.8912
161.865246 83.621 45.1207
162.231457 83.628 45.3400
162.597668 83.637 45.5476
162.963879 83.647 45.7423
163.330090 83.658 45.9237
163.696301 83.668 46.0918
164.062512 83.678 46.2474
164.428723 83.688 46.3917
164.794934 83.696 46.5266
165.161145 83.703 46.6539
165.527356 83.709 46.7754
165.893567 83.714 46.8929
166.259778 83.717 47.0077
166.625988 83.719 47.1210
166.992199 83.720 47.2334
167.358410 83.720 47.3457
167.724621 83.719 47.4582
168.090832 83.717 47.5713
168.457043 83.714 47.6854
168.823254 83.710 47.8010
169.189465 83.705 47.9185
169.555676 83.699 48.0384
169.921887 83.693 48.1612
170.288098 83.686 48.2872
170.654309 83.678 48.4172
171.020520 83.671 48.5517
171.386731 83.662 48.6913
171.752942 83.654 48.8367
172.119153 83.645 48.9881
172.485364 83.636 49.1455
172.851575 83.627 49.3079
