* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2023 2:57:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop May antiherbert R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 89.007 36.4520
20.507813 89.022 36.1258
20.874023 89.062 35.2816
21.240234 89.105 34.4343
21.606445 89.138 33.5208
21.972656 89.145 32.4368
22.338867 89.118 31.2871
22.705078 89.073 30.2430
23.071289 89.050 29.3828
23.437500 89.087 28.6158
23.803711 89.183 27.7522
24.169922 89.294 26.6990
24.536133 89.366 25.5997
24.902344 89.369 24.7583
25.268555 89.326 24.3657
25.634766 89.288 24.2286
26.000977 89.289 23.7638
26.367188 89.305 22.3373
26.733399 89.269 19.7234
27.099610 89.118 16.3583
27.465821 88.849 13.2168
27.832032 88.539 11.3420
28.198243 88.341 11.2280
28.564454 88.392 12.4651
28.930665 88.692 14.0161
29.296876 89.092 14.9502
29.663087 89.424 14.9880
30.029298 89.597 14.4567
30.395509 89.613 13.8505
30.761720 89.539 13.4300
31.127931 89.454 13.1103
31.494142 89.411 12.6334
31.860353 89.411 11.8403
32.226563 89.427 10.8182
32.592774 89.437 9.8251
32.958985 89.438 9.0853
33.325196 89.439 8.6352
33.691407 89.443 8.3279
34.057618 89.442 7.9644
34.423829 89.423 7.4313
34.790040 89.381 6.7464
35.156251 89.327 6.0041
35.522462 89.283 5.2887
35.888673 89.266 4.6292
36.254884 89.278 4.0134
36.621095 89.305 3.4303
36.987306 89.331 2.8940
37.353517 89.342 2.4299
37.719728 89.336 2.0445
38.085939 89.318 1.7084
38.452150 89.295 1.3673
38.818361 89.273 0.9726
39.184572 89.255 0.5068
39.550783 89.238 -0.0101
39.916994 89.223 -0.5360
40.283205 89.208 -1.0293
40.649416 89.194 -1.4681
41.015627 89.180 -1.8558
41.381838 89.165 -2.2150
41.748049 89.150 -2.5739
42.114260 89.133 -2.9523
42.480471 89.115 -3.3548
42.846682 89.096 -3.7718
43.212893 89.079 -4.1889
43.579103 89.065 -4.5978
43.945314 89.055 -5.0010
44.311525 89.048 -5.4089
44.677736 89.041 -5.8300
45.043947 89.031 -6.2630
45.410158 89.018 -6.6964
45.776369 89.002 -7.1165
46.142580 88.986 -7.5173
46.508791 88.971 -7.9050
46.875002 88.958 -8.2918
47.241213 88.944 -8.6847
47.607424 88.927 -9.0773
47.973635 88.906 -9.4532
48.339846 88.884 -9.7993
48.706057 88.863 -10.1176
49.072268 88.846 -10.4254
49.438479 88.831 -10.7402
49.804690 88.815 -11.0613
50.170901 88.792 -11.3636
50.537112 88.763 -11.6118
50.903323 88.732 -11.7882
51.269534 88.707 -11.9143
51.635745 88.691 -12.0486
52.001956 88.684 -12.2586
52.368167 88.680 -12.5852
52.734378 88.673 -13.0215
53.100589 88.657 -13.5187
53.466800 88.634 -14.0144
53.833011 88.607 -14.4628
54.199222 88.582 -14.8497
54.565432 88.560 -15.1874
54.931643 88.539 -15.4973
55.297854 88.517 -15.7946
55.664065 88.490 -16.0841
56.030276 88.459 -16.3650
56.396487 88.427 -16.6394
56.762698 88.397 -16.9142
57.128909 88.372 -17.1981
57.495120 88.353 -17.4955
57.861331 88.336 -17.8025
58.227542 88.321 -18.1079
58.593753 88.305 -18.3987
58.959964 88.287 -18.6665
59.326175 88.266 -18.9115
59.692386 88.244 -19.1425
60.058597 88.221 -19.3729
60.424808 88.197 -19.6134
60.791019 88.172 -19.8671
61.157230 88.147 -20.1286
61.523441 88.121 -20.3879
61.889652 88.095 -20.6373
62.255863 88.069 -20.8760
62.622074 88.045 -21.1095
62.988285 88.020 -21.3443
63.354496 87.994 -21.5829
63.720707 87.969 -21.8221
64.086918 87.943 -22.0560
64.453129 87.918 -22.2808
64.819340 87.896 -22.4977
65.185551 87.874 -22.7113
65.551762 87.853 -22.9259
65.917972 87.829 -23.1438
66.284183 87.802 -23.3648
66.650394 87.774 -23.5878
67.016605 87.745 -23.8106
67.382816 87.718 -24.0273
67.749027 87.696 -24.2265
68.115238 87.681 -24.3942
68.481449 87.673 -24.5200
68.847660 87.671 -24.6050
69.213871 87.673 -24.6648
69.580082 87.672 -24.7242
69.946293 87.663 -24.8071
70.312504 87.640 -24.9293
70.678715 87.602 -25.0978
71.044926 87.553 -25.3164
71.411137 87.499 -25.5912
71.777348 87.446 -25.9287
72.143559 87.399 -26.3268
72.509770 87.359 -26.7647
72.875981 87.323 -27.2003
73.242192 87.292 -27.5811
73.608403 87.263 -27.8633
73.974614 87.238 -28.0305
74.340825 87.218 -28.1005
74.707036 87.203 -28.1165
75.073247 87.192 -28.1289
75.439458 87.181 -28.1762
75.805669 87.167 -28.2748
76.171880 87.149 -28.4194
76.538091 87.128 -28.5932
76.904301 87.106 -28.7779
77.270512 87.085 -28.9614
77.636723 87.064 -29.1391
78.002934 87.044 -29.3101
78.369145 87.022 -29.4738
78.735356 86.997 -29.6271
79.101567 86.968 -29.7659
79.467778 86.936 -29.8884
79.833989 86.903 -29.9987
80.200200 86.872 -30.1066
80.566411 86.843 -30.2247
80.932622 86.816 -30.3631
81.298833 86.791 -30.5242
81.665044 86.765 -30.7017
82.031255 86.740 -30.8842
82.397466 86.714 -31.0601
82.763677 86.690 -31.2227
83.129888 86.667 -31.3717
83.496099 86.647 -31.5115
83.862310 86.627 -31.6470
84.228521 86.606 -31.7803
84.594732 86.583 -31.9104
84.960943 86.558 -32.0340
85.327154 86.530 -32.1488
85.693365 86.501 -32.2550
86.059576 86.471 -32.3555
86.425787 86.443 -32.4549
86.791998 86.416 -32.5566
87.158209 86.390 -32.6609
87.524420 86.365 -32.7647
87.890631 86.340 -32.8629
88.256841 86.315 -32.9515
88.623052 86.290 -33.0308
88.989263 86.265 -33.1064
89.355474 86.240 -33.1880
89.721685 86.215 -33.2857
90.087896 86.189 -33.4053
90.454107 86.160 -33.5457
90.820318 86.129 -33.6993
91.186529 86.095 -33.8552
91.552740 86.061 -34.0027
91.918951 86.027 -34.1349
92.285162 85.995 -34.2490
92.651373 85.965 -34.3460
93.017584 85.937 -34.4283
93.383795 85.911 -34.4995
93.750006 85.886 -34.5636
94.116217 85.863 -34.6251
94.482428 85.839 -34.6891
94.848639 85.816 -34.7598
95.214850 85.793 -34.8396
95.581061 85.770 -34.9278
95.947272 85.746 -35.0209
96.313483 85.722 -35.1138
96.679694 85.699 -35.2020
97.045905 85.678 -35.2835
97.412116 85.658 -35.3592
97.778327 85.639 -35.4327
98.144538 85.622 -35.5089
98.510749 85.604 -35.5918
98.876960 85.585 -35.6836
99.243170 85.564 -35.7843
99.609381 85.542 -35.8920
99.975592 85.519 -36.0034
100.341803 85.494 -36.1152
100.708014 85.470 -36.2242
101.074225 85.447 -36.3280
101.440436 85.424 -36.4249
101.806647 85.402 -36.5144
102.172858 85.381 -36.5966
102.539069 85.360 -36.6726
102.905280 85.339 -36.7437
103.271491 85.318 -36.8112
103.637702 85.295 -36.8761
104.003913 85.272 -36.9392
104.370124 85.248 -37.0007
104.736335 85.222 -37.0610
105.102546 85.195 -37.1205
105.468757 85.166 -37.1806
105.834968 85.136 -37.2432
106.201179 85.105 -37.3112
106.567390 85.073 -37.3875
106.933601 85.041 -37.4743
107.299812 85.009 -37.5720
107.666023 84.977 -37.6783
108.032234 84.946 -37.7885
108.398445 84.917 -37.8961
108.764656 84.888 -37.9945
109.130867 84.860 -38.0781
109.497078 84.833 -38.1444
109.863289 84.807 -38.1940
110.229500 84.781 -38.2304
110.595710 84.754 -38.2590
110.961921 84.729 -38.2857
111.328132 84.704 -38.3163
111.694343 84.681 -38.3551
112.060554 84.659 -38.4051
112.426765 84.640 -38.4676
112.792976 84.624 -38.5424
113.159187 84.609 -38.6274
113.525398 84.595 -38.7192
113.891609 84.581 -38.8131
114.257820 84.565 -38.9040
114.624031 84.547 -38.9869
114.990242 84.525 -39.0584
115.356453 84.501 -39.1168
115.722664 84.474 -39.1633
116.088875 84.446 -39.2009
116.455086 84.415 -39.2348
116.821297 84.384 -39.2701
117.187508 84.353 -39.3114
117.553719 84.323 -39.3617
117.919930 84.293 -39.4214
118.286141 84.264 -39.4888
118.652352 84.236 -39.5604
119.018563 84.210 -39.6324
119.384774 84.185 -39.7012
119.750985 84.162 -39.7645
120.117196 84.141 -39.8217
120.483407 84.120 -39.8736
120.849618 84.099 -39.9216
121.215829 84.077 -39.9673
121.582040 84.055 -40.0120
121.948250 84.031 -40.0558
122.314461 84.007 -40.0985
122.680672 83.982 -40.1391
123.046883 83.957 -40.1771
123.413094 83.932 -40.2119
123.779305 83.909 -40.2435
124.145516 83.886 -40.2722
124.511727 83.863 -40.2982
124.877938 83.840 -40.3218
125.244149 83.817 -40.3431
125.610360 83.792 -40.3624
125.976571 83.767 -40.3801
126.342782 83.741 -40.3967
126.708993 83.715 -40.4126
127.075204 83.688 -40.4286
127.441415 83.662 -40.4449
127.807626 83.636 -40.4620
128.173837 83.610 -40.4800
128.540048 83.584 -40.4991
128.906259 83.558 -40.5192
129.272470 83.533 -40.5402
129.638681 83.508 -40.5618
130.004892 83.483 -40.5833
130.371103 83.457 -40.6039
130.737314 83.432 -40.6226
131.103525 83.407 -40.6383
131.469736 83.383 -40.6503
131.835947 83.359 -40.6579
132.202158 83.335 -40.6608
132.568369 83.311 -40.6590
132.934579 83.288 -40.6529
133.300790 83.265 -40.6432
133.667001 83.242 -40.6308
134.033212 83.219 -40.6167
134.399423 83.196 -40.6018
134.765634 83.172 -40.5868
135.131845 83.149 -40.5719
135.498056 83.126 -40.5566
135.864267 83.104 -40.5401
136.230478 83.081 -40.5206
136.596689 83.058 -40.4966
136.962900 83.035 -40.4664
137.329111 83.011 -40.4289
137.695322 82.987 -40.3840
138.061533 82.962 -40.3332
138.427744 82.936 -40.2789
138.793955 82.910 -40.2252
139.160166 82.883 -40.1768
139.526377 82.856 -40.1388
139.892588 82.830 -40.1153
140.258799 82.806 -40.1092
140.625010 82.784 -40.1206
140.991221 82.764 -40.1469
141.357432 82.747 -40.1826
141.723643 82.732 -40.2198
142.089854 82.720 -40.2493
142.456065 82.708 -40.2620
142.822276 82.696 -40.2500
143.188487 82.685 -40.2079
143.554698 82.673 -40.1333
143.920909 82.661 -40.0272
144.287119 82.649 -39.8933
144.653330 82.637 -39.7375
145.019541 82.625 -39.5674
145.385752 82.612 -39.3909
145.751963 82.600 -39.2167
146.118174 82.587 -39.0526
146.484385 82.573 -38.9059
146.850596 82.558 -38.7822
147.216807 82.540 -38.6850
147.583018 82.519 -38.6152
147.949229 82.494 -38.5713
148.315440 82.467 -38.5497
148.681651 82.436 -38.5449
149.047862 82.402 -38.5513
149.414073 82.368 -38.5631
149.780284 82.332 -38.5753
150.146495 82.296 -38.5841
150.512706 82.261 -38.5868
150.878917 82.228 -38.5817
151.245128 82.196 -38.5678
151.611339 82.165 -38.5447
151.977550 82.138 -38.5124
152.343761 82.112 -38.4711
152.709972 82.090 -38.4207
153.076183 82.070 -38.3615
153.442394 82.052 -38.2932
153.808605 82.037 -38.2159
154.174816 82.025 -38.1297
154.541027 82.013 -38.0348
154.907238 82.004 -37.9320
155.273448 81.995 -37.8225
155.639659 81.986 -37.7081
156.005870 81.979 -37.5911
156.372081 81.971 -37.4738
156.738292 81.964 -37.3589
157.104503 81.958 -37.2487
157.470714 81.952 -37.1453
157.836925 81.946 -37.0499
158.203136 81.941 -36.9633
158.569347 81.937 -36.8857
158.935558 81.933 -36.8165
159.301769 81.929 -36.7549
159.667980 81.925 -36.6997
160.034191 81.921 -36.6496
160.400402 81.917 -36.6034
160.766613 81.912 -36.5601
161.132824 81.907 -36.5188
161.499035 81.902 -36.4790
161.865246 81.896 -36.4407
162.231457 81.890 -36.4041
162.597668 81.884 -36.3698
162.963879 81.879 -36.3385
163.330090 81.873 -36.3114
163.696301 81.869 -36.2892
