* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2023 3:09:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop May nodsp R
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 92.121 51.8639
20.507813 92.147 51.4192
20.874023 92.209 50.1597
21.240234 92.258 48.6838
21.606445 92.291 47.1640
21.972656 92.329 45.7598
22.338867 92.397 44.6145
22.705078 92.504 43.6887
23.071289 92.627 42.8069
23.437500 92.721 41.8358
23.803711 92.746 40.8039
24.169922 92.701 39.8532
24.536133 92.635 39.0406
24.902344 92.626 38.1601
25.268555 92.723 36.7933
25.634766 92.907 34.6048
26.000977 93.096 31.6590
26.367188 93.208 28.5042
26.733399 93.201 25.9619
27.099610 93.100 24.7345
27.465821 92.986 25.0142
27.832032 92.946 26.3272
28.198243 93.009 27.7816
28.564454 93.123 28.5861
28.930665 93.207 28.4509
29.296876 93.215 27.6004
29.663087 93.155 26.4861
30.029298 93.078 25.4669
30.395509 93.038 24.6549
30.761720 93.059 23.9632
31.127931 93.124 23.2645
31.494142 93.194 22.5176
31.860353 93.241 21.7798
32.226563 93.258 21.1276
32.592774 93.258 20.5747
32.958985 93.262 20.0500
33.325196 93.283 19.4430
33.691407 93.321 18.6733
34.057618 93.366 17.7378
34.423829 93.402 16.7115
34.790040 93.418 15.7115
35.156251 93.412 14.8467
35.522462 93.389 14.1744
35.888673 93.362 13.6792
36.254884 93.342 13.2835
36.621095 93.333 12.8864
36.987306 93.334 12.4118
37.353517 93.338 11.8396
37.719728 93.339 11.2029
38.085939 93.336 10.5568
38.452150 93.329 9.9427
38.818361 93.321 9.3694
39.184572 93.312 8.8210
39.550783 93.303 8.2766
39.916994 93.291 7.7267
40.283205 93.277 7.1740
40.649416 93.265 6.6260
41.015627 93.255 6.0872
41.381838 93.249 5.5596
41.748049 93.246 5.0466
42.114260 93.242 4.5541
42.480471 93.238 4.0867
42.846682 93.232 3.6414
43.212893 93.224 3.2065
43.579103 93.214 2.7679
43.945314 93.202 2.3172
44.311525 93.188 1.8566
44.677736 93.171 1.3957
45.043947 93.154 0.9433
45.410158 93.140 0.5016
45.776369 93.128 0.0651
46.142580 93.118 -0.3736
46.508791 93.108 -0.8180
46.875002 93.098 -1.2644
47.241213 93.087 -1.7044
47.607424 93.074 -2.1294
47.973635 93.062 -2.5353
48.339846 93.050 -2.9237
48.706057 93.040 -3.3006
49.072268 93.031 -3.6728
49.438479 93.022 -4.0463
49.804690 93.012 -4.4255
50.170901 93.002 -4.8150
50.537112 92.991 -5.2190
50.903323 92.979 -5.6412
51.269534 92.968 -6.0827
51.635745 92.957 -6.5401
52.001956 92.947 -7.0063
52.368167 92.938 -7.4723
52.734378 92.930 -7.9294
53.100589 92.921 -8.3702
53.466800 92.911 -8.7886
53.833011 92.897 -9.1785
54.199222 92.879 -9.5359
54.565432 92.858 -9.8615
54.931643 92.836 -10.1641
55.297854 92.814 -10.4604
55.664065 92.795 -10.7707
56.030276 92.777 -11.1108
56.396487 92.760 -11.4856
56.762698 92.744 -11.8868
57.128909 92.727 -12.2972
57.495120 92.709 -12.6981
57.861331 92.692 -13.0773
58.227542 92.675 -13.4320
58.593753 92.660 -13.7677
58.959964 92.645 -14.0939
59.326175 92.630 -14.4186
59.692386 92.614 -14.7460
60.058597 92.597 -15.0760
60.424808 92.578 -15.4055
60.791019 92.559 -15.7313
61.157230 92.541 -16.0518
61.523441 92.523 -16.3673
61.889652 92.506 -16.6800
62.255863 92.489 -16.9927
62.622074 92.471 -17.3081
62.988285 92.451 -17.6290
63.354496 92.431 -17.9582
63.720707 92.409 -18.2977
64.086918 92.386 -18.6471
64.453129 92.364 -19.0008
64.819340 92.341 -19.3477
65.185551 92.320 -19.6738
65.551762 92.300 -19.9682
65.917972 92.284 -20.2291
66.284183 92.270 -20.4666
66.650394 92.259 -20.7000
67.016605 92.247 -20.9491
67.382816 92.233 -21.2262
67.749027 92.213 -21.5303
68.115238 92.187 -21.8492
68.481449 92.159 -22.1662
68.847660 92.129 -22.4680
69.213871 92.103 -22.7496
69.580082 92.081 -23.0147
69.946293 92.064 -23.2716
70.312504 92.050 -23.5280
70.678715 92.036 -23.7881
71.044926 92.020 -24.0515
71.411137 92.003 -24.3155
71.777348 91.983 -24.5772
72.143559 91.964 -24.8345
72.509770 91.947 -25.0859
72.875981 91.932 -25.3300
73.242192 91.921 -25.5647
73.608403 91.912 -25.7879
73.974614 91.903 -25.9989
74.340825 91.893 -26.1991
74.707036 91.880 -26.3920
75.073247 91.862 -26.5821
75.439458 91.840 -26.7740
75.805669 91.815 -26.9716
76.171880 91.788 -27.1792
76.538091 91.764 -27.4020
76.904301 91.743 -27.6459
77.270512 91.726 -27.9148
77.636723 91.712 -28.2082
78.002934 91.698 -28.5182
78.369145 91.682 -28.8312
78.735356 91.663 -29.1317
79.101567 91.641 -29.4082
79.467778 91.616 -29.6573
79.833989 91.591 -29.8839
80.200200 91.567 -30.0985
80.566411 91.544 -30.3117
80.932622 91.524 -30.5302
81.298833 91.504 -30.7555
81.665044 91.485 -30.9842
82.031255 91.466 -31.2116
82.397466 91.447 -31.4339
82.763677 91.427 -31.6500
83.129888 91.408 -31.8616
83.496099 91.388 -32.0724
83.862310 91.369 -32.2865
84.228521 91.351 -32.5070
84.594732 91.333 -32.7343
84.960943 91.317 -32.9660
85.327154 91.301 -33.1967
85.693365 91.287 -33.4198
86.059576 91.273 -33.6292
86.425787 91.260 -33.8211
86.791998 91.248 -33.9943
87.158209 91.235 -34.1504
87.524420 91.221 -34.2920
87.890631 91.204 -34.4225
88.256841 91.186 -34.5454
88.623052 91.164 -34.6651
88.989263 91.142 -34.7876
89.355474 91.118 -34.9198
89.721685 91.094 -35.0690
90.087896 91.071 -35.2400
90.454107 91.049 -35.4339
90.820318 91.028 -35.6474
91.186529 91.007 -35.8738
91.552740 90.986 -36.1055
91.918951 90.967 -36.3357
92.285162 90.948 -36.5603
92.651373 90.930 -36.7778
93.017584 90.912 -36.9886
93.383795 90.894 -37.1937
93.750006 90.876 -37.3939
94.116217 90.858 -37.5892
94.482428 90.839 -37.7795
94.848639 90.820 -37.9642
95.214850 90.800 -38.1435
95.581061 90.780 -38.3176
95.947272 90.760 -38.4875
96.313483 90.740 -38.6539
96.679694 90.720 -38.8174
97.045905 90.700 -38.9784
97.412116 90.680 -39.1366
97.778327 90.661 -39.2919
98.144538 90.641 -39.4447
98.510749 90.622 -39.5959
98.876960 90.604 -39.7471
99.243170 90.586 -39.9001
99.609381 90.569 -40.0561
99.975592 90.553 -40.2150
100.341803 90.537 -40.3753
100.708014 90.521 -40.5340
101.074225 90.504 -40.6874
101.440436 90.487 -40.8326
101.806647 90.470 -40.9681
102.172858 90.451 -41.0949
102.539069 90.431 -41.2167
102.905280 90.409 -41.3388
103.271491 90.384 -41.4661
103.637702 90.356 -41.6015
104.003913 90.325 -41.7441
104.370124 90.291 -41.8896
104.736335 90.254 -42.0320
105.102546 90.218 -42.1654
105.468757 90.183 -42.2862
105.834968 90.150 -42.3933
106.201179 90.121 -42.4873
106.567390 90.097 -42.5695
106.933601 90.078 -42.6410
107.299812 90.063 -42.7036
107.666023 90.053 -42.7606
108.032234 90.049 -42.8183
108.398445 90.049 -42.8850
108.764656 90.054 -42.9697
109.130867 90.062 -43.0787
109.497078 90.070 -43.2140
109.863289 90.078 -43.3728
110.229500 90.084 -43.5483
110.595710 90.087 -43.7328
110.961921 90.088 -43.9198
111.328132 90.087 -44.1056
111.694343 90.084 -44.2888
112.060554 90.079 -44.4700
112.426765 90.073 -44.6500
112.792976 90.065 -44.8292
113.159187 90.055 -45.0073
113.525398 90.045 -45.1837
113.891609 90.033 -45.3581
114.257820 90.021 -45.5308
114.624031 90.008 -45.7028
114.990242 89.995 -45.8750
115.356453 89.982 -46.0480
115.722664 89.968 -46.2214
116.088875 89.953 -46.3940
116.455086 89.937 -46.5637
116.821297 89.920 -46.7288
117.187508 89.902 -46.8879
117.553719 89.885 -47.0410
117.919930 89.867 -47.1890
118.286141 89.851 -47.3336
118.652352 89.834 -47.4769
119.018563 89.818 -47.6209
119.384774 89.803 -47.7673
119.750985 89.787 -47.9179
120.117196 89.771 -48.0738
120.483407 89.756 -48.2362
120.849618 89.740 -48.4058
121.215829 89.724 -48.5822
121.582040 89.708 -48.7634
121.948250 89.692 -48.9461
122.314461 89.676 -49.1258
122.680672 89.660 -49.2976
123.046883 89.644 -49.4575
123.413094 89.628 -49.6031
123.779305 89.612 -49.7339
124.145516 89.596 -49.8516
124.511727 89.580 -49.9592
124.877938 89.564 -50.0603
125.244149 89.547 -50.1584
125.610360 89.530 -50.2564
125.976571 89.512 -50.3564
126.342782 89.494 -50.4599
126.708993 89.476 -50.5674
127.075204 89.457 -50.6790
127.441415 89.438 -50.7946
127.807626 89.419 -50.9140
128.173837 89.400 -51.0368
128.540048 89.382 -51.1627
128.906259 89.363 -51.2914
129.272470 89.345 -51.4221
129.638681 89.326 -51.5543
130.004892 89.308 -51.6869
130.371103 89.290 -51.8192
130.737314 89.272 -51.9506
131.103525 89.254 -52.0806
131.469736 89.236 -52.2091
131.835947 89.218 -52.3361
132.202158 89.201 -52.4614
132.568369 89.183 -52.5844
132.934579 89.166 -52.7041
133.300790 89.149 -52.8192
133.667001 89.131 -52.9281
134.033212 89.114 -53.0296
134.399423 89.097 -53.1232
134.765634 89.080 -53.2088
135.131845 89.064 -53.2873
135.498056 89.047 -53.3603
135.864267 89.030 -53.4296
136.230478 89.013 -53.4973
136.596689 88.996 -53.5658
136.962900 88.978 -53.6370
137.329111 88.959 -53.7128
137.695322 88.939 -53.7944
138.061533 88.919 -53.8823
138.427744 88.898 -53.9762
138.793955 88.876 -54.0742
139.160166 88.854 -54.1736
139.526377 88.833 -54.2704
139.892588 88.813 -54.3601
140.258799 88.794 -54.4385
140.625010 88.776 -54.5021
140.991221 88.761 -54.5486
141.357432 88.747 -54.5775
141.723643 88.736 -54.5900
142.089854 88.726 -54.5884
142.456065 88.717 -54.5759
142.822276 88.710 -54.5564
143.188487 88.703 -54.5334
143.554698 88.698 -54.5101
143.920909 88.693 -54.4895
144.287119 88.689 -54.4736
144.653330 88.686 -54.4642
145.019541 88.685 -54.4625
145.385752 88.685 -54.4694
145.751963 88.686 -54.4852
146.118174 88.688 -54.5104
146.484385 88.691 -54.5448
146.850596 88.695 -54.5884
147.216807 88.700 -54.6411
147.583018 88.706 -54.7025
147.949229 88.712 -54.7725
148.315440 88.718 -54.8507
148.681651 88.724 -54.9369
149.047862 88.730 -55.0307
149.414073 88.735 -55.1320
149.780284 88.741 -55.2402
150.146495 88.746 -55.3551
150.512706 88.751 -55.4764
150.878917 88.755 -55.6036
151.245128 88.758 -55.7364
151.611339 88.761 -55.8743
151.977550 88.764 -56.0168
152.343761 88.766 -56.1634
152.709972 88.768 -56.3134
153.076183 88.768 -56.4665
153.442394 88.769 -56.6221
153.808605 88.768 -56.7796
154.174816 88.767 -56.9386
154.541027 88.766 -57.0987
154.907238 88.763 -57.2594
155.273448 88.760 -57.4201
155.639659 88.757 -57.5806
156.005870 88.752 -57.7406
156.372081 88.748 -57.8998
156.738292 88.742 -58.0583
157.104503 88.736 -58.2161
157.470714 88.730 -58.3732
157.836925 88.724 -58.5300
158.203136 88.717 -58.6865
158.569347 88.709 -58.8428
158.935558 88.701 -58.9991
159.301769 88.693 -59.1551
159.667980 88.683 -59.3106
160.034191 88.673 -59.4654
160.400402 88.662 -59.6191
160.766613 88.651 -59.7712
161.132824 88.639 -59.9216
161.499035 88.626 -60.0698
161.865246 88.613 -60.2159
162.231457 88.600 -60.3596
162.597668 88.586 -60.5011
162.963879 88.572 -60.6403
163.330090 88.558 -60.7773
163.696301 88.545 -60.9122
164.062512 88.531 -61.0451
164.428723 88.517 -61.1760
